고객번호,총구매액,구매빈도,최근구매일
457,141966353.0,4643,3
458,10614727.0,1368,2
459,27398376.0,1493,7
461,8553208.0,715,7
462,67419996.0,878,4
463,51438427.0,834,7
464,19015387.0,1730,8
465,18644317.0,1517,2
466,181273826.0,910,7
467,18630401.0,1425,2
468,48544388.0,1470,2
469,24601393.0,740,2
470,7419341.0,1388,2
471,106216709.0,651,2
472,6922018.0,1173,6
473,11462301.0,1325,2
474,87698967.0,2196,2
475,25105816.0,1148,2
476,12939025.0,2393,7
477,196515112.0,646,2
478,227008844.0,916,8
479,9547586.0,1268,2
480,92953738.0,944,3
481,65266097.0,875,3
482,8551760.0,1067,2
483,6675555.0,500,3
484,35796461.0,625,7
485,114592169.0,619,2
486,115636332.0,921,4
487,11059754.0,1629,2
488,11584508.0,2404,6
489,59845898.0,1260,3
490,23541799.0,878,8
491,13308997.0,1565,2
492,53409242.0,798,2
493,12567822.0,1854,4
494,33000838.0,833,2
495,5652325.0,1103,2
496,18673126.0,1398,2
497,11342596.0,1882,3
498,11457239.0,1100,2
499,6167226.0,757,2
500,17304773.0,1880,3
501,120577460.0,426,8
502,55961558.0,2025,2
503,84960483.0,3610,2
504,85408053.0,749,6
505,207420609.0,1671,4
506,28734912.0,870,3
507,30345651.0,994,4
508,149467816.0,874,11
509,42409178.0,802,7
510,73664174.0,1020,7
511,8272562.0,1274,2
512,7104683.0,1127,6
513,60116824.0,504,8
514,16001600.0,1248,3
515,60430327.0,791,4
516,9077668.0,1868,2
517,47624961.0,811,2
518,114534578.0,1233,2
519,31214637.0,691,2
520,50825547.0,651,4
521,143440869.0,1934,3
522,25176693.0,1248,14
523,16000361.0,2291,7
524,15515886.0,2005,2
525,32426703.0,1017,7
526,54486830.0,1685,4
527,8642828.0,1503,3
528,3946052.0,498,3
529,224797544.0,1396,2
530,15052491.0,612,4
531,32377705.0,594,3
532,70578695.0,508,8
533,9428488.0,1342,4
534,18969457.0,550,2
535,125237260.0,612,2
536,6058239.0,734,2
537,7501761.0,1502,2
538,51163681.0,762,2
539,32047230.0,974,3
540,11649544.0,1135,2
541,14742043.0,1938,3
542,14708835.0,704,9
543,19192010.0,934,7
544,71054307.0,831,2
545,43554423.0,541,2
546,152308601.0,521,7
547,133551812.0,1466,3
548,37307987.0,1106,4
549,38605168.0,757,3
550,34868224.0,873,2
551,13268451.0,1725,2
552,17484038.0,775,2
553,43667459.0,841,9
554,92966891.0,597,7
555,19462259.0,1002,2
556,14055509.0,1676,6
557,12815012.0,1725,2
558,13010972.0,667,3
559,94152497.0,1081,7
560,88653728.0,481,3
561,66519437.0,1376,2
562,506713428.0,669,10
563,18261725.0,2185,2
564,76261261.0,1143,8
565,89303668.0,637,2
566,63850268.0,624,2
567,61405437.0,1132,8
568,5362228.0,787,2
569,28309504.0,1010,2
570,6908965.0,1023,2
571,63268117.0,760,3
572,70954254.0,694,10
573,32265332.0,1794,3
574,48222568.0,1647,2
575,27227740.0,1005,9
576,62631364.0,965,9
577,45542138.0,855,4
578,98230876.0,1938,2
579,2272354.0,505,2
580,13676482.0,928,3
581,8291039.0,1059,3
582,11959654.0,621,2
583,5475715.0,1124,2
584,26390787.0,776,3
585,206739940.0,879,3
586,60067887.0,618,3
587,71913371.0,684,2
588,105568064.0,2686,3
589,26111214.0,772,7
590,6937551.0,982,2
591,5657373.0,1503,3
592,16120536.0,996,6
593,31749932.0,440,2
594,175847472.0,517,12
595,17607144.0,350,3
596,72892831.0,1408,7
597,41017439.0,894,3
598,8415334.0,919,2
599,40286853.0,1078,2
600,28706865.0,2168,2
601,25556682.0,658,2
602,57672464.0,471,3
603,57396646.0,747,8
604,19708118.0,672,2
605,4897815.0,1013,6
606,71314158.0,638,3
607,16966002.0,1107,3
608,115601548.0,1569,2
609,5765103.0,739,3
610,212957352.0,679,8
611,48883758.0,732,4
612,47988817.0,761,2
613,60254284.0,1573,6
614,59276278.0,591,4
615,24912252.0,698,2
616,8179590.0,1266,2
617,83826439.0,992,2
618,33173621.0,1086,3
619,14444328.0,2210,30
620,88117530.0,519,7
621,6360957.0,896,2
622,47279387.0,743,2
623,11455193.0,1496,3
624,9855871.0,1426,3
625,8240455.0,792,2
626,7529420.0,1193,3
627,28182134.0,619,8
628,25691864.0,2826,2
629,19076404.0,1633,2
630,35321873.0,886,9
631,56982212.0,653,14
632,21154708.0,806,7
633,113511736.0,1730,2
634,32442556.0,634,2
635,129505142.0,814,3
636,22073142.0,679,4
637,53971756.0,1273,2
638,60253372.0,771,2
639,45792180.0,2511,2
640,122930281.0,832,2
641,131410169.0,740,3
642,48270917.0,1068,2
643,30823111.0,683,20
644,17347727.0,1477,4
645,224955342.0,1228,2
646,19183396.0,2371,6
647,11016467.0,2481,7
648,37381124.0,595,44
649,11707808.0,467,4
650,6475126.0,735,4
651,25489679.0,437,14
652,52891170.0,589,2
653,9783982.0,1145,2
654,50787370.0,1154,2
655,8296694.0,1760,2
656,94445936.0,515,7
657,62870362.0,723,4
658,21227521.0,1647,6
659,6818357.0,1037,2
660,10731318.0,2333,6
661,39392732.0,868,2
662,10503731.0,1103,4
663,8142152.0,1053,2
664,121873904.0,604,3
665,23871028.0,2124,2
666,8393814.0,1384,2
667,47205291.0,917,19
668,11049768.0,1329,4
669,52579381.0,727,7
670,211968637.0,1516,7
671,11517765.0,1749,7
672,33198276.0,589,4
673,69804674.0,728,8
674,71252812.0,436,2
675,20026295.0,1452,3
676,218918616.0,770,13
677,20951608.0,1695,2
678,9603112.0,1338,3
679,13078954.0,2276,2
680,19784893.0,1880,6
681,26449664.0,587,8
682,11028534.0,1718,4
683,12180235.0,1286,2
684,12349926.0,621,6
685,14434199.0,2601,2
686,29813158.0,831,2
687,21155950.0,738,18
688,7108860.0,729,2
689,54054998.0,479,17
690,62428092.0,944,2
691,51140774.0,786,8
692,21719385.0,1545,2
693,112363906.0,1324,2
694,77461525.0,959,3
695,37656607.0,591,3
696,15985225.0,506,3
697,29773168.0,441,4
698,60795066.0,522,7
699,10025743.0,1832,2
700,10379799.0,2073,4
701,163126592.0,2336,4
702,7544192.0,909,2
703,29898173.0,514,7
704,67399425.0,809,3
705,11747651.0,1535,3
706,10886470.0,876,3
707,43543103.0,877,7
708,106649158.0,1062,4
709,40225561.0,1611,2
710,16875376.0,1333,6
711,51202744.0,570,7
712,52541919.0,1140,3
713,81510831.0,703,11
714,10229957.0,670,2
715,94797972.0,643,2
716,40936475.0,1906,3
717,73439977.0,440,3
718,37146561.0,606,7
719,11239908.0,1901,2
720,19357169.0,1669,6
721,8635757.0,1178,2
722,14053687.0,1291,6
723,14109419.0,1065,3
724,5475232.0,646,3
725,10958398.0,2128,2
726,19583176.0,575,6
727,72406737.0,1115,10
728,85305103.0,592,6
729,37673077.0,1105,7
730,67064092.0,2435,6
731,17588786.0,1390,2
732,70526437.0,663,3
733,59044003.0,1936,2
734,9023439.0,975,2
735,74363401.0,761,7
736,47236462.0,706,3
737,12322250.0,1391,3
738,10960031.0,806,4
739,9733988.0,737,4
740,12034969.0,1890,4
741,12814043.0,1499,3
742,46029727.0,1050,14
743,14751521.0,1043,4
744,15035403.0,1348,2
745,25730259.0,1152,6
746,43543839.0,594,6
747,123219059.0,1364,11
748,124561177.0,795,2
749,15334450.0,2734,10
750,12356210.0,713,2
751,5228541.0,1159,3
752,38246644.0,528,4
753,9951994.0,1391,2
754,46417203.0,543,2
755,56401966.0,1892,4
756,19794569.0,1508,2
757,99291477.0,662,4
758,91766524.0,989,4
759,27002629.0,1860,3
760,11026421.0,1501,2
761,20180080.0,1599,2
762,11465301.0,2269,2
763,20686939.0,755,3
764,24721588.0,1239,4
765,51713606.0,495,3
766,27664216.0,2120,2
767,20186236.0,1062,6
768,9411769.0,698,3
769,31325460.0,1745,4
770,90369616.0,766,4
771,30764797.0,895,3
772,71941430.0,753,7
773,23231008.0,938,4
774,21457116.0,992,2
775,29067088.0,1253,10
776,26830789.0,2045,2
777,20089772.0,847,2
778,21291283.0,3041,3
779,77879183.0,2570,3
780,62870312.0,1810,9
781,75091395.0,920,3
782,9661428.0,1089,6
783,63765949.0,451,9
784,55240972.0,603,4
785,41129965.0,819,7
786,47068850.0,430,7
787,20921822.0,678,2
788,24026282.0,2291,4
789,48397734.0,466,3
790,8319757.0,1001,4
791,30456872.0,1762,2
792,90062201.0,476,2
793,10545186.0,1665,6
794,72607387.0,494,7
795,63823274.0,1192,7
796,41897919.0,2487,2
797,80068249.0,1454,2
798,3502460.0,1191,9
799,20626808.0,897,3
800,49083126.0,1027,2
801,53279460.0,966,9
802,20351928.0,1092,2
803,15383092.0,434,3
804,8732276.0,1066,2
805,6492702.0,1394,2
806,54711524.0,649,2
807,33378551.0,853,9
808,46373298.0,1374,9
809,23130507.0,2636,2
810,113897830.0,593,6
811,67592065.0,784,2
812,46296493.0,619,12
813,11050310.0,2764,3
814,71647294.0,733,7
815,21024896.0,615,40
816,78876448.0,1445,2
817,96061780.0,642,2
818,35548253.0,1394,4
819,109534540.0,647,3
820,10101605.0,1669,2
821,11124706.0,2155,3
822,11023217.0,1061,2
823,123516699.0,1135,3
824,26684808.0,1892,3
825,43434006.0,558,9
826,7372713.0,1112,8
827,49916574.0,819,3
828,47336993.0,578,9
829,9552761.0,1080,2
830,14894358.0,1374,4
831,6007529.0,1398,7
832,87699571.0,905,7
833,17040596.0,1500,2
834,15929544.0,1472,3
835,60023455.0,1912,4
836,4626502.0,1040,2
837,8267328.0,1467,3
838,54108489.0,1016,2
839,33038469.0,2342,2
840,313259791.0,361,3
841,269924419.0,611,3
842,116487525.0,707,2
843,9868564.0,1686,4
844,46637026.0,807,2
845,55144224.0,873,2
846,54884467.0,909,6
847,48466429.0,977,7
848,63665508.0,522,7
849,12740631.0,1302,2
850,36527816.0,1159,4
851,4265475.0,594,10
852,38223773.0,1351,7
853,11613242.0,546,3
854,18025462.0,1810,3
855,40479324.0,952,2
856,55974407.0,812,12
857,73414625.0,617,3
858,92959746.0,850,2
859,59868129.0,1388,4
860,13862008.0,2175,3
861,167404258.0,783,4
862,8471845.0,1373,2
863,318945788.0,989,6
864,19112460.0,1665,4
865,75637671.0,1034,7
866,40348285.0,706,2
867,28528211.0,1521,4
868,18142166.0,732,3
869,17198990.0,589,2
870,40952798.0,547,7
871,12444100.0,1505,3
872,6633474.0,988,9
873,74411091.0,1042,2
874,51879462.0,1217,2
875,59189433.0,1830,3
876,16031122.0,2112,2
877,11595373.0,1739,2
878,92146857.0,1268,7
879,59249807.0,2848,2
880,10961785.0,1404,4
881,10908015.0,1249,2
882,110530705.0,829,7
883,53715100.0,589,9
884,153826711.0,1119,2
885,23890863.0,932,8
886,121413922.0,1068,2
887,47937114.0,967,7
888,44588595.0,2418,3
889,15071653.0,1702,4
890,70863516.0,572,2
891,43056439.0,4360,7
892,4466750.0,1091,2
893,26040211.0,1379,2
894,63274131.0,883,3
895,20311688.0,941,13
896,4905847.0,1092,9
897,163704743.0,1021,3
898,14447372.0,1165,2
899,90687030.0,838,3
900,10646900.0,1574,3
901,9677269.0,1385,2
902,9171788.0,1337,2
903,44197545.0,2579,2
904,24663498.0,627,4
906,12096290.0,1262,4
907,32087217.0,869,4
908,5210571.0,557,3
909,12828214.0,2227,2
910,6584673.0,849,2
911,127266120.0,1143,3
912,28673932.0,575,7
913,41372422.0,1002,2
914,45398595.0,1178,6
915,100776219.0,719,3
916,66223926.0,587,2
917,8127747.0,1380,2
918,66189553.0,1065,7
919,110798105.0,652,2
920,30196646.0,1199,2
921,10268818.0,717,2
922,15663438.0,2551,4
923,39967919.0,626,4
924,82253022.0,494,4
925,61385474.0,865,7
926,13469346.0,1739,2
927,106792100.0,814,2
928,98984631.0,3014,2
929,62020071.0,705,2
930,14038469.0,1193,6
931,55457991.0,554,2
932,7490301.0,678,2
933,11745434.0,1705,2
934,147073290.0,1920,2
935,26072701.0,630,8
936,145444812.0,755,4
937,73316346.0,825,2
938,8548430.0,995,2
939,95369528.0,744,3
940,11270124.0,1024,2
941,64627285.0,586,6
942,14961221.0,1678,3
943,62413045.0,3301,2
944,58472850.0,1710,2
945,16427000.0,1071,2
946,98331210.0,694,3
947,590327188.0,991,3
948,15453354.0,489,2
949,60999533.0,707,2
950,9327642.0,685,3
951,18902848.0,1050,2
952,53702354.0,712,7
953,90206216.0,730,15
954,43777598.0,602,3
955,271143997.0,2480,2
956,8581539.0,1435,2
957,86526338.0,847,3
958,43745728.0,510,7
959,48200537.0,566,20
960,13468659.0,1116,25
961,11581088.0,1290,6
962,76651719.0,453,3
963,49805971.0,926,3
964,14006478.0,1772,6
965,77372273.0,1488,6
966,77177241.0,565,4
967,6781111.0,971,3
968,14935804.0,973,7
969,13222047.0,1439,2
970,3477317.0,509,12
971,46523504.0,1943,2
972,93877260.0,574,3
973,42461262.0,935,7
974,62995771.0,567,10
975,28415742.0,2200,2
976,7859757.0,1598,2
977,193430040.0,781,3
978,58356057.0,467,3
979,8892569.0,1444,2
980,39247353.0,1760,6
981,13501219.0,1336,2
982,113065530.0,1010,7
983,22606706.0,1827,2
984,25018858.0,1045,2
986,95057370.0,1766,2
987,3233353.0,936,2
988,11044537.0,1015,6
989,130549648.0,996,11
990,61912002.0,665,12
991,61171653.0,1192,3
992,71525714.0,1559,2
993,99512994.0,491,7
994,68192924.0,1172,2
995,23954966.0,1699,3
996,58955804.0,830,7
997,117426728.0,1480,3
998,48488574.0,1009,3
999,92811138.0,1003,10
1000,13449602.0,3137,7
1001,31438668.0,727,6
1002,198569391.0,1005,3
1003,7420355.0,957,6
1004,36944295.0,864,4
1005,70645277.0,782,8
1006,73642066.0,1847,2
1007,2861526.0,132,22
1008,101468371.0,635,2
1009,6480144.0,1107,2
1010,11953520.0,2505,2
1011,114264044.0,448,2
1012,9332424.0,1392,2
1013,102543279.0,601,4
1014,87350668.0,525,9
1015,17084994.0,432,3
1016,27689541.0,2099,2
1017,36479382.0,625,2
1018,95803350.0,958,2
1019,17453605.0,507,2
1020,23369584.0,593,10
1021,7918156.0,1433,2
1022,20804574.0,588,18
1023,22177385.0,1976,7
1024,15438209.0,1359,4
1025,59297424.0,502,3
1026,52758689.0,625,4
1027,40911808.0,777,3
1028,49706366.0,1303,3
1029,66820796.0,2630,8
1030,7255199.0,539,4
1031,6569727.0,1207,3
1032,29682306.0,560,4
1033,76839413.0,918,3
1034,12433792.0,1474,4
1035,8358466.0,1094,4
1036,15367656.0,618,2
1037,20480570.0,2711,2
1038,30365833.0,1115,3
1039,61215420.0,1524,2
1040,87922057.0,539,3
1041,6895173.0,1080,7
1042,67933526.0,982,4
1043,25555998.0,641,14
1044,106046268.0,536,8
1045,115380475.0,665,8
1046,39940076.0,1089,4
1047,110362727.0,825,4
1048,18115573.0,1704,3
1049,36647839.0,912,2
1050,6490886.0,1664,2
1051,10154177.0,600,2
1052,21559583.0,2122,3
1053,62025171.0,448,2
1054,6527574.0,868,8
1055,16116312.0,1523,2
1056,37544819.0,1214,4
1057,116550684.0,618,2
1058,37081624.0,482,3
1059,14289016.0,489,2
1060,40265465.0,1299,4
1061,20614544.0,472,7
1062,44065892.0,1078,2
1063,8122434.0,1781,2
1064,18340831.0,1737,2
1065,27414935.0,1853,7
1066,47695101.0,493,8
1068,7418171.0,1410,7
1069,90037562.0,753,4
1070,14529937.0,2503,4
1071,39884238.0,740,7
1072,52434400.0,1112,4
1073,65154748.0,806,9
1074,616899.0,80,54
1075,6804859.0,786,4
1076,23130486.0,1179,6
1077,23092719.0,1532,8
1078,5648070.0,794,3
1079,19109661.0,1170,3
1080,37344284.0,3682,3
1081,9556486.0,1451,2
1082,7489089.0,1426,2
1083,7921100.0,927,6
1084,87025637.0,591,3
1085,45891967.0,1022,12
1086,18028370.0,1482,2
1087,35906876.0,759,3
1088,156934151.0,762,2
1089,9339586.0,2912,2
1090,50548213.0,985,7
1091,66981170.0,930,2
1092,136492845.0,449,7
1094,12764545.0,568,2
1095,62743348.0,799,3
1096,14198226.0,761,3
1097,17799569.0,1787,7
1098,93447619.0,2628,2
1099,8687452.0,410,19
1100,26273778.0,797,3
1101,31250058.0,792,8
1102,5577455.0,1517,2
1103,36840080.0,430,16
1104,81685370.0,964,8
1105,25741364.0,904,9
1106,19484301.0,2083,2
1107,80529406.0,504,2
1108,113790133.0,606,12
1109,8384377.0,952,3
1110,50102098.0,930,7
1111,87974756.0,575,3
1112,8306270.0,2218,3
1113,9484436.0,599,2
1114,26092070.0,1715,3
1115,36721500.0,1175,2
1116,4761040.0,873,6
1117,76813333.0,727,2
