고객번호,성별,연령대,거주지역,1번품목구매비율(%),2번품목구매비율(%),3번품목구매비율(%),4번품목구매비율(%),경쟁사이용횟수,멤버쉽보유,온라인이용횟수,1기구매비율(%),2기구매비율(%),3기구매비율(%),4기구매비율(%),5기구매비율(%),6기구매비율(%),7기구매비율(%),8기구매비율(%),분기증감확인
52,0,5,1,2.45,33.68,60.01,3.86,0.0,0.0,0.0,24.29,14.48,9.29,10.04,8.95,14.35,11.19,7.39,0
53,1,5,2,2.0,46.96,49.61,1.43,3.0,0.0,0.0,8.22,32.43,3.55,27.15,8.05,10.86,5.04,4.7,0
54,0,5,0,8.83,45.77,33.02,12.38,12.0,0.0,0.0,14.29,16.94,13.45,12.86,13.4,11.21,8.43,9.41,0
55,0,5,0,3.86,40.12,0.0,56.02,0.0,0.0,0.0,10.09,12.7,18.61,13.5,12.25,9.94,13.88,9.03,0
56,0,5,0,1.22,20.03,76.45,2.29,2.0,0.0,0.0,15.97,15.43,5.29,7.95,26.42,13.43,5.7,9.81,0
57,0,5,0,3.78,22.97,23.89,49.35,0.0,0.0,0.0,10.2,11.09,10.22,9.63,32.98,8.49,9.08,8.32,0
58,0,5,1,6.96,46.3,29.18,17.55,0.0,0.0,0.0,12.89,12.14,11.53,16.45,9.76,9.04,12.37,15.83,1
59,0,5,1,1.88,48.56,44.48,5.08,1.0,0.0,0.0,13.55,21.97,10.15,8.1,7.7,12.85,13.67,12.02,0
60,0,5,1,6.68,79.76,3.51,10.05,1.0,0.0,0.0,11.98,13.38,9.48,10.82,9.74,12.59,14.18,17.83,1
61,0,5,1,4.88,36.44,53.33,5.36,3.0,1.0,0.0,16.24,14.62,16.54,9.44,8.62,11.0,10.73,12.8,0
62,0,5,1,6.63,55.78,23.88,13.71,6.0,0.0,0.0,8.28,17.24,17.27,12.84,8.77,12.82,13.91,8.86,1
63,0,5,0,12.49,74.22,0.0,13.28,0.0,0.0,0.0,8.38,11.7,12.14,13.98,16.17,12.53,17.85,7.25,1
64,1,5,0,7.03,14.39,69.77,8.81,0.0,0.0,0.0,11.07,9.51,14.19,11.79,10.41,12.04,14.72,16.27,0
65,0,5,1,5.13,39.81,48.15,6.91,2.0,1.0,0.0,10.83,11.7,22.75,6.13,13.86,12.59,13.81,8.31,0
66,0,5,1,9.0,80.14,0.0,10.86,0.0,0.0,0.0,16.15,12.23,11.51,10.77,11.69,13.55,12.5,11.6,0
67,0,5,0,8.32,84.06,0.0,7.62,0.0,0.0,0.0,13.86,13.76,14.66,13.92,11.45,11.15,12.59,8.62,1
68,1,5,0,1.11,25.84,67.89,5.16,1.0,0.0,0.0,25.05,15.03,7.62,9.29,20.66,6.71,6.55,9.1,0
69,0,5,0,21.97,78.03,0.0,0.0,0.0,1.0,0.0,13.72,12.84,14.13,10.54,12.56,12.59,13.94,9.68,1
70,1,5,2,0.63,29.37,67.25,2.75,33.0,0.0,0.0,3.85,1.51,9.02,3.71,4.1,25.03,15.09,37.69,0
71,0,5,1,5.13,88.95,0.0,5.92,0.0,0.0,0.0,11.33,13.59,12.47,10.91,16.31,11.49,13.5,10.4,0
72,0,5,0,13.46,40.75,0.0,45.79,0.0,0.0,0.0,18.98,11.08,17.29,9.69,12.18,8.67,11.25,10.86,1
73,0,5,1,2.86,19.37,73.89,3.87,0.0,0.0,0.0,9.53,11.06,13.5,11.08,16.71,15.1,12.92,10.1,0
74,0,5,1,4.26,29.87,58.26,7.61,3.0,0.0,42.0,14.26,24.66,17.89,14.55,8.9,6.28,5.25,8.22,0
75,1,5,1,10.14,73.6,0.0,16.26,0.0,0.0,0.0,11.06,16.61,14.36,10.29,12.8,13.81,12.48,8.59,0
76,0,5,0,3.5,20.58,71.41,4.52,0.0,1.0,0.0,10.17,9.69,15.0,14.11,10.16,16.52,10.38,13.97,1
77,0,5,1,3.61,43.86,45.91,6.63,13.0,0.0,0.0,15.12,17.67,8.38,9.88,13.25,10.47,10.65,14.58,1
78,0,5,0,3.14,41.15,52.04,3.67,0.0,0.0,0.0,11.96,13.31,11.55,9.91,10.93,18.92,13.17,10.25,0
79,0,5,1,10.68,52.7,0.0,36.63,5.0,1.0,0.0,11.03,16.14,14.62,11.72,10.46,11.99,13.33,10.71,0
80,0,5,1,4.95,78.15,0.0,16.89,0.0,0.0,0.0,7.92,12.32,11.32,10.3,13.98,15.89,11.1,17.18,1
81,0,5,1,1.36,38.5,58.25,1.89,0.0,0.0,0.0,13.95,7.27,16.88,8.32,7.36,14.75,20.23,11.25,0
82,0,5,1,0.69,34.62,62.52,2.18,0.0,0.0,0.0,12.7,6.6,18.3,4.79,6.54,10.42,25.5,15.14,1
83,0,5,1,1.15,49.75,47.59,1.51,1.0,1.0,0.0,9.36,9.69,17.79,7.37,10.4,13.12,21.37,10.9,1
84,0,5,0,1.15,21.92,74.74,2.2,0.0,0.0,0.0,9.55,8.51,6.94,5.52,40.22,15.08,5.32,8.85,0
85,0,5,0,8.36,50.77,0.0,40.87,6.0,0.0,0.0,11.66,12.91,8.19,10.54,15.35,14.59,14.99,11.75,1
86,0,5,0,4.61,68.9,22.43,4.07,0.0,0.0,0.0,6.95,14.51,13.27,15.16,8.85,8.48,12.78,20.0,1
87,1,5,1,0.79,29.27,69.27,0.66,1.0,1.0,0.0,39.38,11.35,2.22,9.47,13.43,3.29,12.57,8.29,0
88,0,5,0,1.12,26.58,69.61,2.69,14.0,0.0,0.0,7.3,14.96,11.37,10.78,10.38,10.02,8.99,26.2,1
89,0,5,1,5.58,62.04,21.96,10.41,4.0,0.0,0.0,10.9,19.38,15.21,12.14,14.85,9.83,9.35,8.34,1
90,0,5,1,1.28,15.09,82.26,1.37,1.0,0.0,0.0,10.32,6.24,5.81,31.45,9.53,8.67,14.94,13.05,1
91,0,5,0,12.81,78.09,0.0,9.1,0.0,0.0,0.0,12.54,15.95,13.79,9.68,14.7,11.39,14.19,7.77,0
92,0,5,0,4.59,31.52,51.58,12.31,0.0,0.0,0.0,8.9,8.56,9.98,14.98,10.19,14.59,14.97,17.82,1
93,0,5,1,2.68,31.18,62.97,3.18,1.0,0.0,0.0,6.59,5.92,13.67,35.74,9.07,16.17,5.49,7.36,1
94,0,5,0,4.67,16.04,75.08,4.21,0.0,1.0,14.0,1.92,3.52,11.36,10.83,7.2,6.42,21.42,37.34,1
95,1,5,0,6.59,26.96,60.5,5.95,0.0,0.0,0.0,10.79,12.1,11.86,17.94,13.53,9.25,14.23,10.31,0
96,0,5,1,2.91,21.69,70.95,4.45,1.0,1.0,0.0,14.2,24.4,14.09,8.26,11.46,9.17,11.97,6.45,0
97,1,5,0,1.81,62.14,31.62,4.43,0.0,0.0,0.0,14.46,10.15,21.6,7.88,14.16,11.73,10.39,9.64,0
98,0,5,0,3.01,22.28,72.7,2.01,0.0,1.0,0.0,7.64,7.51,11.54,13.3,25.42,12.48,13.74,8.36,0
99,0,5,0,1.33,20.73,74.67,3.27,0.0,1.0,0.0,9.89,6.65,16.72,15.45,9.05,14.77,10.31,17.16,1
100,0,5,1,4.36,59.1,27.95,8.59,0.0,1.0,0.0,6.12,26.05,16.62,21.87,8.46,7.29,8.8,4.79,0
101,0,5,1,5.12,87.11,0.0,7.77,5.0,1.0,0.0,18.05,11.0,11.9,11.02,13.9,10.56,13.9,9.68,0
102,0,5,1,0.47,15.79,82.43,1.31,13.0,0.0,0.0,31.94,12.16,8.53,14.02,4.55,12.12,7.69,8.99,0
103,0,5,1,7.42,61.34,0.0,31.24,0.0,0.0,0.0,11.88,10.77,17.18,9.52,14.89,11.96,14.19,9.62,0
104,0,5,0,7.53,82.42,0.0,10.05,0.0,0.0,0.0,11.87,10.59,13.62,22.69,10.55,9.8,11.38,9.5,0
105,1,5,0,6.07,49.42,8.64,35.86,0.0,0.0,0.0,8.88,10.67,17.71,9.28,15.3,9.92,17.25,11.0,0
106,0,5,0,1.51,32.74,60.78,4.96,0.0,0.0,0.0,20.68,11.04,7.41,9.54,5.04,17.08,14.22,14.98,1
107,0,5,1,2.75,91.97,0.0,5.28,2.0,0.0,0.0,6.2,8.66,15.18,12.55,17.8,11.83,7.73,20.05,1
108,0,5,2,8.54,46.05,31.97,13.44,0.0,0.0,0.0,17.48,14.09,11.11,9.81,9.96,13.18,12.82,11.56,0
109,0,5,0,5.41,29.59,0.0,65.0,0.0,0.0,0.0,18.18,14.43,16.33,11.99,8.39,10.17,12.57,7.94,0
110,1,5,1,5.64,80.01,0.0,14.35,2.0,0.0,0.0,6.87,13.34,17.64,12.26,13.46,12.37,12.97,11.08,0
111,0,5,1,12.53,69.33,0.0,18.13,0.0,0.0,0.0,11.52,9.26,21.65,9.08,14.53,12.62,11.73,9.62,0
112,0,5,0,5.27,88.83,0.0,5.9,6.0,1.0,17.0,25.05,8.16,6.57,6.42,8.82,7.58,10.58,26.81,1
113,0,5,1,1.77,21.56,74.63,2.03,9.0,0.0,0.0,13.25,11.39,9.26,17.69,12.03,15.68,7.41,13.3,0
114,0,5,0,2.52,36.72,56.43,4.33,2.0,0.0,0.0,4.46,16.72,27.43,15.1,10.39,13.11,6.41,6.38,0
115,0,5,1,1.52,22.77,74.21,1.5,10.0,0.0,0.0,3.19,8.93,11.09,15.6,21.66,9.9,7.83,21.8,1
116,0,5,1,7.07,92.93,0.0,0.0,0.0,0.0,0.0,17.35,11.72,12.95,9.21,11.55,14.87,12.27,10.09,0
117,0,5,1,1.38,31.76,65.51,1.34,2.0,1.0,0.0,15.75,4.16,29.09,13.32,7.19,7.15,13.5,9.84,0
118,0,5,1,4.66,61.08,29.28,4.98,2.0,0.0,0.0,10.82,10.44,8.5,16.63,11.53,15.91,15.17,11.01,1
119,1,5,1,1.38,18.78,77.79,2.05,3.0,0.0,0.0,7.15,16.2,7.95,15.36,13.52,15.35,14.82,9.65,0
120,0,5,1,1.42,56.01,39.6,2.97,0.0,0.0,0.0,16.64,14.52,8.41,10.69,12.17,10.54,10.4,16.64,0
121,0,5,1,3.33,23.14,70.61,2.92,4.0,0.0,0.0,17.23,13.92,6.7,8.94,21.29,7.61,9.62,14.68,1
122,0,5,1,4.61,46.46,34.54,14.39,0.0,0.0,27.0,19.0,10.47,7.23,8.8,14.13,18.23,14.0,8.13,1
123,0,5,1,11.63,54.1,0.0,34.28,0.0,0.0,10.0,11.52,11.56,15.47,11.81,14.24,12.48,13.83,9.1,0
124,0,5,1,1.92,31.97,63.43,2.68,0.0,0.0,0.0,21.23,11.34,9.6,11.66,6.76,19.36,6.18,13.87,0
125,0,5,1,2.22,16.36,77.9,3.52,0.0,1.0,0.0,18.59,8.61,12.72,8.73,9.49,21.94,10.69,9.22,0
126,0,5,1,1.2,50.14,45.23,3.43,0.0,0.0,0.0,11.46,3.55,3.89,25.84,24.45,8.49,6.54,15.78,1
127,0,5,1,8.11,50.05,32.7,9.14,1.0,0.0,0.0,17.49,13.36,20.52,9.22,11.73,6.95,7.9,12.83,1
128,0,5,1,13.61,65.35,0.0,21.05,0.0,0.0,0.0,13.78,10.79,34.46,8.57,7.16,7.23,12.54,5.44,0
129,0,5,0,24.53,53.39,0.0,22.08,0.0,0.0,8.0,9.96,15.44,13.86,11.42,11.64,14.79,13.19,9.69,1
130,0,5,1,2.59,20.17,67.93,9.31,3.0,0.0,0.0,18.35,17.68,12.06,9.24,14.06,10.71,7.58,10.29,0
131,0,5,1,5.11,42.93,37.64,14.32,0.0,1.0,0.0,7.53,17.89,11.86,11.17,12.03,17.13,12.86,9.52,0
132,0,5,0,6.27,89.47,0.0,4.26,11.0,0.0,0.0,9.92,6.81,8.23,7.72,9.36,30.1,9.44,18.42,0
133,1,5,0,4.47,49.72,41.05,4.76,0.0,0.0,0.0,7.46,7.66,13.09,9.34,15.43,12.36,12.41,22.26,1
134,0,5,0,3.98,36.54,55.15,4.33,1.0,0.0,0.0,20.58,14.99,10.86,4.33,9.3,15.21,12.43,12.29,0
135,0,5,0,4.28,75.56,0.0,20.17,0.0,0.0,0.0,4.95,24.95,24.69,5.97,6.78,10.28,16.77,5.62,0
136,0,5,0,6.09,82.35,0.0,11.55,10.0,1.0,0.0,2.45,6.94,19.83,11.0,5.18,16.22,9.22,29.17,1
137,0,5,1,0.76,11.15,85.64,2.45,0.0,0.0,0.0,9.7,9.99,8.83,7.57,11.35,6.5,14.28,31.78,1
138,1,5,1,1.33,15.44,80.53,2.7,1.0,1.0,4.0,10.62,15.97,20.15,20.78,9.46,9.14,4.87,9.01,1
139,1,5,1,2.03,31.35,62.52,4.1,6.0,0.0,0.0,11.27,16.89,24.14,17.93,5.73,8.22,8.15,7.66,0
140,0,5,2,1.93,7.22,87.21,3.63,0.0,0.0,0.0,16.22,8.04,13.26,11.68,8.25,11.83,25.26,5.45,0
141,0,5,0,23.81,46.37,0.0,29.81,0.0,0.0,0.0,11.62,12.67,14.01,11.21,11.52,11.55,17.59,9.83,1
143,0,5,1,12.07,37.17,0.0,50.76,0.0,0.0,0.0,12.24,12.31,13.28,10.39,11.53,15.94,15.01,9.3,1
144,0,5,1,1.36,29.43,58.14,11.07,0.0,0.0,0.0,7.9,11.82,11.58,8.09,8.6,10.67,35.34,6.0,0
145,0,5,1,1.92,38.36,55.26,4.47,0.0,0.0,0.0,3.76,6.32,20.53,20.46,8.23,8.93,17.16,14.61,1
146,0,5,1,4.55,18.51,72.91,4.04,0.0,0.0,0.0,14.68,9.73,10.07,12.65,17.06,12.34,8.82,14.64,0
147,1,5,1,0.77,13.27,84.17,1.79,1.0,0.0,0.0,15.96,10.53,8.81,17.15,22.0,10.25,5.12,10.17,0
148,0,5,2,5.67,94.33,0.0,0.0,10.0,0.0,0.0,10.44,12.15,15.53,9.23,13.0,16.67,12.49,10.48,1
149,0,5,1,2.45,25.61,68.9,3.04,13.0,0.0,0.0,12.78,11.29,19.06,15.7,7.95,13.24,10.41,9.58,1
150,0,5,1,2.24,66.08,27.82,3.86,0.0,0.0,0.0,12.37,28.76,6.9,12.09,7.46,14.55,8.58,9.28,0
151,1,5,1,0.11,2.02,97.51,0.36,0.0,0.0,0.0,8.22,25.55,11.24,9.76,5.64,9.13,20.44,10.02,1
152,0,5,1,4.72,46.76,41.26,7.26,1.0,0.0,0.0,9.41,5.17,6.49,7.26,14.19,28.35,18.23,10.89,0
153,0,5,1,4.55,87.97,0.0,7.48,0.0,0.0,0.0,8.65,7.75,9.14,38.02,8.69,12.14,6.99,8.62,0
154,1,5,1,0.42,11.68,86.9,1.01,12.0,0.0,0.0,44.71,10.32,3.37,3.09,3.44,2.76,25.25,7.08,0
155,1,5,0,4.4,29.48,61.46,4.66,12.0,0.0,0.0,9.18,12.5,23.2,8.03,9.51,10.71,19.98,6.88,0
156,0,5,0,5.69,53.57,36.72,4.01,0.0,0.0,0.0,9.61,6.01,9.44,8.05,23.16,19.38,7.82,16.53,1
157,0,5,1,1.51,15.18,78.81,4.5,6.0,0.0,0.0,11.39,7.39,16.69,10.35,10.86,9.31,15.97,18.05,1
158,1,5,1,18.12,62.78,0.0,19.1,0.0,1.0,0.0,12.03,11.65,15.45,8.26,10.41,21.27,10.5,10.44,1
159,0,5,1,0.46,5.2,93.71,0.63,1.0,0.0,0.0,8.74,12.07,8.43,11.81,20.38,15.44,6.89,16.25,1
160,0,5,0,3.97,26.87,62.77,6.39,0.0,0.0,0.0,13.95,11.35,15.66,9.84,9.56,15.55,10.83,13.26,0
161,0,5,0,1.75,28.06,65.77,4.42,3.0,1.0,0.0,15.74,9.66,14.12,17.55,14.49,8.45,9.66,10.33,0
162,0,5,0,1.31,21.98,75.65,1.05,1.0,0.0,0.0,5.86,15.8,7.59,15.3,20.13,13.12,10.96,11.24,1
163,0,5,0,4.65,79.11,0.0,16.24,5.0,0.0,0.0,12.99,13.8,10.6,8.53,13.47,11.41,21.44,7.76,0
164,1,5,1,0.45,8.51,88.69,2.35,0.0,0.0,0.0,55.19,8.46,5.75,7.82,5.06,8.74,6.62,2.35,0
165,1,5,0,2.57,27.84,61.0,8.59,0.0,0.0,0.0,9.33,10.5,14.47,17.82,14.83,4.73,6.31,22.01,1
166,1,5,0,8.21,64.93,19.19,7.67,32.0,1.0,0.0,36.61,8.98,8.84,8.0,5.52,9.26,11.34,11.44,1
167,0,5,0,0.86,16.8,81.1,1.24,0.0,0.0,0.0,10.15,9.75,7.97,31.77,7.49,12.26,16.01,4.6,0
168,0,5,2,1.83,33.53,58.7,5.94,0.0,0.0,0.0,13.77,10.44,11.74,10.27,9.4,20.59,10.24,13.55,1
169,0,5,0,2.93,38.15,53.63,5.29,0.0,0.0,0.0,23.98,12.43,8.77,6.31,10.55,11.99,15.41,10.56,0
170,0,5,1,16.5,74.13,0.0,9.38,0.0,0.0,0.0,12.53,12.68,14.99,9.46,13.32,12.59,14.31,10.13,1
171,0,5,1,6.74,65.37,23.93,3.95,1.0,0.0,0.0,9.4,7.31,18.13,29.04,5.58,8.86,13.85,7.82,1
172,0,5,1,9.55,66.9,0.0,23.55,0.0,1.0,0.0,12.65,14.43,11.93,11.32,10.38,14.65,15.17,9.46,0
173,0,5,0,3.67,57.91,24.52,13.9,9.0,0.0,0.0,10.75,12.83,17.97,10.03,8.74,21.08,10.02,8.59,1
175,0,5,1,17.74,68.7,0.0,13.56,0.0,0.0,0.0,11.52,10.64,13.49,8.36,12.83,14.74,15.53,12.89,1
176,0,5,1,7.87,69.04,0.0,23.1,11.0,0.0,0.0,15.55,11.98,17.41,10.42,10.54,14.03,11.24,8.83,0
177,0,5,0,5.12,64.33,17.66,12.88,0.0,0.0,0.0,9.8,14.14,8.53,15.08,13.73,9.71,10.61,18.4,1
178,0,5,1,5.43,85.98,0.0,8.59,0.0,0.0,0.0,18.28,12.32,13.1,18.71,10.65,7.98,10.36,8.6,0
179,0,5,0,7.62,53.34,27.94,11.1,14.0,0.0,0.0,16.48,8.81,14.81,10.05,14.6,10.88,13.61,10.77,0
180,0,5,0,3.73,24.45,68.62,3.2,1.0,0.0,0.0,7.11,8.45,6.51,14.12,29.58,11.76,8.87,13.59,1
181,0,5,1,0.56,8.16,90.04,1.24,3.0,0.0,0.0,12.87,7.15,9.39,17.91,8.72,14.18,12.25,17.53,1
182,0,5,1,0.79,24.44,72.52,2.25,0.0,0.0,0.0,10.86,14.84,14.47,9.17,11.14,17.39,13.75,8.37,1
183,0,5,0,14.48,70.24,0.0,15.28,2.0,0.0,0.0,15.42,12.38,15.49,11.71,11.6,11.87,10.94,10.59,0
184,0,5,0,1.54,13.82,82.99,1.65,0.0,0.0,0.0,20.51,26.2,8.62,12.44,5.19,12.51,3.48,11.06,0
185,0,5,0,10.49,35.52,38.79,15.19,0.0,1.0,0.0,8.79,12.07,13.03,11.85,14.63,14.14,16.42,9.08,1
186,0,5,0,0.95,10.97,86.95,1.13,0.0,0.0,0.0,29.85,12.32,11.11,11.41,14.35,7.45,6.2,7.3,0
187,0,5,1,2.6,19.95,74.83,2.62,0.0,1.0,0.0,24.99,11.48,15.04,8.26,9.91,9.5,10.12,10.7,0
188,0,5,1,7.33,65.51,0.0,27.16,11.0,0.0,0.0,12.94,13.31,16.42,10.8,10.08,12.3,12.12,12.04,1
189,0,5,0,3.96,70.57,22.57,2.91,2.0,0.0,0.0,7.99,10.33,33.94,15.11,11.25,7.29,7.71,6.38,1
190,1,5,0,1.38,16.34,80.14,2.13,0.0,1.0,0.0,20.4,12.97,8.72,8.9,15.58,13.7,8.03,11.7,1
191,0,5,1,7.11,29.73,49.23,13.93,1.0,1.0,0.0,17.59,10.95,8.39,14.32,11.56,7.11,17.21,12.87,0
192,0,5,1,1.18,5.52,92.03,1.27,0.0,1.0,0.0,11.09,15.32,10.7,18.56,5.87,9.25,13.44,15.77,1
193,0,5,1,17.97,60.39,0.0,21.64,1.0,1.0,2.0,11.6,11.79,15.72,11.09,10.52,14.0,13.55,11.73,1
194,0,5,1,8.0,42.54,39.78,9.67,0.0,1.0,0.0,13.86,15.11,11.33,10.84,11.37,11.9,11.15,14.44,0
195,1,5,0,20.79,63.46,0.0,15.75,3.0,1.0,0.0,16.39,10.83,12.23,12.0,10.34,12.17,16.03,10.02,0
196,0,5,1,5.18,43.97,42.1,8.75,0.0,0.0,0.0,10.62,20.45,10.33,14.63,12.74,11.97,9.13,10.13,1
197,0,5,1,2.22,60.18,27.21,10.39,1.0,0.0,0.0,2.82,7.39,3.32,18.5,6.28,24.28,23.58,13.83,1
198,0,5,1,4.2,37.58,49.04,9.18,0.0,1.0,3.0,7.98,16.43,10.63,13.29,8.31,14.69,15.27,13.41,1
