고객번호,성별,연령대,거주지역,경쟁사이용횟수,멤버쉽보유,온라인이용횟수,1번품목구매비율(%),2번품목구매비율(%),3번품목구매비율(%),4번품목구매비율(%),편의품구매횟수,선매품구매횟수,전문품구매횟수,기타구매횟수,편의품구매등급,선매품구매등급,전문품구매등급,기타구매등급,1기구매비율(%),2기구매비율(%),3기구매비율(%),4기구매비율(%),5기구매비율(%),6기구매비율(%),7기구매비율(%),8기구매비율(%),1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,8기구매등급,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,7기구매횟수,8기구매횟수,A제휴사구매비율(%),B제휴사구매비율(%),C제휴사구매비율(%),D번제휴사구매비율(%),A_구매횟수,B_구매횟수,C_구매횟수,D_구매횟수,A_총구매액,B_총구매액,C_총구매액,D_총구매액,분기증감확인
34,0,5,1,5,0,0,10.58,69.85,0,19.57,856,58,0,34,4,6,7,5,8.03,11.58,8.06,9.29,8.35,16.35,20.14,18.21,6,4,7,5,7,6,8,9,136,199,140,172,127,91,53,30,31.52,53.56,14.92,0,925,1,22,0,4,10,5,8,0
35,0,5,1,10,0,0,3.72,36.43,52.04,7.81,789,144,5,56,2,3,3,1,8.55,10.28,25.01,8.04,16.47,8.8,11.03,11.82,3,3,2,4,2,2,2,2,115,133,88,90,90,205,144,129,48.03,7.22,0,44.75,672,321,0,1,3,5,10,1,1
36,1,5,0,0,0,0,5.75,79.53,0,14.72,843,91,0,26,1,3,7,3,16.5,14.21,11.22,16.49,5.87,20.99,10.36,4.37,3,2,3,3,6,2,2,4,71,170,131,87,80,112,158,151,78.61,12.83,8.55,0,829,53,78,0,3,8,4,8,0
37,0,5,1,9,1,0,2.11,59.04,33.7,5.15,936,127,1,93,3,2,4,1,7.88,6.09,14.82,18.97,11.52,22.68,10.46,7.57,6,4,2,1,2,1,2,2,59,136,146,198,145,115,157,201,80.53,5.83,13.63,0,1092,63,2,0,2,8,8,8,1
38,0,5,1,0,0,0,9.67,43.47,22.9,23.96,2443,147,1,89,1,6,5,2,12.55,11.61,13.57,9.71,11.49,11.89,15.61,13.57,5,5,4,5,4,5,3,4,266,291,368,371,357,334,355,338,62.6,22.74,14.67,0,268,1845,567,0,5,1,3,8,1
39,0,5,2,0,0,0,0.46,56.54,42.59,0.41,404,104,1,65,8,1,3,4,48.85,14.29,4.11,5.63,2.21,9.79,8.03,7.09,1,1,2,1,2,1,1,1,42,94,55,84,78,97,61,63,98.38,0,1.62,0,562,0,12,0,1,10,6,8,0
40,1,5,0,0,0,0,3.09,44.03,47.46,5.41,639,200,2,17,9,3,4,8,7.57,13.24,10.44,7.62,13.87,12.68,24.5,10.09,5,3,6,6,3,4,2,4,121,132,84,99,128,93,102,99,84.25,9.75,6,0,466,293,99,0,4,6,4,8,1
41,1,5,1,0,0,0,3.3,38.44,50.72,7.55,484,35,2,194,8,5,4,1,13.12,17.65,10.29,16.2,12.95,9.14,6.63,14.02,5,4,8,5,4,6,6,4,67,81,65,72,110,101,144,75,65.28,19.96,14.76,0,485,189,41,0,4,6,4,8,1
42,1,5,1,0,0,23,6.87,60.17,22.61,10.35,2123,62,1,11,3,7,5,9,16.55,14.22,11.74,8.56,12.85,10.38,11.76,13.95,7,5,6,8,5,6,6,4,148,247,273,237,308,358,330,296,89.46,7.38,3.15,0,20,2129,48,0,7,2,5,8,1
43,0,5,0,2,1,0,5.15,88.68,0,6.18,1088,20,0,1,9,8,7,10,12.05,13.26,10.19,32,7.61,7.88,8.57,8.43,8,10,10,5,10,10,9,10,146,104,73,110,131,209,206,130,93.66,2.47,3.87,0,8,1099,2,0,7,4,8,8,0
44,0,5,1,0,1,0,0.49,5.73,92.44,1.34,812,122,34,26,5,4,1,4,8.4,3.18,2.41,44.01,7.52,2.92,8.98,22.57,3,4,3,1,2,4,2,1,67,108,224,118,107,125,119,126,89.39,7.71,2.9,0,575,42,377,0,1,7,3,8,1
45,0,5,0,1,0,0,0.89,54.74,42.52,1.85,404,277,11,57,9,1,2,2,16.63,0.94,9.2,14.09,12.42,18.54,11.94,16.24,1,6,1,1,1,1,1,1,67,80,77,128,98,124,77,98,95.48,1.83,2.69,0,586,159,4,0,1,6,7,8,1
46,0,5,2,4,0,0,0.58,11.22,87.47,0.73,461,116,23,80,5,2,1,2,21.97,13.22,3.12,5.79,31.94,5.48,7.55,10.93,1,1,4,2,1,2,1,1,63,69,63,81,78,107,93,126,95.58,2.79,1.63,0,638,38,4,0,1,8,8,8,0
47,0,5,1,0,0,0,0.75,5.47,92.17,1.61,1589,92,1,31,2,5,3,5,11.92,10.74,28.3,9.62,9.16,9.96,12.66,7.64,4,3,2,6,5,7,9,7,279,357,208,174,238,180,101,176,85.39,10.87,3.74,0,127,1579,7,0,5,2,8,8,0
48,0,5,0,0,0,0,2.89,36.12,53.84,7.14,440,191,15,21,3,1,1,3,7.23,11.49,20.45,7.98,16.3,12.97,8.14,15.44,2,2,1,2,1,1,2,2,87,78,83,81,84,88,111,55,92.28,4.94,2.78,0,520,39,108,0,1,8,4,8,1
49,0,5,1,1,0,0,0.89,22.79,74.28,2.04,439,159,14,70,7,1,1,1,9.37,10.89,11.8,5.71,14.12,9.91,27.39,10.82,2,1,1,3,1,2,1,2,86,102,88,69,90,85,88,74,92.29,3.98,3.73,0,677,4,1,0,1,10,9,8,0
50,0,5,1,0,0,0,4.84,41.27,46.87,7.03,1507,168,3,87,3,4,4,4,13.35,15.1,16.71,12.82,10.37,11.63,9.94,10.06,4,3,4,4,4,5,4,4,207,246,188,201,232,211,263,217,54.29,36.57,9.14,0,1226,249,290,0,4,5,3,8,0
51,0,5,0,2,0,0,7.88,80.88,0,11.24,1655,143,0,15,3,4,7,8,11.11,11.53,10.04,19.9,10.49,13.55,9.62,13.75,3,4,5,3,5,6,8,5,385,273,254,216,223,144,165,153,67.77,16.89,0,15.34,701,1098,0,14,4,4,10,1,0
52,0,5,1,0,0,0,2.45,33.68,60.01,3.86,894,140,10,207,4,3,2,1,24.29,14.48,9.29,10.04,8.95,14.35,11.19,7.39,2,3,4,3,3,2,3,4,115,137,165,167,207,188,146,126,53.8,41.1,5.1,0,1211,1,39,0,3,10,5,8,0
53,1,5,2,3,0,0,2,46.96,49.61,1.43,543,107,5,99,6,2,2,3,8.22,32.43,3.55,27.15,8.05,10.86,5.04,4.7,4,1,5,1,3,3,5,4,67,84,134,99,94,85,86,105,80.63,7.11,12.26,0,481,88,185,0,2,7,3,8,0
54,0,5,0,12,0,0,8.83,45.77,33.02,12.38,654,45,1,50,7,7,5,4,14.29,16.94,13.45,12.86,13.4,11.21,8.43,9.41,7,6,8,7,9,9,9,7,83,92,93,91,68,95,109,119,18.77,43.17,13.91,24.14,744,1,4,1,5,10,7,2,0
55,0,5,0,0,0,0,3.86,40.12,0,56.02,947,5,0,3,7,10,7,7,10.09,12.7,18.61,13.5,12.25,9.94,13.88,9.03,9,10,8,9,9,10,9,10,145,89,124,119,133,129,137,79,34.24,58.59,7.18,0,1,19,935,0,10,7,2,8,0
56,0,5,0,2,0,0,1.22,20.03,76.45,2.29,387,223,28,128,8,2,1,1,15.97,15.43,5.29,7.95,26.42,13.43,5.7,9.81,1,1,4,2,1,1,3,1,100,93,61,112,91,118,83,108,91.91,3.9,4.19,0,728,11,27,0,1,9,5,8,0
57,0,5,0,0,0,0,3.78,22.97,23.89,49.35,1992,3,1,1,4,10,5,9,10.2,11.09,10.22,9.63,32.98,8.49,9.08,8.32,8,7,9,8,5,10,8,8,259,284,244,243,153,197,332,285,25.87,71.94,2.18,0,2,14,1981,0,10,6,2,8,0
58,0,5,1,0,0,0,6.96,46.3,29.18,17.55,418,129,28,43,7,4,2,2,12.89,12.14,11.53,16.45,9.76,9.04,12.37,15.83,4,4,4,3,4,5,5,3,73,72,74,78,89,90,63,79,90.92,9.08,0,0,613,5,0,0,4,10,10,8,1
59,0,5,1,1,0,0,1.88,48.56,44.48,5.08,755,53,3,31,5,4,3,4,13.55,21.97,10.15,8.1,7.7,12.85,13.67,12.02,3,3,4,4,5,4,4,4,95,85,121,129,111,112,95,94,66.81,15.8,17.4,0,767,73,2,0,3,7,8,8,0
60,0,5,1,1,0,0,6.68,79.76,3.51,10.05,1306,134,1,35,2,4,6,6,11.98,13.38,9.48,10.82,9.74,12.59,14.18,17.83,5,3,4,3,5,3,3,3,112,183,185,214,163,214,224,181,79.65,14.9,5.44,0,310,1150,16,0,4,2,6,8,1
61,0,5,1,3,1,0,4.88,36.44,53.33,5.36,1527,157,7,14,2,4,3,8,16.24,14.62,16.54,9.44,8.62,11,10.73,12.8,2,3,4,5,5,5,4,4,289,247,137,206,200,179,279,168,56.65,32.67,10.67,0,679,203,823,0,4,5,3,8,0
62,0,5,1,6,0,0,6.63,55.78,23.88,13.71,692,139,3,138,7,4,4,1,8.28,17.24,17.27,12.84,8.77,12.82,13.91,8.86,7,3,4,5,5,5,5,5,100,144,123,114,152,105,105,129,73.83,15.35,10.81,0,478,474,20,0,4,5,6,8,1
63,0,5,0,0,0,0,12.49,74.22,0,13.28,584,25,0,7,9,9,7,9,8.38,11.7,12.14,13.98,16.17,12.53,17.85,7.25,10,9,10,10,9,10,9,10,64,93,74,63,67,91,80,84,35.6,48.61,15.79,0,613,1,2,0,5,10,9,8,1
64,1,5,0,0,0,0,7.03,14.39,69.77,8.81,798,7,1,13,10,10,5,9,11.07,9.51,14.19,11.79,10.41,12.04,14.72,16.27,10,10,10,10,10,10,10,10,145,176,127,138,114,66,11,42,63.71,21.07,15.21,0,2,816,1,0,10,5,9,8,0
65,0,5,1,2,1,0,5.13,39.81,48.15,6.91,729,98,4,46,5,5,3,4,10.83,11.7,22.75,6.13,13.86,12.59,13.81,8.31,6,6,3,9,3,5,8,5,96,95,111,85,172,129,60,129,66.06,24.11,9.83,0,648,226,3,0,4,6,8,8,0
66,0,5,1,0,0,0,9,80.14,0,10.86,1977,72,0,91,2,6,7,5,16.15,12.23,11.51,10.77,11.69,13.55,12.5,11.6,4,5,6,5,5,5,5,5,264,247,262,293,282,274,285,233,55.29,22.02,22.7,0,480,1652,8,0,5,3,6,8,0
67,0,5,0,0,0,0,8.32,84.06,0,7.62,1957,16,0,5,4,9,7,10,13.86,13.76,14.66,13.92,11.45,11.15,12.59,8.62,9,9,8,7,7,8,7,7,145,169,217,217,286,303,315,326,92.78,3.35,3.87,0,5,1971,2,0,8,3,8,8,1
68,1,5,0,1,0,0,1.11,25.84,67.89,5.16,881,185,441,83,6,2,1,1,25.05,15.03,7.62,9.29,20.66,6.71,6.55,9.1,1,1,1,1,1,1,1,1,196,243,292,191,132,156,214,166,41.25,56.36,2.4,0,432,1156,2,0,2,1,8,8,0
69,0,5,0,0,1,0,21.97,78.03,0,0,3861,5,0,0,2,10,7,10,13.72,12.84,14.13,10.54,12.56,12.59,13.94,9.68,7,6,5,6,6,6,5,5,333,445,536,497,427,507,567,554,32.39,35.6,32.01,0,1,126,3739,0,10,7,1,8,1
70,1,5,2,33,0,0,0.63,29.37,67.25,2.75,479,65,21,83,10,4,1,2,3.85,1.51,9.02,3.71,4.1,25.03,15.09,37.69,3,6,1,3,4,5,5,3,135,153,120,120,77,11,19,13,72.4,21.38,6.22,0,617,1,30,0,3,10,5,8,0
71,0,5,1,0,0,0,5.13,88.95,0,5.92,1078,5,0,30,9,10,7,8,11.33,13.59,12.47,10.91,16.31,11.49,13.5,10.4,10,10,10,10,10,10,10,10,141,131,161,132,143,138,174,93,67,19.59,13.41,0,2,1079,32,0,10,5,6,8,0
72,0,5,0,0,0,0,13.46,40.75,0,45.79,896,127,0,8,7,7,7,8,18.98,11.08,17.29,9.69,12.18,8.67,11.25,10.86,9,10,6,8,8,9,8,7,66,79,139,138,129,176,155,149,84.71,10.61,4.68,0,23,1002,6,0,7,4,8,8,1
73,0,5,1,0,0,0,2.86,19.37,73.89,3.87,158,319,147,11,8,1,1,5,9.53,11.06,13.5,11.08,16.71,15.1,12.92,10.1,1,1,1,1,1,1,1,1,98,95,106,69,79,48,75,65,96.27,3.17,0.56,0,557,71,7,0,1,7,8,8,0
74,0,5,1,3,0,42,4.26,29.87,58.26,7.61,433,257,14,55,9,3,2,3,14.26,24.66,17.89,14.55,8.9,6.28,5.25,8.22,3,2,2,4,4,6,9,5,95,120,127,63,115,101,63,75,76.77,13.87,9.36,0,586,105,68,0,3,7,4,8,0
75,1,5,1,0,0,0,10.14,73.6,0,16.26,875,27,0,25,10,9,7,8,11.06,16.61,14.36,10.29,12.8,13.81,12.48,8.59,10,10,10,10,10,10,10,10,106,99,126,146,101,89,119,141,33.34,45.49,21.17,0,624,1,302,0,6,10,3,8,0
76,0,5,0,0,1,0,3.5,20.58,71.41,4.52,722,152,2,47,9,5,4,6,10.17,9.69,15,14.11,10.16,16.52,10.38,13.97,7,7,9,6,9,6,8,6,120,154,77,124,90,124,132,102,56.51,31.04,12.44,0,657,139,127,0,5,6,4,8,1
77,0,5,1,13,0,0,3.61,43.86,45.91,6.63,882,144,10,56,4,3,3,3,15.12,17.67,8.38,9.88,13.25,10.47,10.65,14.58,3,3,3,3,3,3,4,2,99,111,198,141,107,152,131,153,80.48,19.52,0,0,782,310,0,0,3,5,10,8,1
78,0,5,0,0,0,0,3.14,41.15,52.04,3.67,590,253,36,150,3,1,1,1,11.96,13.31,11.55,9.91,10.93,18.92,13.17,10.25,1,2,1,2,1,1,1,2,111,70,129,126,153,173,138,129,74.97,17.23,7.8,0,817,195,17,0,1,5,5,8,0
79,0,5,1,5,1,0,10.68,52.7,0,36.63,1857,121,0,54,3,6,7,3,11.03,16.14,14.62,11.72,10.46,11.99,13.33,10.71,6,6,5,5,8,5,5,7,270,193,273,273,210,312,312,189,73.09,16.46,10.45,0,158,1848,26,0,6,2,6,8,0
80,0,5,1,0,0,0,4.95,78.15,0,16.89,1598,37,0,40,7,7,7,5,7.92,12.32,11.32,10.3,13.98,15.89,11.1,17.18,9,9,8,7,8,7,9,5,243,129,227,248,177,221,221,209,73.43,17.98,8.59,0,105,139,1431,0,6,6,2,8,1
81,0,5,1,0,0,0,1.36,38.5,58.25,1.89,474,189,10,122,8,1,2,2,13.95,7.27,16.88,8.32,7.36,14.75,20.23,11.25,1,3,1,3,2,1,1,2,89,99,75,77,130,117,121,87,90.47,6.93,2.6,0,694,93,8,0,2,7,7,8,0
82,0,5,1,0,0,0,0.69,34.62,62.52,2.18,894,220,27,42,5,1,1,2,12.7,6.6,18.3,4.79,6.54,10.42,25.5,15.14,1,2,1,2,1,1,1,1,103,132,193,162,188,157,118,130,94.29,3.64,2.06,0,563,595,25,0,1,4,5,8,1
83,0,5,1,1,1,0,1.15,49.75,47.59,1.51,749,185,2,120,4,1,3,1,9.36,9.69,17.79,7.37,10.4,13.12,21.37,10.9,2,1,1,2,1,1,1,1,63,125,186,126,156,135,164,101,86.72,3.56,9.72,0,844,211,1,0,1,6,8,8,1
84,0,5,0,0,0,0,1.15,21.92,74.74,2.2,304,168,5,25,9,2,2,4,9.55,8.51,6.94,5.52,40.22,15.08,5.32,8.85,2,4,3,6,1,1,7,3,99,38,65,35,77,85,40,63,85.15,9.88,4.97,0,453,45,4,0,2,7,7,8,0
85,0,5,0,6,0,0,8.36,50.77,0,40.87,805,65,0,7,5,6,7,6,11.66,12.91,8.19,10.54,15.35,14.59,14.99,11.75,9,9,10,6,6,5,5,5,58,52,85,138,98,150,151,145,50.18,0,30.37,19.44,867,0,2,8,4,10,8,1,1
86,0,5,0,0,0,0,4.61,68.9,22.43,4.07,2046,174,1,51,1,3,5,6,6.95,14.51,13.27,15.16,8.85,8.48,12.78,20,5,3,3,3,3,3,2,2,225,252,230,240,408,367,313,237,85.49,6.95,2.68,4.89,267,1994,9,2,4,1,7,2,1
87,1,5,1,1,1,0,0.79,29.27,69.27,0.66,384,69,3,105,8,2,2,3,39.38,11.35,2.22,9.47,13.43,3.29,12.57,8.29,1,1,10,3,2,7,2,4,63,126,43,70,62,78,67,52,80.24,12.38,7.38,0,456,10,95,0,2,9,3,8,0
88,0,5,0,14,0,0,1.12,26.58,69.61,2.69,1272,147,2,83,2,2,3,1,7.3,14.96,11.37,10.78,10.38,10.02,8.99,26.2,3,2,2,2,2,3,3,1,186,182,177,208,237,146,176,192,88.47,6.66,4.88,0,572,922,10,0,2,4,6,8,1
89,0,5,1,4,0,0,5.58,62.04,21.96,10.41,1883,101,1,57,5,5,5,5,10.9,19.38,15.21,12.14,14.85,9.83,9.35,8.34,8,4,5,7,5,6,7,6,154,267,234,201,261,330,279,316,74.52,11.42,10.2,3.86,168,1590,283,1,5,3,3,2,1
90,0,5,1,1,0,0,1.28,15.09,82.26,1.37,339,143,1,59,5,2,3,2,10.32,6.24,5.81,31.45,9.53,8.67,14.94,13.05,4,4,3,1,4,3,2,2,35,72,88,94,47,71,77,58,59.9,33.04,7.06,0,512,24,6,0,2,6,6,8,1
91,0,5,0,0,0,0,12.81,78.09,0,9.1,863,33,0,28,2,6,7,7,12.54,15.95,13.79,9.68,14.7,11.39,14.19,7.77,5,5,5,5,4,5,5,6,105,93,120,122,114,121,122,127,62.89,21.57,15.54,0,713,53,158,0,4,8,3,8,0
92,0,5,0,0,0,0,4.59,31.52,51.58,12.31,1350,385,4,55,1,2,3,2,8.9,8.56,9.98,14.98,10.19,14.59,14.97,17.82,2,3,2,2,3,2,2,2,247,244,260,218,198,207,252,168,71.62,14.4,13.98,0,726,612,456,0,3,4,2,8,1
93,0,5,1,1,0,0,2.68,31.18,62.97,3.18,399,288,39,57,4,1,1,2,6.59,5.92,13.67,35.74,9.07,16.17,5.49,7.36,1,1,1,2,1,1,1,1,104,101,89,16,113,86,169,105,93,3.07,3.93,0,763,14,6,0,1,9,7,8,1
