"고객번호","소분류코드","구매일자","RNK"
"00024","B140104",20151231,1
"00025","A010601",20151231,1
"00026","A010512",20151226,1
"00026","A020302",20151226,1
"00026","A020303",20151226,1
"00027","A010302",20151226,1
"00027","A010404",20151226,1
"00028","B740102",20151231,1
"00028","B200801",20151231,1
"00028","B520503",20151231,1
"00029","B190102",20151228,1
"00029","B130804",20151228,1
"00029","B200801",20151228,1
"00030","C030704",20151231,1
"00030","C170206",20151231,1
"00030","C160203",20151231,1
"00030","C160201",20151231,1
"00030","C140501",20151231,1
"00030","C070402",20151231,1
"00030","C070203",20151231,1
"00030","C060504",20151231,1
"00030","C090201",20151231,1
"00030","C010101",20151231,1
"00030","C030204",20151231,1
"00030","C010206",20151231,1
"00031","A010101",20151228,1
"00031","A010707",20151228,1
"00031","A010302",20151228,1
"00031","A010652",20151228,1
"00032","A011003",20151230,1
"00032","B050101",20151230,1
"00032","B100501",20151230,1
"00032","A010646",20151230,1
"00033","B380402",20151231,1
"00033","B090302",20151231,1
"00033","B210802",20151231,1
"00033","B160403",20151231,1
"00033","B160102",20151231,1
"00033","B900103",20151231,1
"00034","A010103",20151223,1
"00034","A090303",20151223,1
"00034","A010201",20151223,1
"00034","A010101",20151223,1
"00034","A010901",20151223,1
"00034","A010707",20151223,1
"00034","A011004",20151223,1
"00035","A010403",20151225,1
"00035","A010401",20151225,1
"00035","A010608",20151225,1
"00035","A010501",20151225,1
"00035","A010402",20151225,1
"00035","A050106",20151225,1
"00035","A050106",20151225,1
"00036","A010404",20151231,1
"00036","A010608",20151231,1
"00036","A010650",20151231,1
"00036","A010101",20151231,1
"00036","A010401",20151231,1
"00036","A010301",20151231,1
"00037","A010602",20151231,1
"00037","A010601",20151231,1
"00037","A011001",20151231,1
"00037","B100104",20151231,1
"00037","B730302",20151231,1
"00037","B730104",20151231,1
"00037","B380406",20151231,1
"00037","B380402",20151231,1
"00038","C030802",20151231,1
"00038","C090105",20151231,1
"00038","C150202",20151231,1
"00038","C070102",20151231,1
"00038","C010102",20151231,1
"00038","C090104",20151231,1
"00038","C050107",20151231,1
"00038","C090104",20151231,1
"00038","C030105",20151231,1
"00038","C170206",20151231,1
"00038","C140402",20151231,1
"00038","C110204",20151231,1
"00038","C110203",20151231,1
"00038","C030707",20151231,1
"00038","C030401",20151231,1
"00039","A020205",20151231,1
"00039","A010644",20151231,1
"00040","B010106",20151231,1
"00040","B790310",20151231,1
"00040","B790304",20151231,1
"00040","B470106",20151231,1
"00040","B200304",20151231,1
"00040","B060403",20151231,1
"00040","A010614",20151231,1
"00040","B460501",20151231,1
"00041","B920103",20151229,1
"00041","B520603",20151229,1
"00041","B650203",20151229,1
"00042","C150302",20151231,1
"00043","B051207",20151231,1
"00043","B890103",20151231,1
"00043","B111103",20151231,1
"00043","B380205",20151231,1
"00044","C010206",20151231,1
"00044","C030901",20151231,1
"00045","A010901",20151231,1
"00045","A010613",20151231,1
"00046","A060166",20151231,1
"00046","A010612",20151231,1
"00046","A010607",20151231,1
"00046","A040215",20151231,1
"00046","A040215",20151231,1
"00047","B130804",20151231,1
"00048","A010403",20151220,1
"00048","A020603",20151220,1
"00048","A011004",20151220,1
"00048","A011004",20151220,1
"00048","A010302",20151220,1
"00049","A010613",20151231,1
"00050","A010302",20151229,1
"00050","A010608",20151229,1
"00050","A010501",20151229,1
"00050","A010605",20151229,1
"00051","B100305",20151231,1
"00051","B010202",20151231,1
"00051","B910204",20151231,1
"00051","B050101",20151231,1
"00051","B120606",20151231,1
"00051","B920102",20151231,1
"00051","B820201",20151231,1
"00051","B740202",20151231,1
"00051","B431002",20151231,1
"00051","B380205",20151231,1
"00052","A010632",20151230,1
"00053","A010644",20151231,1
"00054","A011004",20151229,1
"00054","A010613",20151229,1
"00054","A011003",20151229,1
"00054","A011003",20151229,1
"00055","C060406",20151230,1
"00055","C120101",20151230,1
"00055","C070202",20151230,1
"00055","C130302",20151230,1
"00055","C170206",20151230,1
"00056","A010645",20151231,1
"00057","C030202",20151229,1
"00057","C030104",20151229,1
"00057","C120502",20151229,1
"00057","C040213",20151229,1
"00057","C030405",20151229,1
"00057","C140101",20151229,1
"00057","C110502",20151229,1
"00057","C080202",20151229,1
"00057","C050301",20151229,1
"00057","C040304",20151229,1
"00057","C040106",20151229,1
"00057","C030602",20151229,1
"00057","C030501",20151229,1
"00057","C030106",20151229,1
"00057","C020103",20151229,1
"00057","C010110",20151229,1
"00057","C050209",20151229,1
"00057","C050204",20151229,1
"00057","C050108",20151229,1
"00057","C050107",20151229,1
"00057","C010206",20151229,1
"00058","A080125",20151231,1
"00059","A010402",20151230,1
"00059","A010603",20151230,1
"00059","A010403",20151230,1
"00059","A010404",20151230,1
"00059","A010710",20151230,1
"00059","A010501",20151230,1
"00059","A010404",20151230,1
"00060","B080203",20151230,1
"00060","B050101",20151230,1
"00061","B290301",20151220,1
"00061","B290301",20151220,1
"00061","B290301",20151220,1
"00061","A010402",20151220,1
"00062","A010613",20151222,1
"00063","A010103",20151230,1
"00063","A010302",20151230,1
"00064","B670201",20151231,1
"00065","B330403",20151217,1
"00065","B200801",20151217,1
"00065","B380205",20151217,1
"00065","B380802",20151217,1
"00065","A010403",20151217,1
"00065","B070201",20151217,1
"00066","B050117",20151231,1
"00066","B150501",20151231,1
"00066","B110303",20151231,1
"00066","B051404",20151231,1
"00067","B521301",20151231,1
"00067","B890103",20151231,1
"00067","B640304",20151231,1
"00068","B080601",20151230,1
"00068","B910107",20151230,1
"00068","B910103",20151230,1
"00068","B890104",20151230,1
"00068","B820205",20151230,1
"00068","B820201",20151230,1
"00068","B780208",20151230,1
"00068","B740101",20151230,1
"00068","B650204",20151230,1
"00068","B570206",20151230,1
"00068","B570205",20151230,1
"00068","B560502",20151230,1
"00068","B550601",20151230,1
"00068","B430503",20151230,1
"00068","B380404",20151230,1
"00068","B380302",20151230,1
"00068","B380204",20151230,1
"00068","B150102",20151230,1
"00068","B120603",20151230,1
"00068","B110801",20151230,1
"00068","B051005",20151230,1
"00068","B050102",20151230,1
"00068","B050101",20151230,1
"00068","B040301",20151230,1
"00068","B010202",20151230,1
"00068","B010106",20151230,1
"00068","B010205",20151230,1
"00068","B910204",20151230,1
"00068","B920202",20151230,1
"00068","B920102",20151230,1
"00068","B910207",20151230,1
"00068","B020102",20151230,1
"00068","B910104",20151230,1
"00068","B740202",20151230,1
"00068","B570204",20151230,1
"00068","B380402",20151230,1
"00068","B110402",20151230,1
"00068","B650504",20151230,1
"00068","B920603",20151230,1
"00069","C080201",20151231,1
"00069","C030105",20151231,1
"00069","C140205",20151231,1
"00069","C090201",20151231,1
"00069","C030809",20151231,1
"00069","C030301",20151231,1
"00069","C140502",20151231,1
"00069","C140407",20151231,1
"00069","C100105",20151231,1
"00069","C050212",20151231,1
"00069","C030310",20151231,1
"00069","C030309",20151231,1
"00069","C050108",20151231,1
"00070","A080103",20151216,1
"00071","B550120",20151230,1
"00071","B790503",20151230,1
"00071","B110801",20151230,1
"00071","B150401",20151230,1
"00071","B120901",20151230,1
"00071","B100504",20151230,1
"00072","B100301",20151225,1
"00072","B100504",20151225,1
"00072","B140203",20151225,1
"00073","A090308",20151228,1
"00074","A020302",20151229,1
"00074","A020206",20151229,1
"00074","A010501",20151229,1
"00074","A010603",20151229,1
"00074","A020303",20151229,1
"00074","A050602",20151229,1
"00074","A010644",20151229,1
"00074","A010619",20151229,1
"00075","C030404",20151231,1
"00075","C150301",20151231,1
"00076","A010626",20151230,1
"00076","A010902",20151230,1
"00076","A010613",20151230,1
"00077","A010403",20151230,1
"00077","A010614",20151230,1
"00077","A010404",20151230,1
"00077","A040254",20151230,1
"00077","A010613",20151230,1
"00077","A010401",20151230,1
"00077","A010302",20151230,1
"00077","A011004",20151230,1
"00077","A010707",20151230,1
"00077","A010510",20151230,1
"00077","A010501",20151230,1
"00077","A010402",20151230,1
"00077","A010803",20151230,1
"00078","A060209",20151230,1
"00079","B670402",20151230,1
"00079","A010401",20151230,1
"00079","A010402",20151230,1
"00079","A010707",20151230,1
"00079","B100502",20151230,1
"00079","B550601",20151230,1
"00079","B520903",20151230,1
"00079","B520603",20151230,1
"00079","B520503",20151230,1
"00079","B150102",20151230,1
"00079","B650204",20151230,1
"00080","C080202",20151231,1
"00080","C150101",20151231,1
"00080","C070101",20151231,1
"00080","C030501",20151231,1
"00080","C030301",20151231,1
"00080","C020201",20151231,1
"00081","A010602",20151229,1
"00081","A010613",20151229,1
"00081","A010207",20151229,1
"00081","A010608",20151229,1
"00082","B050502",20151231,1
"00082","B521301",20151231,1
"00082","B920509",20151231,1
"00082","B650204",20151231,1
"00082","A010644",20151231,1
"00082","A090101",20151231,1
"00083","A010601",20151230,1
"00083","A011004",20151230,1
"00084","A020105",20151230,1
"00084","A040254",20151230,1
"00085","A010501",20151228,1
"00085","A010608",20151228,1
"00086","B160401",20151231,1
"00086","B110302",20151231,1
"00086","B280606",20151231,1
"00086","B160101",20151231,1
"00087","A050109",20151226,1
"00087","A050301",20151226,1
"00087","A050501",20151226,1
"00088","B380406",20151230,1
"00088","B570204",20151230,1
"00088","B380303",20151230,1
"00088","B380204",20151230,1
"00088","B740101",20151230,1
"00089","B130501",20151231,1
"00089","B660104",20151231,1
"00089","B051206",20151231,1
"00089","B780205",20151231,1
"00089","B380302",20151231,1
"00089","B110406",20151231,1
"00089","B050106",20151231,1
"00090","A010903",20151231,1
"00090","A010612",20151231,1
"00090","A010403",20151231,1
"00091","A090101",20151231,1
"00091","A010653",20151231,1
"00091","A090101",20151231,1
"00091","A090501",20151231,1
"00092","A010644",20151231,1
"00093","A040902",20151226,1
"00093","A040902",20151226,1
"00094","A010650",20151230,1
"00094","A010602",20151230,1
"00094","A010404",20151230,1
"00094","A010608",20151230,1
"00094","A010644",20151230,1
"00095","B480301",20151230,1
"00095","B740503",20151230,1
"00096","A010403",20151230,1
"00096","A010103",20151230,1
"00096","A010202",20151230,1
"00096","A010302",20151230,1
"00096","A010902",20151230,1
"00096","A010404",20151230,1
"00097","A070302",20151230,1
"00098","B770103",20151231,1
"00098","B210803",20151231,1
"00098","B010202",20151231,1
"00098","B770402",20151231,1
"00098","B380802",20151231,1
"00098","B210802",20151231,1
"00099","A020703",20151231,1
"00099","A010801",20151231,1
"00099","A090606",20151231,1
"00099","A040902",20151231,1
"00099","A010604",20151231,1
"00100","A020302",20151107,1
"00101","A010607",20151231,1
"00102","C010206",20151231,1
"00102","C110101",20151231,1
"00102","C010117",20151231,1
"00102","C070102",20151231,1
"00102","C030404",20151231,1
"00102","C030401",20151231,1
"00102","C030207",20151231,1
"00102","C010211",20151231,1
"00102","A010613",20151231,1
"00103","C030310",20151231,1
"00103","C070102",20151231,1
"00104","B100301",20151230,1
"00104","B760301",20151230,1
"00104","B730401",20151230,1
"00104","B470104",20151230,1
"00104","B460501",20151230,1
"00104","B430504",20151230,1
"00105","B010103",20151231,1
"00105","B920603",20151231,1
"00105","B920102",20151231,1
"00105","B910202",20151231,1
"00105","B480401",20151231,1
"00105","B111103",20151231,1
"00105","B100305",20151231,1
"00106","A060231",20151230,1
"00106","A010646",20151230,1
"00107","A010644",20151230,1
"00108","A010501",20151231,1
"00108","A010902",20151231,1
"00108","A010620",20151231,1
"00108","A010401",20151231,1
"00108","A010630",20151231,1
"00109","C050414",20151231,1
"00110","B050118",20151231,1
"00110","B820101",20151231,1
"00110","B790210",20151231,1
"00110","B650204",20151231,1
"00110","B521301",20151231,1
"00110","B380303",20151231,1
"00110","B150601",20151231,1
"00110","B150402",20151231,1
"00110","B150401",20151231,1
"00110","B070701",20151231,1
"00110","B150702",20151231,1
"00110","B800402",20151231,1
"00110","B210802",20151231,1
"00111","C070103",20151231,1
"00111","C150103",20151231,1
"00111","C070102",20151231,1
"00111","C070102",20151231,1
"00112","A010401",20151231,1
"00113","A010646",20151224,1
"00114","C030401",20151231,1
"00114","C030103",20151231,1
"00114","C030107",20151231,1
"00114","C040602",20151231,1
"00114","C170502",20151231,1
"00115","C170150",20151230,1
"00115","C170206",20151230,1
"00116","C140101",20151231,1
"00116","C060406",20151231,1
"00117","A010302",20151231,1
"00117","A010509",20151231,1
"00117","A010401",20151231,1
"00117","A010512",20151231,1
"00117","A010405",20151231,1
"00117","A010404",20151231,1
"00117","A010403",20151231,1
"00117","A010402",20151231,1
"00117","A010614",20151231,1
"00117","C020103",20151231,1
"00117","C170701",20151231,1
"00118","A010521",20151231,1
"00119","A010637",20151218,1
"00120","A010201",20151231,1
"00120","A010608",20151231,1
"00120","A010614",20151231,1
"00120","A040902",20151231,1
"00121","A010101",20151231,1
"00121","A010302",20151231,1
"00121","A040233",20151231,1
"00121","A010502",20151231,1
"00121","A090201",20151231,1
"00121","B260210",20151231,1
"00121","B371001",20151231,1
"00121","B261004",20151231,1
"00122","A010644",20151231,1
"00122","A010644",20151231,1
"00123","B100301",20151231,1
"00123","B380205",20151231,1
"00124","A010707",20151229,1
"00125","A010645",20151218,1
"00125","A010644",20151218,1
"00126","A010803",20151231,1
"00127","A010402",20151231,1
"00127","A010604",20151231,1
"00127","A010631",20151231,1
"00128","C140501",20151219,1
"00128","C150405",20151219,1
"00129","B920103",20151231,1
"00130","A010603",20151212,1
"00130","A010612",20151212,1
"00130","A020105",20151212,1
"00130","A010302",20151212,1
"00130","A010602",20151212,1
"00130","A020105",20151212,1
"00130","A010401",20151212,1
"00130","A011004",20151212,1
"00131","A010403",20151231,1
"00131","A010202",20151231,1
"00131","A010404",20151231,1
"00131","A010401",20151231,1
"00131","A010404",20151231,1
"00131","A010401",20151231,1
"00131","A010401",20151231,1
"00131","A010404",20151231,1
"00131","A010103",20151231,1
"00132","B200801",20151225,1
"00132","B130204",20151225,1
"00132","B210803",20151225,1
"00132","B480401",20151225,1
"00132","B190906",20151225,1
"00132","B120503",20151225,1
"00133","A010631",20151230,1
"00134","B460305",20151231,1
"00134","A020206",20151231,1
"00134","A070201",20151231,1
"00135","A010405",20151231,1
"00135","A010403",20151231,1
"00136","A010401",20151231,1
"00136","A010302",20151231,1
"00136","A010402",20151231,1
"00137","A010606",20151230,1
"00138","A010402",20151226,1
"00138","A010606",20151226,1
"00138","A010302",20151226,1
"00138","A010207",20151226,1
"00138","A010404",20151226,1
"00138","A010401",20151226,1
"00138","A060167",20151226,1
"00138","A090102",20151226,1
"00138","A060167",20151226,1
"00138","A010901",20151226,1
"00138","B160101",20151226,1
"00138","B160301",20151226,1
"00138","B160202",20151226,1
"00138","A010103",20151226,1
"00138","A011001",20151226,1
"00139","A040302",20151230,1
"00140","A010403",20151229,1
"00141","C050602",20151230,1
"00141","C150405",20151230,1
"00141","C150402",20151230,1
"00141","C150401",20151230,1
"00141","C150306",20151230,1
"00141","C150301",20151230,1
"00141","C110101",20151230,1
"00141","C050602",20151230,1
"00141","C020201",20151230,1
"00142","A020302",20151205,1
"00143","B050104",20151226,1
"00143","B010108",20151226,1
"00143","B200801",20151226,1
"00143","B470104",20151226,1
"00143","B051403",20151226,1
"00143","B050501",20151226,1
"00144","B910103",20151228,1
"00144","B200302",20151228,1
"00144","B910108",20151228,1
"00144","B380406",20151228,1
"00144","B380303",20151228,1
"00144","B210802",20151228,1
"00144","B100301",20151228,1
"00144","B051304",20151228,1
"00144","B010110",20151228,1
"00144","B010102",20151228,1
"00144","B860405",20151228,1
"00144","B870502",20151228,1
"00145","A010605",20151229,1
"00145","A020303",20151229,1
"00146","A010646",20151229,1
"00146","A020302",20151229,1
"00147","A010634",20151231,1
"00148","C170206",20151231,1
"00148","C060504",20151231,1
"00148","C060504",20151231,1
"00149","A010647",20151230,1
"00149","A010903",20151230,1
"00149","A010403",20151230,1
"00149","A010403",20151230,1
"00149","A040502",20151230,1
"00150","C030208",20151210,1
"00150","C030605",20151210,1
"00151","A010401",20151231,1
"00151","A010402",20151231,1
"00152","A090306",20151227,1
"00152","A010644",20151227,1
"00152","A090102",20151227,1
"00153","A010608",20151231,1
"00153","A010902",20151231,1
"00153","B040101",20151231,1
"00154","A010644",20151231,1
"00154","A010710",20151231,1
"00155","A010608",20151230,1
"00155","A010101",20151230,1
"00155","A040222",20151230,1
"00155","A040222",20151230,1
"00155","A040224",20151230,1
"00155","A020302",20151230,1
"00155","A010508",20151230,1
"00155","A010302",20151230,1
"00156","C030401",20151229,1
"00156","C060206",20151229,1
"00157","A010609",20151230,1
"00158","A010901",20151231,1
"00158","A010207",20151231,1
"00158","A010602",20151231,1
"00159","A040225",20151231,1
"00160","A010613",20151231,1
"00160","A010707",20151231,1
"00160","A010401",20151231,1
"00161","A010653",20151230,1
"00161","A010645",20151230,1
"00162","A020302",20151229,1
"00163","C160701",20151231,1
"00163","C030401",20151231,1
"00164","A010646",20151229,1
"00165","B670402",20151230,1
"00165","B820201",20151230,1
"00166","A030101",20151230,1
"00166","A070608",20151230,1
"00166","A090602",20151230,1
"00167","D040104",20151231,1
"00167","D040109",20151231,1
"00167","D040108",20151231,1
"00168","A010401",20151226,1
"00168","A010710",20151226,1
"00168","A010602",20151226,1
"00169","B700402",20151228,1
"00170","B100305",20151231,1
"00170","B760505",20151231,1
"00170","B740101",20151231,1
"00170","B050117",20151231,1
"00170","B910202",20151231,1
"00170","B570204",20151231,1
"00170","B430104",20151231,1
"00171","A010403",20151229,1
"00172","A010201",20151227,1
"00172","A010403",20151227,1
"00172","A010402",20151227,1
"00172","A010404",20151227,1
"00172","A010508",20151227,1
"00172","A010507",20151227,1
"00172","A010501",20151227,1
"00172","A010644",20151227,1
"00173","C060506",20151230,1
"00174","A010637",20150527,1
"00175","B150402",20151230,1
"00175","B910103",20151230,1
"00175","B890104",20151230,1
"00175","B860101",20151230,1
"00175","B810301",20151230,1
"00175","B810201",20151230,1
"00175","B750201",20151230,1
"00175","B740401",20151230,1
"00175","B730201",20151230,1
"00175","B650203",20151230,1
"00175","B520502",20151230,1
"00175","B430402",20151230,1
"00175","B380404",20151230,1
"00175","B380402",20151230,1
"00175","B270301",20151230,1
"00175","B200703",20151230,1
"00175","B200302",20151230,1
"00175","B180902",20151230,1
"00175","B180901",20151230,1
"00175","B180801",20151230,1
"00175","B150703",20151230,1
"00175","A010623",20151230,1
"00175","B150102",20151230,1
"00175","B141201",20151230,1
"00175","B140103",20151230,1
"00175","B140102",20151230,1
"00175","B111102",20151230,1
"00175","B111002",20151230,1
"00175","B110203",20151230,1
"00175","B100305",20151230,1
"00175","B051209",20151230,1
"00175","B040101",20151230,1
"00175","B730104",20151230,1
"00175","B140602",20151230,1
"00175","B180802",20151230,1
"00176","C080304",20151231,1
"00176","C030202",20151231,1
"00177","A010302",20151221,1
"00177","A010408",20151221,1
"00177","A020204",20151221,1
"00177","A010103",20151221,1
"00177","A011004",20151221,1
"00177","A010803",20151221,1
"00177","A010401",20151221,1
"00178","A011004",20151231,1
"00178","B140503",20151231,1
"00178","B650204",20151231,1
"00179","A010401",20151230,1
"00179","A010902",20151230,1
"00179","A010631",20151230,1
"00179","A010202",20151230,1
"00179","A010509",20151230,1
"00179","A010405",20151230,1
"00179","A010404",20151230,1
"00179","A010206",20151230,1
"00180","A010403",20151230,1
"00181","A010302",20151227,1
"00181","A040224",20151227,1
"00181","A010404",20151227,1
"00182","A010404",20151231,1
"00182","A010207",20151231,1
"00182","A010710",20151231,1
"00182","A010608",20151231,1
"00182","A010509",20151231,1
"00182","A010505",20151231,1
"00182","A010501",20151231,1
"00182","A010402",20151231,1
"00183","B010102",20151231,1
"00183","B790503",20151231,1
"00183","B790204",20151231,1
"00183","B730401",20151231,1
"00183","B430503",20151231,1
"00183","B210801",20151231,1
"00183","B160201",20151231,1
"00183","B160101",20151231,1
"00183","B070803",20151231,1
"00183","B010108",20151231,1
"00183","B521301",20151231,1
"00184","A010644",20151230,1
"00184","A010801",20151230,1
"00184","A010402",20151230,1
"00184","A010403",20151230,1
"00184","A010106",20151230,1
"00184","A011004",20151230,1
"00184","A010620",20151230,1
"00184","A010404",20151230,1
"00184","A010614",20151230,1
"00185","B900101",20151227,1
"00186","A020302",20151231,1
"00186","A010404",20151231,1
"00186","A010401",20151231,1
"00186","A020302",20151231,1
"00186","A010401",20151231,1
"00187","B720202",20151231,1
"00187","B010207",20151231,1
"00187","A010707",20151231,1
"00187","B060701",20151231,1
"00187","B760101",20151231,1
"00187","B720205",20151231,1
"00188","B910202",20151231,1
"00188","B720108",20151231,1
"00188","B780205",20151231,1
"00188","B740201",20151231,1
"00188","B650505",20151231,1
"00188","B480301",20151231,1
"00188","B010207",20151231,1
"00189","A010403",20151231,1
"00189","A010402",20151231,1
"00189","A010403",20151231,1
"00189","A010501",20151231,1
"00189","A010508",20151231,1
"00190","A010404",20151231,1
"00190","A010650",20151231,1
"00190","A010710",20151231,1
"00190","A010601",20151231,1
"00190","A010106",20151231,1
"00190","A010401",20151231,1
"00190","A010403",20151231,1
"00190","A010402",20151231,1
"00191","A070603",20151230,1
"00192","A010403",20151229,1
"00193","B670205",20151231,1
"00193","B510502",20151231,1
"00194","A010707",20151231,1
"00195","B890103",20151231,1
"00195","B650204",20151231,1
"00195","B650302",20151231,1
"00195","B820203",20151231,1
"00195","B770101",20151231,1
"00196","C010204",20151230,1
"00197","A020701",20151229,1
"00198","B570204",20151231,1
"00199","B100305",20151231,1
"00199","A050601",20151231,1
"00200","C030401",20151223,1
"00200","C030703",20151223,1
"00201","A010803",20151225,1
"00201","A010609",20151225,1
"00201","A010605",20151225,1
"00201","A010611",20151225,1
"00201","A010609",20151225,1
"00201","A010609",20151225,1
"00201","A090102",20151225,1
"00201","A070301",20151225,1
"00201","A010803",20151225,1
"00202","A040501",20151230,1
"00202","A010710",20151230,1
"00203","B870701",20151226,1
"00204","B100305",20151231,1
"00204","B010202",20151231,1
"00204","B890103",20151231,1
"00204","B380303",20151231,1
"00205","C060505",20151231,1
"00206","A010803",20151231,1
"00206","A010803",20151231,1
"00206","B670201",20151231,1
"00207","B430503",20151231,1
"00207","B380405",20151231,1
"00207","B920102",20151231,1
"00207","B650203",20151231,1
"00207","B820205",20151231,1
"00207","B730401",20151231,1
"00208","B740101",20151231,1
"00208","B130205",20151231,1
"00208","B890102",20151231,1
"00208","B540107",20151231,1
"00208","B210802",20151231,1
"00208","B160102",20151231,1
"00209","A010613",20151231,1
"00210","B480401",20151231,1
"00210","B550701",20151231,1
"00210","B650204",20151231,1
"00210","B480301",20151231,1
"00210","B780203",20151231,1
"00210","B550103",20151231,1
"00211","A040502",20151231,1
"00211","A010201",20151231,1
"00211","A010402",20151231,1
"00212","C100202",20151231,1
"00212","C010206",20151231,1
"00212","C070101",20151231,1
"00212","C030401",20151231,1
"00212","C030605",20151231,1
"00212","C160903",20151231,1
"00212","C160306",20151231,1
"00213","B920102",20151231,1
"00213","B680301",20151231,1
"00213","B680201",20151231,1
"00213","B521301",20151231,1
"00213","B460501",20151231,1
"00213","B430401",20151231,1
"00213","B210802",20151231,1
"00213","B061105",20151231,1
"00213","B050101",20151231,1
"00213","B010106",20151231,1
"00213","B810401",20151231,1
"00213","B680307",20151231,1
"00214","C030111",20151229,1
"00214","C140601",20151229,1
"00215","B040101",20151230,1
"00215","B820203",20151230,1
"00215","B280606",20151230,1
"00215","B150102",20151230,1
"00216","B050101",20151230,1
"00216","B050501",20151230,1
"00216","B910209",20151230,1
"00216","B060901",20151230,1
"00217","A010403",20151225,1
"00217","A010608",20151225,1
"00218","A010207",20151227,1
"00218","A060147",20151227,1
"00218","A010604",20151227,1
"00218","A020302",20151227,1
"00218","A060149",20151227,1
"00218","A010207",20151227,1
"00218","A010207",20151227,1
"00219","B100301",20151231,1
"00219","B090302",20151231,1
"00219","B890201",20151231,1
"00219","B740601",20151231,1
"00219","B430103",20151231,1
"00219","B210802",20151231,1
"00219","B140301",20151231,1
"00219","B130804",20151231,1
"00219","B100401",20151231,1
"00219","B740102",20151231,1
"00219","A010644",20151231,1
"00220","B820201",20151230,1
"00220","B050101",20151230,1
"00220","B800401",20151230,1
"00220","B480401",20151230,1
"00220","B210802",20151230,1
"00220","B070803",20151230,1
"00220","B650501",20151230,1
"00220","B051005",20151230,1
"00220","B740101",20151230,1
"00220","B521301",20151230,1
"00220","B141305",20151230,1
"00220","B141201",20151230,1
"00220","B140503",20151230,1
"00220","B070903",20151230,1
"00221","B010205",20151231,1
"00221","B160401",20151231,1
"00221","B051206",20151231,1
"00221","B050501",20151231,1
"00221","B050105",20151231,1
"00221","B010106",20151231,1
"00221","B800101",20151231,1
"00221","B450103",20151231,1
"00221","B450103",20151231,1
"00221","B800103",20151231,1
"00222","B380402",20151230,1
"00222","B430902",20151230,1
"00222","A010644",20151230,1
"00222","A020302",20151230,1
"00222","B010205",20151230,1
"00222","B910204",20151230,1
"00222","B910104",20151230,1
"00222","B910103",20151230,1
