고객번호,A제휴사(%),B제휴사(%),C제휴사(%),D제휴사(%),편의품(%),선매품(%),전문품(%),기타(%)
31,65.36,25.05,9.59,0.0,8.87,60.03,0.0,31.1
32,58.21,41.79,0.0,0.0,14.81,56.08,18.56,10.55
33,70.86,18.0,11.14,0.0,10.52,40.2,0.0,49.28
34,29.84,54.87,15.29,0.0,10.49,68.55,0.0,20.95
35,48.57,7.69,0.0,43.75,3.75,36.32,51.04,8.89
36,82.02,10.67,7.31,0.0,5.17,80.49,0.0,14.34
37,91.65,8.35,0.0,0.0,2.23,60.0,32.65,5.12
38,59.94,24.25,15.81,0.0,12.75,49.48,0.0,37.77
39,98.62,0.0,1.38,0.0,0.44,58.61,40.54,0.4
40,84.0,9.96,6.04,0.0,2.75,43.02,47.78,6.46
41,66.67,18.48,14.85,0.0,3.6,37.22,51.23,7.95
42,83.0,12.74,4.26,0.0,8.01,59.38,26.01,6.6
43,93.59,2.54,3.87,0.0,4.65,90.02,0.0,5.33
44,89.5,6.86,3.65,0.0,0.56,6.86,91.6,0.98
45,98.19,1.81,0.0,0.0,1.05,64.41,32.24,2.31
46,95.42,3.08,1.5,0.0,0.51,6.68,92.17,0.64
47,87.64,9.31,3.04,0.0,0.78,6.02,91.41,1.8
48,93.12,4.09,2.79,0.0,2.7,32.51,57.16,7.63
49,95.04,4.96,0.0,0.0,1.13,21.74,74.39,2.74
50,56.05,34.6,9.35,0.0,5.09,40.71,46.68,7.52
51,67.44,15.89,0.0,16.68,7.11,80.93,0.0,11.96
52,55.05,39.6,5.35,0.0,2.54,33.51,59.61,4.34
53,89.28,0.0,10.72,0.0,1.92,49.08,47.44,1.56
54,20.54,42.23,13.61,23.62,13.0,70.71,0.0,16.28
55,0.0,90.02,9.98,0.0,2.95,35.29,0.0,61.76
56,92.84,3.45,3.71,0.0,1.23,20.27,76.34,2.17
57,15.22,83.46,1.32,0.0,3.9,27.53,22.37,46.2
58,90.55,9.45,0.0,0.0,6.57,42.43,31.63,19.38
59,69.62,12.15,18.23,0.0,1.8,48.65,45.08,4.47
60,76.07,17.51,6.42,0.0,7.8,75.49,4.2,12.51
61,55.84,32.76,11.39,0.0,4.13,28.08,63.47,4.32
62,73.48,15.49,11.03,0.0,6.11,53.56,27.16,13.16
63,42.25,57.75,0.0,0.0,15.24,69.17,0.0,15.59
64,75.64,24.36,0.0,0.0,20.91,47.77,0.0,31.32
65,66.47,24.06,9.48,0.0,5.15,45.49,43.15,6.21
66,55.72,22.03,22.25,0.0,9.78,79.36,0.0,10.86
67,92.68,3.45,3.87,0.0,7.39,86.34,0.0,6.27
68,38.29,59.53,2.18,0.0,1.17,24.39,69.56,4.89
69,32.33,35.03,32.64,0.0,20.21,79.79,0.0,0.0
70,68.7,24.58,6.72,0.0,0.53,25.07,72.09,2.31
71,66.57,19.5,13.93,0.0,4.39,90.35,0.0,5.26
72,86.03,9.64,4.34,0.0,12.75,42.09,0.0,45.16
73,96.32,3.15,0.53,0.0,2.13,17.76,76.97,3.14
74,78.95,12.81,8.24,0.0,4.2,30.81,57.57,7.41
75,36.27,43.2,20.53,0.0,10.27,74.5,0.0,15.23
76,58.33,30.17,11.5,0.0,3.65,21.02,71.84,3.49
77,78.17,21.83,0.0,0.0,2.94,37.4,53.79,5.87
78,74.77,17.68,7.55,0.0,3.06,43.44,49.4,4.09
79,74.76,14.96,10.28,0.0,9.51,53.54,0.0,36.95
80,75.33,16.23,8.44,0.0,4.51,80.38,0.0,15.1
81,89.53,7.62,2.85,0.0,1.59,31.64,64.92,1.85
82,93.26,4.18,2.57,0.0,0.67,28.13,69.07,2.13
83,95.84,4.16,0.0,0.0,1.04,45.22,52.58,1.17
84,86.7,8.89,4.41,0.0,1.11,25.47,71.25,2.17
85,46.84,0.0,29.22,23.94,4.61,27.31,0.0,68.07
86,89.16,6.88,3.96,0.0,4.33,69.56,22.57,3.54
87,81.53,11.44,7.03,0.0,1.88,96.45,0.0,1.67
88,89.24,8.07,2.69,0.0,2.02,44.84,48.4,4.73
89,76.92,10.63,8.99,3.46,5.32,65.46,20.07,9.14
90,63.52,28.93,7.55,0.0,6.66,84.57,0.0,8.77
91,63.56,20.48,15.96,0.0,13.55,76.72,0.0,9.73
92,73.18,13.51,13.32,0.0,6.76,51.37,30.13,11.74
93,96.48,0.0,3.52,0.0,2.64,29.15,65.56,2.65
94,63.94,20.04,16.02,0.0,2.33,14.78,78.61,4.28
95,62.11,16.26,16.57,5.06,6.45,27.08,59.93,6.54
96,100.0,0.0,0.0,0.0,3.08,22.12,70.83,3.97
97,98.66,0.96,0.38,0.0,1.66,63.45,33.13,1.75
98,67.12,29.71,0.0,3.17,3.09,20.74,74.06,2.11
99,90.34,7.27,2.39,0.0,1.4,23.11,72.18,3.31
100,57.9,33.0,9.1,0.0,3.99,60.19,27.28,8.53
101,54.3,32.77,12.93,0.0,4.99,87.32,0.0,7.69
102,91.84,4.85,3.31,0.0,0.49,15.8,82.06,1.66
103,67.07,21.65,11.28,0.0,8.27,57.43,0.0,34.3
104,92.86,4.11,3.03,0.0,4.37,88.77,0.0,6.86
105,86.29,8.23,5.48,0.0,7.42,41.25,0.0,51.33
106,88.74,5.55,5.72,0.0,1.51,31.78,61.08,5.62
107,95.62,1.63,2.75,0.0,2.64,91.95,0.0,5.41
108,62.17,37.83,0.0,0.0,9.25,51.67,17.64,21.44
109,41.33,50.83,7.84,0.0,4.93,38.79,0.0,56.29
110,49.61,20.14,11.78,18.47,5.75,78.8,0.0,15.45
111,54.59,33.53,11.88,0.0,12.01,69.2,0.0,18.79
112,92.83,7.17,0.0,0.0,6.15,86.29,0.0,7.56
113,86.36,11.2,2.44,0.0,1.5,19.42,77.41,1.68
114,67.55,12.59,7.45,12.41,2.45,39.36,54.31,3.89
115,94.55,0.0,5.45,0.0,1.51,23.3,73.56,1.64
116,80.9,13.8,5.3,0.0,7.32,92.68,0.0,0.0
117,77.68,9.33,5.72,7.27,1.87,48.85,47.38,1.91
118,90.18,1.19,8.62,0.0,4.8,64.1,25.73,5.36
119,84.8,10.44,4.77,0.0,1.15,15.01,82.15,1.69
120,92.9,4.17,2.93,0.0,1.14,42.86,53.67,2.33
121,69.16,20.26,0.0,10.57,3.34,24.67,68.87,3.12
122,76.99,17.92,5.09,0.0,5.0,46.99,34.05,13.97
123,80.39,10.45,9.16,0.0,13.11,50.95,0.0,35.94
124,88.44,6.26,3.61,1.68,1.97,30.41,64.52,3.1
125,72.71,27.29,0.0,0.0,2.27,16.86,77.38,3.49
126,95.16,3.02,1.81,0.0,1.16,50.97,44.71,3.16
127,60.66,26.7,12.64,0.0,8.54,47.5,33.77,10.19
128,80.21,14.54,5.25,0.0,17.64,71.97,0.0,10.4
129,69.23,19.39,11.38,0.0,26.46,63.68,0.0,9.86
130,82.87,7.02,10.12,0.0,2.58,20.56,65.93,10.93
131,64.55,22.07,13.38,0.0,4.92,43.75,36.6,14.73
132,91.27,4.62,4.11,0.0,6.44,89.11,0.0,4.46
133,51.64,32.95,15.4,0.0,6.84,65.91,18.89,8.37
134,95.79,2.85,1.35,0.0,4.43,39.0,51.67,4.89
135,55.54,27.5,16.96,0.0,4.16,80.81,0.0,15.03
136,77.44,22.56,0.0,0.0,6.42,78.89,0.0,14.69
137,78.54,18.07,3.38,0.0,1.15,16.51,79.06,3.28
138,92.7,7.3,0.0,0.0,1.29,15.27,80.85,2.6
139,78.79,11.58,3.67,5.96,2.24,32.74,60.93,4.08
140,95.33,2.54,2.14,0.0,2.01,7.82,86.76,3.41
141,65.4,21.67,12.94,0.0,22.92,46.92,0.0,30.16
143,59.79,22.05,0.0,18.16,12.11,41.51,0.0,46.37
144,91.95,4.18,3.86,0.0,1.42,23.99,61.37,13.22
145,92.14,4.64,3.21,0.0,1.77,45.55,49.16,3.52
146,100.0,0.0,0.0,0.0,4.69,17.91,73.57,3.83
147,89.66,7.22,3.12,0.0,0.73,13.38,84.2,1.69
148,87.5,7.13,5.37,0.0,5.79,94.21,0.0,0.0
149,79.68,12.13,8.2,0.0,3.27,33.35,60.15,3.24
150,97.8,2.2,0.0,0.0,2.15,68.09,25.95,3.82
151,84.52,11.61,3.86,0.0,4.33,83.47,0.0,12.19
152,88.4,4.75,6.85,0.0,5.47,67.41,18.12,9.0
153,41.92,15.73,31.7,10.65,4.4,88.57,0.0,7.03
154,94.29,4.13,1.58,0.0,0.52,11.76,86.58,1.14
155,70.55,7.44,22.01,0.0,6.24,63.2,21.25,9.31
156,92.72,5.21,2.07,0.0,6.05,56.55,32.2,5.21
157,31.85,53.2,8.62,6.33,1.54,12.35,80.73,5.38
158,44.82,13.63,15.96,25.59,16.93,60.71,0.0,22.36
159,97.6,2.4,0.0,0.0,0.49,5.13,93.63,0.75
160,62.34,19.32,18.34,0.0,3.94,26.54,62.71,6.81
161,91.35,7.64,1.01,0.0,1.76,28.66,64.92,4.66
162,89.36,6.23,4.41,0.0,2.81,49.59,45.22,2.38
163,55.14,13.5,9.28,22.08,6.17,71.34,0.0,22.5
164,92.86,3.33,3.82,0.0,0.58,9.36,87.52,2.53
165,85.93,5.61,8.46,0.0,2.88,24.23,63.18,9.72
166,78.15,17.88,3.97,0.0,7.88,66.43,19.23,6.46
167,89.04,0.0,0.0,10.96,0.74,16.21,81.39,1.66
168,70.27,26.15,3.58,0.0,2.08,35.19,55.78,6.96
169,79.87,13.94,6.2,0.0,3.7,46.95,42.19,7.15
170,77.56,11.26,11.18,0.0,17.71,70.84,0.0,11.44
171,79.14,13.08,7.79,0.0,11.03,83.85,0.0,5.13
172,35.87,15.68,48.45,0.0,9.82,68.16,0.0,22.02
173,84.46,9.39,6.15,0.0,3.69,58.64,23.76,13.92
175,89.37,5.48,5.16,0.0,20.67,64.16,0.0,15.17
176,66.71,21.0,12.28,0.0,7.89,70.03,0.0,22.07
177,88.21,8.06,3.72,0.0,5.16,63.27,18.04,13.53
178,81.28,10.64,8.08,0.0,5.11,84.93,0.0,9.97
179,74.58,15.43,0.0,9.99,8.64,63.34,14.38,13.63
180,52.25,47.75,0.0,0.0,3.66,23.23,70.06,3.05
181,84.4,15.6,0.0,0.0,3.32,41.42,48.77,6.49
182,78.27,9.85,0.0,11.88,1.17,34.99,60.5,3.35
183,64.55,11.21,24.24,0.0,14.36,68.72,0.0,16.92
184,90.23,7.7,2.06,0.0,1.68,14.79,81.96,1.57
185,80.38,14.06,5.57,0.0,10.68,33.64,39.56,16.12
186,90.79,6.24,2.96,0.0,1.02,12.48,85.48,1.02
187,78.11,13.63,8.27,0.0,2.47,20.5,74.42,2.61
188,43.38,38.16,18.46,0.0,13.67,73.27,0.0,13.06
189,76.15,7.33,0.0,16.52,3.63,73.56,20.7,2.1
190,100.0,0.0,0.0,0.0,1.35,16.69,79.12,2.85
191,71.83,26.69,1.48,0.0,7.05,26.3,42.85,23.8
192,70.03,12.52,6.48,10.97,0.89,5.01,93.06,1.04
193,49.33,24.73,25.94,0.0,19.88,57.23,0.0,22.9
194,74.94,15.23,9.83,0.0,13.1,70.74,0.0,16.16
195,89.96,8.25,1.79,0.0,17.34,65.84,0.0,16.81
196,75.18,16.64,8.18,0.0,5.0,45.46,40.75,8.79
197,90.36,3.54,1.78,4.32,3.41,82.1,0.0,14.49
198,72.28,10.22,17.5,0.0,4.84,45.05,43.24,6.86
199,84.82,11.42,3.77,0.0,3.04,24.41,52.39,20.15
200,87.04,9.22,3.73,0.0,3.5,96.5,0.0,0.0
201,83.93,11.97,4.11,0.0,14.07,79.49,0.0,6.43
202,93.45,2.35,4.19,0.0,1.29,31.61,58.55,8.56
203,86.23,6.56,7.22,0.0,20.31,54.71,0.0,24.98
204,84.49,10.57,4.94,0.0,4.44,36.63,48.32,10.62
205,91.59,3.97,2.48,1.96,3.54,93.25,0.0,3.21
206,82.51,13.22,4.27,0.0,6.12,44.04,30.34,19.5
207,74.3,17.5,2.72,5.49,11.13,34.15,0.0,54.72
208,96.73,3.27,0.0,0.0,0.77,9.27,82.45,7.51
209,72.85,14.52,12.63,0.0,1.82,21.74,73.74,2.7
210,67.7,20.29,12.01,0.0,14.95,64.26,0.0,20.79
211,40.56,51.61,7.82,0.0,2.12,13.48,83.07,1.33
212,85.26,10.12,4.61,0.0,1.53,23.89,73.69,0.89
213,86.69,7.34,5.97,0.0,3.68,85.17,0.0,11.15
214,33.48,62.72,3.8,0.0,6.7,85.59,0.0,7.71
215,83.82,16.18,0.0,0.0,7.89,38.65,44.45,9.01
216,83.3,7.71,8.98,0.0,9.08,78.4,0.0,12.52
217,56.71,24.7,18.59,0.0,21.14,60.78,0.0,18.08
218,81.23,9.32,0.0,9.45,3.08,27.55,67.45,1.92
219,89.95,7.96,2.09,0.0,2.06,40.45,52.97,4.52
220,0.0,34.73,65.27,0.0,11.58,41.18,0.0,47.24
221,85.69,14.31,0.0,0.0,10.73,65.51,0.0,23.76
222,84.84,11.17,3.99,0.0,1.11,15.47,81.48,1.94
223,90.18,7.7,2.12,0.0,5.19,92.62,0.0,2.2
224,97.24,2.76,0.0,0.0,0.6,16.17,81.77,1.45
225,92.77,4.0,3.23,0.0,6.38,50.48,39.48,3.66
226,80.15,10.78,9.07,0.0,9.63,80.04,0.0,10.33
227,82.65,0.0,17.35,0.0,5.77,35.36,0.0,58.87
228,73.1,16.74,10.16,0.0,14.18,41.46,0.0,44.37
229,89.39,0.0,10.61,0.0,2.27,47.59,42.18,7.96
230,35.22,19.99,38.39,6.4,8.34,78.74,0.0,12.92
231,92.62,2.92,4.46,0.0,3.69,90.42,0.0,5.89
232,88.7,0.0,11.3,0.0,15.58,84.42,0.0,0.0
233,92.57,4.79,2.65,0.0,0.31,11.85,86.73,1.11
234,70.11,17.93,11.96,0.0,7.54,79.36,0.0,13.1
235,73.71,18.54,7.75,0.0,6.64,45.04,41.29,7.03
236,0.0,0.0,100.0,0.0,20.96,79.04,0.0,0.0
237,76.25,20.02,3.73,0.0,4.02,25.27,64.15,6.56
238,58.3,29.94,11.76,0.0,3.53,58.11,38.35,0.0
239,85.31,8.21,6.48,0.0,3.76,69.27,25.43,1.54
240,69.79,23.2,0.0,7.02,0.88,8.05,89.2,1.88
241,93.12,0.0,6.88,0.0,1.5,23.86,69.11,5.52
242,77.75,15.85,6.4,0.0,7.88,26.72,49.21,16.19
243,52.44,26.11,21.44,0.0,17.44,54.83,0.0,27.74
245,58.07,27.23,14.7,0.0,5.97,85.0,0.0,9.03
246,90.06,8.22,1.72,0.0,0.47,3.58,95.35,0.6
247,44.62,40.81,14.57,0.0,6.49,81.89,0.0,11.62
248,82.36,10.55,7.09,0.0,5.14,82.13,0.0,12.73
249,92.4,5.42,2.18,0.0,0.99,19.46,78.44,1.1
250,94.04,3.25,2.71,0.0,2.22,24.87,71.08,1.84
251,94.45,0.0,5.55,0.0,9.28,56.38,28.21,6.14
252,66.48,19.3,7.31,6.91,5.75,79.15,0.0,15.1
253,93.35,0.0,6.65,0.0,5.86,45.33,32.03,16.78
254,97.1,2.9,0.0,0.0,0.82,11.23,86.32,1.63
255,93.94,3.47,2.59,0.0,4.99,31.6,59.78,3.64
256,93.37,5.11,1.52,0.0,1.68,34.5,61.45,2.38
257,76.27,15.08,8.64,0.0,7.24,55.76,0.0,37.0
258,97.63,1.4,0.97,0.0,0.3,15.65,83.63,0.43
259,96.3,2.08,1.62,0.0,1.67,74.3,22.53,1.5
260,62.74,18.17,19.09,0.0,12.63,55.9,0.0,31.47
261,53.71,40.2,0.0,6.09,1.87,13.71,82.07,2.35
262,65.58,27.44,6.99,0.0,8.5,69.23,0.0,22.27
263,78.87,12.84,8.29,0.0,14.16,61.03,0.0,24.81
264,89.72,6.16,4.12,0.0,2.62,90.78,0.0,6.6
265,97.93,0.0,2.07,0.0,2.08,31.05,63.08,3.79
266,81.02,9.85,9.12,0.0,2.87,31.77,47.32,18.03
267,87.46,9.97,2.57,0.0,4.88,39.89,52.43,2.8
268,75.71,19.13,5.16,0.0,1.24,12.29,84.73,1.74
269,95.56,0.0,4.44,0.0,1.72,46.91,43.81,7.56
270,71.68,13.64,14.68,0.0,19.89,64.53,0.0,15.57
271,93.52,2.65,0.0,3.83,3.44,39.71,53.74,3.11
272,83.69,13.59,2.71,0.0,2.8,24.12,65.35,7.72
273,77.66,17.8,4.54,0.0,4.41,25.99,65.57,4.03
274,49.14,25.4,25.46,0.0,19.16,57.82,0.0,23.02
275,68.3,14.9,16.8,0.0,3.95,26.53,66.47,3.05
276,79.71,18.33,1.96,0.0,0.78,28.94,0.0,70.28
277,82.57,9.8,7.63,0.0,0.58,7.66,90.01,1.76
278,79.15,11.23,9.62,0.0,6.14,73.52,0.0,20.34
279,94.13,0.0,5.87,0.0,1.42,7.07,89.23,2.28
280,84.46,10.87,4.67,0.0,2.88,36.38,58.41,2.33
281,86.93,10.13,2.95,0.0,1.21,10.5,87.16,1.13
282,83.53,13.18,3.29,0.0,1.52,15.64,77.85,4.99
283,100.0,0.0,0.0,0.0,1.42,58.81,37.87,1.9
284,0.0,100.0,0.0,0.0,36.28,34.91,0.0,28.82
285,40.85,37.74,21.41,0.0,14.17,65.85,0.0,19.98
286,84.15,12.38,3.47,0.0,1.84,27.08,68.12,2.96
287,93.69,6.31,0.0,0.0,7.22,52.79,0.0,39.99
288,75.62,15.68,8.7,0.0,1.5,14.92,78.32,5.26
289,56.13,34.57,9.31,0.0,14.42,67.71,0.0,17.87
290,83.19,16.81,0.0,0.0,14.59,62.46,0.0,22.96
291,84.87,7.65,7.48,0.0,14.34,63.0,0.0,22.67
292,75.21,19.39,5.4,0.0,3.13,31.98,61.58,3.31
293,74.17,18.35,7.48,0.0,6.34,86.04,0.0,7.62
294,83.71,10.82,2.36,3.11,2.23,21.1,69.97,6.71
295,74.78,23.08,2.14,0.0,4.38,27.88,63.07,4.67
296,83.61,10.37,6.02,0.0,2.74,27.67,17.57,52.02
297,93.75,0.0,6.25,0.0,5.6,84.93,0.0,9.47
298,93.9,3.24,2.86,0.0,1.05,12.73,83.9,2.31
299,81.98,18.02,0.0,0.0,1.93,11.71,85.43,0.92
300,90.29,7.8,1.91,0.0,14.6,56.39,0.0,29.0
301,60.25,14.2,0.0,25.55,1.45,29.13,65.34,4.08
302,74.3,12.65,13.05,0.0,3.27,36.32,57.04,3.36
303,90.5,4.87,4.64,0.0,1.58,93.62,0.0,4.8
304,95.67,3.51,0.82,0.0,0.49,38.69,60.4,0.42
305,90.44,6.58,2.97,0.0,1.35,18.02,68.79,11.84
306,85.24,13.0,1.76,0.0,24.49,61.86,0.0,13.66
307,76.18,9.94,3.86,10.02,2.03,12.55,83.29,2.13
308,67.69,19.77,12.53,0.0,1.45,8.81,86.15,3.59
309,68.17,14.73,17.1,0.0,5.49,70.94,8.01,15.56
310,80.69,11.76,7.55,0.0,5.15,83.19,0.0,11.66
311,80.96,10.22,8.83,0.0,5.9,45.55,26.05,22.5
312,89.39,3.26,7.35,0.0,4.7,10.49,0.0,84.81
313,89.11,5.92,4.97,0.0,2.06,50.74,28.93,18.27
314,78.4,8.33,13.27,0.0,4.96,38.14,52.27,4.64
315,84.48,12.03,3.49,0.0,0.53,11.18,86.54,1.74
316,88.12,7.76,4.12,0.0,2.53,27.53,66.56,3.38
317,71.78,17.1,11.12,0.0,2.25,49.43,42.55,5.76
318,59.82,37.94,2.24,0.0,9.06,24.41,62.34,4.19
319,87.32,12.68,0.0,0.0,3.18,51.25,36.88,8.69
320,73.29,14.53,12.18,0.0,6.69,35.97,47.66,9.68
321,75.23,18.42,6.35,0.0,0.9,15.12,82.16,1.83
322,65.47,23.41,11.12,0.0,13.42,59.37,0.0,27.2
323,90.11,6.32,3.56,0.0,1.44,21.22,75.04,2.3
324,89.19,8.46,2.36,0.0,0.99,12.95,84.23,1.83
325,86.12,7.81,6.07,0.0,2.13,27.78,67.73,2.36
326,90.42,9.58,0.0,0.0,2.86,41.89,49.27,5.97
327,94.43,4.13,1.43,0.0,1.07,5.63,92.41,0.89
328,64.95,23.75,11.3,0.0,2.98,11.32,80.04,5.65
329,88.98,6.42,4.59,0.0,0.67,18.62,79.88,0.83
330,47.61,35.02,17.37,0.0,10.55,17.25,54.08,18.12
331,66.22,13.05,20.73,0.0,14.63,70.44,0.0,14.93
332,77.31,15.34,7.35,0.0,2.95,26.16,67.29,3.59
333,62.84,23.35,13.81,0.0,5.75,64.47,24.39,5.38
334,100.0,0.0,0.0,0.0,2.62,22.73,72.3,2.34
335,92.09,4.68,3.23,0.0,1.65,25.51,69.99,2.86
336,91.24,8.76,0.0,0.0,5.92,61.16,0.0,32.92
337,90.81,6.72,2.46,0.0,2.6,49.73,43.08,4.6
338,87.73,9.71,2.55,0.0,10.54,68.47,0.0,20.99
339,91.85,6.12,2.03,0.0,5.87,64.91,0.0,29.23
340,65.12,11.12,15.73,8.03,5.35,60.04,31.11,3.49
341,80.4,18.61,0.99,0.0,16.94,34.99,46.08,1.99
342,0.0,59.03,40.97,0.0,28.2,52.34,0.0,19.46
343,91.5,0.0,4.78,3.72,1.42,25.51,71.36,1.71
344,84.03,15.97,0.0,0.0,5.43,74.22,0.0,20.35
345,93.79,2.96,3.25,0.0,1.45,23.36,73.59,1.6
346,23.21,76.79,0.0,0.0,11.09,69.73,0.0,19.18
347,80.63,13.18,6.18,0.0,3.74,21.97,62.63,11.66
348,90.75,6.7,2.56,0.0,8.91,79.19,0.0,11.9
349,82.21,9.07,2.97,5.74,13.69,23.86,54.31,8.14
350,55.97,27.18,16.85,0.0,8.43,81.77,0.0,9.8
351,76.43,12.05,11.52,0.0,6.27,45.59,39.18,8.95
352,96.71,2.63,0.66,0.0,1.15,26.73,71.38,0.74
353,86.04,4.32,9.64,0.0,15.2,58.79,0.0,26.01
354,0.0,65.93,34.07,0.0,9.31,83.32,0.0,7.37
355,97.35,2.65,0.0,0.0,0.56,32.62,64.01,2.82
356,86.63,9.72,3.64,0.0,6.04,69.67,11.08,13.21
357,73.02,20.37,6.62,0.0,5.28,46.9,0.0,47.82
358,85.28,4.52,0.0,10.2,8.7,64.02,17.62,9.66
359,79.94,8.89,6.61,4.56,1.52,26.88,69.37,2.23
360,92.33,6.16,1.52,0.0,5.09,40.88,29.87,24.16
361,91.99,4.26,3.75,0.0,1.46,35.5,51.11,11.93
362,92.5,4.97,2.53,0.0,7.44,60.09,0.0,32.47
363,84.22,10.29,5.49,0.0,2.06,52.22,42.11,3.61
364,83.36,11.33,0.0,5.3,3.48,34.8,47.94,13.78
365,84.09,6.72,3.31,5.87,3.42,46.79,43.21,6.58
366,95.02,2.48,2.5,0.0,6.64,46.81,0.0,46.54
367,77.93,6.37,3.36,12.34,0.86,29.82,68.1,1.22
368,83.1,11.65,5.25,0.0,1.61,26.81,67.37,4.2
369,87.68,9.64,2.68,0.0,12.44,36.49,8.95,42.12
370,93.44,3.93,2.63,0.0,9.06,66.72,0.0,24.23
371,69.77,9.81,20.43,0.0,13.65,72.76,0.0,13.59
372,65.98,20.91,13.1,0.0,12.79,73.92,0.0,13.3
373,90.44,4.21,1.51,3.83,0.82,8.63,89.29,1.26
374,71.42,5.44,7.82,15.32,3.63,14.15,80.3,1.92
375,81.63,2.02,0.0,16.34,1.46,63.27,31.29,3.98
376,30.9,13.13,14.75,41.21,45.35,0.0,0.0,54.65
377,89.41,10.59,0.0,0.0,1.88,24.57,71.52,2.02
378,86.11,7.89,6.0,0.0,2.77,18.12,73.1,6.01
379,83.37,0.0,7.65,8.99,1.22,9.84,83.98,4.96
380,88.18,5.64,6.18,0.0,3.73,62.85,29.5,3.93
381,100.0,0.0,0.0,0.0,2.37,28.07,67.98,1.59
382,91.82,5.82,2.37,0.0,0.58,27.25,70.94,1.24
383,87.58,8.98,3.44,0.0,3.64,23.09,70.29,2.98
384,80.93,13.39,5.68,0.0,15.59,51.63,0.0,32.79
385,87.38,6.33,6.29,0.0,8.76,71.53,0.0,19.72
386,72.79,15.49,11.71,0.0,2.76,17.89,76.82,2.54
387,88.18,6.2,5.62,0.0,1.62,20.08,75.69,2.6
388,94.96,2.58,2.46,0.0,0.44,15.34,83.36,0.86
389,94.0,4.09,1.91,0.0,7.46,80.67,0.0,11.87
390,86.67,9.12,4.21,0.0,11.38,78.39,0.0,10.23
391,93.75,4.16,2.1,0.0,1.41,25.01,72.17,1.41
392,51.74,26.7,21.56,0.0,3.45,94.01,0.0,2.54
393,98.65,0.0,1.35,0.0,1.03,9.49,87.32,2.16
394,66.95,0.0,24.94,8.11,3.16,36.16,53.02,7.66
395,90.21,6.78,3.01,0.0,5.29,64.22,0.0,30.49
396,57.21,24.96,17.84,0.0,13.52,72.33,0.0,14.15
397,86.87,10.04,3.09,0.0,2.07,20.68,72.94,4.31
398,91.0,4.38,4.62,0.0,0.84,24.2,72.47,2.49
399,91.37,7.67,0.96,0.0,6.9,29.05,61.88,2.17
400,91.3,7.2,1.5,0.0,1.23,20.28,76.81,1.68
401,94.29,5.03,0.68,0.0,3.06,18.01,77.39,1.54
402,90.8,0.0,9.2,0.0,6.5,86.1,0.0,7.4
403,83.05,16.95,0.0,0.0,11.08,69.36,0.0,19.56
404,85.4,9.97,4.63,0.0,5.48,61.77,19.11,13.64
405,26.89,73.11,0.0,0.0,5.39,32.68,56.95,4.98
406,66.97,14.67,18.36,0.0,4.11,16.24,71.57,8.08
407,100.0,0.0,0.0,0.0,9.17,28.88,60.57,1.38
408,94.69,5.16,0.16,0.0,0.77,34.64,63.17,1.42
409,89.33,7.61,3.06,0.0,6.75,58.28,19.5,15.48
410,91.27,5.62,3.11,0.0,3.67,32.15,0.0,64.18
411,72.56,24.41,3.03,0.0,1.45,23.53,72.3,2.72
412,86.58,7.58,5.84,0.0,1.47,26.21,69.81,2.51
