,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÆò±Õ,±¸¸ÅÈ½¼ö,±¸¸ÅÈ½¼ö,±¸¸ÅÈ½¼ö,±¸¸ÅÈ½¼ö,ÃÑ±¸¸Å¾×,ÃÑ±¸¸Å¾×,ÃÑ±¸¸Å¾×,ÃÑ±¸¸Å¾×
32,12566.0,45538.0,24952.0,9410.0,1383.0,35.0,5.0,60.0,17378696.0,1593835.0,124762.0,564609.0
33,4243.0,17566.0,,13180.0,2364.0,26.0,,14.0,10029937.0,456708.0,,184524.0
34,11722.0,77400.0,,21679.0,856.0,58.0,,34.0,10034149.0,4489209.0,,737094.0
35,19015.0,186320.0,266202.0,39971.0,789.0,144.0,5.0,56.0,15002479.0,26830050.0,1331012.0,2238386.0
36,20499.0,283581.0,,52475.0,843.0,91.0,,26.0,17280996.0,25805838.0,,1364340.0
37,12717.0,355518.0,202927.0,31007.0,936.0,127.0,1.0,93.0,11903423.0,45150761.0,202927.0,2883630.0
38,7132.0,32070.0,16893.0,17674.0,2443.0,147.0,1.0,89.0,17422883.0,4714332.0,16893.0,1572989.0
39,15430.0,1914270.0,1442121.0,13910.0,404.0,104.0,1.0,65.0,6233878.0,199084117.0,1442121.0,904172.0
40,7556.0,107506.0,115885.0,13203.0,639.0,200.0,2.0,17.0,4828534.0,21501196.0,231770.0,224443.0
41,13521.0,157688.0,208078.0,30974.0,484.0,35.0,2.0,194.0,6544203.0,5519086.0,416155.0,6008943.0
42,5945.0,52075.0,19572.0,8961.0,2123.0,62.0,1.0,11.0,12621805.0,3228665.0,19572.0,98569.0
43,5149.0,88722.0,,6181.0,1088.0,20.0,,1.0,5602494.0,1774441.0,,6181.0
44,11654.0,135863.0,2193730.0,31765.0,812.0,122.0,34.0,26.0,9463100.0,16575236.0,74586815.0,825900.0
45,12477.0,764381.0,593708.0,25876.0,404.0,277.0,11.0,57.0,5040674.0,211733563.0,6530785.0,1474947.0
46,21081.0,404705.0,3154692.0,26309.0,461.0,116.0,23.0,80.0,9718551.0,46945751.0,72557924.0,2104685.0
47,8709.0,63375.0,1067669.0,18630.0,1589.0,92.0,1.0,31.0,13838233.0,5830493.0,1067669.0,577527.0
48,26839.0,334970.0,499278.0,66219.0,440.0,191.0,15.0,21.0,11809313.0,63979304.0,7489170.0,1390594.0
49,16152.0,413381.0,1347658.0,36994.0,439.0,159.0,14.0,70.0,7090542.0,65727605.0,18867213.0,2589613.0
50,8188.0,69873.0,79351.0,11904.0,1507.0,168.0,3.0,87.0,12339238.0,11738609.0,238054.0,1035608.0
51,6957.0,71360.0,,9915.0,1655.0,143.0,,15.0,11513336.0,10204444.0,,148731.0
52,11036.0,151580.0,270080.0,17383.0,894.0,140.0,10.0,207.0,9865772.0,21221227.0,2700803.0,3598179.0
53,15816.0,371339.0,392245.0,11282.0,543.0,107.0,5.0,99.0,8588248.0,39733263.0,1961227.0,1116920.0
54,11053.0,57267.0,41312.0,15490.0,654.0,45.0,1.0,50.0,7228835.0,2577012.0,41312.0,774500.0
55,7440.0,77296.0,,107945.0,947.0,5.0,,3.0,7045744.0,386482.0,,323836.0
56,15210.0,249038.0,950406.0,28469.0,387.0,223.0,28.0,128.0,5886371.0,55535534.0,26611366.0,3643979.0
57,5100.0,30964.0,32200.0,66513.0,1992.0,3.0,1.0,1.0,10159380.0,92892.0,32200.0,66513.0
58,17287.0,114976.0,72459.0,43581.0,418.0,129.0,28.0,43.0,7225947.0,14831953.0,2028839.0,1873970.0
59,12028.0,310837.0,284698.0,32516.0,755.0,53.0,3.0,31.0,9081481.0,16474340.0,854093.0,1007996.0
60,10211.0,121979.0,5362.0,15375.0,1306.0,134.0,1.0,35.0,13335443.0,16345126.0,5362.0,538126.0
61,9653.0,72150.0,105598.0,10607.0,1527.0,157.0,7.0,14.0,14740107.0,11327537.0,739189.0,148491.0
62,9941.0,83596.0,35788.0,20542.0,692.0,139.0,3.0,138.0,6879459.0,11619911.0,107365.0,2834804.0
63,8490.0,50436.0,,9025.0,584.0,25.0,,7.0,4957934.0,1260894.0,,63178.0
64,4576.0,9375.0,45443.0,5735.0,798.0,7.0,1.0,13.0,3651784.0,65628.0,45443.0,74552.0
65,12445.0,96681.0,116924.0,16776.0,729.0,98.0,4.0,46.0,9072465.0,9474742.0,467697.0,771703.0
66,6744.0,60031.0,,8136.0,1977.0,72.0,,91.0,13333864.0,4322225.0,,740411.0
67,5086.0,51386.0,,4657.0,1957.0,16.0,,5.0,9952788.0,822171.0,,23286.0
68,9320.0,216918.0,569857.0,43328.0,881.0,185.0,441.0,83.0,8210680.0,40129853.0,251306997.0,3596212.0
69,4102.0,14565.0,,,3861.0,5.0,,,15839677.0,72824.0,,
70,5307.0,247317.0,566239.0,23138.0,479.0,65.0,21.0,83.0,2541882.0,16075612.0,11891009.0,1920452.0
71,4056.0,70291.0,,4679.0,1078.0,5.0,,30.0,4372849.0,351455.0,,140382.0
72,7559.0,22879.0,,25708.0,896.0,127.0,,8.0,6773273.0,2905690.0,,205667.0
73,38489.0,260379.0,993141.0,52052.0,158.0,319.0,147.0,11.0,6081265.0,83060837.0,145991790.0,572567.0
74,12882.0,90362.0,176283.0,23036.0,433.0,257.0,14.0,55.0,5577698.0,23223086.0,2467963.0,1266979.0
75,4669.0,33880.0,,7484.0,875.0,27.0,,25.0,4085221.0,914762.0,,187094.0
76,7099.0,41783.0,144988.0,9172.0,722.0,152.0,2.0,47.0,5125657.0,6350956.0,289975.0,431065.0
77,12558.0,152687.0,159837.0,23081.0,882.0,144.0,10.0,56.0,11076410.0,21986873.0,1598374.0,1292532.0
78,20028.0,262463.0,331862.0,23397.0,590.0,253.0,36.0,150.0,11816505.0,66403023.0,11947026.0,3509535.0
79,6134.0,30275.0,,21042.0,1857.0,121.0,,54.0,11390338.0,3663320.0,,1136264.0
80,4643.0,73233.0,,15831.0,1598.0,37.0,,40.0,7420123.0,2709639.0,,633254.0
81,11921.0,336317.0,508807.0,16501.0,474.0,189.0,10.0,122.0,5650710.0,63563849.0,5088071.0,2013132.0
82,10946.0,547139.0,988119.0,34396.0,894.0,220.0,27.0,42.0,9786060.0,120370666.0,26679209.0,1444634.0
83,14217.0,614413.0,587767.0,18701.0,749.0,185.0,2.0,120.0,10648552.0,113666453.0,1175534.0,2244101.0
84,16435.0,312927.0,1067092.0,31373.0,304.0,168.0,5.0,25.0,4996208.0,52571804.0,5335460.0,784319.0
85,11468.0,69682.0,,56095.0,805.0,65.0,,7.0,9231840.0,4529336.0,,392668.0
86,8588.0,128491.0,41821.0,7584.0,2046.0,174.0,1.0,51.0,17570062.0,22357356.0,41821.0,386807.0
87,15553.0,577572.0,1366825.0,13099.0,384.0,69.0,3.0,105.0,5972416.0,39852464.0,4100476.0,1375390.0
88,12062.0,285780.0,748396.0,28911.0,1272.0,147.0,2.0,83.0,15342617.0,42009633.0,1496791.0,2399613.0
89,5181.0,57562.0,20374.0,9659.0,1883.0,101.0,1.0,57.0,9755603.0,5813731.0,20374.0,550563.0
90,25901.0,304270.0,1659003.0,27639.0,339.0,143.0,1.0,59.0,8780308.0,43510644.0,1659003.0,1630702.0
91,17834.0,108739.0,,12669.0,863.0,33.0,,28.0,15390893.0,3588389.0,,354727.0
92,13406.0,92158.0,150802.0,35990.0,1350.0,385.0,4.0,55.0,18097583.0,35480660.0,603206.0,1979456.0
93,24939.0,290350.0,586388.0,29603.0,399.0,288.0,39.0,57.0,9950694.0,83620882.0,22869150.0,1687359.0
94,37879.0,130080.0,608943.0,34144.0,945.0,161.0,17.0,43.0,35796111.0,20942892.0,10352034.0,1468209.0
95,4826.0,19756.0,44342.0,4363.0,1152.0,112.0,1.0,29.0,5559269.0,2212706.0,44342.0,126541.0
96,23875.0,178044.0,582256.0,36501.0,643.0,91.0,1.0,18.0,15351531.0,16201971.0,582256.0,657013.0
97,50249.0,1721762.0,876155.0,122730.0,1041.0,544.0,10.0,38.0,52308751.0,936638627.0,8761547.0,4663728.0
98,18086.0,133934.0,437113.0,12090.0,681.0,57.0,4.0,50.0,12316702.0,7634221.0,1748452.0,604499.0
99,17856.0,278958.0,1004989.0,44049.0,630.0,451.0,116.0,121.0,11249307.0,125810023.0,116578700.0,5329878.0
100,10337.0,140233.0,66334.0,20387.0,505.0,154.0,4.0,28.0,5220278.0,21595920.0,265334.0,570832.0
101,6667.0,113401.0,,10111.0,806.0,11.0,,39.0,5373455.0,1247406.0,,394316.0
102,8447.0,285025.0,1487651.0,23589.0,2519.0,151.0,32.0,12.0,21278916.0,43038784.0,47604844.0,283072.0
103,4877.0,40308.0,,20532.0,887.0,11.0,,5.0,4326262.0,443389.0,,102659.0
104,5730.0,62749.0,,7652.0,2456.0,28.0,,14.0,14073916.0,1756979.0,,107127.0
105,7916.0,64404.0,11262.0,46730.0,2293.0,59.0,1.0,22.0,18151262.0,3799820.0,11262.0,1028049.0
106,11106.0,240480.0,446415.0,36423.0,502.0,254.0,2.0,29.0,5574961.0,61081945.0,892830.0,1056260.0
107,14952.0,500429.0,,28746.0,570.0,244.0,,27.0,8522760.0,122104630.0,,776140.0
108,8752.0,47206.0,32776.0,13781.0,806.0,151.0,2.0,46.0,7054354.0,7128104.0,65552.0,633941.0
109,5772.0,31551.0,,69322.0,1445.0,14.0,,2.0,8340701.0,441708.0,,138644.0
110,8308.0,117902.0,,21141.0,1225.0,137.0,,60.0,10176702.0,16152587.0,,1268453.0
111,3281.0,18151.0,,4747.0,1558.0,9.0,,2.0,5112494.0,163356.0,,9493.0
112,19771.0,333260.0,,22135.0,625.0,255.0,,43.0,12356874.0,84981383.0,,951786.0
113,14450.0,175551.0,607571.0,16542.0,1187.0,332.0,28.0,119.0,17152423.0,58283096.0,17011979.0,1968497.0
114,10653.0,155184.0,238448.0,18291.0,686.0,105.0,2.0,20.0,7307742.0,16294349.0,476896.0,365813.0
115,23316.0,349747.0,1140050.0,23094.0,464.0,88.0,23.0,19.0,10818532.0,30777724.0,26221155.0,438779.0
116,3835.0,50444.0,,,1722.0,32.0,,,6604237.0,1614222.0,,
117,16878.0,387570.0,799483.0,16413.0,1171.0,52.0,5.0,92.0,19763562.0,20153623.0,3997416.0,1510010.0
118,20900.0,273913.0,131289.0,22322.0,310.0,330.0,47.0,25.0,6478970.0,90391368.0,6170587.0,558048.0
119,13248.0,180877.0,749296.0,19774.0,657.0,248.0,18.0,57.0,8703777.0,44857473.0,13487319.0,1127128.0
120,9156.0,360736.0,255046.0,19128.0,449.0,660.0,9.0,51.0,4111125.0,238085766.0,2295416.0,975506.0
121,14313.0,99364.0,303216.0,12555.0,629.0,76.0,2.0,199.0,9002621.0,7551631.0,606432.0,2498416.0
122,12881.0,129849.0,96538.0,40220.0,949.0,202.0,2.0,63.0,12223603.0,26229464.0,193075.0,2533872.0
123,5891.0,27405.0,,17364.0,1642.0,34.0,,10.0,9672970.0,931763.0,,173635.0
124,9650.0,160605.0,318580.0,13455.0,435.0,200.0,6.0,42.0,4197875.0,32120996.0,1911478.0,565125.0
125,11051.0,81436.0,387882.0,17530.0,690.0,58.0,4.0,98.0,7625303.0,4723272.0,1551526.0,1717955.0
126,6388.0,268026.0,241799.0,18339.0,1423.0,106.0,6.0,13.0,9089504.0,28410738.0,1450791.0,238411.0
127,7271.0,44893.0,29329.0,8200.0,402.0,57.0,1.0,202.0,2922742.0,2558918.0,29329.0,1656337.0
128,9541.0,45827.0,,14760.0,742.0,44.0,,11.0,7079193.0,2016367.0,,162355.0
129,7006.0,15251.0,,6307.0,973.0,30.0,,3.0,6816950.0,457516.0,,18920.0
130,15196.0,118188.0,398157.0,54551.0,772.0,271.0,5.0,8.0,11731115.0,32028819.0,1990784.0,436409.0
131,8891.0,74690.0,65493.0,24907.0,1979.0,194.0,13.0,34.0,17594688.0,14489890.0,851403.0,846833.0
132,4763.0,67935.0,,3235.0,1758.0,53.0,,28.0,8372679.0,3600576.0,,90584.0
133,13016.0,144950.0,119659.0,13886.0,1050.0,64.0,2.0,106.0,13666281.0,9276799.0,239318.0,1471896.0
134,25318.0,232491.0,350913.0,27548.0,410.0,270.0,92.0,13.0,10380518.0,62772662.0,32283970.0,358118.0
135,8018.0,141687.0,,37817.0,642.0,58.0,,6.0,5147846.0,8217866.0,,226904.0
136,11371.0,153746.0,,21571.0,330.0,159.0,,50.0,3752548.0,24445663.0,,1078556.0
137,11034.0,162679.0,1249568.0,35800.0,859.0,199.0,54.0,27.0,9478548.0,32373104.0,67476695.0,966596.0
138,11855.0,137693.0,718146.0,24044.0,664.0,241.0,7.0,73.0,7871753.0,33183921.0,5027023.0,1755233.0
139,10238.0,157996.0,315118.0,20668.0,1033.0,197.0,15.0,125.0,10575486.0,31125240.0,4726765.0,2583496.0
140,59860.0,223722.0,2701704.0,112574.0,703.0,151.0,65.0,35.0,42081460.0,33781989.0,175610766.0,3940107.0
141,4283.0,8341.0,,5362.0,1335.0,15.0,,1.0,5717217.0,125117.0,,5362.0
142,8735.0,77915.0,,,6.0,10.0,,,52409.0,779147.0,,
143,4306.0,13262.0,,18110.0,1567.0,37.0,,12.0,6747652.0,490687.0,,217324.0
144,10191.0,220444.0,435513.0,82932.0,5898.0,50.0,2.0,5.0,60106923.0,11022207.0,871025.0,414659.0
145,25585.0,512436.0,738244.0,59762.0,639.0,174.0,43.0,32.0,16348553.0,89163844.0,31744485.0,1912372.0
146,37005.0,150593.0,593215.0,32858.0,102.0,211.0,105.0,76.0,3774543.0,31775021.0,62287526.0,2497208.0
147,11418.0,196105.0,1243805.0,26480.0,1478.0,201.0,30.0,92.0,16876443.0,39417032.0,37314163.0,2436198.0
148,3871.0,64399.0,,,1441.0,2.0,,,5578758.0,128798.0,,
149,15437.0,161238.0,433765.0,19158.0,704.0,88.0,4.0,40.0,10867322.0,14188965.0,1735061.0,766316.0
150,5431.0,160250.0,67454.0,9356.0,1547.0,97.0,3.0,61.0,8401087.0,15544292.0,202361.0,570724.0
151,13409.0,238343.0,11487535.0,41981.0,1103.0,235.0,1.0,51.0,14790266.0,56010541.0,11487535.0,2141020.0
152,11115.0,110141.0,97179.0,17093.0,625.0,227.0,5.0,57.0,6946803.0,25002012.0,485895.0,974273.0
153,5595.0,108252.0,,9209.0,1017.0,45.0,,14.0,5690082.0,4871339.0,,128931.0
154,10302.0,289717.0,2156217.0,24985.0,454.0,41.0,23.0,259.0,4677230.0,11878384.0,49592983.0,6471034.0
155,22591.0,151435.0,315690.0,23910.0,671.0,268.0,3.0,29.0,15158320.0,40584656.0,947070.0,693383.0
156,33544.0,315552.0,216319.0,23642.0,904.0,375.0,10.0,7.0,30323412.0,118332100.0,2163186.0,165492.0
157,7156.0,71826.0,372957.0,21320.0,857.0,96.0,1.0,32.0,6132521.0,6895276.0,372957.0,682232.0
158,9510.0,32948.0,,10022.0,1129.0,29.0,,10.0,10736567.0,955498.0,,100219.0
159,23178.0,261647.0,4719368.0,31815.0,169.0,422.0,5.0,44.0,3917035.0,110414998.0,23596841.0,1399866.0
160,10738.0,72727.0,169876.0,17289.0,1215.0,91.0,2.0,40.0,13046945.0,6618200.0,339751.0,691544.0
161,19797.0,317688.0,744478.0,50027.0,234.0,391.0,46.0,66.0,4632515.0,124216050.0,34246007.0,3301793.0
162,11340.0,190012.0,653905.0,9100.0,726.0,309.0,4.0,6.0,8232969.0,58713693.0,2615618.0,54601.0
163,5992.0,101919.0,,20928.0,1509.0,24.0,,10.0,9042060.0,2446066.0,,209283.0
164,11437.0,214679.0,2237994.0,59187.0,613.0,96.0,32.0,210.0,7010829.0,20609210.0,71615818.0,12429189.0
165,12551.0,135910.0,297751.0,41913.0,236.0,258.0,3.0,17.0,2961984.0,35064723.0,893252.0,712528.0
166,13767.0,108858.0,32170.0,12855.0,775.0,210.0,1.0,40.0,10669753.0,22860250.0,32170.0,514213.0
167,12139.0,236840.0,1143552.0,17541.0,814.0,122.0,4.0,6.0,9881338.0,28894511.0,4574207.0,105247.0
168,15117.0,276569.0,484207.0,49022.0,876.0,245.0,5.0,26.0,13242391.0,67759404.0,2421034.0,1274581.0
169,5353.0,69715.0,98011.0,9668.0,917.0,46.0,2.0,29.0,4908852.0,3206884.0,196022.0,280376.0
170,7072.0,31777.0,,4020.0,1793.0,51.0,,77.0,12679268.0,1620619.0,,309540.0
171,17053.0,165378.0,60548.0,9992.0,571.0,106.0,3.0,111.0,9737052.0,17530078.0,181644.0,1109158.0
172,12253.0,85880.0,,30229.0,1308.0,51.0,,84.0,16026383.0,4379863.0,,2539246.0
173,4634.0,73193.0,30991.0,17573.0,2024.0,35.0,1.0,17.0,9378979.0,2561750.0,30991.0,298749.0
174,7129.0,126009.0,,41500.0,18.0,2.0,,1.0,128322.0,252017.0,,41500.0
175,6091.0,23586.0,,4657.0,4330.0,359.0,,130.0,26374203.0,8467219.0,,605459.0
176,5705.0,50077.0,,16753.0,1323.0,14.0,,2.0,7548339.0,701071.0,,33506.0
177,18652.0,234136.0,64271.0,46883.0,254.0,369.0,2.0,31.0,4737696.0,86396087.0,128541.0,1453376.0
178,7107.0,112552.0,,11251.0,1887.0,57.0,,25.0,13411512.0,6415458.0,,281274.0
179,16256.0,113798.0,59622.0,23686.0,1140.0,263.0,6.0,44.0,18532263.0,29928787.0,357734.0,1042166.0
180,30246.0,198118.0,556129.0,25915.0,504.0,115.0,23.0,70.0,15244070.0,22783609.0,12790961.0,1814029.0
181,13267.0,194331.0,2144454.0,29572.0,561.0,254.0,3.0,105.0,7442635.0,49360044.0,6433363.0,3105088.0
182,13677.0,423327.0,1256166.0,38954.0,1339.0,140.0,3.0,62.0,18313223.0,59265737.0,3768497.0,2415145.0
183,5320.0,25812.0,,5616.0,2236.0,56.0,,31.0,11895900.0,1445475.0,,174103.0
184,15970.0,143000.0,858691.0,17044.0,362.0,190.0,4.0,59.0,5781040.0,27169950.0,3434764.0,1005589.0
185,7197.0,24364.0,26605.0,10417.0,1349.0,56.0,1.0,13.0,9708848.0,1364369.0,26605.0,135417.0
186,21465.0,247576.0,1962669.0,25606.0,1218.0,184.0,3.0,34.0,26144522.0,45553904.0,5888007.0,870593.0
187,13206.0,101487.0,380598.0,13350.0,490.0,128.0,2.0,11.0,6471067.0,12990276.0,761196.0,146851.0
188,4626.0,41366.0,,17152.0,3166.0,20.0,,2.0,14644727.0,827317.0,,34303.0
189,19995.0,356617.0,114067.0,14684.0,1083.0,211.0,30.0,68.0,21654631.0,75246137.0,3422010.0,998494.0
190,14918.0,176350.0,864902.0,23009.0,1005.0,168.0,4.0,34.0,14992464.0,29626811.0,3459608.0,782310.0
191,49098.0,205310.0,339944.0,96161.0,117.0,358.0,24.0,9.0,5744499.0,73500915.0,8158661.0,865449.0
192,13856.0,64636.0,1077778.0,14823.0,952.0,114.0,18.0,87.0,13190668.0,7368553.0,19399995.0,1289595.0
193,6533.0,21948.0,,7865.0,1316.0,60.0,,67.0,8597039.0,1316874.0,,526961.0
194,5364.0,28509.0,26656.0,6483.0,1858.0,178.0,2.0,28.0,9966385.0,5074588.0,53311.0,181531.0
195,6756.0,20626.0,,5120.0,669.0,119.0,,41.0,4519740.0,2454514.0,,209920.0
196,9295.0,78836.0,75487.0,15692.0,1195.0,245.0,1.0,42.0,11107436.0,19314777.0,75487.0,659073.0
197,8699.0,235372.0,106429.0,40620.0,882.0,386.0,2.0,7.0,7672558.0,90853411.0,212857.0,284340.0
198,5191.0,46425.0,60579.0,11340.0,1152.0,161.0,7.0,52.0,5980177.0,7474443.0,424056.0,589659.0
199,12006.0,94802.0,217543.0,71839.0,926.0,69.0,1.0,12.0,11117570.0,6541364.0,217543.0,862067.0
200,5494.0,161518.0,,,1068.0,42.0,,,5867239.0,6783741.0,,
201,52544.0,280631.0,997406.0,52676.0,607.0,300.0,5.0,27.0,31894079.0,84189237.0,4987032.0,1422239.0
202,7567.0,202283.0,584593.0,47077.0,1402.0,392.0,16.0,22.0,10609000.0,79295084.0,9353494.0,1035704.0
203,5315.0,14436.0,,6115.0,971.0,99.0,,49.0,5160651.0,1429213.0,,299653.0
204,5919.0,51041.0,67789.0,12707.0,1457.0,293.0,1.0,47.0,8624059.0,14955071.0,67789.0,597206.0
205,7866.0,181464.0,,7291.0,1442.0,73.0,,64.0,11342135.0,13246883.0,,466630.0
206,6044.0,40509.0,32582.0,30565.0,1947.0,102.0,4.0,15.0,11768603.0,4131874.0,130327.0,458476.0
207,6196.0,18930.0,,17294.0,1201.0,29.0,,8.0,7441660.0,548957.0,,138351.0
208,12204.0,170494.0,1529948.0,139431.0,149.0,267.0,14.0,14.0,1818383.0,45521991.0,21419266.0,1952029.0
209,7549.0,83530.0,307483.0,11514.0,413.0,155.0,3.0,102.0,3117918.0,12947218.0,922449.0,1174443.0
210,4884.0,21635.0,,6116.0,1068.0,45.0,,7.0,5215902.0,973570.0,,42809.0
211,13510.0,147947.0,466918.0,9863.0,498.0,56.0,13.0,79.0,6727959.0,8285048.0,6069928.0,779189.0
212,8753.0,122706.0,441546.0,5362.0,1793.0,27.0,4.0,1.0,15694831.0,3313060.0,1766185.0,5362.0
213,5819.0,156225.0,,15033.0,4134.0,148.0,,44.0,24056836.0,23121297.0,,661446.0
214,9156.0,98608.0,433775.0,10055.0,1079.0,107.0,1.0,22.0,9879262.0,10551011.0,433775.0,221205.0
215,5721.0,23173.0,32444.0,7678.0,1630.0,197.0,3.0,62.0,9324680.0,4565178.0,97332.0,476037.0
216,6244.0,53289.0,,9357.0,1246.0,58.0,,102.0,7779757.0,3090766.0,,954421.0
217,18563.0,49131.0,,20646.0,540.0,76.0,,16.0,10023789.0,3733943.0,,330331.0
218,29609.0,345758.0,753045.0,22705.0,372.0,410.0,77.0,47.0,11014686.0,141760649.0,57984466.0,1067146.0
219,10338.0,183962.0,261872.0,19176.0,912.0,202.0,2.0,158.0,9427904.0,37160349.0,523744.0,3029856.0
220,7168.0,31963.0,,21888.0,2256.0,97.0,,10.0,16171378.0,3100433.0,,218877.0
221,6164.0,31835.0,4131.0,12558.0,1176.0,95.0,2.0,33.0,7249189.0,3024344.0,8262.0,414413.0
222,12275.0,195915.0,645749.0,22488.0,828.0,304.0,11.0,45.0,10163638.0,59558155.0,7103240.0,1011941.0
223,47588.0,696754.0,1041762.0,19000.0,437.0,167.0,1.0,46.0,20796016.0,116357910.0,1041762.0,873980.0
224,19245.0,495081.0,1781045.0,46981.0,148.0,302.0,11.0,82.0,2848251.0,149514509.0,19591500.0,3852416.0
225,40097.0,296592.0,234684.0,27924.0,308.0,514.0,4.0,23.0,12349894.0,152448054.0,938736.0,642244.0
226,9329.0,73814.0,,19879.0,852.0,30.0,,55.0,7948613.0,2214428.0,,1093335.0
227,3602.0,22777.0,,37920.0,1600.0,5.0,,2.0,5763477.0,113886.0,,75839.0
228,6750.0,22837.0,,18134.0,1671.0,62.0,,8.0,11278468.0,1415913.0,,145072.0
229,16466.0,365435.0,312644.0,57880.0,841.0,154.0,14.0,10.0,13847907.0,56276918.0,4377017.0,578804.0
230,9900.0,77486.0,123660.0,18402.0,738.0,79.0,1.0,50.0,7306106.0,6121383.0,123660.0,920083.0
231,4636.0,108788.0,,5297.0,1713.0,26.0,,5.0,7940812.0,2828491.0,,26487.0
232,4100.0,26010.0,,21330.0,2153.0,46.0,,2.0,8827260.0,1196479.0,,42659.0
233,7001.0,233138.0,2037892.0,47965.0,1408.0,28.0,2.0,21.0,9857182.0,6527850.0,4075783.0,1007273.0
234,10856.0,239234.0,,18876.0,857.0,97.0,,98.0,9303442.0,23205705.0,,1849856.0
235,23060.0,149904.0,202598.0,25871.0,1013.0,122.0,4.0,17.0,23359488.0,18288314.0,810392.0,439811.0
