"고객번호","ROUND(구매금액/구매횟수)"
"00337",18870
"00338",8945
"00339",8347
"00340",19809
"00341",154385
"00342",6660
"00343",16065
"00344",12758
"00345",22989
"00346",10494
"00347",6006
"00348",5817
"00349",44099
"00350",7074
"00351",19653
"00352",16189
"00353",8991
"00354",7669
"00355",5202
"00356",11676
"00357",6059
"00358",25251
"00359",8696
"00360",7221
"00361",8299
"00362",6802
"00363",20259
"00364",7188
"00365",17871
"00366",8333
"00367",9652
"00368",7889
"00369",41755
"00370",5754
"00371",8227
"00372",6179
"00373",13965
"00374",35293
"00375",13013
"00376",3960
"00377",17037
"00378",20681
"00379",10793
"00380",4306
"00381",14943
"00382",10153
"00383",37977
"00384",5403
"00385",5284
"00386",15460
"00387",21355
"00388",12536
"00389",4367
"00390",7828
"00391",13060
"00392",6398
"00393",18447
"00394",6727
"00395",5838
"00396",7062
"00397",7229
"00398",11474
"00399",67278
"00400",15967
"00401",47480
"00402",11540
"00403",5436
"00404",11618
"00405",17474
"00406",5330
"00407",105904
"00408",37538
"00409",26928
"00410",7033
"00411",11707
"00412",9641
"00413",8284
"00414",17521
"00415",3705
"00416",36108
"00417",23111
"00418",8493
"00419",23283
"00420",14434
"00421",9485
"00422",12867
"00423",10048
"00424",2029
"00425",9816
"00426",17635
"00427",14013
"00428",16037
"00429",9709
"00430",20353
"00431",17535
"00432",33566
"00433",19233
"00434",15518
"00435",9367
"00436",13150
"00437",2855
"00438",12115
"00439",4949
"00440",9766
"00441",9823
"00442",7836
"00443",15593
"00444",18341
"00445",4507
"00446",5442
"00447",14259
"00448",27763
"00449",8998
"00450",10043
"00451",12680
"00452",5708
"00453",14397
"00454",8192
"00455",11554
"00456",6090
"00457",14034
"00458",6575
"00459",12302
"00460",15089
"00461",10538
"00462",15833
"00463",22765
"00464",5554
"00465",8078
"00466",20005
"00467",5591
"00468",15751
"00469",15050
"00470",5112
"00471",39358
"00472",4746
"00473",6688
"00474",7792
"00475",7567
"00476",5283
"00477",44078
"00478",14830
"00479",5001
"00480",17168
"00481",16352
"00482",6519
"00483",7893
"00484",18173
"00485",17236
"00486",28484
"00487",6303
"00488",4865
"00489",15734
"00490",13151
"00491",5852
"00492",21911
"00493",5693
"00494",13130
"00495",4023
"00496",7326
"00497",5193
"00498",5428
"00499",6705
"00500",6549
"00501",240399
"00502",11881
"00503",6990
"00504",30088
"00505",7275
"00506",6629
"00507",20115
"00508",118957
"00509",22861
"00510",17817
"00511",5648
"00512",6300
"00513",19791
"00514",7121
"00515",36054
"00516",4425
"00517",11776
"00518",18267
"00519",9014
"00520",24727
"00521",26327
"00522",8778
"00523",7160
"00524",5050
"00525",18446
"00526",8938
"00527",3187
"00528",7769
"00529",9817
"00530",10892
"00531",12908
"00532",23192
"00533",6921
"00534",26682
"00535",17016
"00536",7425
"00537",4890
"00538",17276
"00539",9718
"00540",7139
"00541",6736
"00542",9239
"00543",17051
"00544",16183
"00545",17059
"00546",25767
"00547",74240
"00548",9040
"00549",17895
"00550",13848
"00551",5744
"00552",9572
"00553",11762
"00554",14308
"00555",8106
"00556",7580
"00557",5990
"00558",9993
"00559",32743
"00560",169319
"00561",7336
"00562",13737
"00563",5484
"00564",10040
"00565",29559
"00566",17777
"00567",14232
"00568",6294
"00569",10803
"00570",6709
"00571",56096
"00572",33613
"00573",8799
"00574",9967
"00575",9763
"00576",15667
"00577",16552
"00578",9853
"00579",4217
"00580",11397
"00581",8041
"00582",12048
"00583",4742
"00584",9205
"00585",13314
"00586",17771
"00587",28177
"00588",8832
"00589",10818
"00590",4118
"00591",3492
"00592",8956
"00593",18718
"00594",19161
"00595",9137
"00596",27481
"00597",12994
"00598",5858
"00599",9441
"00600",8671
"00601",8898
"00602",22126
"00603",14818
"00604",9910
"00605",4913
"00606",29701
"00607",10932
"00608",13584
"00609",6957
"00610",21032
"00611",32124
"00612",19644
"00613",6000
"00614",38816
"00615",11745
"00616",5851
"00617",9750
"00618",12727
"00619",5513
"00620",17513
"00621",6384
"00622",16717
"00623",5645
"00624",6816
"00625",7848
"00626",5702
"00627",9349
"00628",5425
"00629",7424
"00630",19189
"00631",27289
"00632",14252
"00633",27153
"00634",13686
"00635",9163
"00636",11091
"00637",12540
"00638",14227
"00639",11048
"00640",12400
"00641",27286
"00642",19844
"00643",9750
"00644",7692
"00645",17465
"00646",5961
"00647",4279
"00648",15017
"00649",5717
"00650",6550
"00651",15605
"00652",31032
"00653",7504
"00654",23736
"00655",4542
"00656",59268
"00657",19372
"00658",8582
"00659",6353
"00660",4728
"00661",14419
"00662",7668
"00663",7559
"00664",15743
"00665",6467
"00666",4632
"00667",7014
"00668",8611
"00669",19918
"00670",6781
"00671",4639
"00672",17217
"00673",38757
"00674",29749
"00675",9693
"00676",31928
"00677",4767
"00678",6811
"00679",5665
"00680",7149
"00681",11999
"00682",6011
"00683",5259
"00684",8225
"00685",5450
"00686",8030
"00687",14337
"00688",7082
"00689",14779
"00690",15481
"00691",8548
"00692",6811
"00693",8081
"00694",11051
"00695",17043
"00696",8681
"00697",9836
"00698",10812
"00699",4663
"00700",4437
"00701",39096
"00702",5583
"00703",15904
"00704",13060
"00705",6271
"00706",7777
"00707",11436
"00708",12998
"00709",7717
"00710",8888
"00711",51167
"00712",13917
"00713",16822
"00714",4969
"00715",23326
"00716",6972
"00717",26119
"00718",19153
"00719",5612
"00720",10838
"00721",5352
"00722",10934
"00723",8807
"00724",8042
"00725",4758
"00726",16622
"00727",11807
"00728",40889
"00729",9989
"00730",10085
"00731",7029
"00732",36411
"00733",9467
"00734",7364
"00735",17752
"00736",8651
"00737",5438
"00738",6725
"00739",11244
"00740",5675
"00741",7265
"00742",15977
"00743",6918
"00744",10599
"00745",16379
"00746",13375
"00747",17481
"00748",43288
"00749",3587
"00750",13087
"00751",4534
"00752",15143
"00753",7067
"00754",25597
"00755",9979
"00756",4169
"00757",19627
"00758",18883
"00759",8069
"00760",6005
"00761",5552
"00762",3943
"00763",12675
"00764",12406
"00765",38887
"00766",6843
"00767",7527
"00768",10074
"00769",7539
"00770",14025
"00771",12348
"00772",13415
"00773",9001
"00774",8577
"00775",7780
"00776",9397
"00777",11414
"00778",5854
"00779",8328
"00780",10800
"00781",18734
"00782",7885
"00783",33101
"00784",19730
"00785",13448
"00786",21456
"00787",12376
"00788",6242
"00789",14393
"00790",8163
"00791",5410
"00792",107480
"00793",6391
"00794",16610
"00795",15964
"00796",7090
"00797",17338
"00798",2757
"00799",12425
"00800",19605
"00801",10819
"00802",8508
"00803",17470
"00804",8079
"00805",3656
"00806",15060
"00807",11871
"00808",14813
"00809",6142
"00810",43611
"00811",18415
"00812",20948
"00813",3889
"00814",18208
"00815",23653
"00816",22693
"00817",19392
"00818",9521
"00819",16476
"00820",5074
"00821",5192
"00822",7146
"00823",17544
"00824",11416
"00825",21050
"00826",6175
"00827",12700
"00828",11914
"00829",7104
"00830",6199
"00831",4032
"00832",18335
"00833",7071
"00834",7820
"00835",10794
"00836",3773
"00837",4382
"00838",14122
"00839",11061
"00840",9162
"00841",7139
"00842",16383
"00843",5424
"00844",16799
"00845",18393
"00846",16745
"00847",14881
"00848",17317
"00849",7796
"00850",8756
"00851",7060
"00852",7116
"00853",18750
"00854",5557
"00855",18255
"00856",10719
"00857",64518
"00858",12369
"00859",11765
"00860",6115
"00861",54614
"00862",5663
"00863",13721
"00864",9527
"00865",13410
"00866",21689
"00867",8068
"00868",24014
"00869",13616
"00870",26958
"00871",7292
"00872",5572
"00873",6396
"00874",9961
"00875",12231
"00876",6197
"00877",5125
"00878",13360
"00879",5652
"00880",6284
"00881",7377
"00882",22692
"00883",65392
"00884",12854
"00885",14801
"00886",11574
"00887",12140
"00888",16432
"00889",6318
"00890",38904
"00891",8754
"00892",4113
"00893",7312
"00894",10266
"00895",9666
"00896",4246
"00897",43129
"00898",7794
"00899",15470
"00900",6231
"00901",3713
"00902",6556
"00903",12401
"00904",23478
"00905",18488
"00906",4625
"00907",9840
"00908",7905
"00909",5022
"00910",6895
"00911",14469
"00912",21839
"00913",11776
"00914",15763
"00915",17208
"00916",15222
"00917",4316
"00918",11851
"00919",18648
"00920",6992
"00921",6728
"00922",5552
"00923",12953
"00924",31166
"00925",11809
"00926",6030
"00927",9873
"00928",8444
"00929",20895
"00930",10717
"00931",23888
"00932",7837
"00933",5746
"00934",17433
"00935",17440
"00936",21534
"00937",14871
"00938",7514
"00939",20521
"00940",7824
"00941",43655
"00942",7486
"00943",9341
"00944",7329
"00945",8259
"00946",18303
"00947",28611
"00948",11680
"00949",16727
"00950",6168
"00951",8844
"00952",12366
"00953",21797
"00954",17039
"00955",11057
"00956",4994
"00957",11113
"00958",17769
"00959",20151
"00960",10268
"00961",7340
"00962",92319
"00963",15074
"00964",6912
"00965",17240
"00966",15273
"00967",4605
"00968",7276
"00969",6577
"00970",6324
"00971",10126
"00972",12904
"00973",14023
"00974",14350
"00975",5874
"00976",4899
"00977",275131
"00978",43033
"00979",5834
"00980",19445
"00981",5280
"00982",29897
"00983",6930
"00984",9950
"00985",12955
"00986",8050
"00987",3415
"00988",8493
"00989",15196
"00990",14740
"00991",7220
"00992",8680
"00993",105155
"00994",14290
"00995",11165
"00996",9101
"00997",16775
"00998",12494
"00999",10070
"01000",3896
"01001",8761
"01002",20994
"01003",6818
"01004",29346
"01005",16860
"01006",13386
"01007",8663
"01008",22382
"01009",5321
"01010",4042
"01011",66498
"01012",4887
"01013",27853
"01014",179276
"01015",13068
"01016",7066
"01017",10374
"01018",10517
"01019",13304
"01020",15816
"01021",5060
"01022",17284
"01023",5185
"01024",6664
"01025",12861
"01026",18564
"01027",31037
"01028",35290
"01029",11333
"01030",8552
"01031",4712
"01032",10880
"01033",21427
"01034",8278
"01035",5718
"01036",7309
"01037",5257
"01038",10204
"01039",9460
"01040",26092
"01041",6100
"01042",9290
"01043",12182
"01044",41992
"01045",20993
"01046",18014
"01047",35478
"01048",9322
"01049",15739
"01050",3204
"01051",8522
"01052",6196
"01053",15651
"01054",6691
"01055",5749
"01056",19936
"01057",25199
"01058",11683
"01059",17875
"01060",7992
"01061",17789
"01062",27743
"01063",4863
"01064",7633
"01065",6075
"01066",16144
"01067",13688
"01068",3772
"01069",15506
"01070",5773
"01071",6975
"01072",9542
"01073",11973
"01074",5698
"01075",7366
"01076",11170
"01077",8745
"01078",4917
"01079",4411
"01080",10232
"01081",5979
"01082",4589
"01083",7491
"01084",33094
"01085",17958
"01086",7158
"01087",11631
"01088",23377
"01089",3107
"01090",26050
"01091",13559
"01092",114140
"01093",5359
"01094",8018
"01095",11813
"01096",9117
"01097",5713
"01098",11196
"01099",15048
"01100",13735
"01101",20004
"01102",3737
"01103",16844
"01104",15723
"01105",17266
"01106",8613
"01107",21808
"01108",25839
"01109",8930
"01110",16312
"01111",12507
"01112",3794
"01113",13487
"01114",11543
"01115",15869
"01116",5441
"01117",23161
"01118",8445
"01119",9426
"01120",6322
"01121",15038
"01122",6608
"01123",7232
"01124",28586
"01125",4726
"01126",28022
"01127",47332
"01128",8127
"01129",28995
"01130",21086
"01131",11818
"01132",3237
"01133",64570
"01134",8079
"01135",18397
"01136",8149
"01137",9656
"01138",48581
"01139",28326
"01140",6323
"01141",8906
"01142",21314
"01143",6817
"01144",8186
"01145",7351
"01146",11088
"01147",14891
"01148",8176
"01149",4860
"01150",18014
"01151",13000
"01152",16906
"01153",6762
"01154",9153
"01155",23243
"01156",5252
"01157",36510
"01158",4741
"01159",6184
"01160",8304
"01161",20989
"01162",11591
"01163",46113
"01164",11442
"01165",6229
"01166",9783
"01167",22266
"01168",8802
"01169",8090
"01170",8618
"01171",15493
"01172",13378
"01173",80111
"01174",6558
"01175",5771
"01176",29481
"01177",11954
"01178",42131
"01179",6969
"01180",9606
"01181",24297
"01182",9117
"01183",3291
"01184",5114
"01185",3666
"01186",8512
"01187",14765
"01188",6289
"01189",13849
"01190",7896
"01191",10408
"01192",7457
"01193",12535
"01194",14114
"01195",9721
"01196",6269
"01197",34344
"01198",15005
"01199",6827
"01200",19080
"01201",9876
"01202",8565
"01203",53961
"01204",5265
"01205",7326
"01206",7827
"01207",9570
"01208",164157
"01209",9520
"01210",5465
"01211",13033
"01212",14257
"01213",4960
"01214",34466
"01215",7578
"01216",22951
"01217",7862
"01218",15266
"01219",15311
"01220",12638
"01221",9936
"01222",27306
"01223",6241
"01224",29666
"01225",6003
"01226",30436
"01227",16196
"01228",9706
"01229",40339
"01230",18446
"01231",5069
"01232",11085
"01233",14059
"01234",7809
"01235",11024
"01236",7864
"01237",6759
"01238",103509
"01239",8080
"01240",18314
"01241",4756
"01242",7622
"01243",18250
"01244",9164
"01245",14287
"01246",40808
"01247",10697
"01248",7115
"01249",7115
"01250",5214
"01251",7969
"01252",5673
"01253",3964
"01254",11561
"01255",14733
"01256",6374
"01257",15898
"01258",6121
"01259",29452
"01260",6079
"01261",8657
"01263",116566
"01264",10691
"01265",8618
"01266",34259
"01267",19104
"01268",12170
"01269",16406
"01270",4768
"01271",13278
"01272",26879
"01273",41304
"01274",9925
"01275",12289
"01276",5470
"01277",18671
"01278",10053
"01279",15129
"01280",6102
"01281",3712
"01282",10116
"01283",63258
"01284",8115
"01285",14730
"01286",3675
"01287",15481
"01288",12415
"01289",47155
"01290",12942
"01291",100748
"01292",8535
"01293",28106
"01294",8609
"01295",12692
"01296",20065
"01297",17051
"01298",11497
"01299",6500
"01300",6484
"01301",20044
"01302",13461
"01303",5693
"01304",7042
"01305",9089
"01306",7532
"01307",8369
"01308",18257
"01309",9248
"01310",11636
"01311",15910
"01312",16150
"01313",39421
"01314",6141
"01315",11952
"01316",30221
"01317",12474
"01318",8072
"01319",6303
"01320",5933
"01321",5914
"01322",6023
"01323",12464
"01324",6055
"01325",6316
"01326",6160
"01327",19022
"01328",7766
"01329",27501
"01330",8599
"01331",12138
"01332",6883
"01333",12160
"01334",8255
"01335",9235
"01336",15213
"01337",8295
"01338",6346
"01339",7717
"01340",17168
"01341",17070
"01342",14898
"01343",10404
"01344",13000
"01345",20253
"01346",15996
"01347",48159
"01348",52952
"01349",18464
"01350",7987
"01351",7630
"01352",5155
"01353",16197
"01354",4403
"01355",30328
"01356",9948
"01357",4866
"01358",8975
"01359",8091
"01360",16413
"01361",4927
"01362",5502
"01363",6171
"01364",9596
"01365",10793
"01366",13787
"01367",24676
"01368",8726
"01369",4866
"01370",12789
"01371",6487
"01372",16164
"01373",5599
"01374",8750
"01375",18784
"01376",8340
"01377",8252
"01378",15522
"01379",12726
"01380",9378
"01381",17472
"01382",18025
"01383",7695
"01384",6645
"01385",24697
"01386",13189
"01387",5886
"01388",4327
"01389",11830
"01390",7115
"01391",13574
"01392",8361
"01393",3718
"01394",23728
"01395",8676
"01396",15548
"01397",4149
"01398",5959
"01399",12724
"01400",7415
"01401",4943
"01402",5191
"01403",35153
"01404",9535
"01405",6476
"01406",21178
"01407",13911
"01408",31138
"01409",11980
"01410",7960
"01411",17700
"01412",8390
"01413",8980
"01414",6539
"01415",8148
"01416",5238
"01417",17098
"01418",6965
"01419",13731
"01420",9736
"01421",7681
"01422",44384
"01423",8690
"01424",14149
"01425",13015
"01426",7694
"01427",7950
"01428",6640
"01429",15515
"01430",7969
"01431",10777
"01432",5416
"01433",17040
"01434",15189
"01435",6881
"01436",7575
"01437",11933
"01438",21070
"01439",12944
"01440",10054
"01441",9253
"01442",25819
"01443",26220
"01444",5185
"01445",9964
"01446",32723
"01447",17432
"01448",6556
"01449",13647
"01450",69185
"01451",12825
"01452",7416
"01453",18037
"01454",12055
"01455",24495
"01456",5209
"01457",15133
"01458",15688
"01459",19428
"01460",20233
"01461",8723
"01462",11675
"01463",5641
"01464",8972
"01465",10183
"01466",4401
"01467",12794
"01468",7433
"01469",5779
"01470",12216
"01471",23606
"01472",8793
"01473",24162
"01474",3572
"01475",9683
"01476",68813
"01477",6768
"01478",7097
"01479",14972
"01480",26461
"01481",6379
"01482",11417
"01483",12057
"01484",11723
"01485",4564
"01486",16720
"01487",6416
"01488",4353
"01489",11357
"01490",20666
"01491",11111
"01492",15060
"01493",6140
"01494",66627
"01495",12585
"01496",5283
"01497",9381
"01498",11833
"01499",19340
"01500",5289
"01501",27742
"01502",15992
"01503",6491
"01504",2941
"01505",10609
"01506",4895
"01507",4710
"01508",5111
"01509",12567
"01510",5649
"01511",6142
"01512",20588
"01513",7858
"01514",11876
"01515",7683
"01516",12502
"01517",18357
"01518",13838
"01519",27003
"01520",5527
"01521",14510
"01522",4264
"01523",18840
"01524",13272
"01525",5235
"01526",13113
"01527",7033
"01528",6738
"01529",5771
"01530",12711
"01531",6593
"01532",11216
"01533",11806
"01534",15587
"01535",4367
"01536",20031
"01537",20049
"01538",7258
"01539",5622
"01540",9768
"01541",5526
"01542",6468
"01543",5413
"01544",7482
"01545",76761
"01546",9385
"01547",3807
"01548",29124
"01549",4674
"01550",22686
"01551",5607
"01552",3294
"01553",6927
"01554",8441
"01555",7588
"01556",6417
"01557",5464
"01558",10189
"01559",6439
"01560",5274
"01561",17658
"01562",5887
"01563",48240
"01564",6212
"01565",5037
"01566",11112
"01567",7265
"01568",9631
"01569",22557
"01570",6134
"01571",10133
"01572",7383
"01573",6842
"01574",13562
"01575",13146
"01576",28585
"01577",27291
"01578",9279
"01579",80430
"01580",6870
"01581",13786
"01582",6555
"01583",10470
"01584",10680
"01585",15917
"01586",6143
"01587",12068
"01588",11676
"01589",14345
"01590",5569
"01591",7226
"01592",9207
"01593",8697
"01594",14173
"01595",3415
"01596",72734
"01597",8908
"01598",5545
"01599",24828
"01600",3223
"01601",37472
"01602",28012
"01603",113853
"01604",12295
"01605",9680
"01606",10575
"01607",36989
"01608",6416
"01609",29542
"01610",13387
"01611",8839
"01612",14537
"01613",8315
"01614",13960
"01615",22782
"01616",24079
"01617",152305
"01618",28184
"01619",12585
"01620",12052
"01621",11781
"01622",5467
"01623",6383
"01624",11700
"01625",7111
"01626",8565
"01627",9374
"01628",44177
"01629",2881
"01630",12985
"01631",10122
"01632",5887
"01633",3812
"01634",5479
"01635",14182
"01636",4743
"01637",14961
"01638",43676
"01639",22539
"01640",19188
"01641",167189
"01642",7308
"01643",7055
"01644",8110
"01645",4095
"01646",10657
"01647",8931
"01648",11170
"01649",3866
"01650",12886
"01651",7351
"01652",6519
"01653",12222
"01654",15301
"01655",4862
"01656",2530
"01657",17786
"01658",9862
"01659",7544
"01660",7538
"01661",6031
"01662",17506
"01663",7351
"01664",11270
"01665",7507
"01666",13120
"01667",10117
"01668",38329
"01669",9037
"01670",7568
"01671",23410
"01672",2948
"01673",23877
"01674",16885
"01675",20556
"01676",6933
"01677",5611
"01678",12739
"01679",17732
"01680",18635
"01681",40070
"01682",16333
"01683",14134
"01684",9866
"01685",15519
"01686",67290
"01687",6726
"01688",12836
"01689",5121
"01690",4952
"01691",20068
"01692",7875
"01693",10958
"01694",6388
"01695",12118
"01696",9129
"01697",5232
"01698",9528
"01699",5171
"01700",8916
"01701",6716
"01702",29154
"01703",6641
"01704",4322
"01705",21470
"01706",5157
"01707",7244
"01708",5277
"01709",10736
"01710",11388
"01711",6421
"01712",2331
"01713",10742
"01714",9382
"01715",7975
"01716",11010
"01717",3932
"01718",14883
"01719",6319
"01720",5116
"01721",8076
"01722",18299
"01723",29668
"01724",7610
"01725",11700
"01726",4984
"01727",5970
"01728",44432
"01729",14360
"01730",7349
"01731",43864
"01732",5971
"01733",12971
"01734",4274
"01735",7117
"01736",5765
"01737",5430
"01738",12388
"01739",50083
"01740",11767
"01741",12026
"01742",4456
"01743",4946
"01744",6424
"01745",9934
"01746",6992
"01747",10619
"01748",35938
"01749",14401
"01750",5896
"01751",9591
"01752",25320
"01753",18253
"01754",108689
"01755",6746
"01756",13703
"01757",4074
"01758",4406
"01759",10119
"01760",11330
"01761",7358
"01762",17229
"01763",7783
"01764",9287
"01765",6514
"01766",56042
"01767",4610
"01768",4199
"01769",8292
"01770",79597
"01771",6944
"01772",6333
"01773",6601
"01774",5206
"01775",6095
"01776",13624
"01777",11617
"01778",6148
"01779",9824
"01780",16176
"01781",25034
"01782",42313
"01783",10210
"01784",22157
"01785",20511
"01786",15482
"01787",4470
"01788",30505
"01789",6233
"01790",7454
"01791",61744
"01792",15424
"01793",8908
"01794",8726
"01795",28004
"01796",36593
"01797",7731
"01798",21065
"01799",3951
"01800",5791
"01801",12684
"01802",8425
"01803",12740
"01804",11165
"01805",7107
"01806",5392
"01807",8212
"01808",5407
"01809",14193
"01810",6519
"01811",3033
"01812",8760
"01813",12093
"01814",5946
"01815",28095
"01816",41452
"01817",6145
"01818",8681
"01819",5643
"01820",9232
"01821",15083
"01822",7142
"01823",14694
"01824",7788
"01825",25064
"01826",23238
"01827",7528
"01828",7973
"01829",8264
"01830",10064
"01831",7124
"01832",3033
"01833",6244
"01834",14453
"01835",9102
"01836",5990
"01837",8874
"01838",10578
"01839",6945
"01840",4614
"01841",23786
"01842",20162
"01843",18274
"01844",17347
"01845",5154
"01846",5005
"01847",11224
"01848",5596
"01849",4557
"01850",5611
"01851",7454
"01852",13346
"01853",4865
"01854",4491
"01855",13382
"01856",143198
"01857",22166
"01858",7419
"01859",6567
"01860",5801
"01861",14543
"01862",12046
"01863",13959
"01864",12400
"01865",4579
"01866",6253
"01867",14030
"01868",4976
"01869",13059
"01870",63222
"01871",5556
"01872",10005
"01873",6797
"01874",10268
"01875",8354
"01876",7595
"01877",12478
"01878",24123
"01879",12030
"01880",49724
"01881",7067
"01882",6180
"01883",7146
"01884",5168
"01885",14856
"01886",13325
"01887",8083
"01888",13624
"01889",13574
"01890",7857
"01891",6438
"01892",5773
"01893",3535
"01894",26604
"01895",24722
"01896",16531
"01897",4348
"01898",15870
"01899",7401
"01900",12548
"01901",14154
"01902",6615
"01903",8038
"01904",5166
"01905",6552
"01906",6923
"01907",31218
"01908",15253
"01909",14688
"01910",7631
"01911",14477
"01912",6737
"01913",16823
"01914",5753
"01915",5375
"01916",11796
"01917",8443
"01918",20916
"01919",5751
"01920",18067
"01921",6494
"01922",18504
"01923",16567
"01924",7234
"01925",21566
"01926",9130
"01927",14172
"01928",23964
"01929",5004
"01930",15873
"01931",4258
"01932",15748
"01933",4827
"01934",61568
"01935",6345
"01936",8777
"01937",14679
"01938",24374
"01939",11697
"01940",5991
"01941",12766
"01942",6512
"01943",9713
"01944",12523
"01945",12607
"01946",8943
"01947",8181
"01948",21459
"01949",9194
"01950",4637
"01951",6285
"01952",18194
"01953",64873
"01954",29316
"01955",9224
"01956",126022
"01957",12238
"01958",9380
"01959",6442
"01960",6155
"01961",3693
"01962",4745
"01963",11609
"01964",6984
"01965",21420
"01966",6751
"01967",11442
"01968",13200
"01969",10921
"01970",4328
"01971",28513
"01972",4882
"01973",18051
"01974",27518
"01975",6810
"01976",21115
"01977",6511
"01978",4707
"01979",43391
"01980",16121
"01981",18457
"01982",6495
"01983",6103
"01984",43700
"01985",15703
"01986",5557
"01987",9304
"01988",27397
"01989",10228
"01990",37596
"01991",6326
"01992",31154
"01993",13102
"01994",4726
