,±¸¸ÅÈ½¼ö,±¸¸ÅÈ½¼ö,±¸¸ÅÈ½¼ö,±¸¸ÅÈ½¼ö,ÃÑ±¸¸Å¾×,ÃÑ±¸¸Å¾×,ÃÑ±¸¸Å¾×,ÃÑ±¸¸Å¾×,Æò±Õ±¸¸Å¾×,Æò±Õ±¸¸Å¾×,Æò±Õ±¸¸Å¾×,Æò±Õ±¸¸Å¾×
44,575.0,42.0,377.0,,98729455.0,622050.0,2099546.0,,171703.0,14811.0,5569.0,
45,586.0,159.0,4.0,,223577143.0,1159803.0,43023.0,,381531.0,7294.0,10756.0,
46,638.0,38.0,4.0,,131085107.0,227766.0,14038.0,,205463.0,5994.0,3510.0,
47,127.0,1579.0,7.0,,8243338.0,13050700.0,19884.0,,64908.0,8265.0,2841.0,
48,520.0,39.0,108.0,,83807365.0,336248.0,524768.0,,161168.0,8622.0,4859.0,
49,677.0,4.0,1.0,,94245339.0,24014.0,5620.0,,139210.0,6004.0,5620.0,
50,1226.0,249.0,290.0,,21546433.0,2947639.0,857437.0,,17575.0,11838.0,2957.0,
51,701.0,1098.0,,14.0,15677695.0,6117944.0,,70872.0,22365.0,5572.0,,5062.0
52,1211.0,1.0,39.0,,37248870.0,23500.0,113611.0,,30759.0,23500.0,2913.0,
53,481.0,88.0,185.0,,47830078.0,771889.0,2797691.0,,99439.0,8771.0,15123.0,
54,744.0,1.0,4.0,1.0,10528944.0,32551.0,41960.0,18204.0,14152.0,32551.0,10490.0,18204.0
55,1.0,19.0,935.0,,33787.0,1098556.0,6623719.0,,33787.0,57819.0,7084.0,
56,728.0,11.0,27.0,,91463882.0,58653.0,154715.0,,125637.0,5332.0,5730.0,
57,2.0,14.0,1981.0,,99424.0,1935268.0,8316293.0,,49712.0,138233.0,4198.0,
58,613.0,5.0,,,25939582.0,21127.0,,,42316.0,4225.0,,
59,767.0,73.0,2.0,,26796685.0,603029.0,18196.0,,34937.0,8261.0,9098.0,
60,310.0,1150.0,16.0,,17804389.0,12356869.0,62799.0,,57434.0,10745.0,3925.0,
61,679.0,203.0,823.0,,19243860.0,3318028.0,4393436.0,,28341.0,16345.0,5338.0,
62,478.0,474.0,20.0,,17685863.0,3647287.0,108389.0,,37000.0,7695.0,5419.0,
63,613.0,1.0,2.0,,6259011.0,13940.0,9055.0,,10210.0,13940.0,4528.0,
64,2.0,816.0,1.0,,28203.0,3805837.0,3367.0,,14102.0,4664.0,3367.0,
65,648.0,226.0,3.0,,17542160.0,2232358.0,12089.0,,27071.0,9878.0,4030.0,
66,480.0,1652.0,8.0,,7738468.0,10605085.0,52947.0,,16122.0,6420.0,6618.0,
67,5.0,1971.0,2.0,,708604.0,10077805.0,11836.0,,141721.0,5113.0,5918.0,
68,432.0,1156.0,2.0,,65124251.0,238101975.0,17516.0,,150751.0,205971.0,8758.0,
69,1.0,126.0,3739.0,,4150.0,574782.0,15333569.0,,4150.0,4562.0,4101.0,
70,617.0,1.0,30.0,,32278761.0,15451.0,134743.0,,52316.0,15451.0,4491.0,
71,2.0,1079.0,32.0,,30043.0,4738413.0,96230.0,,15022.0,4391.0,3007.0,
72,23.0,1002.0,6.0,,1527648.0,8334988.0,21994.0,,66419.0,8318.0,3666.0,
73,557.0,71.0,7.0,,234703874.0,985435.0,17150.0,,421371.0,13879.0,2450.0,
74,586.0,105.0,68.0,,31089066.0,1006764.0,439896.0,,53053.0,9588.0,6469.0,
75,624.0,1.0,302.0,,3961377.0,8660.0,1217040.0,,6348.0,8660.0,4030.0,
76,657.0,139.0,127.0,,10526444.0,1223277.0,447932.0,,16022.0,8801.0,3527.0,
77,782.0,310.0,,,32800781.0,3153408.0,,,41945.0,10172.0,,
78,817.0,195.0,17.0,,88623347.0,4860767.0,191975.0,,108474.0,24927.0,11293.0,
79,158.0,1848.0,26.0,,4426903.0,11658877.0,104142.0,,28018.0,6309.0,4005.0,
80,105.0,139.0,1431.0,,3688379.0,1195720.0,5878917.0,,35127.0,8602.0,4108.0,
81,694.0,93.0,8.0,,75515835.0,774869.0,25058.0,,108812.0,8332.0,3132.0,
82,563.0,595.0,25.0,,151926670.0,6206238.0,147661.0,,269852.0,10431.0,5906.0,
83,844.0,211.0,1.0,,126418815.0,1299044.0,16781.0,,149785.0,6157.0,16781.0,
84,453.0,45.0,4.0,,62930186.0,725145.0,32460.0,,138919.0,16114.0,8115.0,
85,867.0,,2.0,8.0,14083828.0,,19662.0,50354.0,16244.0,,9831.0,6294.0
86,267.0,1994.0,9.0,2.0,25085879.0,15232942.0,26484.0,10741.0,93955.0,7639.0,2943.0,5371.0
87,456.0,10.0,95.0,,50169743.0,169729.0,961274.0,,110021.0,16973.0,10119.0,
88,572.0,922.0,10.0,,54577232.0,6618825.0,52597.0,,95415.0,7179.0,5260.0,
89,168.0,1590.0,283.0,1.0,6019384.0,8730537.0,1388496.0,1854.0,35830.0,5491.0,4906.0,1854.0
90,512.0,24.0,6.0,,54107131.0,1398786.0,74740.0,,105678.0,58283.0,12457.0,
91,713.0,53.0,158.0,,17897439.0,456379.0,980191.0,,25102.0,8611.0,6204.0,
92,726.0,612.0,456.0,,43464943.0,7367831.0,5328131.0,,59869.0,12039.0,11684.0,
93,763.0,14.0,6.0,,118017267.0,71598.0,39220.0,,154675.0,5114.0,6537.0,
94,1048.0,85.0,33.0,,67403625.0,851949.0,303672.0,,64316.0,10023.0,9202.0,
95,122.0,1139.0,31.0,2.0,2096900.0,5697649.0,145357.0,2952.0,17188.0,5002.0,4689.0,1476.0
96,741.0,12.0,,,32658716.0,134055.0,,,44074.0,11171.0,,
97,704.0,73.0,856.0,,996158452.0,1071778.0,5142423.0,,1414998.0,14682.0,6008.0,
98,673.0,117.0,,2.0,20692902.0,1607405.0,,3567.0,30747.0,13739.0,,1784.0
99,986.0,313.0,19.0,,252999693.0,5845301.0,122914.0,,256592.0,18675.0,6469.0,
100,572.0,113.0,6.0,,24680588.0,2927028.0,44748.0,,43148.0,25903.0,7458.0,
101,487.0,358.0,11.0,,4737540.0,2250186.0,27451.0,,9728.0,6285.0,2496.0,
102,735.0,877.0,1102.0,,99994913.0,6574108.0,5636595.0,,136048.0,7496.0,5115.0,
103,16.0,67.0,820.0,,502736.0,601697.0,3767877.0,,31421.0,8981.0,4595.0,
104,19.0,2465.0,14.0,,1788243.0,14089188.0,60591.0,,94118.0,5716.0,4328.0,
105,39.0,2330.0,6.0,,3911310.0,19046694.0,32389.0,,100290.0,8175.0,5398.0,
106,705.0,47.0,35.0,,68094703.0,306176.0,205117.0,,96588.0,6514.0,5860.0,
107,653.0,4.0,184.0,,130371663.0,12649.0,1019218.0,,199650.0,3162.0,5539.0,
108,950.0,54.0,1.0,,14044639.0,835082.0,2230.0,,14784.0,15464.0,2230.0,
109,6.0,9.0,1446.0,,134369.0,358114.0,8428570.0,,22395.0,39790.0,5829.0,
110,931.0,332.0,158.0,1.0,23511832.0,3240527.0,836375.0,9008.0,25254.0,9761.0,5294.0,9008.0
111,6.0,211.0,1352.0,,77323.0,1704668.0,3503352.0,,12887.0,8079.0,2591.0,
112,679.0,227.0,17.0,,96239132.0,1918176.0,132735.0,,141737.0,8450.0,7808.0,
113,922.0,732.0,12.0,,84251078.0,10083440.0,81477.0,,91379.0,13775.0,6790.0,
114,495.0,71.0,245.0,2.0,22412845.0,664747.0,1343296.0,23912.0,45278.0,9363.0,5483.0,11956.0
115,553.0,,40.0,1.0,67993052.0,,251629.0,11509.0,122953.0,,6291.0,11509.0
116,28.0,28.0,1698.0,,1595873.0,277997.0,6344589.0,,56995.0,9928.0,3737.0,
117,749.0,232.0,335.0,4.0,42364956.0,1580636.0,1460852.0,18167.0,56562.0,6813.0,4361.0,4542.0
118,701.0,8.0,3.0,,103541044.0,15819.0,42110.0,,147705.0,1977.0,14037.0,
119,739.0,27.0,214.0,,66820768.0,294271.0,1060658.0,,90421.0,10899.0,4956.0,
120,1012.0,154.0,3.0,,243886096.0,1559169.0,22548.0,,240994.0,10124.0,7516.0,
121,613.0,291.0,,2.0,17201957.0,2448546.0,,8597.0,28062.0,8414.0,,4299.0
122,655.0,552.0,9.0,,34926928.0,6221925.0,31161.0,,53324.0,11272.0,3462.0,
123,10.0,1675.0,1.0,,603130.0,10169676.0,5562.0,,60313.0,6071.0,5562.0,
124,661.0,13.0,5.0,4.0,38720006.0,57851.0,12835.0,4782.0,58578.0,4450.0,2567.0,1196.0
125,689.0,159.0,2.0,,14137903.0,1461908.0,18245.0,,20519.0,9194.0,9123.0,
126,165.0,1366.0,17.0,,30747203.0,8379520.0,62721.0,,186347.0,6134.0,3689.0,
127,519.0,140.0,2.0,1.0,6402220.0,743167.0,5497.0,16442.0,12336.0,5308.0,2749.0,16442.0
128,1.0,777.0,19.0,,66659.0,9115647.0,75609.0,,66659.0,11732.0,3979.0,
129,10.0,896.0,100.0,,204476.0,6611484.0,477426.0,,20448.0,7379.0,4774.0,
130,838.0,16.0,202.0,,44806300.0,73928.0,1306899.0,,53468.0,4621.0,6470.0,
131,1092.0,5.0,1123.0,,26854347.0,164235.0,6764232.0,,24592.0,32847.0,6023.0,
132,42.0,1654.0,143.0,,3187941.0,8307935.0,567963.0,,75903.0,5023.0,3972.0,
133,1039.0,173.0,10.0,,22355963.0,2240919.0,57412.0,,21517.0,12953.0,5741.0,
134,637.0,127.0,21.0,,104937394.0,807245.0,50629.0,,164737.0,6356.0,2411.0,
135,676.0,20.0,9.0,1.0,13335607.0,198655.0,55132.0,3222.0,19727.0,9933.0,6126.0,3222.0
136,524.0,13.0,2.0,,29103155.0,164625.0,8987.0,,55540.0,12663.0,4494.0,
137,570.0,19.0,550.0,,106775697.0,522302.0,2996944.0,,187326.0,27490.0,5449.0,
138,449.0,535.0,1.0,,43477499.0,4351037.0,9394.0,,96832.0,8133.0,9394.0,
139,491.0,496.0,380.0,3.0,41618041.0,5895165.0,1478160.0,19621.0,84762.0,11885.0,3890.0,6540.0
140,885.0,13.0,56.0,,254979518.0,89039.0,345765.0,,288112.0,6849.0,6174.0,
141,1.0,18.0,1332.0,,20602.0,122867.0,5704227.0,,20602.0,6826.0,4282.0,
142,12.0,3.0,1.0,,788156.0,41913.0,1487.0,,65680.0,13971.0,1487.0,
143,21.0,1594.0,,1.0,249553.0,7202357.0,,3753.0,11883.0,4518.0,,3753.0
144,69.0,575.0,5311.0,,16359584.0,5891729.0,50163501.0,,237095.0,10246.0,9445.0,
145,807.0,60.0,21.0,,138391382.0,617589.0,160283.0,,171489.0,10293.0,7633.0,
146,494.0,,,,100334298.0,,,,203106.0,,,
147,763.0,1023.0,15.0,,83667650.0,12310962.0,65224.0,,109656.0,12034.0,4348.0,
148,2.0,3.0,1438.0,,128798.0,15751.0,5563007.0,,64399.0,5250.0,3869.0,
149,619.0,194.0,23.0,,26128092.0,1320883.0,108689.0,,42210.0,6809.0,4726.0,
150,56.0,1646.0,6.0,,13660407.0,11042151.0,15906.0,,243936.0,6708.0,2651.0,
151,1141.0,244.0,5.0,,82331974.0,2081758.0,15630.0,,72158.0,8532.0,3126.0,
152,458.0,2.0,454.0,,30928176.0,7613.0,2473194.0,,67529.0,3807.0,5448.0,
153,880.0,193.0,2.0,1.0,9673744.0,987252.0,26109.0,3247.0,10993.0,5115.0,13055.0,3247.0
154,438.0,334.0,5.0,,70649247.0,1958812.0,11572.0,,161300.0,5865.0,2314.0,
155,932.0,38.0,1.0,,57066683.0,298204.0,18542.0,,61230.0,7847.0,18542.0,
156,1279.0,3.0,14.0,,150922785.0,19873.0,41532.0,,118001.0,6624.0,2967.0,
157,629.0,1.0,355.0,1.0,12392990.0,28953.0,1657599.0,3444.0,19703.0,28953.0,4669.0,3444.0
158,530.0,623.0,8.0,7.0,8381359.0,3316203.0,48807.0,45915.0,15814.0,5323.0,6101.0,6559.0
159,522.0,110.0,8.0,,138435045.0,833915.0,59780.0,,265201.0,7581.0,7473.0,
160,720.0,627.0,1.0,,16091167.0,4598295.0,6978.0,,22349.0,7334.0,6978.0,
161,662.0,71.0,4.0,,164889124.0,1495555.0,11686.0,,249077.0,21064.0,2922.0,
162,592.0,387.0,66.0,,66191128.0,3055965.0,369788.0,,111809.0,7897.0,5603.0,
163,93.0,12.0,1433.0,5.0,3860575.0,94635.0,7677690.0,64509.0,41512.0,7886.0,5358.0,12902.0
164,477.0,424.0,50.0,,107836938.0,3444265.0,383843.0,,226073.0,8123.0,7677.0,
165,415.0,98.0,1.0,,39101602.0,522306.0,8579.0,,94221.0,5330.0,8579.0,
166,634.0,390.0,2.0,,30204986.0,3866767.0,4633.0,,47642.0,9915.0,2317.0,
167,930.0,8.0,,8.0,43351029.0,57820.0,,46454.0,46614.0,7228.0,,5807.0
168,860.0,11.0,281.0,,82920189.0,365621.0,1411600.0,,96419.0,33238.0,5023.0,
169,46.0,874.0,74.0,,2220900.0,6129566.0,241668.0,,48280.0,7013.0,3266.0,
170,13.0,1900.0,8.0,,888943.0,13661538.0,58946.0,,68380.0,7190.0,7368.0,
171,660.0,115.0,16.0,,27739219.0,753701.0,65012.0,,42029.0,6554.0,4063.0,
172,905.0,537.0,1.0,,17952203.0,4966491.0,26798.0,,19837.0,9249.0,26798.0,
173,46.0,90.0,1941.0,,2774458.0,647752.0,8848259.0,,60314.0,7197.0,4559.0,
174,6.0,15.0,,,333372.0,88467.0,,,55562.0,5898.0,,
175,71.0,4746.0,2.0,,7363661.0,28072068.0,11152.0,,103714.0,5915.0,5576.0,
176,50.0,23.0,1266.0,,1413714.0,256795.0,6612407.0,,28274.0,11165.0,5223.0,
177,549.0,102.0,5.0,,91221068.0,1466604.0,28028.0,,166159.0,14378.0,5606.0,
178,118.0,1787.0,64.0,,6756019.0,12973297.0,378928.0,,57254.0,7260.0,5921.0,
179,1170.0,281.0,,2.0,47440903.0,2408894.0,,11153.0,40548.0,8573.0,,5577.0
180,705.0,2.0,5.0,,52434268.0,137866.0,60535.0,,74375.0,68933.0,12107.0,
181,770.0,129.0,24.0,,65108632.0,1081646.0,150852.0,,84557.0,8385.0,6286.0,
182,1145.0,396.0,,3.0,80714692.0,3017216.0,,30694.0,70493.0,7619.0,,10231.0
183,7.0,2313.0,3.0,,238291.0,13238840.0,38347.0,,34042.0,5724.0,12782.0,
184,468.0,129.0,18.0,,36393207.0,924591.0,73545.0,,77763.0,7167.0,4086.0,
185,6.0,1385.0,28.0,,263804.0,10886181.0,85254.0,,43967.0,7860.0,3045.0,
186,813.0,564.0,62.0,,74343097.0,3911322.0,202607.0,,91443.0,6935.0,3268.0,
187,476.0,100.0,55.0,,19360550.0,762566.0,246274.0,,40673.0,7626.0,4478.0,
188,41.0,187.0,2960.0,,834488.0,1751647.0,12920212.0,,20353.0,9367.0,4365.0,
189,1325.0,13.0,,54.0,100316826.0,109713.0,,894733.0,75711.0,8439.0,,16569.0
190,1201.0,10.0,,,48742245.0,118948.0,,,40585.0,11895.0,,
191,493.0,1.0,14.0,,88161317.0,60981.0,47226.0,,178826.0,60981.0,3373.0,
192,702.0,418.0,50.0,1.0,37122619.0,3879310.0,238791.0,8091.0,52881.0,9281.0,4776.0,8091.0
193,38.0,1398.0,7.0,,527006.0,9862830.0,51038.0,,13869.0,7055.0,7291.0,
194,161.0,1903.0,2.0,,4003133.0,11265262.0,7420.0,,24864.0,5920.0,3710.0,
195,1.0,824.0,4.0,,90724.0,7086214.0,7236.0,,90724.0,8600.0,1809.0,
196,543.0,490.0,448.0,2.0,23996989.0,4936288.0,2220118.0,3378.0,44193.0,10074.0,4956.0,1689.0
197,531.0,737.0,5.0,4.0,94850115.0,4134060.0,13884.0,25107.0,178625.0,5609.0,2777.0,6277.0
198,267.0,1098.0,7.0,,9380837.0,5031534.0,55964.0,,35134.0,4582.0,7995.0,
199,58.0,719.0,231.0,,6470919.0,11044286.0,1223339.0,,111568.0,15361.0,5296.0,
200,66.0,113.0,931.0,,7316457.0,1289203.0,4045320.0,,110855.0,11409.0,4345.0,
201,866.0,7.0,66.0,,121435715.0,576553.0,480319.0,,140226.0,82365.0,7278.0,
202,731.0,2.0,1099.0,,94407563.0,5866.0,5879853.0,,129149.0,2933.0,5350.0,
203,1.0,1114.0,4.0,,80862.0,6781584.0,27071.0,,80862.0,6088.0,6768.0,
204,248.0,1546.0,4.0,,13870126.0,10360989.0,13010.0,,55928.0,6702.0,3253.0,
205,77.0,1321.0,179.0,2.0,13417257.0,10650281.0,979898.0,8212.0,174250.0,8062.0,5474.0,4106.0
206,124.0,1737.0,207.0,,5401439.0,10687118.0,400723.0,,43560.0,6153.0,1936.0,
207,4.0,1232.0,1.0,1.0,111566.0,8014322.0,1020.0,2060.0,27892.0,6505.0,1020.0,2060.0
208,333.0,107.0,4.0,,69961483.0,741552.0,8634.0,,210095.0,6930.0,2159.0,
209,588.0,62.0,23.0,,17616498.0,429251.0,116279.0,,29960.0,6923.0,5056.0,
210,36.0,773.0,311.0,,752718.0,4460061.0,1019502.0,,20909.0,5770.0,3278.0,
211,618.0,5.0,23.0,,21542434.0,181841.0,137849.0,,34858.0,36368.0,5993.0,
212,63.0,4.0,1758.0,,7922731.0,82576.0,12774131.0,,125758.0,20644.0,7266.0,
213,310.0,3120.0,896.0,,24902625.0,18742042.0,4194912.0,,80331.0,6007.0,4682.0,
214,590.0,3.0,616.0,,18788397.0,173719.0,2123137.0,,31845.0,57906.0,3447.0,
215,193.0,1699.0,,,5236369.0,9226858.0,,,27131.0,5431.0,,
216,32.0,1371.0,3.0,,2425569.0,9375097.0,24278.0,,75799.0,6838.0,8093.0,
217,527.0,103.0,2.0,,13098970.0,974692.0,14401.0,,24856.0,9463.0,7201.0,
218,764.0,136.0,,6.0,208488161.0,3212332.0,,126454.0,272890.0,23620.0,,21076.0
219,607.0,660.0,7.0,,45563695.0,4565458.0,12700.0,,75064.0,6917.0,1814.0,
220,5.0,2356.0,2.0,,885555.0,18575714.0,29419.0,,177111.0,7884.0,14710.0,
221,37.0,1261.0,8.0,,1535439.0,9132547.0,28222.0,,41498.0,7242.0,3528.0,
222,509.0,328.0,351.0,,70256804.0,5615395.0,1964775.0,,138029.0,17120.0,5598.0,
223,640.0,9.0,2.0,,138888559.0,170692.0,10417.0,,217013.0,18966.0,5209.0,
224,439.0,104.0,,,174466540.0,1340136.0,,,397418.0,12886.0,,
225,755.0,81.0,13.0,,165573007.0,755917.0,50004.0,,219302.0,9332.0,3846.0,
226,38.0,875.0,24.0,,2401543.0,8659391.0,195442.0,,63199.0,9896.0,8143.0,
227,15.0,,1592.0,,263245.0,,5689957.0,,17550.0,,3574.0,
228,19.0,1683.0,39.0,,543735.0,12090520.0,205198.0,,28618.0,7184.0,5261.0,
229,987.0,12.0,20.0,,74839747.0,78961.0,161938.0,,75825.0,6580.0,8097.0,
230,838.0,24.0,5.0,1.0,13999794.0,372507.0,95738.0,3193.0,16706.0,15521.0,19148.0,3193.0
231,15.0,1728.0,1.0,,2372310.0,8415627.0,7853.0,,158154.0,4870.0,7853.0,
232,29.0,3.0,2169.0,,1092187.0,66233.0,8907978.0,,37662.0,22078.0,4107.0,
233,62.0,7.0,1390.0,,12040674.0,88309.0,9339105.0,,194204.0,12616.0,6719.0,
234,753.0,231.0,68.0,,32502957.0,1526666.0,329380.0,,43165.0,6609.0,4844.0,
235,678.0,11.0,467.0,,39914303.0,113030.0,2870672.0,,58871.0,10275.0,6147.0,
236,5.0,5.0,1733.0,,466907.0,284392.0,8001486.0,,93381.0,56878.0,4617.0,
237,613.0,7.0,744.0,1.0,62627189.0,135055.0,3088550.0,16525.0,102165.0,19294.0,4151.0,16525.0
238,812.0,4.0,3.0,,16507520.0,46215.0,13618.0,,20329.0,11554.0,4539.0,
239,785.0,44.0,13.0,,156830856.0,722327.0,138398.0,,199785.0,16417.0,10646.0,
240,723.0,12.0,,8.0,20547607.0,147620.0,,23894.0,28420.0,12302.0,,2987.0
241,839.0,44.0,4.0,,69585791.0,367610.0,24167.0,,82939.0,8355.0,6042.0,
242,17.0,1242.0,12.0,,612926.0,9272678.0,29869.0,,36054.0,7466.0,2489.0,
243,64.0,993.0,6.0,,1256480.0,6418662.0,41994.0,,19633.0,6464.0,6999.0,
244,971.0,,,,39957102.0,,,,41150.0,,,
245,1042.0,5.0,1594.0,,19605001.0,58812.0,7398751.0,,18815.0,11762.0,4642.0,
246,496.0,227.0,2.0,,71265381.0,3161099.0,5550.0,,143680.0,13926.0,2775.0,
247,1866.0,279.0,81.0,,21119347.0,2908877.0,308714.0,,11318.0,10426.0,3811.0,
248,443.0,1232.0,139.0,,25394311.0,8614683.0,609420.0,,57324.0,6992.0,4384.0,
249,684.0,14.0,14.0,2.0,141398274.0,142809.0,68084.0,11769.0,206723.0,10201.0,4863.0,5885.0
250,764.0,41.0,153.0,,126330722.0,238685.0,697565.0,,165354.0,5822.0,4559.0,
251,643.0,6.0,172.0,,53203457.0,45466.0,890011.0,,82743.0,7578.0,5174.0,
252,622.0,42.0,5.0,2.0,11265187.0,187026.0,9502.0,3591.0,18111.0,4453.0,1900.0,1796.0
253,556.0,,13.0,,77561856.0,,81087.0,,139500.0,,6237.0,
254,860.0,53.0,8.0,,130665559.0,265135.0,29492.0,,151937.0,5003.0,3687.0,
255,777.0,90.0,126.0,,123527002.0,666120.0,619143.0,,158979.0,7401.0,4914.0,
256,651.0,23.0,668.0,,222912418.0,999420.0,3627680.0,,342415.0,43453.0,5431.0,
257,62.0,2726.0,49.0,,1295925.0,14588355.0,147311.0,,20902.0,5352.0,3006.0,
258,633.0,33.0,197.0,,383313993.0,250686.0,1026568.0,,605551.0,7597.0,5211.0,
259,68.0,3130.0,26.0,,18072975.0,17802644.0,116462.0,,265779.0,5688.0,4479.0,
260,50.0,1376.0,15.0,,1529625.0,11254379.0,122199.0,,30593.0,8179.0,8147.0,
261,611.0,22.0,17.0,2.0,29734483.0,888649.0,59148.0,12238.0,48665.0,40393.0,3479.0,6119.0
262,1608.0,70.0,2.0,,36960991.0,736484.0,5055.0,,22986.0,10521.0,2528.0,
263,7.0,1099.0,97.0,,276738.0,6378714.0,330448.0,,39534.0,5804.0,3407.0,
264,47.0,788.0,1403.0,,2933501.0,3977702.0,4857547.0,,62415.0,5048.0,3462.0,
265,647.0,,28.0,,201075814.0,,176500.0,,310782.0,,6304.0,
266,642.0,9.0,98.0,,42699588.0,91658.0,934785.0,,66510.0,10184.0,9539.0,
267,448.0,86.0,13.0,,48001927.0,1119280.0,43123.0,,107147.0,13015.0,3317.0,
268,878.0,259.0,579.0,,46922726.0,3999604.0,2507411.0,,53443.0,15442.0,4331.0,
269,180.0,17.0,4662.0,,33090696.0,192237.0,41885308.0,,183837.0,11308.0,8984.0,
270,16.0,1454.0,5.0,,626342.0,8433416.0,31068.0,,39146.0,5800.0,6214.0,
271,706.0,6.0,,1.0,76299541.0,19339.0,,3193.0,108073.0,3223.0,,3193.0
272,139.0,1644.0,2.0,,12748104.0,18770403.0,4409.0,,91713.0,11418.0,2205.0,
273,977.0,147.0,13.0,,70068189.0,2632973.0,79816.0,,71718.0,17911.0,6140.0,
