고객번호,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,A객단가등급,B객단가등급,변동률
59,95.0,85.0,121.0,129.0,111.0,112.0,3,3,4,4,5,4,8,2,4
60,112.0,183.0,185.0,214.0,163.0,214.0,5,3,4,3,5,3,7,5,4
61,289.0,247.0,137.0,206.0,200.0,179.0,2,3,4,5,5,5,9,2,3
62,100.0,144.0,123.0,114.0,152.0,105.0,7,3,4,5,5,5,7,9,5
63,64.0,93.0,74.0,63.0,67.0,91.0,10,9,10,10,9,10,10,4,4
64,145.0,176.0,127.0,138.0,114.0,66.0,10,10,10,10,10,10,10,7,4
65,96.0,95.0,111.0,85.0,172.0,129.0,6,6,3,9,3,5,8,9,4
66,264.0,247.0,262.0,293.0,282.0,274.0,4,5,6,5,5,5,10,1,2
67,145.0,169.0,217.0,217.0,286.0,303.0,9,9,8,7,7,8,2,9,1
68,196.0,243.0,292.0,191.0,132.0,156.0,1,1,1,1,1,1,2,2,0
69,333.0,445.0,536.0,497.0,427.0,507.0,7,6,5,6,6,6,10,10,1
70,135.0,153.0,120.0,120.0,77.0,11.0,3,6,1,3,4,5,7,5,8
71,141.0,131.0,161.0,132.0,143.0,138.0,10,10,10,10,10,10,10,2,4
72,66.0,79.0,139.0,138.0,129.0,176.0,9,10,6,8,8,9,5,4,7
73,98.0,95.0,106.0,69.0,79.0,48.0,1,1,1,1,1,1,1,5,0
74,95.0,120.0,127.0,63.0,115.0,101.0,3,2,2,4,4,6,6,5,3
75,106.0,99.0,126.0,146.0,101.0,89.0,10,10,10,10,10,10,10,3,5
76,120.0,154.0,77.0,124.0,90.0,124.0,7,7,9,6,9,6,9,1,4
77,99.0,111.0,198.0,141.0,107.0,152.0,3,3,3,3,3,3,7,8,3
78,111.0,70.0,129.0,126.0,153.0,173.0,1,2,1,2,1,1,3,6,3
79,270.0,193.0,273.0,273.0,210.0,312.0,6,6,5,5,8,5,8,5,4
80,243.0,129.0,227.0,248.0,177.0,221.0,9,9,8,7,8,7,8,3,5
81,89.0,99.0,75.0,77.0,130.0,117.0,1,3,1,3,2,1,3,8,4
82,103.0,132.0,193.0,162.0,188.0,157.0,1,2,1,2,1,1,1,2,4
83,63.0,125.0,186.0,126.0,156.0,135.0,2,1,1,2,1,1,2,6,3
84,99.0,38.0,65.0,35.0,77.0,85.0,2,4,3,6,1,1,2,2,1
85,58.0,52.0,85.0,138.0,98.0,150.0,9,9,10,6,6,5,10,6,3
86,225.0,252.0,230.0,240.0,408.0,367.0,5,3,3,3,3,3,3,8,3
87,63.0,126.0,43.0,70.0,62.0,78.0,1,1,10,3,2,7,3,1,11
88,186.0,182.0,177.0,208.0,237.0,146.0,3,2,2,2,2,3,4,5,1
89,154.0,267.0,234.0,201.0,261.0,330.0,8,4,5,7,5,6,7,3,7
90,35.0,72.0,88.0,94.0,47.0,71.0,4,4,3,1,4,3,3,3,4
91,105.0,93.0,120.0,122.0,114.0,121.0,5,5,5,5,4,5,9,9,0
92,247.0,244.0,260.0,218.0,198.0,207.0,2,3,2,2,3,2,5,2,3
93,104.0,101.0,89.0,16.0,113.0,86.0,1,2,1,2,1,1,1,2,0
94,14.0,28.0,166.0,236.0,172.0,178.0,10,10,2,2,3,3,8,1,5
95,174.0,176.0,120.0,140.0,154.0,185.0,9,9,10,8,9,10,9,1,9
96,85.0,125.0,131.0,93.0,83.0,57.0,3,1,2,5,4,7,7,8,4
97,205.0,219.0,160.0,217.0,226.0,275.0,1,1,1,1,1,1,1,6,0
98,118.0,121.0,129.0,99.0,62.0,83.0,5,5,4,4,3,5,8,4,3
99,123.0,194.0,195.0,139.0,158.0,204.0,1,1,1,1,1,1,1,8,0
100,66.0,90.0,134.0,158.0,77.0,56.0,8,2,2,2,7,9,7,5,7
101,126.0,66.0,80.0,102.0,116.0,105.0,7,10,10,10,9,10,10,8,5
102,343.0,337.0,359.0,361.0,410.0,299.0,1,1,1,1,2,1,2,10,8
103,138.0,104.0,136.0,80.0,102.0,108.0,10,10,9,10,10,10,8,4,6
104,279.0,359.0,343.0,195.0,279.0,380.0,6,6,5,5,7,6,2,1,7
105,320.0,377.0,310.0,348.0,228.0,254.0,5,4,3,5,4,6,4,4,8
106,64.0,134.0,75.0,131.0,91.0,87.0,1,1,3,2,4,2,4,6,4
107,102.0,112.0,80.0,128.0,88.0,129.0,2,1,1,1,1,1,1,5,1
108,97.0,77.0,127.0,136.0,101.0,164.0,5,8,7,6,8,5,10,2,1
109,218.0,184.0,197.0,185.0,174.0,167.0,6,8,8,9,10,10,8,4,7
110,210.0,165.0,233.0,208.0,168.0,167.0,5,4,2,3,4,4,9,4,2
111,195.0,180.0,175.0,183.0,171.0,240.0,10,10,9,10,10,10,10,6,2
112,55.0,72.0,132.0,112.0,112.0,141.0,1,3,2,2,2,2,3,10,1
113,184.0,237.0,234.0,239.0,209.0,204.0,1,1,1,1,1,1,3,3,2
114,147.0,107.0,72.0,72.0,104.0,131.0,6,3,3,4,4,3,6,3,6
115,69.0,105.0,88.0,58.0,71.0,113.0,5,2,2,2,1,1,3,5,2
116,145.0,288.0,235.0,214.0,214.0,239.0,9,8,9,10,9,8,6,3,3
117,142.0,130.0,173.0,164.0,183.0,256.0,2,7,1,2,3,3,6,7,7
118,63.0,75.0,113.0,125.0,97.0,69.0,2,2,1,1,1,1,2,9,0
119,93.0,176.0,143.0,119.0,177.0,113.0,3,1,2,2,1,2,4,5,3
120,112.0,177.0,189.0,144.0,130.0,146.0,1,1,1,1,1,1,1,8,0
121,92.0,69.0,76.0,144.0,125.0,111.0,4,7,10,5,3,8,8,8,8
122,58.0,135.0,194.0,122.0,171.0,167.0,4,3,3,4,2,2,6,3,4
123,272.0,158.0,203.0,196.0,215.0,231.0,6,9,7,8,7,8,6,6,4
124,77.0,70.0,98.0,72.0,64.0,113.0,2,4,3,4,6,2,5,9,5
125,112.0,150.0,103.0,95.0,119.0,90.0,4,6,6,8,7,4,9,4,5
126,173.0,132.0,158.0,189.0,196.0,312.0,3,9,9,2,2,3,1,9,10
127,57.0,79.0,83.0,48.0,120.0,81.0,9,9,8,10,8,10,10,3,3
128,94.0,104.0,93.0,99.0,71.0,176.0,8,9,4,10,10,9,5,9,9
129,97.0,122.0,107.0,128.0,115.0,115.0,10,9,10,9,10,9,8,4,5
130,147.0,147.0,164.0,182.0,140.0,137.0,1,2,2,3,2,3,6,2,1
131,322.0,293.0,408.0,150.0,235.0,246.0,4,2,2,5,4,3,8,1,4
132,219.0,289.0,305.0,389.0,405.0,76.0,7,8,7,5,5,8,3,5,6
133,162.0,177.0,168.0,118.0,140.0,159.0,5,5,4,6,4,4,9,2,3
134,63.0,53.0,66.0,144.0,135.0,117.0,1,2,2,2,1,1,1,6,2
135,79.0,121.0,81.0,105.0,91.0,92.0,10,3,4,9,9,8,9,7,8
136,16.0,125.0,73.0,91.0,36.0,59.0,10,4,3,3,10,4,7,2,8
137,125.0,136.0,118.0,139.0,146.0,197.0,1,1,2,2,1,2,2,9,0
138,114.0,70.0,63.0,94.0,147.0,188.0,2,3,3,2,2,2,3,3,2
139,136.0,144.0,140.0,194.0,152.0,162.0,3,2,1,1,5,4,4,5,3
140,137.0,118.0,147.0,124.0,120.0,102.0,1,1,1,1,1,1,1,4,0
141,154.0,159.0,129.0,133.0,157.0,217.0,10,10,10,10,10,10,9,9,0
143,160.0,164.0,195.0,196.0,178.0,242.0,9,10,9,10,10,8,5,7,2
144,1015.0,1050.0,1329.0,1046.0,974.0,183.0,1,1,1,2,2,6,10,7,3
145,117.0,105.0,96.0,147.0,75.0,122.0,2,2,1,1,2,1,1,4,2
146,65.0,83.0,58.0,61.0,70.0,63.0,1,1,2,1,1,1,2,10,0
147,184.0,235.0,233.0,206.0,194.0,244.0,1,1,2,1,1,1,1,9,5
148,163.0,127.0,180.0,218.0,169.0,184.0,10,10,10,10,10,9,2,8,1
149,73.0,75.0,117.0,96.0,102.0,154.0,4,5,2,3,6,3,5,8,4
150,221.0,228.0,300.0,244.0,223.0,279.0,4,2,5,4,6,3,7,7,12
151,187.0,223.0,175.0,141.0,159.0,165.0,2,1,2,2,3,2,1,1,6
152,145.0,167.0,176.0,113.0,95.0,60.0,3,4,3,4,3,3,5,9,4
153,166.0,122.0,130.0,113.0,136.0,152.0,8,10,9,4,9,8,5,7,11
154,78.0,120.0,86.0,64.0,44.0,97.0,1,2,6,7,9,6,10,6,3
155,105.0,108.0,112.0,130.0,145.0,115.0,3,2,1,3,2,3,2,1,5
156,168.0,206.0,184.0,155.0,166.0,177.0,1,1,1,1,1,1,5,6,1
157,115.0,149.0,114.0,118.0,108.0,143.0,7,8,6,7,8,8,2,6,7
158,82.0,92.0,136.0,239.0,119.0,153.0,9,9,7,6,9,5,9,5,6
159,56.0,80.0,59.0,91.0,92.0,88.0,2,1,2,1,1,1,9,8,0
160,155.0,175.0,120.0,146.0,253.0,186.0,4,5,5,6,4,4,1,3,4
161,170.0,49.0,55.0,127.0,71.0,110.0,1,2,1,1,1,1,9,1,0
162,126.0,123.0,152.0,164.0,130.0,133.0,3,1,2,1,1,2,1,6,5
163,156.0,215.0,235.0,215.0,156.0,187.0,8,6,8,8,8,8,3,6,3
164,41.0,69.0,86.0,85.0,115.0,117.0,1,2,2,2,2,1,8,6,4
165,24.0,100.0,76.0,67.0,90.0,49.0,7,2,2,2,2,8,1,5,4
166,21.0,181.0,125.0,194.0,166.0,112.0,4,2,3,3,4,4,4,6,4
167,121.0,101.0,81.0,116.0,130.0,98.0,3,4,5,1,4,3,7,8,4
168,90.0,202.0,135.0,178.0,110.0,154.0,2,1,2,1,2,1,6,8,1
169,115.0,104.0,115.0,29.0,119.0,141.0,6,9,10,10,10,9,3,4,6
170,153.0,261.0,258.0,199.0,193.0,268.0,8,6,5,8,7,6,7,2,2
171,70.0,80.0,80.0,78.0,87.0,147.0,5,6,3,2,8,4,6,6,6
172,133.0,216.0,189.0,176.0,198.0,161.0,5,3,5,5,5,4,7,5,3
173,222.0,234.0,251.0,243.0,257.0,285.0,8,7,6,8,9,5,9,1,9
175,531.0,557.0,568.0,594.0,669.0,694.0,3,4,3,4,3,3,5,2,5
176,118.0,159.0,200.0,167.0,177.0,204.0,9,9,7,9,9,8,6,5,5
177,95.0,116.0,75.0,69.0,88.0,85.0,1,1,2,1,1,2,3,8,0
178,185.0,176.0,169.0,212.0,273.0,330.0,4,6,6,4,5,6,8,6,7
179,144.0,206.0,158.0,179.0,206.0,231.0,2,3,2,3,2,2,2,6,2
180,97.0,113.0,83.0,71.0,77.0,95.0,3,2,4,2,1,2,6,7,5
181,80.0,100.0,81.0,122.0,112.0,144.0,2,3,3,1,3,1,7,6,4
182,123.0,146.0,201.0,245.0,176.0,198.0,2,2,1,2,2,1,4,4,3
183,246.0,270.0,278.0,320.0,401.0,310.0,6,7,6,6,5,7,5,5,2
184,64.0,122.0,81.0,106.0,50.0,61.0,2,1,4,3,9,4,5,1,8
185,4.0,135.0,254.0,283.0,247.0,261.0,10,9,6,6,6,6,8,4,4
186,160.0,223.0,141.0,135.0,169.0,272.0,1,1,2,2,1,2,4,7,2
187,102.0,70.0,39.0,82.0,63.0,90.0,2,6,8,6,7,6,7,8,2
188,351.0,282.0,392.0,317.0,542.0,361.0,6,7,5,7,6,7,3,5,4
189,122.0,124.0,160.0,181.0,197.0,213.0,2,2,1,1,1,2,7,4,4
190,106.0,107.0,139.0,151.0,191.0,207.0,2,3,3,3,2,2,10,8,5
191,50.0,71.0,73.0,57.0,46.0,63.0,1,1,2,1,2,2,4,9,0
192,29.0,130.0,161.0,189.0,129.0,170.0,9,3,3,2,6,3,7,2,5
193,153.0,218.0,158.0,174.0,164.0,193.0,8,7,8,8,9,8,2,3,3
194,207.0,230.0,315.0,255.0,250.0,310.0,6,5,6,6,7,6,6,1,6
195,73.0,72.0,98.0,83.0,104.0,143.0,9,10,10,10,10,9,10,10,3
196,161.0,170.0,187.0,172.0,182.0,166.0,4,2,4,3,3,4,8,8,4
197,221.0,106.0,148.0,113.0,158.0,199.0,3,3,4,1,2,1,4,7,9
198,137.0,199.0,190.0,140.0,165.0,193.0,9,4,7,7,9,5,7,5,13
199,51.0,93.0,113.0,152.0,140.0,184.0,9,4,5,4,4,5,2,8,3
200,215.0,191.0,185.0,156.0,119.0,122.0,6,6,6,6,8,6,8,7,5
201,138.0,128.0,136.0,157.0,90.0,113.0,1,1,1,1,2,2,3,6,1
202,167.0,176.0,224.0,316.0,248.0,259.0,2,1,1,1,1,2,3,7,4
203,140.0,143.0,158.0,160.0,132.0,141.0,9,9,9,10,9,9,2,8,2
204,226.0,245.0,186.0,157.0,200.0,226.0,4,4,4,4,6,5,3,1,4
205,228.0,196.0,217.0,181.0,149.0,204.0,3,4,4,3,4,7,4,2,4
206,258.0,281.0,285.0,238.0,260.0,229.0,6,7,5,6,5,8,6,8,9
207,125.0,112.0,171.0,207.0,133.0,177.0,9,10,8,8,10,8,1,1,1
208,28.0,98.0,79.0,89.0,89.0,18.0,1,1,1,1,2,8,7,8,1
209,66.0,78.0,101.0,83.0,71.0,107.0,3,6,5,4,10,4,8,7,7
210,78.0,94.0,124.0,150.0,149.0,200.0,10,10,10,9,10,9,1,4,5
211,79.0,65.0,79.0,72.0,80.0,105.0,6,9,4,8,3,5,8,1,10
212,197.0,235.0,240.0,253.0,212.0,253.0,4,5,5,4,7,3,9,7,7
213,467.0,473.0,477.0,517.0,547.0,644.0,3,3,4,3,3,2,8,6,7
214,127.0,194.0,193.0,161.0,132.0,111.0,5,4,6,8,7,3,2,6,6
215,167.0,226.0,250.0,198.0,258.0,208.0,8,7,7,7,6,6,5,2,3
216,144.0,214.0,171.0,228.0,166.0,191.0,6,7,7,7,7,8,8,1,9
217,81.0,73.0,75.0,68.0,39.0,118.0,7,8,8,8,10,5,8,3,2
218,34.0,134.0,132.0,139.0,65.0,127.0,1,1,1,1,1,1,4,4,0
219,79.0,63.0,124.0,291.0,227.0,251.0,2,2,4,2,3,2,9,4,7
220,321.0,312.0,252.0,324.0,243.0,323.0,5,5,6,5,6,4,1,6,2
221,124.0,130.0,187.0,160.0,170.0,159.0,8,9,8,6,7,9,4,4,5
222,76.0,87.0,195.0,191.0,189.0,220.0,1,2,1,2,1,2,7,9,4
223,72.0,62.0,80.0,84.0,66.0,113.0,3,3,4,1,1,1,2,2,5
224,82.0,59.0,56.0,68.0,82.0,56.0,1,1,1,1,1,1,1,6,0
225,108.0,145.0,79.0,112.0,123.0,99.0,1,1,1,1,1,1,1,2,0
226,131.0,142.0,120.0,119.0,89.0,131.0,8,6,9,8,9,5,1,1,8
227,169.0,184.0,205.0,338.0,177.0,173.0,10,10,10,8,10,10,5,3,0
228,162.0,168.0,146.0,144.0,210.0,241.0,7,9,8,9,7,8,9,1,8
229,119.0,146.0,170.0,105.0,143.0,120.0,2,1,3,2,2,1,8,4,2
230,105.0,71.0,89.0,98.0,119.0,162.0,5,6,9,8,6,5,5,7,2
231,195.0,219.0,204.0,218.0,224.0,239.0,8,6,5,8,9,9,9,8,7
232,265.0,271.0,368.0,283.0,277.0,185.0,9,6,7,8,8,9,2,4,8
233,171.0,171.0,181.0,178.0,158.0,215.0,7,8,3,7,7,3,8,2,12
234,78.0,118.0,86.0,185.0,183.0,160.0,6,4,5,4,3,3,1,3,2
235,155.0,183.0,159.0,119.0,123.0,180.0,3,3,2,4,2,2,8,7,7
236,288.0,278.0,101.0,167.0,139.0,222.0,8,8,10,10,10,9,5,3,2
237,127.0,138.0,197.0,186.0,190.0,175.0,2,2,2,3,1,3,4,8,3
238,51.0,117.0,109.0,124.0,109.0,122.0,10,5,6,3,8,5,9,9,8
239,66.0,146.0,86.0,82.0,121.0,157.0,1,1,1,1,1,1,1,9,0
240,102.0,123.0,125.0,79.0,28.0,68.0,4,2,6,6,10,9,8,7,7
241,109.0,67.0,104.0,106.0,106.0,176.0,2,4,2,2,1,1,4,1,4
242,104.0,118.0,118.0,204.0,177.0,208.0,10,9,10,7,8,8,8,9,1
243,104.0,130.0,123.0,122.0,131.0,131.0,10,10,10,9,9,10,10,6,4
245,240.0,261.0,332.0,379.0,351.0,364.0,4,4,4,3,4,5,7,8,3
246,58.0,49.0,59.0,121.0,122.0,126.0,3,3,1,2,2,2,9,5,2
247,321.0,274.0,335.0,341.0,265.0,237.0,4,4,3,3,3,5,2,1,2
248,140.0,204.0,156.0,267.0,305.0,276.0,4,3,5,5,2,3,10,4,5
249,54.0,70.0,98.0,73.0,106.0,99.0,1,1,1,2,1,1,6,8,0
250,115.0,116.0,110.0,107.0,104.0,161.0,1,1,1,1,1,1,1,9,0
251,131.0,105.0,50.0,81.0,103.0,92.0,1,2,2,3,2,3,1,4,5
252,59.0,99.0,97.0,108.0,78.0,100.0,9,8,8,6,6,6,3,2,1
253,58.0,86.0,84.0,65.0,75.0,55.0,1,1,2,2,2,3,9,2,1
254,101.0,124.0,159.0,140.0,123.0,87.0,1,1,1,1,1,1,2,8,2
255,108.0,181.0,116.0,114.0,131.0,114.0,1,1,2,1,1,1,2,10,2
256,71.0,145.0,146.0,152.0,116.0,220.0,1,1,1,1,1,1,1,3,1
257,392.0,359.0,325.0,381.0,303.0,349.0,5,6,7,5,6,6,1,2,2
258,69.0,112.0,100.0,71.0,114.0,134.0,1,1,1,1,1,1,8,10,0
259,371.0,377.0,466.0,458.0,550.0,384.0,3,1,4,2,4,3,1,4,17
260,204.0,225.0,226.0,222.0,120.0,129.0,5,5,6,6,9,10,1,1,2
261,108.0,85.0,57.0,102.0,63.0,73.0,2,3,7,3,5,4,8,9,2
262,186.0,261.0,190.0,232.0,244.0,220.0,3,2,3,4,3,2,6,10,3
263,201.0,145.0,174.0,113.0,141.0,144.0,8,10,9,10,10,9,9,3,3
264,259.0,315.0,245.0,329.0,279.0,282.0,9,8,7,4,6,9,8,2,6
265,90.0,109.0,90.0,102.0,47.0,115.0,1,1,1,1,1,1,5,4,0
266,45.0,84.0,95.0,52.0,73.0,144.0,4,2,1,4,3,2,1,9,3
267,45.0,86.0,72.0,69.0,87.0,80.0,3,2,3,1,2,3,4,7,2
268,242.0,151.0,146.0,230.0,234.0,172.0,2,2,3,2,2,4,3,6,5
269,586.0,641.0,498.0,612.0,722.0,643.0,1,1,1,2,1,2,6,5,3
270,153.0,181.0,161.0,185.0,209.0,243.0,9,8,9,9,8,8,1,3,2
271,99.0,204.0,67.0,58.0,45.0,71.0,3,1,2,2,3,3,8,2,3
272,250.0,191.0,187.0,205.0,264.0,224.0,3,4,4,4,3,5,4,7,1
273,45.0,135.0,127.0,163.0,179.0,194.0,2,1,2,2,1,2,5,8,2
274,105.0,154.0,92.0,169.0,212.0,255.0,10,10,10,10,9,9,5,2,3
275,298.0,271.0,339.0,352.0,370.0,377.0,2,2,1,2,3,2,10,6,4
276,250.0,446.0,338.0,442.0,447.0,402.0,9,8,8,8,4,7,7,2,4
277,135.0,197.0,202.0,159.0,167.0,204.0,7,4,5,5,6,3,2,1,6
278,278.0,166.0,281.0,320.0,238.0,273.0,8,10,10,10,10,10,7,8,0
279,93.0,104.0,148.0,126.0,93.0,59.0,4,2,1,4,1,3,9,7,9
280,116.0,153.0,126.0,102.0,75.0,110.0,2,2,1,1,3,2,5,4,2
281,164.0,218.0,159.0,194.0,172.0,236.0,1,2,2,2,2,1,4,3,2
282,71.0,165.0,95.0,75.0,93.0,111.0,2,2,3,2,3,3,2,2,4
283,70.0,80.0,87.0,86.0,99.0,119.0,1,1,1,1,1,1,5,7,0
284,63.0,20.0,30.0,91.0,98.0,97.0,10,10,10,10,10,10,1,9,6
285,88.0,100.0,111.0,115.0,93.0,122.0,10,10,10,10,9,10,10,1,5
286,170.0,84.0,109.0,135.0,94.0,153.0,3,4,5,2,4,3,6,3,3
287,113.0,144.0,86.0,89.0,108.0,129.0,9,6,9,10,9,9,2,4,4
288,182.0,218.0,353.0,356.0,341.0,282.0,3,3,3,3,3,3,6,3,2
289,47.0,105.0,179.0,144.0,115.0,117.0,7,4,4,6,4,7,9,4,3
290,94.0,122.0,290.0,319.0,298.0,250.0,10,9,5,5,6,7,8,1,3
291,168.0,287.0,243.0,276.0,172.0,263.0,8,7,7,7,10,7,5,7,4
292,137.0,208.0,208.0,198.0,165.0,193.0,2,2,1,1,1,1,6,9,2
293,106.0,172.0,185.0,116.0,170.0,139.0,7,6,3,6,3,5,8,9,3
294,44.0,18.0,67.0,96.0,49.0,71.0,3,4,2,1,2,2,2,6,0
295,13.0,52.0,37.0,77.0,85.0,113.0,10,4,3,4,1,3,4,4,7
296,218.0,301.0,291.0,218.0,292.0,338.0,1,1,2,3,2,1,6,1,4
297,74.0,141.0,87.0,125.0,171.0,142.0,4,2,1,2,3,2,3,5,7
298,116.0,232.0,153.0,210.0,108.0,191.0,4,1,1,1,1,1,1,6,3
299,110.0,80.0,83.0,74.0,147.0,124.0,2,5,3,8,4,8,7,1,5
300,226.0,294.0,240.0,252.0,275.0,290.0,4,4,5,4,4,4,2,2,3
301,115.0,102.0,114.0,77.0,62.0,109.0,2,3,5,3,2,3,6,8,7
302,115.0,166.0,138.0,212.0,98.0,171.0,3,3,3,2,5,3,7,1,2
303,224.0,279.0,253.0,326.0,299.0,285.0,2,6,7,5,2,6,3,3,14
304,16.0,23.0,63.0,54.0,36.0,59.0,5,4,1,1,2,1,1,4,0
305,265.0,285.0,267.0,163.0,161.0,223.0,1,1,1,2,1,1,1,4,5
306,122.0,105.0,115.0,86.0,97.0,107.0,3,3,1,3,1,3,5,7,3
307,73.0,138.0,117.0,176.0,128.0,138.0,2,1,2,2,2,2,4,7,2
308,95.0,168.0,132.0,100.0,131.0,110.0,5,3,4,3,5,7,8,6,7
309,101.0,107.0,100.0,86.0,82.0,96.0,2,1,1,2,2,2,2,1,1
310,170.0,170.0,175.0,120.0,216.0,268.0,3,4,6,8,4,6,6,6,5
311,153.0,186.0,115.0,154.0,177.0,124.0,3,2,4,3,2,3,7,8,0
312,92.0,181.0,200.0,229.0,203.0,217.0,9,6,4,4,4,6,2,8,3
313,300.0,236.0,265.0,327.0,218.0,153.0,1,2,2,2,2,2,3,4,3
314,174.0,144.0,97.0,111.0,110.0,163.0,1,2,3,1,4,2,4,5,5
315,157.0,202.0,179.0,206.0,154.0,201.0,1,1,1,1,1,1,1,7,3
316,222.0,169.0,168.0,213.0,120.0,184.0,1,4,3,1,3,4,3,7,8
