,고객번호,고급식료품_총구매액1,고급식료품_총구매액2,고급식료품_총구매액3,고급식료품_총구매액4,고급식료품_총구매액5,고급식료품_총구매액6,고급식료품_총구매액7,고급식료품_총구매액8,고급식료품_총구매횟수1,고급식료품_총구매횟수2,고급식료품_총구매횟수3,고급식료품_총구매횟수4,고급식료품_총구매횟수5,고급식료품_총구매횟수6,고급식료품_총구매횟수7,고급식료품_총구매횟수8
12,14,0.0,144212.0,217601.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
13,15,0.0,0.0,0.0,0.0,0.0,0.0,211844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,16,95847.0,60775.0,214550.0,0.0,211576.0,48255.0,193373.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,0.0
15,17,140661.0,0.0,66546.0,0.0,0.0,1079847.0,46975.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
16,18,38171.0,0.0,44063.0,62966.0,13148.0,53081.0,0.0,85928.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0
17,19,0.0,117430.0,23726.0,0.0,77672.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
18,20,754770.0,690158.0,233870.0,56757.0,236657.0,1030520.0,299577.0,499048.0,6.0,5.0,5.0,3.0,4.0,4.0,1.0,6.0
19,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,22,246801.0,387518.0,476384.0,0.0,0.0,171574.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
21,23,1171222.0,1464010.0,1891865.0,3988545.0,667010.0,1101004.0,1540310.0,959717.0,4.0,5.0,5.0,11.0,2.0,5.0,4.0,4.0
22,24,0.0,195459.0,444128.0,0.0,0.0,424646.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
23,25,197057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
25,27,3739414.0,2085162.0,2742610.0,32689.0,960789.0,1025694.0,7409932.0,1200936.0,10.0,4.0,4.0,1.0,1.0,3.0,13.0,2.0
26,28,0.0,9312.0,0.0,0.0,61490.0,81498.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
27,29,0.0,213640.0,0.0,180559.0,0.0,0.0,547686.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0
28,30,64456.0,36878.0,77166.0,65093.0,36206.0,57585.0,262185.0,119062.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0
29,31,0.0,40173.0,0.0,0.0,24070.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
30,32,51368.0,445203.0,112416.0,321921.0,50062.0,0.0,461191.0,57424.0,1.0,3.0,2.0,2.0,1.0,0.0,2.0,1.0
31,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,35,0.0,105069.0,0.0,0.0,302092.0,884467.0,334658.0,247045.0,0.0,1.0,0.0,0.0,4.0,4.0,6.0,4.0
34,36,132503.0,1008505.0,2130650.0,152536.0,389271.0,554475.0,1272178.0,152912.0,1.0,6.0,7.0,2.0,2.0,3.0,6.0,3.0
35,37,0.0,357027.0,212517.0,125931.0,47534.0,705601.0,268043.0,57010.0,0.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0
36,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,39,793838.0,0.0,0.0,0.0,14159.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,41,0.0,218378.0,0.0,168499.0,0.0,0.0,103613.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
40,42,0.0,92708.0,0.0,0.0,0.0,32170.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
41,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,44,0.0,296664.0,0.0,37912.0,0.0,45843.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
43,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,47,0.0,511953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,48,156169.0,170685.0,74341.0,425683.0,1458983.0,31956.0,578205.0,12394.0,3.0,2.0,1.0,4.0,4.0,2.0,2.0,1.0
47,49,0.0,0.0,0.0,0.0,0.0,13404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
48,50,112379.0,0.0,454183.0,19156.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
49,51,185101.0,113310.0,0.0,0.0,0.0,0.0,0.0,156035.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
50,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,53,0.0,0.0,0.0,0.0,17193.0,18230.0,19146.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
52,54,282720.0,374951.0,257936.0,130897.0,192562.0,308942.0,172313.0,189704.0,3.0,3.0,2.0,2.0,3.0,6.0,1.0,2.0
53,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,58,0.0,336839.0,304484.0,487760.0,283180.0,85787.0,168934.0,297446.0,0.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0
57,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,60,29512.0,30892.0,0.0,0.0,0.0,0.0,471079.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
59,61,0.0,0.0,0.0,103760.0,55928.0,88147.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
60,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,63,0.0,0.0,72308.0,0.0,19216.0,0.0,72079.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
62,64,0.0,7829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,65,0.0,0.0,347981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
64,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,67,0.0,0.0,9151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
66,68,124335.0,0.0,651109.0,2208.0,0.0,0.0,73318.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
67,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,71,0.0,0.0,0.0,0.0,176987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70,72,0.0,0.0,0.0,0.0,0.0,42894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
71,73,0.0,0.0,20337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,76,0.0,0.0,32764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
75,77,0.0,0.0,0.0,0.0,0.0,129217.0,74331.0,71056.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
76,78,97421.0,0.0,0.0,123270.0,0.0,218757.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
77,79,0.0,25237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,80,0.0,0.0,0.0,0.0,0.0,0.0,12377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,82,12694.0,0.0,14123.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
81,83,82661.0,69016.0,19207.0,15076.0,51579.0,43966.0,0.0,32223.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
82,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,85,65932.0,187064.0,103942.0,0.0,0.0,268407.0,675738.0,62546.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,1.0
84,86,29324.0,0.0,78296.0,114136.0,35600.0,74313.0,817642.0,180946.0,2.0,0.0,1.0,3.0,1.0,1.0,5.0,1.0
85,87,636192.0,0.0,0.0,0.0,71402.0,0.0,0.0,38023.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
86,88,0.0,743207.0,380349.0,25718.0,59670.0,566732.0,27593.0,0.0,0.0,3.0,4.0,1.0,1.0,3.0,1.0,0.0
87,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,91,14761.0,0.0,0.0,0.0,0.0,0.0,0.0,9089.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,92,0.0,0.0,0.0,100212.0,77874.0,113668.0,76584.0,78493.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0
91,93,176933.0,85601.0,0.0,0.0,115497.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
92,94,0.0,0.0,308144.0,2185573.0,344205.0,702877.0,988096.0,32223.0,0.0,0.0,4.0,8.0,3.0,10.0,5.0,1.0
93,95,2952.0,2060.0,565.0,1330.0,5056.0,1072.0,0.0,54952.0,4.0,2.0,1.0,2.0,6.0,1.0,0.0,9.0
94,96,319719.0,113309.0,1183757.0,286448.0,433315.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0
95,97,0.0,0.0,0.0,0.0,0.0,3206.0,72473.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
96,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,99,448730.0,0.0,0.0,0.0,0.0,0.0,0.0,313970.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
98,100,0.0,0.0,215228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
99,101,0.0,0.0,0.0,4168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
100,102,0.0,26782.0,0.0,14189.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
101,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,105,8168.0,0.0,0.0,7361.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104,106,0.0,0.0,46096.0,0.0,182044.0,117957.0,168484.0,53623.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0
105,107,0.0,57736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,108,16729.0,17511.0,145170.0,46115.0,44500.0,18230.0,98207.0,18169.0,1.0,1.0,7.0,3.0,2.0,1.0,3.0,1.0
107,109,0.0,0.0,101683.0,79815.0,0.0,92221.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
108,110,169454.0,0.0,187774.0,0.0,0.0,0.0,78836.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0
109,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,112,688839.0,0.0,0.0,0.0,171931.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
111,113,0.0,33993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,114,0.0,0.0,0.0,0.0,81667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
113,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,117,309485.0,0.0,643991.0,0.0,576473.0,651125.0,424420.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0
116,118,0.0,0.0,44063.0,278156.0,520748.0,0.0,235382.0,86342.0,0.0,0.0,1.0,2.0,5.0,0.0,2.0,1.0
117,119,0.0,27812.0,11298.0,23705.0,0.0,0.0,11262.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
118,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,121,1016183.0,571389.0,0.0,134976.0,154889.0,162996.0,0.0,257786.0,5.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0
120,122,152528.0,23816.0,74567.0,82210.0,22250.0,34315.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0
121,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,124,57321.0,10301.0,0.0,11529.0,8162.0,0.0,0.0,52193.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
123,125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,126,37788.0,46972.0,99988.0,0.0,171930.0,0.0,150633.0,104271.0,1.0,1.0,2.0,0.0,3.0,0.0,2.0,2.0
125,127,0.0,0.0,63326.0,0.0,0.0,0.0,0.0,91051.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
126,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,130,219936.0,0.0,11185.0,0.0,0.0,305617.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
129,131,0.0,10301.0,0.0,0.0,0.0,167284.0,89761.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0
130,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131,133,0.0,58509.0,79087.0,480399.0,80909.0,73992.0,866633.0,37181.0,0.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0
132,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,135,0.0,0.0,0.0,47180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
134,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,137,0.0,0.0,0.0,0.0,586587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
136,138,0.0,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
137,139,0.0,0.0,0.0,92231.0,0.0,0.0,0.0,9080.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
138,140,630778.0,675634.0,429440.0,1765159.0,111249.0,1191284.0,310952.0,76014.0,9.0,7.0,4.0,8.0,1.0,2.0,1.0,1.0
139,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,143,0.0,0.0,0.0,0.0,0.0,96511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
141,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,145,0.0,120623.0,1174888.0,0.0,1141417.0,0.0,2045795.0,6197.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0
143,146,944201.0,194635.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
144,147,14958.0,7829.0,8587.0,0.0,186504.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
145,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,149,0.0,0.0,0.0,213728.0,9102.0,0.0,0.0,23961.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
147,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,151,0.0,0.0,83606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
149,152,72328.0,0.0,36154.0,112628.0,182044.0,126536.0,306334.0,76923.0,2.0,0.0,1.0,3.0,5.0,2.0,3.0,1.0
150,153,0.0,10198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
151,154,0.0,274002.0,513046.0,117949.0,254862.0,142621.0,149788.0,220027.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
152,155,0.0,74166.0,0.0,85934.0,15170.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
153,156,449339.0,220768.0,3249804.0,0.0,715251.0,6511575.0,0.0,0.0,4.0,1.0,5.0,0.0,3.0,3.0,0.0,0.0
154,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,160,287393.0,157552.0,63326.0,90457.0,0.0,0.0,39418.0,18177.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0
158,161,40090.0,0.0,22031.0,0.0,38937.0,0.0,36602.0,14129.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0
159,162,0.0,0.0,83685.0,83363.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
160,163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,164,0.0,0.0,199412.0,177722.0,0.0,78635.0,189206.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0
162,165,0.0,0.0,0.0,0.0,122374.0,0.0,0.0,70891.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
163,166,0.0,0.0,134560.0,161138.0,0.0,36031.0,0.0,385092.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,3.0
164,167,0.0,0.0,0.0,0.0,0.0,0.0,150825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
165,168,0.0,0.0,0.0,0.0,50123.0,865057.0,588455.0,153845.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0
166,169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,172,150167.0,0.0,0.0,261750.0,0.0,154417.0,162177.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
170,173,0.0,0.0,16269.0,9312.0,0.0,15442.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
171,175,95997.0,31386.0,67416.0,57811.0,111625.0,56081.0,118852.0,6172.0,13.0,14.0,8.0,23.0,15.0,23.0,16.0,2.0
172,176,0.0,0.0,305048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
173,177,0.0,34735.0,0.0,0.0,0.0,0.0,0.0,20243.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
174,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,179,979854.0,215288.0,472768.0,370697.0,630783.0,658203.0,251374.0,683382.0,5.0,1.0,3.0,2.0,4.0,3.0,1.0,6.0
176,180,312634.0,573347.0,360860.0,344643.0,171870.0,400733.0,264720.0,303477.0,4.0,8.0,3.0,6.0,4.0,4.0,2.0,3.0
177,181,0.0,0.0,0.0,8868.0,0.0,0.0,0.0,19830.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
178,182,0.0,90236.0,861535.0,227917.0,260930.0,242349.0,559736.0,546226.0,0.0,1.0,4.0,2.0,2.0,3.0,3.0,5.0
179,183,22830.0,13906.0,100440.0,68011.0,44803.0,0.0,0.0,45196.0,1.0,1.0,4.0,4.0,2.0,0.0,0.0,3.0
180,184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
181,185,0.0,0.0,0.0,18171.0,38411.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
182,186,4245903.0,2674824.0,247316.0,161759.0,212385.0,2599997.0,402964.0,554613.0,4.0,5.0,3.0,1.0,2.0,4.0,5.0,4.0
183,187,0.0,10198.0,0.0,0.0,25284.0,0.0,30408.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
184,188,88565.0,0.0,101683.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
185,189,0.0,129275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
186,190,0.0,271943.0,430570.0,0.0,0.0,0.0,314218.0,429833.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0
187,191,708520.0,0.0,42933.0,0.0,364088.0,0.0,0.0,20656.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
188,192,0.0,357234.0,734375.0,0.0,0.0,0.0,1986669.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0
189,193,10322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,194,0.0,0.0,10168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
