,°í°´¹øÈ£,»ýÈ°_ÃÑ±¸¸Å¾×1,»ýÈ°_ÃÑ±¸¸Å¾×2,»ýÈ°_ÃÑ±¸¸Å¾×3,»ýÈ°_ÃÑ±¸¸Å¾×4,»ýÈ°_ÃÑ±¸¸Å¾×5,»ýÈ°_ÃÑ±¸¸Å¾×6,»ýÈ°_ÃÑ±¸¸Å¾×7,»ýÈ°_ÃÑ±¸¸Å¾×8,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö1,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö2,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö3,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö4,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö5,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö6,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö7,»ýÈ°_ÃÑ±¸¸ÅÈ½¼ö8
47,49,122348.0,177906.0,148636.0,31376.0,5543327.0,933773.0,84130.0,49822.0,7.0,8.0,12.0,2.0,9.0,5.0,6.0,6.0
48,50,228882.0,337423.0,315191.0,164436.0,183902.0,204179.0,211463.0,130797.0,28.0,34.0,24.0,15.0,25.0,24.0,34.0,19.0
49,51,448430.0,370104.0,295336.0,237583.0,304187.0,213299.0,226992.0,186042.0,64.0,51.0,56.0,51.0,27.0,15.0,30.0,30.0
50,52,7331.0,87041.0,56718.0,55073.0,321226.0,31205.0,4955.0,17846.0,2.0,7.0,7.0,10.0,12.0,8.0,2.0,5.0
51,53,13285.0,52.0,10225.0,92231.0,0.0,0.0,992.0,18639.0,1.0,1.0,4.0,4.0,0.0,0.0,2.0,5.0
52,54,296484.0,313245.0,342217.0,513124.0,38431.0,288758.0,109638.0,34736.0,23.0,25.0,23.0,9.0,3.0,17.0,4.0,3.0
53,55,126155.0,100743.0,259675.0,113062.0,88148.0,152060.0,65456.0,101479.0,19.0,10.0,26.0,16.0,13.0,14.0,10.0,15.0
54,56,104625.0,79730.0,51971.0,289135.0,13148.0,602773.0,13797.0,76468.0,5.0,5.0,1.0,8.0,1.0,9.0,2.0,4.0
55,57,43336.0,83426.0,66331.0,146382.0,58921.0,42978.0,197476.0,74153.0,14.0,13.0,18.0,24.0,8.0,8.0,26.0,17.0
56,58,15646.0,71385.0,14123.0,33478.0,98305.0,76265.0,61549.0,237816.0,1.0,4.0,1.0,6.0,6.0,5.0,6.0,7.0
57,59,33459.0,10301.0,51293.0,69440.0,20227.0,0.0,18357.0,31728.0,3.0,1.0,3.0,6.0,1.0,0.0,2.0,1.0
58,60,145837.0,83387.0,169450.0,92977.0,126217.0,277017.0,371262.0,70551.0,10.0,7.0,15.0,8.0,11.0,19.0,25.0,9.0
59,61,298126.0,133437.0,48854.0,102084.0,178334.0,115610.0,153910.0,101670.0,24.0,10.0,7.0,12.0,13.0,12.0,16.0,10.0
60,62,216640.0,82735.0,58750.0,73050.0,51175.0,20374.0,515464.0,57713.0,11.0,8.0,6.0,8.0,7.0,1.0,9.0,5.0
61,63,28419.0,65050.0,76374.0,98218.0,71604.0,97155.0,33111.0,103387.0,4.0,3.0,8.0,7.0,7.0,6.0,4.0,12.0
62,64,15794.0,20498.0,565.0,48287.0,6978.0,1072.0,0.0,25604.0,4.0,5.0,1.0,11.0,1.0,1.0,0.0,8.0
63,65,112861.0,431708.0,150366.0,14536.0,536564.0,231411.0,83353.0,218342.0,7.0,11.0,9.0,2.0,22.0,12.0,9.0,15.0
64,66,84467.0,113239.0,191935.0,155672.0,67273.0,132003.0,59684.0,102530.0,35.0,27.0,28.0,28.0,19.0,15.0,21.0,19.0
65,67,159791.0,69099.0,115115.0,114650.0,77833.0,147681.0,127872.0,65636.0,14.0,13.0,20.0,22.0,19.0,22.0,19.0,14.0
66,68,229030.0,82974.0,66150.0,12416.0,159491.0,26121.0,113298.0,19234.0,6.0,8.0,6.0,3.0,5.0,4.0,8.0,4.0
67,69,115605.0,159236.0,127170.0,121037.0,74364.0,171519.0,211800.0,106173.0,31.0,35.0,29.0,31.0,19.0,33.0,43.0,31.0
68,70,8335.0,23898.0,52005.0,0.0,2023.0,141142.0,56.0,0.0,1.0,4.0,4.0,0.0,1.0,5.0,1.0,0.0
69,71,33841.0,38370.0,13986.0,12878.0,89101.0,37124.0,48201.0,2396.0,7.0,8.0,6.0,5.0,14.0,6.0,14.0,2.0
70,72,29601.0,129946.0,142774.0,71959.0,89261.0,116941.0,126755.0,148110.0,7.0,7.0,21.0,15.0,12.0,20.0,22.0,16.0
71,73,269266.0,587098.0,231611.0,653715.0,80989.0,0.0,11645.0,1659679.0,11.0,4.0,6.0,9.0,4.0,0.0,2.0,7.0
72,74,8601.0,151073.0,195568.0,21506.0,91426.0,67128.0,15407.0,8180.0,3.0,9.0,17.0,4.0,10.0,7.0,1.0,1.0
73,75,48216.0,39916.0,57315.0,22890.0,25284.0,18379.0,35185.0,14625.0,13.0,5.0,6.0,5.0,3.0,6.0,6.0,3.0
74,76,212948.0,311703.0,109026.0,112983.0,45511.0,136539.0,89703.0,53044.0,13.0,23.0,8.0,10.0,3.0,10.0,8.0,3.0
75,77,28439.0,100329.0,241577.0,9711.0,13330.0,158760.0,35645.0,39486.0,3.0,6.0,15.0,2.0,1.0,17.0,6.0,8.0
76,78,152538.0,49960.0,511398.0,203767.0,258977.0,452119.0,277607.0,94374.0,11.0,7.0,12.0,12.0,11.0,21.0,11.0,11.0
77,79,27994.0,119481.0,39707.0,70881.0,42528.0,202030.0,77783.0,6217.0,16.0,20.0,16.0,17.0,15.0,20.0,24.0,9.0
78,80,35731.0,69614.0,127193.0,89748.0,65403.0,42679.0,38112.0,147567.0,6.0,10.0,13.0,15.0,8.0,3.0,7.0,12.0
79,81,96555.0,138465.0,203411.0,99459.0,127431.0,227681.0,93061.0,42617.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,1.0
80,82,209102.0,575128.0,255888.0,385614.0,458408.0,231272.0,145443.0,319854.0,18.0,16.0,29.0,37.0,27.0,22.0,19.0,26.0
81,83,36410.0,91731.0,49993.0,30772.0,20379.0,157195.0,323397.0,40833.0,4.0,14.0,9.0,5.0,6.0,4.0,4.0,7.0
82,84,356011.0,21632.0,191309.0,207502.0,227292.0,502230.0,70671.0,83277.0,15.0,2.0,9.0,7.0,10.0,10.0,2.0,3.0
83,85,86598.0,65822.0,113941.0,171533.0,284232.0,308941.0,94986.0,54739.0,4.0,4.0,5.0,5.0,12.0,7.0,9.0,6.0
84,86,206544.0,126422.0,79528.0,399273.0,171456.0,90978.0,558812.0,75772.0,17.0,20.0,10.0,25.0,30.0,19.0,26.0,18.0
85,87,374.0,36835.0,16834.0,131234.0,152857.0,3624.0,10654.0,0.0,1.0,3.0,1.0,5.0,3.0,2.0,3.0,0.0
86,88,396555.0,183146.0,307893.0,224210.0,99342.0,192021.0,1667731.0,85228.0,7.0,15.0,13.0,15.0,17.0,12.0,15.0,8.0
87,89,66520.0,984608.0,335949.0,80532.0,157021.0,344328.0,282031.0,62737.0,19.0,34.0,26.0,18.0,21.0,28.0,28.0,19.0
88,90,345187.0,128194.0,247902.0,110029.0,1144048.0,399747.0,169936.0,20656.0,3.0,2.0,7.0,6.0,9.0,4.0,5.0,1.0
89,91,294741.0,210706.0,243766.0,140095.0,174588.0,340875.0,235661.0,237791.0,25.0,18.0,21.0,14.0,15.0,20.0,16.0,18.0
90,92,397041.0,431812.0,1095993.0,276614.0,356146.0,333015.0,597924.0,807748.0,37.0,37.0,51.0,30.0,26.0,26.0,36.0,39.0
91,93,0.0,48908.0,58818.0,0.0,8465.0,0.0,29732.0,104436.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,6.0
92,94,31490.0,327156.0,395963.0,284161.0,165822.0,154043.0,267569.0,475819.0,3.0,18.0,25.0,23.0,15.0,18.0,17.0,18.0
93,95,35327.0,96084.0,25501.0,33844.0,6067.0,38088.0,81717.0,75910.0,6.0,17.0,7.0,13.0,5.0,20.0,20.0,24.0
94,96,134165.0,168183.0,157213.0,89084.0,67094.0,11689.0,254698.0,72956.0,8.0,10.0,13.0,10.0,4.0,1.0,10.0,11.0
95,97,1158262.0,17618976.0,2009714.0,690482.0,1890600.0,13802117.0,333837.0,37015.0,18.0,25.0,7.0,17.0,18.0,14.0,8.0,1.0
96,98,256150.0,49815.0,146547.0,33026.0,1312134.0,0.0,0.0,7635.0,8.0,5.0,8.0,1.0,5.0,0.0,0.0,2.0
97,99,388801.0,999328.0,571255.0,103893.0,706692.0,454285.0,1582374.0,113483.0,12.0,31.0,19.0,5.0,28.0,16.0,33.0,10.0
98,100,148611.0,121963.0,61935.0,55427.0,52590.0,20589.0,212711.0,0.0,5.0,5.0,5.0,2.0,3.0,1.0,2.0,0.0
99,101,74785.0,22146.0,124392.0,19334.0,9103.0,7507.0,5631.0,21978.0,19.0,6.0,12.0,2.0,3.0,3.0,2.0,8.0
100,102,171431.0,144130.0,155123.0,193649.0,419612.0,687917.0,50860.0,85557.0,15.0,12.0,16.0,20.0,14.0,12.0,9.0,11.0
101,103,31154.0,26608.0,13605.0,27821.0,13369.0,41081.0,6690.0,0.0,6.0,4.0,6.0,4.0,4.0,6.0,2.0,0.0
102,104,46821.0,34588.0,65255.0,119512.0,132586.0,133399.0,67439.0,122679.0,18.0,11.0,20.0,20.0,16.0,23.0,16.0,21.0
103,105,152577.0,215710.0,728634.0,108628.0,92298.0,172688.0,125202.0,97272.0,15.0,18.0,17.0,16.0,9.0,17.0,13.0,10.0
104,106,186183.0,236856.0,57959.0,57688.0,133548.0,56277.0,55974.0,243046.0,3.0,11.0,10.0,9.0,12.0,3.0,5.0,16.0
105,107,434142.0,76845.0,183639.0,58213.0,247116.0,166416.0,194421.0,94191.0,22.0,10.0,9.0,9.0,15.0,6.0,7.0,1.0
106,108,102931.0,138135.0,126980.0,83274.0,72716.0,390127.0,71685.0,69859.0,11.0,6.0,7.0,9.0,6.0,16.0,10.0,12.0
107,109,270398.0,25391.0,95504.0,45593.0,17122.0,80286.0,146186.0,89920.0,23.0,5.0,15.0,8.0,4.0,15.0,17.0,13.0
108,110,58660.0,126433.0,261439.0,182680.0,241299.0,85360.0,149619.0,24888.0,13.0,12.0,22.0,16.0,18.0,15.0,18.0,6.0
109,111,9939.0,14308.0,85042.0,12949.0,20327.0,35204.0,2882.0,10534.0,2.0,3.0,12.0,3.0,4.0,6.0,4.0,2.0
110,112,26865.0,67985.0,167824.0,47091.0,39533.0,58979.0,478141.0,47426.0,3.0,6.0,10.0,3.0,3.0,5.0,11.0,3.0
111,113,374423.0,362282.0,878154.0,899413.0,629559.0,1218191.0,905893.0,184582.0,22.0,16.0,29.0,32.0,29.0,19.0,28.0,10.0
112,114,42599.0,35312.0,69540.0,14544.0,83012.0,66594.0,49329.0,57505.0,5.0,4.0,6.0,2.0,5.0,6.0,5.0,6.0
113,115,83222.0,37031.0,120041.0,109312.0,64707.0,73230.0,11262.0,13278.0,8.0,5.0,17.0,6.0,5.0,6.0,1.0,5.0
114,116,25673.0,27720.0,41972.0,11441.0,15272.0,28385.0,27333.0,20714.0,9.0,13.0,11.0,2.0,5.0,6.0,5.0,10.0
115,117,50235.0,69926.0,476626.0,118860.0,234717.0,530200.0,149901.0,54863.0,6.0,13.0,23.0,16.0,26.0,45.0,10.0,10.0
116,118,1968.0,30480.0,0.0,73475.0,267119.0,10723.0,42797.0,12063.0,1.0,3.0,0.0,2.0,7.0,1.0,1.0,2.0
117,119,177925.0,217255.0,349090.0,196231.0,470667.0,411349.0,359130.0,149466.0,12.0,17.0,26.0,10.0,25.0,20.0,17.0,5.0
118,120,52372.0,270912.0,256353.0,77510.0,69459.0,229546.0,243265.0,41659.0,4.0,11.0,6.0,3.0,5.0,4.0,2.0,3.0
119,121,44086.0,0.0,7005.0,45433.0,25992.0,12117.0,96935.0,317069.0,1.0,0.0,2.0,6.0,4.0,3.0,8.0,7.0
120,122,254743.0,230109.0,277774.0,186724.0,76155.0,288309.0,302371.0,177120.0,5.0,20.0,16.0,9.0,8.0,7.0,15.0,29.0
121,123,104506.0,41049.0,216247.0,96834.0,82425.0,186490.0,76966.0,16979.0,7.0,8.0,14.0,16.0,7.0,12.0,10.0,5.0
122,124,105264.0,76638.0,158523.0,27847.0,24273.0,87298.0,98995.0,244259.0,10.0,4.0,14.0,3.0,5.0,9.0,4.0,16.0
123,125,146014.0,74795.0,51011.0,21461.0,128847.0,289585.0,0.0,79650.0,8.0,9.0,6.0,5.0,8.0,7.0,0.0,7.0
124,126,122329.0,53585.0,70896.0,74006.0,84853.0,353593.0,39982.0,33505.0,7.0,5.0,7.0,8.0,9.0,16.0,8.0,6.0
125,127,108788.0,70984.0,69968.0,19590.0,66821.0,1822.0,6307.0,16442.0,4.0,2.0,8.0,2.0,15.0,2.0,1.0,1.0
126,128,65881.0,37527.0,25059.0,51951.0,20226.0,46947.0,48247.0,0.0,12.0,6.0,8.0,13.0,3.0,9.0,10.0,0.0
127,129,65607.0,117697.0,13648.0,141966.0,24960.0,12052.0,17231.0,28338.0,10.0,16.0,5.0,12.0,3.0,3.0,3.0,9.0
128,130,134678.0,312415.0,145102.0,220095.0,37775.0,179207.0,219895.0,61521.0,14.0,14.0,11.0,15.0,6.0,21.0,15.0,8.0
129,131,388404.0,763583.0,1602986.0,468187.0,279177.0,1355257.0,868750.0,383103.0,28.0,32.0,56.0,28.0,25.0,48.0,38.0,32.0
130,132,21550.0,123076.0,89344.0,201679.0,310951.0,153581.0,21950.0,92911.0,8.0,27.0,19.0,23.0,24.0,11.0,5.0,9.0
131,133,44086.0,220232.0,178962.0,73697.0,48899.0,104714.0,50850.0,0.0,4.0,9.0,9.0,9.0,6.0,10.0,9.0,0.0
132,134,3620536.0,166050.0,320866.0,180188.0,1203566.0,1504066.0,698553.0,1786393.0,12.0,4.0,5.0,11.0,14.0,14.0,16.0,16.0
133,135,9841.0,25237.0,6779.0,67843.0,60076.0,82999.0,144675.0,21482.0,1.0,1.0,3.0,4.0,5.0,3.0,4.0,3.0
134,136,0.0,58715.0,0.0,46115.0,0.0,270659.0,112623.0,396346.0,0.0,2.0,0.0,1.0,0.0,5.0,2.0,2.0
135,137,102234.0,66739.0,1330235.0,199209.0,32010.0,492055.0,20914.0,29951.0,8.0,4.0,12.0,13.0,4.0,9.0,4.0,4.0
136,138,155953.0,77524.0,212811.0,92462.0,66587.0,166695.0,142706.0,142841.0,5.0,3.0,11.0,8.0,9.0,13.0,16.0,10.0
137,139,349350.0,259130.0,300269.0,258568.0,150804.0,988033.0,678329.0,181296.0,23.0,29.0,15.0,28.0,18.0,21.0,49.0,26.0
138,140,25988.0,96384.0,466893.0,271992.0,370561.0,116992.0,0.0,129694.0,5.0,9.0,13.0,6.0,6.0,2.0,0.0,3.0
139,141,64600.0,98289.0,105297.0,48643.0,117914.0,137934.0,98361.0,39145.0,21.0,18.0,16.0,12.0,23.0,18.0,14.0,15.0
140,143,36114.0,60979.0,102826.0,81945.0,53095.0,159617.0,165228.0,68742.0,8.0,13.0,23.0,20.0,12.0,23.0,18.0,15.0
141,144,269372.0,1116544.0,1963436.0,402223.0,337309.0,181482.0,1248374.0,425879.0,40.0,63.0,109.0,58.0,29.0,20.0,53.0,50.0
142,145,748.0,207254.0,78307.0,1095004.0,304905.0,191896.0,562991.0,145013.0,1.0,6.0,3.0,25.0,7.0,5.0,5.0,4.0
143,146,12793.0,1562816.0,24935.0,60829.0,61287.0,20374.0,0.0,44089.0,1.0,12.0,2.0,6.0,3.0,1.0,0.0,4.0
144,147,270280.0,377290.0,868891.0,425495.0,557237.0,144615.0,955266.0,166031.0,12.0,32.0,30.0,24.0,21.0,13.0,29.0,24.0
145,148,54358.0,53894.0,67799.0,48810.0,45309.0,88049.0,65164.0,80367.0,10.0,8.0,9.0,14.0,10.0,12.0,10.0,18.0
146,149,10037.0,1030.0,54073.0,95955.0,728.0,137731.0,992.0,23036.0,1.0,1.0,4.0,3.0,2.0,6.0,2.0,3.0
147,150,128192.0,125158.0,206640.0,101737.0,43488.0,114761.0,72360.0,9089.0,9.0,10.0,18.0,11.0,12.0,19.0,12.0,1.0
148,151,109968.0,903796.0,405905.0,18535.0,108407.0,4311.0,54959.0,8386.0,4.0,11.0,9.0,2.0,3.0,3.0,6.0,1.0
149,152,470489.0,636140.0,524391.0,380763.0,85813.0,62248.0,30747.0,271478.0,15.0,29.0,24.0,14.0,6.0,5.0,2.0,11.0
150,153,53038.0,23568.0,66490.0,34588.0,40555.0,23913.0,66470.0,22638.0,12.0,7.0,6.0,10.0,11.0,4.0,10.0,4.0
151,154,26176.0,12464.0,25206.0,23740.0,0.0,45446.0,9573.0,18839.0,3.0,1.0,4.0,2.0,0.0,2.0,1.0,2.0
152,155,451189.0,92192.0,141565.0,244015.0,143582.0,258306.0,4990771.0,107509.0,10.0,4.0,7.0,14.0,11.0,10.0,13.0,9.0
153,156,310874.0,835307.0,320561.0,106864.0,265411.0,44545.0,69545.0,177278.0,7.0,9.0,5.0,3.0,9.0,3.0,4.0,5.0
154,157,174905.0,27255.0,137462.0,163719.0,158955.0,252557.0,143414.0,94522.0,10.0,13.0,12.0,21.0,12.0,17.0,10.0,10.0
155,158,33506.0,23578.0,47170.0,36709.0,5442.0,74814.0,53821.0,321909.0,6.0,5.0,7.0,15.0,4.0,16.0,12.0,21.0
156,159,87502.0,0.0,255393.0,5170.0,699434.0,2208732.0,62449.0,66082.0,5.0,0.0,3.0,2.0,14.0,6.0,5.0,3.0
157,160,232522.0,48444.0,233055.0,127350.0,187828.0,75975.0,58610.0,120733.0,9.0,7.0,11.0,10.0,14.0,8.0,9.0,10.0
158,161,70556.0,1553597.0,418492.0,307990.0,130061.0,1984.0,164992.0,83036.0,5.0,4.0,4.0,7.0,5.0,1.0,3.0,3.0
159,162,378437.0,99897.0,1091180.0,315298.0,184856.0,176988.0,179806.0,204164.0,13.0,18.0,33.0,18.0,14.0,12.0,19.0,15.0
160,163,85904.0,86067.0,197070.0,93229.0,164405.0,82313.0,204254.0,124567.0,21.0,24.0,24.0,21.0,25.0,15.0,18.0,30.0
161,164,0.0,37669.0,53812.0,116052.0,118127.0,23344.0,207465.0,144715.0,0.0,6.0,5.0,4.0,6.0,6.0,21.0,18.0
162,165,492.0,40173.0,123455.0,0.0,5017.0,0.0,195064.0,204082.0,1.0,1.0,4.0,0.0,2.0,0.0,9.0,8.0
163,166,0.0,567228.0,321115.0,471404.0,349345.0,385913.0,577812.0,347732.0,0.0,30.0,14.0,29.0,32.0,16.0,18.0,16.0
164,167,17466.0,12289.0,31702.0,1165887.0,284343.0,277844.0,139044.0,121754.0,6.0,3.0,5.0,20.0,7.0,5.0,5.0,8.0
165,168,187561.0,1488341.0,68693.0,97199.0,72573.0,382428.0,243561.0,143064.0,4.0,15.0,3.0,11.0,9.0,10.0,16.0,12.0
166,169,95058.0,30645.0,51303.0,7096.0,15797.0,76832.0,77866.0,63280.0,14.0,9.0,14.0,3.0,6.0,9.0,13.0,10.0
167,170,60922.0,103792.0,164340.0,70061.0,101987.0,109390.0,195173.0,106956.0,8.0,21.0,17.0,14.0,11.0,18.0,29.0,22.0
168,171,59240.0,115835.0,526434.0,5097302.0,156507.0,113216.0,102286.0,95332.0,5.0,12.0,7.0,19.0,18.0,14.0,13.0,14.0
169,172,61799.0,352721.0,97117.0,92551.0,157962.0,96178.0,270497.0,77287.0,2.0,15.0,9.0,11.0,10.0,9.0,15.0,10.0
170,173,47115.0,56789.0,123794.0,46473.0,85345.0,69451.0,96902.0,68225.0,16.0,16.0,18.0,16.0,25.0,23.0,26.0,31.0
171,175,336455.0,363031.0,346087.0,269756.0,391989.0,349223.0,452002.0,308093.0,64.0,59.0,66.0,66.0,68.0,69.0,72.0,66.0
