,°í°´¹øÈ£,ÀÇ·ù_ÃÑ±¸¸Å¾×1,ÀÇ·ù_ÃÑ±¸¸Å¾×2,ÀÇ·ù_ÃÑ±¸¸Å¾×3,ÀÇ·ù_ÃÑ±¸¸Å¾×4,ÀÇ·ù_ÃÑ±¸¸Å¾×5,ÀÇ·ù_ÃÑ±¸¸Å¾×6,ÀÇ·ù_ÃÑ±¸¸Å¾×7,ÀÇ·ù_ÃÑ±¸¸Å¾×8,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö1,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö2,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö3,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö4,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö5,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö6,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö7,ÀÇ·ù_ÃÑ±¸¸ÅÈ½¼ö8
12,14,1888992.0,2425647.0,3015233.0,939248.0,2278282.0,1192336.0,1400747.0,930591.0,8.0,33.0,26.0,14.0,11.0,16.0,12.0,11.0
13,15,2752234.0,4902818.0,1896269.0,312192.0,2428149.0,4734115.0,95618.0,217466.0,24.0,23.0,17.0,6.0,20.0,24.0,4.0,7.0
14,16,9841.0,51505.0,100102.0,87797.0,42376.0,12225.0,338094.0,341897.0,1.0,3.0,4.0,2.0,4.0,1.0,5.0,4.0
15,17,3719140.0,10847736.0,3420721.0,4142650.0,3634188.0,6460980.0,9966947.0,3504547.0,19.0,15.0,5.0,13.0,14.0,13.0,19.0,16.0
16,18,38281562.0,16188342.0,11296580.0,159631.0,466640.0,0.0,773157.0,45443.0,57.0,55.0,36.0,3.0,3.0,0.0,12.0,2.0
17,19,562831.0,2197133.0,178408.0,1897990.0,1493137.0,3000184.0,1376442.0,857858.0,3.0,10.0,3.0,7.0,5.0,9.0,8.0,6.0
18,20,382601.0,481566.0,237259.0,0.0,919526.0,336609.0,338544.0,442285.0,5.0,7.0,4.0,0.0,5.0,7.0,8.0,6.0
19,21,103325.0,59744.0,305049.0,168587.0,1302527.0,1436241.0,243153.0,319671.0,2.0,3.0,5.0,6.0,2.0,14.0,4.0,12.0
20,22,0.0,436839.0,0.0,174565.0,0.0,355535.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
21,23,583811.0,1369150.0,728173.0,4567986.0,516906.0,1658568.0,2120992.0,566635.0,4.0,8.0,8.0,21.0,4.0,9.0,15.0,10.0
22,24,0.0,295634.0,569198.0,501861.0,275089.0,12868.0,319061.0,396098.0,0.0,7.0,5.0,11.0,6.0,1.0,11.0,4.0
23,25,381420.0,2476874.0,2297928.0,858681.0,10016377.0,6852149.0,2361499.0,11410713.0,5.0,23.0,18.0,9.0,52.0,37.0,9.0,51.0
24,26,10034442.0,12738252.0,3098048.0,8855315.0,5252432.0,1344984.0,4122785.0,5355524.0,37.0,35.0,20.0,21.0,13.0,17.0,18.0,12.0
25,27,6366757.0,1946266.0,1054383.0,914134.0,3367454.0,3717482.0,2044884.0,417911.0,8.0,13.0,7.0,6.0,7.0,14.0,18.0,3.0
26,28,22534.0,288527.0,20337.0,14544.0,0.0,4182.0,0.0,0.0,6.0,8.0,1.0,3.0,0.0,1.0,0.0,0.0
27,29,4250915.0,4640808.0,4216778.0,3843395.0,6287039.0,5051259.0,4073106.0,8570273.0,26.0,29.0,28.0,28.0,32.0,57.0,32.0,50.0
28,30,4079175.0,8264845.0,7585656.0,10270690.0,3808518.0,11935378.0,6130929.0,8944823.0,19.0,22.0,16.0,24.0,12.0,26.0,19.0,12.0
29,31,506109.0,319327.0,925484.0,1307017.0,661780.0,254466.0,657852.0,603334.0,12.0,8.0,14.0,20.0,9.0,9.0,17.0,16.0
30,32,11809.0,464981.0,183142.0,74139.0,219263.0,0.0,3379.0,343550.0,1.0,3.0,4.0,1.0,3.0,0.0,1.0,4.0
31,33,1476.0,91574.0,7344.0,13213.0,0.0,55547.0,0.0,95596.0,1.0,5.0,2.0,2.0,0.0,5.0,0.0,3.0
32,34,243654.0,1419191.0,180769.0,301525.0,90011.0,1198180.0,539465.0,0.0,7.0,16.0,6.0,8.0,2.0,6.0,4.0,0.0
33,35,1456766.0,2050490.0,1982949.0,1789757.0,2606943.0,1902063.0,3618516.0,3475463.0,10.0,17.0,16.0,13.0,8.0,12.0,19.0,19.0
34,36,0.0,169687.0,563763.0,3039666.0,158014.0,609325.0,2299953.0,629799.0,0.0,5.0,6.0,12.0,1.0,6.0,13.0,8.0
35,37,1380138.0,765663.0,4823117.0,7084224.0,4033392.0,4880169.0,986069.0,1683087.0,5.0,5.0,14.0,16.0,3.0,9.0,3.0,8.0
36,38,506689.0,270501.0,596651.0,189516.0,298553.0,297789.0,786705.0,1002680.0,16.0,12.0,23.0,12.0,10.0,9.0,20.0,16.0
37,39,67892603.0,33685623.0,3391696.0,14235049.0,4759537.0,28927622.0,15731391.0,13271095.0,18.0,10.0,8.0,11.0,7.0,11.0,8.0,13.0
38,40,1288623.0,3386718.0,1383733.0,1086331.0,1320328.0,1475916.0,1527842.0,1552419.0,13.0,15.0,13.0,15.0,18.0,21.0,20.0,19.0
39,41,339400.0,213434.0,189017.0,957075.0,166470.0,393549.0,135148.0,1302483.0,5.0,2.0,1.0,5.0,2.0,4.0,2.0,6.0
40,42,394803.0,480227.0,145519.0,16850.0,459360.0,194416.0,208352.0,910432.0,4.0,9.0,4.0,1.0,11.0,6.0,2.0,10.0
41,43,204486.0,74063.0,0.0,1375146.0,8900.0,0.0,8559.0,16524.0,4.0,5.0,0.0,3.0,2.0,0.0,1.0,2.0
42,44,1394613.0,905209.0,1249452.0,2039563.0,5532726.0,1711813.0,191234.0,1659193.0,4.0,12.0,17.0,9.0,27.0,18.0,7.0,18.0
43,45,23763866.0,1245868.0,14385568.0,35764583.0,25307688.0,50139028.0,16115546.0,31982262.0,30.0,8.0,30.0,41.0,32.0,50.0,18.0,32.0
44,46,1055497.0,2281744.0,0.0,2257795.0,600645.0,4337994.0,2076429.0,18466147.0,5.0,6.0,0.0,9.0,3.0,16.0,11.0,25.0
45,47,688346.0,526683.0,2620592.0,224688.0,277821.0,45896.0,328633.0,112039.0,9.0,17.0,13.0,8.0,6.0,2.0,4.0,9.0
46,48,1918378.0,3477262.0,2379195.0,1555982.0,2709879.0,1399617.0,1144406.0,5139016.0,19.0,16.0,17.0,13.0,13.0,18.0,12.0,14.0
47,49,3998916.0,7149459.0,3160842.0,2867397.0,3879180.0,4880214.0,4198333.0,4918124.0,12.0,15.0,11.0,14.0,16.0,15.0,10.0,16.0
48,50,717374.0,2125223.0,1178955.0,1022522.0,947914.0,809542.0,763967.0,1035135.0,11.0,29.0,10.0,20.0,16.0,8.0,10.0,13.0
49,51,958469.0,1110174.0,604559.0,530771.0,290765.0,462254.0,267367.0,484383.0,15.0,18.0,12.0,12.0,7.0,12.0,4.0,17.0
50,52,5442064.0,3052857.0,909676.0,1689758.0,731473.0,1280482.0,1168767.0,181772.0,22.0,21.0,14.0,21.0,5.0,8.0,9.0,2.0
51,53,377484.0,61805.0,58750.0,1970959.0,773789.0,367384.0,44937.0,81798.0,3.0,1.0,1.0,7.0,2.0,3.0,1.0,1.0
52,54,44283.0,351929.0,37284.0,72596.0,279539.0,0.0,178169.0,112806.0,2.0,2.0,1.0,4.0,5.0,0.0,7.0,4.0
53,55,26668.0,0.0,0.0,77244.0,0.0,0.0,33787.0,81466.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0
54,56,3864819.0,5899172.0,1783764.0,5866902.0,21420582.0,6191939.0,2567824.0,4307706.0,27.0,24.0,14.0,17.0,47.0,42.0,10.0,22.0
55,57,58749.0,18439.0,121906.0,12238.0,0.0,38711.0,93139.0,12311.0,3.0,3.0,7.0,1.0,0.0,2.0,2.0,2.0
56,58,1639092.0,1215338.0,1293763.0,2937529.0,1125681.0,987507.0,1632456.0,2459882.0,9.0,14.0,21.0,14.0,12.0,13.0,11.0,15.0
57,59,2172931.0,3438789.0,1548799.0,1223435.0,597256.0,2291109.0,1957385.0,1393367.0,6.0,5.0,3.0,3.0,5.0,6.0,4.0,4.0
58,60,952487.0,1006909.0,328458.0,1112608.0,223408.0,1588910.0,818207.0,503551.0,8.0,21.0,11.0,13.0,3.0,10.0,9.0,8.0
59,61,2179340.0,1650662.0,345043.0,592183.0,434075.0,635791.0,969515.0,1214652.0,33.0,23.0,6.0,11.0,11.0,6.0,10.0,17.0
60,62,401200.0,1369397.0,2310797.0,738308.0,796516.0,641476.0,888481.0,830229.0,8.0,10.0,25.0,10.0,9.0,12.0,11.0,9.0
61,63,0.0,142049.0,10168.0,83362.0,251828.0,156561.0,437426.0,0.0,0.0,3.0,1.0,2.0,5.0,5.0,4.0,0.0
62,64,9841.0,0.0,0.0,13303.0,0.0,0.0,0.0,11568.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
63,65,81677.0,726674.0,1841699.0,56668.0,2128744.0,1150620.0,497005.0,539450.0,4.0,10.0,10.0,4.0,11.0,11.0,2.0,15.0
64,66,1319719.0,497737.0,119082.0,211245.0,352863.0,350977.0,476283.0,583406.0,8.0,10.0,6.0,4.0,3.0,5.0,6.0,5.0
65,67,0.0,153483.0,68918.0,319261.0,20228.0,181225.0,0.0,8262.0,0.0,1.0,3.0,1.0,2.0,2.0,0.0,1.0
66,68,1371201.0,4754373.0,3977295.0,6171705.0,9425188.0,269265.0,615485.0,1248679.0,7.0,35.0,31.0,5.0,12.0,4.0,9.0,17.0
67,69,31785.0,24619.0,4406.0,0.0,3439.0,10938.0,29169.0,22202.0,2.0,3.0,1.0,0.0,1.0,3.0,2.0,5.0
68,70,110313.0,178927.0,7457276.0,858281.0,954823.0,321273.0,942204.0,1006440.0,6.0,5.0,14.0,8.0,5.0,2.0,3.0,5.0
69,71,0.0,0.0,67563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
70,72,482384.0,218173.0,811744.0,96133.0,312306.0,173074.0,353410.0,328841.0,6.0,4.0,20.0,10.0,24.0,19.0,9.0,29.0
71,73,6176522.0,11786827.0,6779317.0,4001394.0,5425182.0,1453900.0,2607658.0,4647615.0,26.0,34.0,32.0,16.0,22.0,7.0,15.0,17.0
72,74,3155843.0,6464363.0,4859432.0,2052617.0,1399536.0,1119298.0,291277.0,991015.0,42.0,63.0,50.0,14.0,12.0,16.0,10.0,17.0
73,75,8660.0,161415.0,27680.0,0.0,26093.0,33028.0,28156.0,42221.0,1.0,6.0,1.0,0.0,1.0,2.0,1.0,4.0
74,76,465852.0,250228.0,477118.0,1157676.0,451269.0,1095717.0,634820.0,934887.0,14.0,10.0,17.0,24.0,5.0,25.0,16.0,22.0
75,77,1789879.0,2225388.0,1577607.0,2233311.0,870072.0,2429614.0,1582533.0,1893076.0,9.0,15.0,20.0,8.0,10.0,15.0,16.0,20.0
76,78,5685567.0,3891697.0,5022745.0,4457804.0,5042850.0,19482691.0,6305753.0,5335853.0,14.0,18.0,24.0,21.0,17.0,29.0,23.0,25.0
77,79,157892.0,295098.0,347641.0,616307.0,90416.0,149410.0,271241.0,147731.0,6.0,5.0,6.0,11.0,5.0,5.0,6.0,4.0
78,80,0.0,0.0,178962.0,78928.0,108216.0,841252.0,12389.0,767326.0,0.0,0.0,1.0,2.0,4.0,6.0,1.0,10.0
79,81,6985709.0,2696716.0,1509481.0,3091991.0,1848323.0,5260817.0,1324052.0,2297231.0,24.0,16.0,11.0,8.0,21.0,22.0,8.0,12.0
80,82,8870442.0,6458147.0,33469824.0,3622946.0,10504095.0,5714129.0,25573415.0,13767014.0,11.0,18.0,36.0,11.0,20.0,16.0,19.0,17.0
81,83,3187286.0,8341225.0,25995660.0,6671909.0,7785172.0,9306760.0,25685861.0,7614177.0,6.0,18.0,25.0,18.0,7.0,15.0,33.0,14.0
82,84,3458082.0,2037305.0,1845034.0,1279651.0,1290784.0,1423802.0,1164703.0,2037256.0,22.0,20.0,17.0,8.0,9.0,13.0,14.0,19.0
83,85,108739.0,23589.0,33781.0,533281.0,354439.0,289425.0,282683.0,360347.0,6.0,2.0,1.0,6.0,8.0,6.0,5.0,3.0
84,86,158286.0,3190539.0,1637126.0,390963.0,1244222.0,582709.0,711212.0,1447073.0,2.0,21.0,16.0,11.0,6.0,13.0,19.0,17.0
85,87,226333.0,458388.0,196586.0,1190799.0,126470.0,637164.0,1049205.0,1454914.0,1.0,4.0,3.0,4.0,2.0,8.0,9.0,11.0
86,88,525633.0,273220.0,670145.0,188009.0,1542329.0,171971.0,706675.0,914066.0,2.0,1.0,4.0,5.0,5.0,4.0,10.0,6.0
87,89,254212.0,1240021.0,554452.0,501505.0,1046805.0,145732.0,172764.0,280302.0,7.0,13.0,12.0,8.0,11.0,7.0,7.0,7.0
88,90,1384752.0,1641297.0,320041.0,9129385.0,1383132.0,2231004.0,1444027.0,2869524.0,8.0,13.0,7.0,17.0,5.0,15.0,8.0,5.0
89,91,35426.0,406884.0,122020.0,230843.0,174055.0,222833.0,295974.0,0.0,1.0,4.0,2.0,3.0,3.0,4.0,6.0,0.0
90,92,1580679.0,2591441.0,2182473.0,3623364.0,1771746.0,4519120.0,3336927.0,3422978.0,12.0,36.0,33.0,42.0,28.0,48.0,32.0,45.0
91,93,9321810.0,7468725.0,18091860.0,6701766.0,7942276.0,12791147.0,12016062.0,9022662.0,40.0,27.0,49.0,12.0,34.0,37.0,52.0,31.0
92,94,0.0,0.0,1720394.0,2460021.0,2909543.0,1916969.0,1683105.0,1611966.0,0.0,0.0,23.0,23.0,33.0,22.0,21.0,11.0
93,95,216688.0,118769.0,119760.0,638256.0,267907.0,30883.0,427515.0,84853.0,14.0,6.0,4.0,12.0,12.0,5.0,14.0,6.0
94,96,103375.0,4945456.0,0.0,390341.0,30341.0,0.0,166040.0,332230.0,3.0,23.0,0.0,4.0,1.0,0.0,2.0,4.0
95,97,1926446.0,714416.0,250512.0,4070311.0,3330449.0,2226736.0,1374292.0,1477495.0,8.0,5.0,2.0,12.0,9.0,7.0,5.0,9.0
96,98,315143.0,323035.0,544568.0,744721.0,1458983.0,120639.0,1217511.0,383374.0,5.0,5.0,4.0,9.0,4.0,3.0,4.0,2.0
97,99,7883070.0,10977661.0,40233110.0,14793667.0,9649266.0,19600436.0,3067432.0,8255195.0,33.0,56.0,60.0,55.0,32.0,74.0,27.0,19.0
98,100,518498.0,3192031.0,2560507.0,3028804.0,548094.0,605873.0,626971.0,0.0,9.0,19.0,33.0,35.0,4.0,6.0,10.0,0.0
99,101,680229.0,0.0,66659.0,0.0,252840.0,0.0,109132.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
100,102,2341718.0,757752.0,721326.0,642141.0,975029.0,2129185.0,1088422.0,354746.0,11.0,5.0,8.0,9.0,7.0,12.0,11.0,5.0
101,103,35426.0,20602.0,197716.0,0.0,35397.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
102,104,4920.0,9786.0,28245.0,1314469.0,90921.0,120638.0,16893.0,61968.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,5.0
103,105,15449.0,164712.0,644556.0,246364.0,165206.0,50614.0,1166097.0,269353.0,2.0,8.0,6.0,3.0,2.0,2.0,4.0,2.0
104,106,756149.0,1297972.0,588065.0,1522538.0,485886.0,2379684.0,678463.0,2292249.0,8.0,16.0,10.0,12.0,7.0,18.0,10.0,20.0
105,107,2253043.0,11358513.0,11560898.0,18720250.0,18137472.0,16374019.0,7097482.0,25176862.0,16.0,18.0,24.0,28.0,17.0,36.0,20.0,30.0
106,108,869809.0,596018.0,687477.0,692430.0,467653.0,1442379.0,603095.0,1266318.0,18.0,8.0,19.0,19.0,8.0,32.0,11.0,27.0
107,109,52056.0,2060.0,56378.0,0.0,0.0,19238.0,0.0,32883.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,3.0
108,110,480070.0,1459478.0,1698294.0,2219164.0,1564266.0,831599.0,2001207.0,279120.0,12.0,12.0,19.0,14.0,9.0,9.0,16.0,1.0
109,111,23421.0,10301.0,81346.0,0.0,0.0,10723.0,5406.0,8097.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0
110,112,3345415.0,996546.0,4438761.0,4623253.0,7000115.0,7252990.0,7849500.0,22793818.0,13.0,10.0,30.0,19.0,26.0,38.0,33.0,41.0
111,113,5553665.0,3982211.0,2797474.0,6145181.0,4718445.0,3592942.0,1637400.0,3531438.0,13.0,27.0,21.0,40.0,31.0,34.0,17.0,24.0
112,114,81578.0,3613235.0,4297542.0,2093704.0,1140205.0,2840899.0,618863.0,387621.0,3.0,31.0,6.0,14.0,8.0,9.0,7.0,5.0
113,115,424325.0,421450.0,1998236.0,3561656.0,1620346.0,2111375.0,0.0,0.0,4.0,3.0,3.0,12.0,5.0,10.0,0.0,0.0
114,116,87581.0,46251.0,39543.0,105977.0,58659.0,437623.0,11262.0,200197.0,2.0,2.0,1.0,2.0,1.0,7.0,1.0,4.0
115,117,3530034.0,0.0,85865.0,0.0,68772.0,653056.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
116,118,5797079.0,3403930.0,6330351.0,18987833.0,8709980.0,5429723.0,9935284.0,8187256.0,27.0,17.0,33.0,46.0,27.0,24.0,21.0,38.0
117,119,2262559.0,5003202.0,2591781.0,7668455.0,9291174.0,1290218.0,5865347.0,1443420.0,16.0,37.0,22.0,40.0,31.0,11.0,21.0,10.0
118,120,31537132.0,42876362.0,24921145.0,25443071.0,26082703.0,25954739.0,31180120.0,26214269.0,57.0,112.0,90.0,90.0,54.0,72.0,94.0,58.0
119,121,169257.0,215186.0,55475.0,232263.0,1831407.0,349905.0,522795.0,1782478.0,3.0,6.0,3.0,6.0,10.0,6.0,8.0,17.0
120,122,1137361.0,930662.0,786009.0,1175493.0,3964772.0,2389378.0,3935325.0,2544234.0,9.0,12.0,9.0,16.0,19.0,23.0,24.0,17.0
121,123,47333.0,246913.0,33216.0,153954.0,133499.0,0.0,46626.0,8262.0,9.0,6.0,2.0,3.0,2.0,0.0,2.0,1.0
122,124,4253640.0,2503306.0,3375937.0,1910749.0,1343082.0,7252313.0,1237995.0,6254823.0,20.0,24.0,26.0,22.0,9.0,47.0,17.0,16.0
123,125,899013.0,356410.0,305048.0,309684.0,335163.0,458533.0,78723.0,499872.0,6.0,8.0,5.0,4.0,3.0,8.0,2.0,7.0
124,126,2484956.0,10301.0,214664.0,6712463.0,7494460.0,2580813.0,1276209.0,4418982.0,13.0,1.0,4.0,10.0,13.0,21.0,7.0,11.0
125,127,226382.0,376392.0,487172.0,46116.0,99619.0,0.0,2140.0,201603.0,6.0,17.0,11.0,3.0,4.0,0.0,1.0,4.0
126,128,370203.0,332821.0,173766.0,8868.0,46927.0,169431.0,507930.0,40486.0,10.0,10.0,4.0,1.0,1.0,3.0,8.0,1.0
127,129,1958.0,163475.0,0.0,0.0,14058.0,34314.0,27030.0,9584.0,1.0,5.0,0.0,0.0,2.0,2.0,2.0,2.0
128,130,4982784.0,4546996.0,3709939.0,2129204.0,2686085.0,2892938.0,506353.0,1274305.0,27.0,32.0,47.0,20.0,18.0,33.0,9.0,15.0
129,131,352491.0,3136503.0,1549023.0,657146.0,1722341.0,1226005.0,1490901.0,669172.0,8.0,33.0,17.0,8.0,17.0,27.0,19.0,13.0
130,132,60814.0,66852.0,178057.0,458053.0,370662.0,337626.0,96855.0,419133.0,5.0,6.0,6.0,7.0,4.0,6.0,3.0,4.0
131,133,83015.0,0.0,1217718.0,34587.0,1782720.0,605186.0,321426.0,3087445.0,1.0,0.0,9.0,1.0,8.0,4.0,5.0,7.0
132,134,5655385.0,4295026.0,6419650.0,3475723.0,3328215.0,3013696.0,2404510.0,3235463.0,20.0,17.0,32.0,21.0,16.0,22.0,23.0,16.0
133,135,63570.0,3117246.0,2324354.0,49485.0,246265.0,509790.0,1500180.0,12394.0,2.0,9.0,10.0,3.0,5.0,7.0,14.0,1.0
134,136,0.0,1707687.0,2409306.0,1423281.0,325859.0,1633700.0,702824.0,6878264.0,0.0,18.0,20.0,19.0,4.0,14.0,3.0,36.0
135,137,5519121.0,663890.0,1752479.0,1513040.0,1493733.0,3104738.0,2206000.0,515325.0,22.0,14.0,14.0,21.0,14.0,20.0,22.0,8.0
136,138,1205761.0,2442716.0,2910036.0,4062225.0,2694547.0,3101637.0,914622.0,3441795.0,9.0,25.0,14.0,31.0,24.0,31.0,9.0,28.0
137,139,1134420.0,2779018.0,5643666.0,4107896.0,19216.0,1574753.0,3517924.0,3029235.0,8.0,24.0,30.0,23.0,1.0,13.0,31.0,10.0
138,140,1564107.0,366196.0,717575.0,2057911.0,65738.0,0.0,366081.0,499213.0,6.0,4.0,4.0,7.0,3.0,0.0,5.0,3.0
139,141,0.0,20602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140,143,84037.0,0.0,43610.0,27048.0,51580.0,63268.0,22749.0,6114.0,7.0,0.0,7.0,4.0,3.0,1.0,3.0,2.0
141,144,0.0,2127953.0,2776754.0,181003.0,0.0,50507.0,5477347.0,25448.0,0.0,5.0,12.0,3.0,0.0,5.0,13.0,4.0
142,145,2226474.0,1254562.0,426853.0,1104430.0,2188485.0,3134719.0,2372468.0,3485484.0,11.0,8.0,2.0,6.0,5.0,18.0,12.0,11.0
143,146,3491635.0,2952673.0,3285979.0,2875700.0,8577854.0,2199639.0,1156095.0,1763969.0,19.0,28.0,27.0,18.0,29.0,19.0,16.0,8.0
144,147,2121219.0,2681889.0,1374050.0,2085652.0,2791343.0,4137832.0,1022141.0,1057684.0,7.0,8.0,6.0,16.0,7.0,17.0,8.0,12.0
145,148,0.0,0.0,128798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
146,149,971203.0,1056404.0,2907055.0,1463812.0,154333.0,427864.0,606587.0,977728.0,4.0,8.0,14.0,14.0,3.0,5.0,7.0,6.0
147,150,1761676.0,6128167.0,22370.0,2077548.0,810440.0,2973365.0,747028.0,366106.0,8.0,25.0,1.0,10.0,5.0,16.0,11.0,2.0
148,151,4494623.0,5034144.0,1635646.0,4448220.0,1420037.0,3719371.0,1763450.0,6241871.0,26.0,27.0,12.0,22.0,16.0,24.0,19.0,37.0
149,152,876498.0,893981.0,1278696.0,1770896.0,3505090.0,723796.0,4150931.0,1808017.0,11.0,14.0,15.0,23.0,18.0,15.0,44.0,33.0
150,153,206652.0,145243.0,64173.0,2663240.0,136836.0,761790.0,33787.0,315789.0,7.0,3.0,2.0,8.0,5.0,10.0,1.0,5.0
151,154,3369651.0,708977.0,0.0,57467.0,0.0,57906.0,2271434.0,1911170.0,6.0,2.0,0.0,2.0,0.0,1.0,4.0,4.0
152,155,1689830.0,3666698.0,2709664.0,2940521.0,2737288.0,3371718.0,2863269.0,3291910.0,18.0,32.0,30.0,20.0,22.0,25.0,27.0,30.0
153,156,12015865.0,5820143.0,8729925.0,8537144.0,21278749.0,18484907.0,2791753.0,7608112.0,39.0,38.0,33.0,40.0,48.0,54.0,20.0,22.0
154,157,311946.0,379073.0,1254087.0,457234.0,242725.0,373387.0,1359246.0,1558978.0,7.0,13.0,10.0,5.0,8.0,12.0,12.0,16.0
155,158,0.0,0.0,161563.0,111342.0,0.0,10616.0,50680.0,114103.0,0.0,0.0,2.0,4.0,0.0,1.0,1.0,8.0
156,159,4295590.0,12666611.0,5634930.0,11486724.0,6683599.0,16460298.0,5318660.0,27704793.0,20.0,47.0,20.0,40.0,30.0,50.0,33.0,84.0
157,160,895362.0,556741.0,880065.0,131252.0,160806.0,1674063.0,387761.0,500701.0,5.0,8.0,11.0,4.0,4.0,24.0,10.0,5.0
158,161,21479373.0,3786814.0,6291699.0,29013122.0,3617018.0,8480271.0,4135760.0,13761870.0,58.0,12.0,19.0,61.0,22.0,40.0,15.0,50.0
159,162,2427439.0,9203594.0,2002407.0,10000326.0,5392210.0,7052410.0,4665583.0,1412528.0,12.0,35.0,20.0,40.0,14.0,43.0,23.0,19.0
160,163,62783.0,129585.0,144050.0,0.0,50568.0,12225.0,1236542.0,0.0,2.0,4.0,5.0,0.0,1.0,2.0,6.0,0.0
161,164,2132745.0,2030794.0,423960.0,3262148.0,2782638.0,1365335.0,1343490.0,827188.0,7.0,8.0,2.0,10.0,8.0,8.0,14.0,8.0
162,165,1106411.0,4278209.0,4333347.0,5608441.0,5800435.0,885741.0,136882.0,629163.0,10.0,54.0,43.0,38.0,37.0,9.0,4.0,8.0
163,166,716235.0,1370558.0,1527930.0,2825902.0,994529.0,1325392.0,2687534.0,2684322.0,6.0,14.0,11.0,27.0,15.0,14.0,27.0,20.0
