,°í°´¹øÈ£,¹®±¸·ù_ÃÑ±¸¸Å¾×1,¹®±¸·ù_ÃÑ±¸¸Å¾×2,¹®±¸·ù_ÃÑ±¸¸Å¾×3,¹®±¸·ù_ÃÑ±¸¸Å¾×4,¹®±¸·ù_ÃÑ±¸¸Å¾×5,¹®±¸·ù_ÃÑ±¸¸Å¾×6,¹®±¸·ù_ÃÑ±¸¸Å¾×7,¹®±¸·ù_ÃÑ±¸¸Å¾×8,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö1,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö2,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö3,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö4,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö5,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö6,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö7,¹®±¸·ù_ÃÑ±¸¸ÅÈ½¼ö8
55,57,0.0,0.0,0.0,1774.0,0.0,0.0,1689.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
56,58,48219.0,4120.0,66659.0,0.0,46118.0,74527.0,106091.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0
57,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,60,191183.0,0.0,0.0,0.0,0.0,0.0,20813.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
59,61,0.0,0.0,0.0,0.0,38584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
60,62,14840.0,60363.0,75358.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
61,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,64,1771.0,0.0,0.0,6917.0,5340.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
63,65,0.0,0.0,0.0,0.0,0.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
64,66,10205.0,8035.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,68,0.0,0.0,0.0,19422.0,21643.0,124820.0,22299.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
67,69,0.0,0.0,11300.0,0.0,0.0,0.0,0.0,1652.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
68,70,0.0,51298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,71,0.0,2369.0,1243.0,6119.0,5360.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0
70,72,5609.0,1030.0,1130.0,30286.0,6372.0,1072.0,0.0,0.0,3.0,1.0,1.0,6.0,2.0,1.0,0.0,0.0
71,73,472326.0,0.0,0.0,1508.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
72,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,76,0.0,927.0,0.0,6474.0,0.0,34315.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
75,77,182248.0,28121.0,95356.0,31758.0,35195.0,6862.0,0.0,16277.0,6.0,5.0,10.0,3.0,1.0,2.0,0.0,2.0
76,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,79,18155.0,7313.0,0.0,2572.0,0.0,0.0,0.0,2850.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0
78,80,2067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,82,0.0,37907.0,94283.0,116264.0,0.0,0.0,0.0,102123.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,3.0
81,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,84,0.0,0.0,0.0,0.0,0.0,4933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
83,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,86,1574.0,0.0,0.0,0.0,44945.0,1716.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
85,87,0.0,0.0,0.0,0.0,0.0,53618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
86,88,0.0,0.0,0.0,1419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
87,89,0.0,0.0,1638.0,2927.0,3540.0,4235.0,3266.0,1570.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0
88,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,91,2854.0,0.0,8700.0,0.0,0.0,27345.0,13515.0,45113.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0
90,92,36706.0,76845.0,205174.0,113471.0,167683.0,98977.0,226992.0,28836.0,3.0,7.0,13.0,7.0,8.0,4.0,8.0,1.0
91,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
92,94,5235.0,5099.0,0.0,0.0,0.0,858.0,9033.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0
93,95,1919.0,0.0,3841.0,0.0,6574.0,1501.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0
94,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,97,68589.0,9065.0,0.0,39908.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
96,98,0.0,66441.0,34911.0,21284.0,18204.0,0.0,0.0,26522.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0
97,99,0.0,0.0,0.0,0.0,42376.0,2574.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
98,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,104,0.0,0.0,0.0,0.0,0.0,0.0,32435.0,10576.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
103,105,0.0,0.0,0.0,1685.0,3236.0,0.0,0.0,1322.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0
104,106,22043.0,108468.0,0.0,0.0,0.0,5362.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
105,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,108,0.0,0.0,73212.0,8859.0,0.0,0.0,328521.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0
107,109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,110,49203.0,94664.0,42707.0,61901.0,47534.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0
109,111,0.0,0.0,0.0,0.0,0.0,29468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
110,112,0.0,23692.0,0.0,4079.0,0.0,0.0,5338.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
111,113,179197.0,132438.0,257089.0,13294.0,189983.0,10059.0,156331.0,0.0,5.0,7.0,10.0,1.0,7.0,1.0,9.0,0.0
112,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,118,0.0,0.0,0.0,3104.0,0.0,0.0,0.0,2066.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
117,119,0.0,0.0,120100.0,0.0,40252.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0
118,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,121,37886.0,15245.0,0.0,176303.0,79796.0,81498.0,197653.0,114847.0,1.0,2.0,0.0,9.0,2.0,5.0,7.0,6.0
120,122,118480.0,48743.0,735245.0,224991.0,308242.0,119029.0,435964.0,144696.0,5.0,2.0,18.0,16.0,19.0,4.0,17.0,19.0
121,123,0.0,0.0,11185.0,0.0,0.0,0.0,0.0,37015.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
122,124,0.0,0.0,17964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
123,125,0.0,0.0,0.0,2306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
124,126,0.0,927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
125,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,129,17890.0,40894.0,53247.0,2661.0,0.0,0.0,10902.0,0.0,4.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0
128,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,132,20271.0,1545.0,8701.0,16362.0,4854.0,751.0,0.0,0.0,2.0,1.0,5.0,4.0,3.0,1.0,0.0,0.0
131,133,0.0,0.0,12993.0,10021.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
132,134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,136,24994.0,174284.0,215714.0,173289.0,76458.0,70131.0,40320.0,72459.0,5.0,32.0,18.0,27.0,11.0,9.0,4.0,16.0
135,137,0.0,0.0,70839.0,0.0,0.0,28953.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
136,138,0.0,0.0,0.0,1330.0,0.0,10723.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
137,139,0.0,0.0,6327.0,11972.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
138,140,1968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,141,640.0,0.0,1695.0,6076.0,303.0,6862.0,3446.0,8882.0,1.0,0.0,1.0,4.0,1.0,4.0,2.0,3.0
140,143,6986.0,5254.0,11185.0,14811.0,4045.0,16943.0,11263.0,14377.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0
141,144,181951.0,124640.0,556578.0,89038.0,72514.0,40749.0,282006.0,130545.0,11.0,15.0,30.0,11.0,9.0,3.0,13.0,8.0
142,145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,147,15745.0,82921.0,89877.0,62966.0,93043.0,58978.0,128614.0,433322.0,2.0,7.0,7.0,3.0,7.0,4.0,6.0,18.0
145,148,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
146,149,0.0,0.0,0.0,0.0,9608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
147,150,9181.0,39472.0,38919.0,16539.0,5764.0,13189.0,17625.0,5866.0,4.0,9.0,12.0,8.0,2.0,5.0,7.0,2.0
148,151,0.0,90338.0,0.0,93029.0,0.0,0.0,15317.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0
149,152,0.0,13906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
150,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,155,0.0,0.0,0.0,0.0,0.0,0.0,81877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
153,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,158,41330.0,57685.0,37849.0,49397.0,43893.0,128789.0,52370.0,91547.0,1.0,3.0,1.0,4.0,2.0,5.0,2.0,4.0
156,159,0.0,0.0,0.0,0.0,52186.0,0.0,62506.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
157,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,162,0.0,0.0,44966.0,37070.0,2023.0,0.0,0.0,8262.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0
160,163,33113.0,62733.0,62478.0,0.0,59104.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
161,164,0.0,0.0,0.0,0.0,0.0,0.0,17231.0,24622.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
162,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,166,52155.0,210385.0,89481.0,99247.0,191763.0,26272.0,7320.0,50732.0,2.0,6.0,4.0,6.0,13.0,1.0,1.0,4.0
164,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,168,0.0,0.0,45079.0,0.0,18710.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
166,169,0.0,0.0,0.0,0.0,1315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
167,170,0.0,0.0,0.0,6545.0,41051.0,1394.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
168,171,0.0,0.0,2034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
169,172,0.0,148435.0,110382.0,0.0,0.0,0.0,2928.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
170,173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
171,175,10776.0,3811.0,4633.0,798.0,16586.0,2091.0,14247.0,2272.0,4.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0
172,176,0.0,0.0,2034.0,7627.0,5461.0,0.0,7320.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0
173,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,179,66808.0,0.0,0.0,27581.0,2023.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
176,180,4330.0,0.0,0.0,0.0,0.0,0.0,23651.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
177,181,273568.0,306450.0,16518.0,0.0,0.0,198382.0,222206.0,53623.0,3.0,3.0,1.0,0.0,0.0,5.0,8.0,1.0
178,182,0.0,0.0,0.0,7184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
179,183,1525.0,86835.0,39317.0,0.0,118025.0,38175.0,0.0,59158.0,1.0,6.0,1.0,0.0,4.0,2.0,0.0,2.0
180,184,0.0,6181.0,0.0,142427.0,15979.0,27345.0,3367.0,39164.0,0.0,1.0,0.0,6.0,2.0,1.0,1.0,3.0
181,185,0.0,0.0,101287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
182,186,0.0,0.0,107671.0,86555.0,0.0,0.0,66448.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0
183,187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,188,0.0,0.0,5299.0,23856.0,0.0,1072.0,1689.0,34446.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0
