,°í°´¹øÈ£,Æí_ÃÑ±¸¸ÅÈ½¼ö1,Æí_ÃÑ±¸¸ÅÈ½¼ö2,Æí_ÃÑ±¸¸ÅÈ½¼ö3,Æí_ÃÑ±¸¸ÅÈ½¼ö4,Æí_ÃÑ±¸¸ÅÈ½¼ö5,Æí_ÃÑ±¸¸ÅÈ½¼ö6,Æí_ÃÑ±¸¸ÅÈ½¼ö7,ÆíÀÇÇ°_Áõ°¨À²,ÆíÀÇÇ°_º¯µ¿À²,Æí_(Áõ°¨*0.8)+(º¯µ¿*0.2)
109,111,3,3,3,3,3,4,3,0,2,0.4
110,112,1,1,2,2,2,2,3,2,2,2
111,113,3,3,3,3,3,2,3,0,2,0.4
112,114,2,1,1,1,2,2,2,0,2,0.4
113,115,1,2,2,1,1,2,1,0,4,0.8
114,116,2,4,3,3,3,3,3,1,3,1.4
115,117,2,2,3,3,3,3,2,0,2,0.4
116,118,1,1,1,1,1,1,1,0,0,0
117,119,1,2,2,1,2,2,2,1,3,1.4
118,120,1,1,2,1,1,1,1,0,2,0.4
119,121,1,1,1,2,2,2,2,1,1,1
120,122,1,2,3,2,2,2,2,1,3,1.4
121,123,4,3,3,3,3,3,3,-1,1,-0.6
122,124,1,1,1,1,1,1,1,0,0,0
123,125,2,2,2,2,2,1,1,-1,1,-0.6
124,126,3,2,3,3,3,4,3,0,4,0.8
125,127,1,1,1,1,1,1,2,1,1,1
126,128,2,2,2,2,1,3,2,0,4,0.8
127,129,2,2,2,2,2,2,3,1,1,1
128,130,2,2,2,3,2,2,1,-1,3,-0.2
129,131,4,4,4,2,3,3,4,0,4,0.8
130,132,3,4,4,4,4,1,1,-2,4,-0.8
131,133,3,3,2,2,2,2,3,0,2,0.4
132,134,1,1,1,2,2,1,1,0,2,0.4
133,135,2,2,1,2,2,2,1,-1,3,-0.2
134,136,1,2,1,1,1,1,1,0,2,0.4
135,137,2,2,2,2,2,3,2,0,2,0.4
136,138,2,1,1,1,2,2,2,0,2,0.4
137,139,2,2,2,2,2,2,3,1,1,1
138,140,2,2,2,2,2,2,1,-1,1,-0.6
139,141,3,3,2,2,3,3,3,0,2,0.4
140,143,3,3,3,3,3,3,3,0,0,0
141,144,4,4,4,4,4,3,3,-1,1,-0.6
142,145,2,2,2,2,1,2,2,0,2,0.4
143,146,1,1,1,1,1,1,1,0,0,0
144,147,3,3,3,3,3,3,4,1,1,1
145,148,3,2,3,3,3,3,3,0,2,0.4
146,149,1,1,2,1,2,2,1,0,4,0.8
147,150,3,3,4,3,3,4,2,-1,5,0.2
148,151,3,3,3,2,2,2,2,-1,1,-0.6
149,152,2,2,2,2,1,1,1,-1,1,-0.6
150,153,3,2,2,2,2,2,3,0,2,0.4
151,154,1,2,1,1,1,1,1,0,2,0.4
152,155,2,1,2,2,2,2,2,0,2,0.4
153,156,2,3,2,2,2,2,2,0,2,0.4
154,157,2,2,2,2,2,2,2,0,0,0
155,158,2,2,2,3,2,3,3,1,3,1.4
156,159,1,1,1,1,1,1,1,0,0,0
157,160,3,3,2,2,4,3,3,0,4,0.8
158,161,1,1,1,1,1,1,1,0,0,0
159,162,2,2,2,2,2,2,2,0,0,0
160,163,3,3,3,3,3,3,3,0,0,0
161,164,1,1,1,1,1,1,3,2,2,2
162,165,1,1,1,1,1,1,1,0,0,0
163,166,1,3,2,3,2,2,1,0,6,1.2
164,167,2,2,2,2,2,2,2,0,0,0
165,168,1,3,2,2,2,2,2,1,3,1.4
166,169,2,2,2,1,2,2,3,1,3,1.4
167,170,3,4,4,3,3,4,4,1,3,1.4
168,171,1,1,1,1,1,2,2,1,1,1
169,172,2,3,3,3,3,2,3,1,3,1.4
170,173,3,3,3,4,4,4,4,1,1,1
171,175,4,4,4,4,4,4,4,0,0,0
172,176,2,3,3,3,3,3,3,1,1,1
173,177,1,1,1,1,1,1,1,0,0,0
174,178,3,3,3,3,4,4,4,1,1,1
175,179,2,3,2,2,3,3,2,0,4,0.8
176,180,2,2,1,1,1,1,1,-1,1,-0.6
177,181,1,1,1,1,1,2,2,1,1,1
178,182,2,2,3,3,3,3,3,1,1,1
179,183,3,4,4,4,4,4,4,1,1,1
180,184,1,1,1,1,1,1,1,0,0,0
181,185,1,2,4,4,4,4,3,2,4,2.4
182,186,2,3,2,2,3,4,3,1,5,1.8
183,187,1,1,1,2,1,1,2,1,3,1.4
184,188,4,4,4,4,4,4,4,0,0,0
185,189,2,2,2,2,3,3,2,0,2,0.4
186,190,2,2,2,2,3,3,2,0,2,0.4
187,191,1,1,1,1,1,1,1,0,0,0
188,192,1,2,2,3,2,3,3,2,4,2.4
189,193,2,3,2,3,3,3,3,1,3,1.4
190,194,3,3,4,3,3,4,4,1,3,1.4
191,195,1,1,2,1,2,2,2,1,3,1.4
192,196,2,2,3,2,2,2,3,1,3,1.4
193,197,3,1,2,1,2,2,3,0,6,1.2
194,198,2,3,3,2,2,3,3,1,3,1.4
195,199,1,2,2,2,2,3,3,2,2,2
196,200,3,3,3,3,2,2,2,-1,1,-0.6
197,201,2,1,2,2,1,2,1,-1,5,0.2
198,202,2,2,3,4,3,3,3,1,3,1.4
199,203,2,2,3,2,2,2,2,0,2,0.4
200,204,3,3,3,2,3,3,4,1,3,1.4
201,205,3,3,3,3,2,3,3,0,2,0.4
202,206,4,4,4,3,4,3,4,0,4,0.8
203,207,2,2,3,3,2,3,3,1,3,1.4
204,208,1,1,1,1,1,1,1,0,0,0
205,209,1,1,1,1,1,1,2,1,1,1
206,210,2,2,2,2,3,3,3,1,1,1
207,211,1,1,1,1,1,2,1,0,2,0.4
208,212,3,3,4,4,3,4,3,0,4,0.8
209,213,4,4,4,4,4,4,4,0,0,0
210,214,2,3,3,3,2,2,2,0,2,0.4
211,215,3,3,4,3,3,3,4,1,3,1.4
212,216,2,3,3,3,3,3,2,0,2,0.4
213,217,1,1,1,1,1,2,2,1,1,1
214,218,1,1,1,1,1,1,1,0,0,0
215,219,1,1,2,4,3,3,1,0,6,1.2
216,220,4,4,4,4,4,4,4,0,0,0
217,221,2,2,3,2,3,3,3,1,3,1.4
218,222,1,1,3,3,2,3,1,0,6,1.2
219,223,1,1,1,1,1,1,1,0,0,0
220,224,1,1,1,1,1,1,1,0,0,0
221,225,1,1,1,1,1,1,1,0,0,0
222,226,2,2,2,2,2,2,2,0,0,0
223,227,3,3,3,4,3,3,3,0,2,0.4
224,228,3,3,2,2,3,3,4,1,3,1.4
225,229,2,2,3,2,2,2,2,0,2,0.4
226,230,2,1,2,2,2,2,2,0,2,0.4
227,231,3,3,3,3,3,4,3,0,2,0.4
228,232,4,4,4,4,4,3,4,0,2,0.4
229,233,3,3,3,3,3,3,3,0,0,0
230,234,1,2,1,3,3,2,1,0,6,1.2
231,235,2,3,2,2,2,3,2,0,4,0.8
232,236,4,4,2,3,2,3,4,0,6,1.2
233,237,2,2,3,2,3,2,3,1,5,1.8
234,238,1,2,2,2,2,2,2,1,1,1
235,239,1,1,1,1,2,2,2,1,1,1
236,240,1,1,2,1,1,1,1,0,2,0.4
237,241,2,1,1,1,1,2,2,0,2,0.4
238,242,2,2,2,3,3,3,3,1,1,1
239,243,2,2,2,2,2,2,3,1,1,1
240,245,4,4,4,4,4,4,4,0,0,0
241,246,1,1,1,2,2,2,1,0,2,0.4
242,247,4,3,4,4,3,3,3,-1,3,-0.2
243,248,2,3,2,4,4,4,3,1,5,1.8
244,249,1,1,1,1,2,1,2,1,3,1.4
245,250,2,1,1,1,1,2,2,0,2,0.4
246,251,2,1,1,1,1,1,1,-1,1,-0.6
247,252,1,2,2,2,1,2,1,0,4,0.8
248,253,1,1,1,1,1,1,1,0,0,0
249,254,2,2,2,2,2,1,1,-1,1,-0.6
250,255,1,2,2,1,2,1,1,0,4,0.8
251,256,1,2,2,2,2,3,3,2,2,2
252,257,4,4,4,4,4,4,4,0,0,0
253,258,1,1,1,1,1,2,1,0,2,0.4
254,259,4,4,4,4,4,4,4,0,0,0
255,260,3,3,3,3,2,2,3,0,2,0.4
256,261,2,1,1,2,1,1,1,-1,3,-0.2
257,262,3,3,3,3,3,3,3,0,0,0
258,263,3,2,3,2,2,2,3,0,4,0.8
259,264,4,4,4,4,4,4,4,0,0,0
260,265,1,1,1,1,1,1,1,0,0,0
261,266,1,1,1,1,1,2,2,1,1,1
262,267,1,1,1,1,1,1,1,0,0,0
263,268,3,2,2,3,3,3,3,0,2,0.4
264,269,4,4,4,4,4,4,4,0,0,0
265,270,2,3,3,3,3,3,3,1,1,1
266,271,2,3,1,1,1,1,1,-1,3,-0.2
267,272,3,3,3,3,3,3,4,1,1,1
268,273,1,2,2,2,2,2,1,0,2,0.4
269,274,2,3,2,3,3,4,3,1,5,1.8
270,275,4,4,4,4,4,4,4,0,0,0
271,276,4,4,4,4,4,4,4,0,0,0
272,277,2,3,3,2,2,3,3,1,3,1.4
273,278,4,3,4,4,4,4,3,-1,3,-0.2
274,279,2,2,2,2,1,1,1,-1,1,-0.6
275,280,1,2,1,1,1,1,1,0,2,0.4
276,281,2,3,2,3,3,3,3,1,3,1.4
277,282,1,2,1,1,1,1,1,0,2,0.4
278,283,1,1,1,1,2,2,1,0,2,0.4
279,284,1,1,1,1,1,1,1,0,0,0
280,285,2,2,2,2,2,2,2,0,0,0
281,286,3,2,2,2,2,2,2,-1,1,-0.6
282,287,2,2,2,2,2,2,2,0,0,0
283,288,3,3,4,4,4,4,4,1,1,1
284,289,1,2,2,2,2,2,2,1,1,1
285,290,2,2,4,4,4,3,3,1,3,1.4
286,291,3,4,4,4,3,4,4,1,3,1.4
287,292,2,3,3,2,2,2,2,0,2,0.4
288,293,2,3,3,2,3,2,3,1,5,1.8
289,294,1,1,1,1,1,1,1,0,0,0
290,295,1,1,1,1,1,1,1,0,0,0
291,296,3,3,4,3,4,4,2,-1,5,0.2
292,297,1,2,1,2,3,2,2,1,5,1.8
293,298,2,3,2,3,1,2,2,0,6,1.2
294,299,2,1,1,1,2,2,1,-1,3,-0.2
295,300,3,4,3,3,3,4,3,0,4,0.8
296,301,2,2,2,1,1,2,1,-1,3,-0.2
297,302,2,2,2,2,2,2,2,0,0,0
298,303,3,4,4,4,4,4,4,1,1,1
299,304,1,1,1,1,1,1,2,1,1,1
300,305,3,3,3,2,2,2,3,0,2,0.4
301,306,2,1,1,1,1,1,1,-1,1,-0.6
302,307,1,1,1,2,2,2,2,1,1,1
303,308,2,2,2,2,2,2,2,0,0,0
304,309,2,2,2,1,1,1,2,0,2,0.4
305,310,3,2,3,2,3,4,3,0,6,1.2
306,311,2,3,2,2,2,1,1,-1,3,-0.2
307,312,2,3,3,3,3,3,3,1,1,1
308,313,4,3,3,4,3,2,2,-2,4,-0.8
309,314,2,2,1,2,2,2,2,0,2,0.4
310,315,2,2,2,3,2,2,3,1,3,1.4
311,316,3,2,2,3,2,2,2,-1,3,-0.2
312,317,3,3,3,3,3,3,3,0,0,0
313,318,2,2,2,1,1,2,2,0,2,0.4
314,319,1,1,1,1,1,1,1,0,0,0
315,320,1,2,1,2,2,2,2,1,3,1.4
316,321,2,3,3,3,3,3,3,1,1,1
317,322,3,4,4,3,3,4,3,0,4,0.8
318,323,2,2,2,2,2,2,2,0,0,0
319,324,3,3,2,2,3,2,2,-1,3,-0.2
320,325,1,2,2,1,1,1,2,1,3,1.4
321,326,2,1,2,1,3,2,2,0,6,1.2
322,327,1,1,1,1,1,1,1,0,0,0
323,328,1,1,1,1,1,1,1,0,0,0
324,329,3,3,3,2,3,3,3,0,2,0.4
325,330,1,1,1,1,4,4,4,3,3,3
326,331,3,2,3,3,2,3,3,0,4,0.8
327,332,2,2,3,3,3,3,3,1,1,1
328,333,4,4,4,4,4,4,4,0,0,0
329,334,1,1,1,1,1,1,1,0,0,0
330,335,1,1,1,1,2,1,2,1,3,1.4
331,336,3,2,2,2,2,2,2,-1,1,-0.6
332,337,1,1,2,2,2,2,1,0,2,0.4
333,338,3,3,2,2,3,3,2,-1,3,-0.2
334,339,4,4,4,4,4,4,4,0,0,0
335,340,1,1,1,1,1,1,1,0,0,0
336,341,1,1,1,1,1,1,1,0,0,0
337,342,3,3,3,3,4,3,3,0,2,0.4
338,343,2,2,1,1,2,2,2,0,2,0.4
339,344,3,3,2,2,1,1,1,-2,2,-1.2
340,345,1,1,1,1,1,1,1,0,0,0
341,346,1,1,2,2,2,1,2,1,3,1.4
342,347,2,3,3,3,2,2,2,0,2,0.4
343,348,3,4,4,4,4,4,3,0,2,0.4
344,349,3,3,3,3,2,3,3,0,2,0.4
345,350,2,2,3,2,2,3,4,2,4,2.4
346,351,3,3,3,2,2,2,1,-2,2,-1.2
347,352,1,1,1,1,1,1,1,0,0,0
348,353,1,2,2,2,3,3,2,1,3,1.4
349,354,2,3,3,3,2,3,3,1,3,1.4
350,355,1,2,1,2,2,2,2,1,3,1.4
351,356,1,1,1,1,1,1,1,0,0,0
352,357,3,3,3,2,3,3,3,0,2,0.4
353,358,1,1,1,1,1,1,1,0,0,0
354,359,3,3,3,3,3,3,3,0,0,0
355,360,4,3,4,4,3,4,4,0,4,0.8
356,361,2,2,2,2,2,2,3,1,1,1
357,362,3,3,2,3,3,4,4,1,3,1.4
358,363,2,2,1,1,2,1,1,-1,3,-0.2
359,364,1,3,3,3,3,3,3,2,2,2
360,365,3,3,4,3,2,2,2,-1,3,-0.2
361,366,2,2,2,2,2,2,2,0,0,0
362,367,4,4,3,3,3,3,3,-1,1,-0.6
363,368,2,2,3,3,3,3,3,1,1,1
364,369,1,1,1,1,1,1,1,0,0,0
365,370,3,3,3,3,3,3,4,1,1,1
366,371,3,2,3,3,3,4,3,0,4,0.8
367,372,3,3,3,4,3,4,4,1,3,1.4
368,373,2,2,1,2,3,3,2,0,4,0.8
369,374,1,1,1,1,1,1,1,0,0,0
370,375,1,1,1,1,1,1,1,0,0,0
371,376,2,2,3,2,3,3,3,1,3,1.4
372,377,1,1,2,2,1,2,1,0,4,0.8
373,378,1,1,2,2,3,2,1,0,4,0.8
374,379,1,1,1,1,1,1,2,1,1,1
375,380,2,3,3,3,3,3,3,1,1,1
376,381,1,1,1,1,1,1,1,0,0,0
377,382,1,1,1,1,2,2,1,0,2,0.4
378,383,1,1,1,1,1,1,1,0,0,0
379,384,2,2,2,3,4,4,4,2,2,2
380,385,3,3,3,3,3,3,3,0,0,0
381,386,2,3,2,2,1,1,2,0,4,0.8
382,387,3,3,3,4,3,3,3,0,2,0.4
383,388,2,1,2,2,2,2,1,-1,3,-0.2
384,389,4,4,4,4,4,4,4,0,0,0
385,390,3,2,3,3,3,3,3,0,2,0.4
386,391,3,3,3,1,1,1,2,-1,3,-0.2
387,392,2,1,1,1,1,2,2,0,2,0.4
388,393,1,1,1,1,1,1,1,0,0,0
389,394,3,3,3,3,3,4,4,1,1,1
390,395,4,3,3,3,4,4,4,0,2,0.4
391,396,3,3,3,4,2,3,2,-1,5,0.2
392,397,3,2,2,2,3,4,4,1,3,1.4
393,398,3,3,2,1,2,1,1,-2,4,-0.8
394,399,1,1,1,1,1,1,1,0,0,0
395,400,2,2,2,2,3,2,2,0,2,0.4
396,401,1,0,1,1,1,1,1,0,2,0.4
397,402,2,1,1,2,1,2,2,0,4,0.8
398,403,3,2,2,3,2,3,2,-1,5,0.2
399,404,2,2,2,2,2,2,2,0,0,0
400,405,2,2,2,1,1,1,1,-1,1,-0.6
401,406,3,3,2,3,3,3,4,1,3,1.4
402,407,1,1,1,1,1,1,1,0,0,0
403,408,1,1,1,1,1,1,1,0,0,0
404,409,1,1,1,1,1,1,1,0,0,0
405,410,1,2,2,2,2,2,2,1,1,1
406,411,3,2,2,2,2,2,3,0,2,0.4
407,412,2,2,2,3,3,3,3,1,1,1
408,413,2,2,2,3,3,2,3,1,3,1.4
409,414,1,2,1,1,1,2,1,0,4,0.8
410,415,2,4,4,3,4,4,4,2,4,2.4
411,416,1,1,1,1,1,1,1,0,0,0
412,417,1,1,1,1,1,1,1,0,0,0
413,418,2,2,3,3,3,2,4,2,4,2.4
414,419,1,2,1,1,1,1,1,0,2,0.4
415,420,2,2,3,2,2,2,2,0,2,0.4
416,421,4,4,3,4,4,4,4,0,2,0.4
417,422,1,1,1,1,1,1,1,0,0,0
418,423,2,2,2,1,1,1,2,0,2,0.4
419,424,3,3,3,3,3,3,3,0,0,0
420,425,2,2,2,2,2,3,3,1,1,1
421,426,1,2,1,2,2,1,1,0,4,0.8
422,427,1,1,1,1,1,1,2,1,1,1
423,428,3,2,3,2,2,2,3,0,4,0.8
424,429,2,2,3,1,2,3,1,-1,7,0.6
425,430,1,2,1,1,1,1,1,0,2,0.4
426,431,1,1,1,2,1,2,2,1,3,1.4
427,432,2,2,2,2,2,2,1,-1,1,-0.6
428,433,1,1,1,2,1,1,1,0,2,0.4
429,434,4,3,4,4,4,4,4,0,2,0.4
430,435,1,2,1,1,1,1,2,1,3,1.4
431,436,1,1,1,1,2,2,1,0,2,0.4
432,437,1,1,3,3,3,4,4,3,3,3
433,438,2,2,1,1,1,2,1,-1,3,-0.2
434,439,2,4,3,2,4,4,4,2,6,2.8
435,440,1,1,2,1,1,1,1,0,2,0.4
436,441,2,1,1,2,1,2,1,-1,5,0.2
437,442,4,4,4,4,4,4,4,0,0,0
438,443,1,1,1,1,1,1,1,0,0,0
439,444,2,2,2,2,2,3,3,1,1,1
440,445,2,2,1,1,1,1,1,-1,1,-0.6
441,446,4,4,4,4,4,4,4,0,0,0
442,447,3,2,2,1,1,2,2,-1,3,-0.2
443,448,1,1,1,1,1,1,1,0,0,0
444,449,3,3,3,3,3,3,4,1,1,1
445,450,2,3,2,2,2,2,1,-1,3,-0.2
446,451,2,2,3,3,3,3,3,1,1,1
447,452,1,3,4,4,4,4,4,3,3,3
448,453,1,2,2,2,1,2,2,1,3,1.4
449,454,2,2,2,3,2,2,2,0,2,0.4
450,455,2,2,3,3,2,1,2,0,4,0.8
451,456,4,4,4,4,4,4,4,0,0,0
452,457,4,4,4,4,4,4,4,0,0,0
453,458,3,3,2,3,3,3,3,0,2,0.4
454,459,3,3,3,3,3,3,3,0,0,0
455,461,1,1,2,2,2,2,2,1,1,1
456,462,1,1,1,2,2,2,2,1,1,1
457,463,1,2,2,2,1,1,1,0,2,0.4
458,464,2,4,4,3,3,3,3,1,3,1.4
459,465,3,3,3,3,3,3,4,1,1,1
460,466,2,1,2,2,2,1,2,0,4,0.8
461,467,3,3,3,3,3,3,3,0,0,0
462,468,2,2,3,3,3,3,3,1,1,1
463,469,2,1,2,2,1,2,2,0,4,0.8
464,470,3,4,3,3,2,3,4,1,5,1.8
465,471,1,1,2,1,1,1,1,0,2,0.4
466,472,2,2,2,3,3,3,3,1,1,1
467,473,3,3,3,3,3,3,3,0,0,0
468,474,4,4,4,4,3,4,3,-1,3,-0.2
469,475,2,2,3,2,3,2,3,1,5,1.8
470,476,4,4,4,4,4,4,4,0,0,0
471,477,1,1,1,1,2,1,1,0,2,0.4
472,478,2,2,1,2,2,1,1,-1,3,-0.2
473,479,2,3,3,3,3,3,3,1,1,1
474,480,2,2,1,1,2,2,1,-1,3,-0.2
475,481,2,2,2,2,2,2,1,-1,1,-0.6
476,482,2,3,2,3,2,2,3,1,5,1.8
477,483,1,1,1,1,1,2,2,1,1,1
478,484,1,1,1,1,1,1,1,0,0,0
479,485,1,1,1,1,2,1,2,1,3,1.4
480,486,1,2,2,2,2,1,2,1,3,1.4
481,487,3,3,4,3,3,4,4,1,3,1.4
482,488,4,4,4,4,4,4,4,0,0,0
483,489,2,2,2,3,2,3,3,1,3,1.4
484,490,2,2,2,2,3,2,2,0,2,0.4
485,491,4,4,4,3,3,3,3,-1,1,-0.6
486,492,2,2,2,1,1,1,1,-1,1,-0.6
487,493,3,4,4,4,4,4,4,1,1,1
488,494,2,2,2,2,2,2,2,0,0,0
489,495,2,2,3,2,3,3,3,1,3,1.4
490,496,3,3,3,3,3,3,3,0,0,0
491,497,3,3,4,3,4,4,4,1,3,1.4
492,498,2,1,2,2,3,3,3,1,3,1.4
493,499,1,1,1,2,2,2,3,2,2,2
494,500,4,4,3,3,3,4,4,0,2,0.4
495,501,1,1,1,1,1,1,1,0,0,0
496,502,3,3,4,4,4,4,4,1,1,1
497,503,4,4,4,4,4,4,4,0,0,0
498,504,1,1,1,1,2,2,1,0,2,0.4
499,505,3,3,2,3,3,3,4,1,3,1.4
500,506,2,1,1,2,2,3,2,0,4,0.8
501,507,3,3,2,2,2,2,2,-1,1,-0.6
502,508,3,2,2,1,1,2,1,-2,4,-0.8
503,509,2,2,2,2,2,2,2,0,0,0
504,510,2,2,2,2,2,2,2,0,0,0
505,511,2,3,3,4,3,3,2,0,4,0.8
506,512,2,2,2,2,4,3,4,2,4,2.4
507,513,1,1,1,1,1,1,1,0,0,0
508,514,3,3,3,2,3,3,3,0,2,0.4
509,515,1,2,2,2,2,1,2,1,3,1.4
510,516,3,4,4,4,4,4,4,1,1,1
511,517,2,2,2,2,2,2,1,-1,1,-0.6
512,518,1,2,3,2,2,2,2,1,3,1.4
513,519,1,1,1,2,2,2,2,1,1,1
514,520,1,1,1,1,1,1,1,0,0,0
515,521,3,2,3,4,4,4,4,1,3,1.4
516,522,1,2,3,3,2,2,2,1,3,1.4
517,523,4,4,4,2,4,4,4,0,4,0.8
518,524,4,4,4,4,4,4,3,-1,1,-0.6
519,525,2,2,2,2,3,3,2,0,2,0.4
520,526,2,2,3,3,4,4,4,2,2,2
521,527,1,2,4,4,3,4,4,3,5,3.4
522,528,1,1,2,1,2,2,1,0,4,0.8
523,529,2,2,2,2,3,3,3,1,1,1
524,530,1,1,1,1,1,2,2,1,1,1
525,531,1,2,2,1,1,1,1,0,2,0.4
