,고객번호,편의품_증감율,편의품_변동율,편_(증감*0.8)+(변동*0.2),편의품CV,선매품_증감율,선매품_변동율,선_(증감*0.8)+(변동*0.2),선매품CV,전문품_증감율,전문품_변동율,전_(증감*0.8)+(변동*0.2),전문품CV,기타_증감율,기타_변동율,기_(증감*0.8)+(변동*0.2),기타CV
21,23,-2,8,0.0,0.5555663759054542,0,0,0.0,0.4021822006047968,2,10,3.6,2.3995775856666124,0,2,0.4,0.4326146305495902
22,24,1,3,1.4,0.271845746566807,1,3,1.4,0.3355356297348739,0,6,1.2,2.6457513110645907,3,5,3.4,0.6612256404956469
23,25,0,0,0.0,0.24065145634574261,0,2,0.4,0.9498162541445961,-2,10,0.4,1.2586940308069734,0,2,0.4,0.7896492580432012
24,26,0,8,1.6,0.3359696675312772,0,0,0.0,0.8116809908712893,-3,3,-1.8,0.6966105794966388,-1,5,0.2,0.43419224062913175
25,27,3,5,3.4,0.4565605065749078,0,2,0.4,0.5872672000196787,0,6,1.2,0.9020080301252853,1,7,2.2,0.9862853242399052
26,28,1,5,1.8,0.2543307734495333,2,4,2.4,1.6123053708667667,0,0,0.0,0.0,0,4,0.8,1.9807870808682
27,29,0,2,0.4,0.3220993449453201,0,0,0.0,0.12223984493714833,0,8,1.6,1.5920297657355482,1,9,2.6,0.6743960332316388
28,30,0,0,0.0,0.18351482295549748,0,0,0.0,0.2615635624155787,0,12,2.4,1.1575699520501135,3,5,3.4,0.7833808278216878
29,31,2,4,2.4,0.2187385137703529,1,3,1.4,0.5326591527360246,0,0,0.0,0.0,2,4,2.4,0.49027636902046906
30,32,1,1,1.0,0.30531176268487964,1,5,1.8,0.9298738929732641,2,6,2.8,1.8949567349222791,1,5,1.8,0.9096093338488467
31,33,1,3,1.4,0.19549061639372498,0,4,0.8,1.331622074925989,0,0,0.0,0.0,-1,5,0.2,1.7659672132591897
32,34,-2,6,-0.4,0.42495298824868893,1,3,1.4,0.8357487546010571,0,0,0.0,0.0,-1,5,0.2,1.312355176260697
33,35,1,5,1.8,0.5779358132602789,1,3,1.4,0.3041056326256434,0,8,1.6,2.615206072065112,-1,3,-0.2,0.5901252555432382
34,36,1,7,2.2,0.4497269671358861,0,4,0.8,0.49603904484281336,0,0,0.0,0.0,4,4,4.0,0.6393560946110947
35,37,3,7,3.8,0.339882782806048,1,1,1.0,0.7201074994764682,0,6,1.2,2.6457513110645907,2,2,2.0,0.6460748276987296
36,38,0,0,0.0,0.1860263259878446,1,1,1.0,0.46253261643587956,2,6,2.8,2.1562705469377357,-1,1,-0.6,0.3609650071622649
37,39,1,5,1.8,0.31914522121868516,0,0,0.0,0.8672883169775462,0,6,1.2,2.6457513110645903,2,6,2.8,0.5717219459817403
38,40,0,2,0.4,0.2623253375545932,1,5,1.8,0.5293967960451449,0,6,1.2,2.6457513110645907,1,9,2.6,1.183143391363395
39,41,2,4,2.4,0.41733651658959536,0,4,0.8,0.7173273483412762,0,6,1.2,2.6457513110645907,0,0,0.0,0.29414575691365513
40,42,2,4,2.4,0.2405923541194149,0,2,0.4,0.6552960370072034,0,4,0.8,2.6457513110645907,2,8,3.2,1.56713160484378
41,43,0,2,0.4,0.282043207222349,-1,7,0.6,2.1116451882092235,0,0,0.0,0.0,0,2,0.4,2.6457513110645907
42,44,1,5,1.8,0.40014588719528704,-1,3,-0.2,0.8152659115407552,1,3,1.4,1.937113058178363,2,10,3.6,0.8545316192639781
43,45,0,4,0.8,0.2766547959451148,0,2,0.4,0.6537972670958195,3,9,4.2,1.7220419079848148,3,3,3.0,0.8870409809174107
44,46,2,6,2.8,0.32426718417341865,1,3,1.4,0.6684811121748884,-1,3,-0.2,1.2632158625841212,1,1,1.0,0.5308783330399014
45,47,-2,4,-0.8,0.38072891713598217,-1,1,-0.6,0.9921140219560296,0,6,1.2,2.6457513110645907,0,8,1.6,0.8095552721333675
46,48,1,5,1.8,0.3287099442507698,0,0,0.0,0.40669995239192636,3,9,4.2,1.2561970108621112,1,9,2.6,1.7978828548593142
47,49,0,2,0.4,0.3155908372205282,0,0,0.0,0.6979659459898535,1,9,2.6,0.8895857858329195,0,0,0.0,0.29786845110274646
48,50,1,5,1.8,0.1758134535026061,0,0,0.0,0.2980854129089514,-3,9,-0.6,1.7085390437048402,0,6,1.2,0.5176369450218506
49,51,-1,7,0.6,0.28363384072118253,-1,5,0.2,0.7846594601345701,0,0,0.0,0.0,1,7,2.2,1.8415051565176206
50,52,2,4,2.4,0.5172101857968291,-1,1,-0.6,0.5893856949222447,3,3,3.0,1.0259431755116892,0,0,0.0,0.3406479702539059
51,53,1,3,1.4,0.2488929381864266,0,4,0.8,1.0224510931525252,0,18,3.6,2.378927772384669,4,6,4.4,0.7651117822522128
52,54,-1,1,-0.6,0.2383898352508748,-1,1,-0.6,0.40429530822953713,0,0,0.0,0.0,0,2,0.4,0.5287521053514165
53,55,1,3,1.4,0.20924872115275067,0,6,1.2,1.639605492245041,0,0,0.0,0.0,2,10,3.6,1.939322251222777
54,56,-1,3,-0.2,0.376500980588168,-1,3,-0.2,0.9217483342530476,-1,13,1.8,1.2146675715345514,0,0,0.0,0.2694798213743084
55,57,0,6,1.2,0.37914209651853564,0,4,0.8,2.212797547936733,0,4,0.8,2.6457513110645903,0,6,1.2,2.6457513110645903
56,58,-1,5,0.2,0.27602523012654556,0,2,0.4,0.3977601660037127,-1,1,-0.6,0.7233448668630552,0,2,0.4,0.28389916430005135
57,59,1,1,1.0,0.21773421036996385,0,2,0.4,0.45941248813241314,0,12,2.4,1.2494006777902074,-4,6,-2.0,0.6197166045547147
58,60,1,3,1.4,0.27746280341972573,0,0,0.0,0.46075792619026174,0,4,0.8,2.6457513110645907,2,2,2.0,0.7108371100363549
59,61,0,2,0.4,0.25914935881452067,-1,1,-0.6,0.6347378605347911,0,6,1.2,0.9607434130695954,-2,8,0.0,1.8341865764727843
60,62,1,5,1.8,0.29041113888315656,1,3,1.4,0.5792799198887036,2,2,2.0,1.7090982574539066,0,0,0.0,0.2763235494788643
61,63,0,4,0.8,0.16299708726845408,2,4,2.4,0.8250534986144314,0,0,0.0,0.0,-2,8,0.0,1.1241701855342754
62,64,0,2,0.4,0.4825042969865694,0,4,0.8,1.0109796144629384,0,0,0.0,0.0,0,8,1.6,1.497216302661127
63,65,-1,7,0.6,0.34901055453298063,-1,5,0.2,0.8684641568716054,0,10,2.0,1.9144370960222705,1,5,1.8,0.9977150155253973
64,66,1,1,1.0,0.12812528874257448,-1,1,-0.6,0.8318173533362431,0,0,0.0,0.0,2,2,2.0,0.9154934089345605
65,67,2,4,2.4,0.26051218164184,1,7,2.2,1.0357175542225583,0,0,0.0,0.0,0,2,0.4,1.2800389136835006
66,68,1,3,1.4,0.33374857153091453,1,3,1.4,0.6084737564068724,0,0,0.0,0.6754175327653694,0,0,0.0,0.3002637974612514
67,69,1,1,1.0,0.20415901859124908,0,2,0.4,1.1520860870812282,0,0,0.0,0.0,0,0,0.0,0.0
68,70,0,2,0.4,0.6786063085227986,2,6,2.8,1.4713266222875456,0,0,0.0,0.6549037081576072,-1,3,-0.2,0.6798969860737795
69,71,1,1,1.0,0.18464715604423707,1,5,1.8,1.5558212661610067,0,0,0.0,0.0,1,5,1.8,1.0747828396928354
70,72,1,3,1.4,0.2899745840708543,0,4,0.8,0.6466476180475964,0,0,0.0,0.0,2,10,3.6,1.7771293991890924
71,73,-1,3,-0.2,0.6798706809788,0,0,0.0,0.43169894530916764,0,0,0.0,0.40872433695701593,4,12,5.6,1.141264857001484
72,74,0,6,1.2,0.29350754663184975,-2,2,-1.2,0.8076378617023757,-3,9,-0.6,1.445303280399213,-1,3,-0.2,0.37409775074529406
73,75,0,2,0.4,0.16123380417188365,0,2,0.4,0.49998598379016773,0,0,0.0,0.0,1,11,3.0,1.040770568022126
74,76,-1,3,-0.2,0.20139507492387748,1,5,1.8,0.45852294444081443,0,12,2.4,1.761207934168373,2,2,2.0,1.5160755273516993
75,77,0,2,0.4,0.19372536246033145,0,4,0.8,0.13353318294960584,1,11,3.0,1.7883307356829836,0,2,0.4,0.6160058977991117
76,78,1,5,1.8,0.3811073646768609,0,0,0.0,0.6227349536892501,0,0,0.0,0.6497925142079324,0,2,0.4,0.5045344831726712
77,79,1,5,1.8,0.2833843871980167,0,6,1.2,0.4511813843589172,0,0,0.0,0.0,0,4,0.8,0.4797660187251146
78,80,1,5,1.8,0.19665964007687992,0,4,0.8,1.0200195452939917,0,0,0.0,0.0,0,2,0.4,0.5780944575460717
79,81,1,3,1.4,0.23994123247651986,-1,1,-0.6,0.4501161772849481,1,7,2.2,1.6240626183142304,0,0,0.0,0.4478917253275143
80,82,0,4,0.8,0.21655972965941953,0,0,0.0,0.7725949283125232,1,13,3.4,0.9391724775214855,1,3,1.4,0.46845887116551915
81,83,1,3,1.4,0.17288024809660266,0,0,0.0,0.6695598270980782,0,6,1.2,2.645751311064591,0,2,0.4,0.6854054737261291
82,84,-1,5,0.2,0.555933680342307,-1,5,0.2,1.262330375888653,2,4,2.4,2.591570415728368,-1,3,-0.2,0.6173395998234473
83,85,3,5,3.4,0.5914886380220541,1,1,1.0,0.4824820252128378,0,0,0.0,0.0,4,12,5.6,1.7203258869780351
84,86,0,0,0.0,0.24911686019659654,1,5,1.8,0.3998988840605632,0,4,0.8,2.6457513110645907,2,6,2.8,1.0065446925699715
85,87,0,8,1.6,0.6023523661649058,-1,5,0.2,1.1423687182798392,4,4,4.0,2.645751311064591,-1,3,-0.2,0.30647773255943767
86,88,0,4,0.8,0.2748563128077586,0,2,0.4,0.43690438712480695,-3,3,-1.8,2.6457513110645903,2,2,2.0,0.6042548518265497
87,89,2,6,2.8,0.2929116865469237,0,4,0.8,0.8497499611652582,0,4,0.8,2.6457513110645907,0,6,1.2,0.6459373033398429
88,90,3,7,3.8,0.547057132868513,1,3,1.4,1.2229092491666802,0,6,1.2,1.839057874290332,0,2,0.4,0.23569658596209178
89,91,0,0,0.0,0.08672708529451979,1,3,1.4,0.5217269261409944,0,0,0.0,0.0,3,5,3.4,0.6255165444122751
90,92,0,0,0.0,0.2726337134202685,0,0,0.0,0.32804783392404113,1,5,1.8,2.3450043923376995,1,5,1.8,0.7647123625417219
91,93,0,14,2.8,0.7091900739224957,0,0,0.0,0.3754956101824051,0,14,2.8,1.3123027868660806,0,4,0.8,0.5730031981584303
92,94,3,5,3.4,0.6060990812113058,3,5,3.4,0.8913670842908168,4,10,5.2,2.003144000206051,2,12,4.0,1.368084750565794
93,95,1,3,1.4,0.2310718750737242,0,6,1.2,0.7863906082007277,0,4,0.8,2.6457513110645907,0,4,0.8,0.7409450767518007
94,96,1,3,1.4,0.4532407779661219,0,4,0.8,0.9686761512617019,0,6,1.2,2.6457513110645907,2,10,3.6,0.8667765010550088
95,97,0,4,0.8,1.1310102525988064,0,0,0.0,0.2621555222755725,-3,11,-0.2,2.2264003520393563,0,4,0.8,1.0004043024951812
96,98,-1,3,-0.2,0.2805190735792722,1,5,1.8,0.882581842036136,0,12,2.4,1.3683492204530172,1,5,1.8,1.09487246383778
97,99,1,7,2.2,0.30462176991757683,0,0,0.0,0.7363518307017908,0,0,0.0,0.5373041874905281,0,0,0.0,0.25263665505592403
98,100,2,6,2.8,0.5865012554104141,1,3,1.4,0.9774339896373698,0,12,2.4,1.5381167043849986,1,11,3.0,1.0710747878008904
99,101,0,4,0.8,0.25654630882295176,-2,6,-0.4,1.3283094286113657,0,0,0.0,0.0,1,7,2.2,0.8439753642091933
100,102,0,0,0.0,0.20027929250928714,-1,3,-0.2,0.5587004754089555,-1,3,-0.2,1.280668396333837,0,2,0.4,1.0729008825457125
101,103,1,3,1.4,0.2600603793416598,0,6,1.2,1.1839195623265395,0,0,0.0,0.0,-2,8,0.0,1.7069223197959358
102,104,0,4,0.8,0.28867266377981365,0,6,1.2,2.024111754977726,0,0,0.0,0.0,2,6,2.8,1.4871673032288968
103,105,0,2,0.4,0.22569474147586155,2,4,2.4,1.0447661712934433,2,2,2.0,2.6457513110645907,4,8,4.8,1.149617778795667
104,106,1,3,1.4,0.27664015477177156,0,2,0.4,0.406886934316229,0,12,2.4,2.372605809009189,0,6,1.2,0.9874129981245356
105,107,2,4,2.4,0.3603122014629761,0,0,0.0,0.3756325388259175,3,3,3.0,2.6457513110645907,-4,6,-2.0,0.5435328755543666
106,108,3,5,3.4,0.3840769444634186,0,2,0.4,0.39119281991971355,0,4,0.8,2.6457513110645907,0,10,2.0,0.8510299852260478
107,109,-2,2,-1.2,0.3503591764206843,0,6,1.2,0.9671986949714663,0,0,0.0,0.0,-3,9,-0.6,1.8104243710504762
108,110,0,2,0.4,0.22325369747189036,0,2,0.4,0.4476527570964585,0,0,0.0,0.0,0,2,0.4,0.30603110422688146
109,111,0,4,0.8,0.29695795988265145,0,2,0.4,1.2202310377851322,0,0,0.0,0.0,0,2,0.4,2.6457513110645907
110,112,3,7,3.8,0.7802396536091556,0,0,0.0,0.4552697398035301,0,0,0.0,0.0,0,8,1.6,1.0206579779434013
111,113,0,0,0.0,0.165351796285606,0,0,0.0,0.3764709331389285,3,5,3.4,0.8472857451221785,0,2,0.4,0.39987736598353524
112,114,-1,5,0.2,0.2917962679686783,0,6,1.2,0.6729720929652113,-3,9,-0.6,1.7851306189448013,0,4,0.8,0.7885310563097541
113,115,0,6,1.2,0.3368505288146647,0,2,0.4,0.8109314164138968,3,13,5.0,1.0343758823197609,0,4,0.8,0.7331239277795698
114,116,1,5,1.8,0.31127579239464587,-1,5,0.2,0.9571145896776568,0,0,0.0,0.0,0,0,0.0,0.0
115,117,0,8,1.6,0.5056570163709105,-2,6,-0.4,1.0563356750241015,0,12,2.4,1.3874873631830114,-1,3,-0.2,0.5638224890511867
116,118,1,5,1.8,0.3984413315381339,0,0,0.0,0.45240412621289544,0,0,0.0,0.5185290336241727,0,6,1.2,0.5902771349562962
117,119,0,4,0.8,0.24128153006576036,1,3,1.4,0.5522749998928352,3,5,3.4,1.1653474527033054,-1,5,0.2,0.6000135295246946
118,120,0,2,0.4,0.35238846760674,0,0,0.0,0.21532017411950446,3,9,4.2,0.9501257985880663,1,9,2.6,0.800314508401955
119,121,2,4,2.4,0.4086583381397454,0,8,1.6,0.9638590445797824,-3,7,-1.0,2.3759321714421704,0,0,0.0,0.20397855245369567
120,122,0,4,0.8,0.2630303157695903,1,3,1.4,0.6130504739081538,0,6,1.2,2.64575131106459,0,0,0.0,0.4408975794391393
121,123,-1,7,0.6,0.2538229760165342,1,5,1.8,0.6999181212359432,0,0,0.0,0.0,2,12,4.0,1.7375551726215455
122,124,0,0,0.0,0.21898958876738733,-1,5,0.2,0.642759209785979,0,12,2.4,2.28217019063559,-2,2,-1.2,0.462137794063647
123,125,-1,5,0.2,0.28047553125987246,-2,4,-0.8,0.7657525239064736,-3,15,0.6,1.6551260504975855,-1,3,-0.2,0.45811036432233604
124,126,1,3,1.4,0.37431428287396945,-1,5,0.2,0.9696069811415612,0,6,1.2,1.6134997831805695,-3,7,-1.0,0.7989717338419349
125,127,0,0,0.0,0.3092485933112844,-1,7,0.6,0.9913871588854442,0,4,0.8,2.6457513110645903,1,1,1.0,0.40987216870928184
126,128,1,7,2.2,0.810511587168944,0,2,0.4,0.7673385918894269,0,0,0.0,0.0,3,3,3.0,1.8892163023579567
127,129,2,2,2.0,0.285590545780337,0,4,0.8,1.2667708360891148,0,0,0.0,0.0,1,3,1.4,1.9206827873706092
128,130,-2,2,-1.2,0.23271179718773968,-1,1,-0.6,0.46062214918909244,-3,9,-0.6,1.6577466278572865,0,10,2.0,2.1260506582432104
129,131,0,2,0.4,0.3725387054041208,0,2,0.4,0.520024659944501,2,10,3.6,0.8116292566008413,0,6,1.2,0.6500967295052504
130,132,-1,5,0.2,0.5308271135923209,0,4,0.8,0.8131525936489988,0,0,0.0,0.0,0,6,1.2,1.6737081544516452
131,133,0,4,0.8,0.2523781701217691,2,2,2.0,0.7628564652100924,3,7,3.8,2.239279129778509,0,4,0.8,0.5017373858509319
132,134,-1,7,0.6,0.8596484322039765,0,0,0.0,0.1739199485745835,1,1,1.0,0.9713063585156945,2,6,2.8,0.8561809251402536
133,135,0,8,1.6,0.3365328108205285,2,8,3.2,1.0659183985468648,0,0,0.0,0.0,0,6,1.2,1.9551957983534387
134,136,0,2,0.4,0.5382473034861499,3,9,4.2,0.8382135325806851,0,0,0.0,0.0,2,4,2.4,0.5249564367644194
135,137,-2,8,0.0,0.4083807335926296,0,2,0.4,0.39178376969906087,1,5,1.8,0.8729619399399459,4,8,4.8,0.7450081497488621
136,138,0,6,1.2,0.4728175077357887,-1,1,-0.6,0.30519838869278043,-3,15,0.6,1.7303599466106054,0,4,0.8,0.506124237699107
137,139,1,3,1.4,0.30203613061258755,1,3,1.4,0.6115353766120641,-3,3,-1.8,1.4808958948695503,0,2,0.4,0.4891009447559008
138,140,0,0,0.0,0.43583306070045047,0,0,0.0,0.38004105023078544,0,0,0.0,0.593381142323245,-1,5,0.2,1.4362668531280836
139,141,2,2,2.0,0.3548906967281302,-1,1,-0.6,0.7463965112603862,0,0,0.0,0.0,0,2,0.4,2.6457513110645907
140,143,2,2,2.0,0.26586650490207187,0,2,0.4,0.8257470541217892,0,0,0.0,0.0,3,5,3.4,1.622702666326908
141,144,0,0,0.0,0.5133998645352573,4,10,5.2,1.3819195466394176,0,6,1.2,2.2741859526985966,2,10,3.6,1.954104209858797
142,145,1,3,1.4,0.2959890841191212,0,0,0.0,0.8850105045128874,1,7,2.2,1.7592982628525191,0,6,1.2,0.8693789208567522
143,146,0,6,1.2,1.4954320967731856,-1,1,-0.6,0.6431052195617962,0,0,0.0,0.2565506894811593,0,0,0.0,0.33173983078097746
144,147,0,0,0.0,0.27781285649503557,-1,1,-0.6,0.40784442510942,-1,3,-0.2,0.8708571398820872,0,0,0.0,0.3858857412404114
145,148,1,3,1.4,0.2324892426837895,0,2,0.4,2.64575131106459,0,0,0.0,0.0,0,0,0.0,0.0
146,149,-1,7,0.6,0.2859866297108321,0,6,1.2,0.6688674573901316,0,10,2.0,2.220312177268075,4,4,4.0,0.864444901849477
147,150,-1,5,0.2,0.3842824863040565,0,6,1.2,0.9361513148304124,-2,8,0.0,2.372830834520364,0,6,1.2,0.5024288678675077
148,151,0,4,0.8,0.3702100493321767,-1,3,-0.2,0.8192319240787184,4,12,5.6,1.7933134225531915,0,2,0.4,0.5034183411973802
149,152,-2,2,-1.2,0.5929603876940017,0,2,0.4,0.4396979345005874,0,4,0.8,2.6457513110645903,1,3,1.4,0.32846381795622687
150,153,0,4,0.8,0.24285412149679741,-1,11,1.4,1.71942070728237,0,0,0.0,0.0,-3,3,-1.8,0.984390297461132
151,154,0,0,0.0,0.5240863630653243,0,4,0.8,0.8438084737815985,0,8,1.6,1.427618211803195,0,0,0.0,0.2878933414894537
152,155,1,1,1.0,0.9093606934961985,0,0,0.0,0.5232723580333533,3,7,3.8,2.3047966362412664,0,8,1.6,0.6737183428292294
153,156,0,0,0.0,0.39824996096824455,0,0,0.0,0.5833375438976593,0,10,2.0,1.6481027483295028,-1,9,1.0,1.7082512430219852
154,157,0,2,0.4,0.1215585639360555,1,3,1.4,0.578096344425542,-3,3,-1.8,2.6457513110645907,2,6,2.8,0.7639017942935653
155,158,1,5,1.8,0.48843741138131075,2,4,2.4,1.158170577377283,0,0,0.0,0.0,0,4,0.8,1.5629860251905874
156,159,0,6,1.2,1.4274722517936644,0,0,0.0,0.3989645488985253,0,14,2.8,2.095082736627926,1,9,2.6,1.1890700089140585
157,160,0,4,0.8,0.2633375800491808,0,2,0.4,0.6611534563520324,0,10,2.0,2.108467166207556,3,5,3.4,0.6516141271167779
158,161,-2,2,-1.2,0.42931058471240013,0,0,0.0,0.911338571551156,-1,5,0.2,0.6936030040405711,0,2,0.4,0.9187083084510997
159,162,0,8,1.6,0.42020535529998015,0,0,0.0,0.44952208089220574,0,6,1.2,2.5325110648171814,-1,5,0.2,1.326536550240749
160,163,1,1,1.0,0.19922777955660734,1,7,2.2,1.287994987956989,0,0,0.0,0.0,-2,6,-0.4,1.5542369030394554
161,164,3,5,3.4,0.6233561933450773,0,2,0.4,0.5353768944255849,0,2,0.4,1.0156313959649605,0,0,0.0,0.6352518187184365
162,165,0,2,0.4,0.9547172643270511,0,2,0.4,0.6776894554877794,3,13,5.0,1.7866717333116537,-1,9,1.0,0.9352851934754972
163,166,1,7,2.2,0.48385974281428407,1,5,1.8,0.27450729466488366,0,8,1.6,1.902524289998733,2,6,2.8,0.9264974892362372
164,167,2,6,2.8,0.3495720827971985,0,4,0.8,0.5819996846810075,3,11,4.6,2.144059073218023,0,8,1.6,1.5341716175808202
165,168,1,7,2.2,0.5615396941739715,0,0,0.0,0.42080244996199334,3,9,4.2,1.4140065484991053,1,7,2.2,1.153184067426057
166,169,2,2,2.0,0.6754389303736343,-1,3,-0.2,0.9533537272057708,1,5,1.8,1.896089338568872,3,7,3.8,1.0809314871710296
167,170,1,5,1.8,0.2901629249115072,1,5,1.8,0.7451275007824111,0,0,0.0,0.0,3,3,3.0,1.391828736488424
168,171,1,7,2.2,1.4103105180780626,1,3,1.4,0.7117463462785254,3,3,3.0,2.6457513110645907,1,3,1.4,0.5887111937887031
169,172,1,1,1.0,0.2287032218119937,1,3,1.4,0.40442045428631507,0,0,0.0,0.0,0,0,0.0,0.5336980869069685
170,173,0,4,0.8,0.13220727317890155,0,8,1.6,1.4284043559475512,0,4,0.8,2.6457513110645903,0,6,1.2,1.144578979287786
171,175,0,0,0.0,0.13554367990216232,1,1,1.0,0.36382267072611785,3,9,4.2,1.059570576626652,1,1,1.0,0.5314282195642468
172,176,0,2,0.4,0.2074707129629642,0,6,1.2,1.3352476091760237,0,0,0.0,0.0,0,8,1.6,1.9412177352218158
173,177,-1,1,-0.6,0.4239428150150216,0,0,0.0,0.37056296264414684,0,4,0.8,2.645751311064591,-1,3,-0.2,0.5168246328887921
174,178,1,3,1.4,0.25370358701689233,-1,7,0.6,0.9609470830465525,0,0,0.0,0.0,0,12,2.4,0.9799005528203705
175,179,0,2,0.4,0.1679192366915019,0,0,0.0,0.2603869816226909,3,7,3.8,2.0077439704190034,1,7,2.2,1.0943746587233962
176,180,-1,5,0.2,0.33340445318776757,0,2,0.4,0.5583994027351344,0,8,1.6,1.2869802198311784,1,1,1.0,0.45683336702309446
177,181,1,1,1.0,0.225357192290559,0,0,0.0,0.5303292231936347,0,6,1.2,2.6457513110645903,0,2,0.4,0.4356399598672012
178,182,0,0,0.0,0.17958116780679523,0,0,0.0,0.33802859039866856,3,9,4.2,2.0945801212555857,0,2,0.4,0.4500360770344365
179,183,0,4,0.8,0.15014428823967896,-2,4,-0.8,0.7094715133670537,0,0,0.0,0.0,2,4,2.4,1.5711854722446676
180,184,0,8,1.6,0.6929227792493955,-2,6,-0.4,0.9529471982199751,0,12,2.4,1.8194898240711765,3,7,3.8,0.525257994082835
181,185,2,4,2.4,0.5130291135069472,1,3,1.4,0.7146014274604021,0,4,0.8,2.6457513110645903,2,2,2.0,0.736471979097437
182,186,1,3,1.4,0.3250850391581908,0,0,0.0,0.7740975840942089,0,12,2.4,2.5341624805989227,2,4,2.4,0.6349963251008924
183,187,2,6,2.8,0.6048983365919076,-1,3,-0.2,0.6723208339601809,-3,3,-1.8,2.645751311064591,-2,12,0.8,1.2466263467119878
184,188,0,4,0.8,0.23877576529121616,-1,7,0.6,1.0587026097933339,0,0,0.0,0.0,0,2,0.4,2.645751311064591
185,189,1,1,1.0,0.34757800967224417,0,0,0.0,0.9080066060145077,1,3,1.4,1.0471418055177133,1,7,2.2,1.3531212579602145
186,190,-1,5,0.2,0.23365683628633996,0,4,0.8,0.6665552166038704,-3,9,-0.6,2.240953953367078,4,12,5.6,1.4890012306480076
187,191,0,6,1.2,0.5691177857727041,0,0,0.0,0.3666487107868232,1,7,2.2,1.4931701800550161,4,12,5.6,1.8705404089455473
188,192,3,7,3.8,0.50055556754601,2,2,2.0,0.7929458566034945,0,8,1.6,1.2149656600351884,4,6,4.4,0.7034476799162737
189,193,1,3,1.4,0.2001919251558233,1,3,1.4,0.588905838646684,0,0,0.0,0.0,0,2,0.4,0.35189760028626244
190,194,2,6,2.8,0.2269043432437395,-1,5,0.2,0.19215412400007953,2,2,2.0,2.6457513110645907,2,6,2.8,1.1060787203620572
191,195,2,2,2.0,0.7342062152383353,0,0,0.0,0.4599253858846503,0,0,0.0,0.0,0,6,1.2,0.9196499879755496
