,°í°´¹øÈ£,¼±_ÃÑ±¸¸Å¾×1,¼±_ÃÑ±¸¸Å¾×2,¼±_ÃÑ±¸¸Å¾×3,¼±_ÃÑ±¸¸Å¾×4,¼±_ÃÑ±¸¸Å¾×5,¼±_ÃÑ±¸¸Å¾×6,¼±_ÃÑ±¸¸Å¾×7,¼±_ÃÑ±¸¸Å¾×8,¼±_ÃÑ±¸¸ÅÈ½¼ö1,¼±_ÃÑ±¸¸ÅÈ½¼ö2,¼±_ÃÑ±¸¸ÅÈ½¼ö3,¼±_ÃÑ±¸¸ÅÈ½¼ö4,¼±_ÃÑ±¸¸ÅÈ½¼ö5,¼±_ÃÑ±¸¸ÅÈ½¼ö6,¼±_ÃÑ±¸¸ÅÈ½¼ö7,¼±_ÃÑ±¸¸ÅÈ½¼ö8
25,27,11322523.0,4912151.0,4114243.0,2500027.0,6078597.0,4920273.0,13063252.0,2062867.0,20.0,21.0,13.0,15.0,16.0,19.0,45.0,12.0
26,28,22534.0,297839.0,20337.0,14544.0,61490.0,163961.0,1055558.0,204825.0,6.0,9.0,1.0,3.0,1.0,4.0,2.0,2.0
27,29,9484070.0,9823873.0,8882929.0,7044475.0,7789509.0,9979287.0,9012208.0,10344818.0,51.0,57.0,52.0,46.0,44.0,89.0,56.0,62.0
28,30,6065000.0,8665622.0,9976839.0,11820835.0,8148249.0,13982798.0,10694127.0,11202808.0,27.0,28.0,24.0,31.0,22.0,35.0,28.0,28.0
29,31,506109.0,409974.0,1056034.0,1438801.0,853028.0,313981.0,657852.0,720578.0,12.0,10.0,18.0,24.0,12.0,11.0,17.0,19.0
30,32,69081.0,1099359.0,302336.0,404042.0,278427.0,41608.0,474706.0,423861.0,4.0,9.0,8.0,5.0,6.0,3.0,5.0,7.0
31,33,39854.0,172951.0,7344.0,35295.0,0.0,55547.0,4843.0,140874.0,3.0,6.0,2.0,3.0,0.0,5.0,2.0,5.0
32,34,243654.0,1419191.0,180769.0,301525.0,180022.0,1198180.0,933645.0,32223.0,7.0,16.0,6.0,8.0,6.0,6.0,8.0,1.0
33,35,2180047.0,3077384.0,2102708.0,1857157.0,3727172.0,2993062.0,4172338.0,4485076.0,11.0,20.0,18.0,15.0,17.0,19.0,28.0,27.0
34,36,3321886.0,6995510.0,4548486.0,4688525.0,547285.0,6619901.0,3819451.0,1057824.0,5.0,21.0,24.0,19.0,3.0,15.0,20.0,14.0
35,37,1412858.0,1624703.0,6653519.0,13569213.0,5040198.0,9323735.0,4434808.0,4865390.0,6.0,10.0,24.0,32.0,10.0,26.0,16.0,17.0
36,38,517907.0,336736.0,607836.0,228625.0,488283.0,451669.0,977602.0,1033912.0,18.0,14.0,22.0,16.0,15.0,13.0,28.0,19.0
37,39,68812646.0,42845149.0,6877381.0,15048898.0,5138796.0,30937564.0,15731391.0,14500289.0,22.0,18.0,9.0,14.0,9.0,13.0,8.0,15.0
38,40,1660597.0,3447967.0,1697255.0,1313271.0,3613023.0,2563482.0,5574607.0,1630994.0,20.0,19.0,16.0,24.0,27.0,31.0,39.0,24.0
39,41,339400.0,1128563.0,189017.0,1239976.0,1177827.0,393549.0,238761.0,1302483.0,5.0,10.0,1.0,7.0,3.0,4.0,4.0,6.0
40,42,444301.0,572935.0,162466.0,22792.0,590735.0,249427.0,247432.0,970747.0,6.0,10.0,5.0,2.0,13.0,10.0,4.0,13.0
41,43,204486.0,74063.0,0.0,1375146.0,8900.0,6370.0,8559.0,96917.0,4.0,5.0,0.0,3.0,2.0,2.0,1.0,3.0
42,44,1394613.0,1409951.0,1249452.0,3774187.0,5431590.0,1778030.0,258639.0,1659193.0,4.0,17.0,17.0,16.0,26.0,20.0,8.0,18.0
43,45,25259827.0,1252872.0,15483133.0,39064757.0,27010398.0,52098945.0,17319823.0,34243808.0,33.0,10.0,34.0,50.0,38.0,52.0,21.0,39.0
44,46,2627968.0,2281744.0,604108.0,4007833.0,3082262.0,5100750.0,8403133.0,20275534.0,11.0,6.0,3.0,15.0,8.0,20.0,18.0,34.0
45,47,754278.0,1050204.0,2633811.0,390305.0,436199.0,238918.0,395081.0,443650.0,11.0,20.0,14.0,13.0,8.0,6.0,5.0,16.0
46,48,5434997.0,6694447.0,14915266.0,5634055.0,9286944.0,9970622.0,6415494.0,8368457.0,34.0,25.0,27.0,22.0,26.0,31.0,22.0,22.0
47,49,6511426.0,7233978.0,3791953.0,3309707.0,11705867.0,6819649.0,20624156.0,5094939.0,20.0,19.0,14.0,17.0,28.0,28.0,16.0,17.0
48,50,1460188.0,2363172.0,1971008.0,1764095.0,1111652.0,1327375.0,1090101.0,1236736.0,22.0,35.0,17.0,31.0,21.0,14.0,17.0,15.0
49,51,2109814.0,1358888.0,652576.0,3184406.0,559785.0,938480.0,317709.0,1361972.0,25.0,23.0,15.0,19.0,14.0,18.0,6.0,27.0
50,52,6114125.0,3819807.0,1948761.0,2224741.0,1163434.0,2660853.0,1858132.0,1431374.0,26.0,26.0,21.0,23.0,9.0,13.0,15.0,7.0
51,53,2427844.0,14500399.0,1177599.0,8140811.0,2748058.0,3379538.0,1130565.0,1692754.0,12.0,19.0,12.0,17.0,12.0,20.0,8.0,9.0
52,54,630584.0,1007733.0,478361.0,345564.0,614904.0,499443.0,350482.0,559966.0,9.0,8.0,5.0,8.0,10.0,9.0,8.0,10.0
53,55,3434.0,0.0,239293.0,109968.0,0.0,0.0,33787.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
54,56,3864819.0,5942642.0,2114346.0,6725829.0,21751295.0,8261073.0,2567824.0,4307706.0,27.0,25.0,15.0,22.0,50.0,52.0,10.0,22.0
55,57,0.0,0.0,67224.0,0.0,12035.0,0.0,0.0,13633.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
56,58,1955091.0,1877046.0,1755312.0,3649659.0,1408861.0,1303686.0,1801390.0,3045338.0,12.0,19.0,26.0,21.0,15.0,16.0,13.0,23.0
57,59,2546872.0,3818634.0,1588342.0,1398142.0,833661.0,2410138.0,2135892.0,1742659.0,7.0,8.0,4.0,6.0,7.0,9.0,6.0,6.0
58,60,1005301.0,2110420.0,678970.0,2496523.0,1170271.0,2571925.0,2648227.0,4134568.0,12.0,30.0,14.0,20.0,10.0,18.0,17.0,14.0
59,61,3248367.0,1764899.0,749436.0,864442.0,662186.0,1223113.0,1386445.0,1670693.0,43.0,27.0,9.0,13.0,19.0,10.0,16.0,23.0
60,62,402332.0,2809045.0,2600481.0,1606433.0,866704.0,1394259.0,1059780.0,880877.0,9.0,18.0,30.0,19.0,13.0,26.0,14.0,10.0
61,63,0.0,172952.0,82476.0,127704.0,288237.0,220901.0,509505.0,22722.0,0.0,4.0,2.0,3.0,7.0,6.0,5.0,1.0
62,64,9841.0,7829.0,0.0,13303.0,0.0,0.0,6645.0,28010.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0
63,65,675357.0,777561.0,3458568.0,264276.0,2170058.0,1237479.0,554556.0,684868.0,7.0,12.0,17.0,11.0,12.0,16.0,4.0,21.0
64,66,1501769.0,533790.0,155123.0,318507.0,378552.0,361110.0,487489.0,585885.0,10.0,13.0,8.0,10.0,7.0,10.0,8.0,6.0
65,67,0.0,160282.0,106314.0,321114.0,20228.0,189696.0,4708.0,19829.0,0.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0
66,68,2509841.0,5159949.0,5640599.0,6315586.0,11967668.0,1234274.0,6866078.0,1284620.0,19.0,40.0,48.0,12.0,24.0,12.0,14.0,19.0
67,69,29423.0,7829.0,12315.0,0.0,0.0,0.0,23257.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
68,70,110313.0,178927.0,7605123.0,2496887.0,954823.0,442148.0,942204.0,1006440.0,6.0,5.0,16.0,15.0,5.0,6.0,3.0,5.0
69,71,0.0,0.0,67563.0,44253.0,217340.0,0.0,22299.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0
70,72,482384.0,218173.0,844508.0,129833.0,312306.0,236235.0,353410.0,328841.0,6.0,4.0,21.0,11.0,24.0,23.0,9.0,29.0
71,73,10923114.0,19944566.0,9691828.0,9007017.0,11750973.0,5884426.0,7159111.0,8720139.0,39.0,59.0,47.0,35.0,48.0,26.0,32.0,34.0
72,74,3363724.0,7397672.0,5670859.0,2227013.0,1721704.0,1262294.0,361464.0,1119950.0,45.0,71.0,58.0,17.0,15.0,19.0,11.0,20.0
73,75,72230.0,258862.0,118788.0,103122.0,80564.0,114526.0,124449.0,42221.0,2.0,8.0,3.0,2.0,3.0,3.0,2.0,4.0
74,76,520565.0,678229.0,525134.0,1183394.0,451269.0,1339835.0,661173.0,1024121.0,15.0,18.0,19.0,25.0,5.0,29.0,18.0,24.0
75,77,2618798.0,2875733.0,2003545.0,2462062.0,2325668.0,2942622.0,2297013.0,4736036.0,13.0,17.0,22.0,10.0,13.0,20.0,22.0,33.0
76,78,6389265.0,4123961.0,6609662.0,5927345.0,9039126.0,20157965.0,7694485.0,6417151.0,20.0,20.0,42.0,37.0,30.0,37.0,34.0,32.0
77,79,347962.0,810809.0,468079.0,692663.0,162831.0,644735.0,380712.0,221763.0,11.0,20.0,12.0,20.0,11.0,19.0,17.0,13.0
78,80,14367.0,225588.0,190147.0,244057.0,391395.0,841252.0,24766.0,778067.0,1.0,3.0,2.0,5.0,7.0,6.0,2.0,11.0
79,81,8319399.0,4304670.0,8593448.0,4116730.0,3350492.0,7000796.0,2570338.0,4069197.0,30.0,27.0,19.0,11.0,30.0,28.0,19.0,16.0
80,82,9267361.0,7939606.0,35346866.0,4475986.0,11894286.0,8395849.0,25851121.0,17213714.0,15.0,29.0,45.0,23.0,28.0,29.0,23.0,29.0
81,83,4117120.0,8734358.0,28298946.0,7047573.0,13417466.0,14406447.0,29522235.0,8436036.0,10.0,23.0,34.0,22.0,20.0,23.0,44.0,17.0
82,84,7445571.0,2603904.0,3314260.0,1347210.0,26969337.0,7305108.0,1389386.0,2140536.0,34.0,24.0,24.0,9.0,15.0,25.0,15.0,21.0
83,85,508905.0,501292.0,137723.0,799953.0,887323.0,910471.0,1148641.0,998657.0,13.0,7.0,4.0,11.0,12.0,10.0,10.0,10.0
84,86,707880.0,3819664.0,2489679.0,3374368.0,2331571.0,2058496.0,3045096.0,5319046.0,8.0,25.0,24.0,21.0,15.0,23.0,33.0,32.0
85,87,17603116.0,9326576.0,207884.0,4247591.0,4342413.0,958866.0,1284587.0,2627048.0,11.0,8.0,4.0,11.0,6.0,9.0,10.0,15.0
86,88,2155279.0,6819758.0,4656174.0,5373020.0,6086204.0,3266414.0,2037427.0,13203804.0,9.0,27.0,27.0,15.0,21.0,16.0,23.0,21.0
87,89,341153.0,2005890.0,953115.0,523587.0,1244728.0,180369.0,237252.0,327637.0,9.0,18.0,18.0,9.0,17.0,8.0,12.0,10.0
88,90,2063160.0,2188716.0,1251387.0,19311391.0,2266420.0,3383750.0,6230545.0,3062740.0,16.0,18.0,13.0,38.0,8.0,24.0,15.0,8.0
89,91,443809.0,406884.0,574622.0,230843.0,693893.0,222833.0,960449.0,78906.0,4.0,4.0,5.0,3.0,5.0,4.0,7.0,3.0
90,92,3339589.0,3313830.0,3431328.0,6565709.0,2994516.0,5382783.0,5630762.0,5143386.0,26.0,39.0,45.0,58.0,43.0,56.0,55.0,68.0
91,93,9498743.0,7589555.0,18244056.0,6701766.0,8089479.0,12791147.0,12016062.0,9068105.0,42.0,30.0,52.0,12.0,36.0,37.0,52.0,32.0
92,94,7380.0,0.0,2416288.0,7407024.0,3253748.0,2846539.0,6072864.0,3500167.0,1.0,0.0,28.0,39.0,36.0,35.0,35.0,18.0
93,95,266776.0,133086.0,120325.0,711330.0,379560.0,31955.0,429869.0,139805.0,20.0,12.0,5.0,17.0,22.0,6.0,15.0,15.0
94,96,2706190.0,7900928.0,2595169.0,1186321.0,1594504.0,534830.0,1388505.0,632072.0,17.0,36.0,11.0,11.0,10.0,3.0,8.0,5.0
95,97,140629093.0,108973907.0,165025098.0,75466020.0,134783371.0,159226346.0,97966382.0,53833070.0,69.0,58.0,66.0,73.0,80.0,79.0,64.0,56.0
96,98,403708.0,396429.0,980336.0,981950.0,2872051.0,239830.0,1275287.0,484630.0,7.0,6.0,7.0,13.0,9.0,6.0,5.0,4.0
97,99,8367324.0,12694053.0,41137749.0,16294450.0,11976448.0,23103462.0,3748757.0,9250480.0,37.0,66.0,69.0,68.0,48.0,100.0,37.0,31.0
98,100,567032.0,5737888.0,4263151.0,8292547.0,1089171.0,752998.0,1059613.0,48748.0,10.0,25.0,42.0,46.0,9.0,9.0,13.0,1.0
99,101,680229.0,0.0,66659.0,4168.0,252840.0,138546.0,109132.0,0.0,6.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0
100,102,7837244.0,4174795.0,4501892.0,5862279.0,1663156.0,8717903.0,1716183.0,7577056.0,17.0,22.0,21.0,21.0,14.0,24.0,17.0,15.0
101,103,35426.0,20602.0,197716.0,0.0,55624.0,0.0,134021.0,0.0,2.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0
102,104,4920.0,9786.0,22596.0,1340099.0,90921.0,172110.0,47639.0,68908.0,1.0,1.0,2.0,4.0,2.0,4.0,7.0,7.0
103,105,40149.0,174807.0,1235220.0,380454.0,252082.0,161602.0,1286153.0,269353.0,5.0,9.0,13.0,9.0,5.0,10.0,6.0,2.0
104,106,8928500.0,8372367.0,3321262.0,8149910.0,2663539.0,10020087.0,8610359.0,11584125.0,24.0,42.0,24.0,38.0,15.0,38.0,28.0,53.0
105,107,7025247.0,11456422.0,14446779.0,19251641.0,18167257.0,17756534.0,7365581.0,26355036.0,23.0,20.0,30.0,34.0,20.0,49.0,24.0,44.0
106,108,1259495.0,639281.0,872168.0,757967.0,512153.0,1460609.0,701302.0,1284487.0,20.0,12.0,27.0,24.0,10.0,33.0,14.0,28.0
107,109,52056.0,0.0,158061.0,79815.0,0.0,92221.0,28324.0,31231.0,2.0,0.0,4.0,1.0,0.0,1.0,4.0,2.0
108,110,853322.0,2110121.0,4218195.0,2422311.0,1905852.0,2040019.0,2147616.0,849885.0,17.0,21.0,36.0,19.0,12.0,17.0,19.0,3.0
109,111,23421.0,49239.0,74567.0,0.0,0.0,10723.0,5406.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0
110,112,12262580.0,4624099.0,5757981.0,5719336.0,8465268.0,8010545.0,15390221.0,25612123.0,19.0,19.0,37.0,27.0,31.0,41.0,40.0,47.0
111,113,8911123.0,6292087.0,5478056.0,10769713.0,6657952.0,10315727.0,3101734.0,6531971.0,26.0,40.0,31.0,53.0,44.0,65.0,37.0,36.0
112,114,369907.0,3654438.0,4297542.0,2227838.0,1456305.0,3112202.0,618863.0,638921.0,7.0,32.0,6.0,17.0,12.0,14.0,7.0,11.0
113,115,971410.0,1358931.0,8548854.0,6422723.0,7134669.0,2638216.0,992489.0,2745754.0,14.0,9.0,9.0,18.0,11.0,16.0,3.0,9.0
114,116,454633.0,86424.0,39543.0,156793.0,58659.0,502929.0,115044.0,200197.0,8.0,3.0,1.0,4.0,1.0,9.0,2.0,4.0
115,117,3839519.0,378340.0,9517733.0,4337472.0,839021.0,2087418.0,537155.0,1222459.0,6.0,3.0,14.0,4.0,6.0,17.0,4.0,6.0
116,118,7253184.0,7375232.0,9404671.0,22705672.0,11456623.0,11548391.0,11388447.0,10423839.0,38.0,31.0,45.0,60.0,43.0,39.0,33.0,52.0
117,119,2670304.0,8508904.0,3295087.0,8249182.0,10575091.0,2139125.0,6576899.0,1639651.0,21.0,51.0,27.0,44.0,50.0,16.0,31.0,11.0
118,120,31967164.0,43653356.0,26259684.0,25954641.0,26146823.0,25954739.0,31423385.0,26235751.0,60.0,116.0,102.0,95.0,56.0,72.0,96.0,59.0
119,121,1223818.0,786575.0,55475.0,811589.0,3361034.0,580351.0,868998.0,2162010.0,9.0,8.0,3.0,9.0,17.0,8.0,13.0,21.0
120,122,1633965.0,2739906.0,1465769.0,1513733.0,4853148.0,6695792.0,4893724.0,2819693.0,14.0,25.0,17.0,23.0,24.0,45.0,41.0,22.0
121,123,56977.0,246913.0,63935.0,167079.0,150894.0,5362.0,232341.0,8262.0,10.0,6.0,5.0,4.0,3.0,1.0,4.0,1.0
122,124,6635850.0,2711178.0,3375937.0,3221537.0,1351244.0,7268398.0,1313452.0,6382906.0,28.0,28.0,26.0,28.0,10.0,48.0,19.0,19.0
123,125,952546.0,396583.0,429326.0,402625.0,394833.0,1396080.0,78723.0,672556.0,7.0,9.0,9.0,6.0,4.0,12.0,2.0,9.0
124,126,3006152.0,138650.0,356116.0,8510461.0,7711901.0,3234512.0,1446101.0,4618427.0,19.0,3.0,8.0,13.0,17.0,29.0,10.0,18.0
125,127,432050.0,376392.0,809111.0,46116.0,503656.0,0.0,2140.0,543830.0,7.0,17.0,14.0,3.0,11.0,0.0,1.0,6.0
126,128,570951.0,336942.0,173766.0,8868.0,46927.0,330497.0,507930.0,40486.0,13.0,9.0,4.0,1.0,1.0,7.0,8.0,1.0
127,129,28626.0,227339.0,0.0,102554.0,14058.0,39848.0,27030.0,18061.0,3.0,10.0,0.0,5.0,2.0,4.0,2.0,4.0
128,130,6332367.0,7214312.0,4427706.0,3969931.0,3974048.0,3795527.0,933250.0,1918416.0,39.0,45.0,58.0,34.0,25.0,39.0,12.0,24.0
129,131,638851.0,3646404.0,2298821.0,775095.0,1960718.0,2467774.0,2092983.0,786829.0,10.0,47.0,24.0,12.0,25.0,34.0,30.0,16.0
130,132,434577.0,66852.0,225509.0,452811.0,496515.0,1101862.0,163303.0,680340.0,9.0,6.0,6.0,7.0,6.0,8.0,4.0,8.0
131,133,83015.0,149558.0,1791334.0,728846.0,2336490.0,1361026.0,1188059.0,3283759.0,1.0,5.0,16.0,6.0,14.0,12.0,10.0,11.0
132,134,10039646.0,6426687.0,7262375.0,6153082.0,8350327.0,8688029.0,7632409.0,8220107.0,28.0,25.0,39.0,39.0,27.0,37.0,35.0,40.0
133,135,63570.0,3277116.0,2397792.0,118570.0,375719.0,509790.0,1500180.0,22309.0,2.0,11.0,12.0,5.0,6.0,7.0,14.0,2.0
134,136,0.0,2272225.0,4700671.0,3178993.0,325859.0,2970169.0,896536.0,10101210.0,0.0,22.0,29.0,26.0,4.0,23.0,5.0,50.0
135,137,6498305.0,3154146.0,5852925.0,2210794.0,5151810.0,6329438.0,2855023.0,907250.0,27.0,24.0,34.0,27.0,21.0,29.0,25.0,13.0
136,138,2794370.0,4200981.0,4695360.0,4930748.0,4907042.0,5392263.0,1988639.0,4274518.0,18.0,33.0,21.0,39.0,32.0,40.0,21.0,37.0
137,139,2387320.0,4593823.0,8153581.0,5871636.0,1260140.0,1870183.0,3817612.0,3263176.0,19.0,38.0,38.0,30.0,5.0,14.0,37.0,18.0
138,140,5814291.0,4335448.0,8507095.0,6496482.0,3285556.0,4414771.0,3015862.0,3102994.0,25.0,28.0,33.0,30.0,21.0,11.0,18.0,18.0
139,141,7637.0,35477.0,6745.0,22090.0,31078.0,22090.0,0.0,0.0,2.0,3.0,1.0,4.0,3.0,2.0,0.0,0.0
140,143,121430.0,28842.0,54863.0,27048.0,52288.0,174470.0,25632.0,6114.0,10.0,1.0,8.0,4.0,3.0,5.0,4.0,2.0
141,144,0.0,2127953.0,2912105.0,225079.0,2630.0,31419.0,5707549.0,37842.0,0.0,5.0,16.0,5.0,2.0,4.0,13.0,6.0
142,145,3172919.0,3889717.0,20602846.0,32738131.0,6082147.0,10595936.0,8259290.0,8252124.0,15.0,20.0,17.0,23.0,18.0,34.0,30.0,24.0
143,146,4757030.0,3455509.0,3555325.0,3296415.0,9858192.0,2902236.0,1444634.0,3633083.0,27.0,33.0,30.0,22.0,39.0,26.0,21.0,16.0
144,147,2809122.0,4835849.0,5223871.0,2777590.0,6938645.0,6818220.0,2696102.0,5111757.0,15.0,22.0,15.0,30.0,20.0,36.0,27.0,31.0
145,148,0.0,0.0,128798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
146,149,1378799.0,1212153.0,3370784.0,2737264.0,373797.0,3243080.0,670782.0,1449097.0,8.0,10.0,20.0,21.0,5.0,11.0,8.0,9.0
147,150,1923946.0,6150520.0,145519.0,2103347.0,810440.0,3201730.0,836000.0,372790.0,13.0,27.0,2.0,13.0,5.0,21.0,13.0,3.0
148,151,4781623.0,16941352.0,5898300.0,5150914.0,2499438.0,5204830.0,2167372.0,6857765.0,29.0,44.0,17.0,28.0,22.0,29.0,23.0,41.0
149,152,3549585.0,1559900.0,2508210.0,1902680.0,4055218.0,5606066.0,4747889.0,1985411.0,26.0,22.0,26.0,27.0,28.0,29.0,50.0,36.0
150,153,280457.0,155441.0,64173.0,3133264.0,136836.0,761790.0,33787.0,315789.0,9.0,4.0,2.0,10.0,5.0,10.0,1.0,5.0
151,154,3835109.0,1528925.0,965534.0,561012.0,411420.0,754691.0,3092736.0,2401252.0,9.0,6.0,4.0,5.0,3.0,7.0,7.0,11.0
152,155,3329314.0,5290063.0,11478615.0,3754769.0,4928402.0,4199780.0,4342234.0,3436749.0,26.0,43.0,39.0,28.0,34.0,32.0,36.0,33.0
153,156,13113373.0,8674369.0,13709849.0,9292570.0,23412731.0,26673065.0,3760534.0,14260877.0,48.0,56.0,51.0,45.0,56.0,62.0,24.0,31.0
154,157,385750.0,460450.0,1254087.0,761995.0,405553.0,498852.0,1420062.0,1708527.0,9.0,14.0,10.0,8.0,10.0,15.0,13.0,17.0
155,158,0.0,0.0,303805.0,144864.0,54613.0,10616.0,258919.0,182681.0,0.0,0.0,6.0,6.0,1.0,1.0,5.0,10.0
156,159,7768322.0,14340091.0,7762270.0,14024218.0,10982090.0,19408270.0,6724722.0,29222971.0,31.0,63.0,36.0,55.0,43.0,59.0,39.0,95.0
157,160,1182755.0,849955.0,1010049.0,405018.0,274372.0,2124758.0,673260.0,754356.0,9.0,14.0,15.0,8.0,6.0,29.0,12.0,9.0
158,161,38708872.0,5677753.0,7664720.0,33812521.0,5560381.0,12111099.0,6291811.0,14540682.0,95.0,15.0,31.0,82.0,31.0,60.0,24.0,59.0
159,162,2902245.0,9683860.0,4196845.0,12349086.0,7784899.0,8329889.0,5660631.0,3159227.0,19.0,42.0,37.0,60.0,30.0,56.0,32.0,33.0
160,163,522533.0,489085.0,144050.0,0.0,50568.0,0.0,1236542.0,3288.0,5.0,6.0,5.0,0.0,1.0,0.0,6.0,1.0
161,164,2682892.0,2190766.0,716581.0,4882123.0,3570920.0,1567718.0,2170648.0,3472537.0,10.0,10.0,5.0,21.0,13.0,11.0,21.0,11.0
162,165,1190135.0,5532256.0,5346220.0,6679384.0,6770024.0,992117.0,1270162.0,7130662.0,12.0,68.0,49.0,47.0,45.0,12.0,7.0,21.0
