,°í°´¹øÈ£,±â_ÃÑ±¸¸Å¾×1,±â_ÃÑ±¸¸Å¾×2,±â_ÃÑ±¸¸Å¾×3,±â_ÃÑ±¸¸Å¾×4,±â_ÃÑ±¸¸Å¾×5,±â_ÃÑ±¸¸Å¾×6,±â_ÃÑ±¸¸Å¾×7,±â_ÃÑ±¸¸Å¾×8,±â_ÃÑ±¸¸ÅÈ½¼ö1,±â_ÃÑ±¸¸ÅÈ½¼ö2,±â_ÃÑ±¸¸ÅÈ½¼ö3,±â_ÃÑ±¸¸ÅÈ½¼ö4,±â_ÃÑ±¸¸ÅÈ½¼ö5,±â_ÃÑ±¸¸ÅÈ½¼ö6,±â_ÃÑ±¸¸ÅÈ½¼ö7,±â_ÃÑ±¸¸ÅÈ½¼ö8
25,27,33458.0,103008.0,15817.0,17293.0,19216.0,0.0,64983.0,57093.0,2.0,3.0,2.0,1.0,1.0,0.0,4.0,6.0
26,28,0.0,0.0,0.0,17736.0,2528.0,2681.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0
27,29,40493.0,77308.0,176859.0,76649.0,101792.0,0.0,97306.0,7023.0,2.0,2.0,7.0,3.0,3.0,0.0,1.0,1.0
28,30,0.0,32963.0,301658.0,182687.0,184067.0,131577.0,85785.0,117045.0,0.0,1.0,6.0,7.0,5.0,5.0,3.0,4.0
29,31,31096.0,187578.0,293412.0,116975.0,171100.0,272698.0,217927.0,80887.0,3.0,2.0,10.0,9.0,6.0,9.0,11.0,9.0
30,32,32966.0,44910.0,168905.0,11529.0,28825.0,37855.0,94040.0,145579.0,5.0,10.0,7.0,1.0,8.0,6.0,6.0,17.0
31,33,130191.0,0.0,0.0,7449.0,7990.0,14906.0,23988.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,6.0,0.0
32,34,130882.0,78288.0,45192.0,17737.0,48040.0,405130.0,11825.0,0.0,11.0,7.0,2.0,1.0,2.0,10.0,1.0,0.0
33,35,406098.0,592814.0,262556.0,105853.0,435915.0,191414.0,135103.0,108633.0,8.0,11.0,10.0,5.0,2.0,7.0,8.0,5.0
34,36,0.0,88999.0,135352.0,183044.0,191045.0,306903.0,298790.0,160207.0,0.0,1.0,3.0,5.0,2.0,4.0,7.0,4.0
35,37,19681.0,132880.0,375956.0,504700.0,483701.0,362237.0,747930.0,256545.0,1.0,7.0,13.0,16.0,15.0,7.0,19.0,15.0
36,38,147413.0,243459.0,244604.0,164863.0,221587.0,345080.0,117578.0,88405.0,5.0,9.0,5.0,19.0,15.0,14.0,9.0,13.0
37,39,6888.0,127730.0,227091.0,116619.0,154132.0,70775.0,135665.0,65272.0,1.0,10.0,7.0,9.0,15.0,7.0,9.0,7.0
38,40,0.0,52533.0,67789.0,21284.0,0.0,15013.0,3378.0,64446.0,0.0,4.0,3.0,1.0,0.0,2.0,2.0,5.0
39,41,1135106.0,793062.0,691330.0,746447.0,998616.0,740343.0,408708.0,495331.0,31.0,27.0,25.0,24.0,33.0,18.0,22.0,14.0
40,42,0.0,12360.0,0.0,3015.0,0.0,9437.0,40543.0,33214.0,0.0,3.0,0.0,1.0,0.0,1.0,4.0,2.0
41,43,0.0,6181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,44,5904.0,54595.0,0.0,136130.0,116912.0,33886.0,90887.0,387586.0,1.0,2.0,0.0,7.0,4.0,2.0,4.0,6.0
43,45,3936.0,30903.0,33894.0,388310.0,275798.0,191840.0,354200.0,196066.0,1.0,1.0,1.0,12.0,10.0,10.0,13.0,9.0
44,46,112773.0,136797.0,177944.0,406170.0,470788.0,236450.0,244504.0,319259.0,7.0,7.0,8.0,13.0,13.0,8.0,9.0,15.0
45,47,59043.0,46457.0,188735.0,0.0,97596.0,48684.0,69015.0,67997.0,2.0,5.0,7.0,0.0,4.0,3.0,2.0,8.0
46,48,4133.0,971845.0,19308.0,132618.0,162707.0,33736.0,32098.0,34149.0,1.0,6.0,1.0,4.0,2.0,3.0,1.0,3.0
47,49,319818.0,247220.0,323691.0,277136.0,456528.0,255539.0,507254.0,202427.0,6.0,7.0,6.0,8.0,13.0,7.0,13.0,10.0
48,50,195689.0,26164.0,179142.0,91396.0,135036.0,63268.0,146070.0,198843.0,10.0,2.0,15.0,8.0,12.0,7.0,13.0,20.0
49,51,0.0,0.0,92983.0,1774.0,14665.0,17693.0,1126.0,20490.0,0.0,0.0,4.0,1.0,4.0,2.0,1.0,3.0
50,52,273675.0,301682.0,494969.0,456143.0,436452.0,730789.0,602529.0,301940.0,13.0,17.0,16.0,25.0,33.0,33.0,43.0,27.0
51,53,0.0,31418.0,81821.0,193550.0,133095.0,270815.0,241467.0,164754.0,0.0,3.0,5.0,15.0,10.0,22.0,21.0,23.0
52,54,61700.0,122889.0,185854.0,82297.0,51984.0,71417.0,59634.0,138725.0,7.0,7.0,5.0,6.0,5.0,7.0,5.0,8.0
53,55,0.0,0.0,0.0,66513.0,242119.0,0.0,15204.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
54,56,461818.0,393699.0,442435.0,441424.0,323434.0,224333.0,570207.0,786629.0,11.0,10.0,15.0,24.0,14.0,10.0,18.0,26.0
55,57,0.0,0.0,0.0,66513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,58,267170.0,226104.0,283582.0,111742.0,180274.0,210469.0,172876.0,421753.0,7.0,3.0,5.0,3.0,4.0,4.0,3.0,14.0
57,59,172210.0,79317.0,92080.0,105534.0,226038.0,142782.0,0.0,190035.0,4.0,4.0,4.0,4.0,7.0,6.0,0.0,2.0
58,60,32473.0,20086.0,54796.0,79195.0,47533.0,69800.0,164427.0,69816.0,3.0,2.0,3.0,4.0,2.0,5.0,9.0,7.0
59,61,18696.0,93739.0,0.0,5321.0,11732.0,0.0,0.0,19003.0,3.0,7.0,0.0,1.0,1.0,0.0,0.0,2.0
60,62,316570.0,356771.0,277143.0,240954.0,519736.0,460466.0,339444.0,323720.0,12.0,18.0,13.0,13.0,24.0,25.0,15.0,18.0
61,63,26569.0,7417.0,15252.0,0.0,0.0,13940.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
62,64,0.0,0.0,5649.0,27048.0,0.0,21447.0,0.0,20408.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,5.0
63,65,23618.0,33993.0,97728.0,8868.0,250818.0,277842.0,78836.0,0.0,2.0,3.0,5.0,1.0,16.0,18.0,1.0,0.0
64,66,30506.0,30902.0,18529.0,50021.0,116284.0,136939.0,244121.0,113109.0,2.0,3.0,2.0,13.0,16.0,14.0,20.0,21.0
65,67,0.0,0.0,0.0,3370.0,4855.0,5147.0,0.0,9914.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
66,68,322081.0,487641.0,592031.0,353593.0,277809.0,611138.0,550533.0,401386.0,8.0,10.0,15.0,11.0,7.0,12.0,11.0,9.0
67,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,70,272481.0,281010.0,416332.0,276695.0,550177.0,9544.0,84468.0,29745.0,14.0,19.0,12.0,16.0,17.0,1.0,3.0,1.0
69,71,2460.0,0.0,15252.0,12682.0,61187.0,32920.0,13402.0,2479.0,1.0,0.0,4.0,6.0,11.0,4.0,3.0,1.0
70,72,0.0,6181.0,11298.0,0.0,146040.0,24128.0,18020.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0
71,73,0.0,180266.0,166082.0,0.0,3034.0,25736.0,180759.0,16690.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0
72,74,193880.0,76607.0,181040.0,227916.0,161209.0,85305.0,129290.0,211732.0,10.0,4.0,7.0,8.0,6.0,5.0,5.0,10.0
73,75,5856.0,48415.0,38075.0,0.0,9608.0,0.0,32097.0,53043.0,2.0,6.0,5.0,0.0,1.0,0.0,3.0,8.0
74,76,19780.0,10301.0,32425.0,16052.0,12137.0,36244.0,215843.0,88283.0,3.0,1.0,3.0,3.0,2.0,6.0,16.0,13.0
75,77,111474.0,97755.0,374135.0,208584.0,270487.0,147512.0,56311.0,26274.0,8.0,4.0,11.0,7.0,9.0,9.0,4.0,4.0
76,78,243898.0,94563.0,758973.0,508248.0,532935.0,655029.0,402908.0,312981.0,14.0,5.0,23.0,16.0,22.0,26.0,23.0,21.0
77,79,116119.0,121550.0,218278.0,70415.0,197518.0,65413.0,90097.0,256874.0,4.0,6.0,6.0,7.0,8.0,3.0,5.0,15.0
78,80,58553.0,31006.0,61009.0,132138.0,46523.0,43965.0,129516.0,130544.0,5.0,3.0,4.0,5.0,4.0,4.0,7.0,8.0
79,81,187656.0,183975.0,217488.0,174263.0,426796.0,166558.0,400263.0,256133.0,18.0,19.0,9.0,8.0,24.0,10.0,15.0,19.0
80,82,125468.0,149095.0,256466.0,74494.0,196710.0,346042.0,188080.0,108279.0,3.0,3.0,6.0,3.0,7.0,11.0,5.0,4.0
81,83,157449.0,168935.0,252285.0,262059.0,95340.0,205783.0,620971.0,481279.0,5.0,8.0,19.0,19.0,8.0,14.0,26.0,21.0
82,84,88270.0,192420.0,118721.0,64562.0,79816.0,61337.0,17738.0,161455.0,4.0,3.0,2.0,2.0,5.0,3.0,1.0,5.0
83,85,0.0,0.0,0.0,0.0,162019.0,0.0,199004.0,31645.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0
84,86,5412.0,0.0,0.0,75380.0,91223.0,31636.0,83676.0,99480.0,1.0,0.0,0.0,10.0,13.0,7.0,10.0,10.0
85,87,143329.0,248661.0,158739.0,126553.0,196507.0,249746.0,121971.0,129884.0,14.0,18.0,8.0,15.0,8.0,18.0,13.0,11.0
86,88,8856.0,327054.0,562226.0,293456.0,220881.0,195165.0,397107.0,394868.0,1.0,10.0,18.0,12.0,11.0,7.0,12.0,12.0
87,89,72329.0,2884.0,108237.0,53564.0,28317.0,40750.0,91449.0,153033.0,5.0,1.0,11.0,5.0,3.0,8.0,8.0,16.0
88,90,253887.0,245882.0,220877.0,184374.0,110239.0,226585.0,202047.0,186811.0,7.0,7.0,6.0,9.0,4.0,9.0,6.0,11.0
89,91,0.0,20190.0,73664.0,50284.0,29229.0,56405.0,61831.0,63124.0,0.0,1.0,6.0,4.0,3.0,3.0,5.0,6.0
90,92,95058.0,19366.0,84735.0,145441.0,85156.0,344114.0,200468.0,1005118.0,8.0,3.0,5.0,5.0,6.0,9.0,8.0,11.0
91,93,183143.0,152102.0,203682.0,20220.0,368951.0,269350.0,399520.0,90391.0,8.0,6.0,9.0,1.0,12.0,7.0,10.0,4.0
92,94,0.0,0.0,231046.0,319084.0,0.0,78602.0,31951.0,807526.0,0.0,0.0,6.0,10.0,0.0,4.0,2.0,21.0
93,95,29523.0,0.0,4519.0,21196.0,9405.0,12762.0,21622.0,27514.0,3.0,0.0,1.0,6.0,2.0,4.0,7.0,6.0
94,96,14761.0,79934.0,143485.0,0.0,66750.0,86538.0,221754.0,43791.0,1.0,4.0,4.0,0.0,1.0,2.0,4.0,2.0
95,97,617840.0,101361.0,332107.0,217515.0,88403.0,167758.0,1139744.0,1999000.0,7.0,2.0,5.0,8.0,3.0,5.0,5.0,3.0
96,98,17320.0,259067.0,16834.0,28114.0,63514.0,125571.0,49216.0,44863.0,2.0,25.0,3.0,3.0,3.0,5.0,5.0,4.0
97,99,521528.0,869269.0,799607.0,447987.0,550949.0,850881.0,742782.0,546875.0,12.0,18.0,23.0,12.0,13.0,18.0,11.0,14.0
98,100,69868.0,0.0,106767.0,77599.0,6068.0,50935.0,259595.0,0.0,2.0,0.0,4.0,4.0,1.0,4.0,13.0,0.0
99,101,32473.0,19984.0,74737.0,24786.0,126017.0,2788.0,88745.0,24786.0,4.0,4.0,6.0,4.0,9.0,1.0,7.0,4.0
100,102,39165.0,10301.0,11298.0,86555.0,111856.0,8579.0,10361.0,4957.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0
101,103,18697.0,0.0,68354.0,15608.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
102,104,0.0,0.0,0.0,53564.0,5462.0,22520.0,10709.0,14872.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,1.0
103,105,0.0,0.0,45192.0,1774.0,293799.0,316339.0,254528.0,116417.0,0.0,0.0,2.0,1.0,3.0,6.0,6.0,4.0
104,106,97913.0,407193.0,14575.0,169829.0,45966.0,86055.0,104514.0,130215.0,4.0,5.0,1.0,6.0,1.0,3.0,3.0,6.0
105,107,172012.0,139886.0,85866.0,118792.0,76863.0,146697.0,0.0,36024.0,6.0,5.0,2.0,5.0,3.0,4.0,0.0,2.0
106,108,130929.0,0.0,41012.0,187469.0,11125.0,76136.0,117453.0,69817.0,5.0,0.0,4.0,8.0,1.0,5.0,12.0,11.0
107,109,48711.0,0.0,89933.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108,110,201534.0,154636.0,179186.0,179636.0,207935.0,61069.0,210741.0,73716.0,9.0,6.0,6.0,10.0,7.0,6.0,8.0,8.0
109,111,0.0,0.0,0.0,0.0,0.0,5362.0,0.0,4131.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
110,112,406178.0,0.0,33894.0,102252.0,87988.0,126911.0,151929.0,42634.0,4.0,0.0,1.0,8.0,8.0,12.0,9.0,1.0
111,113,215802.0,311488.0,301275.0,247412.0,123012.0,196187.0,454434.0,118887.0,9.0,16.0,16.0,18.0,13.0,14.0,20.0,13.0
112,114,13777.0,71077.0,29376.0,111297.0,50568.0,31097.0,10699.0,47922.0,1.0,5.0,2.0,6.0,2.0,2.0,1.0,1.0
113,115,24060.0,16481.0,83606.0,47135.0,74334.0,149216.0,39981.0,3966.0,2.0,1.0,2.0,2.0,2.0,7.0,2.0,1.0
114,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,117,254752.0,159355.0,198023.0,125930.0,142905.0,420336.0,86011.0,122698.0,23.0,11.0,11.0,11.0,7.0,15.0,5.0,9.0
116,118,99045.0,41203.0,99738.0,149699.0,20025.0,55011.0,57551.0,35776.0,4.0,1.0,5.0,6.0,1.0,3.0,3.0,2.0
117,119,163048.0,274117.0,234548.0,102570.0,183491.0,20803.0,72867.0,75684.0,5.0,13.0,8.0,10.0,11.0,2.0,5.0,3.0
118,120,57105.0,167760.0,36708.0,146726.0,12966.0,316662.0,214345.0,23234.0,5.0,10.0,5.0,9.0,2.0,7.0,12.0,1.0
119,121,386635.0,272622.0,302677.0,344270.0,390586.0,210501.0,299463.0,291662.0,23.0,17.0,20.0,36.0,25.0,18.0,31.0,29.0
120,122,265793.0,182758.0,239123.0,302934.0,383457.0,209803.0,579783.0,370221.0,5.0,5.0,7.0,10.0,9.0,4.0,15.0,8.0
121,123,0.0,0.0,22257.0,0.0,61795.0,0.0,8447.0,81136.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,3.0
122,124,144903.0,86527.0,81911.0,52943.0,61187.0,61659.0,38236.0,37759.0,10.0,6.0,3.0,5.0,4.0,4.0,3.0,7.0
123,125,204682.0,254226.0,355324.0,75381.0,183057.0,221437.0,113185.0,310663.0,12.0,16.0,14.0,7.0,14.0,11.0,5.0,19.0
124,126,46250.0,2060.0,24291.0,64562.0,40960.0,27238.0,0.0,33050.0,2.0,1.0,1.0,3.0,2.0,3.0,0.0,1.0
125,127,54616.0,209724.0,281456.0,167079.0,334961.0,261869.0,239550.0,107082.0,7.0,16.0,22.0,17.0,43.0,43.0,30.0,24.0
126,128,0.0,0.0,0.0,4416.0,10114.0,27882.0,119943.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0
127,129,0.0,0.0,0.0,2661.0,0.0,0.0,6757.0,9502.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
128,130,19681.0,6181.0,343903.0,17737.0,0.0,8579.0,18020.0,22308.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0
129,131,23538.0,155584.0,87786.0,135703.0,187050.0,176378.0,9573.0,71221.0,3.0,4.0,4.0,5.0,5.0,8.0,2.0,3.0
130,132,0.0,0.0,0.0,34144.0,51984.0,3217.0,0.0,1239.0,0.0,0.0,0.0,17.0,9.0,1.0,0.0,1.0
131,133,166305.0,94653.0,248434.0,83149.0,152135.0,171340.0,342624.0,213256.0,9.0,5.0,9.0,8.0,12.0,18.0,20.0,25.0
132,134,0.0,129790.0,54231.0,12416.0,69783.0,65949.0,25949.0,0.0,0.0,4.0,1.0,1.0,2.0,3.0,2.0,0.0
133,135,9152.0,0.0,0.0,0.0,0.0,79783.0,15768.0,122201.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
134,136,8364.0,114339.0,179300.0,165840.0,76863.0,201923.0,170397.0,161530.0,1.0,5.0,5.0,8.0,3.0,9.0,9.0,10.0
135,137,0.0,145757.0,105524.0,81412.0,18205.0,214789.0,154856.0,246053.0,0.0,2.0,4.0,2.0,2.0,6.0,6.0,5.0
136,138,95453.0,296459.0,363574.0,225346.0,132183.0,365024.0,120507.0,156687.0,5.0,10.0,11.0,11.0,9.0,13.0,6.0,8.0
137,139,556435.0,245160.0,477007.0,372829.0,240674.0,68951.0,438352.0,184088.0,24.0,15.0,20.0,15.0,12.0,7.0,23.0,9.0
138,140,639655.0,1761282.0,137271.0,50106.0,307130.0,34315.0,103692.0,906656.0,5.0,6.0,4.0,4.0,8.0,1.0,1.0,6.0
139,141,0.0,0.0,0.0,0.0,0.0,5362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
140,143,0.0,0.0,5536.0,0.0,5583.0,121175.0,85030.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,4.0,0.0
141,144,0.0,15915.0,0.0,0.0,318577.0,40749.0,39418.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0
142,145,175162.0,23692.0,203364.0,275539.0,185078.0,123319.0,667853.0,258365.0,3.0,1.0,5.0,5.0,3.0,4.0,5.0,6.0
143,146,359996.0,410592.0,291390.0,467015.0,176784.0,198277.0,346315.0,246839.0,13.0,11.0,9.0,11.0,6.0,8.0,10.0,8.0
144,147,329854.0,425015.0,184102.0,197499.0,217502.0,458049.0,233241.0,390936.0,14.0,16.0,8.0,9.0,10.0,11.0,10.0,14.0
145,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,149,0.0,4635.0,137272.0,58887.0,73526.0,133185.0,208352.0,150459.0,0.0,1.0,5.0,4.0,6.0,9.0,7.0,8.0
147,150,75576.0,0.0,81346.0,98880.0,106903.0,113628.0,60929.0,33462.0,2.0,0.0,1.0,12.0,18.0,15.0,8.0,5.0
148,151,322475.0,239443.0,275446.0,83806.0,166267.0,518263.0,285838.0,249482.0,9.0,8.0,7.0,3.0,4.0,9.0,5.0,6.0
149,152,76756.0,152348.0,132189.0,126818.0,75345.0,106160.0,186504.0,118153.0,5.0,9.0,7.0,8.0,4.0,6.0,10.0,8.0
150,153,45265.0,38577.0,11072.0,24388.0,9629.0,0.0,0.0,0.0,5.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0
151,154,841370.0,797426.0,641980.0,715403.0,523974.0,781651.0,1250342.0,918888.0,35.0,32.0,23.0,31.0,19.0,31.0,42.0,46.0
152,155,94744.0,38113.0,0.0,162292.0,118936.0,71846.0,65795.0,141657.0,6.0,2.0,0.0,5.0,5.0,2.0,3.0,6.0
153,156,15154.0,0.0,0.0,102518.0,25890.0,0.0,7884.0,14046.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0
154,157,7872.0,63866.0,119759.0,33700.0,111856.0,209643.0,65884.0,69652.0,1.0,4.0,5.0,1.0,5.0,6.0,2.0,8.0
155,158,0.0,16996.0,40300.0,10287.0,0.0,0.0,0.0,32636.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0
156,159,78330.0,220119.0,0.0,26427.0,63715.0,558796.0,186843.0,265636.0,5.0,8.0,0.0,2.0,4.0,6.0,7.0,12.0
157,160,7872.0,86836.0,165404.0,141097.0,50457.0,46110.0,143369.0,50399.0,1.0,4.0,6.0,6.0,5.0,5.0,7.0,6.0
158,161,260382.0,51504.0,246863.0,1157692.0,893089.0,322183.0,198553.0,171527.0,13.0,2.0,5.0,16.0,9.0,9.0,7.0,5.0
159,162,8886.0,0.0,0.0,0.0,28824.0,11260.0,5631.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0
160,163,46418.0,127422.0,0.0,0.0,0.0,27559.0,7884.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0
161,164,256936.0,406884.0,1426384.0,1585221.0,2977031.0,2493179.0,2431867.0,851687.0,6.0,8.0,23.0,28.0,38.0,42.0,38.0,27.0
162,165,88860.0,223838.0,29149.0,221088.0,32060.0,46218.0,27029.0,44286.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,2.0
163,166,26303.0,0.0,61800.0,56759.0,66648.0,69531.0,202271.0,30901.0,3.0,0.0,5.0,6.0,4.0,8.0,10.0,4.0
164,167,39165.0,0.0,0.0,0.0,14462.0,0.0,12952.0,38668.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
165,168,23371.0,75834.0,523214.0,101897.0,31454.0,402181.0,65321.0,51309.0,1.0,4.0,2.0,6.0,2.0,7.0,1.0,3.0
166,169,0.0,13844.0,57857.0,4434.0,11934.0,59590.0,104625.0,28092.0,0.0,3.0,4.0,1.0,3.0,4.0,10.0,4.0
167,170,0.0,0.0,0.0,5764.0,37318.0,116883.0,66954.0,82621.0,0.0,0.0,0.0,2.0,8.0,24.0,18.0,25.0
168,171,93061.0,167284.0,223713.0,66956.0,45712.0,148519.0,285669.0,78244.0,14.0,16.0,20.0,7.0,9.0,10.0,25.0,10.0
169,172,220920.0,342503.0,395997.0,200424.0,181842.0,268943.0,683058.0,245559.0,6.0,12.0,13.0,10.0,8.0,10.0,16.0,9.0
170,173,0.0,128246.0,53779.0,70414.0,35903.0,2145.0,0.0,8262.0,0.0,6.0,6.0,2.0,1.0,1.0,0.0,1.0
171,175,21995.0,10301.0,65303.0,64741.0,96486.0,80538.0,74662.0,191433.0,3.0,1.0,2.0,23.0,22.0,25.0,32.0,22.0
172,176,0.0,0.0,24404.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
173,177,291870.0,123508.0,346287.0,147215.0,209350.0,210178.0,47302.0,77666.0,5.0,4.0,7.0,3.0,4.0,5.0,1.0,2.0
174,178,8364.0,61805.0,0.0,63853.0,2023.0,79674.0,23087.0,42468.0,1.0,1.0,0.0,2.0,1.0,10.0,5.0,5.0
175,179,43987.0,26576.0,25986.0,183753.0,15171.0,108414.0,321087.0,317192.0,1.0,1.0,1.0,7.0,2.0,4.0,11.0,17.0
