,고객번호,편_총구매액1,편_총구매액2,편_총구매액3,편_총구매액4,편_총구매액5,편_총구매액6,편_총구매액7,편_총구매액8,편_총구매횟수1,편_총구매횟수2,편_총구매횟수3,편_총구매횟수4,편_총구매횟수5,편_총구매횟수6,편_총구매횟수7,편_총구매횟수8
14,16,587246.0,468996.0,925450.0,1277931.0,1901668.0,1148029.0,762036.0,1033582.0,41.0,30.0,57.0,80.0,119.0,86.0,62.0,79.0
15,17,20536448.0,353197.0,791779.0,7576019.0,653909.0,13131537.0,8942749.0,16175261.0,57.0,25.0,50.0,59.0,76.0,173.0,114.0,91.0
16,18,684102.0,1252829.0,1121949.0,367147.0,408707.0,542421.0,608755.0,470603.0,68.0,109.0,111.0,32.0,30.0,37.0,42.0,48.0
17,19,3089618.0,1843560.0,1265567.0,1650776.0,1577899.0,2365365.0,2425342.0,1605926.0,80.0,69.0,43.0,71.0,57.0,54.0,55.0,54.0
18,20,1957531.0,1768802.0,2288475.0,1531599.0,2113991.0,1502238.0,1485258.0,929826.0,139.0,126.0,147.0,139.0,141.0,83.0,75.0,82.0
19,21,1492397.0,1878920.0,2968173.0,1761778.0,1874897.0,2545748.0,2670230.0,1682008.0,207.0,207.0,305.0,245.0,191.0,314.0,306.0,285.0
20,22,604712.0,410882.0,189265.0,306127.0,581449.0,545845.0,640939.0,431502.0,53.0,35.0,18.0,34.0,38.0,36.0,18.0,43.0
21,23,1155807.0,899605.0,1718553.0,1066020.0,2245224.0,713180.0,311581.0,207469.0,89.0,58.0,81.0,115.0,81.0,31.0,10.0,5.0
22,24,587114.0,691208.0,914057.0,577289.0,564183.0,474435.0,954853.0,526544.0,95.0,92.0,86.0,108.0,73.0,77.0,93.0,67.0
23,25,182039.0,322446.0,337350.0,249796.0,394677.0,306019.0,384259.0,440547.0,31.0,33.0,35.0,37.0,42.0,43.0,45.0,56.0
24,26,1499259.0,938294.0,1105300.0,558578.0,814487.0,1599968.0,1268027.0,799643.0,100.0,51.0,60.0,41.0,43.0,158.0,101.0,87.0
25,27,581884.0,879950.0,949117.0,507811.0,650811.0,789286.0,1679982.0,556603.0,46.0,81.0,52.0,50.0,48.0,59.0,71.0,51.0
26,28,703324.0,1062455.0,707399.0,1013596.0,655349.0,1257095.0,1090464.0,498354.0,159.0,258.0,160.0,187.0,94.0,201.0,181.0,110.0
27,29,379009.0,356856.0,470447.0,585833.0,821203.0,394600.0,591207.0,534476.0,27.0,33.0,66.0,52.0,88.0,48.0,60.0,63.0
28,30,2015946.0,2912725.0,3203936.0,2299100.0,2123004.0,2928969.0,3049967.0,2073905.0,208.0,306.0,287.0,275.0,214.0,232.0,290.0,243.0
29,31,666547.0,727749.0,682077.0,637879.0,771465.0,968674.0,1097367.0,676848.0,85.0,100.0,73.0,94.0,102.0,120.0,128.0,111.0
30,32,1196440.0,1366072.0,2883997.0,1698649.0,1927028.0,2412159.0,2270100.0,2124666.0,120.0,158.0,191.0,190.0,183.0,160.0,185.0,184.0
31,33,1254410.0,1337851.0,1307039.0,883301.0,1273509.0,1265691.0,1754419.0,953717.0,272.0,299.0,284.0,233.0,301.0,321.0,370.0,284.0
32,34,1245583.0,1921015.0,1449345.0,2050999.0,1345204.0,605035.0,638355.0,778613.0,118.0,176.0,132.0,163.0,119.0,75.0,44.0,29.0
33,35,1237482.0,1595933.0,1061335.0,851791.0,1599946.0,3833220.0,1870101.0,1335921.0,96.0,101.0,51.0,70.0,71.0,179.0,108.0,97.0
34,36,1163122.0,2165320.0,946240.0,621285.0,1059184.0,2076543.0,2147426.0,1308846.0,66.0,148.0,104.0,63.0,75.0,93.0,131.0,133.0
35,37,476292.0,1438526.0,1847427.0,1340267.0,1331796.0,1013967.0,1558880.0,1122605.0,52.0,118.0,109.0,150.0,120.0,82.0,122.0,169.0
36,38,1697883.0,1795206.0,2682751.0,2157413.0,2194533.0,2015828.0,2755412.0,2123857.0,243.0,267.0,341.0,336.0,327.0,307.0,316.0,306.0
37,39,439450.0,925255.0,522760.0,797123.0,524917.0,1031937.0,671849.0,512590.0,19.0,65.0,39.0,61.0,54.0,77.0,44.0,41.0
38,40,621792.0,624477.0,420632.0,544922.0,811980.0,360488.0,649781.0,794462.0,101.0,107.0,65.0,74.0,101.0,60.0,61.0,70.0
39,41,437816.0,772373.0,575185.0,551292.0,923420.0,875129.0,1428630.0,489868.0,31.0,42.0,39.0,41.0,74.0,79.0,118.0,55.0
40,42,1010895.0,1481362.0,1742113.0,1178923.0,1760813.0,1949106.0,2016864.0,1449559.0,142.0,233.0,268.0,234.0,295.0,347.0,322.0,281.0
41,43,801792.0,708761.0,425623.0,637888.0,561634.0,935394.0,1001184.0,530218.0,142.0,98.0,73.0,107.0,129.0,207.0,205.0,127.0
42,44,872841.0,1092491.0,2298048.0,1055566.0,982471.0,1045307.0,1154646.0,581311.0,60.0,88.0,206.0,80.0,76.0,101.0,105.0,92.0
43,45,482648.0,447535.0,852754.0,540681.0,845177.0,638823.0,501555.0,731501.0,33.0,69.0,42.0,62.0,50.0,61.0,40.0,47.0
44,46,684166.0,944733.0,1833032.0,1206121.0,943575.0,1395242.0,1520396.0,1191286.0,41.0,49.0,51.0,52.0,53.0,77.0,63.0,75.0
45,47,2512703.0,2736821.0,1994821.0,1283725.0,1646374.0,1504986.0,814349.0,832501.0,266.0,332.0,186.0,161.0,226.0,171.0,94.0,152.0
46,48,1111597.0,1132331.0,1623907.0,961486.0,781225.0,966429.0,1884819.0,439103.0,52.0,46.0,51.0,55.0,52.0,51.0,84.0,30.0
47,49,755650.0,1469663.0,1152495.0,698836.0,698706.0,743773.0,982038.0,575977.0,58.0,72.0,67.0,44.0,46.0,48.0,58.0,45.0
48,50,1431982.0,1919901.0,1494487.0,1133253.0,1544677.0,1334418.0,1797263.0,1097539.0,173.0,209.0,156.0,162.0,199.0,189.0,233.0,182.0
49,51,2094098.0,1732880.0,1759405.0,1036176.0,1723808.0,961476.0,1241365.0,684942.0,360.0,250.0,235.0,196.0,205.0,124.0,158.0,123.0
50,52,525751.0,693012.0,1239832.0,1292389.0,2272343.0,2223395.0,1046230.0,572820.0,76.0,93.0,127.0,118.0,164.0,138.0,86.0,92.0
51,53,702557.0,889973.0,1443780.0,975594.0,1418573.0,1066116.0,1090423.0,946663.0,55.0,61.0,117.0,63.0,72.0,42.0,57.0,73.0
52,54,680245.0,671918.0,782512.0,926284.0,387493.0,661369.0,653082.0,555907.0,67.0,77.0,83.0,77.0,53.0,79.0,96.0,100.0
53,55,939605.0,728291.0,1247825.0,859253.0,807604.0,826613.0,1176805.0,459748.0,144.0,89.0,123.0,116.0,132.0,129.0,135.0,79.0
54,56,1243717.0,797873.0,473006.0,591483.0,493291.0,666828.0,994122.0,626051.0,49.0,54.0,31.0,65.0,27.0,51.0,54.0,56.0
55,57,1202691.0,1434043.0,1036498.0,998779.0,2286191.0,761583.0,1373521.0,1066074.0,259.0,284.0,242.0,242.0,152.0,197.0,332.0,284.0
56,58,714711.0,462525.0,677860.0,441293.0,723973.0,985610.0,634135.0,621410.0,51.0,43.0,41.0,51.0,66.0,66.0,45.0,39.0
57,59,757764.0,858893.0,1337477.0,1319601.0,1248610.0,1065800.0,1373016.0,1120320.0,84.0,72.0,112.0,119.0,97.0,96.0,89.0,86.0
58,60,1148569.0,1859094.0,2125584.0,1197248.0,1369897.0,1744517.0,2364568.0,1054887.0,97.0,151.0,168.0,190.0,151.0,190.0,198.0,160.0
59,61,2512590.0,2526272.0,1952996.0,1585827.0,1503316.0,1262256.0,2178331.0,976475.0,242.0,212.0,127.0,192.0,180.0,169.0,260.0,142.0
60,62,738960.0,1204173.0,861792.0,729234.0,960734.0,471565.0,1131336.0,781665.0,79.0,108.0,80.0,82.0,115.0,53.0,75.0,100.0
61,63,412948.0,711492.0,638679.0,594294.0,599705.0,699996.0,660754.0,476463.0,60.0,88.0,71.0,60.0,60.0,84.0,75.0,83.0
62,64,636140.0,665944.0,719491.0,614758.0,477377.0,298350.0,58523.0,181201.0,144.0,175.0,126.0,131.0,114.0,65.0,10.0,33.0
63,65,1153392.0,1168692.0,942326.0,594278.0,1826000.0,1225858.0,843092.0,970846.0,87.0,80.0,89.0,72.0,144.0,94.0,55.0,106.0
64,66,1402351.0,1513648.0,1902735.0,1802317.0,1774564.0,2057189.0,1719410.0,1161650.0,252.0,231.0,252.0,270.0,259.0,250.0,257.0,206.0
65,67,905426.0,887202.0,1327477.0,1036227.0,1450068.0,1326885.0,1782393.0,1237110.0,145.0,167.0,213.0,214.0,283.0,299.0,314.0,322.0
66,68,684225.0,715025.0,1507028.0,1162967.0,770891.0,721333.0,1188990.0,611459.0,71.0,101.0,148.0,137.0,77.0,96.0,145.0,103.0
67,69,1481863.0,1882390.0,2493446.0,1732413.0,1773757.0,2110859.0,2591223.0,1773726.0,332.0,444.0,535.0,497.0,427.0,507.0,565.0,554.0
68,70,550938.0,689001.0,510484.0,390597.0,297785.0,20267.0,82810.0,0.0,112.0,127.0,90.0,87.0,53.0,1.0,9.0,0.0
69,71,550098.0,616053.0,611761.0,441300.0,528367.0,515609.0,777385.0,332276.0,140.0,131.0,156.0,125.0,130.0,134.0,170.0,92.0
70,72,522129.0,477736.0,1071194.0,941827.0,801540.0,962893.0,1027179.0,968775.0,60.0,74.0,117.0,127.0,102.0,151.0,145.0,120.0
71,73,1038264.0,1143890.0,962247.0,605399.0,145978.0,346956.0,146129.0,1672065.0,50.0,15.0,32.0,21.0,9.0,6.0,14.0,10.0
72,74,625694.0,671279.0,872403.0,496647.0,1123915.0,693490.0,573249.0,521021.0,37.0,40.0,58.0,38.0,92.0,77.0,47.0,44.0
73,75,457945.0,444275.0,670217.0,583725.0,500885.0,447140.0,522327.0,458707.0,102.0,85.0,118.0,144.0,97.0,86.0,114.0,129.0
74,76,767811.0,911719.0,566608.0,677153.0,517341.0,644830.0,592378.0,415053.0,102.0,135.0,54.0,96.0,83.0,88.0,98.0,65.0
75,77,1315831.0,1307448.0,1943182.0,1140456.0,1241120.0,1263283.0,1323595.0,1266891.0,77.0,87.0,164.0,124.0,84.0,123.0,102.0,115.0
76,78,1312143.0,608460.0,1260697.0,1271074.0,2008608.0,2334043.0,1855981.0,1165499.0,74.0,40.0,56.0,68.0,99.0,109.0,72.0,72.0
77,79,1434326.0,1052556.0,1856907.0,1275550.0,1039181.0,1674539.0,2179448.0,811597.0,255.0,167.0,255.0,246.0,191.0,290.0,290.0,161.0
78,80,929190.0,571118.0,1087531.0,953590.0,850778.0,943464.0,1123142.0,961310.0,237.0,123.0,221.0,238.0,166.0,211.0,212.0,190.0
79,81,515280.0,878968.0,624945.0,608686.0,1021827.0,883208.0,797118.0,320678.0,40.0,52.0,46.0,58.0,73.0,72.0,84.0,49.0
80,82,871804.0,1537163.0,1547878.0,1367601.0,1489251.0,1078582.0,1032864.0,846794.0,82.0,100.0,139.0,135.0,153.0,109.0,82.0,93.0
81,83,1088816.0,1415568.0,1562287.0,1138878.0,1246396.0,1509964.0,1744627.0,628288.0,48.0,93.0,133.0,85.0,128.0,98.0,94.0,62.0
82,84,992283.0,118771.0,636386.0,331270.0,875239.0,1057378.0,454898.0,529983.0,61.0,11.0,39.0,24.0,57.0,54.0,23.0,35.0
83,85,348866.0,350396.0,745538.0,1045211.0,858904.0,1864708.0,1523292.0,1131296.0,45.0,45.0,81.0,127.0,85.0,140.0,137.0,133.0
84,86,1592187.0,1571915.0,2010005.0,1912269.0,2902737.0,2457369.0,2766369.0,1568767.0,216.0,227.0,206.0,209.0,380.0,336.0,270.0,195.0
85,87,354946.0,856563.0,329715.0,464172.0,1536129.0,662856.0,635011.0,387407.0,38.0,100.0,31.0,44.0,48.0,51.0,41.0,26.0
86,88,1964860.0,1687946.0,1315277.0,1610592.0,1676237.0,1285072.0,2702008.0,1297356.0,175.0,145.0,132.0,181.0,205.0,123.0,141.0,157.0
87,89,661135.0,1303313.0,1216857.0,984394.0,1207390.0,1834991.0,1341673.0,1205850.0,140.0,248.0,205.0,187.0,241.0,313.0,259.0,290.0
88,90,453137.0,1010958.0,1205250.0,663730.0,1056698.0,1110246.0,2386183.0,894106.0,12.0,47.0,68.0,45.0,35.0,38.0,56.0,38.0
89,91,1787588.0,2086665.0,2155978.0,1719982.0,2117567.0,2056278.0,1911661.0,1531324.0,101.0,88.0,109.0,115.0,106.0,114.0,110.0,118.0
90,92,2136012.0,2011421.0,3123859.0,1644707.0,2079257.0,1998483.0,3337928.0,1319085.0,212.0,202.0,210.0,155.0,149.0,142.0,188.0,86.0
91,93,1576557.0,875252.0,1553971.0,20362.0,1505669.0,550966.0,2827076.0,662810.0,54.0,61.0,28.0,2.0,53.0,30.0,107.0,59.0
92,94,95680.0,376930.0,2257876.0,2055251.0,1485163.0,1449416.0,1703572.0,21811105.0,13.0,28.0,128.0,187.0,136.0,139.0,137.0,146.0
93,95,634829.0,923053.0,581265.0,468673.0,644161.0,803644.0,847301.0,656343.0,151.0,164.0,114.0,116.0,130.0,175.0,162.0,140.0
94,96,1241245.0,1447471.0,3321425.0,1335017.0,1459558.0,1094356.0,1886796.0,1229115.0,67.0,84.0,116.0,82.0,72.0,52.0,77.0,83.0
95,97,5816557.0,1611742.0,5950485.0,1346543.0,24444388.0,1290890.0,11083655.0,692018.0,127.0,159.0,88.0,129.0,143.0,191.0,144.0,58.0
96,98,1775308.0,1558309.0,2290172.0,1612686.0,902837.0,1332099.0,1318796.0,1526495.0,109.0,90.0,118.0,82.0,50.0,70.0,69.0,93.0
97,99,1105457.0,1646964.0,1393009.0,809905.0,1582818.0,1136036.0,2097049.0,715369.0,61.0,100.0,95.0,47.0,85.0,65.0,106.0,66.0
98,100,433510.0,477778.0,1425193.0,788812.0,499189.0,256324.0,1084055.0,40189.0,54.0,65.0,86.0,108.0,66.0,42.0,77.0,6.0
99,101,757749.0,449550.0,474342.0,697546.0,663412.0,575527.0,925186.0,825975.0,116.0,62.0,73.0,97.0,105.0,103.0,117.0,132.0
100,102,2689011.0,2415737.0,3792917.0,2154917.0,3230521.0,2855515.0,2436934.0,1662393.0,317.0,305.0,334.0,328.0,392.0,273.0,275.0,293.0
101,103,636153.0,451397.0,717986.0,305214.0,583950.0,543909.0,702897.0,384756.0,135.0,103.0,129.0,79.0,100.0,108.0,138.0,95.0
102,104,1757347.0,2013227.0,2463662.0,960368.0,1470224.0,1787546.0,2436793.0,1184749.0,278.0,358.0,341.0,188.0,275.0,372.0,401.0,243.0
103,105,2188624.0,2982121.0,3026539.0,2152421.0,2191076.0,1498759.0,2331551.0,1780171.0,315.0,368.0,295.0,338.0,220.0,238.0,274.0,245.0
104,106,479270.0,1034420.0,656506.0,568530.0,584666.0,566613.0,678743.0,438009.0,36.0,86.0,50.0,86.0,75.0,46.0,61.0,54.0
105,107,804724.0,685243.0,840816.0,954136.0,1575150.0,1411053.0,1688818.0,505084.0,73.0,87.0,48.0,89.0,65.0,76.0,71.0,60.0
106,108,646657.0,664232.0,782376.0,657300.0,685122.0,1043524.0,1537216.0,678569.0,72.0,65.0,96.0,104.0,90.0,125.0,127.0,110.0
107,109,1796690.0,1271851.0,1292745.0,982017.0,699044.0,721144.0,947120.0,630090.0,215.0,184.0,192.0,184.0,174.0,166.0,158.0,172.0
108,110,1162227.0,1114569.0,1915631.0,1315555.0,1358985.0,1071335.0,1167191.0,676475.0,184.0,138.0,191.0,179.0,149.0,144.0,150.0,83.0
109,111,588355.0,404506.0,957206.0,452296.0,677007.0,808715.0,662525.0,561884.0,194.0,177.0,172.0,183.0,171.0,238.0,208.0,215.0
110,112,259603.0,890066.0,2349269.0,928015.0,716443.0,1884871.0,3709477.0,758360.0,32.0,53.0,94.0,77.0,73.0,88.0,145.0,57.0
111,113,1990668.0,2111405.0,3042989.0,2091795.0,1995399.0,2368802.0,2512470.0,1004902.0,149.0,176.0,183.0,162.0,149.0,122.0,160.0,85.0
112,114,1134055.0,900065.0,778508.0,471415.0,987120.0,1296115.0,812862.0,845935.0,138.0,70.0,64.0,49.0,89.0,115.0,79.0,81.0
113,115,1140710.0,2307125.0,848631.0,1382882.0,1859410.0,1425431.0,1189635.0,629386.0,53.0,90.0,77.0,37.0,53.0,84.0,39.0,30.0
114,116,505416.0,1202128.0,1121613.0,595521.0,884410.0,853468.0,690745.0,750936.0,137.0,285.0,234.0,210.0,213.0,230.0,170.0,243.0
115,117,2181718.0,980244.0,4129159.0,895630.0,2711776.0,2019662.0,3202528.0,1037351.0,113.0,116.0,147.0,147.0,170.0,223.0,92.0,155.0
116,118,409268.0,487108.0,1093525.0,776842.0,990886.0,396443.0,818625.0,341582.0,20.0,34.0,59.0,53.0,47.0,19.0,33.0,34.0
117,119,721627.0,1143090.0,1517639.0,1261530.0,1429229.0,1344813.0,908875.0,302897.0,67.0,105.0,106.0,64.0,114.0,94.0,77.0,26.0
118,120,487313.0,645459.0,926565.0,306190.0,413817.0,568610.0,565226.0,197945.0,47.0,50.0,78.0,38.0,71.0,67.0,68.0,30.0
119,121,594359.0,610646.0,472451.0,1083012.0,875504.0,677196.0,1424092.0,967142.0,59.0,44.0,52.0,99.0,83.0,85.0,111.0,84.0
120,122,1233661.0,1096260.0,2285004.0,1236162.0,1634076.0,1560148.0,1494946.0,1297080.0,39.0,105.0,170.0,89.0,138.0,116.0,119.0,164.0
121,123,1550117.0,689711.0,1523845.0,1019593.0,1356854.0,1472676.0,1142221.0,917953.0,262.0,152.0,197.0,192.0,208.0,230.0,189.0,212.0
122,124,334422.0,418318.0,637776.0,379868.0,470909.0,519696.0,532457.0,764923.0,39.0,35.0,69.0,39.0,50.0,56.0,48.0,93.0
123,125,987778.0,1297813.0,944487.0,774000.0,1127527.0,1058850.0,469850.0,964998.0,92.0,125.0,78.0,82.0,101.0,66.0,34.0,112.0
124,126,927355.0,800989.0,854894.0,806190.0,993419.0,1906590.0,1390557.0,797928.0,152.0,128.0,149.0,171.0,175.0,278.0,206.0,153.0
125,127,391385.0,343213.0,408993.0,176673.0,371317.0,233876.0,488593.0,354315.0,43.0,46.0,47.0,28.0,65.0,38.0,74.0,59.0
126,128,626001.0,700219.0,2787850.0,770924.0,413012.0,817998.0,832632.0,130557.0,81.0,95.0,89.0,97.0,69.0,164.0,114.0,33.0
127,129,531655.0,864627.0,859946.0,741863.0,761570.0,946404.0,1334967.0,775918.0,94.0,112.0,107.0,122.0,113.0,111.0,176.0,138.0
128,130,1737434.0,1540649.0,1934474.0,1715383.0,1816682.0,1171478.0,951330.0,326947.0,106.0,99.0,104.0,147.0,113.0,97.0,61.0,40.0
129,131,2293478.0,2459822.0,3344382.0,1044333.0,1297797.0,2345100.0,3058851.0,1573340.0,309.0,240.0,379.0,131.0,205.0,201.0,300.0,210.0
130,132,1026362.0,1256286.0,1462807.0,1531839.0,2000034.0,433312.0,306537.0,334309.0,210.0,283.0,299.0,365.0,390.0,67.0,70.0,73.0
131,133,1760711.0,2012117.0,1584030.0,1020546.0,1105199.0,1735874.0,2040730.0,761786.0,152.0,167.0,142.0,104.0,114.0,129.0,152.0,79.0
132,134,3742797.0,308498.0,425577.0,733269.0,1627149.0,1616566.0,1097539.0,829123.0,32.0,21.0,22.0,99.0,94.0,41.0,55.0,46.0
133,135,497392.0,1127635.0,520458.0,795688.0,523858.0,789857.0,563828.0,281950.0,76.0,110.0,69.0,100.0,85.0,83.0,69.0,49.0
134,136,139350.0,887078.0,585365.0,434266.0,301759.0,440175.0,324647.0,639908.0,15.0,98.0,39.0,57.0,29.0,27.0,26.0,39.0
135,137,1543801.0,974989.0,2170061.0,722831.0,891199.0,1211031.0,988459.0,389590.0,95.0,103.0,79.0,105.0,115.0,157.0,121.0,83.0
136,138,1055376.0,456597.0,567223.0,491526.0,1122832.0,1612244.0,1277720.0,1288235.0,90.0,27.0,31.0,41.0,106.0,133.0,130.0,106.0
137,139,1205516.0,954627.0,1104304.0,1425790.0,1082263.0,2007093.0,1905935.0,797727.0,89.0,87.0,80.0,144.0,135.0,141.0,195.0,160.0
138,140,3453856.0,1786067.0,5232368.0,7074573.0,5857505.0,6135766.0,2539966.0,4810849.0,97.0,77.0,99.0,86.0,83.0,84.0,68.0,76.0
139,141,608784.0,658307.0,615817.0,491720.0,591824.0,835899.0,1254190.0,660676.0,152.0,156.0,128.0,129.0,154.0,214.0,207.0,195.0
140,143,597181.0,712295.0,890177.0,720040.0,695023.0,1119628.0,1172769.0,840539.0,150.0,163.0,186.0,192.0,174.0,231.0,225.0,246.0
141,144,9162603.0,11278475.0,14562222.0,9447746.0,9255192.0,2160777.0,3342700.0,874838.0,1015.0,1042.0,1312.0,1041.0,971.0,178.0,211.0,127.0
142,145,1247614.0,1628452.0,1544435.0,2586528.0,1248214.0,1283004.0,1575698.0,745688.0,98.0,79.0,72.0,118.0,54.0,82.0,78.0,50.0
143,146,110312.0,1594337.0,193275.0,122624.0,76831.0,297885.0,163304.0,77139.0,9.0,22.0,11.0,14.0,10.0,17.0,6.0,8.0
144,147,1974810.0,2410452.0,2746563.0,1561194.0,1771241.0,1611198.0,3125825.0,1490335.0,150.0,193.0,208.0,161.0,158.0,191.0,238.0,178.0
145,148,542189.0,491472.0,761163.0,640437.0,699778.0,976991.0,775765.0,690963.0,163.0,127.0,178.0,218.0,169.0,184.0,195.0,207.0
146,149,1065951.0,1001608.0,1553204.0,1102859.0,1675734.0,1886590.0,947429.0,1387156.0,65.0,64.0,91.0,70.0,91.0,133.0,52.0,134.0
147,150,1066417.0,1251717.0,2109562.0,944941.0,960367.0,1267803.0,682552.0,117728.0,204.0,201.0,297.0,218.0,200.0,243.0,142.0,42.0
148,151,2070754.0,2808663.0,2999177.0,1186300.0,1518495.0,1304993.0,1701417.0,1116861.0,149.0,168.0,151.0,110.0,133.0,127.0,135.0,129.0
149,152,1143460.0,1309166.0,1353688.0,803982.0,583104.0,234871.0,227712.0,377873.0,114.0,136.0,143.0,77.0,63.0,25.0,21.0,29.0
150,153,868223.0,591847.0,913263.0,415391.0,836734.0,773141.0,872784.0,408501.0,152.0,115.0,127.0,100.0,129.0,142.0,155.0,96.0
151,154,144913.0,520957.0,503672.0,166644.0,167471.0,413680.0,545097.0,542501.0,23.0,79.0,59.0,28.0,22.0,59.0,71.0,102.0
152,155,1240563.0,1200554.0,1092729.0,1131016.0,1514982.0,1687583.0,6065903.0,1049720.0,73.0,63.0,73.0,97.0,104.0,81.0,77.0,100.0
153,156,1737822.0,3014646.0,2472962.0,2413423.0,1844020.0,1639253.0,4502391.0,1552158.0,116.0,149.0,132.0,109.0,97.0,110.0,102.0,73.0
154,157,759825.0,759084.0,843536.0,627620.0,850167.0,843806.0,933439.0,515044.0,104.0,131.0,99.0,109.0,93.0,122.0,115.0,84.0
155,158,816254.0,869889.0,1393986.0,1477139.0,969645.0,2680731.0,1078299.0,1450624.0,82.0,91.0,127.0,232.0,118.0,152.0,149.0,178.0
156,159,174038.0,100743.0,391977.0,255157.0,402922.0,2305058.0,207508.0,79632.0,20.0,8.0,23.0,31.0,43.0,23.0,17.0,4.0
157,160,1523916.0,1490893.0,1183845.0,1256951.0,2439061.0,1461750.0,1657097.0,1377109.0,145.0,156.0,99.0,132.0,241.0,152.0,163.0,116.0
158,161,1078453.0,713762.0,377084.0,532517.0,424026.0,441550.0,463582.0,449752.0,58.0,30.0,14.0,25.0,16.0,32.0,22.0,31.0
159,162,1007785.0,630357.0,1924428.0,969439.0,1267106.0,734287.0,794503.0,738016.0,106.0,81.0,115.0,104.0,95.0,74.0,78.0,70.0
160,163,684651.0,1219834.0,1396952.0,1134602.0,1250235.0,1293175.0,1091299.0,971312.0,149.0,204.0,230.0,215.0,155.0,185.0,169.0,202.0
161,164,409120.0,506949.0,862222.0,793277.0,595880.0,433561.0,1783718.0,981127.0,18.0,48.0,53.0,32.0,63.0,60.0,198.0,135.0
162,165,40750.0,216359.0,234661.0,134620.0,1039328.0,326967.0,430262.0,345772.0,10.0,27.0,24.0,17.0,42.0,35.0,41.0,35.0
163,166,96152.0,1929917.0,1382355.0,1760809.0,1496081.0,1243072.0,925357.0,1119189.0,8.0,153.0,96.0,146.0,136.0,78.0,64.0,83.0
164,167,914158.0,827887.0,900773.0,1743786.0,1345609.0,948819.0,1829037.0,1220444.0,101.0,91.0,74.0,91.0,114.0,87.0,111.0,144.0
165,168,786988.0,2812763.0,1135340.0,1281481.0,713874.0,2561378.0,1197647.0,1095440.0,65.0,158.0,103.0,144.0,82.0,91.0,104.0,120.0
166,169,579116.0,466169.0,528356.0,70087.0,518364.0,754349.0,1460031.0,532380.0,105.0,95.0,109.0,25.0,109.0,130.0,215.0,129.0
167,170,1117703.0,1674048.0,2242182.0,950965.0,1429389.0,1822639.0,1984485.0,1457857.0,148.0,252.0,253.0,191.0,182.0,242.0,260.0,265.0
168,171,349935.0,634633.0,406406.0,5489132.0,624725.0,891302.0,794157.0,546762.0,47.0,53.0,46.0,66.0,68.0,118.0,100.0,73.0
169,172,1410996.0,2454927.0,1916662.0,1704562.0,2045061.0,1739307.0,2733578.0,1292779.0,121.0,192.0,169.0,159.0,186.0,141.0,191.0,144.0
170,173,1096053.0,1041682.0,1327196.0,1069416.0,1001237.0,1405805.0,1209575.0,1228015.0,220.0,225.0,233.0,240.0,254.0,271.0,277.0,304.0
