,°í°´¹øÈ£,±â_ÃÑ±¸¸Å¾×1,±â_ÃÑ±¸¸Å¾×2,±â_ÃÑ±¸¸Å¾×3,±â_ÃÑ±¸¸Å¾×4,±â_ÃÑ±¸¸Å¾×5,±â_ÃÑ±¸¸Å¾×6,±â_ÃÑ±¸¸Å¾×7,±â_ÃÑ±¸¸Å¾×8
135,137,0,4,3,3,2,4,4,4
136,138,3,4,4,4,3,4,3,4
137,139,4,4,4,4,4,3,4,4
138,140,4,4,3,3,4,2,3,4
139,141,0,0,0,0,0,1,0,0
140,143,0,0,1,0,1,3,3,0
141,144,0,2,0,0,4,2,2,0
142,145,4,2,4,4,4,3,4,4
143,146,4,4,4,4,4,4,4,4
144,147,4,4,4,4,4,4,4,4
145,148,0,0,0,0,0,0,0,0
146,149,0,1,3,3,3,3,4,4
147,150,3,0,3,3,3,3,3,2
148,151,4,4,4,3,4,4,4,4
149,152,3,4,3,3,3,3,4,3
150,153,3,2,2,2,2,0,0,0
151,154,4,4,4,4,4,4,4,4
152,155,3,2,0,4,3,3,3,4
153,156,2,0,0,3,2,0,1,2
154,157,1,3,3,2,3,4,3,3
155,158,0,2,2,2,0,0,0,2
156,159,3,4,0,2,3,4,4,4
157,160,1,3,4,4,3,3,4,3
158,161,4,3,4,4,4,4,4,4
159,162,2,0,0,0,2,2,1,0
160,163,3,3,0,0,0,2,1,0
161,164,4,4,4,4,4,4,4,4
162,165,3,4,2,4,2,3,2,3
163,166,2,0,3,3,3,3,4,2
164,167,2,0,0,0,2,0,2,2
165,168,2,3,4,3,2,4,3,3
166,169,0,2,3,1,2,3,3,2
167,170,0,0,0,1,2,3,3,3
168,171,3,4,4,3,3,4,4,3
169,172,4,4,4,4,4,4,4,4
170,173,0,3,3,3,2,1,0,2
171,175,2,2,3,3,3,3,3,4
172,176,0,0,2,0,2,0,0,0
173,177,4,3,4,4,4,4,3,3
174,178,2,3,0,3,1,3,2,2
175,179,3,2,2,4,2,3,4,4
176,180,3,4,4,4,4,4,4,3
177,181,4,3,4,4,4,4,4,4
178,182,4,4,4,4,3,4,4,4
179,183,0,0,0,1,3,2,2,3
180,184,0,4,4,4,3,4,3,3
181,185,0,1,2,2,2,2,2,0
182,186,2,4,3,3,3,4,4,2
183,187,2,0,3,2,0,2,0,0
184,188,0,0,0,1,0,0,0,2
185,189,3,2,2,2,0,4,4,4
186,190,0,2,0,2,0,4,4,4
187,191,0,4,0,0,0,3,4,2
188,192,0,3,4,4,4,3,4,3
189,193,3,3,3,3,3,2,3,3
190,194,0,0,3,1,2,2,2,0
191,195,2,0,0,2,3,3,2,2
192,196,3,4,3,2,3,3,2,3
193,197,0,0,0,3,0,3,1,4
194,198,0,3,2,2,2,3,4,2
195,199,2,2,2,2,4,4,2,2
196,200,0,0,0,0,0,0,0,0
197,201,2,0,2,4,2,3,4,4
198,202,2,3,4,3,3,0,2,2
199,203,0,2,0,3,3,3,3,1
200,204,0,2,4,2,2,3,3,1
201,205,0,0,3,3,3,3,3,3
202,206,0,2,2,2,1,3,1,4
203,207,2,0,0,2,0,3,1,2
204,208,2,4,4,1,4,3,0,0
205,209,4,4,4,3,3,4,3,3
206,210,0,0,0,2,0,2,0,1
207,211,3,3,3,3,3,3,4,3
208,212,0,0,0,0,0,1,0,0
209,213,3,4,3,3,4,2,2,1
210,214,2,2,2,3,2,2,0,3
211,215,1,2,2,3,2,3,4,2
212,216,3,3,3,2,3,4,4,4
213,217,2,1,0,2,1,3,3,2
214,218,3,4,4,3,2,3,4,4
215,219,3,3,4,4,4,4,4,4
216,220,2,0,3,0,3,2,2,2
217,221,2,3,2,4,3,2,3,2
218,222,2,3,3,4,3,4,4,4
219,223,2,0,4,3,3,3,4,3
220,224,4,4,4,4,4,4,4,4
221,225,4,0,2,2,3,2,4,4
222,226,3,3,0,3,3,3,4,3
223,227,2,0,0,0,2,0,0,0
224,228,2,0,3,0,0,0,2,2
225,229,2,0,2,2,4,3,4,0
226,230,2,0,2,3,4,4,4,3
227,231,0,0,0,2,2,0,0,1
228,232,0,0,0,0,0,0,2,2
229,233,3,0,3,2,3,3,4,4
230,234,3,3,4,4,4,4,4,4
231,235,3,3,3,2,0,4,0,0
232,236,0,0,0,0,0,0,0,1
233,237,4,4,4,4,4,4,4,4
234,238,0,0,0,0,0,0,0,2
235,239,0,0,0,2,3,4,3,3
236,240,2,4,3,3,2,3,3,3
237,241,2,2,4,3,0,3,2,3
238,242,0,2,2,3,2,2,2,3
239,243,1,3,2,1,2,2,2,2
240,245,2,0,2,2,2,2,0,0
241,246,3,3,4,4,4,4,4,4
242,247,4,4,4,4,4,4,3,4
243,248,4,4,3,3,0,3,4,3
244,249,0,3,3,3,4,3,4,3
245,250,2,2,2,3,4,3,4,3
246,251,0,0,3,3,1,2,3,3
247,252,4,3,3,3,3,3,2,2
248,253,3,4,4,4,4,4,4,4
249,254,0,3,2,3,2,0,3,3
250,255,4,4,4,4,4,4,4,4
251,256,2,3,4,3,0,3,4,3
252,257,4,3,4,4,4,4,4,4
253,258,0,2,3,1,4,3,4,4
254,259,0,2,0,2,2,2,2,2
255,260,0,3,4,1,1,1,3,2
256,261,3,3,3,4,3,3,4,3
257,262,0,2,0,0,3,2,2,0
258,263,0,2,0,2,0,3,1,0
259,264,0,0,0,2,2,0,2,2
260,265,3,4,3,3,4,4,4,2
261,266,0,2,3,0,1,4,3,2
262,267,3,4,4,3,3,3,3,3
263,268,4,2,3,3,4,3,3,4
264,269,0,2,0,0,0,0,0,0
265,270,0,0,0,2,2,2,2,2
266,271,3,2,3,3,0,3,3,3
267,272,3,4,4,4,4,4,4,4
268,273,2,3,4,4,4,4,4,4
269,274,1,2,2,2,3,3,2,2
270,275,3,4,3,4,3,3,4,4
271,276,0,0,0,0,4,0,0,0
272,277,3,4,3,3,4,3,4,2
273,278,0,0,2,0,0,0,0,0
274,279,3,4,4,4,4,4,4,4
275,280,4,4,4,4,4,4,4,4
276,281,3,4,4,4,4,4,4,4
277,282,4,4,4,3,3,3,3,3
278,283,3,0,0,3,1,1,3,3
279,284,0,0,0,1,1,0,0,1
280,285,1,2,2,2,1,2,3,4
281,286,2,4,2,3,3,3,3,3
282,287,0,4,4,4,3,4,4,4
283,288,4,4,4,4,4,4,4,4
284,289,3,4,4,4,4,4,4,4
285,290,0,0,3,3,3,4,4,3
286,291,0,2,0,1,0,2,2,2
287,292,3,3,2,0,2,2,3,2
288,293,3,2,2,2,2,4,2,2
289,294,3,0,3,4,3,3,4,3
290,295,4,3,3,3,4,4,4,3
291,296,0,0,0,0,4,4,4,4
292,297,0,4,3,2,2,2,3,4
293,298,0,4,4,4,4,4,4,4
294,299,0,0,0,2,1,3,2,1
295,300,2,2,3,4,3,4,4,2
296,301,2,4,4,4,4,4,4,3
297,302,3,3,3,4,3,3,3,3
298,303,3,3,4,4,1,4,3,3
299,304,2,3,1,0,0,2,4,4
300,305,3,3,3,2,4,4,2,0
301,306,2,0,3,0,0,3,4,4
302,307,4,4,4,4,4,4,4,3
303,308,1,2,1,0,1,4,0,0
304,309,0,4,4,4,3,3,3,4
305,310,1,3,3,1,0,2,2,0
306,311,3,0,3,2,0,0,3,0
307,312,0,0,4,4,0,3,0,0
308,313,4,4,4,4,4,4,4,4
309,314,4,4,4,4,4,3,4,4
310,315,1,4,3,3,4,3,4,4
311,316,4,4,4,4,4,4,4,4
312,317,3,3,4,2,2,3,3,2
313,318,3,3,3,1,3,1,3,1
314,319,4,4,4,4,3,3,4,3
315,320,3,3,4,3,4,4,4,4
316,321,4,4,4,4,4,4,4,4
317,322,2,3,2,3,1,2,0,3
318,323,3,3,1,3,3,1,3,2
319,324,3,3,3,4,4,1,4,3
320,325,3,3,0,3,3,2,2,2
321,326,3,3,4,4,4,4,4,4
322,327,4,3,3,3,4,3,4,2
323,328,3,4,4,2,3,3,4,2
324,329,4,4,4,3,2,3,3,4
325,330,2,0,0,0,2,3,2,3
326,331,2,1,3,2,2,2,2,0
327,332,3,2,4,3,2,2,2,4
328,333,2,3,3,3,3,3,4,3
329,334,2,2,3,0,0,2,2,2
330,335,2,3,4,3,4,4,2,3
331,336,2,0,3,0,3,3,3,0
332,337,0,0,0,3,3,3,0,2
333,338,0,3,3,3,4,2,4,2
334,339,0,2,1,3,4,1,4,3
335,340,4,4,4,4,3,3,3,3
336,341,4,3,4,4,4,4,4,3
337,342,0,0,0,1,3,2,2,2
338,343,3,3,4,4,4,4,3,3
339,344,3,3,0,0,0,2,2,2
340,345,3,4,4,4,4,4,4,4
341,346,3,4,2,3,1,3,4,4
342,347,2,2,0,3,3,0,1,2
343,348,0,0,0,1,0,2,2,0
344,349,4,4,4,4,4,4,4,4
345,350,3,3,3,4,4,4,4,4
346,351,4,3,2,3,4,3,1,0
347,352,2,2,3,3,0,2,2,2
348,353,0,3,4,2,2,3,2,2
349,354,2,2,0,0,0,2,1,1
350,355,3,4,4,4,4,3,4,4
351,356,4,4,4,4,4,4,4,2
352,357,0,3,0,0,0,4,2,0
353,358,2,4,0,2,2,2,4,2
354,359,3,3,3,4,4,3,3,3
355,360,4,4,0,4,3,4,4,3
356,361,3,3,4,4,3,4,4,4
357,362,0,2,0,0,0,3,2,0
358,363,4,3,3,3,2,3,4,3
359,364,0,3,4,4,3,4,3,3
360,365,4,4,4,2,3,2,4,3
361,366,0,0,3,3,4,4,4,4
362,367,3,2,2,2,1,0,3,3
363,368,4,4,4,3,4,4,4,4
364,369,4,4,4,2,4,0,2,1
365,370,3,2,0,2,2,2,3,2
366,371,1,3,3,4,3,4,3,2
367,372,0,2,2,1,3,3,3,1
368,373,3,3,4,3,3,4,3,3
369,374,4,4,4,4,4,4,4,3
370,375,4,4,4,4,4,4,4,3
371,376,0,0,0,0,2,2,3,2
372,377,4,4,4,4,4,4,4,4
373,378,4,3,4,4,4,4,4,3
374,379,3,4,3,3,4,3,3,2
375,380,0,0,0,1,0,0,0,0
376,381,2,2,2,2,3,2,0,2
377,382,4,4,4,3,4,4,3,4
378,383,2,2,3,3,3,3,2,3
379,384,0,0,2,3,2,2,2,1
380,385,0,3,2,0,3,2,1,2
381,386,4,4,4,3,3,2,4,3
382,387,2,4,4,4,3,4,4,4
383,388,4,4,3,3,4,2,4,4
384,389,2,1,2,1,2,2,3,2
385,390,1,0,0,0,0,0,0,0
386,391,3,4,4,3,3,3,3,3
387,392,4,3,2,3,4,4,4,4
388,393,0,3,2,4,4,4,4,4
389,394,2,3,0,2,2,3,1,1
390,395,0,4,0,2,4,2,0,2
391,396,0,2,2,3,2,2,1,3
392,397,0,0,2,3,3,1,0,2
393,398,4,4,3,4,3,0,4,3
394,399,3,1,3,2,3,3,0,0
395,400,0,0,2,1,2,3,2,2
396,401,3,2,3,4,3,3,2,4
397,402,2,3,2,2,3,2,0,2
398,403,0,1,2,2,2,3,2,3
399,404,3,3,4,3,4,4,4,4
400,405,4,4,4,4,3,4,4,4
401,406,3,0,2,3,3,2,3,3
402,407,2,2,2,3,2,2,2,2
403,408,0,4,2,2,0,2,1,2
404,409,2,4,2,2,4,3,4,2
405,410,0,2,0,0,4,3,0,0
406,411,4,4,4,4,3,3,3,3
407,412,2,4,4,4,3,4,4,3
408,413,3,3,3,1,3,3,4,1
409,414,2,1,2,4,3,3,4,3
410,415,1,0,1,2,2,1,2,1
411,416,0,4,4,3,3,2,3,3
412,417,2,3,4,3,3,2,3,3
413,418,2,0,2,2,3,4,3,1
414,419,2,3,0,3,2,3,2,3
415,420,2,2,4,3,3,3,3,4
416,421,4,4,4,4,4,4,4,4
417,422,4,4,4,4,4,4,4,4
418,423,3,3,3,3,4,3,4,3
419,424,0,0,2,2,0,0,0,2
420,425,3,2,2,2,2,3,2,3
421,426,4,4,4,4,0,2,3,2
422,427,2,2,4,4,4,4,4,4
423,428,3,4,4,3,3,3,0,3
424,429,2,0,2,2,3,3,2,2
425,430,2,0,0,0,0,0,4,3
426,431,1,4,2,2,4,2,1,3
427,432,2,0,4,3,4,0,3,0
428,433,4,3,4,3,4,4,4,4
429,434,0,0,3,0,0,0,0,1
430,435,3,2,3,2,3,3,3,2
431,436,3,4,4,3,4,4,4,3
432,437,0,0,0,0,0,0,0,0
433,438,4,4,4,4,4,4,3,3
434,439,0,0,0,0,0,2,0,0
435,440,3,4,4,4,4,3,4,4
436,441,2,4,2,4,3,3,4,2
437,442,0,0,1,3,3,3,3,3
438,443,3,3,3,4,3,4,4,3
439,444,4,3,4,3,2,3,4,4
440,445,4,4,4,4,4,4,4,4
441,446,4,0,4,3,2,4,4,3
442,447,4,3,2,0,0,0,1,3
443,448,4,3,4,2,4,4,3,3
444,449,4,4,4,4,4,4,4,4
445,450,4,4,4,4,4,4,4,4
446,451,4,3,4,4,4,4,4,3
447,452,0,0,3,0,0,0,0,0
448,453,2,3,2,2,3,2,3,1
449,454,0,3,3,3,3,3,3,3
450,455,2,3,4,4,4,3,3,3
451,456,3,3,3,4,3,3,4,4
452,457,3,4,4,4,4,4,4,4
453,458,2,3,2,4,4,3,4,3
454,459,2,2,4,3,3,2,2,2
455,461,0,0,2,2,0,3,3,1
456,462,3,2,2,2,0,4,3,2
457,463,2,3,3,2,3,3,4,4
458,464,3,2,3,2,3,3,3,3
459,465,3,1,3,2,2,2,0,3
460,466,3,3,4,4,4,3,4,4
461,467,3,4,2,3,4,3,4,4
462,468,2,3,2,3,3,4,3,2
463,469,2,2,4,2,0,3,3,2
464,470,0,0,0,0,0,0,0,2
465,471,2,4,3,3,4,3,4,4
466,472,3,2,2,1,2,2,2,1
467,473,2,0,1,4,2,2,3,2
468,474,3,4,4,4,4,4,4,4
469,475,3,2,2,2,3,3,4,2
470,476,0,0,0,0,0,0,0,0
471,477,3,4,4,3,3,4,3,3
472,478,0,3,0,4,4,0,0,4
473,479,2,3,3,2,2,3,4,2
474,480,4,3,4,4,4,4,4,4
475,481,4,4,4,4,4,4,4,4
476,482,3,0,3,3,4,3,4,4
477,483,0,4,0,0,0,0,0,1
478,484,3,2,3,3,3,2,3,1
479,485,2,0,3,3,4,3,4,4
480,486,0,0,3,0,0,3,2,2
481,487,0,0,3,2,2,2,3,1
482,488,0,0,0,0,0,0,0,0
483,489,3,4,4,4,4,4,4,3
484,490,0,3,1,4,2,4,3,4
485,491,2,3,0,2,0,0,2,0
486,492,2,2,3,3,2,2,3,3
487,493,0,0,0,3,3,4,3,2
488,494,2,3,2,3,4,3,3,4
489,495,0,0,0,0,0,0,2,2
490,496,2,3,2,3,0,3,0,2
491,497,2,1,0,2,4,0,1,2
492,498,0,0,2,2,3,2,1,3
493,499,0,0,0,1,1,2,2,2
494,500,3,3,3,2,3,3,3,3
495,501,3,4,4,4,4,4,4,4
496,502,4,0,0,4,0,0,0,0
497,503,4,4,4,4,3,4,4,3
498,504,4,4,4,4,4,4,4,4
499,505,3,4,4,4,3,4,4,4
500,506,3,2,4,3,4,3,3,3
501,507,0,3,4,2,0,0,3,3
502,508,3,3,2,3,4,3,2,3
503,509,2,0,1,3,1,0,3,3
504,510,4,3,0,4,3,3,4,4
505,511,2,2,0,2,1,2,2,2
506,512,0,0,2,1,2,0,2,3
507,513,3,3,3,4,4,4,4,4
508,514,0,0,0,0,0,2,0,0
509,515,2,3,3,0,3,2,3,3
510,516,0,3,3,2,3,3,3,3
511,517,2,2,2,2,4,3,3,3
512,518,4,4,4,4,3,2,3,3
513,519,1,4,3,4,4,4,4,4
514,520,3,4,4,4,4,4,4,4
515,521,4,4,4,4,4,4,3,4
516,522,3,3,3,3,3,3,3,3
517,523,0,0,0,0,0,0,0,2
518,524,3,4,4,3,3,3,2,1
519,525,3,4,4,4,4,4,4,4
520,526,4,4,4,3,3,4,4,2
521,527,0,0,0,0,0,0,0,0
522,528,0,0,0,2,2,1,0,0
523,529,1,2,2,2,1,2,2,2
524,530,3,2,2,3,2,3,4,4
525,531,3,4,4,0,4,4,4,4
526,532,4,4,4,3,2,3,2,3
527,533,0,0,0,4,0,0,0,2
528,534,3,4,4,3,3,3,4,4
529,535,4,4,3,1,3,3,4,3
530,536,2,3,3,1,3,2,3,2
531,537,0,0,0,1,1,3,2,1
532,538,3,3,4,4,4,4,4,4
533,539,3,4,4,4,4,4,4,4
534,540,1,3,3,1,2,3,3,3
535,541,4,3,4,4,4,4,4,3
536,542,3,2,1,3,2,0,0,1
537,543,3,3,0,0,0,0,0,0
538,544,4,3,3,3,3,3,3,3
539,545,4,3,4,4,2,1,3,0
540,546,0,3,2,2,3,1,3,0
541,547,0,0,4,4,3,2,3,2
542,548,4,2,4,3,3,3,4,3
543,549,4,4,3,3,4,3,4,3
544,550,3,4,4,4,3,4,4,4
545,551,1,2,0,2,1,2,2,2
546,552,3,3,3,3,4,4,4,4
547,553,3,2,3,3,2,2,2,3
548,554,0,4,2,4,4,3,3,4
549,555,0,3,0,3,0,1,4,3
550,556,0,0,2,3,2,2,1,2
551,557,0,1,0,0,2,2,2,1
552,558,3,3,3,3,3,4,3,3
553,559,3,3,2,2,4,3,0,3
554,560,4,3,4,2,3,4,4,3
555,561,3,2,0,4,2,3,3,3
556,562,4,4,3,2,2,2,3,1
557,563,3,3,4,3,4,4,4,4
558,564,2,3,3,3,3,4,3,2
559,565,4,4,4,4,4,4,3,4
560,566,4,3,4,3,4,4,4,4
561,567,3,3,4,2,3,3,3,3
562,568,0,0,0,0,0,2,1,2
563,569,2,2,3,0,4,3,4,4
564,570,0,0,0,0,0,0,0,0
565,571,4,3,4,4,4,4,4,3
566,572,3,0,3,3,3,4,4,3
567,573,0,2,3,1,1,4,3,3
568,574,4,4,4,3,4,4,4,3
569,575,2,3,3,2,2,3,4,4
570,576,4,4,4,4,4,4,4,2
571,577,0,0,0,2,1,3,3,2
572,578,4,4,4,3,4,4,4,4
573,579,0,0,0,0,0,2,0,0
574,580,0,2,3,3,4,4,4,4
575,581,0,0,0,0,0,0,0,0
576,582,3,4,0,3,3,3,3,0
577,583,0,0,0,0,0,2,0,0
578,584,4,4,4,3,4,4,4,3
579,585,4,3,3,4,3,4,3,2
580,586,4,3,4,4,4,4,4,4
581,587,0,4,4,4,4,4,4,3
582,588,4,3,4,4,3,4,3,3
583,589,4,0,3,2,2,4,4,2
584,590,0,0,3,3,0,0,3,2
585,591,0,0,0,0,0,0,0,0
586,592,0,2,3,0,0,0,0,0
587,593,4,4,4,4,3,4,3,4
588,594,4,4,3,3,2,4,4,4
589,595,0,2,2,4,0,1,1,1
590,596,3,0,3,0,4,3,2,2
591,597,3,2,3,4,4,4,4,4
592,598,2,2,3,2,2,2,2,3
593,599,2,0,2,2,1,2,2,2
594,600,1,3,2,4,3,4,4,4
595,601,4,3,3,2,2,2,2,2
596,602,3,2,2,3,4,4,4,4
597,603,3,4,4,3,4,4,3,3
598,604,2,2,2,1,1,0,2,2
599,605,0,0,0,0,0,0,0,0
600,606,4,4,3,3,3,4,4,3
601,607,3,3,4,3,4,4,3,3
602,608,4,4,4,4,4,4,4,4
603,609,0,0,0,2,1,2,3,1
604,610,2,3,3,3,4,3,0,3
605,611,0,0,0,2,0,0,0,3
606,612,3,4,4,4,3,3,1,2
607,613,4,4,3,4,4,4,4,4
608,614,3,2,2,3,2,3,3,4
609,615,4,3,2,3,4,4,3,2
610,616,0,0,0,3,2,3,2,2
611,617,4,4,3,3,3,4,4,3
612,618,4,3,4,4,4,2,4,4
613,619,0,0,3,4,2,2,0,0
614,620,2,3,1,4,2,3,0,3
615,621,0,0,1,2,3,3,2,2
616,622,3,2,4,4,4,3,4,4
617,623,2,2,3,3,3,2,3,3
618,624,0,0,0,1,0,2,2,1
619,625,3,4,3,3,4,4,3,3
620,626,0,2,2,3,2,2,1,0
621,627,3,3,3,4,3,4,3,4
622,628,3,2,4,2,2,3,3,3
623,629,3,2,4,3,3,3,4,4
624,630,3,3,4,3,3,0,2,1
625,631,1,2,0,4,0,0,2,2
626,632,2,3,4,3,3,4,4,3
627,633,2,2,0,3,4,4,4,3
628,634,4,4,4,4,3,3,2,2
629,635,2,4,1,3,2,1,3,1
630,636,3,2,1,2,3,3,3,1
631,637,2,0,4,3,0,3,4,4
632,638,4,2,4,4,4,3,4,3
633,639,3,2,3,2,1,1,2,0
634,640,2,3,3,4,2,3,4,4
635,641,3,3,4,3,3,4,4,4
636,642,0,0,0,0,3,4,0,0
637,643,4,3,3,3,3,4,4,3
638,644,0,0,0,3,2,2,2,0
639,645,3,4,4,4,4,2,4,3
640,646,0,0,2,2,2,2,1,2
641,647,0,0,0,0,0,0,0,0
642,648,2,3,2,3,4,3,3,3
643,649,2,3,2,2,3,3,4,3
644,650,2,3,3,4,3,2,2,1
645,651,3,3,3,3,2,3,3,3
646,652,0,4,2,2,3,2,3,3
647,653,0,0,0,2,2,3,0,2
648,654,1,2,4,4,4,0,4,4
649,655,3,2,0,2,3,2,1,2
650,656,4,4,4,4,4,2,1,2
651,657,3,4,4,4,3,4,4,2
652,658,4,3,3,3,4,4,3,1
653,659,2,0,0,0,1,1,0,2
654,660,0,0,0,0,0,0,2,0
655,661,2,3,0,3,2,3,2,3
656,662,1,4,3,4,2,3,2,2
657,663,0,0,0,0,0,0,0,0
658,664,4,4,4,4,4,3,4,4
659,665,2,0,1,2,1,1,3,2
660,666,2,0,0,0,0,0,2,0
661,667,3,2,3,3,3,4,2,2
662,668,0,0,0,0,0,0,0,0
663,669,0,0,3,2,0,2,2,1
664,670,3,4,4,2,4,3,0,2
665,671,2,3,2,3,2,0,1,2
666,672,3,3,4,4,3,4,4,4
667,673,2,4,4,3,2,3,4,2
668,674,2,3,3,3,4,3,3,3
669,675,3,3,4,3,4,4,3,2
670,676,4,4,4,4,4,0,4,4
671,677,4,2,0,1,3,2,2,3
672,678,4,3,4,2,1,2,4,4
673,679,0,0,0,0,2,0,0,0
674,680,1,1,2,2,3,3,4,2
675,681,4,4,4,4,3,4,4,3
676,682,2,0,0,0,0,2,2,2
677,683,2,2,0,4,4,4,4,3
678,684,2,2,2,2,2,3,1,2
679,685,0,0,0,0,0,0,0,0
680,686,3,3,3,2,3,3,3,0
