,°í°´¹øÈ£,¼±_ÃÑ±¸¸Å¾×1,¼±_ÃÑ±¸¸Å¾×2,¼±_ÃÑ±¸¸Å¾×3,¼±_ÃÑ±¸¸Å¾×4,¼±_ÃÑ±¸¸Å¾×5,¼±_ÃÑ±¸¸Å¾×6,¼±_ÃÑ±¸¸Å¾×7,¼±_ÃÑ±¸¸Å¾×8
426,431,3,2,3,3,3,3,3,3
427,432,4,4,3,4,4,3,3,3
428,433,4,4,4,4,4,4,4,4
429,434,3,3,3,3,3,4,3,4
430,435,4,4,3,2,3,4,3,3
431,436,4,4,4,4,4,4,4,4
432,437,0,0,0,0,0,3,0,0
433,438,4,4,4,4,4,4,4,4
434,439,0,1,0,0,1,0,1,1
435,440,4,4,4,4,4,3,4,4
436,441,3,4,4,3,3,3,4,3
437,442,1,2,1,1,1,2,2,2
438,443,4,4,4,4,4,4,4,4
439,444,4,4,4,4,4,4,4,4
440,445,0,1,1,1,2,2,2,2
441,446,3,2,1,2,1,3,3,2
442,447,3,3,3,2,3,4,3,3
443,448,4,4,4,4,4,3,4,4
444,449,3,3,3,4,3,4,3,3
445,450,4,4,4,4,4,4,4,4
446,451,3,3,3,3,2,3,3,3
447,452,1,1,2,2,0,0,1,0
448,453,3,4,4,4,3,3,4,4
449,454,2,2,2,3,2,3,3,3
450,455,3,2,3,3,3,3,0,3
451,456,2,3,2,3,3,3,4,4
452,457,4,4,4,4,4,4,4,4
453,458,1,1,1,1,1,2,2,1
454,459,3,3,4,3,3,3,3,3
455,461,1,2,2,2,0,2,2,2
456,462,4,4,4,4,4,4,4,4
457,463,4,4,4,4,4,4,4,4
458,464,3,3,3,2,2,3,3,3
459,465,3,3,2,3,3,2,2,3
460,466,4,4,4,4,4,4,4,4
461,467,4,3,3,3,3,2,3,2
462,468,4,4,4,4,4,4,3,4
463,469,2,4,4,3,2,3,3,1
464,470,1,1,2,1,1,0,1,1
465,471,3,4,4,4,4,4,4,4
466,472,2,1,1,1,2,2,2,2
467,473,3,2,2,2,2,2,2,2
468,474,4,4,4,4,4,4,4,4
469,475,4,3,3,3,3,3,3,3
470,476,0,0,0,2,0,1,0,0
471,477,4,4,4,4,4,4,4,4
472,478,4,4,4,4,4,4,4,4
473,479,1,3,2,0,2,1,2,1
474,480,4,4,4,4,4,4,4,4
475,481,4,4,4,4,4,4,4,4
476,482,1,2,1,2,1,1,2,3
477,483,2,3,2,2,3,2,2,3
478,484,4,4,4,4,3,4,4,4
479,485,4,4,4,4,4,4,4,4
480,486,4,4,4,4,4,4,3,4
481,487,1,1,2,1,1,2,2,1
482,488,0,1,1,1,0,2,0,2
483,489,4,4,4,4,4,4,4,4
484,490,3,3,3,3,3,4,3,4
485,491,2,3,2,3,0,3,3,3
486,492,4,4,4,4,4,3,4,4
487,493,2,1,1,3,2,2,2,2
488,494,4,4,3,4,3,4,4,4
489,495,3,0,1,1,2,2,1,2
490,496,3,1,3,2,3,3,3,3
491,497,2,2,1,2,2,2,1,2
492,498,3,2,3,2,3,3,3,1
493,499,3,1,1,0,2,2,2,2
494,500,2,2,3,2,3,3,3,2
495,501,4,4,4,4,4,4,4,4
496,502,4,4,3,4,4,4,3,3
497,503,3,4,4,4,4,4,4,4
498,504,4,4,4,4,4,4,4,4
499,505,4,4,4,4,4,4,4,4
500,506,4,4,3,3,4,3,3,3
501,507,3,3,3,3,3,3,3,3
502,508,4,4,4,4,4,4,4,4
503,509,4,4,4,4,4,4,3,4
504,510,4,4,4,4,4,4,4,4
505,511,2,1,2,2,1,2,2,1
506,512,2,1,2,1,1,1,1,1
507,513,4,4,4,4,3,4,4,4
508,514,3,1,1,3,0,3,4,2
509,515,4,4,3,4,4,4,4,4
510,516,2,2,1,1,2,1,1,1
511,517,3,4,3,4,4,4,4,3
512,518,4,4,4,4,4,4,4,4
513,519,2,3,1,4,4,4,4,4
514,520,4,4,4,4,3,4,3,4
515,521,4,4,4,4,4,4,4,4
516,522,2,3,3,4,4,4,3,2
517,523,0,1,0,1,0,0,1,1
518,524,3,3,2,2,3,3,2,2
519,525,3,3,3,4,3,3,3,4
520,526,4,4,4,4,2,4,4,3
521,527,2,4,0,2,1,0,0,0
522,528,1,0,1,1,1,1,1,0
523,529,4,4,4,4,4,4,4,3
524,530,3,3,3,4,3,3,3,4
525,531,2,4,4,4,3,4,3,3
526,532,4,4,4,4,4,4,4,4
527,533,2,1,1,1,1,1,1,1
528,534,3,3,3,3,3,3,4,3
529,535,4,4,4,4,4,4,4,4
530,536,1,1,2,1,1,1,1,1
531,537,1,1,1,1,2,1,1,1
532,538,3,4,4,4,4,4,4,4
533,539,4,4,3,3,3,3,4,4
534,540,2,3,2,3,2,2,2,2
535,541,1,1,2,2,2,1,2,2
536,542,0,3,3,3,3,3,3,2
537,543,3,3,3,3,3,3,3,3
538,544,4,4,4,4,4,4,4,4
539,545,4,3,4,4,3,3,4,4
540,546,4,4,4,4,4,4,4,4
541,547,4,4,4,3,4,3,4,3
542,548,4,3,4,4,4,4,4,4
543,549,4,4,3,4,4,4,3,4
544,550,2,2,3,3,3,4,4,4
545,551,1,2,2,3,2,2,3,2
546,552,3,4,3,3,3,3,3,3
547,553,3,4,4,4,4,3,3,4
548,554,4,4,4,4,4,4,4,4
549,555,3,3,2,3,3,3,3,3
550,556,2,3,1,1,1,1,1,0
551,557,2,3,1,3,2,2,2,2
552,558,2,2,1,3,3,3,3,3
553,559,4,4,4,4,4,4,3,4
554,560,4,4,4,4,4,4,4,4
555,561,4,4,4,4,4,4,4,4
556,562,4,4,4,4,4,4,4,4
557,563,3,3,3,2,3,3,3,3
558,564,4,4,4,4,4,4,4,3
559,565,4,4,4,4,4,4,4,4
560,566,4,4,3,3,4,4,4,4
561,567,4,4,4,3,4,3,3,3
562,568,0,1,2,1,1,1,2,2
563,569,3,4,4,4,3,4,3,3
564,570,1,1,1,1,1,1,1,0
565,571,4,3,4,4,4,3,4,4
566,572,3,3,4,4,4,4,4,4
567,573,3,3,4,3,4,4,4,3
568,574,4,4,3,4,4,3,4,3
569,575,3,3,3,4,4,4,3,3
570,576,4,4,4,4,4,4,4,4
571,577,3,3,3,4,4,3,4,2
572,578,4,4,4,4,4,4,4,4
573,579,1,1,0,1,1,1,1,1
574,580,2,2,2,3,3,2,2,2
575,581,1,0,0,1,1,1,1,1
576,582,2,4,2,2,3,3,2,2
577,583,1,1,0,1,1,1,1,0
578,584,4,4,3,4,3,3,3,3
579,585,4,4,4,4,4,4,4,3
580,586,4,4,4,4,4,4,4,4
581,587,4,4,4,4,4,4,4,4
582,588,4,4,4,4,4,4,3,3
583,589,3,4,4,3,4,3,3,4
584,590,1,2,2,2,2,1,3,3
585,591,0,1,2,0,1,1,1,1
586,592,3,3,4,3,3,3,3,3
587,593,3,4,3,3,3,4,4,4
588,594,4,4,4,4,4,4,4,4
589,595,4,3,3,3,3,3,4,4
590,596,4,4,4,4,4,4,4,3
591,597,4,4,4,4,4,3,4,4
592,598,2,3,2,2,2,2,3,3
593,599,4,3,3,4,3,4,4,4
594,600,2,3,3,4,3,3,3,3
595,601,4,4,3,3,4,4,4,3
596,602,4,4,4,3,4,4,4,4
597,603,4,4,4,4,4,3,3,3
598,604,3,4,3,3,3,3,3,4
599,605,1,0,1,0,1,1,1,0
600,606,4,4,4,4,3,3,3,4
601,607,2,3,3,3,1,3,3,3
602,608,4,4,4,4,3,4,4,4
603,609,1,2,1,2,1,0,1,1
604,610,2,2,2,0,3,2,2,4
605,611,4,4,4,4,4,4,4,4
606,612,4,4,4,4,4,3,4,3
607,613,4,4,4,4,4,4,4,4
608,614,4,4,4,4,4,4,4,4
609,615,3,4,3,3,4,4,3,3
610,616,1,1,2,1,2,2,1,2
611,617,4,4,4,4,4,4,4,4
612,618,3,4,4,4,3,3,3,4
613,619,1,2,1,2,3,3,1,1
614,620,4,4,4,4,4,4,4,4
615,621,1,1,2,2,1,1,1,1
616,622,4,4,4,3,3,4,4,3
617,623,2,1,2,3,3,3,2,2
618,624,1,2,1,1,1,1,1,1
619,625,2,2,2,2,2,2,2,2
620,626,2,2,2,1,1,2,2,2
621,627,3,3,4,4,4,4,4,3
622,628,4,2,2,3,3,3,2,3
623,629,3,3,2,3,3,3,3,2
624,630,4,3,4,3,3,3,3,1
625,631,4,4,4,4,4,4,4,4
626,632,2,2,3,3,2,1,4,3
627,633,4,4,4,4,4,4,4,4
628,634,4,3,3,4,4,3,4,3
629,635,4,4,4,4,4,3,3,4
630,636,4,3,3,3,1,2,2,1
631,637,4,3,4,4,4,4,4,4
632,638,4,4,4,4,4,4,4,4
633,639,4,3,4,3,4,4,3,4
634,640,4,4,4,4,4,4,4,4
635,641,4,4,4,4,4,4,4,4
636,642,3,4,3,4,4,4,4,4
637,643,3,4,3,3,3,3,4,3
638,644,2,3,3,3,3,3,2,2
639,645,4,4,4,4,4,4,4,4
640,646,2,2,2,3,2,3,2,3
641,647,2,0,1,1,2,1,1,1
642,648,4,4,4,4,4,4,4,3
643,649,3,3,2,3,3,3,3,3
644,650,2,0,3,1,1,0,2,0
645,651,4,4,3,4,4,4,4,4
646,652,4,4,4,3,4,4,4,4
647,653,2,1,2,2,1,2,3,2
648,654,3,3,4,4,4,4,3,4
649,655,2,1,1,1,1,2,1,1
650,656,4,4,4,4,4,4,4,4
651,657,4,4,4,4,4,4,4,4
652,658,3,3,3,3,3,3,3,3
653,659,1,1,1,2,1,1,1,1
654,660,0,0,0,1,0,1,1,2
655,661,4,4,3,4,4,3,4,3
656,662,2,2,2,2,1,2,1,2
657,663,1,1,1,1,1,1,1,1
658,664,4,4,4,4,4,4,4,4
659,665,3,3,3,3,3,3,3,3
660,666,0,1,0,0,2,3,2,2
661,667,4,3,4,4,3,4,4,3
662,668,1,0,1,0,0,0,0,0
663,669,3,4,4,3,3,3,3,3
664,670,4,4,4,4,4,4,4,4
665,671,3,3,3,2,2,2,1,2
666,672,4,3,3,3,3,3,3,4
667,673,4,4,4,4,4,4,4,4
668,674,4,4,4,4,4,4,3,4
669,675,2,3,2,3,2,2,3,2
670,676,4,4,4,4,4,4,4,4
671,677,3,3,2,2,3,2,3,3
672,678,1,1,1,1,1,1,1,1
673,679,1,0,0,2,2,1,1,2
674,680,2,3,3,3,2,3,2,2
675,681,4,2,3,4,3,3,4,3
676,682,2,1,2,2,1,1,1,0
677,683,3,3,2,3,2,2,1,3
678,684,3,3,2,4,3,2,3,2
679,685,1,1,1,0,0,0,1,0
680,686,4,4,3,3,3,3,3,3
