,고객번호,기_총구매액1,기_총구매액2,기_총구매액3,기_총구매액4,기_총구매액5,기_총구매액6,기_총구매액7,기타_증감율,기타_변동율,기_(증감*0.8)+(변동*0.2)
56,58,4,4,4,3,4,4,4,0,2,0.4
57,59,4,3,3,3,4,4,0,-4,6,-2
58,60,2,2,3,3,3,3,4,2,2,2
59,61,2,3,0,1,2,0,0,-2,8,0
60,62,4,4,4,4,4,4,4,0,0,0
61,63,2,1,2,0,0,2,0,-2,8,0
62,64,0,0,1,2,0,2,0,0,8,1.6
63,65,2,2,3,2,4,4,3,1,5,1.8
64,66,2,2,2,3,3,3,4,2,2,2
65,67,0,0,0,1,1,1,0,0,2,0.4
66,68,4,4,4,4,4,4,4,0,0,0
67,69,0,0,0,0,0,0,0,0,0,0
68,70,4,4,4,4,4,2,3,-1,3,-0.2
69,71,1,0,2,2,3,2,2,1,5,1.8
70,72,0,1,2,0,4,2,2,2,10,3.6
71,73,0,4,4,0,1,2,4,4,12,5.6
72,74,4,3,4,4,4,3,3,-1,3,-0.2
73,75,1,3,2,0,2,0,2,1,11,3
74,76,2,2,2,2,2,2,4,2,2,2
75,77,3,3,4,4,4,4,3,0,2,0.4
76,78,4,3,4,4,4,4,4,0,2,0.4
77,79,3,3,4,3,4,3,3,0,4,0.8
78,80,3,2,3,3,3,3,3,0,2,0.4
79,81,4,4,4,4,4,4,4,0,0,0
80,82,3,4,4,3,4,4,4,1,3,1.4
81,83,4,4,4,4,3,4,4,0,2,0.4
82,84,3,4,3,3,3,3,2,-1,3,-0.2
83,85,0,0,0,0,4,0,4,4,12,5.6
84,86,1,0,0,3,3,2,3,2,6,2.8
85,87,4,4,4,3,4,4,3,-1,3,-0.2
86,88,2,4,4,4,4,4,4,2,2,2
87,89,3,1,3,3,2,2,3,0,6,1.2
88,90,4,4,4,4,3,4,4,0,2,0.4
89,91,0,2,3,3,2,3,3,3,5,3.4
90,92,3,2,3,4,3,4,4,1,5,1.8
91,93,4,4,4,2,4,4,4,0,4,0.8
92,94,0,0,4,4,0,3,2,2,12,4
93,95,2,0,1,2,2,2,2,0,4,0.8
94,96,2,3,4,0,3,3,4,2,10,3.6
95,97,4,3,4,4,3,4,4,0,4,0.8
96,98,2,4,2,2,3,3,3,1,5,1.8
97,99,4,4,4,4,4,4,4,0,0,0
98,100,3,0,3,3,1,3,4,1,11,3
99,101,2,2,3,2,3,1,3,1,7,2.2
100,102,2,2,2,3,3,2,2,0,2,0.4
101,103,2,0,3,2,0,0,0,-2,8,0
102,104,0,0,0,3,1,2,2,2,6,2.8
103,105,0,0,3,1,4,4,4,4,8,4.8
104,106,3,4,2,4,3,3,3,0,6,1.2
105,107,4,4,3,3,3,4,0,-4,6,-2
106,108,3,0,2,4,2,3,3,0,10,2
107,109,3,0,3,0,0,0,0,-3,9,-0.6
108,110,4,4,4,4,4,3,4,0,2,0.4
109,111,0,0,0,0,0,1,0,0,2,0.4
110,112,4,0,2,3,3,3,4,0,8,1.6
111,113,4,4,4,4,3,4,4,0,2,0.4
112,114,2,3,2,3,3,2,2,0,4,0.8
113,115,2,2,3,3,3,4,2,0,4,0.8
114,116,0,0,0,0,0,0,0,0,0,0
115,117,4,4,4,3,4,4,3,-1,3,-0.2
116,118,3,2,3,4,2,3,3,0,6,1.2
117,119,4,4,4,3,4,2,3,-1,5,0.2
118,120,3,4,2,4,2,4,4,1,9,2.6
119,121,4,4,4,4,4,4,4,0,0,0
120,122,4,4,4,4,4,4,4,0,0,0
121,123,0,0,2,0,3,0,2,2,12,4
122,124,4,3,3,3,3,3,2,-2,2,-1.2
123,125,4,4,4,3,4,4,3,-1,3,-0.2
124,126,3,1,2,3,2,2,0,-3,7,-1
125,127,3,4,4,4,4,4,4,1,1,1
126,128,0,0,0,1,2,2,3,3,3,3
127,129,0,0,0,1,0,0,1,1,3,1.4
128,130,2,1,4,2,0,2,2,0,10,2
129,131,2,4,3,3,4,4,2,0,6,1.2
130,132,0,0,0,2,3,1,0,0,6,1.2
131,133,4,3,4,3,4,4,4,0,4,0.8
132,134,0,3,3,2,3,3,2,2,6,2.8
133,135,2,0,0,0,0,3,2,0,6,1.2
134,136,2,3,4,4,3,4,4,2,4,2.4
135,137,0,4,3,3,2,4,4,4,8,4.8
136,138,3,4,4,4,3,4,3,0,4,0.8
137,139,4,4,4,4,4,3,4,0,2,0.4
138,140,4,4,3,3,4,2,3,-1,5,0.2
139,141,0,0,0,0,0,1,0,0,2,0.4
140,143,0,0,1,0,1,3,3,3,5,3.4
141,144,0,2,0,0,4,2,2,2,10,3.6
142,145,4,2,4,4,4,3,4,0,6,1.2
143,146,4,4,4,4,4,4,4,0,0,0
144,147,4,4,4,4,4,4,4,0,0,0
145,148,0,0,0,0,0,0,0,0,0,0
146,149,0,1,3,3,3,3,4,4,4,4
147,150,3,0,3,3,3,3,3,0,6,1.2
148,151,4,4,4,3,4,4,4,0,2,0.4
149,152,3,4,3,3,3,3,4,1,3,1.4
150,153,3,2,2,2,2,0,0,-3,3,-1.8
151,154,4,4,4,4,4,4,4,0,0,0
152,155,3,2,0,4,3,3,3,0,8,1.6
153,156,2,0,0,3,2,0,1,-1,9,1
154,157,1,3,3,2,3,4,3,2,6,2.8
155,158,0,2,2,2,0,0,0,0,4,0.8
156,159,3,4,0,2,3,4,4,1,9,2.6
157,160,1,3,4,4,3,3,4,3,5,3.4
158,161,4,3,4,4,4,4,4,0,2,0.4
159,162,2,0,0,0,2,2,1,-1,5,0.2
160,163,3,3,0,0,0,2,1,-2,6,-0.4
161,164,4,4,4,4,4,4,4,0,0,0
162,165,3,4,2,4,2,3,2,-1,9,1
163,166,2,0,3,3,3,3,4,2,6,2.8
164,167,2,0,0,0,2,0,2,0,8,1.6
165,168,2,3,4,3,2,4,3,1,7,2.2
166,169,0,2,3,1,2,3,3,3,7,3.8
167,170,0,0,0,1,2,3,3,3,3,3
168,171,3,4,4,3,3,4,4,1,3,1.4
169,172,4,4,4,4,4,4,4,0,0,0
170,173,0,3,3,3,2,1,0,0,6,1.2
171,175,2,2,3,3,3,3,3,1,1,1
172,176,0,0,2,0,2,0,0,0,8,1.6
173,177,4,3,4,4,4,4,3,-1,3,-0.2
174,178,2,3,0,3,1,3,2,0,12,2.4
175,179,3,2,2,4,2,3,4,1,7,2.2
176,180,3,4,4,4,4,4,4,1,1,1
177,181,4,3,4,4,4,4,4,0,2,0.4
178,182,4,4,4,4,3,4,4,0,2,0.4
179,183,0,0,0,1,3,2,2,2,4,2.4
180,184,0,4,4,4,3,4,3,3,7,3.8
181,185,0,1,2,2,2,2,2,2,2,2
182,186,2,4,3,3,3,4,4,2,4,2.4
183,187,2,0,3,2,0,2,0,-2,12,0.8
184,188,0,0,0,1,0,0,0,0,2,0.4
185,189,3,2,2,2,0,4,4,1,7,2.2
186,190,0,2,0,2,0,4,4,4,12,5.6
187,191,0,4,0,0,0,3,4,4,12,5.6
188,192,0,3,4,4,4,3,4,4,6,4.4
189,193,3,3,3,3,3,2,3,0,2,0.4
190,194,0,0,3,1,2,2,2,2,6,2.8
191,195,2,0,0,2,3,3,2,0,6,1.2
192,196,3,4,3,2,3,3,2,-1,5,0.2
193,197,0,0,0,3,0,3,1,1,11,3
194,198,0,3,2,2,2,3,4,4,6,4.4
195,199,2,2,2,2,4,4,2,0,4,0.8
196,200,0,0,0,0,0,0,0,0,0,0
197,201,2,0,2,4,2,3,4,2,10,3.6
198,202,2,3,4,3,3,0,2,0,8,1.6
199,203,0,2,0,3,3,3,3,3,7,3.8
200,204,0,2,4,2,2,3,3,3,7,3.8
201,205,0,0,3,3,3,3,3,3,3,3
202,206,0,2,2,2,1,3,1,1,7,2.2
203,207,2,0,0,2,0,3,1,-1,11,1.4
204,208,2,4,4,1,4,3,0,-2,12,0.8
205,209,4,4,4,3,3,4,3,-1,3,-0.2
206,210,0,0,0,2,0,2,0,0,8,1.6
207,211,3,3,3,3,3,3,4,1,1,1
208,212,0,0,0,0,0,1,0,0,2,0.4
209,213,3,4,3,3,4,2,2,-1,5,0.2
210,214,2,2,2,3,2,2,0,-2,4,-0.8
211,215,1,2,2,3,2,3,4,3,5,3.4
212,216,3,3,3,2,3,4,4,1,3,1.4
213,217,2,1,0,2,1,3,3,1,7,2.2
214,218,3,4,4,3,2,3,4,1,5,1.8
215,219,3,3,4,4,4,4,4,1,1,1
216,220,2,0,3,0,3,2,2,0,12,2.4
217,221,2,3,2,4,3,2,3,1,7,2.2
218,222,2,3,3,4,3,4,4,2,4,2.4
219,223,2,0,4,3,3,3,4,2,8,3.2
220,224,4,4,4,4,4,4,4,0,0,0
221,225,4,0,2,2,3,2,4,0,10,2
222,226,3,3,0,3,3,3,4,1,7,2.2
223,227,2,0,0,0,2,0,0,-2,6,-0.4
224,228,2,0,3,0,0,0,2,0,10,2
225,229,2,0,2,2,4,3,4,2,8,3.2
226,230,2,0,2,3,4,4,4,2,6,2.8
227,231,0,0,0,2,2,0,0,0,4,0.8
228,232,0,0,0,0,0,0,2,2,2,2
229,233,3,0,3,2,3,3,4,1,9,2.6
230,234,3,3,4,4,4,4,4,1,1,1
231,235,3,3,3,2,0,4,0,-3,11,-0.2
232,236,0,0,0,0,0,0,0,0,0,0
233,237,4,4,4,4,4,4,4,0,0,0
234,238,0,0,0,0,0,0,0,0,0,0
235,239,0,0,0,2,3,4,3,3,5,3.4
236,240,2,4,3,3,2,3,3,1,5,1.8
237,241,2,2,4,3,0,3,2,0,10,2
238,242,0,2,2,3,2,2,2,2,4,2.4
239,243,1,3,2,1,2,2,2,1,5,1.8
240,245,2,0,2,2,2,2,0,-2,6,-0.4
241,246,3,3,4,4,4,4,4,1,1,1
242,247,4,4,4,4,4,4,3,-1,1,-0.6
243,248,4,4,3,3,0,3,4,0,8,1.6
244,249,0,3,3,3,4,3,4,4,6,4.4
245,250,2,2,2,3,4,3,4,2,4,2.4
246,251,0,0,3,3,1,2,3,3,7,3.8
247,252,4,3,3,3,3,3,2,-2,2,-1.2
248,253,3,4,4,4,4,4,4,1,1,1
249,254,0,3,2,3,2,0,3,3,11,4.6
250,255,4,4,4,4,4,4,4,0,0,0
251,256,2,3,4,3,0,3,4,2,10,3.6
252,257,4,3,4,4,4,4,4,0,2,0.4
253,258,0,2,3,1,4,3,4,4,10,5.2
254,259,0,2,0,2,2,2,2,2,6,2.8
255,260,0,3,4,1,1,1,3,3,9,4.2
256,261,3,3,3,4,3,3,4,1,3,1.4
257,262,0,2,0,0,3,2,2,2,8,3.2
258,263,0,2,0,2,0,3,1,1,13,3.4
259,264,0,0,0,2,2,0,2,2,6,2.8
260,265,3,4,3,3,4,4,4,1,3,1.4
261,266,0,2,3,0,1,4,3,3,11,4.6
262,267,3,4,4,3,3,3,3,0,2,0.4
263,268,4,2,3,3,4,3,3,-1,5,0.2
264,269,0,2,0,0,0,0,0,0,4,0.8
265,270,0,0,0,2,2,2,2,2,2,2
266,271,3,2,3,3,0,3,3,0,8,1.6
267,272,3,4,4,4,4,4,4,1,1,1
268,273,2,3,4,4,4,4,4,2,2,2
269,274,1,2,2,2,3,3,2,1,3,1.4
270,275,3,4,3,4,3,3,4,1,5,1.8
271,276,0,0,0,0,4,0,0,0,8,1.6
272,277,3,4,3,3,4,3,4,1,5,1.8
273,278,0,0,2,0,0,0,0,0,4,0.8
274,279,3,4,4,4,4,4,4,1,1,1
275,280,4,4,4,4,4,4,4,0,0,0
276,281,3,4,4,4,4,4,4,1,1,1
277,282,4,4,4,3,3,3,3,-1,1,-0.6
278,283,3,0,0,3,1,1,3,0,10,2
279,284,0,0,0,1,1,0,0,0,2,0.4
280,285,1,2,2,2,1,2,3,2,4,2.4
281,286,2,4,2,3,3,3,3,1,5,1.8
282,287,0,4,4,4,3,4,4,4,6,4.4
283,288,4,4,4,4,4,4,4,0,0,0
284,289,3,4,4,4,4,4,4,1,1,1
285,290,0,0,3,3,3,4,4,4,4,4
286,291,0,2,0,1,0,2,2,2,8,3.2
287,292,3,3,2,0,2,2,3,0,6,1.2
288,293,3,2,2,2,2,4,2,-1,5,0.2
289,294,3,0,3,4,3,3,4,1,9,2.6
290,295,4,3,3,3,4,4,4,0,2,0.4
291,296,0,0,0,0,4,4,4,4,4,4
292,297,0,4,3,2,2,2,3,3,7,3.8
293,298,0,4,4,4,4,4,4,4,4,4
294,299,0,0,0,2,1,3,2,2,6,2.8
295,300,2,2,3,4,3,4,4,2,4,2.4
296,301,2,4,4,4,4,4,4,2,2,2
297,302,3,3,3,4,3,3,3,0,2,0.4
298,303,3,3,4,4,1,4,3,0,8,1.6
299,304,2,3,1,0,0,2,4,2,8,3.2
300,305,3,3,3,2,4,4,2,-1,5,0.2
301,306,2,0,3,0,0,3,4,2,12,4
302,307,4,4,4,4,4,4,4,0,0,0
303,308,1,2,1,0,1,4,0,-1,11,1.4
304,309,0,4,4,4,3,3,3,3,5,3.4
305,310,1,3,3,1,0,2,2,1,7,2.2
306,311,3,0,3,2,0,0,3,0,12,2.4
307,312,0,0,4,4,0,3,0,0,14,2.8
308,313,4,4,4,4,4,4,4,0,0,0
309,314,4,4,4,4,4,3,4,0,2,0.4
310,315,1,4,3,3,4,3,4,3,7,3.8
311,316,4,4,4,4,4,4,4,0,0,0
312,317,3,3,4,2,2,3,3,0,4,0.8
313,318,3,3,3,1,3,1,3,0,8,1.6
314,319,4,4,4,4,3,3,4,0,2,0.4
315,320,3,3,4,3,4,4,4,1,3,1.4
316,321,4,4,4,4,4,4,4,0,0,0
317,322,2,3,2,3,1,2,0,-2,8,0
318,323,3,3,1,3,3,1,3,0,8,1.6
319,324,3,3,3,4,4,1,4,1,7,2.2
320,325,3,3,0,3,3,2,2,-1,7,0.6
321,326,3,3,4,4,4,4,4,1,1,1
322,327,4,3,3,3,4,3,4,0,4,0.8
323,328,3,4,4,2,3,3,4,1,5,1.8
324,329,4,4,4,3,2,3,3,-1,3,-0.2
325,330,2,0,0,0,2,3,2,0,6,1.2
326,331,2,1,3,2,2,2,2,0,4,0.8
327,332,3,2,4,3,2,2,2,-1,5,0.2
328,333,2,3,3,3,3,3,4,2,2,2
329,334,2,2,3,0,0,2,2,0,6,1.2
330,335,2,3,4,3,4,4,2,0,6,1.2
331,336,2,0,3,0,3,3,3,1,11,3
332,337,0,0,0,3,3,3,0,0,6,1.2
333,338,0,3,3,3,4,2,4,4,8,4.8
334,339,0,2,1,3,4,1,4,4,12,5.6
335,340,4,4,4,4,3,3,3,-1,1,-0.6
336,341,4,3,4,4,4,4,4,0,2,0.4
337,342,0,0,0,1,3,2,2,2,4,2.4
338,343,3,3,4,4,4,4,3,0,2,0.4
339,344,3,3,0,0,0,2,2,-1,5,0.2
340,345,3,4,4,4,4,4,4,1,1,1
341,346,3,4,2,3,1,3,4,1,9,2.6
342,347,2,2,0,3,3,0,1,-1,9,1
343,348,0,0,0,1,0,2,2,2,4,2.4
344,349,4,4,4,4,4,4,4,0,0,0
345,350,3,3,3,4,4,4,4,1,1,1
346,351,4,3,2,3,4,3,1,-3,7,-1
347,352,2,2,3,3,0,2,2,0,6,1.2
348,353,0,3,4,2,2,3,2,2,8,3.2
349,354,2,2,0,0,0,2,1,-1,5,0.2
350,355,3,4,4,4,4,3,4,1,3,1.4
351,356,4,4,4,4,4,4,4,0,0,0
352,357,0,3,0,0,0,4,2,2,12,4
353,358,2,4,0,2,2,2,4,2,10,3.6
354,359,3,3,3,4,4,3,3,0,2,0.4
355,360,4,4,0,4,3,4,4,0,10,2
356,361,3,3,4,4,3,4,4,1,3,1.4
357,362,0,2,0,0,0,3,2,2,8,3.2
358,363,4,3,3,3,2,3,4,0,4,0.8
359,364,0,3,4,4,3,4,3,3,7,3.8
360,365,4,4,4,2,3,2,4,0,6,1.2
361,366,0,0,3,3,4,4,4,4,4,4
362,367,3,2,2,2,1,0,3,0,6,1.2
363,368,4,4,4,3,4,4,4,0,2,0.4
364,369,4,4,4,2,4,0,2,-2,10,0.4
365,370,3,2,0,2,2,2,3,0,6,1.2
366,371,1,3,3,4,3,4,3,2,6,2.8
367,372,0,2,2,1,3,3,3,3,5,3.4
368,373,3,3,4,3,3,4,3,0,4,0.8
369,374,4,4,4,4,4,4,4,0,0,0
370,375,4,4,4,4,4,4,4,0,0,0
371,376,0,0,0,0,2,2,3,3,3,3
372,377,4,4,4,4,4,4,4,0,0,0
373,378,4,3,4,4,4,4,4,0,2,0.4
374,379,3,4,3,3,4,3,3,0,4,0.8
375,380,0,0,0,1,0,0,0,0,2,0.4
376,381,2,2,2,2,3,2,0,-2,4,-0.8
377,382,4,4,4,3,4,4,3,-1,3,-0.2
378,383,2,2,3,3,3,3,2,0,2,0.4
379,384,0,0,2,3,2,2,2,2,4,2.4
380,385,0,3,2,0,3,2,1,1,11,3
381,386,4,4,4,3,3,2,4,0,4,0.8
382,387,2,4,4,4,3,4,4,2,4,2.4
383,388,4,4,3,3,4,2,4,0,6,1.2
384,389,2,1,2,1,2,2,3,1,5,1.8
385,390,1,0,0,0,0,0,0,-1,1,-0.6
386,391,3,4,4,3,3,3,3,0,2,0.4
387,392,4,3,2,3,4,4,4,0,4,0.8
388,393,0,3,2,4,4,4,4,4,6,4.4
389,394,2,3,0,2,2,3,1,-1,9,1
390,395,0,4,0,2,4,2,0,0,16,3.2
391,396,0,2,2,3,2,2,1,1,5,1.8
392,397,0,0,2,3,3,1,0,0,6,1.2
393,398,4,4,3,4,3,0,4,0,10,2
394,399,3,1,3,2,3,3,0,-3,9,-0.6
395,400,0,0,2,1,2,3,2,2,6,2.8
396,401,3,2,3,4,3,3,2,-1,5,0.2
397,402,2,3,2,2,3,2,0,-2,6,-0.4
398,403,0,1,2,2,2,3,2,2,4,2.4
399,404,3,3,4,3,4,4,4,1,3,1.4
400,405,4,4,4,4,3,4,4,0,2,0.4
401,406,3,0,2,3,3,2,3,0,8,1.6
402,407,2,2,2,3,2,2,2,0,2,0.4
403,408,0,4,2,2,0,2,1,1,11,3
404,409,2,4,2,2,4,3,4,2,8,3.2
405,410,0,2,0,0,4,3,0,0,12,2.4
406,411,4,4,4,4,3,3,3,-1,1,-0.6
407,412,2,4,4,4,3,4,4,2,4,2.4
408,413,3,3,3,1,3,3,4,1,5,1.8
409,414,2,1,2,4,3,3,4,2,6,2.8
410,415,1,0,1,2,2,1,2,1,5,1.8
411,416,0,4,4,3,3,2,3,3,7,3.8
412,417,2,3,4,3,3,2,3,1,5,1.8
413,418,2,0,2,2,3,4,3,1,7,2.2
414,419,2,3,0,3,2,3,2,0,10,2
415,420,2,2,4,3,3,3,3,1,3,1.4
416,421,4,4,4,4,4,4,4,0,0,0
417,422,4,4,4,4,4,4,4,0,0,0
418,423,3,3,3,3,4,3,4,1,3,1.4
419,424,0,0,2,2,0,0,0,0,4,0.8
420,425,3,2,2,2,2,3,2,-1,3,-0.2
421,426,4,4,4,4,0,2,3,-1,7,0.6
422,427,2,2,4,4,4,4,4,2,2,2
423,428,3,4,4,3,3,3,0,-3,5,-1.4
424,429,2,0,2,2,3,3,2,0,6,1.2
425,430,2,0,0,0,0,0,4,2,6,2.8
426,431,1,4,2,2,4,2,1,0,10,2
427,432,2,0,4,3,4,0,3,1,15,3.8
428,433,4,3,4,3,4,4,4,0,4,0.8
429,434,0,0,3,0,0,0,0,0,6,1.2
430,435,3,2,3,2,3,3,3,0,4,0.8
431,436,3,4,4,3,4,4,4,1,3,1.4
432,437,0,0,0,0,0,0,0,0,0,0
433,438,4,4,4,4,4,4,3,-1,1,-0.6
434,439,0,0,0,0,0,2,0,0,4,0.8
435,440,3,4,4,4,4,3,4,1,3,1.4
436,441,2,4,2,4,3,3,4,2,8,3.2
437,442,0,0,1,3,3,3,3,3,3,3
438,443,3,3,3,4,3,4,4,1,3,1.4
439,444,4,3,4,3,2,3,4,0,6,1.2
440,445,4,4,4,4,4,4,4,0,0,0
441,446,4,0,4,3,2,4,4,0,12,2.4
442,447,4,3,2,0,0,0,1,-3,5,-1.4
443,448,4,3,4,2,4,4,3,-1,7,0.6
444,449,4,4,4,4,4,4,4,0,0,0
445,450,4,4,4,4,4,4,4,0,0,0
446,451,4,3,4,4,4,4,4,0,2,0.4
447,452,0,0,3,0,0,0,0,0,6,1.2
448,453,2,3,2,2,3,2,3,1,5,1.8
449,454,0,3,3,3,3,3,3,3,3,3
450,455,2,3,4,4,4,3,3,1,3,1.4
451,456,3,3,3,4,3,3,4,1,3,1.4
452,457,3,4,4,4,4,4,4,1,1,1
453,458,2,3,2,4,4,3,4,2,6,2.8
454,459,2,2,4,3,3,2,2,0,4,0.8
455,461,0,0,2,2,0,3,3,3,7,3.8
456,462,3,2,2,2,0,4,3,0,8,1.6
457,463,2,3,3,2,3,3,4,2,4,2.4
458,464,3,2,3,2,3,3,3,0,4,0.8
459,465,3,1,3,2,2,2,0,-3,7,-1
460,466,3,3,4,4,4,3,4,1,3,1.4
461,467,3,4,2,3,4,3,4,1,7,2.2
462,468,2,3,2,3,3,4,3,1,5,1.8
463,469,2,2,4,2,0,3,3,1,9,2.6
464,470,0,0,0,0,0,0,0,0,0,0
465,471,2,4,3,3,4,3,4,2,6,2.8
466,472,3,2,2,1,2,2,2,-1,3,-0.2
467,473,2,0,1,4,2,2,3,1,9,2.6
468,474,3,4,4,4,4,4,4,1,1,1
469,475,3,2,2,2,3,3,4,1,3,1.4
470,476,0,0,0,0,0,0,0,0,0,0
471,477,3,4,4,3,3,4,3,0,4,0.8
472,478,0,3,0,4,4,0,0,0,14,2.8
473,479,2,3,3,2,2,3,4,2,4,2.4
474,480,4,3,4,4,4,4,4,0,2,0.4
475,481,4,4,4,4,4,4,4,0,0,0
476,482,3,0,3,3,4,3,4,1,9,2.6
477,483,0,4,0,0,0,0,0,0,8,1.6
478,484,3,2,3,3,3,2,3,0,4,0.8
479,485,2,0,3,3,4,3,4,2,8,3.2
480,486,0,0,3,0,0,3,2,2,10,3.6
481,487,0,0,3,2,2,2,3,3,5,3.4
482,488,0,0,0,0,0,0,0,0,0,0
483,489,3,4,4,4,4,4,4,1,1,1
484,490,0,3,1,4,2,4,3,3,13,5
485,491,2,3,0,2,0,0,2,0,10,2
486,492,2,2,3,3,2,2,3,1,3,1.4
487,493,0,0,0,3,3,4,3,3,5,3.4
488,494,2,3,2,3,4,3,3,1,5,1.8
489,495,0,0,0,0,0,0,2,2,2,2
490,496,2,3,2,3,0,3,0,-2,12,0.8
491,497,2,1,0,2,4,0,1,-1,11,1.4
492,498,0,0,2,2,3,2,1,1,5,1.8
493,499,0,0,0,1,1,2,2,2,2,2
494,500,3,3,3,2,3,3,3,0,2,0.4
495,501,3,4,4,4,4,4,4,1,1,1
496,502,4,0,0,4,0,0,0,-4,12,-0.8
497,503,4,4,4,4,3,4,4,0,2,0.4
498,504,4,4,4,4,4,4,4,0,0,0
499,505,3,4,4,4,3,4,4,1,3,1.4
500,506,3,2,4,3,4,3,3,0,6,1.2
501,507,0,3,4,2,0,0,3,3,11,4.6
502,508,3,3,2,3,4,3,2,-1,5,0.2
503,509,2,0,1,3,1,0,3,1,11,3
504,510,4,3,0,4,3,3,4,0,10,2
505,511,2,2,0,2,1,2,2,0,6,1.2
506,512,0,0,2,1,2,0,2,2,8,3.2
507,513,3,3,3,4,4,4,4,1,1,1
508,514,0,0,0,0,0,2,0,0,4,0.8
509,515,2,3,3,0,3,2,3,1,9,2.6
510,516,0,3,3,2,3,3,3,3,5,3.4
511,517,2,2,2,2,4,3,3,1,3,1.4
512,518,4,4,4,4,3,2,3,-1,3,-0.2
513,519,1,4,3,4,4,4,4,3,5,3.4
514,520,3,4,4,4,4,4,4,1,1,1
515,521,4,4,4,4,4,4,3,-1,1,-0.6
516,522,3,3,3,3,3,3,3,0,0,0
517,523,0,0,0,0,0,0,0,0,0,0
518,524,3,4,4,3,3,3,2,-1,3,-0.2
519,525,3,4,4,4,4,4,4,1,1,1
520,526,4,4,4,3,3,4,4,0,2,0.4
521,527,0,0,0,0,0,0,0,0,0,0
522,528,0,0,0,2,2,1,0,0,4,0.8
523,529,1,2,2,2,1,2,2,1,3,1.4
524,530,3,2,2,3,2,3,4,1,5,1.8
525,531,3,4,4,0,4,4,4,1,9,2.6
526,532,4,4,4,3,2,3,2,-2,4,-0.8
527,533,0,0,0,4,0,0,0,0,8,1.6
528,534,3,4,4,3,3,3,4,1,3,1.4
529,535,4,4,3,1,3,3,4,0,6,1.2
530,536,2,3,3,1,3,2,3,1,7,2.2
531,537,0,0,0,1,1,3,2,2,4,2.4
532,538,3,3,4,4,4,4,4,1,1,1
533,539,3,4,4,4,4,4,4,1,1,1
534,540,1,3,3,1,2,3,3,2,6,2.8
535,541,4,3,4,4,4,4,4,0,2,0.4
536,542,3,2,1,3,2,0,0,-3,7,-1
