,고객번호,편_총구매액1,편_총구매액2,편_총구매액3,편_총구매액4,편_총구매액5,편_총구매액6,편_총구매액7,편의품_증감율,편의품_변동율,편_(증감*0.8)+(변동*0.2)
46,48,3,3,4,2,2,2,4,1,5,1.8
47,49,2,3,3,2,2,2,2,0,2,0.4
48,50,3,4,3,3,4,3,4,1,5,1.8
49,51,4,4,4,2,4,2,3,-1,7,0.6
50,52,1,2,3,3,4,4,3,2,4,2.4
51,53,2,2,3,2,3,3,3,1,3,1.4
52,54,2,2,2,2,1,1,1,-1,1,-0.6
53,55,2,2,3,2,2,2,3,1,3,1.4
54,56,3,2,1,1,1,1,2,-1,3,-0.2
55,57,3,3,2,2,4,2,3,0,6,1.2
56,58,2,1,2,1,2,2,1,-1,5,0.2
57,59,2,2,3,3,3,3,3,1,1,1
58,60,3,4,4,3,3,4,4,1,3,1.4
59,61,4,4,4,4,3,3,4,0,2,0.4
60,62,2,3,2,2,2,1,3,1,5,1.8
61,63,1,2,1,1,1,2,1,0,4,0.8
62,64,1,1,2,1,1,1,1,0,2,0.4
63,65,3,3,2,1,4,3,2,-1,7,0.6
64,66,3,3,4,4,4,4,4,1,1,1
65,67,2,2,3,2,3,3,4,2,4,2.4
66,68,2,2,3,3,2,2,3,1,3,1.4
67,69,3,4,4,4,4,4,4,1,1,1
68,70,1,2,1,1,1,1,1,0,2,0.4
69,71,1,1,1,1,1,1,2,1,1,1
70,72,1,1,3,2,2,2,2,1,3,1.4
71,73,2,3,2,1,1,1,1,-1,3,-0.2
72,74,1,2,2,1,3,2,1,0,6,1.2
73,75,1,1,2,1,1,1,1,0,2,0.4
74,76,2,2,1,2,1,1,1,-1,3,-0.2
75,77,3,3,4,3,3,3,3,0,2,0.4
76,78,3,1,3,3,4,4,4,1,5,1.8
77,79,3,3,4,3,2,4,4,1,5,1.8
78,80,2,1,3,2,2,2,3,1,5,1.8
79,81,1,2,1,1,2,2,2,1,3,1.4
80,82,2,4,4,3,3,3,2,0,4,0.8
81,83,3,3,4,3,3,3,4,1,3,1.4
82,84,2,1,1,1,2,3,1,-1,5,0.2
83,85,1,1,2,3,2,4,4,3,5,3.4
84,86,4,4,4,4,4,4,4,0,0,0
85,87,1,2,1,1,4,1,1,0,8,1.6
86,88,4,4,3,4,4,3,4,0,4,0.8
87,89,1,3,3,2,3,4,3,2,6,2.8
88,90,1,2,3,1,3,3,4,3,7,3.8
89,91,4,4,4,4,4,4,4,0,0,0
90,92,4,4,4,4,4,4,4,0,0,0
91,93,4,2,4,1,3,1,4,0,14,2.8
92,94,1,1,4,4,3,3,4,3,5,3.4
93,95,1,2,1,1,1,2,2,1,3,1.4
94,96,3,3,4,3,3,3,4,1,3,1.4
95,97,4,4,4,3,4,3,4,0,4,0.8
96,98,4,4,4,4,2,3,3,-1,3,-0.2
97,99,3,4,3,2,4,3,4,1,7,2.2
98,100,1,1,3,2,1,1,3,2,6,2.8
99,101,2,1,1,2,1,1,2,0,4,0.8
100,102,4,4,4,4,4,4,4,0,0,0
101,103,1,1,2,1,1,1,2,1,3,1.4
102,104,4,4,4,2,3,4,4,0,4,0.8
103,105,4,4,4,4,4,3,4,0,2,0.4
104,106,1,2,1,1,1,1,2,1,3,1.4
105,107,2,2,2,2,4,3,4,2,4,2.4
106,108,1,1,2,1,2,3,4,3,5,3.4
107,109,4,3,3,2,2,2,2,-2,2,-1.2
108,110,3,3,4,3,3,3,3,0,2,0.4
109,111,1,1,2,1,2,2,1,0,4,0.8
110,112,1,2,4,2,2,4,4,3,7,3.8
111,113,4,4,4,4,4,4,4,0,0,0
112,114,3,2,2,1,2,3,2,-1,5,0.2
113,115,3,4,2,3,4,3,3,0,6,1.2
114,116,1,3,3,1,2,2,2,1,5,1.8
115,117,4,2,4,2,4,4,4,0,8,1.6
116,118,1,1,3,2,2,1,2,1,5,1.8
117,119,2,3,4,3,3,3,2,0,4,0.8
118,120,1,1,2,1,1,1,1,0,2,0.4
119,121,1,1,1,3,2,2,3,2,4,2.4
120,122,3,3,4,3,4,4,3,0,4,0.8
121,123,4,2,4,2,3,3,3,-1,7,0.6
122,124,1,1,1,1,1,1,1,0,0,0
123,125,2,3,2,2,3,3,1,-1,5,0.2
124,126,2,2,2,2,2,4,3,1,3,1.4
125,127,1,1,1,1,1,1,1,0,0,0
126,128,1,2,4,2,1,2,2,1,7,2.2
127,129,1,2,2,2,2,2,3,2,2,2
128,130,4,4,4,4,4,3,2,-2,2,-1.2
129,131,4,4,4,3,3,4,4,0,2,0.4
130,132,2,3,3,4,4,1,1,-1,5,0.2
131,133,4,4,4,2,3,4,4,0,4,0.8
132,134,4,1,1,2,4,4,3,-1,7,0.6
133,135,1,3,1,2,1,2,1,0,8,1.6
134,136,1,2,1,1,1,1,1,0,2,0.4
135,137,4,2,4,2,2,3,2,-2,8,0
136,138,3,1,1,1,3,4,3,0,6,1.2
137,139,3,2,3,3,3,4,4,1,3,1.4
138,140,4,4,4,4,4,4,4,0,0,0
139,141,1,1,1,1,1,2,3,2,2,2
140,143,1,2,2,2,2,3,3,2,2,2
141,144,4,4,4,4,4,4,4,0,0,0
142,145,3,4,4,4,3,3,4,1,3,1.4
143,146,1,4,1,1,1,1,1,0,6,1.2
144,147,4,4,4,4,4,4,4,0,0,0
145,148,1,1,2,1,2,2,2,1,3,1.4
146,149,3,2,4,3,4,4,2,-1,7,0.6
147,150,3,3,4,2,2,3,2,-1,5,0.2
148,151,4,4,4,3,4,3,4,0,4,0.8
149,152,3,3,3,2,1,1,1,-2,2,-1.2
150,153,2,1,2,1,2,2,2,0,4,0.8
151,154,1,1,1,1,1,1,1,0,0,0
152,155,3,3,3,3,4,4,4,1,1,1
153,156,4,4,4,4,4,4,4,0,0,0
154,157,2,2,2,1,2,2,2,0,2,0.4
155,158,2,2,3,3,2,4,3,1,5,1.8
156,159,1,1,1,1,1,4,1,0,6,1.2
157,160,4,3,3,3,4,3,4,0,4,0.8
158,161,3,2,1,1,1,1,1,-2,2,-1.2
159,162,2,1,4,2,3,2,2,0,8,1.6
160,163,2,3,3,3,3,3,3,1,1,1
161,164,1,1,2,2,1,1,4,3,5,3.4
162,165,1,1,1,1,2,1,1,0,2,0.4
163,166,1,4,3,4,3,3,2,1,7,2.2
164,167,2,2,2,4,3,2,4,2,6,2.8
165,168,2,4,3,3,2,4,3,1,7,2.2
166,169,1,1,1,1,1,2,3,2,2,2
167,170,3,4,4,2,3,4,4,1,5,1.8
168,171,1,1,1,4,1,2,2,1,7,2.2
169,172,3,4,4,4,4,4,4,1,1,1
170,173,3,2,3,3,2,3,3,0,4,0.8
171,175,4,4,4,4,4,4,4,0,0,0
172,176,2,2,3,2,2,2,2,0,2,0.4
173,177,2,2,1,1,1,1,1,-1,1,-0.6
174,178,3,3,4,3,4,4,4,1,3,1.4
175,179,4,4,4,3,4,4,4,0,2,0.4
176,180,4,4,4,2,3,4,3,-1,5,0.2
177,181,2,2,2,2,2,3,3,1,1,1
178,182,4,4,4,4,4,4,4,0,0,0
179,183,3,4,4,3,4,3,3,0,4,0.8
180,184,1,4,1,1,2,1,1,0,8,1.6
181,185,1,2,4,4,4,4,3,2,4,2.4
182,186,3,4,4,3,4,4,4,1,3,1.4
183,187,2,1,1,2,3,2,4,2,6,2.8
184,188,4,3,4,3,4,4,4,0,4,0.8
185,189,3,4,4,4,4,4,4,1,1,1
186,190,4,3,4,3,4,4,3,-1,5,0.2
187,191,1,1,2,1,3,2,1,0,6,1.2
188,192,1,3,4,3,2,3,4,3,7,3.8
189,193,2,3,3,2,2,3,3,1,3,1.4
190,194,2,3,4,2,3,3,4,2,6,2.8
191,195,1,1,1,1,1,2,3,2,2,2
192,196,3,3,4,3,3,2,4,1,5,1.8
193,197,3,1,2,1,2,3,4,1,7,2.2
194,198,1,1,2,1,2,2,2,1,3,1.4
195,199,1,4,4,2,4,3,4,3,9,4.2
196,200,3,2,3,1,2,1,1,-2,6,-0.4
197,201,4,4,4,4,4,4,4,0,0,0
198,202,2,2,3,3,4,3,3,1,3,1.4
199,203,1,2,2,1,1,1,2,1,3,1.4
200,204,3,3,2,1,3,3,4,1,5,1.8
201,205,4,4,4,2,2,3,3,-1,3,-0.2
202,206,3,2,4,2,3,3,3,0,6,1.2
203,207,2,2,3,3,2,3,3,1,3,1.4
204,208,1,1,1,1,1,1,1,0,0,0
205,209,1,1,1,1,1,2,1,0,2,0.4
206,210,1,1,2,1,1,2,2,1,3,1.4
207,211,3,2,2,1,2,2,1,-2,4,-0.8
208,212,4,4,4,4,4,4,4,0,0,0
209,213,4,4,4,4,4,4,4,0,0,0
210,214,2,2,4,3,2,3,4,2,6,2.8
211,215,2,3,3,2,3,3,4,2,4,2.4
212,216,3,2,2,3,2,3,2,-1,5,0.2
213,217,2,2,2,1,1,4,3,1,5,1.8
214,218,1,4,4,2,4,3,3,2,8,3.2
215,219,2,1,4,3,4,3,2,0,8,1.6
216,220,4,4,4,4,4,4,4,0,0,0
217,221,2,2,3,2,2,2,3,1,3,1.4
218,222,2,3,4,3,4,4,2,0,6,1.2
219,223,3,4,3,2,2,4,4,1,5,1.8
220,224,1,1,1,1,1,1,1,0,0,0
221,225,4,4,3,1,2,2,1,-3,5,-1.4
222,226,3,3,2,3,2,2,2,-1,3,-0.2
223,227,1,2,2,3,1,1,2,1,5,1.8
224,228,3,2,2,2,4,3,4,1,5,1.8
225,229,2,4,4,3,4,4,4,2,4,2.4
226,230,2,1,2,2,2,3,3,1,3,1.4
227,231,3,2,2,2,2,3,3,0,2,0.4
228,232,2,3,3,3,3,3,4,2,2,2
229,233,3,3,3,3,3,4,3,0,2,0.4
230,234,2,3,2,3,4,4,2,0,6,1.2
231,235,4,4,4,3,4,4,4,0,2,0.4
232,236,3,3,1,2,2,2,4,1,5,1.8
233,237,4,2,4,2,4,2,4,0,12,2.4
234,238,1,3,3,3,3,3,3,2,2,2
235,239,2,3,3,3,3,4,4,2,2,2
236,240,1,1,2,1,1,1,1,0,2,0.4
237,241,2,2,3,1,2,2,2,0,4,0.8
238,242,1,1,1,2,2,2,3,2,2,2
239,243,1,1,1,1,2,2,3,2,2,2
240,245,4,4,4,4,4,4,4,0,0,0
241,246,4,1,4,2,4,3,4,0,12,2.4
242,247,4,4,4,4,4,4,4,0,0,0
243,248,2,4,3,3,4,3,4,2,6,2.8
244,249,2,1,4,2,2,4,3,1,9,2.6
245,250,4,2,4,1,3,4,4,0,10,2
246,251,4,1,3,1,4,2,4,0,14,2.8
247,252,1,1,1,1,1,1,1,0,0,0
248,253,2,2,4,2,2,1,3,1,7,2.2
249,254,2,2,4,3,1,1,1,-1,5,0.2
250,255,2,3,2,2,2,2,2,0,2,0.4
251,256,1,3,3,2,4,4,4,3,5,3.4
252,257,4,3,4,3,3,3,3,-1,3,-0.2
253,258,1,2,2,1,1,1,2,1,3,1.4
254,259,4,4,4,4,4,4,3,-1,1,-0.6
255,260,4,4,4,4,2,2,3,-1,3,-0.2
256,261,3,2,3,3,2,2,2,-1,3,-0.2
257,262,4,4,4,4,4,4,4,0,0,0
258,263,2,1,2,1,1,2,2,0,4,0.8
259,264,2,3,3,3,3,3,3,1,1,1
260,265,1,1,1,1,1,1,1,0,0,0
261,266,2,3,3,2,3,4,4,2,4,2.4
262,267,1,1,1,1,1,1,1,0,0,0
263,268,4,2,3,4,4,4,4,0,4,0.8
264,269,4,4,4,4,4,4,4,0,0,0
265,270,2,2,2,2,2,3,2,0,2,0.4
266,271,3,4,3,1,2,2,2,-1,5,0.2
267,272,4,3,4,4,4,4,4,0,2,0.4
268,273,1,4,3,4,4,3,4,3,7,3.8
269,274,1,1,1,1,2,3,2,1,3,1.4
270,275,4,4,4,4,4,4,4,0,0,0
271,276,2,3,3,3,3,3,2,0,2,0.4
272,277,1,1,3,1,1,2,2,1,5,1.8
273,278,2,1,2,2,2,2,1,-1,3,-0.2
274,279,4,4,4,3,2,1,3,-1,5,0.2
275,280,3,4,4,1,1,3,2,-1,7,0.6
276,281,4,4,4,4,4,4,4,0,0,0
277,282,1,2,1,1,1,2,2,1,3,1.4
278,283,2,2,2,2,3,3,2,0,2,0.4
279,284,1,1,1,1,1,1,1,0,0,0
280,285,1,1,1,1,1,1,1,0,0,0
281,286,4,3,4,4,4,4,4,0,2,0.4
282,287,1,1,1,1,1,2,2,1,1,1
283,288,4,4,4,4,4,4,4,0,0,0
284,289,1,2,4,3,3,2,2,1,5,1.8
285,290,1,1,4,4,4,3,3,2,4,2.4
286,291,2,3,3,3,2,4,4,2,4,2.4
287,292,4,4,4,4,4,4,4,0,0,0
288,293,2,3,4,2,3,2,4,2,8,3.2
289,294,1,1,1,1,1,2,1,0,2,0.4
290,295,1,1,1,2,2,4,1,0,6,1.2
291,296,4,4,4,3,4,4,2,-2,4,-0.8
292,297,2,3,3,3,4,3,4,2,4,2.4
293,298,1,4,4,3,2,3,4,3,7,3.8
294,299,2,2,4,3,4,3,3,1,5,1.8
295,300,4,4,4,4,4,4,4,0,0,0
296,301,2,2,3,1,1,2,1,-1,5,0.2
297,302,2,3,3,3,1,3,3,1,5,1.8
298,303,3,3,4,4,4,4,4,1,1,1
299,304,1,1,2,1,1,1,4,3,5,3.4
300,305,3,3,3,2,4,4,3,0,4,0.8
301,306,2,2,4,2,4,2,4,2,10,3.6
302,307,2,3,4,4,4,4,4,2,2,2
303,308,2,4,4,3,3,2,2,0,4,0.8
304,309,4,4,4,4,4,4,4,0,0,0
305,310,2,2,3,2,3,3,4,2,4,2.4
306,311,3,3,2,3,4,2,2,-1,5,0.2
307,312,2,4,4,4,4,4,3,1,3,1.4
308,313,4,4,4,4,4,4,2,-2,2,-1.2
309,314,4,4,4,3,2,4,3,-1,5,0.2
310,315,3,4,4,4,3,4,4,1,3,1.4
311,316,4,2,4,3,4,3,4,0,8,1.6
312,317,3,3,4,3,3,3,4,1,3,1.4
313,318,2,2,3,4,1,3,3,1,7,2.2
314,319,1,1,1,1,1,1,1,0,0,0
315,320,2,1,2,2,3,2,2,0,4,0.8
316,321,4,3,4,4,4,4,4,0,2,0.4
317,322,4,4,4,3,4,4,4,0,2,0.4
318,323,2,3,4,2,2,4,3,1,7,2.2
319,324,3,3,3,4,4,3,4,1,3,1.4
320,325,2,3,4,1,1,1,3,1,7,2.2
321,326,2,1,2,2,4,2,3,1,7,2.2
322,327,1,1,2,1,1,1,3,2,4,2.4
323,328,1,1,1,1,2,1,1,0,2,0.4
324,329,4,3,4,3,4,4,4,0,4,0.8
325,330,1,1,1,1,4,4,4,3,3,3
326,331,3,2,2,2,2,3,3,0,2,0.4
327,332,4,4,4,4,3,4,4,0,2,0.4
328,333,4,4,4,4,4,4,4,0,0,0
329,334,1,1,1,1,1,1,1,0,0,0
330,335,2,1,2,1,2,2,3,1,5,1.8
331,336,3,1,2,1,2,1,4,1,9,2.6
332,337,1,3,3,3,4,4,2,1,5,1.8
333,338,4,2,3,2,4,3,3,-1,7,0.6
334,339,4,4,4,4,4,4,4,0,0,0
335,340,1,1,1,1,2,1,1,0,2,0.4
336,341,3,4,4,4,4,4,4,1,1,1
337,342,3,3,3,3,4,3,3,0,2,0.4
338,343,2,2,2,1,2,4,2,0,6,1.2
339,344,4,4,4,3,1,2,4,0,6,1.2
340,345,1,1,1,2,1,2,1,0,4,0.8
341,346,1,2,2,2,1,1,3,2,4,2.4
342,347,1,2,3,2,2,2,2,1,3,1.4
343,348,3,4,4,4,3,4,3,0,4,0.8
344,349,4,4,4,3,4,4,4,0,2,0.4
345,350,1,2,3,2,1,3,4,3,7,3.8
346,351,4,4,4,4,4,4,1,-3,3,-1.8
347,352,2,1,2,1,1,1,1,-1,3,-0.2
348,353,1,3,3,2,4,4,3,2,6,2.8
349,354,2,4,3,2,2,2,4,2,6,2.8
350,355,1,1,1,1,1,1,1,0,0,0
351,356,1,1,1,1,1,1,1,0,0,0
352,357,2,3,3,2,2,3,3,1,3,1.4
353,358,1,1,1,1,4,3,1,0,6,1.2
354,359,4,4,4,3,4,4,4,0,2,0.4
355,360,4,4,4,4,3,4,4,0,2,0.4
356,361,2,1,2,1,1,2,3,1,5,1.8
357,362,3,2,2,2,3,4,4,1,3,1.4
358,363,4,3,3,1,2,2,2,-2,4,-0.8
359,364,1,2,3,2,3,3,3,2,4,2.4
360,365,4,4,4,4,4,3,3,-1,1,-0.6
361,366,1,1,2,1,2,2,3,2,4,2.4
362,367,4,4,4,4,4,4,4,0,0,0
363,368,2,2,4,3,3,4,3,1,5,1.8
364,369,4,1,1,2,1,1,4,0,8,1.6
365,370,2,3,2,2,2,3,4,2,4,2.4
366,371,3,1,4,2,3,4,4,1,9,2.6
367,372,3,3,3,3,3,3,4,1,1,1
368,373,1,1,1,2,4,3,4,3,5,3.4
369,374,2,2,2,2,3,1,3,1,5,1.8
370,375,1,1,1,1,1,2,2,1,1,1
371,376,1,1,2,1,1,2,2,1,3,1.4
372,377,2,2,4,2,2,4,2,0,8,1.6
373,378,1,2,3,4,3,3,2,1,5,1.8
374,379,1,1,1,1,1,1,2,1,1,1
375,380,1,2,2,2,1,2,2,1,3,1.4
376,381,1,1,1,1,1,1,2,1,1,1
377,382,1,1,2,1,3,2,3,2,6,2.8
378,383,1,1,2,2,4,3,2,1,5,1.8
379,384,2,2,1,2,3,4,4,2,4,2.4
380,385,2,2,3,2,2,2,2,0,2,0.4
381,386,4,4,4,2,1,2,3,-1,5,0.2
382,387,4,4,4,4,4,4,4,0,0,0
383,388,3,1,3,2,2,2,1,-2,6,-0.4
384,389,4,3,4,2,4,4,4,0,6,1.2
385,390,2,2,3,3,3,3,3,1,1,1
386,391,4,4,4,1,1,1,4,0,6,1.2
387,392,1,1,1,1,1,1,1,0,0,0
388,393,2,2,1,2,2,2,3,1,3,1.4
389,394,3,3,3,2,4,4,4,1,3,1.4
390,395,3,3,3,3,4,3,4,1,3,1.4
391,396,2,3,3,4,2,3,2,0,6,1.2
392,397,4,3,2,3,3,3,4,0,4,0.8
393,398,3,4,3,1,3,1,4,1,11,3
394,399,1,3,3,1,1,1,1,0,4,0.8
395,400,3,3,4,3,4,3,3,0,4,0.8
396,401,1,0,1,1,1,1,1,0,2,0.4
397,402,2,1,1,1,2,2,2,0,2,0.4
398,403,2,2,2,2,2,2,2,0,0,0
399,404,2,2,4,2,2,4,3,1,7,2.2
400,405,4,3,4,1,2,2,1,-3,7,-1
401,406,2,2,2,2,2,2,3,1,1,1
402,407,4,4,4,2,4,3,4,0,6,1.2
403,408,4,1,2,1,3,2,1,-3,9,-0.6
404,409,2,3,3,3,3,2,1,-1,3,-0.2
405,410,1,1,1,1,1,2,3,2,2,2
406,411,3,2,2,2,2,2,4,1,3,1.4
407,412,2,4,4,2,3,4,3,1,7,2.2
408,413,3,2,4,2,3,1,4,1,11,3
409,414,3,3,1,2,1,4,2,-1,9,1
410,415,1,2,3,2,3,3,3,2,4,2.4
411,416,4,3,3,1,1,3,1,-3,7,-1
412,417,2,2,2,1,1,2,2,0,2,0.4
413,418,2,3,4,4,3,2,4,2,6,2.8
414,419,3,4,3,3,3,2,3,0,4,0.8
415,420,2,4,4,3,2,4,2,0,8,1.6
416,421,4,4,4,4,4,4,4,0,0,0
417,422,1,2,2,1,1,1,1,0,2,0.4
418,423,2,1,2,1,1,1,3,1,5,1.8
419,424,1,1,1,1,1,1,1,0,0,0
420,425,2,3,2,3,3,3,4,2,4,2.4
421,426,1,2,3,3,3,3,4,3,3,3
422,427,2,1,2,2,2,1,1,-1,3,-0.2
423,428,4,4,4,3,4,4,4,0,2,0.4
424,429,2,3,3,1,3,4,1,-1,9,1
425,430,2,4,1,1,4,1,2,0,12,2.4
426,431,2,2,3,3,2,3,4,2,4,2.4
427,432,2,4,3,4,3,4,3,1,7,2.2
428,433,1,1,2,1,1,4,1,0,8,1.6
429,434,4,4,4,4,4,4,4,0,0,0
430,435,1,2,1,1,1,1,2,1,3,1.4
431,436,1,1,4,1,1,2,1,0,8,1.6
432,437,1,1,1,1,1,1,2,1,1,1
433,438,3,2,1,2,2,2,1,-2,4,-0.8
434,439,1,3,3,1,3,3,4,3,7,3.8
435,440,1,1,2,1,1,1,1,0,2,0.4
436,441,1,2,2,1,1,2,2,1,3,1.4
437,442,4,4,4,4,4,4,4,0,0,0
438,443,1,2,1,1,1,1,2,1,3,1.4
439,444,3,4,4,3,4,4,4,1,3,1.4
440,445,1,1,1,1,1,1,1,0,0,0
441,446,4,3,4,3,4,4,3,-1,5,0.2
442,447,3,2,4,2,3,4,4,1,7,2.2
443,448,1,2,1,1,4,1,1,0,8,1.6
444,449,3,4,4,3,4,4,4,1,3,1.4
445,450,4,3,2,1,3,2,1,-3,7,-1
446,451,3,4,4,4,3,4,4,1,3,1.4
447,452,1,2,4,4,4,4,4,3,3,3
448,453,1,4,3,4,2,3,3,2,8,3.2
449,454,3,2,3,2,3,2,4,1,7,2.2
450,455,2,3,3,3,2,3,2,0,4,0.8
451,456,4,3,4,4,4,4,4,0,2,0.4
452,457,4,4,4,4,4,4,4,0,0,0
453,458,3,3,3,3,3,3,4,1,1,1
454,459,4,4,4,4,4,4,4,0,0,0
455,461,1,2,3,2,1,3,2,1,7,2.2
456,462,3,1,1,1,4,3,2,-1,7,0.6
457,463,3,3,4,2,2,3,4,1,5,1.8
458,464,2,4,3,2,3,2,2,0,6,1.2
459,465,4,3,3,4,4,4,4,0,2,0.4
460,466,3,1,4,4,3,3,4,1,7,2.2
461,467,2,2,2,2,2,3,3,1,1,1
462,468,4,4,4,4,4,4,4,0,0,0
463,469,3,2,3,4,1,4,3,0,10,2
464,470,2,3,2,2,1,2,3,1,5,1.8
465,471,1,3,4,4,4,4,1,0,6,1.2
466,472,1,1,1,2,2,2,3,2,2,2
467,473,3,2,3,3,3,3,4,1,3,1.4
468,474,3,4,4,4,4,4,4,1,1,1
469,475,2,2,3,2,2,2,3,1,3,1.4
470,476,3,3,4,3,4,4,4,1,3,1.4
471,477,4,1,4,4,4,4,4,0,6,1.2
472,478,2,3,2,3,3,3,3,1,3,1.4
473,479,1,2,2,2,2,2,3,2,2,2
474,480,2,2,1,2,1,2,2,0,4,0.8
475,481,3,3,3,3,3,2,4,1,3,1.4
476,482,1,2,2,2,2,3,3,2,2,2
477,483,1,1,1,1,1,1,1,0,0,0
478,484,2,2,3,1,1,2,3,1,5,1.8
479,485,3,1,2,1,2,2,3,0,6,1.2
480,486,2,4,4,4,4,4,4,2,2,2
481,487,2,3,4,3,3,4,4,2,4,2.4
482,488,3,4,4,4,3,4,4,1,3,1.4
483,489,2,3,3,4,4,4,4,2,2,2
484,490,3,4,3,3,4,4,3,0,4,0.8
485,491,3,3,4,2,2,2,3,0,4,0.8
486,492,2,4,4,2,2,2,2,0,4,0.8
487,493,3,3,3,3,4,3,4,1,3,1.4
488,494,2,2,2,3,3,4,3,1,3,1.4
489,495,1,1,2,1,1,2,1,0,4,0.8
490,496,3,3,3,3,3,3,3,0,0,0
491,497,3,3,4,2,3,3,4,1,5,1.8
492,498,2,1,2,1,1,2,3,1,5,1.8
493,499,1,1,1,1,2,2,3,2,2,2
494,500,4,4,3,2,4,3,3,-1,5,0.2
495,501,3,1,1,1,1,1,1,-2,2,-1.2
496,502,4,4,4,4,4,4,4,0,0,0
497,503,4,4,4,4,4,4,4,0,0,0
498,504,2,2,1,1,4,4,1,-1,7,0.6
499,505,3,3,2,3,3,4,4,1,3,1.4
500,506,1,1,1,1,2,2,2,1,1,1
501,507,4,4,4,4,4,4,4,0,0,0
502,508,4,4,4,4,4,3,3,-1,1,-0.6
503,509,4,4,4,3,4,4,4,0,2,0.4
504,510,2,4,4,3,4,3,3,1,5,1.8
505,511,2,3,3,3,2,3,2,0,4,0.8
506,512,1,1,2,1,3,3,3,2,4,2.4
507,513,1,1,1,2,1,2,4,3,5,3.4
508,514,2,3,4,2,3,2,3,1,7,2.2
509,515,4,4,4,4,4,4,4,0,0,0
510,516,3,3,3,2,3,2,3,0,4,0.8
511,517,2,3,2,3,3,3,1,-1,5,0.2
512,518,3,4,4,3,4,4,4,1,3,1.4
513,519,1,1,1,1,2,3,2,1,3,1.4
514,520,1,2,3,3,3,2,2,1,3,1.4
515,521,4,3,4,4,4,4,4,0,2,0.4
516,522,1,3,4,3,2,3,3,2,6,2.8
517,523,4,4,4,2,4,4,4,0,4,0.8
518,524,3,3,3,3,3,3,3,0,0,0
519,525,4,3,4,2,4,4,4,0,6,1.2
520,526,2,2,4,3,4,4,4,2,4,2.4
521,527,1,1,2,1,1,2,2,1,3,1.4
522,528,1,1,1,1,1,2,1,0,2,0.4
523,529,2,3,2,3,3,3,4,2,4,2.4
524,530,1,1,1,1,1,3,2,1,3,1.4
525,531,1,2,3,1,1,2,2,1,5,1.8
526,532,1,1,2,2,1,2,2,1,3,1.4
527,533,3,2,3,3,3,3,3,0,2,0.4
528,534,1,1,2,2,1,2,3,2,4,2.4
529,535,1,1,1,1,2,2,3,2,2,2
530,536,2,1,1,1,2,1,3,1,5,1.8
531,537,2,2,2,2,3,3,3,1,1,1
532,538,2,3,4,2,4,2,2,0,8,1.6
533,539,1,2,2,1,3,2,3,2,6,2.8
534,540,1,3,2,1,2,2,4,3,7,3.8
535,541,3,3,4,4,4,4,4,1,1,1
