,°í°´¹øÈ£,½ÄÇ°_ÃÑ±¸¸Å¾×1,½ÄÇ°_ÃÑ±¸¸Å¾×2,½ÄÇ°_ÃÑ±¸¸Å¾×3,½ÄÇ°_ÃÑ±¸¸Å¾×4,½ÄÇ°_ÃÑ±¸¸Å¾×5,½ÄÇ°_ÃÑ±¸¸Å¾×6,½ÄÇ°_ÃÑ±¸¸Å¾×7,½ÄÇ°_ÃÑ±¸¸Å¾×8,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö1,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö2,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö3,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö4,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö5,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö6,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö7,½ÄÇ°_ÃÑ±¸¸ÅÈ½¼ö8
22,24,473829.0,566527.0,818306.0,517390.0,434081.0,371145.0,699704.0,315772.0,84.0,79.0,74.0,92.0,60.0,62.0,75.0,51.0
23,25,121590.0,149351.0,303534.0,223102.0,302411.0,226078.0,354291.0,370482.0,22.0,19.0,31.0,33.0,34.0,35.0,39.0,50.0
24,26,1233337.0,786705.0,882751.0,420373.0,685609.0,1472200.0,1175464.0,554498.0,79.0,38.0,41.0,32.0,31.0,143.0,92.0,78.0
25,27,576964.0,817886.0,866596.0,477046.0,626963.0,789286.0,1679982.0,556603.0,45.0,76.0,48.0,45.0,46.0,59.0,71.0,51.0
26,28,655293.0,979267.0,671923.0,794475.0,470929.0,1115643.0,933222.0,331728.0,149.0,240.0,154.0,169.0,89.0,180.0,162.0,103.0
27,29,303247.0,188405.0,332430.0,401166.0,512245.0,299225.0,377674.0,265553.0,19.0,22.0,49.0,38.0,64.0,40.0,41.0,43.0
28,30,1732780.0,2666604.0,2843938.0,2093988.0,1914914.0,2582581.0,2562908.0,1813737.0,164.0,243.0,226.0,226.0,172.0,190.0,237.0,208.0
29,31,574570.0,587145.0,516999.0,457813.0,697171.0,840818.0,910786.0,424038.0,64.0,74.0,47.0,66.0,79.0,86.0,97.0,76.0
30,32,780344.0,1204050.0,1925930.0,1278378.0,1530981.0,1366628.0,1624690.0,1328698.0,99.0,148.0,168.0,171.0,163.0,140.0,164.0,157.0
31,33,910827.0,1093753.0,1133701.0,789190.0,1073064.0,1055340.0,1435202.0,741718.0,209.0,254.0,238.0,206.0,237.0,259.0,318.0,226.0
32,34,891961.0,1673136.0,1073515.0,1817796.0,1026979.0,413515.0,444644.0,588991.0,86.0,145.0,113.0,143.0,109.0,67.0,32.0,20.0
33,35,1077209.0,1346961.0,828595.0,749724.0,1502046.0,3573450.0,1789474.0,1252958.0,84.0,81.0,42.0,61.0,66.0,155.0,100.0,84.0
34,36,619224.0,1361216.0,773017.0,517179.0,927708.0,916519.0,1230724.0,866595.0,52.0,122.0,90.0,54.0,68.0,70.0,102.0,107.0
35,37,377494.0,828714.0,1211796.0,1128224.0,933122.0,765723.0,1000607.0,857359.0,45.0,84.0,80.0,128.0,97.0,62.0,81.0,134.0
36,38,1157943.0,1197392.0,1950801.0,1485276.0,1573869.0,1526304.0,1977096.0,1501483.0,182.0,211.0,261.0,249.0,244.0,250.0,249.0,227.0
37,39,410175.0,758381.0,466270.0,706665.0,472023.0,785760.0,465051.0,342137.0,16.0,59.0,35.0,58.0,48.0,65.0,35.0,35.0
38,40,452454.0,553050.0,318272.0,446039.0,561466.0,293789.0,461431.0,702038.0,84.0,100.0,54.0,65.0,89.0,53.0,50.0,57.0
39,41,398503.0,701667.0,562430.0,504378.0,838082.0,769343.0,1089183.0,485737.0,26.0,33.0,36.0,38.0,67.0,73.0,106.0,54.0
40,42,839335.0,1111380.0,1390021.0,1007939.0,1491070.0,1602964.0,1695415.0,1194668.0,121.0,176.0,209.0,204.0,260.0,297.0,275.0,237.0
41,43,622273.0,529940.0,358049.0,500009.0,488402.0,819152.0,914128.0,478135.0,106.0,74.0,56.0,90.0,105.0,183.0,188.0,108.0
42,44,868314.0,1092491.0,2286185.0,1044977.0,861108.0,881154.0,1064536.0,468240.0,59.0,88.0,203.0,77.0,74.0,94.0,101.0,82.0
43,45,434135.0,401027.0,554417.0,511236.0,795013.0,594857.0,480843.0,503336.0,30.0,61.0,33.0,54.0,46.0,53.0,35.0,35.0
44,46,664190.0,858412.0,1829326.0,1156058.0,863476.0,1291139.0,1392006.0,968060.0,39.0,45.0,50.0,47.0,50.0,72.0,58.0,65.0
45,47,1930870.0,2228103.0,1525015.0,1164190.0,1331710.0,1116798.0,766203.0,634061.0,229.0,299.0,161.0,152.0,212.0,145.0,84.0,129.0
46,48,645244.0,734634.0,1018894.0,503205.0,340424.0,673722.0,595313.0,83005.0,37.0,30.0,33.0,29.0,21.0,25.0,33.0,9.0
47,49,658917.0,1253130.0,993691.0,656818.0,589005.0,714627.0,881015.0,469641.0,52.0,61.0,53.0,40.0,38.0,45.0,51.0,35.0
48,50,976324.0,1425647.0,1006267.0,929575.0,1169426.0,1055594.0,1516819.0,914112.0,129.0,164.0,125.0,141.0,158.0,154.0,190.0,154.0
49,51,1602724.0,1323345.0,1445743.0,731380.0,1351356.0,686410.0,942430.0,473452.0,287.0,192.0,176.0,134.0,166.0,100.0,119.0,89.0
50,52,513500.0,558998.0,1153830.0,1226177.0,1927532.0,2172245.0,1030013.0,552495.0,73.0,81.0,114.0,106.0,148.0,127.0,83.0,86.0
51,53,670182.0,880032.0,1394802.0,859950.0,1416146.0,1023224.0,1078619.0,919844.0,51.0,58.0,107.0,56.0,71.0,38.0,54.0,67.0
52,54,367721.0,332098.0,386178.0,256635.0,246002.0,246616.0,341164.0,353106.0,41.0,45.0,50.0,38.0,29.0,30.0,46.0,48.0
53,55,620683.0,500848.0,664778.0,465977.0,454784.0,567018.0,806750.0,190314.0,114.0,76.0,80.0,88.0,112.0,106.0,115.0,48.0
54,56,1139092.0,450733.0,369290.0,514284.0,480143.0,534705.0,856552.0,547104.0,44.0,47.0,26.0,55.0,26.0,44.0,49.0,51.0
55,57,1019923.0,1128171.0,890020.0,672413.0,2209642.0,627242.0,1025480.0,943545.0,229.0,255.0,213.0,200.0,140.0,183.0,293.0,257.0
56,58,650846.0,371672.0,585780.0,392739.0,567434.0,819612.0,443914.0,427616.0,49.0,36.0,38.0,44.0,55.0,54.0,31.0,33.0
57,59,724305.0,825003.0,1293471.0,1240032.0,1228585.0,1055077.0,1320985.0,1055873.0,81.0,69.0,105.0,110.0,93.0,95.0,84.0,82.0
58,60,769757.0,1107728.0,1594324.0,1028819.0,1195327.0,1397980.0,1484001.0,911463.0,78.0,134.0,143.0,175.0,136.0,164.0,157.0,139.0
59,61,2058670.0,2389148.0,1822952.0,1398341.0,1178213.0,1133778.0,1874383.0,762660.0,210.0,199.0,114.0,174.0,151.0,156.0,238.0,124.0
60,62,504331.0,936229.0,662449.0,532924.0,881140.0,451191.0,573863.0,667734.0,65.0,89.0,69.0,68.0,105.0,52.0,64.0,89.0
61,63,364454.0,616055.0,534060.0,496076.0,528101.0,599624.0,627643.0,367300.0,53.0,80.0,60.0,53.0,53.0,77.0,71.0,68.0
62,64,521642.0,501702.0,526633.0,501051.0,395950.0,279176.0,42080.0,125728.0,125.0,151.0,119.0,105.0,96.0,60.0,8.0,21.0
63,65,1017898.0,532821.0,830373.0,501612.0,1268500.0,834989.0,663346.0,668890.0,78.0,57.0,80.0,64.0,119.0,77.0,36.0,79.0
64,66,1186770.0,1268197.0,1619511.0,1485722.0,1641753.0,1829105.0,1533025.0,939415.0,201.0,195.0,213.0,229.0,233.0,230.0,218.0,179.0
65,67,566734.0,690165.0,1043252.0,794848.0,1143952.0,1051038.0,1415514.0,1000012.0,126.0,150.0,187.0,186.0,253.0,265.0,276.0,294.0
66,68,425575.0,584987.0,1378581.0,1113526.0,622282.0,532924.0,984309.0,572568.0,62.0,88.0,135.0,131.0,69.0,86.0,126.0,96.0
67,69,1312236.0,1642481.0,2229387.0,1539641.0,1632895.0,1804802.0,2287523.0,1595700.0,283.0,388.0,474.0,441.0,392.0,452.0,506.0,502.0
68,70,469312.0,548393.0,412846.0,343575.0,206641.0,0.0,79375.0,0.0,103.0,113.0,82.0,81.0,41.0,0.0,7.0,0.0
69,71,496526.0,522327.0,571225.0,383963.0,365732.0,454089.0,699520.0,317123.0,131.0,115.0,146.0,111.0,105.0,124.0,154.0,87.0
70,72,478653.0,315321.0,831596.0,761425.0,609454.0,803434.0,811127.0,752229.0,48.0,61.0,89.0,98.0,76.0,124.0,115.0,94.0
71,73,279944.0,556792.0,601793.0,76994.0,64989.0,338377.0,118266.0,50847.0,34.0,11.0,21.0,12.0,5.0,5.0,10.0,4.0
72,74,417921.0,436151.0,577638.0,367035.0,900001.0,574890.0,494942.0,436002.0,24.0,26.0,36.0,28.0,76.0,66.0,43.0,39.0
73,75,370369.0,296202.0,449781.0,377212.0,275559.0,178081.0,229618.0,241990.0,77.0,56.0,85.0,103.0,65.0,45.0,71.0,85.0
74,76,503594.0,551089.0,323010.0,536944.0,414284.0,366742.0,445013.0,318219.0,80.0,100.0,37.0,80.0,73.0,70.0,79.0,53.0
75,77,1028190.0,1106892.0,1382455.0,1031677.0,1136971.0,1040805.0,1257655.0,1141418.0,60.0,71.0,123.0,111.0,79.0,98.0,94.0,98.0
76,78,1207430.0,558500.0,984356.0,1096129.0,1854478.0,2033607.0,1616655.0,1054683.0,63.0,33.0,47.0,56.0,91.0,84.0,61.0,59.0
77,79,1369775.0,906345.0,1669308.0,1117563.0,978428.0,1607399.0,2031028.0,791748.0,231.0,141.0,233.0,223.0,173.0,270.0,262.0,148.0
78,80,866645.0,496972.0,930805.0,856392.0,805602.0,899627.0,1017512.0,764581.0,224.0,112.0,206.0,221.0,159.0,206.0,200.0,175.0
79,81,362635.0,718343.0,328323.0,407170.0,952044.0,612205.0,610425.0,255340.0,34.0,40.0,32.0,41.0,67.0,62.0,70.0,44.0
80,82,522326.0,748704.0,1126708.0,661333.0,988367.0,750306.0,562976.0,412175.0,58.0,78.0,99.0,89.0,122.0,75.0,59.0,61.0
81,83,1001826.0,1271921.0,1490602.0,1079816.0,1211252.0,1327569.0,1394313.0,534368.0,41.0,77.0,121.0,78.0,119.0,92.0,87.0,50.0
82,84,629187.0,54596.0,276837.0,159233.0,526564.0,600615.0,370712.0,425140.0,42.0,6.0,21.0,13.0,36.0,37.0,20.0,27.0
83,85,262760.0,193411.0,611826.0,854168.0,560513.0,1492286.0,1410399.0,1061032.0,41.0,32.0,72.0,119.0,70.0,128.0,125.0,124.0
84,86,1052413.0,1280968.0,1448544.0,1260076.0,2261297.0,1983815.0,1897428.0,1304357.0,167.0,185.0,165.0,143.0,296.0,264.0,206.0,152.0
85,87,295627.0,787796.0,295369.0,324690.0,1374372.0,605614.0,613095.0,197206.0,31.0,91.0,28.0,37.0,43.0,47.0,37.0,22.0
86,88,1495258.0,1467625.0,1144881.0,1385850.0,1519268.0,1084322.0,1013205.0,1193785.0,162.0,127.0,119.0,165.0,184.0,109.0,123.0,145.0
87,89,560438.0,1008738.0,1041985.0,788457.0,1019128.0,1426377.0,1036667.0,1096984.0,118.0,210.0,175.0,155.0,215.0,276.0,226.0,262.0
88,90,101062.0,698069.0,987457.0,472556.0,411066.0,581818.0,1916039.0,435957.0,8.0,44.0,61.0,39.0,26.0,33.0,51.0,35.0
89,91,1426916.0,1866791.0,1891061.0,1579887.0,1931753.0,1662321.0,1654715.0,1161874.0,72.0,67.0,85.0,101.0,89.0,87.0,90.0,88.0
90,92,1630546.0,1408429.0,1801822.0,1160387.0,1453292.0,1447043.0,2392967.0,895099.0,166.0,151.0,132.0,108.0,104.0,104.0,135.0,49.0
91,93,1576557.0,823048.0,1444380.0,7059.0,1496092.0,540243.0,2795767.0,540445.0,54.0,58.0,26.0,1.0,50.0,29.0,105.0,51.0
92,94,51575.0,21931.0,1259682.0,1471099.0,1094536.0,1185061.0,1120875.0,21279730.0,8.0,7.0,90.0,137.0,101.0,110.0,101.0,114.0
93,95,542820.0,650877.0,536840.0,390486.0,512474.0,729848.0,661633.0,563495.0,142.0,136.0,103.0,96.0,114.0,150.0,135.0,113.0
94,96,893540.0,905263.0,2906954.0,969418.0,1047187.0,699627.0,1230260.0,864117.0,55.0,66.0,98.0,68.0,61.0,45.0,58.0,65.0
95,97,2879389.0,1102929.0,5559142.0,762585.0,23587162.0,941319.0,10996631.0,477362.0,101.0,137.0,78.0,103.0,123.0,176.0,135.0,55.0
96,98,1428428.0,1380660.0,2043761.0,1415250.0,866429.0,1215214.0,1269468.0,1222818.0,96.0,74.0,102.0,74.0,47.0,64.0,61.0,81.0
97,99,653528.0,652911.0,935492.0,573891.0,714006.0,643736.0,915793.0,551485.0,42.0,68.0,72.0,39.0,51.0,44.0,74.0,50.0
98,100,271338.0,349635.0,1418980.0,558057.0,377827.0,204853.0,817736.0,40189.0,46.0,58.0,82.0,91.0,54.0,34.0,67.0,6.0
99,101,608179.0,241681.0,229289.0,497739.0,509683.0,388079.0,680650.0,699580.0,85.0,37.0,39.0,63.0,79.0,72.0,84.0,100.0
100,102,2488363.0,2133987.0,3436348.0,1850592.0,2555139.0,1989182.0,2355227.0,1422536.0,298.0,281.0,308.0,304.0,366.0,253.0,261.0,277.0
101,103,576953.0,424789.0,704381.0,246442.0,570581.0,502828.0,681791.0,358167.0,128.0,99.0,123.0,73.0,96.0,102.0,135.0,93.0
102,104,1450784.0,1912311.0,2298804.0,766628.0,1309987.0,1639734.0,2286272.0,1034903.0,251.0,340.0,315.0,166.0,256.0,345.0,378.0,216.0
103,105,1993683.0,2688775.0,2377138.0,2019271.0,1944850.0,1286844.0,2063320.0,1616915.0,294.0,342.0,274.0,317.0,203.0,216.0,253.0,228.0
104,106,239258.0,654074.0,589192.0,499136.0,386917.0,502829.0,585559.0,367646.0,28.0,67.0,39.0,75.0,59.0,41.0,52.0,40.0
105,107,491965.0,589650.0,665481.0,873575.0,1330917.0,1304313.0,1546891.0,410893.0,52.0,75.0,39.0,75.0,49.0,67.0,63.0,59.0
106,108,538806.0,524037.0,556210.0,581928.0,607592.0,650180.0,1118101.0,587510.0,60.0,58.0,81.0,94.0,81.0,107.0,111.0,93.0
107,109,1472005.0,1216340.0,1153178.0,923237.0,659985.0,588163.0,779445.0,537609.0,178.0,168.0,171.0,174.0,166.0,143.0,134.0,157.0
108,110,1004444.0,881163.0,1453381.0,982175.0,943661.0,848182.0,988516.0,651587.0,158.0,117.0,155.0,150.0,116.0,116.0,127.0,77.0
109,111,551296.0,381813.0,852811.0,439347.0,656680.0,744043.0,596551.0,543253.0,188.0,172.0,156.0,180.0,167.0,230.0,200.0,212.0
110,112,206267.0,787573.0,2168001.0,831971.0,671449.0,1815490.0,3225998.0,697714.0,27.0,45.0,81.0,71.0,69.0,81.0,133.0,52.0
111,113,1400972.0,1754439.0,1897431.0,1259153.0,1178698.0,1105861.0,1333479.0,805299.0,119.0,154.0,139.0,122.0,107.0,98.0,110.0,72.0
112,114,1073251.0,822519.0,708968.0,456871.0,938798.0,1228234.0,763533.0,786364.0,130.0,64.0,58.0,47.0,84.0,108.0,74.0,74.0
113,115,1047313.0,2151417.0,640725.0,1184478.0,1685275.0,1210331.0,1123864.0,577333.0,44.0,74.0,53.0,24.0,40.0,66.0,33.0,20.0
114,116,385541.0,933166.0,891182.0,431193.0,659649.0,675556.0,523946.0,527694.0,99.0,187.0,172.0,120.0,137.0,173.0,120.0,152.0
115,117,2128531.0,893919.0,3642648.0,775351.0,2432296.0,1455650.0,3165362.0,923908.0,106.0,100.0,122.0,130.0,139.0,169.0,84.0,143.0
116,118,403462.0,453538.0,1074320.0,683147.0,711631.0,375426.0,814120.0,327453.0,18.0,30.0,55.0,47.0,38.0,17.0,32.0,31.0
117,119,543702.0,892151.0,1031276.0,1053593.0,1034577.0,991049.0,639956.0,130957.0,55.0,83.0,69.0,52.0,84.0,73.0,62.0,17.0
118,120,415624.0,366821.0,658802.0,228680.0,383194.0,332995.0,565226.0,167441.0,40.0,37.0,69.0,35.0,67.0,62.0,68.0,25.0
119,121,418645.0,562542.0,443980.0,780689.0,721777.0,541225.0,999278.0,503003.0,43.0,37.0,47.0,75.0,71.0,70.0,85.0,64.0
120,122,596121.0,671126.0,1172731.0,638185.0,1120378.0,1282135.0,732128.0,887484.0,26.0,73.0,127.0,53.0,103.0,102.0,77.0,109.0
121,123,1351496.0,633726.0,1206650.0,909323.0,1246009.0,1263838.0,1035568.0,832686.0,249.0,142.0,177.0,173.0,199.0,215.0,175.0,204.0
122,124,229158.0,292236.0,403104.0,315217.0,420846.0,365163.0,418709.0,561936.0,29.0,28.0,47.0,31.0,42.0,39.0,39.0,71.0
123,125,840613.0,1169196.0,826365.0,629047.0,979059.0,731733.0,444510.0,783522.0,81.0,111.0,67.0,66.0,90.0,57.0,33.0,97.0
124,126,858893.0,660671.0,766486.0,675604.0,899464.0,1638785.0,1214989.0,742015.0,145.0,118.0,140.0,155.0,165.0,260.0,187.0,145.0
125,127,274725.0,245242.0,299482.0,154422.0,254437.0,232054.0,468771.0,335394.0,37.0,39.0,36.0,25.0,41.0,36.0,72.0,57.0
126,128,368967.0,563475.0,2641188.0,657185.0,341033.0,699688.0,657584.0,90799.0,52.0,75.0,68.0,76.0,59.0,147.0,94.0,26.0
127,129,446200.0,622136.0,781639.0,537951.0,736610.0,928561.0,1304593.0,730393.0,79.0,87.0,92.0,103.0,110.0,107.0,171.0,125.0
128,130,1532003.0,1103182.0,1461230.0,1316326.0,1397190.0,927715.0,681228.0,213373.0,87.0,78.0,85.0,120.0,92.0,73.0,42.0,29.0
129,131,1936839.0,1681953.0,2054502.0,601864.0,1036662.0,899555.0,2184471.0,1142482.0,276.0,202.0,314.0,104.0,178.0,139.0,258.0,169.0
130,132,908474.0,1067697.0,1263530.0,1165819.0,1487085.0,270401.0,273550.0,231277.0,193.0,251.0,269.0,329.0,355.0,54.0,64.0,61.0
131,133,1566754.0,1781584.0,1247008.0,879183.0,900551.0,1463553.0,1793309.0,657679.0,140.0,157.0,126.0,91.0,105.0,112.0,138.0,74.0
132,134,160836.0,241748.0,127082.0,549986.0,441888.0,210083.0,353936.0,287994.0,21.0,19.0,17.0,86.0,80.0,30.0,36.0,34.0
133,135,463441.0,932125.0,496958.0,662708.0,439751.0,646325.0,388747.0,260468.0,72.0,99.0,63.0,86.0,74.0,73.0,57.0,46.0
134,136,114356.0,628327.0,369651.0,250805.0,219182.0,157613.0,159315.0,160362.0,10.0,63.0,21.0,29.0,17.0,14.0,19.0,19.0
135,137,1026138.0,842273.0,876217.0,520286.0,804890.0,987834.0,921054.0,352757.0,83.0,90.0,63.0,85.0,105.0,140.0,111.0,76.0
136,138,853664.0,334058.0,343905.0,392467.0,806540.0,1080470.0,1077824.0,936300.0,82.0,21.0,19.0,30.0,91.0,108.0,105.0,83.0
137,139,884803.0,653572.0,710601.0,1072171.0,921386.0,973946.0,1155720.0,646259.0,67.0,55.0,60.0,104.0,114.0,112.0,136.0,134.0
138,140,3332977.0,1307110.0,4719491.0,7006066.0,5730277.0,5480031.0,2470140.0,4668762.0,83.0,61.0,80.0,78.0,77.0,77.0,66.0,71.0
139,141,511956.0,540117.0,501651.0,423087.0,452096.0,663921.0,1127483.0,599445.0,124.0,132.0,107.0,111.0,123.0,185.0,183.0,173.0
140,143,554081.0,646062.0,755830.0,602753.0,635860.0,891639.0,955059.0,752050.0,139.0,146.0,158.0,165.0,159.0,197.0,201.0,225.0
141,144,8571190.0,9843367.0,11702768.0,8773931.0,8725423.0,1888917.0,1802297.0,283059.0,955.0,951.0,1147.0,951.0,921.0,152.0,143.0,63.0
142,145,1235550.0,1429541.0,1459462.0,1445852.0,895877.0,1180627.0,1418724.0,554901.0,95.0,70.0,68.0,90.0,44.0,76.0,72.0,43.0
143,146,97519.0,129379.0,145744.0,45025.0,58688.0,267967.0,163304.0,33050.0,8.0,12.0,8.0,7.0,8.0,15.0,6.0,4.0
144,147,1562669.0,1690762.0,1672815.0,826803.0,978946.0,1184043.0,2062164.0,656936.0,127.0,146.0,163.0,117.0,119.0,159.0,185.0,116.0
145,148,460338.0,415030.0,645868.0,570751.0,632149.0,879312.0,678325.0,607506.0,146.0,113.0,158.0,199.0,155.0,170.0,175.0,188.0
146,149,996477.0,994397.0,1518337.0,1031735.0,1662566.0,1751432.0,946437.0,1353875.0,61.0,62.0,87.0,68.0,87.0,127.0,50.0,128.0
147,150,883630.0,1045884.0,1740627.0,793817.0,880166.0,1122599.0,592567.0,102773.0,188.0,178.0,261.0,193.0,182.0,216.0,123.0,39.0
148,151,1952568.0,1780773.0,2583623.0,1074736.0,1401289.0,1234604.0,1620093.0,1100915.0,138.0,148.0,140.0,107.0,129.0,122.0,126.0,126.0
149,152,663347.0,742010.0,812136.0,427032.0,484143.0,139917.0,201921.0,100620.0,96.0,108.0,116.0,62.0,56.0,16.0,18.0,17.0
150,153,800425.0,560142.0,828471.0,375659.0,787077.0,742794.0,805188.0,380080.0,136.0,105.0,115.0,87.0,114.0,134.0,144.0,90.0
151,154,136450.0,493566.0,478466.0,136944.0,167471.0,386443.0,527640.0,509327.0,21.0,75.0,55.0,25.0,22.0,57.0,69.0,98.0
152,155,847226.0,1141128.0,911485.0,848413.0,1285880.0,1431690.0,967892.0,872378.0,64.0,58.0,61.0,74.0,87.0,69.0,58.0,84.0
153,156,1426948.0,2121438.0,2124314.0,2299659.0,1587448.0,1540855.0,4422733.0,1491727.0,109.0,136.0,125.0,105.0,88.0,104.0,96.0,66.0
154,157,568389.0,695982.0,691951.0,494940.0,687976.0,582563.0,746440.0,389455.0,90.0,114.0,86.0,88.0,80.0,102.0,99.0,67.0
155,158,701369.0,685237.0,1170282.0,1208663.0,769045.0,2273159.0,882158.0,752721.0,69.0,65.0,96.0,176.0,88.0,108.0,118.0,122.0
156,159,73104.0,89927.0,136584.0,243424.0,245727.0,87747.0,75480.0,13550.0,14.0,7.0,20.0,28.0,26.0,15.0,9.0,1.0
157,160,1223002.0,1451256.0,984684.0,1122950.0,2251233.0,1375052.0,1589477.0,1253088.0,133.0,149.0,89.0,120.0,227.0,143.0,153.0,105.0
158,161,991374.0,532456.0,175357.0,209655.0,236115.0,428843.0,288454.0,386794.0,51.0,27.0,11.0,18.0,9.0,30.0,18.0,27.0
159,162,921316.0,485724.0,725001.0,714278.0,1084455.0,569759.0,589943.0,520186.0,93.0,58.0,71.0,84.0,80.0,59.0,56.0,52.0
160,163,472761.0,1004902.0,1059470.0,992739.0,987181.0,1134511.0,849902.0,816107.0,107.0,172.0,195.0,180.0,124.0,165.0,147.0,165.0
161,164,133507.0,300664.0,450688.0,158691.0,328932.0,343099.0,1421882.0,541784.0,12.0,38.0,40.0,18.0,50.0,41.0,160.0,99.0
162,165,40258.0,175156.0,111206.0,108636.0,1028061.0,324072.0,211682.0,141690.0,9.0,25.0,20.0,14.0,39.0,34.0,28.0,27.0
163,166,43997.0,1159197.0,999530.0,1279505.0,972075.0,875035.0,557023.0,630383.0,6.0,111.0,74.0,102.0,82.0,59.0,41.0,56.0
