,°í°´¹øÈ£,±âÈ£Ç°_ÃÑ±¸¸Å¾×1,±âÈ£Ç°_ÃÑ±¸¸Å¾×2,±âÈ£Ç°_ÃÑ±¸¸Å¾×3,±âÈ£Ç°_ÃÑ±¸¸Å¾×4,±âÈ£Ç°_ÃÑ±¸¸Å¾×5,±âÈ£Ç°_ÃÑ±¸¸Å¾×6,±âÈ£Ç°_ÃÑ±¸¸Å¾×7,±âÈ£Ç°_ÃÑ±¸¸Å¾×8,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö1,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö2,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö3,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö4,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö5,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö6,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö7,±âÈ£Ç°_ÃÑ±¸¸ÅÈ½¼ö8
17,19,53138.0,9271.0,2260.0,887.0,5481.0,3217.0,17118.0,3801.0,6.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0
18,20,9841.0,15348.0,170035.0,6208.0,13652.0,53497.0,92316.0,106310.0,1.0,2.0,11.0,2.0,5.0,10.0,9.0,18.0
19,21,83803.0,144853.0,109242.0,67106.0,86692.0,218608.0,321855.0,141418.0,15.0,8.0,15.0,8.0,14.0,28.0,41.0,24.0
20,22,41517.0,11382.0,21805.0,7733.0,54239.0,18252.0,45883.0,49516.0,4.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0
21,23,83154.0,19366.0,0.0,65219.0,163132.0,22304.0,0.0,9089.0,8.0,3.0,0.0,7.0,10.0,2.0,0.0,1.0
22,24,64809.0,51896.0,0.0,0.0,22149.0,46539.0,99773.0,81962.0,3.0,3.0,0.0,0.0,1.0,2.0,4.0,3.0
23,25,15252.0,32860.0,0.0,22260.0,24575.0,0.0,10136.0,69239.0,2.0,5.0,0.0,3.0,3.0,0.0,2.0,5.0
24,26,27259.0,36466.0,55043.0,26605.0,7079.0,24417.0,15317.0,22135.0,2.0,5.0,6.0,1.0,1.0,4.0,2.0,3.0
25,27,4920.0,35538.0,82521.0,0.0,23848.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0
26,28,0.0,9270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
27,29,13777.0,38402.0,16224.0,53121.0,57324.0,32031.0,28156.0,85226.0,2.0,2.0,3.0,2.0,5.0,2.0,1.0,7.0
28,30,6396.0,7931.0,2146.0,11707.0,30644.0,18016.0,47302.0,4132.0,2.0,3.0,2.0,6.0,2.0,3.0,4.0,2.0
29,31,64060.0,58404.0,32764.0,54542.0,24778.0,75280.0,126530.0,86836.0,15.0,13.0,9.0,14.0,10.0,25.0,23.0,22.0
30,32,66028.0,32962.0,72478.0,79859.0,41164.0,16621.0,30411.0,55246.0,10.0,5.0,9.0,12.0,7.0,4.0,9.0,14.0
31,33,124624.0,56192.0,98566.0,63162.0,123274.0,95356.0,127004.0,72243.0,28.0,16.0,20.0,15.0,43.0,38.0,29.0,34.0
32,34,176443.0,82346.0,22596.0,124204.0,34386.0,8579.0,82778.0,114269.0,17.0,11.0,2.0,8.0,1.0,2.0,6.0,5.0
33,35,3917.0,36743.0,7908.0,10997.0,14564.0,7560.0,3942.0,11980.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0
34,36,115480.0,171199.0,17490.0,31039.0,109732.0,260148.0,123545.0,307814.0,6.0,9.0,6.0,4.0,5.0,12.0,15.0,20.0
35,37,86005.0,586738.0,599589.0,171247.0,366614.0,189910.0,366296.0,248573.0,6.0,31.0,26.0,17.0,21.0,16.0,31.0,32.0
36,38,365685.0,248026.0,322628.0,473458.0,344597.0,296866.0,459234.0,409450.0,30.0,20.0,29.0,44.0,36.0,25.0,37.0,44.0
37,39,6888.0,5150.0,32764.0,7982.0,39038.0,39998.0,48428.0,17929.0,1.0,1.0,2.0,1.0,4.0,4.0,3.0,2.0
38,40,0.0,0.0,5649.0,17205.0,0.0,17157.0,36940.0,27746.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,5.0
39,41,34442.0,41297.0,3491.0,29177.0,20915.0,87932.0,137400.0,4131.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0
40,42,12733.0,50504.0,69504.0,29984.0,41206.0,45326.0,42175.0,35097.0,4.0,15.0,24.0,9.0,8.0,10.0,11.0,16.0
41,43,46131.0,8076.0,2938.0,1419.0,3843.0,18015.0,0.0,10195.0,7.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0
42,44,0.0,0.0,9603.0,0.0,20227.0,28985.0,80841.0,105140.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,8.0
43,45,37492.0,0.0,247202.0,8869.0,0.0,5576.0,3942.0,102205.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,7.0
44,46,0.0,30181.0,3706.0,0.0,64929.0,80190.0,13515.0,150971.0,0.0,2.0,1.0,0.0,2.0,4.0,1.0,7.0
45,47,19740.0,22177.0,39532.0,6686.0,0.0,10767.0,6284.0,33215.0,4.0,5.0,2.0,2.0,0.0,3.0,1.0,5.0
46,48,162171.0,94768.0,253190.0,110677.0,119846.0,169429.0,426501.0,162437.0,5.0,3.0,3.0,5.0,3.0,7.0,16.0,6.0
47,49,18697.0,48928.0,10168.0,10642.0,37420.0,0.0,16893.0,56514.0,1.0,4.0,2.0,2.0,3.0,0.0,1.0,4.0
48,50,135308.0,42955.0,11298.0,2971.0,3934.0,23377.0,9573.0,25695.0,6.0,4.0,1.0,1.0,1.0,5.0,3.0,4.0
49,51,27888.0,39431.0,5333.0,46195.0,64827.0,61767.0,59442.0,14542.0,4.0,7.0,1.0,8.0,9.0,9.0,7.0,1.0
50,52,4920.0,46973.0,11546.0,11139.0,23585.0,3217.0,11262.0,0.0,1.0,5.0,4.0,2.0,4.0,1.0,1.0,0.0
51,53,19090.0,9889.0,38753.0,23413.0,2427.0,42892.0,10812.0,8180.0,3.0,2.0,6.0,3.0,1.0,4.0,1.0,1.0
52,54,16040.0,26575.0,54117.0,156525.0,103060.0,125995.0,202280.0,168065.0,3.0,7.0,10.0,30.0,21.0,32.0,46.0,49.0
53,55,41252.0,0.0,30730.0,26401.0,0.0,6948.0,7298.0,19728.0,4.0,0.0,8.0,3.0,0.0,2.0,2.0,9.0
54,56,0.0,0.0,21240.0,22614.0,0.0,0.0,15655.0,2479.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0
55,57,50394.0,80706.0,25465.0,43712.0,17628.0,22626.0,52471.0,36065.0,11.0,10.0,5.0,7.0,4.0,3.0,9.0,8.0
56,58,0.0,15348.0,11298.0,15076.0,12116.0,15206.0,22581.0,0.0,0.0,2.0,1.0,1.0,4.0,4.0,5.0,0.0
57,59,0.0,23589.0,24347.0,18997.0,20025.0,10723.0,33674.0,32719.0,0.0,2.0,4.0,4.0,4.0,1.0,3.0,3.0
58,60,41792.0,640177.0,289751.0,75452.0,8728.0,69520.0,460460.0,56439.0,4.0,9.0,7.0,7.0,1.0,7.0,12.0,10.0
59,61,20271.0,1112.0,29150.0,11883.0,15009.0,0.0,15655.0,0.0,3.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0
60,62,0.0,79522.0,65235.0,110366.0,26447.0,0.0,42009.0,43411.0,0.0,8.0,3.0,4.0,2.0,0.0,2.0,4.0
61,63,20075.0,30387.0,28245.0,0.0,0.0,3217.0,0.0,5776.0,3.0,5.0,3.0,0.0,0.0,1.0,0.0,3.0
62,64,47828.0,66899.0,13896.0,52898.0,59097.0,18102.0,0.0,6817.0,12.0,16.0,3.0,13.0,14.0,4.0,0.0,2.0
63,65,22633.0,204163.0,31635.0,28822.0,20936.0,27989.0,62224.0,83614.0,2.0,12.0,1.0,4.0,3.0,4.0,6.0,12.0
64,66,75642.0,113876.0,113885.0,107712.0,62706.0,31741.0,123322.0,111443.0,13.0,10.0,12.0,13.0,6.0,4.0,17.0,7.0
65,67,21551.0,19469.0,31273.0,10997.0,22755.0,32052.0,56514.0,34587.0,1.0,1.0,3.0,1.0,2.0,5.0,9.0,7.0
66,68,29620.0,33673.0,62297.0,26383.0,7019.0,22991.0,63453.0,19657.0,3.0,4.0,7.0,3.0,2.0,3.0,9.0,3.0
67,69,41662.0,50863.0,77492.0,58610.0,51479.0,69006.0,71741.0,47999.0,14.0,16.0,18.0,23.0,10.0,12.0,14.0,15.0
68,70,73291.0,65412.0,45633.0,47022.0,89121.0,0.0,3379.0,0.0,8.0,9.0,4.0,6.0,11.0,0.0,1.0,0.0
69,71,3100.0,5758.0,15252.0,29560.0,31564.0,24396.0,29664.0,12757.0,1.0,2.0,2.0,6.0,5.0,4.0,2.0,3.0
70,72,8266.0,3441.0,77053.0,57769.0,57424.0,31580.0,46389.0,42220.0,2.0,2.0,4.0,5.0,6.0,3.0,4.0,5.0
71,73,16728.0,0.0,169516.0,12238.0,0.0,8579.0,16218.0,0.0,2.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0
72,74,182542.0,84055.0,138401.0,108106.0,132488.0,47290.0,62900.0,52052.0,8.0,5.0,7.0,6.0,6.0,3.0,3.0,3.0
73,75,39360.0,108157.0,163121.0,182736.0,200042.0,250680.0,257524.0,202092.0,12.0,24.0,27.0,35.0,29.0,35.0,37.0,41.0
74,76,52253.0,48000.0,117060.0,20752.0,57546.0,138332.0,84015.0,43790.0,9.0,11.0,9.0,5.0,7.0,8.0,13.0,9.0
75,77,70164.0,72106.0,128009.0,67310.0,55624.0,4289.0,11262.0,45030.0,7.0,5.0,8.0,8.0,3.0,1.0,1.0,4.0
76,78,0.0,0.0,0.0,0.0,0.0,21093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
77,79,18402.0,7571.0,100553.0,84534.0,18225.0,7989.0,55410.0,10782.0,2.0,1.0,4.0,5.0,3.0,1.0,3.0,2.0
78,80,24747.0,4532.0,2418.0,7450.0,0.0,1158.0,30127.0,17930.0,6.0,1.0,1.0,2.0,0.0,2.0,4.0,2.0
79,81,11808.0,61809.0,88127.0,88045.0,42476.0,43322.0,93632.0,22721.0,2.0,10.0,9.0,12.0,5.0,5.0,10.0,4.0
80,82,23864.0,22456.0,48177.0,41212.0,18305.0,43441.0,5068.0,15533.0,3.0,2.0,5.0,5.0,3.0,6.0,1.0,2.0
81,83,50580.0,51916.0,14348.0,28290.0,14765.0,25200.0,26917.0,41354.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0
82,84,69159.0,42543.0,166545.0,32094.0,121383.0,100800.0,13515.0,21566.0,6.0,3.0,8.0,5.0,11.0,7.0,1.0,5.0
83,85,9349.0,91163.0,19771.0,34143.0,16687.0,63481.0,13965.0,15525.0,1.0,9.0,4.0,4.0,3.0,5.0,2.0,3.0
84,86,302903.0,164525.0,481933.0,220462.0,402991.0,364560.0,307877.0,164058.0,27.0,22.0,31.0,36.0,49.0,50.0,37.0,21.0
85,87,58945.0,31932.0,17512.0,18003.0,8900.0,0.0,11262.0,190201.0,6.0,6.0,2.0,3.0,2.0,0.0,1.0,4.0
86,88,68127.0,37175.0,27906.0,4168.0,42558.0,8729.0,9922.0,18343.0,5.0,3.0,3.0,1.0,3.0,2.0,2.0,4.0
87,89,27485.0,27606.0,17602.0,69271.0,9598.0,6434.0,19709.0,11188.0,1.0,2.0,4.0,10.0,2.0,2.0,3.0,3.0
88,90,331134.0,268853.0,7457.0,106420.0,222499.0,128681.0,337869.0,437493.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0
89,91,63077.0,9168.0,12451.0,0.0,11226.0,25737.0,7770.0,80019.0,3.0,3.0,2.0,0.0,2.0,4.0,3.0,8.0
90,92,18973.0,24722.0,54480.0,14731.0,22330.0,24010.0,140553.0,25201.0,4.0,1.0,8.0,5.0,5.0,3.0,9.0,4.0
91,93,0.0,3296.0,109591.0,13303.0,1112.0,10723.0,1577.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
92,94,7380.0,22744.0,602231.0,299991.0,224805.0,109454.0,299901.0,51838.0,1.0,2.0,13.0,27.0,20.0,9.0,16.0,13.0
93,95,7528.0,58870.0,15083.0,4079.0,44409.0,0.0,55973.0,2148.0,1.0,4.0,2.0,1.0,5.0,0.0,3.0,1.0
94,96,213540.0,374025.0,257258.0,276515.0,345277.0,383040.0,328521.0,292042.0,4.0,8.0,5.0,4.0,7.0,6.0,7.0,7.0
95,97,2175972.0,58510.0,202326.0,182291.0,658393.0,109947.0,11037.0,177641.0,11.0,4.0,6.0,8.0,5.0,3.0,2.0,2.0
96,98,90730.0,61393.0,62693.0,143126.0,0.0,116885.0,49328.0,269520.0,5.0,7.0,4.0,6.0,0.0,6.0,8.0,8.0
97,99,63128.0,14297.0,79460.0,128795.0,106091.0,40105.0,44824.0,31893.0,7.0,2.0,6.0,2.0,4.0,3.0,3.0,4.0
98,100,62095.0,6180.0,0.0,164952.0,68772.0,51471.0,81764.0,0.0,4.0,2.0,0.0,14.0,9.0,8.0,9.0,0.0
99,101,74785.0,185723.0,120661.0,180473.0,144626.0,179941.0,238905.0,104417.0,12.0,19.0,22.0,32.0,23.0,28.0,31.0,24.0
100,102,14456.0,35641.0,104734.0,67399.0,133497.0,168711.0,10012.0,154300.0,3.0,10.0,8.0,2.0,7.0,8.0,3.0,5.0
101,103,28046.0,0.0,0.0,30951.0,0.0,0.0,14416.0,26589.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0
102,104,192826.0,11836.0,19839.0,21018.0,21583.0,6370.0,17423.0,4363.0,7.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0
103,105,32622.0,59815.0,73969.0,22837.0,97495.0,10488.0,131316.0,64662.0,5.0,6.0,5.0,4.0,4.0,4.0,7.0,6.0
104,106,31786.0,35022.0,9355.0,11706.0,0.0,2145.0,13514.0,5784.0,4.0,4.0,1.0,2.0,0.0,1.0,2.0,1.0
105,107,25388.0,18748.0,5649.0,22348.0,26902.0,25039.0,11487.0,0.0,2.0,2.0,1.0,5.0,4.0,4.0,2.0,0.0
106,108,4920.0,2060.0,15817.0,2661.0,4814.0,3217.0,18909.0,21200.0,1.0,1.0,5.0,2.0,3.0,2.0,3.0,5.0
107,109,48383.0,28060.0,42255.0,13187.0,19924.0,33457.0,16534.0,909.0,13.0,10.0,5.0,2.0,3.0,6.0,6.0,1.0
108,110,45000.0,12309.0,158104.0,88799.0,117571.0,137793.0,18357.0,0.0,8.0,5.0,13.0,12.0,12.0,13.0,4.0,0.0
109,111,27120.0,4368.0,12574.0,0.0,0.0,0.0,15790.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0
110,112,26471.0,10816.0,9038.0,44874.0,0.0,10402.0,0.0,13220.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0
111,113,21403.0,14524.0,43871.0,62521.0,68864.0,25522.0,126779.0,44452.0,3.0,1.0,4.0,8.0,8.0,3.0,9.0,4.0
112,114,6888.0,9271.0,0.0,0.0,0.0,1287.0,0.0,2066.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
113,115,14308.0,118677.0,87865.0,89092.0,109428.0,141870.0,54509.0,27266.0,2.0,11.0,7.0,7.0,8.0,12.0,5.0,4.0
114,116,92726.0,241242.0,188459.0,152887.0,209489.0,149527.0,139466.0,202528.0,28.0,85.0,51.0,88.0,71.0,51.0,45.0,81.0
115,117,2952.0,16399.0,9885.0,1419.0,35297.0,30702.0,0.0,56184.0,1.0,3.0,2.0,1.0,3.0,9.0,0.0,1.0
116,118,3838.0,3090.0,19205.0,17116.0,12136.0,10294.0,4505.0,0.0,1.0,1.0,4.0,3.0,2.0,1.0,1.0,0.0
117,119,0.0,25134.0,0.0,11706.0,44397.0,3431.0,11150.0,22474.0,0.0,4.0,0.0,2.0,6.0,1.0,1.0,4.0
118,120,19317.0,7726.0,11410.0,0.0,0.0,6069.0,0.0,10327.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0
119,121,93742.0,32859.0,21466.0,55933.0,47939.0,42356.0,130226.0,32223.0,14.0,5.0,3.0,8.0,6.0,7.0,11.0,7.0
120,122,254575.0,74485.0,91966.0,109462.0,45966.0,56619.0,60827.0,58333.0,2.0,5.0,7.0,7.0,5.0,4.0,7.0,5.0
121,123,25231.0,1648.0,32595.0,0.0,22756.0,1759.0,0.0,17310.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0
122,124,0.0,49444.0,35589.0,36804.0,25284.0,67235.0,14753.0,34618.0,0.0,3.0,6.0,5.0,2.0,8.0,5.0,8.0
123,125,41891.0,37855.0,62140.0,98128.0,19621.0,37532.0,0.0,63984.0,3.0,3.0,4.0,8.0,3.0,2.0,0.0,6.0
124,126,0.0,4841.0,0.0,1862.0,0.0,6970.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
125,127,7872.0,26987.0,3389.0,2661.0,40148.0,0.0,13515.0,2479.0,2.0,5.0,1.0,1.0,8.0,0.0,1.0,1.0
126,128,62772.0,53512.0,89743.0,36557.0,29806.0,21875.0,20339.0,12162.0,6.0,9.0,10.0,5.0,5.0,4.0,4.0,5.0
127,129,0.0,22095.0,5536.0,59285.0,0.0,0.0,2241.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0
128,130,70753.0,152452.0,328142.0,233556.0,381717.0,119567.0,50207.0,52053.0,5.0,8.0,8.0,13.0,15.0,4.0,4.0,3.0
129,131,23559.0,35928.0,43519.0,0.0,13107.0,90288.0,48426.0,47755.0,4.0,7.0,12.0,0.0,5.0,14.0,6.0,9.0
130,132,52991.0,60569.0,51632.0,58088.0,155678.0,0.0,11037.0,3966.0,3.0,3.0,2.0,3.0,6.0,0.0,1.0,2.0
131,133,61306.0,10301.0,45305.0,0.0,0.0,41071.0,1171.0,0.0,6.0,1.0,4.0,0.0,0.0,5.0,1.0,0.0
132,134,0.0,18130.0,3389.0,3095.0,8597.0,0.0,66448.0,56763.0,0.0,1.0,1.0,2.0,1.0,0.0,4.0,3.0
133,135,24110.0,170273.0,16721.0,65137.0,24031.0,60533.0,30406.0,9915.0,3.0,10.0,3.0,10.0,6.0,7.0,8.0,1.0
134,136,0.0,25752.0,0.0,10172.0,6119.0,9651.0,12389.0,10741.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0
135,137,415429.0,64947.0,71166.0,81607.0,54299.0,105604.0,46491.0,6882.0,4.0,8.0,3.0,8.0,6.0,8.0,6.0,3.0
136,138,45759.0,45015.0,10507.0,42514.0,249705.0,281543.0,45815.0,209094.0,3.0,3.0,1.0,3.0,6.0,6.0,7.0,13.0
137,139,120645.0,26370.0,180656.0,57085.0,6736.0,25469.0,41028.0,7353.0,3.0,1.0,4.0,7.0,2.0,6.0,7.0,2.0
138,140,92923.0,382573.0,42029.0,31571.0,44904.0,538743.0,69826.0,12393.0,8.0,7.0,4.0,3.0,2.0,5.0,2.0,2.0
139,141,31588.0,19901.0,7174.0,13914.0,17466.0,20748.0,20418.0,9899.0,6.0,6.0,4.0,2.0,6.0,6.0,7.0,3.0
140,143,0.0,0.0,0.0,2084.0,0.0,22519.0,0.0,2272.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
141,144,135859.0,193924.0,226459.0,172444.0,119946.0,30541.0,0.0,6188.0,8.0,13.0,21.0,19.0,12.0,2.0,0.0,2.0
142,145,11316.0,51402.0,6666.0,43455.0,47432.0,14798.0,9325.0,45774.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0
143,146,0.0,0.0,22596.0,16770.0,0.0,9544.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
144,147,61208.0,182531.0,87412.0,137912.0,198985.0,223733.0,222596.0,153438.0,7.0,4.0,6.0,11.0,11.0,14.0,17.0,12.0
145,148,27493.0,22548.0,38571.0,20876.0,15645.0,9630.0,30362.0,3090.0,7.0,6.0,10.0,5.0,3.0,2.0,8.0,1.0
146,149,59437.0,6181.0,2825.0,0.0,2832.0,3003.0,0.0,10245.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0
147,150,45414.0,27400.0,52875.0,11386.0,24476.0,6187.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0
148,151,54026.0,33756.0,9649.0,0.0,8799.0,0.0,11048.0,7560.0,8.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0
149,152,24778.0,23280.0,17161.0,15343.0,13148.0,32706.0,20272.0,5775.0,4.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0
150,153,14760.0,8137.0,18302.0,5144.0,9102.0,6434.0,1126.0,5783.0,4.0,3.0,6.0,3.0,4.0,4.0,1.0,2.0
151,154,0.0,14927.0,0.0,5960.0,0.0,23484.0,0.0,6155.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0
152,155,8128.0,3647.0,39679.0,38588.0,85520.0,19034.0,25363.0,69833.0,1.0,1.0,5.0,9.0,6.0,3.0,2.0,7.0
153,156,0.0,57901.0,28087.0,6900.0,15737.0,53853.0,31286.0,25332.0,0.0,4.0,2.0,1.0,1.0,3.0,3.0,3.0
154,157,16531.0,35847.0,14123.0,4434.0,3236.0,31206.0,43585.0,31067.0,4.0,4.0,1.0,1.0,1.0,4.0,6.0,7.0
155,158,40049.0,103389.0,138685.0,182370.0,147371.0,200806.0,85727.0,303286.0,6.0,18.0,23.0,37.0,23.0,22.0,16.0,30.0
156,159,0.0,10816.0,0.0,6563.0,11641.0,8579.0,3694.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0
157,160,68392.0,1494.0,11298.0,3547.0,0.0,0.0,9010.0,3288.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
158,161,16523.0,0.0,0.0,125399.0,57850.0,10723.0,10136.0,46847.0,2.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0
159,162,33911.0,44736.0,58310.0,22596.0,7605.0,21855.0,24754.0,5404.0,4.0,5.0,9.0,3.0,1.0,4.0,3.0,1.0
160,163,61285.0,66132.0,12654.0,36751.0,38028.0,25522.0,37143.0,29399.0,13.0,6.0,2.0,10.0,4.0,2.0,4.0,6.0
161,164,275613.0,168616.0,357722.0,518534.0,148821.0,67118.0,117318.0,238204.0,6.0,4.0,8.0,10.0,7.0,13.0,14.0,7.0
162,165,0.0,1030.0,0.0,25984.0,6250.0,2895.0,23516.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,0.0
163,166,0.0,58250.0,31861.0,49310.0,31423.0,43783.0,73318.0,66348.0,0.0,7.0,5.0,11.0,5.0,5.0,9.0,6.0
164,167,19484.0,16481.0,30279.0,51792.0,57546.0,3753.0,111925.0,40511.0,2.0,2.0,1.0,5.0,7.0,1.0,8.0,6.0
165,168,3936.0,33993.0,22596.0,21870.0,7828.0,123318.0,48631.0,14525.0,1.0,2.0,3.0,6.0,3.0,4.0,5.0,5.0
166,169,11100.0,0.0,12767.0,1109.0,0.0,13511.0,1171.0,6155.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
167,170,78827.0,61158.0,129939.0,18376.0,7282.0,44266.0,4527.0,10394.0,13.0,14.0,9.0,5.0,1.0,8.0,1.0,2.0
168,171,34736.0,95076.0,44175.0,193243.0,29835.0,176828.0,47528.0,114848.0,7.0,5.0,8.0,10.0,6.0,19.0,7.0,6.0
169,172,42905.0,22189.0,38956.0,89883.0,69449.0,120092.0,102644.0,47557.0,3.0,4.0,5.0,11.0,10.0,10.0,11.0,6.0
170,173,22043.0,20911.0,4395.0,11378.0,0.0,11892.0,3097.0,0.0,2.0,2.0,1.0,4.0,0.0,3.0,1.0,0.0
171,175,80359.0,110888.0,67269.0,68439.0,75982.0,55655.0,77990.0,77542.0,10.0,10.0,3.0,9.0,10.0,6.0,9.0,12.0
