,고객번호,1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,8기구매등급,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,7기구매횟수,8기구매횟수
6034,53,4.0,1.0,5.0,1.0,3.0,3.0,5.0,4.0,67.0,84.0,134.0,99.0,94.0,85.0,86.0,105.0
12508,54,7.0,6.0,8.0,7.0,9.0,9.0,9.0,7.0,83.0,92.0,93.0,91.0,68.0,95.0,109.0,119.0
15518,55,9.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,145.0,89.0,124.0,119.0,133.0,129.0,137.0,79.0
783,56,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,100.0,93.0,61.0,112.0,91.0,118.0,83.0,108.0
13695,57,8.0,7.0,9.0,8.0,5.0,10.0,8.0,8.0,259.0,284.0,244.0,243.0,153.0,197.0,332.0,285.0
5949,58,4.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,73.0,72.0,74.0,78.0,89.0,90.0,63.0,79.0
5528,59,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,95.0,85.0,121.0,129.0,111.0,112.0,95.0,94.0
8330,60,5.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,112.0,183.0,185.0,214.0,163.0,214.0,224.0,181.0
3238,61,2.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,289.0,247.0,137.0,206.0,200.0,179.0,279.0,168.0
11936,62,7.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,100.0,144.0,123.0,114.0,152.0,105.0,105.0,129.0
18026,63,10.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,64.0,93.0,74.0,63.0,67.0,91.0,80.0,84.0
17245,64,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,145.0,176.0,127.0,138.0,114.0,66.0,11.0,42.0
9698,65,6.0,6.0,3.0,9.0,3.0,5.0,8.0,5.0,96.0,95.0,111.0,85.0,172.0,129.0,60.0,129.0
6389,66,4.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,264.0,247.0,262.0,293.0,282.0,274.0,285.0,233.0
15779,67,9.0,9.0,8.0,7.0,7.0,8.0,7.0,7.0,145.0,169.0,217.0,217.0,286.0,303.0,315.0,326.0
20,68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,196.0,243.0,292.0,191.0,132.0,156.0,214.0,166.0
11556,69,7.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,333.0,445.0,536.0,497.0,427.0,507.0,567.0,554.0
4225,70,3.0,6.0,1.0,3.0,4.0,5.0,5.0,3.0,135.0,153.0,120.0,120.0,77.0,11.0,19.0,13.0
17642,71,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,141.0,131.0,161.0,132.0,143.0,138.0,174.0,93.0
15100,72,9.0,10.0,6.0,8.0,8.0,9.0,8.0,7.0,66.0,79.0,139.0,138.0,129.0,176.0,155.0,149.0
219,73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,98.0,95.0,106.0,69.0,79.0,48.0,75.0,65.0
4490,74,3.0,2.0,2.0,4.0,4.0,6.0,9.0,5.0,95.0,120.0,127.0,63.0,115.0,101.0,63.0,75.0
17700,75,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,106.0,99.0,126.0,146.0,101.0,89.0,119.0,141.0
12943,76,7.0,7.0,9.0,6.0,9.0,6.0,8.0,6.0,120.0,154.0,77.0,124.0,90.0,124.0,132.0,102.0
4785,77,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,99.0,111.0,198.0,141.0,107.0,152.0,131.0,153.0
1735,78,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,111.0,70.0,129.0,126.0,153.0,173.0,138.0,129.0
9490,79,6.0,6.0,5.0,5.0,8.0,5.0,5.0,7.0,270.0,193.0,273.0,273.0,210.0,312.0,312.0,189.0
15113,80,9.0,9.0,8.0,7.0,8.0,7.0,9.0,5.0,243.0,129.0,227.0,248.0,177.0,221.0,221.0,209.0
1739,81,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,89.0,99.0,75.0,77.0,130.0,117.0,121.0,87.0
836,82,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,103.0,132.0,193.0,162.0,188.0,157.0,118.0,130.0
3607,83,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,63.0,125.0,186.0,126.0,156.0,135.0,164.0,101.0
2045,84,2.0,4.0,3.0,6.0,1.0,1.0,7.0,3.0,99.0,38.0,65.0,35.0,77.0,85.0,40.0,63.0
16100,85,9.0,9.0,10.0,6.0,6.0,5.0,5.0,5.0,58.0,52.0,85.0,138.0,98.0,150.0,151.0,145.0
7962,86,5.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,225.0,252.0,230.0,240.0,408.0,367.0,313.0,237.0
565,87,1.0,1.0,10.0,3.0,2.0,7.0,2.0,4.0,63.0,126.0,43.0,70.0,62.0,78.0,67.0,52.0
4438,88,3.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,186.0,182.0,177.0,208.0,237.0,146.0,176.0,192.0
14599,89,8.0,4.0,5.0,7.0,5.0,6.0,7.0,6.0,154.0,267.0,234.0,201.0,261.0,330.0,279.0,316.0
6692,90,4.0,4.0,3.0,1.0,4.0,3.0,2.0,2.0,35.0,72.0,88.0,94.0,47.0,71.0,77.0,58.0
8182,91,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,105.0,93.0,120.0,122.0,114.0,121.0,122.0,127.0
3415,92,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,247.0,244.0,260.0,218.0,198.0,207.0,252.0,168.0
1327,93,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,104.0,101.0,89.0,16.0,113.0,86.0,169.0,105.0
18694,94,10.0,10.0,2.0,2.0,3.0,3.0,1.0,1.0,14.0,28.0,166.0,236.0,172.0,178.0,184.0,188.0
15595,95,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,174.0,176.0,120.0,140.0,154.0,185.0,184.0,161.0
4909,96,3.0,1.0,2.0,5.0,4.0,7.0,4.0,5.0,85.0,125.0,131.0,93.0,83.0,57.0,89.0,90.0
7,97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,205.0,219.0,160.0,217.0,226.0,275.0,213.0,118.0
8294,98,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,118.0,121.0,129.0,99.0,62.0,83.0,79.0,101.0
499,99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,123.0,194.0,195.0,139.0,158.0,204.0,173.0,132.0
14626,100,8.0,2.0,2.0,2.0,7.0,9.0,5.0,10.0,66.0,90.0,134.0,158.0,77.0,56.0,103.0,7.0
11844,101,7.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,126.0,66.0,80.0,102.0,116.0,105.0,125.0,136.0
114,102,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,343.0,337.0,359.0,361.0,410.0,299.0,296.0,309.0
17034,103,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,138.0,104.0,136.0,80.0,102.0,108.0,140.0,95.0
10144,104,6.0,6.0,5.0,5.0,7.0,6.0,5.0,7.0,279.0,359.0,343.0,195.0,279.0,380.0,412.0,251.0
8190,105,5.0,4.0,3.0,5.0,4.0,6.0,3.0,5.0,320.0,377.0,310.0,348.0,228.0,254.0,287.0,251.0
1736,106,1.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,64.0,134.0,75.0,131.0,91.0,87.0,92.0,113.0
2233,107,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,102.0,112.0,80.0,128.0,88.0,129.0,96.0,106.0
8900,108,5.0,8.0,7.0,6.0,8.0,5.0,6.0,5.0,97.0,77.0,127.0,136.0,101.0,164.0,153.0,150.0
9498,109,6.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,218.0,184.0,197.0,185.0,174.0,167.0,162.0,174.0
8221,110,5.0,4.0,2.0,3.0,4.0,4.0,4.0,6.0,210.0,165.0,233.0,208.0,168.0,167.0,177.0,94.0
17406,111,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,195.0,180.0,175.0,183.0,171.0,240.0,209.0,216.0
1028,112,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,55.0,72.0,132.0,112.0,112.0,141.0,194.0,105.0
1347,113,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,184.0,237.0,234.0,239.0,209.0,204.0,224.0,135.0
10485,114,6.0,3.0,3.0,4.0,4.0,3.0,8.0,6.0,147.0,107.0,72.0,72.0,104.0,131.0,87.0,93.0
8518,115,5.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,69.0,105.0,88.0,58.0,71.0,113.0,45.0,45.0
15383,116,9.0,8.0,9.0,10.0,9.0,8.0,10.0,8.0,145.0,288.0,235.0,214.0,214.0,239.0,172.0,247.0
3029,117,2.0,7.0,1.0,2.0,3.0,3.0,4.0,3.0,142.0,130.0,173.0,164.0,183.0,256.0,101.0,171.0
2261,118,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,63.0,75.0,113.0,125.0,97.0,69.0,76.0,94.0
5411,119,3.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,93.0,176.0,143.0,119.0,177.0,113.0,117.0,42.0
160,120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.0,177.0,189.0,144.0,130.0,146.0,179.0,92.0
6721,121,4.0,7.0,10.0,5.0,3.0,8.0,5.0,3.0,92.0,69.0,76.0,144.0,125.0,111.0,155.0,134.0
6029,122,4.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,58.0,135.0,194.0,122.0,171.0,167.0,175.0,194.0
10970,123,6.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,272.0,158.0,203.0,196.0,215.0,231.0,195.0,216.0
2608,124,2.0,4.0,3.0,4.0,6.0,2.0,7.0,2.0,77.0,70.0,98.0,72.0,64.0,113.0,70.0,119.0
6016,125,4.0,6.0,6.0,8.0,7.0,4.0,10.0,5.0,112.0,150.0,103.0,95.0,119.0,90.0,41.0,140.0
4890,126,3.0,9.0,9.0,2.0,2.0,3.0,5.0,2.0,173.0,132.0,158.0,189.0,196.0,312.0,216.0,172.0
15956,127,9.0,9.0,8.0,10.0,8.0,10.0,10.0,8.0,57.0,79.0,83.0,48.0,120.0,81.0,105.0,89.0
13730,128,8.0,9.0,4.0,10.0,10.0,9.0,8.0,10.0,94.0,104.0,93.0,99.0,71.0,176.0,126.0,34.0
17615,129,10.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,97.0,122.0,107.0,128.0,115.0,115.0,179.0,143.0
1820,130,1.0,2.0,2.0,3.0,2.0,3.0,7.0,5.0,147.0,147.0,164.0,182.0,140.0,137.0,74.0,65.0
6347,131,4.0,2.0,2.0,5.0,4.0,3.0,3.0,4.0,322.0,293.0,408.0,150.0,235.0,246.0,333.0,233.0
11918,132,7.0,8.0,7.0,5.0,5.0,8.0,10.0,8.0,219.0,289.0,305.0,389.0,405.0,76.0,74.0,82.0
9021,133,5.0,5.0,4.0,6.0,4.0,4.0,4.0,3.0,162.0,177.0,168.0,118.0,140.0,159.0,183.0,115.0
761,134,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,63.0,53.0,66.0,144.0,135.0,117.0,112.0,95.0
17572,135,10.0,3.0,4.0,9.0,9.0,8.0,6.0,10.0,79.0,121.0,81.0,105.0,91.0,92.0,85.0,52.0
18622,136,10.0,4.0,3.0,3.0,10.0,4.0,8.0,1.0,16.0,125.0,73.0,91.0,36.0,59.0,40.0,99.0
1635,137,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,125.0,136.0,118.0,139.0,146.0,197.0,166.0,112.0
3604,138,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,114.0,70.0,63.0,94.0,147.0,188.0,157.0,152.0
4290,139,3.0,2.0,1.0,1.0,5.0,4.0,2.0,3.0,136.0,144.0,140.0,194.0,152.0,162.0,255.0,187.0
60,140,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,137.0,118.0,147.0,124.0,120.0,102.0,103.0,103.0
17385,141,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,154.0,159.0,129.0,133.0,157.0,217.0,207.0,195.0
16895,143,9.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,160.0,164.0,195.0,196.0,178.0,242.0,233.0,248.0
1814,144,1.0,1.0,1.0,2.0,2.0,6.0,2.0,8.0,1015.0,1050.0,1329.0,1046.0,974.0,183.0,225.0,133.0
3619,145,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,117.0,105.0,96.0,147.0,75.0,122.0,134.0,92.0
736,146,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,65.0,83.0,58.0,61.0,70.0,63.0,48.0,46.0
1006,147,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,184.0,235.0,233.0,206.0,194.0,244.0,276.0,229.0
17684,148,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,163.0,127.0,180.0,218.0,169.0,184.0,195.0,207.0
7514,149,4.0,5.0,2.0,3.0,6.0,3.0,7.0,3.0,73.0,75.0,117.0,96.0,102.0,154.0,67.0,152.0
6119,150,4.0,2.0,5.0,4.0,6.0,3.0,8.0,10.0,221.0,228.0,300.0,244.0,223.0,279.0,163.0,50.0
2585,151,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,187.0,223.0,175.0,141.0,159.0,165.0,164.0,176.0
4082,152,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,145.0,167.0,176.0,113.0,95.0,60.0,81.0,77.0
13758,153,8.0,10.0,9.0,4.0,9.0,8.0,10.0,9.0,166.0,122.0,130.0,113.0,136.0,152.0,156.0,101.0
265,154,1.0,2.0,6.0,7.0,9.0,6.0,1.0,2.0,78.0,120.0,86.0,64.0,44.0,97.0,126.0,162.0
4188,155,3.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,105.0,108.0,112.0,130.0,145.0,115.0,117.0,139.0
750,156,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,168.0,206.0,184.0,155.0,166.0,177.0,130.0,110.0
11473,157,7.0,8.0,6.0,7.0,8.0,8.0,5.0,4.0,115.0,149.0,114.0,118.0,108.0,143.0,130.0,109.0
16353,158,9.0,9.0,7.0,6.0,9.0,5.0,8.0,6.0,82.0,92.0,136.0,239.0,119.0,153.0,154.0,193.0
2227,159,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,56.0,80.0,59.0,91.0,92.0,88.0,63.0,111.0
6808,160,4.0,5.0,5.0,6.0,4.0,4.0,5.0,5.0,155.0,175.0,120.0,146.0,253.0,186.0,182.0,131.0
65,161,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,170.0,49.0,55.0,127.0,71.0,110.0,56.0,99.0
4959,162,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,126.0,123.0,152.0,164.0,130.0,133.0,111.0,106.0
13315,163,8.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0,156.0,215.0,235.0,215.0,156.0,187.0,176.0,203.0
159,164,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,41.0,69.0,86.0,85.0,115.0,117.0,264.0,174.0
12851,165,7.0,2.0,2.0,2.0,2.0,8.0,7.0,2.0,24.0,100.0,76.0,67.0,90.0,49.0,50.0,58.0
6773,166,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,21.0,181.0,125.0,194.0,166.0,112.0,110.0,117.0
4246,167,3.0,4.0,5.0,1.0,4.0,3.0,2.0,4.0,121.0,101.0,81.0,116.0,130.0,98.0,133.0,166.0
2533,168,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,90.0,202.0,135.0,178.0,110.0,154.0,125.0,158.0
9986,169,6.0,9.0,10.0,10.0,10.0,9.0,6.0,8.0,115.0,104.0,115.0,29.0,119.0,141.0,231.0,140.0
13948,170,8.0,6.0,5.0,8.0,7.0,6.0,5.0,5.0,153.0,261.0,258.0,199.0,193.0,268.0,283.0,306.0
9233,171,5.0,6.0,3.0,2.0,8.0,4.0,2.0,5.0,70.0,80.0,80.0,78.0,87.0,147.0,152.0,97.0
8568,172,5.0,3.0,5.0,5.0,5.0,4.0,3.0,5.0,133.0,216.0,189.0,176.0,198.0,161.0,212.0,158.0
14238,173,8.0,7.0,6.0,8.0,9.0,5.0,9.0,7.0,222.0,234.0,251.0,243.0,257.0,285.0,280.0,305.0
5387,175,3.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,531.0,557.0,568.0,594.0,669.0,694.0,655.0,551.0
15806,176,9.0,9.0,7.0,9.0,9.0,8.0,10.0,9.0,118.0,159.0,200.0,167.0,177.0,204.0,162.0,152.0
1448,177,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,95.0,116.0,75.0,69.0,88.0,85.0,67.0,61.0
6395,178,4.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,185.0,176.0,169.0,212.0,273.0,330.0,320.0,304.0
2847,179,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,144.0,206.0,158.0,179.0,206.0,231.0,154.0,175.0
4625,180,3.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,97.0,113.0,83.0,71.0,77.0,95.0,85.0,91.0
3335,181,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,80.0,100.0,81.0,122.0,112.0,144.0,161.0,123.0
3283,182,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,123.0,146.0,201.0,245.0,176.0,198.0,238.0,217.0
10070,183,6.0,7.0,6.0,6.0,5.0,7.0,9.0,7.0,246.0,270.0,278.0,320.0,401.0,310.0,254.0,244.0
3338,184,2.0,1.0,4.0,3.0,9.0,4.0,10.0,3.0,64.0,122.0,81.0,106.0,50.0,61.0,63.0,68.0
18824,185,10.0,9.0,6.0,6.0,6.0,6.0,7.0,10.0,4.0,135.0,254.0,283.0,247.0,261.0,183.0,52.0
378,186,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,160.0,223.0,141.0,135.0,169.0,272.0,231.0,108.0
2916,187,2.0,6.0,8.0,6.0,7.0,6.0,4.0,6.0,102.0,70.0,39.0,82.0,63.0,90.0,121.0,64.0
10017,188,6.0,7.0,5.0,7.0,6.0,7.0,5.0,5.0,351.0,282.0,392.0,317.0,542.0,361.0,523.0,420.0
3299,189,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,122.0,124.0,160.0,181.0,197.0,213.0,199.0,196.0
2668,190,2.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,106.0,107.0,139.0,151.0,191.0,207.0,108.0,202.0
1133,191,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,50.0,71.0,73.0,57.0,46.0,63.0,82.0,66.0
15975,192,9.0,3.0,3.0,2.0,6.0,3.0,2.0,2.0,29.0,130.0,161.0,189.0,129.0,170.0,191.0,172.0
14930,193,8.0,7.0,8.0,8.0,9.0,8.0,8.0,7.0,153.0,218.0,158.0,174.0,164.0,193.0,196.0,187.0
10296,194,6.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,207.0,230.0,315.0,255.0,250.0,310.0,325.0,174.0
16293,195,9.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,73.0,72.0,98.0,83.0,104.0,143.0,142.0,114.0
6403,196,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,161.0,170.0,187.0,172.0,182.0,166.0,235.0,210.0
5116,197,3.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,221.0,106.0,148.0,113.0,158.0,199.0,199.0,133.0
15782,198,9.0,4.0,7.0,7.0,9.0,5.0,5.0,6.0,137.0,199.0,190.0,140.0,165.0,193.0,195.0,153.0
15979,199,9.0,4.0,5.0,4.0,4.0,5.0,6.0,5.0,51.0,93.0,113.0,152.0,140.0,184.0,150.0,125.0
10771,200,6.0,6.0,6.0,6.0,8.0,6.0,10.0,8.0,215.0,191.0,185.0,156.0,119.0,122.0,87.0,35.0
815,201,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,138.0,128.0,136.0,157.0,90.0,113.0,91.0,86.0
2528,202,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,167.0,176.0,224.0,316.0,248.0,259.0,217.0,225.0
