고객번호,1_2기증감,2_3기증감,3_4기증감,4_5기증감,5_6기증감
485,0,0,0,0,0
486,0,0,0,0,0
487,0,0,1,-1,-1
488,0,0,0,0,0
489,0,2,-2,0,1
490,0,0,0,0,-1
491,-1,1,-1,3,-2
492,-1,0,0,0,1
493,1,0,-2,0,1
494,-1,1,1,-1,0
495,4,0,0,-1,0
496,2,-2,2,-2,-1
497,0,1,0,-1,0
498,0,-1,3,-2,2
499,1,2,0,-1,0
500,2,-3,3,-3,1
501,0,0,0,0,0
502,1,0,0,-1,0
503,-1,1,-1,-1,0
504,0,0,0,0,1
505,0,0,0,1,0
506,0,1,0,-2,3
507,-1,0,1,0,-1
508,0,0,0,0,1
509,-1,0,1,0,-1
510,-1,1,0,0,1
511,1,0,1,0,-2
512,1,-1,1,1,-2
513,-1,1,-1,1,0
514,2,-2,-1,1,0
515,-1,2,-1,0,-1
516,0,1,0,-2,2
517,0,1,-3,1,0
518,0,0,1,0,0
519,-3,4,-3,0,1
520,0,1,0,1,-1
521,0,1,1,-2,2
522,0,0,-1,-1,1
523,0,-1,0,1,0
524,-2,1,1,-2,1
525,2,-1,0,1,0
526,0,1,1,3,-3
527,0,7,-1,1,0
528,0,0,0,1,-1
529,0,0,1,-1,0
530,1,0,-1,2,-1
531,-1,0,-2,1,0
532,0,0,0,1,-1
533,0,0,0,1,0
534,0,0,0,0,1
535,0,0,0,1,-1
536,1,-1,3,1,-2
537,0,0,0,0,0
538,0,-2,0,1,1
539,0,1,0,1,0
540,-1,1,-1,2,0
541,0,-1,0,0,1
542,-2,-1,1,1,-1
543,0,0,0,0,1
544,0,1,-1,1,0
545,0,-2,1,1,-1
546,0,0,0,0,0
547,0,1,0,0,0
548,1,-1,1,-2,2
549,0,1,0,-1,1
550,0,-1,0,-2,1
551,0,0,-1,-1,3
552,0,0,0,0,0
553,-2,0,-1,1,1
554,0,0,0,0,0
555,0,2,-2,-1,0
556,-1,1,0,0,0
557,0,1,-2,3,-2
558,-2,4,-3,0,0
559,1,0,-1,1,0
560,0,0,0,0,0
561,0,0,0,-1,0
562,0,0,0,0,0
563,0,-1,2,-2,1
564,-1,1,-2,1,0
565,0,0,1,-1,0
566,0,2,0,-2,0
567,1,0,2,-2,2
568,-2,-1,1,0,0
569,-1,0,1,0,-1
570,0,0,-1,0,0
571,2,-2,1,-1,2
572,1,-1,-1,-1,0
573,0,2,2,-1,-1
574,-2,3,-1,-1,2
575,0,-1,-1,-1,1
576,0,-1,0,0,0
577,1,-2,3,-2,1
578,0,0,1,0,0
579,4,0,-1,1,0
580,0,0,-2,2,0
581,-1,1,0,1,-1
582,-2,1,1,-1,1
583,0,0,0,0,0
584,1,1,0,-1,1
585,0,0,0,0,0
586,0,0,0,1,0
587,-2,0,0,0,1
588,-1,1,0,-1,2
589,0,-1,2,-1,1
590,-3,2,-2,0,1
591,0,0,0,0,0
592,-2,0,1,0,0
593,-1,0,1,-1,0
594,0,0,0,0,0
595,0,0,1,0,0
596,1,0,0,-1,0
597,-1,0,1,0,0
598,-1,2,-1,3,-3
599,2,0,-1,1,0
600,0,-1,-1,1,1
601,0,0,0,0,0
602,0,0,0,1,0
603,-1,-1,0,0,2
604,-1,1,0,-1,0
605,-1,1,-1,1,-1
606,0,1,-1,1,1
607,0,-1,1,1,-1
608,0,1,1,2,-3
609,-1,1,-1,0,0
610,-3,0,0,2,-1
611,-1,1,0,0,0
612,0,0,0,1,0
613,1,0,-2,2,-2
614,-1,1,0,-1,0
615,0,2,-1,0,0
616,0,-2,1,0,-1
617,1,-1,0,0,1
618,-2,1,0,1,1
619,-1,0,0,-1,0
620,0,0,0,0,0
621,1,-1,0,1,0
622,0,2,0,0,0
623,0,1,-1,-1,0
624,0,1,0,0,0
625,1,0,-1,1,1
626,1,1,-1,0,0
627,0,-2,1,0,-1
628,4,-2,-1,0,0
629,0,-1,0,0,1
630,0,0,0,0,-1
631,0,-1,0,0,1
632,-1,0,0,0,1
633,1,-1,0,0,0
634,1,0,-1,0,2
635,0,0,0,1,0
636,3,0,-2,3,1
637,2,-1,0,-1,0
638,-1,0,-1,1,0
639,3,-3,1,-1,1
640,0,1,0,-1,0
641,-1,0,0,0,0
642,0,-1,1,-1,1
643,-1,1,1,-1,-1
644,-1,-1,0,0,0
645,0,0,0,0,0
646,1,0,-2,2,-3
647,0,0,0,-1,1
648,1,0,0,0,1
649,1,1,-1,1,1
650,1,-3,1,3,0
651,0,0,0,0,0
652,1,0,1,-1,-1
653,0,0,-3,1,0
654,0,-1,-1,0,0
655,1,0,1,0,0
656,0,0,0,0,0
657,1,-1,0,1,0
658,0,0,0,2,-2
659,0,0,-1,0,1
660,0,0,-1,0,0
661,-1,1,0,-1,1
662,0,1,0,2,-2
663,0,1,-1,0,0
664,0,0,0,0,0
665,0,0,0,0,-1
666,1,-1,1,-1,-3
667,3,-1,-1,2,-2
668,0,-1,2,-2,3
669,-1,0,2,1,-1
670,0,0,0,0,0
671,0,0,2,-1,0
672,2,-3,1,0,2
673,0,0,0,-1,0
674,0,1,-1,0,0
675,0,0,-2,1,0
676,0,0,0,0,0
677,0,1,0,-3,-2
678,1,0,0,-1,1
679,1,-1,0,1,0
680,0,-1,1,0,0
681,1,1,-2,1,0
682,0,-1,1,1,0
683,2,2,-2,2,-1
684,1,2,-3,1,1
685,0,-1,1,0,0
686,0,1,0,1,0
687,-1,0,-1,0,0
688,1,-1,-1,1,-1
689,1,-1,-1,0,1
690,0,-1,0,-1,1
691,-1,-1,2,0,-2
692,-2,-3,0,1,1
693,0,-1,1,0,-1
694,2,-1,0,1,0
695,0,0,1,-1,0
696,0,-1,1,3,-1
697,-1,2,-1,0,0
698,0,0,-1,0,0
699,1,1,-1,1,0
700,0,-3,2,0,1
701,2,-2,1,-2,2
702,-2,2,0,-2,0
703,0,0,0,0,0
704,1,-2,3,-1,0
705,-1,-1,3,-2,1
706,-1,-1,3,-2,1
707,-1,2,-2,0,1
708,1,0,1,-1,-1
709,2,1,-4,3,-2
710,1,-1,0,1,-2
711,1,0,0,0,-1
712,-1,1,0,0,0
713,1,0,-1,0,0
714,1,0,-2,0,2
715,0,0,0,0,0
716,1,0,-2,1,2
717,0,0,0,0,0
718,-1,1,0,-2,1
719,0,1,0,-1,0
720,0,0,0,0,-1
721,-1,0,1,-2,2
722,-1,-1,1,-2,2
723,0,0,0,1,-1
724,0,2,-2,1,0
725,0,0,0,0,-1
726,0,1,-2,2,-4
727,2,0,-2,2,0
728,1,-1,0,0,0
729,0,1,-1,0,0
730,1,1,-1,-1,0
731,1,0,-4,3,-2
732,-1,0,0,0,1
733,-2,0,0,0,1
734,0,-1,2,-1,1
735,-1,0,1,-1,1
736,-2,1,1,-1,0
737,-1,2,-1,-1,1
738,-1,0,0,1,-4
739,-1,0,1,-1,0
740,0,-1,1,0,0
741,-1,1,0,0,-1
742,1,2,1,-3,-1
743,0,1,-1,1,-2
744,0,-1,2,-2,1
745,1,-1,1,0,-1
746,0,0,0,0,0
747,-1,0,-1,0,0
748,-1,0,0,0,0
749,0,0,-2,-3,1
750,1,0,0,0,-1
751,0,1,-1,1,0
752,2,-1,1,-2,1
753,-1,0,1,0,0
754,0,0,-1,1,0
755,1,-2,2,0,0
756,-3,1,0,4,-6
757,0,-1,1,-1,0
758,-1,1,0,-1,0
759,-2,2,-1,0,-1
760,-4,4,-1,-1,0
761,-2,0,-5,5,-3
762,-1,0,-2,3,0
763,0,0,-1,1,0
764,-1,1,-1,1,-1
765,0,0,-1,1,-1
766,-1,1,-4,3,-1
767,3,1,-2,1,-1
768,-2,-1,0,0,-1
769,1,-1,1,0,-1
770,0,-1,0,1,-1
771,0,-1,-1,1,-1
772,1,-2,1,0,-1
773,0,-3,2,1,0
774,0,-1,2,-1,1
775,0,-1,1,0,0
776,0,0,0,1,-2
777,1,0,-1,0,2
778,-1,1,0,0,-1
779,0,-1,1,1,0
780,-1,-1,2,-1,0
781,1,0,-1,1,-1
782,3,-2,-1,2,1
783,0,0,0,0,1
784,0,1,-1,1,-1
785,0,0,0,-1,0
786,1,-1,0,0,1
787,1,-1,1,0,-1
788,-1,2,-1,-1,0
789,0,-1,1,-1,0
790,1,0,0,-1,1
791,1,3,-2,-1,1
792,1,-1,0,0,0
793,0,2,-1,0,1
794,0,1,0,-1,0
795,2,-1,2,-2,2
796,1,0,-2,0,0
797,1,0,0,-2,2
798,0,0,0,0,0
799,-1,0,0,0,1
800,-1,1,0,-1,1
801,0,0,0,1,-1
802,0,0,0,-2,1
803,0,-1,-1,2,-2
804,1,0,0,0,-1
805,-1,-2,3,0,0
806,0,0,0,1,-1
807,0,0,0,0,0
808,0,1,-1,1,-1
809,-2,1,1,-2,-1
810,0,0,0,0,0
811,2,0,-1,-1,0
812,0,0,0,0,0
813,0,0,0,-1,1
814,1,-2,0,0,0
815,0,0,0,0,1
816,0,0,1,-1,0
817,0,0,0,0,0
818,0,1,-2,1,0
819,0,-1,0,1,-1
820,0,-1,1,0,-1
821,1,0,0,0,0
822,0,-1,1,0,0
823,1,1,-2,0,1
824,0,1,-1,0,-1
825,-1,0,0,1,-1
826,0,-1,-1,1,-1
827,1,0,0,2,-1
828,1,0,0,0,0
829,1,0,-1,2,-1
830,0,1,-1,3,-2
831,-1,1,0,0,-1
832,-1,1,-1,0,0
833,1,1,-2,2,-2
834,0,0,1,-2,1
835,1,1,0,0,-2
836,1,0,-1,1,0
837,-3,2,2,0,-1
838,1,0,1,-1,1
839,1,-1,1,1,-1
840,0,0,0,0,0
841,0,0,0,0,0
842,0,0,0,0,1
843,-1,1,0,0,0
844,-1,0,1,0,-2
845,-1,0,0,0,0
846,0,0,1,-1,0
847,0,0,0,-2,1
848,0,0,0,0,0
849,0,1,2,-1,0
850,-1,0,1,-1,0
851,0,0,1,0,-1
852,0,1,-1,0,2
853,1,0,-1,0,0
854,2,-1,0,2,-2
855,1,-2,0,3,-1
856,0,-1,0,0,-1
857,-1,0,0,1,-1
858,-1,0,1,-1,1
859,0,-1,2,0,-1
860,1,1,-1,0,0
861,0,0,0,0,0
862,0,0,1,-1,0
863,0,-2,0,0,0
864,0,-1,1,-1,0
865,0,0,0,0,-1
866,0,0,-1,0,1
867,0,-1,1,-1,0
868,0,0,0,0,-1
869,0,2,0,2,-2
870,0,-1,1,0,0
871,2,-2,1,0,1
872,-1,3,-1,1,-1
873,0,0,1,-1,-1
874,-1,1,0,-1,1
875,0,1,-1,0,0
876,4,-1,1,-1,-1
877,-2,3,0,0,-3
878,-2,0,1,1,-1
879,0,1,-2,1,0
880,2,-2,1,1,0
881,3,-1,1,-3,1
882,-2,0,1,-1,0
883,1,0,1,-2,1
884,0,1,-1,1,0
885,0,-1,1,0,-1
886,-1,2,0,-1,-1
887,0,2,-2,1,-1
888,-1,1,-1,0,0
889,0,0,3,-1,-2
890,0,0,0,1,-1
891,0,-1,1,-1,0
892,0,0,0,0,0
893,-1,0,0,1,-1
894,0,1,-1,-1,0
895,3,-4,1,0,0
896,-1,1,-1,1,0
897,0,0,0,0,0
898,-2,-3,4,-1,0
899,0,1,-1,1,-1
900,-2,1,-1,1,-1
901,3,1,0,0,0
902,1,-2,2,-2,0
903,2,-2,0,1,0
904,1,-1,1,-2,1
905,0,0,0,1,0
906,0,1,-1,1,-1
907,0,-1,0,2,0
908,0,-1,2,-1,1
909,1,0,1,0,0
910,0,1,-1,0,-1
911,0,1,0,-1,1
912,0,-1,0,0,1
913,0,-1,0,0,1
914,0,-1,1,1,-1
915,2,0,-1,-1,0
916,-2,1,-1,0,0
917,2,2,0,0,-1
918,0,0,0,0,0
919,1,1,-2,1,-1
920,2,0,0,1,-1
921,2,-1,-1,1,2
922,-1,2,0,-1,0
923,0,1,-3,1,0
924,0,0,0,0,0
925,1,2,-2,3,-3
926,0,-1,1,-1,0
927,0,-1,0,0,0
928,-1,0,0,0,0
929,1,0,-1,1,0
930,0,0,0,1,1
931,0,0,-1,1,0
932,-1,0,2,-1,0
933,-1,-1,-1,3,-1
934,0,0,-1,1,1
935,1,-1,1,-2,1
936,0,0,0,0,0
937,0,-1,0,1,0
938,1,0,-2,0,0
939,-1,0,1,-1,0
940,2,3,0,-1,1
941,-1,0,0,0,0
942,0,0,0,0,-2
943,-1,0,0,1,0
944,2,0,-1,-1,2
945,1,0,-1,2,-1
946,0,1,-1,0,0
947,0,0,0,0,0
948,0,1,-1,1,-1
949,1,0,0,0,-1
950,1,-2,0,1,-2
951,2,0,0,1,-1
952,0,-1,0,0,-1
953,-2,0,1,0,-1
954,0,0,-1,1,0
955,0,-1,0,0,0
956,0,2,1,-1,-1
957,0,1,0,0,-1
958,0,-1,0,1,0
959,1,0,0,0,0
960,0,0,-1,0,-2
961,-1,0,1,0,0
962,0,0,0,0,0
963,-1,2,0,0,-1
964,0,0,0,0,0
965,0,-1,0,0,0
966,0,0,0,2,-2
967,0,0,-1,-4,5
968,1,-1,1,0,0
969,-1,2,-2,0,0
970,1,-1,1,1,0
971,0,0,0,0,0
972,1,1,-2,1,0
973,0,0,0,-1,0
974,0,1,0,-1,0
975,1,-2,-1,0,1
976,-1,1,0,1,0
977,0,0,1,-1,0
978,0,0,0,0,0
979,0,0,1,-1,1
980,0,0,-1,1,0
981,-1,1,1,-2,0
982,-1,1,-1,0,-1
983,0,2,-2,0,1
984,1,0,0,0,0
986,0,0,0,0,0
987,0,0,-1,1,0
988,-1,1,0,0,-1
989,0,0,0,0,1
990,0,-1,1,-1,0
991,0,-1,0,1,0
992,-1,2,-1,-1,0
993,0,0,0,0,0
994,0,-1,0,2,-3
995,0,0,0,-1,2
996,0,0,-1,0,-1
997,-1,0,0,-1,1
998,-1,-1,1,0,-1
999,0,-1,0,-1,1
1000,0,0,0,0,-1
1001,1,-2,2,-2,1
1002,-1,0,0,1,0
1003,-1,0,0,2,-3
1004,1,-1,2,-1,0
1005,0,-1,1,-1,1
1006,1,-1,-2,1,-1
1007,-4,2,1,0,3
1008,0,0,0,0,1
1009,-1,1,1,-3,1
1010,1,0,-2,2,-1
1011,0,0,0,0,0
1012,4,-1,-2,2,-1
1013,-1,1,-1,0,0
1014,1,-1,1,-1,1
1015,0,0,0,0,0
1016,0,1,-1,2,1
1017,2,1,-1,-2,2
1018,0,1,-1,1,0
1019,1,-1,0,0,0
1020,2,1,0,-2,1
1021,0,1,0,1,0
1022,-1,2,-2,2,-1
1023,6,-5,3,3,-2
1024,-2,1,1,-2,0
1025,-1,0,-1,1,-1
1026,-1,0,1,-1,1
1027,1,-1,1,0,0
1028,1,-1,1,0,0
1029,-2,1,1,-3,2
1030,0,0,-1,2,-1
1031,0,0,0,-1,1
1032,0,0,0,-2,1
1033,-1,1,-1,1,0
1034,1,-2,0,0,1
1035,-3,2,1,1,-2
1036,2,-1,0,-1,0
1037,0,0,1,-4,3
1038,1,-1,1,-1,0
1039,0,1,0,0,0
1040,-1,0,0,0,0
1041,1,-1,1,-1,0
1042,0,0,0,-1,2
