고객번호,구매금액14년_1,구매금액14년_2,구매금액14년_3,구매금액14년_4,구매금액15년_1,구매금액15년_2,구매금액15년_3,구매금액15년_4,구매횟수14년_1,구매횟수14년_2,구매횟수14년_3,구매횟수14년_4,구매횟수15년_1,구매횟수15년_2,구매횟수15년_3,구매횟수15년_4,평균합계14년_1,평균합계14년_2,평균합계14년_3,평균합계14년_4,평균합계15년_1,평균합계15년_2,평균합계15년_3,평균합계15년_4
20,3265440,3180535,2759613,1619752,3795571,3079762,2705990,2495138,86,74,92,80,92,87,71,88,37970.23256,42980.2027,29995.79348,20246.9,41256.20652,35399.56322,38112.53521,28353.84091
21,2302283,2298579,3429580,2109598,3198861,4314415,3227928,2215767,45,51,67,68,44,77,83,92,51161.84444,45070.17647,51187.76119,31023.5,72701.38636,56031.36364,38890.6988,24084.42391
22,11493431,32721607,12579591,25885956,30279719,8106358,2899757,18051384,48,51,22,60,73,67,25,67,239446.4792,641600.1373,571799.5909,431432.6,414790.6712,120990.4179,115990.28,269423.6418
23,6192221,8251784,8118407,22303952,8538956,7529418,9639415,6578388,70,66,78,122,86,57,50,36,88460.3,125027.0303,104082.141,182819.2787,99290.18605,132095.0526,192788.3,182733
24,1087019,1837429,2183343,1517240,1294111,1084064,1804027,1368482,44,47,44,51,38,35,51,39,24704.97727,39094.23404,49621.43182,29749.80392,34055.55263,30973.25714,35373.07843,35089.28205
25,1154584,3051146,3127930,1845975,11749489,8183921,2824593,13307094,34,51,61,41,104,68,38,120,33958.35294,59826.39216,51277.54098,45023.78049,112975.8558,120351.7794,74331.39474,110892.45
26,13740883,17737282,9301814,38043930,17322104,8233351,8618162,10294748,103,82,77,70,61,109,84,63,133406.6311,216308.3171,120802.7792,543484.7143,283968.918,75535.33028,102597.1667,163408.6984
27,13917287,6647276,5079177,3025131,7979089,6177636,16520088,2676563,67,86,61,50,51,71,112,57,207720.7015,77293.90698,83265.19672,60502.62,156452.7255,87008.95775,147500.7857,46957.24561
28,725865,1360299,727727,1045874,719371,1423747,2146028,703180,71,81,58,44,29,53,58,45,10223.4507,16793.81481,12547.01724,23769.86364,24805.89655,26863.15094,37000.48276,15626.22222
29,9903572,15992521,9838274,8447004,10089027,11125704,9700722,10886318,66,80,84,70,85,103,81,91,150054.1212,199906.5125,117122.3095,120671.4857,118694.4353,108016.5437,119762,119629.8681
30,8080945,12676092,13713205,15783714,10455332,18052445,13829884,13393765,80,95,106,112,77,108,98,99,101011.8125,133432.5474,129369.8585,140926.0179,135783.5325,167152.2685,141121.2653,135290.5556
31,1203755,1325308,2031519,2193651,1795593,1555355,1973153,1478320,58,74,70,84,66,77,103,83,20754.39655,17909.56757,29021.7,26114.89286,27205.95455,20199.41558,19156.82524,17811.08434
32,1298483,2541252,3355239,2114221,2234271,2491618,2912065,2714764,81,114,131,123,112,74,117,154,16030.65432,22291.68421,25612.51145,17188.78862,19948.84821,33670.51351,24889.44444,17628.33766
33,1424460,1510814,1314367,926044,1281494,1336142,1783258,1094593,44,50,45,51,62,69,69,62,32374.09091,30216.28,29208.15556,18157.72549,20669.25806,19364.37681,25844.31884,17654.72581
34,1620119,3418506,1675313,2370264,1573266,2208346,1583826,810836,81,100,70,87,80,51,36,19,20001.46914,34185.06,23933.04286,27244.41379,19665.825,43300.90196,43995.16667,42675.57895
35,3823627,5317630,8557961,2814801,5763032,7017700,6177544,5929630,42,71,53,38,50,104,86,72,91038.7381,74896.19718,161470.9623,74073.71053,115260.64,67477.88462,71831.90698,82355.97222
36,4485003,9249834,5630076,5492854,1797514,9003350,6265673,2526882,38,85,67,55,52,74,103,95,118026.3947,108821.5765,84030.98507,99870.07273,34567.57692,121666.8919,60831.7767,26598.75789
37,1908831,3399037,8876904,15414187,6855684,10699943,6741617,6244555,43,91,110,135,96,84,120,139,44391.4186,37352.05495,80699.12727,114179.163,71413.375,127380.2738,56180.14167,44924.85612
38,2363201,2390857,3535194,2550889,2904417,2812573,3923794,3246181,90,104,130,127,94,111,143,135,26257.78889,22989.00962,27193.8,20085.74016,30898.05319,25338.4955,27439.11888,24045.78519
39,69258985,45340256,7627234,15962642,5817840,32040280,16538907,15078154,41,79,51,80,77,90,58,58,1689243.537,573927.2911,149553.6078,199533.025,75556.36364,356003.1111,285153.569,259968.1724
40,2282387,4356749,2185676,1879479,4424999,2938988,6227772,2489906,63,74,52,65,73,71,77,64,36228.36508,58874.98649,42032.23077,28915.06154,60616.42466,41394.19718,80880.15584,38904.78125
41,1912324,3110149,1455532,2537717,3099859,2009030,2076101,2287678,58,74,59,67,81,63,98,51,32971.10345,42029.04054,24670.0339,37876.37313,38269.8642,31889.36508,21184.70408,44856.43137
42,1455196,2086233,1904569,1204724,2351538,2207965,2304851,2453521,44,74,70,36,58,73,65,66,33072.63636,28192.33784,27208.12857,33464.55556,40543.75862,30246.09589,35459.24615,37174.56061
43,1006289,789004,425624,2013031,570534,941753,1009738,627139,42,34,26,41,49,67,57,47,23959.2619,23206,16370.15385,49098.31707,11643.55102,14056.01493,17714.70175,13343.38298
44,4872707,2968039,4677323,44939852,6963333,3161017,9252623,24616181,50,86,171,104,91,93,86,100,97454.14,34512.0814,27352.76608,432113.9615,76520.14286,33989.43011,107588.6395,246161.81
45,25746410,1731310,16369782,41659858,28131367,53110950,21246690,36783604,60,31,64,105,88,105,68,91,429106.8333,55848.70968,255777.8438,396760.5524,319674.625,505818.5714,312451.3235,404215.4286
46,22389374,14758344,3177506,7586652,40297643,9489431,11353355,22274607,63,59,54,71,64,88,87,102,355386.8889,250141.4237,58842.7037,106854.2535,629650.6719,107834.4432,130498.3333,218378.5
47,3326025,3833495,5885031,1674034,2180173,1792592,1278445,1344152,64,103,81,46,53,41,31,71,51969.14063,37218.39806,72654.7037,36392.04348,41135.33962,43721.7561,41240.16129,18931.71831
48,6550728,9332694,17674959,6728159,14255064,11881737,9403335,8841709,78,65,77,67,68,71,91,50,83983.69231,143579.9077,229544.9221,100420.2836,209633.2941,167348.4085,103333.3516,176834.18
49,8760379,12069963,11290016,4285679,13810360,9154700,26201658,8702215,67,64,51,58,72,70,72,54,130751.9254,188593.1719,221372.8627,73891.01724,191810.5556,130781.4286,363911.9167,161152.1296
50,3203966,4309242,3644637,2988744,2791365,2847000,3033435,2533117,90,111,92,112,87,84,116,102,35599.62222,38822,39615.61957,26685.21429,32084.65517,33892.85714,26150.30172,24834.48039
51,4203916,3091764,2504978,4222357,2298255,1917653,1560204,2067406,104,92,84,70,86,90,74,68,40422.26923,33606.13043,29821.16667,60319.38571,26723.89535,21307.25556,21083.83784,30403.02941
52,6913549,4911379,3795410,4149603,4588020,6676660,4045233,2306136,68,92,86,100,101,106,107,85,101669.8382,53384.55435,44132.67442,41496.03,45425.94059,62987.35849,37805.91589,27131.01176
53,3130399,15479528,2703208,15276009,4299722,5244174,2462448,2804167,65,83,117,93,91,80,72,74,48159.98462,186500.3373,23104.34188,164258.1613,47249.69231,65552.175,34200.66667,37894.14865
54,1372530,1802547,1446730,1354145,1054379,1232237,1063193,1295895,70,82,81,81,61,88,101,114,19607.57143,21982.28049,17860.8642,16717.83951,17284.90164,14002.69318,10526.66337,11367.5
55,943038,728289,1487123,1035731,1049721,826609,1225801,459754,70,49,61,67,65,59,65,37,13471.97143,14863.04082,24379.06557,15458.67164,16149.55385,14010.32203,18858.47692,12425.78378
56,14993854,13467389,3029784,8353357,22568012,14873120,4443468,9948240,91,63,49,89,81,93,56,84,164767.6264,213768.0794,61832.32653,93857.94382,278617.4321,159926.0215,79347.64286,118431.4286
57,1202699,1434045,1135924,1065294,2298226,761587,1373537,1079710,58,64,61,61,43,53,72,59,20736.18966,22406.95313,18621.70492,17463.83607,53447.11628,14369.56604,19076.90278,18300.16949
58,3187217,2960241,2890953,4346357,2941763,2755733,2640725,4237723,45,49,54,44,51,64,48,58,70827.04444,60413.08163,53536.16667,98780.84091,57681.62745,43058.32813,55015.10417,73064.18966
59,3476844,5043827,3316924,2823268,2308310,3886816,3508912,3053009,62,61,76,78,74,65,58,59,56078.12903,82685.68852,43643.73684,36195.74359,31193.37838,59797.16923,60498.48276,51745.91525
60,2186341,3989606,2859347,3772967,2587699,4391606,5177225,5259281,67,99,95,107,68,98,101,85,32631.95522,40299.05051,30098.38947,35261.37383,38054.39706,44812.30612,51259.65347,61873.89412
61,5924555,4557443,2860204,2455590,2177236,2485370,3779993,2714917,148,113,52,71,69,51,82,73,40030.77703,40331.35398,55003.92308,34585.77465,31554.14493,48732.7451,46097.47561,37190.64384
62,1457858,4369990,3739418,2576621,2347174,2368964,2570545,2010973,39,71,70,57,81,87,76,81,37380.97436,61549.15493,53420.25714,45203.87719,28977.45679,27229.47126,33822.96053,24826.82716
63,439518,891858,736409,721999,887930,934834,1170264,499188,48,70,48,51,49,81,68,73,9156.625,12740.82857,15341.85417,14156.84314,18121.02041,11541.16049,17209.76471,6838.191781
64,645988,673781,725141,655120,477380,319798,65168,275062,81,78,54,68,51,30,8,29,7975.160494,8638.217949,13428.53704,9634.117647,9360.392157,10659.93333,8146,9484.896552
65,1852367,1980248,4498621,928614,4246875,2893994,1476483,1909410,54,79,84,50,115,107,47,93,34303.09259,25066.43038,53555.0119,18572.28,36929.34783,27046.6729,31414.53191,20531.29032
66,2934620,2078344,2076375,2170847,2269397,2555246,2451023,1860650,80,74,96,120,118,131,115,110,36682.75,28085.72973,21628.90625,18090.39167,19232.17797,19505.69466,21313.24348,16915
67,905425,1047489,1433792,1360715,1475151,1521721,1787111,1266860,37,42,49,50,57,59,61,56,24470.94595,24940.21429,29261.06122,27214.3,25879.84211,25791.88136,29296.90164,22622.5
68,77350286,57531738,35066332,27947708,42967698,16505030,22069669,23805255,146,165,183,76,80,73,89,78,529796.4795,348677.2,191619.3005,367733,537096.225,226096.3014,247973.809,305195.5769
69,1511295,1890224,2505748,1732418,1773753,2110862,2614486,1773719,60,68,83,76,68,79,89,78,25188.25,27797.41176,30189.73494,22794.97368,26084.60294,26719.77215,29376.24719,22739.98718
70,4620011,2048398,9633898,3958783,2809084,2449225,2550649,4358899,76,90,86,82,55,11,17,13,60789.61842,22759.97778,112022.0698,48277.84146,51074.25455,222656.8182,150038.1765,335299.9231
71,552561,616059,694575,498226,806892,548522,813102,334756,42,46,59,44,50,38,50,26,13156.21429,13392.58696,11772.45763,11323.31818,16137.84,14434.78947,16262.04,12875.23077
72,1004512,702087,1926997,1071661,1259885,1223251,1398609,1297621,29,34,68,53,63,58,52,71,34638.34483,20649.61765,28338.19118,20220.01887,19998.1746,21090.53448,26896.32692,18276.35211
73,28031750,31558619,42954885,22962936,39631038,21762595,29084432,19720194,70,91,87,60,78,48,72,65,400453.5714,346798.011,493734.3103,382715.6,508090.2308,453387.3958,403950.4444,303387.6
74,4360723,9524507,7313012,2951576,3296729,2041093,1064004,1984077,81,109,104,46,74,51,45,65,53836.08642,87380.79817,70317.42308,64164.69565,44550.39189,40021.43137,23644.53333,30524.26154
75,536035,751551,827076,686831,591063,561670,678890,554000,52,79,95,106,77,66,94,113,10308.36538,9513.303797,8706.063158,6479.537736,7676.142857,8510.151515,7222.234043,4902.654867
76,1308158,1600250,1238279,1876598,980741,2196777,1469402,1527457,71,98,64,99,60,105,113,93,18424.76056,16329.08163,19348.10938,18955.53535,16345.68333,20921.68571,13003.55752,16424.26882
77,4094319,5364226,4535525,3811093,3877521,4353421,3815327,6102740,53,54,75,55,57,65,53,73,77251.30189,99337.51852,60473.66667,69292.6,68026.68421,66975.70769,71987.30189,83599.17808
78,9507003,6671607,10668712,8936931,11968720,23441935,13015692,9465477,73,48,109,96,110,119,109,98,130232.9178,138991.8125,97878.09174,93093.03125,108806.5455,196991.0504,119410.0183,96586.5
79,1898412,1984914,2543266,2038630,1399527,2384691,2650248,1290235,46,43,53,57,31,46,60,42,41269.82609,46160.7907,47986.15094,35765.4386,45146.03226,51841.1087,44170.8,30719.88095
80,1002132,827714,1338683,1329780,1288691,1828682,1277429,1869928,105,66,104,107,93,103,97,92,9544.114286,12541.12121,12871.95192,12427.85047,13856.89247,17754.19417,13169.37113,20325.30435
81,9494441,5506470,9682310,4899679,7318299,13200480,18725807,7488274,79,88,61,64,114,96,101,82,120182.7975,62573.52273,158726.3934,76557.48438,64195.60526,137505,185404.0297,91320.41463
82,14450852,9625867,39012012,8574158,13580240,18062700,33235913,21738833,58,79,124,85,99,108,88,84,249152.6207,121846.4177,314613,100872.4471,137174.1414,167247.2222,377680.8295,258795.631
83,5363386,11023437,30113515,8448515,14759205,16122190,31887830,10016561,44,92,140,104,102,101,129,74,121895.1364,119819.9674,215096.5357,81235.72115,144698.0882,159625.6436,247192.4806,135358.9324
84,8526121,2915092,4069366,1743040,27924391,11561494,1918508,5029763,83,35,52,26,70,76,38,53,102724.3494,83288.34286,78257.03846,67040,398919.8714,152124.9211,50487.05263,94901.18868
85,857771,851685,883261,1845168,1908248,2775185,2870937,2161602,39,33,45,77,59,96,87,78,21994.12821,25808.63636,19628.02222,23963.22078,32343.18644,28908.17708,32999.27586,27712.84615
86,2305485,5391585,4499682,5362006,5325529,4589328,5895151,6987305,63,76,82,75,91,82,90,76,36595,70941.90789,54874.17073,71493.41333,58522.2967,55967.41463,65501.67778,91938.22368
87,18101392,10431807,696334,4838311,6075048,1871472,6142046,3144338,51,87,37,61,55,61,53,47,354929.2549,119905.8276,18819.83784,79316.57377,110455.4182,30679.86885,115887.6604,66900.80851
88,4407580,8834761,6533685,7277075,7983318,4746657,5136546,16329064,50,89,112,72,84,85,90,91,88151.6,99266.97753,58336.47321,101070.4861,95039.5,55843.02353,57072.73333,179440.2637
89,1074624,3312088,2278207,1561544,2480444,2076484,1670368,1686526,58,90,93,81,96,95,85,92,18528,36800.97778,24496.84946,19278.32099,25837.95833,21857.72632,19651.38824,18331.80435
90,2770184,3445556,3920301,22669242,3433354,4720582,8818777,5802658,34,56,63,77,42,62,64,53,81476,61527.78571,62227,294405.7403,81746.52381,76138.41935,137793.3906,109484.1132
91,2231404,2513738,2804263,2001110,2840688,2335514,2933941,1673360,57,52,81,68,69,70,75,77,39147.4386,48341.11538,34620.53086,29428.08824,41169.3913,33364.48571,39119.21333,21731.94805
92,5625813,5344611,6639927,8355850,5158924,7725391,9652773,7657628,89,89,113,115,92,99,132,120,63211.38202,60051.80899,58760.41593,72659.56522,56075.26087,78034.25253,73127.06818,63813.56667
93,11258439,9821522,20001709,9398423,16853563,22852629,15242663,12699146,75,71,76,16,81,68,105,70,150112.52,138331.2958,263180.3816,587401.4375,208068.679,336068.0735,145168.219,181416.3714
94,103060,376930,7216956,9781358,4738904,4374555,15090194,26877279,5,20,121,140,111,106,129,123,20612,18846.5,59644.26446,69866.84286,42692.82883,41269.38679,116978.2481,218514.4634
95,931128,1056143,706101,1245534,1033133,848362,1298797,823670,94,96,64,78,84,80,85,66,9905.617021,11001.48958,11032.82813,15968.38462,12299.20238,10604.525,15279.96471,12479.84848
96,3962200,10010584,6060077,2521337,3120814,1715723,3497053,1904973,54,84,71,55,47,37,48,43,73374.07407,119173.619,85353.19718,45842.49091,66400.29787,46370.89189,72855.27083,44301.69767
97,147581401,110687005,172115498,85171669,159316166,160684990,110189778,56626128,95,77,90,105,103,94,88,71,1553488.432,1437493.571,1912394.422,811158.7524,1546758.893,1709414.787,1252156.568,797551.0986
98,2196334,2213809,3626280,3206291,3838402,2523474,2643297,2055986,57,86,88,79,47,69,60,69,38532.17544,25741.96512,41207.72727,40585.96203,81668.12766,36572.08696,44054.95,29796.89855
99,19194730,20350775,51475316,33901566,22559973,47559862,28160937,35764748,84,137,154,117,114,174,112,91,228508.6905,148545.8029,334255.2987,289756.9744,197894.5,273332.5402,251436.9375,393019.2088
100,1070410,6215664,5905829,9158959,1727589,1081707,2403264,88936,52,72,114,137,54,48,88,4,20584.80769,86328.66667,51805.51754,66853.71533,31992.38889,22535.5625,27309.81818,22234
101,1470458,469537,615742,726495,1042259,716860,1123067,850775,91,55,62,83,82,76,85,110,16158.87912,8537.036364,9931.322581,8752.951807,12710.47561,9432.368421,13212.55294,7734.318182
102,36451982,13636944,10191183,16845797,6203382,12053820,7578123,9244412,143,139,128,142,158,125,114,127,254908.965,98107.51079,79618.61719,118632.3732,39261.91139,96430.56,66474.76316,72790.64567
103,690280,471993,984056,320820,639578,543904,836918,384753,60,47,60,41,44,48,63,49,11504.66667,10042.40426,16400.93333,7824.878049,14535.86364,11331.33333,13284.4127,7852.102041
104,1762260,2023025,2486250,2354029,1566612,1982164,2495149,1268531,71,83,78,63,70,81,91,57,24820.56338,24373.79518,31875,37365.53968,22380.17143,24471.16049,27419.21978,22254.92982
105,2228787,3156928,4306934,2534648,2736956,1976700,3883498,2165939,58,74,61,55,51,41,54,42,38427.36207,42661.18919,70605.47541,46084.50909,53665.80392,48212.19512,71916.62963,51569.97619
106,9505679,10624247,3992347,8970835,3294171,10672759,9393614,12152353,45,95,48,73,39,63,62,85,211237.3111,111834.1789,83173.89583,122888.1507,84465.92308,169408.873,151509.9032,142968.8588
107,8001988,12281549,15373460,20324572,19819266,19314288,9392272,26896142,71,64,75,93,63,105,62,77,112704.0563,191899.2031,204979.4667,218543.7849,314591.5238,183945.6,151488.2581,349300.5455
108,2037073,1303512,1695548,1602743,1208399,2596265,2355980,2082457,70,47,72,77,56,99,92,97,29101.04286,27734.29787,23549.27778,20814.84416,21578.55357,26224.89899,25608.47826,21468.62887
109,1897463,1271853,1540738,1061831,699039,813367,975447,661327,97,82,80,87,74,87,82,85,19561.47423,15510.40244,19259.225,12204.95402,9446.472973,9349.045977,11895.69512,7780.317647
110,2217086,3379327,6313017,3917508,3472768,3172432,3525544,1600077,101,94,116,93,81,75,76,34,21951.34653,35950.28723,54422.56034,42123.74194,42873.67901,42299.09333,46388.73684,47061.08824
111,611763,453736,1031757,452266,677031,824794,667923,566000,81,76,74,82,77,96,88,123,7552.62963,5970.210526,13942.66216,5515.439024,8792.61039,8591.604167,7590.034091,4601.626016
112,12928361,5514165,8141139,6749606,9269702,10022328,19251630,26413113,36,47,100,82,68,99,129,75,359121.1389,117322.6596,81411.39,82312.26829,136319.1471,101235.6364,149237.4419,352174.84
113,11117596,12312752,9879594,19284403,11472640,14589752,7569740,8189506,76,100,105,124,107,113,109,86,146284.1579,123127.52,94091.37143,155519.379,107220.9346,129112.8496,69447.15596,95226.81395
114,1694869,4625575,5105432,2810549,2793756,4439423,1442419,1532779,77,85,55,63,82,93,65,68,22011.28571,54418.52941,92826.03636,44611.88889,34070.19512,47735.73118,22191.06154,22540.86765
115,2136177,9104345,9481088,8788350,14932208,10865663,3421539,9526809,46,75,50,50,59,84,37,35,46438.63043,121391.2667,189621.76,175767,253088.2712,129353.131,92474.02703,272194.5429
116,960042,1288555,1161145,752310,943046,1356393,805806,951160,53,106,97,93,91,88,71,106,18114,12156.17925,11970.56701,8089.354839,10363.14286,15413.55682,11349.38028,8973.207547
117,6275993,1517935,14125110,6128809,3693701,5136614,3825695,4720762,83,73,93,72,91,135,57,93,75614.37349,20793.63014,151882.9032,85122.34722,40590.12088,38048.99259,67117.45614,50760.88172
118,7929025,9103614,11171375,24174141,13010326,12766140,13411313,12033044,61,69,110,117,85,68,73,92,129984.0164,131936.4348,101557.9545,206616.5897,153062.6588,187737.3529,183716.6164,130793.9565
119,3554981,15249952,6080820,9775310,12801906,9273940,9270431,2168361,51,121,94,100,125,54,66,40,69705.5098,126032.6612,64689.57447,97753.1,102415.248,171739.6296,140461.0758,54209.025
120,32511584,44810060,27713182,26842108,27584955,26840010,32467232,26698688,99,160,167,132,110,120,153,85,328399.8384,280062.875,165947.1976,203349.303,250772.3182,223666.75,212204.1307,314102.2118
121,2755886,1669841,885960,2238869,4627117,1468049,2592552,3420813,77,51,49,111,87,70,113,104,35790.72727,32741.98039,18080.81633,20169.99099,53185.25287,20972.12857,22942.93805,32892.43269
122,3133419,4018929,3989887,3052826,6870682,8658826,6968451,4487000,39,48,65,63,77,94,83,56,80344.07692,83727.6875,61382.87692,48457.55556,89229.63636,92115.17021,83957.24096,80125
123,1607106,936620,1610037,1186678,1569524,1478046,1383018,1007369,60,54,60,65,57,65,67,61,26785.1,17344.81481,26833.95,18256.58462,27535.50877,22739.16923,20642.0597,16514.2459
124,7115172,3455774,4095623,3654350,1883338,9521483,1884147,7185590,60,60,65,58,35,91,53,76,118586.2,57596.23333,63009.58462,63006.03448,53809.65714,104631.6813,35549.9434,94547.23684
125,3143430,1948620,1977695,1252008,1705410,2980913,661760,1948227,57,67,53,47,65,52,24,85,55147.89474,29083.8806,37315,26638.46809,26237.07692,57325.25,27573.33333,22920.31765
126,3979751,941702,1235292,9807785,9622521,5316320,2836651,5449407,82,66,72,86,94,140,82,78,48533.54878,14268.21212,17156.83333,114044.0116,102367.2447,37973.71429,34593.30488,69864.19231
127,878052,929333,1499565,389870,1239266,495743,730280,1005225,56,77,72,47,104,68,100,83,15679.5,12069.25974,20827.29167,8295.106383,11916.01923,7290.338235,7302.8,12111.14458
128,1196952,1037155,2961614,784205,470044,1176371,1460507,171042,56,70,64,48,41,89,77,22,21374.14286,14816.5,46275.21875,16337.60417,11464.4878,13217.65169,18967.62338,7774.636364
129,560279,1091970,859944,847074,775632,986257,1368764,803489,63,73,64,63,54,54,88,69,8893.31746,14958.49315,13436.625,13445.61905,14363.55556,18264.01852,15554.13636,11644.76812
130,9145865,8811615,6706086,5703051,6674649,4975588,1902599,2267674,89,104,116,106,85,69,38,49,102762.5281,84727.06731,57811.08621,53802.36792,78525.28235,72109.97101,50068.39474,46279.06122
131,2955880,6388095,5895933,2042043,3445571,5136168,5217167,2701980,85,145,134,66,90,139,139,122,34775.05882,44055.82759,43999.5,30940.04545,38284.12222,36950.84892,37533.57554,22147.37705
132,1460947,1323150,1688303,2018791,2548545,1538389,469844,1015892,59,83,85,100,102,27,24,26,24761.81356,15941.56627,19862.38824,20187.91,24985.73529,56977.37037,19576.83333,39072.76923
133,2010019,2256331,3657684,1832549,3593815,3268247,3776843,4258792,78,82,89,59,72,87,103,76,25769.47436,27516.23171,41097.57303,31060.15254,49914.09722,37566.05747,36668.37864,56036.73684
134,15194907,9310609,8401537,7314606,14713421,20857529,16314630,13688042,54,48,62,91,86,107,102,89,281387.1667,193971.0208,135508.6613,80380.28571,171086.2907,194930.1776,159947.3529,153798.2247
135,570112,4404751,2918249,914264,899571,1379437,2079784,426462,45,83,55,61,57,57,62,33,12669.15556,53069.28916,53059.07273,14987.93443,15781.94737,24200.64912,33544.90323,12923.09091
136,147716,3273655,5465335,3779101,704480,3612265,1391579,10902652,11,103,66,80,24,59,35,94,13428.72727,31783.05825,82808.10606,47238.7625,29353.33333,61224.83051,39759.4,115985.6596
137,9884257,11073617,8488074,8573727,13503693,10438325,19320508,29012743,62,67,82,79,80,96,82,63,159423.5,165277.8657,103513.0976,108528.1899,168796.1625,108732.5521,235615.9512,460519.7302
138,5367165,4954035,5626151,8656167,6162055,7613543,3386865,6071946,45,56,50,69,58,78,50,83,119270.3333,88464.91071,112523.02,125451.6957,106242.3276,97609.52564,67737.3,73155.9759
139,4541017,7208898,10017344,10307527,2583076,3946228,6161901,4245001,90,95,103,93,69,70,109,70,50455.74444,75883.13684,97255.76699,110833.6237,37435.88406,56374.68571,56531.20183,60642.87143
140,47588797,20320975,41725721,31012770,21196845,25838476,55703618,12027128,79,79,101,86,85,62,74,71,602389.8354,257227.5316,413125.9505,360613.6047,249374.6471,416749.6129,752751.5946,169396.169
141,616427,693789,622562,513814,622895,863352,1254200,660684,58,68,60,65,67,83,90,93,10628.05172,10202.77941,10376.03333,7904.830769,9296.940299,10401.83133,13935.55556,7104.129032
