고객번호,편의품구매횟수,선매품구매횟수,전문품구매횟수,기타구매횟수,편의품구매등급,선매품구매등급,전문품구매등급,기타구매등급
83,749,185,2,120,4,1,3,1
84,304,168,5,25,9,2,2,4
85,805,65,0,7,5,6,7,6
86,2046,174,1,51,1,3,5,6
87,384,69,3,105,8,2,2,3
88,1272,147,2,83,2,2,3,1
89,1883,101,1,57,5,5,5,5
90,339,143,1,59,5,2,3,2
91,863,33,0,28,2,6,7,7
92,1350,385,4,55,1,2,3,2
93,399,288,39,57,4,1,1,2
94,945,161,17,43,1,3,1,2
95,1152,112,1,29,9,7,5,8
96,643,91,1,18,2,4,3,5
97,1041,544,10,38,1,1,1,1
98,681,57,4,50,3,5,3,5
99,630,451,116,121,3,1,1,1
100,505,154,4,28,9,3,4,5
101,806,11,0,39,9,9,7,6
102,2519,151,32,12,1,2,1,7
103,887,11,0,5,9,10,7,9
104,2456,28,0,14,2,8,7,9
105,2293,59,1,22,1,6,6,4
106,502,254,2,29,9,1,3,3
107,570,244,0,27,6,1,7,4
108,806,151,2,46,7,5,5,5
109,1445,14,0,2,6,10,7,8
110,1225,137,0,60,4,4,7,3
111,1558,9,0,2,9,10,7,10
112,625,255,0,43,3,1,7,4
113,1187,332,28,119,1,1,1,2
114,686,105,2,20,7,4,3,7
115,464,88,23,19,4,3,1,6
116,1722,32,0,0,8,8,7,10
117,1171,52,5,92,1,3,2,2
118,310,330,47,25,8,1,2,5
119,657,248,18,57,6,2,1,3
120,449,660,9,51,10,1,2,4
121,629,76,2,199,5,5,3,1
122,949,202,2,63,3,3,4,1
123,1642,34,0,10,5,9,7,8
124,435,200,6,42,10,3,2,5
125,690,58,4,98,7,6,3,2
126,1423,106,6,13,5,3,3,7
127,402,57,1,202,10,7,5,2
128,742,44,0,11,7,8,7,8
129,973,30,0,3,7,10,7,10
130,772,271,5,8,3,3,2,6
131,1979,194,13,34,1,4,3,4
132,1758,53,0,28,6,6,7,9
133,1050,64,2,106,2,5,4,2
134,410,270,92,13,4,1,1,7
135,642,58,0,6,9,5,7,7
136,330,159,0,50,10,3,7,3
137,859,199,54,27,5,3,1,4
138,664,241,7,73,6,3,2,2
139,1033,197,15,125,4,3,2,1
140,703,151,65,35,1,2,1,1
141,1335,15,0,1,8,10,7,10
143,1567,37,0,12,7,10,7,8
144,5898,50,2,5,1,4,3,6
145,639,174,43,32,1,1,1,2
146,102,211,105,76,10,3,1,1
147,1478,201,30,92,1,2,1,1
148,1441,2,0,0,9,10,7,10
149,704,88,4,40,4,4,3,5
150,1547,97,3,61,6,4,4,5
151,1103,235,1,51,2,2,1,1
152,625,227,5,57,7,3,3,4
153,1017,45,0,14,8,6,7,8
154,454,41,23,259,9,4,1,1
155,671,268,3,29,2,2,3,5
156,904,375,10,7,1,1,2,8
157,857,96,1,32,8,5,4,5
158,1129,29,0,10,4,9,7,9
159,169,422,5,44,10,1,1,3
160,1215,91,2,40,2,5,4,5
161,234,391,46,66,9,1,1,1
162,726,309,4,6,6,1,2,9
163,1509,24,0,10,5,7,7,8
164,613,96,32,210,7,3,1,1
165,236,258,3,17,10,2,3,5
166,775,210,1,40,4,3,5,6
167,814,122,4,6,4,3,2,9
168,876,245,5,26,2,1,2,3
169,917,46,2,29,9,7,4,7
170,1793,51,0,77,3,8,7,7
171,571,106,3,111,5,4,4,3
172,1308,51,0,84,2,6,7,1
173,2024,35,1,17,5,7,5,7
175,4330,359,0,130,1,5,7,5
176,1323,14,0,2,7,9,7,9
177,254,369,2,31,9,1,4,2
178,1887,57,0,25,2,5,7,7
179,1140,263,6,44,1,3,4,4
180,504,115,23,70,2,3,1,2
181,561,254,3,105,7,2,2,1
182,1339,140,3,62,1,1,2,1
183,2236,56,0,31,3,8,7,8
184,362,190,4,59,8,3,2,4
185,1349,56,1,13,5,8,5,8
186,1218,184,3,34,1,2,2,4
187,490,128,2,11,8,4,3,8
188,3166,20,0,2,2,9,7,9
189,1083,211,30,68,1,1,2,4
190,1005,168,4,34,2,3,2,4
191,117,358,24,9,8,1,1,4
192,952,114,18,87,2,5,1,3
193,1316,60,0,67,6,8,7,6
194,1858,178,2,28,4,6,5,8
195,669,119,0,41,9,7,7,8
196,1195,245,1,42,4,3,5,5
197,882,386,2,7,7,1,4,7
198,1152,161,7,52,8,5,4,5
199,926,69,1,12,4,5,4,4
200,1068,42,0,0,8,5,7,10
201,607,300,5,27,1,1,2,3
202,1402,392,16,22,4,1,1,4
203,971,99,0,49,9,8,7,7
204,1457,293,1,47,6,4,5,5
205,1442,73,0,64,3,4,7,6
206,1947,102,4,15,3,6,4,6
207,1201,29,0,8,7,10,7,8
208,149,267,14,14,10,2,1,2
209,413,155,3,102,10,4,3,3
210,1068,45,0,7,9,9,7,9
211,498,56,13,79,8,5,2,4
212,1793,27,4,1,2,7,3,10
213,4134,148,0,44,1,3,7,5
214,1079,107,1,22,4,4,4,8
215,1630,197,3,62,5,6,5,6
216,1246,58,0,102,6,7,7,4
217,540,76,0,16,4,6,7,7
218,372,410,77,47,4,1,1,3
219,912,202,2,158,5,2,3,1
220,2256,97,0,10,1,7,7,8
221,1176,95,2,33,7,7,6,6
222,828,304,11,45,4,1,2,4
223,437,167,1,46,1,1,3,4
224,148,302,11,82,10,1,1,1
225,308,514,4,23,3,1,3,5
226,852,30,0,55,6,7,7,3
227,1600,5,0,2,8,10,7,9
228,1671,62,0,8,3,8,7,8
229,841,154,14,10,2,1,2,5
230,738,79,1,50,7,5,4,4
231,1713,26,0,5,6,7,7,10
232,2153,46,0,2,5,9,7,9
233,1408,28,2,21,4,5,2,4
234,857,97,0,98,5,3,7,2
235,1013,122,4,17,1,3,3,6
236,1732,10,0,1,6,9,7,10
237,1045,198,15,107,1,2,2,1
238,772,44,1,2,5,5,4,10
239,479,295,27,41,3,1,2,6
240,485,199,6,53,10,4,2,5
241,551,317,1,18,8,1,3,5
242,1056,194,2,19,8,6,5,7
243,985,57,0,21,8,8,7,8
245,2562,73,0,6,1,5,7,9
246,408,221,4,92,4,2,1,1
247,1936,71,0,219,2,5,7,1
248,1589,182,0,43,3,3,7,4
249,433,218,18,45,6,1,1,4
250,548,359,12,39,2,1,1,4
251,518,277,8,18,2,2,3,7
252,558,80,0,33,10,5,7,6
253,247,269,5,48,7,1,3,1
254,654,193,63,11,6,2,1,7
255,573,250,68,102,1,1,1,1
256,968,305,47,22,1,1,1,3
257,2646,99,1,91,4,7,4,2
258,457,291,59,56,9,1,1,5
259,3106,91,1,26,1,3,5,8
260,1394,32,0,15,3,8,7,7
261,446,156,5,45,6,3,2,4
262,1508,168,0,4,1,4,7,8
263,1156,36,0,11,8,9,7,9
264,2208,22,0,8,5,7,7,9
265,84,526,18,47,10,1,1,2
266,567,166,3,13,4,3,3,5
267,228,240,7,72,8,2,3,4
268,1397,235,18,66,2,3,1,4
269,4722,131,5,1,1,3,3,9
270,1384,66,0,25,7,8,7,9
271,517,171,3,22,4,2,1,6
272,1567,133,4,81,2,4,3,1
273,593,425,28,91,2,2,2,2
274,1273,29,0,47,9,10,7,7
275,2435,173,8,81,1,3,2,3
276,3042,14,0,3,5,8,7,4
277,1210,167,2,49,8,4,3,4
278,1929,13,0,3,9,10,7,10
279,525,136,21,105,3,4,1,1
280,392,208,5,255,6,2,2,1
281,1236,158,5,81,1,2,1,2
282,466,323,17,40,9,2,1,3
283,496,195,13,13,6,1,2,7
284,203,352,1,3,10,8,5,10
285,721,94,0,35,10,8,7,6
286,916,67,1,31,2,4,3,5
287,820,68,0,61,9,7,7,1
288,2114,51,2,179,1,6,3,1
289,731,80,0,113,4,5,7,2
290,1626,89,2,70,5,8,5,5
291,2037,40,0,12,3,9,7,9
292,1070,358,12,14,1,1,2,7
293,1069,115,1,34,4,4,4,7
294,159,283,12,36,10,2,1,2
295,248,167,12,68,8,3,2,2
296,1608,340,3,7,1,2,4,1
297,735,202,1,22,3,2,5,5
298,986,208,21,63,1,1,1,1
299,647,118,2,17,4,4,3,8
300,1776,212,0,76,2,5,7,3
301,477,107,14,75,9,3,2,1
302,851,251,2,72,5,3,4,5
303,2267,61,0,77,3,4,7,3
304,309,118,10,28,7,1,1,5
305,1087,617,21,21,3,1,1,1
306,479,375,1,25,1,2,4,5
307,642,199,10,106,2,3,1,1
308,771,142,4,5,4,4,2,8
309,582,128,3,27,1,1,4,2
310,1382,105,0,13,4,4,7,8
311,783,247,34,4,4,3,2,8
312,1349,14,0,4,2,10,7,4
313,1406,215,2,103,2,2,4,1
314,752,276,18,49,1,1,2,2
315,1182,386,17,48,1,1,1,2
316,1025,180,3,150,2,1,3,1
317,1376,118,2,29,4,3,2,5
318,619,115,2,27,1,5,4,6
319,278,229,6,60,10,2,2,1
320,710,252,2,115,7,4,4,2
321,1375,264,5,87,1,2,2,1
322,1754,73,0,14,1,6,7,7
323,924,381,20,23,4,2,1,6
324,1069,419,9,65,3,1,1,3
325,610,97,31,26,5,4,1,7
326,892,262,7,127,6,2,3,1
327,244,315,9,35,6,2,1,3
328,48,405,3,37,10,2,2,2
329,1335,129,7,71,2,2,1,4
330,1507,28,1,20,6,10,5,8
331,1239,59,1,31,6,7,5,8
332,1418,316,14,37,2,3,2,4
333,2746,131,2,75,1,4,5,5
334,298,279,1,22,10,3,4,8
335,497,488,27,46,8,1,1,4
336,962,113,0,7,7,5,7,7
337,693,454,3,10,3,1,3,7
338,1266,95,0,43,4,6,7,5
339,2502,102,0,14,1,5,7,4
340,239,161,2,74,9,3,4,4
341,300,206,25,118,1,1,1,1
342,1583,21,0,28,4,10,7,8
343,736,121,8,68,5,3,2,3
344,850,114,1,7,3,4,4,8
345,313,180,5,67,7,1,2,2
346,601,46,2,42,8,6,5,4
347,1089,355,3,15,8,4,4,8
348,2208,9,0,4,3,10,7,9
349,1229,245,7,178,1,4,3,1
350,1208,64,2,176,5,5,4,3
351,823,201,2,42,2,3,4,3
352,344,300,50,25,9,1,1,7
353,1157,34,0,35,4,8,7,6
354,1213,37,0,14,5,8,7,9
355,684,227,12,87,10,1,2,2
356,201,334,1,112,10,2,5,1
357,1376,59,0,5,6,7,7,8
358,245,319,9,25,9,1,3,5
359,1580,130,1,94,2,4,4,4
360,2400,186,4,46,1,4,3,3
361,889,280,57,48,7,2,1,1
362,1476,105,2,9,4,5,5,8
363,530,365,25,20,5,1,1,4
364,1125,124,3,33,6,5,4,4
365,1336,370,10,50,1,1,3,2
366,693,20,0,22,8,9,7,4
367,1928,199,32,17,1,1,1,7
368,1331,287,7,111,4,2,1,2
369,169,411,4,14,7,2,4,2
370,1567,79,0,18,5,7,7,7
371,1341,122,0,75,4,6,7,5
372,1644,31,0,34,4,9,7,7
373,859,162,39,45,1,3,1,4
374,376,235,10,93,2,3,1,2
375,411,300,3,79,9,1,3,1
376,1346,1,0,20,9,10,7,9
377,585,337,10,141,5,1,2,1
378,694,253,17,37,2,2,1,2
379,373,193,5,37,10,4,2,3
380,1426,18,2,1,8,9,5,10
381,472,120,6,20,6,4,2,8
382,564,114,18,62,8,2,1,3
383,252,204,7,14,6,2,2,6
384,1530,34,0,15,6,9,7,8
385,1448,70,0,20,7,7,7,8
386,749,195,11,73,4,3,2,3
387,1581,198,38,52,1,2,1,2
388,544,236,33,41,7,1,1,3
389,3310,92,0,22,2,6,7,8
390,1408,30,0,1,4,8,7,10
391,974,464,28,74,2,1,1,4
392,511,41,0,270,10,5,6,3
393,362,169,41,33,8,3,1,3
394,1673,57,1,17,4,6,4,7
395,1917,54,1,16,3,6,3,6
396,1314,121,0,19,5,6,6,8
397,1568,119,4,11,3,5,3,8
398,786,194,20,76,4,1,1,1
399,102,255,140,13,8,1,1,7
400,913,473,8,10,2,1,1,8
401,39,520,13,35,10,1,1,3
402,551,165,0,15,7,3,6,8
403,1139,40,0,26,8,8,6,7
404,786,264,4,58,5,2,3,3
405,561,129,2,130,5,4,4,2
406,1483,46,1,45,6,9,5,6
407,322,282,14,17,1,1,1,7
408,190,334,40,8,8,1,1,7
409,410,302,9,29,4,1,3,2
410,687,22,0,5,9,8,6,5
411,867,225,13,53,5,2,2,3
412,1292,224,1,73,3,2,4,3
413,1095,176,25,41,6,2,1,5
414,517,254,19,24,5,1,1,3
415,2049,234,1,25,7,8,5,9
416,243,424,40,42,6,1,1,4
417,320,258,10,27,5,3,3,5
418,1345,295,1,29,4,5,6,6
419,479,163,20,28,3,3,1,7
420,837,177,0,69,4,4,7,3
421,2558,893,28,341,1,2,2,1
422,307,89,1,188,10,5,5,1
423,679,188,0,54,7,2,7,4
424,1565,2,0,3,10,10,7,9
425,986,138,2,33,5,5,4,7
426,635,267,4,23,3,2,3,3
427,513,100,2,66,8,4,2,2
428,1317,288,5,17,1,1,2,4
429,954,179,0,21,6,2,7,7
430,433,368,9,17,3,1,2,6
431,534,148,0,28,4,5,7,6
432,730,168,1,24,1,3,3,6
433,411,359,13,91,7,1,1,2
434,2270,144,9,2,1,4,2,9
435,488,162,9,42,9,3,3,6
436,533,298,2,66,9,1,3,3
437,1551,5,0,0,10,9,7,10
438,519,189,12,51,8,2,1,1
439,2018,6,0,1,5,10,7,10
440,426,206,18,94,10,2,1,3
441,504,259,8,38,8,3,1,3
442,4035,75,0,74,1,8,7,6
443,278,272,1,45,9,1,3,3
444,897,310,1,47,1,1,4,2
445,583,13,0,108,10,9,7,1
446,2292,70,1,56,3,6,3,3
447,731,106,1,12,1,4,5,7
448,257,355,8,36,8,1,2,3
449,1487,152,15,116,2,2,1,1
450,842,249,7,120,6,1,3,1
451,1426,135,4,142,2,5,4,1
452,2816,13,1,2,2,9,5,8
453,816,214,2,19,4,2,4,7
454,1090,102,2,26,5,6,5,5
455,933,55,76,45,4,4,1,3
456,2979,53,11,46,1,3,1,2
457,4518,644,19,253,1,1,2,1
458,1516,17,1,24,4,9,6,4
459,1548,125,1,31,1,4,5,6
461,756,49,1,23,7,7,4,8
462,625,331,20,11,5,2,1,5
463,528,362,26,32,3,2,2,4
464,1686,209,7,49,5,5,2,6
465,1764,110,0,25,2,5,7,7
466,694,257,55,67,1,2,1,2
467,1409,156,9,40,6,5,2,4
468,1388,216,0,44,1,3,6,5
469,721,88,8,23,4,4,2,6
470,1562,18,0,1,6,10,6,9
471,390,265,33,53,1,1,1,2
472,1391,63,0,26,7,8,6,8
473,1372,82,1,41,5,7,5,7
474,1963,387,17,97,2,1,1,1
475,1158,137,1,17,6,4,3,6
476,2661,5,0,0,2,10,6,10
477,417,284,30,32,1,1,1,3
478,601,386,54,9,5,1,1,4
479,1326,61,3,37,8,7,5,5
480,567,384,0,97,4,1,6,1
481,699,213,5,68,3,2,3,1
482,1118,52,0,52,7,8,6,3
483,536,46,1,2,10,6,5,8
484,396,242,2,46,7,2,3,6
485,414,217,36,45,8,1,1,3
486,624,323,61,11,1,1,1,7
487,1836,42,0,37,4,8,6,8
488,2636,8,0,0,3,10,6,10
489,1106,243,1,75,1,2,5,2
490,884,131,1,20,4,4,4,3
491,1648,48,0,5,5,5,6,8
492,494,395,17,16,4,2,2,6
493,2030,38,2,52,4,7,5,6
494,825,148,2,31,4,2,2,4
495,1225,27,1,2,9,8,4,9
496,1382,121,0,60,5,4,6,7
497,2034,89,3,20,4,8,4,6
498,1113,112,1,31,8,5,5,8
499,699,120,0,15,9,8,6,9
500,1966,99,2,46,3,5,3,5
501,82,332,6,67,1,1,1,2
502,2008,254,6,3,1,3,2,6
503,3776,283,28,47,1,2,1,3
504,417,362,10,93,3,1,2,1
505,1616,245,95,53,4,1,1,2
506,829,169,0,41,8,3,6,3
507,1000,112,0,19,1,4,6,6
508,631,300,9,24,1,1,2,5
509,725,180,5,12,2,3,4,7
510,799,252,25,57,2,2,1,2
511,1371,65,2,14,7,8,5,8
512,1326,39,0,7,7,9,6,8
513,312,245,5,80,5,1,2,2
514,1381,39,5,2,5,5,3,10
515,767,107,12,22,1,2,2,6
516,2072,57,0,34,5,9,6,7
517,784,109,1,33,5,2,4,6
518,914,434,20,58,2,1,1,2
519,509,259,4,77,10,2,4,2
520,350,306,10,91,6,2,2,1
521,1791,346,41,63,1,1,1,1
522,1046,269,1,68,5,4,4,5
523,2618,7,0,2,1,10,6,10
524,1942,187,3,53,5,5,4,3
525,965,74,2,138,2,3,2,2
526,1582,223,8,85,2,2,2,2
527,1668,16,0,0,9,6,6,10
528,563,13,0,4,10,10,6,9
529,1206,414,2,27,4,1,4,9
530,497,186,0,51,9,4,7,5
531,511,161,6,73,8,3,2,1
532,299,252,14,70,7,1,1,4
533,1503,60,0,5,4,9,7,8
534,525,95,0,79,2,5,7,2
535,291,314,44,50,9,1,1,4
536,774,15,0,26,9,9,7,7
537,1662,22,0,9,7,10,7,9
538,617,200,6,55,4,2,2,1
539,743,230,5,93,7,3,2,1
540,1081,180,0,44,6,6,7,6
541,1969,69,0,105,2,8,7,2
542,661,138,12,15,9,5,2,7
543,1039,46,0,4,1,6,7,8
544,587,328,29,27,5,2,1,4
545,370,230,8,29,8,2,2,3
546,400,128,23,12,3,1,1,8
547,1410,141,22,26,1,3,1,4
548,840,333,2,49,7,2,5,3
549,652,151,2,48,4,3,4,3
550,760,156,8,133,5,3,1,2
551,1924,45,1,13,4,7,3,8
552,619,185,8,72,8,4,3,3
553,797,182,8,26,5,2,3,6
554,174,485,10,35,10,1,1,3
555,986,139,14,19,7,5,2,6
556,1751,36,0,23,2,8,7,8
557,1836,70,0,13,4,7,7,9
558,606,105,3,33,8,5,3,5
559,1146,163,7,25,1,1,2,5
560,117,387,3,34,1,1,4,3
561,1228,273,4,24,5,1,2,6
562,390,322,1,12,9,1,5,2
563,2317,81,0,99,3,5,7,1
564,1000,187,34,40,4,1,1,5
565,274,313,3,127,7,1,3,2
566,394,216,5,118,5,1,3,1
567,1084,157,23,53,2,2,1,5
568,899,37,2,7,9,9,5,10
569,951,195,2,22,4,3,4,4
570,1097,14,0,0,7,10,7,10
571,635,181,3,55,1,2,4,2
572,471,284,7,36,2,2,2,4
573,1864,173,0,17,1,3,7,6
574,1413,274,9,91,2,3,2,2
575,871,171,0,58,6,3,7,4
576,701,283,1,69,4,2,5,1
577,829,109,9,25,3,3,2,7
578,1699,347,54,83,1,1,1,2
579,530,15,0,2,10,10,7,10
580,841,143,0,102,5,6,7,4
581,1171,8,0,0,6,10,7,10
582,506,142,0,50,9,5,7,6
583,1227,9,1,2,8,10,5,9
584,596,198,2,63,9,3,2,2
585,568,344,33,50,7,1,1,3
586,411,219,7,48,8,2,3,2
587,601,138,4,64,2,1,2,1
588,2575,347,11,62,1,1,1,3
589,587,259,3,27,8,3,5,4
590,1096,74,2,12,9,6,3,8
591,1702,9,0,0,8,10,7,10
592,931,177,2,3,6,5,4,8
593,242,225,7,59,10,2,3,3
594,277,284,14,40,9,1,1,2
595,299,153,3,7,10,3,3,7
596,1170,244,10,14,1,2,2,6
597,621,310,7,57,6,2,3,2
598,1032,65,2,37,9,6,5,7
599,928,280,3,22,2,2,3,8
600,2186,212,6,71,1,4,3,2
601,302,413,2,31,10,3,4,6
602,341,192,16,54,7,2,1,1
603,567,215,11,48,7,2,1,3
604,567,205,1,24,9,3,3,8
605,1079,6,0,0,9,10,7,10
606,448,235,18,62,4,2,1,3
607,1107,62,2,68,3,6,5,4
608,1306,324,19,212,2,1,1,1
609,776,39,0,34,9,9,7,9
610,636,37,28,44,2,5,1,5
611,499,322,3,6,2,2,3,9
612,607,139,0,45,3,2,7,1
613,1321,365,12,58,6,2,2,1
614,392,306,4,28,2,2,2,6
615,488,223,11,42,9,3,3,3
616,1334,64,0,33,7,9,7,8
617,822,246,9,73,7,1,1,2
618,985,209,3,77,3,2,4,1
619,2333,31,0,19,3,7,7,6
620,289,273,15,31,9,1,1,6
621,953,25,2,30,8,9,5,7
622,394,348,7,69,9,2,3,1
623,1475,87,1,46,6,6,5,6
624,1602,38,0,7,4,10,7,9
625,839,53,1,79,8,7,6,4
626,1332,106,0,18,7,8,7,8
627,411,198,1,66,9,3,5,3
628,3068,66,1,41,2,4,3,6
629,1816,168,1,37,3,5,4,2
630,787,125,6,28,2,3,3,5
631,191,521,7,8,9,1,3,7
632,765,64,1,74,4,4,5,3
633,1337,447,14,40,1,1,2,2
634,544,112,1,50,7,3,4,3
635,601,207,52,33,8,1,1,6
636,646,88,3,24,8,4,2,7
637,1023,450,0,42,3,2,7,3
638,607,222,5,46,6,2,2,2
639,2628,175,3,12,1,3,3,8
640,584,281,22,31,8,1,1,3
641,515,306,59,53,3,1,1,3
642,1045,151,7,5,1,3,2,7
643,514,165,15,92,9,4,1,3
644,1404,133,1,11,4,5,5,8
645,900,361,113,44,2,1,1,3
646,2465,117,0,19,2,5,7,9
647,2778,9,0,0,3,10,7,10
648,380,255,7,36,9,2,3,5
649,312,194,0,49,10,4,7,5
650,701,36,0,37,9,8,7,5
651,241,272,3,25,10,3,4,5
652,381,290,0,22,3,2,7,6
653,1290,56,1,7,5,7,5,8
654,1098,174,2,39,1,3,3,3
655,1847,74,1,23,6,9,6,8
656,208,265,26,69,4,1,1,2
657,502,263,3,58,5,1,2,2
658,1391,199,1,90,3,5,5,4
659,1172,36,0,6,7,10,7,9
660,2593,7,0,1,3,10,7,10
661,746,189,3,32,4,3,3,7
662,1148,59,0,36,5,7,7,5
663,1231,34,0,0,5,10,7,10
664,359,253,12,64,6,1,1,1
665,2219,144,1,20,2,4,4,8
666,1530,10,0,4,7,7,7,10
667,702,189,0,82,7,2,7,6
668,1367,3,0,0,3,10,7,10
669,636,157,1,14,3,2,3,8
670,1199,372,2,32,6,1,4,4
671,1940,66,0,16,6,6,7,7
672,434,205,3,82,7,2,4,2
673,456,347,0,14,1,2,7,4
674,210,263,13,32,8,2,1,4
675,1439,134,0,43,3,5,7,3
676,368,403,14,69,4,1,2,1
677,1821,83,3,30,6,5,2,6
678,1380,31,0,32,5,10,7,4
679,2495,14,0,2,2,9,7,10
680,1911,122,2,41,2,5,4,5
681,492,120,1,61,8,3,3,3
682,1821,42,0,10,4,9,7,9
683,1272,145,2,37,7,5,6,2
684,631,72,0,34,9,5,7,8
685,2958,7,0,0,2,10,7,10
686,663,210,16,36,9,3,1,5
687,702,170,1,13,5,4,4,6
688,720,84,0,25,9,7,7,7
689,248,253,3,32,10,2,3,5
690,690,257,1,135,4,1,5,1
691,569,247,21,48,9,2,1,3
692,1628,130,3,13,4,5,2,7
693,1141,232,36,86,5,1,1,1
694,794,239,31,22,6,2,1,6
695,475,166,0,5,6,3,7,3
696,457,91,1,24,10,4,3,6
697,249,200,8,33,10,3,2,5
698,420,84,90,23,10,5,1,7
699,2057,26,0,13,5,8,7,8
700,2262,20,1,0,5,8,5,10
701,2448,253,3,7,1,1,3,6
702,850,108,2,72,9,7,4,6
703,297,249,1,26,9,3,5,6
704,718,225,8,13,5,1,3,6
705,1700,53,0,22,3,8,7,8
706,910,58,1,9,8,6,5,9
707,763,162,32,11,6,3,1,7
708,771,376,4,15,3,1,3,5
709,1729,107,0,54,3,3,7,3
710,1387,128,0,30,3,5,7,8
711,296,270,2,62,3,2,3,2
712,1152,155,14,51,2,2,1,2
713,371,410,32,31,9,1,1,3
714,585,161,0,14,10,5,7,9
715,461,237,10,53,4,1,1,2
716,1855,192,8,74,2,3,2,1
717,203,251,14,34,9,1,2,2
718,468,175,4,26,6,3,4,4
719,2197,46,0,36,3,8,7,7
720,1807,95,1,4,1,7,6,9
721,1326,77,1,75,8,7,5,4
722,1386,48,0,23,2,8,7,8
723,1096,105,7,23,5,5,4,5
724,694,37,0,28,9,9,7,8
725,2422,24,0,46,3,8,7,7
726,536,93,0,19,6,4,7,8
727,945,326,14,27,3,2,1,5
728,327,293,9,44,4,1,1,4
729,1083,177,4,7,4,3,2,4
730,2471,233,5,41,1,2,1,5
731,1473,100,1,41,5,5,4,6
732,292,404,16,34,4,1,2,1
733,1719,286,10,91,2,3,1,1
734,1072,75,0,19,7,7,7,9
735,565,310,5,44,4,2,1,3
736,507,246,3,48,9,2,3,5
737,1391,172,1,30,7,5,4,7
738,751,58,5,57,9,8,2,6
739,709,57,2,49,6,7,5,6
740,2054,112,0,1,3,7,7,10
741,1588,86,1,4,4,7,5,10
742,959,114,24,17,2,4,1,8
743,1028,139,0,19,7,5,7,5
744,1480,40,0,29,2,8,7,6
745,1251,28,0,0,1,5,7,10
746,228,466,9,12,10,2,2,6
747,1096,335,5,107,1,1,3,1
748,230,674,4,18,6,1,3,4
749,2793,69,1,34,5,5,5,7
750,771,112,0,5,4,6,8,9
751,1296,5,0,0,9,9,8,10
752,212,396,2,17,9,2,4,2
753,1606,3,0,12,4,10,8,8
754,307,232,6,74,8,2,2,2
755,1837,240,5,83,1,2,2,1
756,1513,112,24,7,8,5,2,8
