고객번호,1_2기증감,2_3기증감,3_4기증감,4_5기증감,5_6기증감,6_7기증감
214,0,1,1,-2,-2,1
215,0,1,-1,0,-1,0
216,2,-2,2,-2,1,-1
217,0,1,-1,0,0,0
218,0,0,0,0,0,0
219,-1,3,-1,1,-1,-1
220,-1,0,0,0,-1,-1
221,1,0,-2,1,1,0
222,1,0,1,-1,1,-2
223,-1,2,-2,0,0,0
224,0,0,0,0,0,0
225,0,0,0,0,0,0
226,-1,2,-2,1,-2,1
227,0,0,0,0,0,0
228,2,-2,2,-1,1,-1
229,0,1,-1,0,0,-1
230,0,1,0,-1,0,0
231,-1,-2,3,1,0,1
232,-2,2,-1,1,-2,1
233,1,-4,4,-1,-2,1
234,0,-1,1,0,0,-3
235,1,-2,2,-1,-1,2
236,-1,0,0,0,1,-1
237,1,0,0,-1,1,-1
238,-2,0,-1,3,-2,1
239,0,0,0,0,0,0
240,-2,3,-1,1,0,-1
241,1,-1,-1,0,1,0
242,-1,0,0,0,0,0
243,0,1,-2,1,0,-2
245,0,0,-1,1,1,-1
246,-1,0,1,0,0,-1
247,0,-1,0,0,1,0
248,0,1,1,-2,1,-1
249,0,0,0,0,0,0
250,0,0,0,0,0,0
251,0,-1,1,-1,2,-1
252,0,0,0,-1,0,2
253,0,0,0,1,0,-1
254,1,-1,0,0,0,0
255,0,1,-1,0,0,0
256,0,0,0,0,1,0
257,1,0,-1,0,0,1
258,0,0,0,0,0,0
259,-2,4,-3,4,-4,4
260,0,0,1,0,1,-1
261,0,1,0,0,-1,1
262,0,0,1,-1,-1,1
263,0,-1,1,0,-1,0
264,0,-2,-1,1,2,-1
265,0,0,0,0,0,0
266,0,-1,1,0,1,0
267,0,0,-1,1,0,0
268,-1,2,-1,0,1,1
269,0,0,1,-1,1,0
270,0,0,1,-1,0,0
271,-1,-1,0,0,1,0
272,0,0,1,0,0,-1
273,0,1,0,0,1,-1
274,0,-1,1,0,-1,0
275,0,-1,1,1,-1,0
276,0,0,0,-2,2,0
277,-1,1,-1,1,-2,2
278,0,0,0,0,0,0
279,-1,-1,3,-3,1,1
280,0,0,-1,1,0,0
281,1,-1,0,0,0,-1
282,1,-1,-1,1,0,0
283,0,0,0,0,0,0
284,1,-1,2,-1,1,-1
285,0,-1,0,-2,2,-2
286,-1,1,-1,0,0,0
287,-2,1,1,0,0,-2
288,0,1,0,0,-1,1
289,0,1,0,-1,1,-1
290,1,-1,1,0,0,-1
291,1,-1,0,1,-1,0
292,1,-1,0,0,0,1
293,1,-2,0,0,0,0
294,0,0,0,0,0,0
295,-1,-1,2,-2,1,0
296,1,1,0,-1,-1,2
297,-1,-1,1,2,-2,0
298,-2,0,-1,0,0,1
299,1,0,2,-1,1,-1
300,1,0,-1,0,1,-1
301,1,1,-2,-1,2,-1
302,0,0,0,1,-1,0
303,4,1,-1,-4,4,1
304,0,0,0,0,0,0
305,0,-2,1,-1,1,0
306,0,-1,0,-1,1,-1
307,1,0,0,0,1,0
308,-1,1,-2,2,1,-1
309,-1,0,0,0,0,0
310,0,2,0,-1,2,-3
311,0,0,0,0,0,0
312,-1,-1,0,0,1,2
313,1,1,0,-1,0,0
314,1,0,-1,2,-1,1
315,-1,0,0,1,-1,0
316,3,-1,-2,1,1,-3
317,-1,-1,2,0,1,-3
318,0,-1,0,1,0,0
319,0,0,1,-1,1,-1
320,2,-1,1,-1,0,0
321,2,0,0,0,1,-1
322,1,-1,0,-1,2,-3
323,0,0,0,0,0,2
324,0,-2,2,-1,1,-2
325,0,0,0,1,-1,1
326,-1,2,-1,-1,2,0
327,0,1,-1,0,1,-1
328,0,-1,0,0,1,0
329,-1,0,2,0,0,-1
330,2,-2,-2,2,1,0
331,0,1,1,-2,2,-1
332,1,0,0,-1,1,0
333,0,-1,1,0,-1,1
334,0,-1,1,-2,1,0
335,-1,0,0,0,0,1
336,1,1,0,0,-2,0
337,0,0,0,0,1,-1
338,0,0,2,-2,1,-1
339,-1,0,1,0,0,0
340,1,-1,1,-1,1,0
341,-1,0,0,0,0,0
342,0,0,0,0,0,0
343,1,-1,1,0,-1,1
344,1,0,-1,0,0,0
345,0,0,0,0,1,0
346,0,0,0,1,-2,0
347,0,0,1,-1,0,1
348,1,0,1,0,-1,0
349,2,-3,3,-2,2,-2
350,1,1,-1,2,-2,-1
351,-1,2,-1,-1,1,0
352,0,0,0,0,0,0
353,0,-1,3,-2,1,-1
354,0,-1,2,-2,-1,2
355,-2,-2,0,0,4,0
356,1,-1,-1,1,0,-1
357,-2,0,-1,0,0,2
358,-1,0,0,0,1,-1
359,1,-1,0,0,1,0
360,0,0,1,0,-2,0
361,0,1,-1,1,-1,-1
362,0,0,2,-3,0,0
363,0,0,2,-2,0,0
364,-3,1,2,-2,0,1
365,0,1,1,1,-1,1
366,-2,2,-1,-1,0,0
367,0,0,-2,1,0,0
368,-1,0,1,0,0,-2
369,1,0,0,0,-1,1
370,2,0,-1,2,-2,1
371,0,1,0,0,0,0
372,-1,1,0,0,0,0
373,-4,1,-1,0,-1,0
374,-1,1,0,0,0,0
375,0,0,0,0,0,0
376,0,0,0,0,0,0
377,-1,1,-1,0,1,0
378,-1,2,-1,1,-1,-1
379,0,-1,2,-2,1,0
380,-3,2,0,1,0,0
381,-2,-1,0,0,0,1
382,0,1,-1,3,-3,2
383,0,0,0,0,0,0
384,0,0,1,0,-1,0
385,-4,0,3,0,0,-1
386,2,-2,0,1,-2,1
387,-1,0,0,0,0,0
388,0,1,-1,0,0,0
389,-1,1,0,0,0,1
390,-1,0,0,0,1,1
391,-1,0,1,2,-2,0
392,0,-1,-3,4,-3,0
393,0,2,-2,0,0,1
394,0,1,0,-1,1,1
395,0,1,-2,-2,3,-3
396,-1,1,-1,0,-1,2
397,-1,0,-1,3,0,-2
398,0,-1,-1,3,-3,0
399,0,0,0,0,0,0
400,1,0,-1,1,-1,0
401,0,0,0,0,0,1
402,0,0,0,-1,1,0
403,1,0,-1,-1,1,-1
404,-1,1,0,0,0,-1
405,-1,1,-1,0,0,1
406,-1,0,0,1,0,0
407,0,0,0,0,0,0
408,0,0,0,0,0,0
409,1,0,-1,0,0,1
410,1,-3,1,-1,1,-1
411,0,0,0,0,1,0
412,1,0,0,1,0,0
413,1,-3,3,-2,0,0
414,2,-1,-1,1,-1,0
415,1,0,0,0,0,-1
416,0,0,0,0,1,-1
417,2,0,-1,0,0,0
418,1,-1,0,1,0,1
419,-1,-1,1,0,0,1
420,-2,1,0,-1,0,1
421,0,0,0,0,0,0
422,0,0,0,0,-1,0
423,1,-1,0,1,0,0
424,0,0,0,0,0,0
425,-1,1,1,0,-1,0
426,-2,0,1,-1,0,0
427,2,-2,1,-2,1,1
428,1,0,0,1,-2,2
429,0,1,1,-1,0,1
430,1,0,-1,1,0,-1
431,0,-1,1,0,0,-1
432,-2,3,-1,0,0,0
433,0,0,0,0,-1,1
434,0,-1,2,-1,0,0
435,1,0,1,0,-1,1
436,0,0,0,1,0,0
437,-1,1,0,0,-2,2
438,-1,0,0,0,1,0
439,0,0,0,0,1,0
440,0,1,-1,1,0,0
441,-2,1,1,-1,0,-2
442,0,0,1,-1,0,-1
443,-1,0,0,0,0,0
444,1,-2,2,-1,0,-1
445,-1,0,0,0,1,-1
446,1,0,0,-1,-1,-1
447,-1,0,0,-1,0,-2
448,-1,0,0,0,1,-1
449,-1,-1,-1,4,-3,1
450,-2,0,1,0,0,0
451,0,0,1,2,-3,1
452,1,-2,1,1,-1,1
453,-2,2,-1,1,0,-1
454,0,-1,1,-1,0,-1
455,1,0,0,-1,0,0
456,-2,2,-3,1,0,-3
457,1,0,-2,1,1,0
458,0,-1,0,1,-1,-1
459,0,-1,1,0,-1,0
461,-1,1,2,0,-2,1
462,0,-1,0,2,-1,0
463,1,-1,0,0,1,-1
464,3,-1,1,-1,-1,1
465,-1,2,-2,0,0,1
466,-1,0,0,0,0,0
467,1,1,0,0,1,-2
468,-1,1,1,-1,0,1
469,-3,2,0,1,0,1
470,0,-1,1,0,1,-1
471,0,0,0,0,0,0
472,2,0,0,-1,1,-1
473,1,0,-1,0,1,0
474,1,1,-2,1,0,-1
475,1,0,1,-1,0,0
476,0,0,0,0,-1,1
477,0,0,0,0,0,0
478,0,0,0,0,0,0
479,-4,2,2,-2,2,-2
480,0,-1,0,1,-1,0
481,0,-1,1,0,0,0
482,0,-1,-1,1,-1,0
483,0,1,0,-2,2,0
484,1,-1,0,1,-1,0
485,0,0,0,0,0,0
486,0,0,0,0,0,1
487,0,0,1,-1,-1,0
488,0,0,0,0,0,1
489,0,2,-2,0,1,0
490,0,0,0,0,-1,0
491,-1,1,-1,3,-2,-1
492,-1,0,0,0,1,-1
493,1,0,-2,0,1,0
494,-1,1,1,-1,0,0
495,4,0,0,-1,0,1
496,2,-2,2,-2,-1,1
497,0,1,0,-1,0,1
498,0,-1,3,-2,2,0
499,1,2,0,-1,0,1
500,2,-3,3,-3,1,0
501,0,0,0,0,0,0
502,1,0,0,-1,0,1
503,-1,1,-1,-1,0,1
504,0,0,0,0,1,-1
505,0,0,0,1,0,-1
506,0,1,0,-2,3,-1
507,-1,0,1,0,-1,0
508,0,0,0,0,1,-1
509,-1,0,1,0,-1,1
510,-1,1,0,0,1,-1
511,1,0,1,0,-2,0
512,1,-1,1,1,-2,3
513,-1,1,-1,1,0,-1
514,2,-2,-1,1,0,-3
515,-1,2,-1,0,-1,2
516,0,1,0,-2,2,-1
517,0,1,-3,1,0,0
518,0,0,1,0,0,0
519,-3,4,-3,0,1,0
520,0,1,0,1,-1,1
521,0,1,1,-2,2,-1
522,0,0,-1,-1,1,1
523,0,-1,0,1,0,0
524,-2,1,1,-2,1,2
525,2,-1,0,1,0,0
526,0,1,1,3,-3,-1
527,0,7,-1,1,0,0
528,0,0,0,1,-1,-1
529,0,0,1,-1,0,1
530,1,0,-1,2,-1,1
531,-1,0,-2,1,0,1
532,0,0,0,1,-1,0
533,0,0,0,1,0,0
534,0,0,0,0,1,-1
535,0,0,0,1,-1,0
536,1,-1,3,1,-2,1
537,0,0,0,0,0,1
538,0,-2,0,1,1,-1
539,0,1,0,1,0,0
540,-1,1,-1,2,0,-1
541,0,-1,0,0,1,-1
542,-2,-1,1,1,-1,1
543,0,0,0,0,1,-1
544,0,1,-1,1,0,1
545,0,-2,1,1,-1,-1
546,0,0,0,0,0,0
547,0,1,0,0,0,-1
548,1,-1,1,-2,2,-1
549,0,1,0,-1,1,-1
550,0,-1,0,-2,1,0
551,0,0,-1,-1,3,-3
552,0,0,0,0,0,0
553,-2,0,-1,1,1,1
554,0,0,0,0,0,0
555,0,2,-2,-1,0,1
556,-1,1,0,0,0,1
557,0,1,-2,3,-2,1
558,-2,4,-3,0,0,1
559,1,0,-1,1,0,1
560,0,0,0,0,0,0
561,0,0,0,-1,0,0
562,0,0,0,0,0,0
563,0,-1,2,-2,1,0
564,-1,1,-2,1,0,0
565,0,0,1,-1,0,0
566,0,2,0,-2,0,0
567,1,0,2,-2,2,1
568,-2,-1,0,1,0,0
569,-1,0,1,0,-1,1
570,0,0,-1,0,0,0
571,2,-2,1,-1,2,-1
572,1,-1,-1,-1,0,1
573,0,2,2,-1,-1,0
574,-2,3,-1,-1,2,-1
575,0,-1,-1,-1,1,1
576,0,-1,0,0,0,-1
577,1,-2,3,-2,1,-1
578,0,0,1,0,0,0
579,4,0,-1,1,0,0
580,0,0,-2,2,0,0
581,-1,1,0,1,-1,0
582,-2,1,1,-1,1,0
583,0,0,0,0,0,1
584,1,1,0,-1,1,0
585,0,0,0,0,0,0
586,0,0,0,1,0,-1
587,-2,0,0,0,1,-1
588,-1,1,0,-1,2,1
589,0,-1,2,-1,1,-1
590,-3,2,-2,0,1,-2
591,0,0,0,0,0,0
592,-2,0,1,0,0,-2
593,-1,0,1,-1,0,-1
594,0,0,0,0,0,0
595,0,0,1,0,0,-1
596,1,0,0,-1,0,0
597,-1,0,1,0,0,0
598,-1,2,-1,3,-3,0
599,2,0,-1,1,0,-2
600,0,-1,-1,1,1,0
601,0,0,0,0,0,0
602,0,0,0,1,0,-1
603,-1,-1,0,0,2,1
604,-1,1,0,-1,0,2
605,-1,1,-1,1,-1,0
606,0,1,-1,1,1,0
607,0,-1,1,1,-1,0
608,0,1,1,2,-3,-1
609,-1,1,-1,0,0,-1
610,-3,0,0,2,-1,1
611,-1,1,0,0,0,1
612,0,0,0,1,0,-2
613,1,0,-2,2,-2,2
614,-1,1,0,-1,0,0
615,0,2,-1,0,0,0
616,0,-2,1,0,-1,1
617,1,-1,0,0,1,0
618,-2,1,0,1,1,-1
619,-1,0,0,-1,0,2
620,0,0,0,0,0,0
621,1,-1,0,1,0,0
622,0,2,0,0,0,0
623,0,1,-1,-1,0,3
624,0,1,0,0,0,0
625,1,0,-1,1,1,-1
626,1,1,-1,0,0,0
627,0,-2,1,0,-1,0
628,4,-2,-1,0,0,2
629,0,-1,0,0,1,-1
630,0,0,0,0,-1,1
631,0,-1,0,0,1,0
632,-1,0,0,0,1,-3
633,1,-1,0,0,0,0
634,1,0,-1,0,2,-3
635,0,0,0,1,0,-1
636,3,0,-2,3,1,-1
637,2,-1,0,-1,0,1
638,-1,0,-1,1,0,1
639,3,-3,1,-1,1,-1
640,0,1,0,-1,0,0
641,-1,0,0,0,0,0
642,0,-1,1,-1,1,0
643,-1,1,1,-1,-1,0
644,-1,-1,0,0,0,2
645,0,0,0,0,0,0
646,1,0,-2,2,-3,2
647,0,0,0,-1,1,0
648,1,0,0,0,1,0
649,1,1,-1,1,1,-1
650,1,-3,1,3,0,-2
651,0,0,0,0,0,0
652,1,0,1,-1,-1,0
653,0,0,-3,1,0,0
654,0,-1,-1,0,0,1
655,1,0,1,0,0,0
656,0,0,0,0,0,0
657,1,-1,0,1,0,-1
658,0,0,0,2,-2,0
659,0,0,-1,0,1,0
660,0,0,-1,0,0,1
661,-1,1,0,-1,1,0
662,0,1,0,2,-2,1
663,0,1,-1,0,0,0
664,0,0,0,0,0,0
665,0,0,0,0,-1,0
666,1,-1,1,-1,-3,1
667,3,-1,-1,2,-2,0
668,0,-1,2,-2,3,-1
669,-1,0,2,1,-1,1
670,0,0,0,0,0,0
671,0,0,2,-1,0,1
672,2,-3,1,0,2,-1
673,0,0,0,-1,0,0
674,0,1,-1,0,0,1
675,0,0,-2,1,0,0
676,0,0,0,0,0,0
677,0,1,0,-3,-2,2
678,1,0,0,-1,1,-1
679,1,-1,0,1,0,0
680,0,-1,1,0,0,0
681,1,1,-2,1,0,-1
682,0,-1,1,1,0,-1
683,2,2,-2,2,-1,-1
684,1,2,-3,1,1,0
685,0,-1,1,0,0,-1
686,0,1,0,1,0,0
687,-1,0,-1,0,0,2
688,1,-1,-1,1,-1,2
689,1,-1,-1,0,1,1
690,0,-1,0,-1,1,1
691,-1,-1,2,0,-2,2
692,-2,-3,0,1,1,-1
693,0,-1,1,0,-1,0
694,2,-1,0,1,0,-2
695,0,0,1,-1,0,0
696,0,-1,1,3,-1,-2
697,-1,2,-1,0,0,0
698,0,0,-1,0,0,0
699,1,1,-1,1,0,1
700,0,-3,2,0,1,0
701,2,-2,1,-2,2,-2
702,-2,2,0,-2,0,0
703,0,0,0,0,0,0
704,1,-2,3,-1,0,-2
705,-1,-1,3,-2,1,-2
706,-1,-1,3,-2,1,-1
707,-1,2,-2,0,1,-2
708,1,0,1,-1,-1,0
709,2,1,-4,3,-2,2
710,1,-1,0,1,-2,2
711,1,0,0,0,-1,1
712,-1,1,0,0,0,-1
713,1,0,-1,0,0,1
714,1,0,-2,0,2,-1
715,0,0,0,0,0,0
716,1,0,-2,1,2,-3
717,0,0,0,0,0,1
718,-1,1,0,-2,1,0
719,0,1,0,-1,0,0
720,0,0,0,0,-1,1
721,-1,0,1,-2,2,0
722,-1,-1,1,-2,2,0
723,0,0,0,1,-1,0
724,0,2,-2,1,0,0
725,0,0,0,0,-1,2
726,0,1,-2,2,-4,2
727,2,0,-2,2,0,0
728,1,-1,0,0,0,1
729,0,1,-1,0,0,0
730,1,1,-1,-1,0,2
731,1,0,-4,3,-2,2
732,-1,0,0,0,1,0
733,-2,0,0,0,1,0
734,0,-1,2,-1,1,0
735,-1,0,1,-1,1,-1
736,-2,1,1,-1,0,0
737,-1,2,-1,-1,1,-1
738,-1,0,0,1,-4,-1
739,-1,0,1,-1,0,0
740,0,-1,1,0,0,0
741,-1,1,0,0,-1,1
742,1,2,1,-3,-1,0
743,0,1,-1,1,-2,2
744,0,-1,2,-2,1,0
745,1,-1,1,0,-1,-1
746,0,0,0,0,0,0
747,-1,0,-1,0,0,1
748,-1,0,0,0,0,0
749,0,0,-2,-3,1,3
750,1,0,0,0,-1,0
751,0,1,-1,1,0,0
752,2,-1,1,-2,1,0
753,-1,0,1,0,0,0
754,0,0,-1,1,0,1
755,1,-2,2,0,0,-1
756,-3,1,0,4,-6,6
757,0,-1,1,-1,0,0
758,-1,1,0,-1,0,1
759,-2,2,-1,0,-1,2
760,-4,4,-1,-1,0,1
761,-2,0,-5,5,-3,4
762,-1,0,-2,3,0,-1
763,0,0,-1,1,0,-1
764,-1,1,-1,1,-1,0
765,0,0,-1,1,-1,0
766,-1,1,-4,3,-1,1
767,3,1,-2,1,-1,0
768,-2,-1,0,0,-1,1
769,1,-1,1,0,-1,2
770,0,-1,0,1,-1,2
771,0,-1,-1,1,-1,1
772,1,-2,1,0,-1,2
773,0,-3,2,1,0,0
774,0,-1,2,-1,1,0
775,0,-1,1,0,0,0
776,0,0,0,1,-2,1
777,1,0,-1,0,2,1
778,-1,1,0,0,-1,0
779,0,-1,1,1,0,-1
780,-1,-1,2,-1,0,1
781,1,0,-1,1,-1,2
782,3,-2,-1,2,1,0
783,0,0,0,0,1,-1
784,0,1,-1,1,-1,1
785,0,0,0,-1,0,0
786,1,-1,0,0,1,-1
787,1,-1,1,0,-1,0
788,-1,2,-1,-1,0,2
789,0,-1,1,-1,0,1
790,1,0,0,-1,1,-1
791,1,3,-2,-1,1,2
792,1,-1,0,0,0,0
793,0,2,-1,0,1,0
794,0,1,0,-1,0,0
795,2,-1,2,-2,2,-2
796,1,0,-2,0,0,0
797,1,0,0,-2,2,0
798,0,0,0,0,0,0
799,-1,0,0,0,1,-2
800,-1,1,0,-1,1,0
801,0,0,0,1,-1,0
802,0,0,0,-2,1,1
803,0,-1,-1,2,-2,2
804,1,0,0,0,-1,1
805,-1,-2,3,0,0,0
806,0,0,0,1,-1,-1
807,0,0,0,0,0,0
808,0,1,-1,1,-1,0
809,-2,1,1,-2,-1,1
810,0,0,0,0,0,0
811,2,0,-1,-1,0,2
812,0,0,0,0,0,0
813,0,0,0,-1,1,0
814,1,-2,0,0,0,0
815,0,0,0,0,1,-1
816,0,0,1,-1,0,1
817,0,0,0,0,0,0
818,0,1,-2,1,0,0
819,0,-1,0,1,-1,0
820,0,-1,1,0,-1,-2
821,1,0,0,0,0,0
822,0,-1,1,0,0,0
823,1,1,-2,0,1,0
824,0,1,-1,0,-1,2
825,-1,0,0,1,-1,-1
826,0,-1,-1,1,-1,0
827,1,0,0,2,-1,-1
828,1,0,0,0,0,1
829,1,0,-1,2,-1,-2
830,0,1,-1,3,-2,0
831,-1,1,0,0,-1,1
832,-1,1,-1,0,0,0
833,1,1,-2,2,-2,2
834,0,0,1,-2,1,-1
835,1,1,0,0,-2,3
836,1,0,-1,1,0,0
837,-3,2,2,0,-1,1
838,1,0,1,-1,1,0
839,1,-1,1,1,-1,0
840,0,0,0,0,0,0
841,0,0,0,0,0,0
842,0,0,0,0,1,-1
843,-1,1,0,0,0,-1
844,-1,0,1,0,-2,1
845,-1,0,0,0,0,0
846,0,0,1,-1,0,1
847,0,0,0,-2,1,1
848,0,0,0,0,0,0
849,0,1,2,-1,0,0
850,-1,0,1,-1,0,0
851,0,0,1,0,-1,0
852,0,1,-1,0,2,-2
853,1,0,-1,0,0,-1
854,2,-1,0,2,-2,0
855,1,-2,0,3,-1,-2
856,0,-1,0,0,-1,2
857,-1,0,0,1,-1,0
858,-1,0,1,-1,1,-1
859,0,-1,2,0,-1,-1
860,1,1,-1,0,0,0
861,0,0,0,0,0,0
862,0,0,1,-1,0,0
863,0,-2,0,0,0,2
864,0,-1,1,-1,0,1
865,0,0,0,0,-1,1
866,0,0,-1,0,1,-1
867,0,-1,1,-1,0,0
868,0,0,0,0,-1,1
869,0,2,0,2,-2,0
870,0,-1,1,0,0,1
871,2,-2,1,0,1,-2
872,-1,3,-1,1,-1,1
873,0,0,1,-1,-1,1
874,-1,1,0,-1,1,0
875,0,1,-1,0,0,1
876,4,-1,1,-1,-1,0
877,-2,3,0,0,-3,3
878,-2,0,1,1,-1,0
879,0,1,-2,1,0,0
880,2,-2,1,1,0,0
881,3,-1,1,-3,1,2
882,-2,0,1,-1,0,0
883,1,0,1,-2,1,-1
884,0,1,-1,1,0,0
885,0,-1,1,0,-1,0
886,-1,2,0,-1,-1,0
887,0,2,-2,1,-1,1
888,-1,1,-1,0,0,0
889,0,0,3,-1,-2,0
890,0,0,0,1,-1,1
891,0,-1,1,-1,0,-1
892,0,0,0,0,0,0
893,-1,0,0,1,-1,1
