고객번호,편의품_증감율,편의품_변동율,편의품CV,선매품_증감율,선매품_변동율,선매품CV,전문품_증감율,전문품_변동율,전문품CV,기타_증감율,기타_변동율,기타CV,A증감율,A변동율,A_CV,B증감율,B변동율,B_CV,식품_증감율,식품_변동율,식품CV,의류_증감율,의류_변동율,의류CV,생활_증감율,생활_변동율,생활CV
51,-1,7,0.283633841,-1,5,0.78465946,0,0,0,1,7,1.841505157,0,0,0.404272876,0,0,0.06775067,-1,7,0.315437145,-1,3,0.532132288,-1,1,0.285112097
52,2,4,0.517210186,-1,1,0.589385695,3,3,1.025943176,0,0,0.34064797,0,0,0.403932681,0,4,2.645751311,1,3,0.514096014,-1,1,0.82658105,0,8,1.367231224
53,1,3,0.248892938,0,4,1.022451093,0,18,2.378927772,4,6,0.765111782,0,2,0.406658655,3,3,2.645751311,1,5,0.265725007,-1,7,1.322603551,0,4,2.023809331
54,-1,1,0.238389835,-1,1,0.404295308,0,0,0,0,2,0.528752105,0,0,0.403869171,0,4,2.645751311,0,0,0.192752448,1,7,0.981882868,-2,8,0.575247695
55,1,3,0.209248721,0,6,1.639605492,0,0,0,2,10,1.939322251,2,2,2.246853173,1,11,0.686868031,1,1,0.216193116,0,6,1.48364583,-1,7,0.492828836
56,-1,3,0.376500981,-1,3,0.921748334,-1,13,1.214667572,0,0,0.269479821,-1,3,0.405596032,0,4,2.645751311,-1,5,0.443633207,0,0,0.9820306,-1,13,1.301224973
57,0,6,0.379142097,0,4,2.212797548,0,4,2.645751311,0,6,2.645751311,0,4,2.284882134,2,8,1.267913872,0,8,0.490889603,1,5,0.917912691,2,6,0.643227921
58,-1,5,0.27602523,0,2,0.397760166,-1,1,0.723344867,0,2,0.283899164,0,0,0.403888612,-2,2,2.645751311,0,6,0.290925986,0,2,0.426573639,0,4,0.611448581
59,1,1,0.21773421,0,2,0.459412488,0,12,1.249400678,-4,6,0.619716605,0,0,0.403944667,0,6,0.445398926,2,4,0.217133942,0,2,0.476991231,0,4,0.836454646
60,1,3,0.277462803,0,0,0.460757926,0,4,2.645751311,2,2,0.71083711,0,0,0.404793727,0,2,0.026165129,1,3,0.234100051,0,4,0.543324523,1,5,0.584507351
61,0,2,0.259149359,-1,1,0.634737861,0,6,0.960743413,-2,8,1.834186576,0,0,0.405047198,0,0,0.017494882,0,0,0.278269755,-1,3,0.709777443,-1,7,0.531246448
62,1,5,0.290411139,1,3,0.57927992,2,2,1.709098257,0,0,0.276323549,0,0,0.404242837,0,0,0.042932808,0,4,0.292237198,1,3,0.627344381,1,7,1.201322249
63,0,4,0.162997087,2,4,0.825053499,0,0,0,-2,8,1.124170186,0,0,0.403999437,0,4,2.645751311,1,1,0.169534277,3,5,0.986812936,0,2,0.413949395
64,0,2,0.482504297,0,4,1.010979614,0,0,0,0,8,1.497216303,0,4,2.240007497,-1,1,0.0686736,-1,1,0.454653957,-1,3,1.734368544,-1,1,1.304834885
65,-1,7,0.349010555,-1,5,0.868464157,0,10,1.914437096,1,5,0.997715016,0,0,0.405655179,0,2,0.043130427,-1,7,0.338517908,1,9,0.884671417,0,10,0.86330001
66,1,1,0.128125289,-1,1,0.831817353,0,0,0,2,2,0.915493409,0,0,0.404115195,0,2,0.008051787,0,0,0.146986858,0,2,0.83283009,-1,5,0.422446589
67,2,4,0.260512182,1,7,1.035717554,0,0,0,0,2,1.280038914,0,12,1.031954322,0,2,0.019074425,2,4,0.304729028,0,8,1.118523091,0,2,0.28851703
68,1,3,0.333748572,1,3,0.608473756,0,0,0.675417533,0,0,0.300263797,-1,5,0.406418794,0,0,0.031955,2,6,0.440420075,0,4,0.878030312,-2,8,0.774459639
69,1,1,0.204159019,0,2,1.152086087,0,0,0,0,0,0,0,4,2.157524393,1,5,0.446164192,0,0,0.202381293,0,2,0.892563722,1,3,0.318481702
70,0,2,0.678606309,2,6,1.471326622,0,0,0.654903708,-1,3,0.679896986,0,2,0.404700224,0,4,2.645751311,-1,3,0.696571852,1,5,1.702197324,0,6,1.583191109
71,1,1,0.184647156,1,5,1.555821266,0,0,0,1,5,1.07478284,-2,2,2.242419127,0,0,0.01607388,0,2,0.229906343,0,2,2.645751311,0,2,0.655304761
72,1,3,0.289974584,0,4,0.646647618,0,0,0,2,10,1.777129399,-1,5,0.608365653,0,0,0.03034603,1,5,0.301958412,-1,3,0.686188171,2,4,0.395481193
73,-1,3,0.679870681,0,0,0.431698945,0,0,0.408724337,4,12,1.141264857,0,0,0.403968202,-1,7,0.46975915,0,2,0.763624057,0,2,0.619097331,-3,5,1.014676778
74,0,6,0.293507547,-2,2,0.807637862,-3,9,1.44530328,-1,3,0.374097751,0,2,0.406659002,1,1,0.068804158,1,5,0.330408628,-2,2,0.801430397,0,6,0.919277296
75,0,2,0.161233804,0,2,0.499985984,0,0,0,1,11,1.040770568,0,0,0.403901935,-2,2,2.645751311,0,2,0.302042817,0,4,1.339675706,0,0,0.402727715
76,-1,3,0.201395075,1,5,0.458522944,0,12,1.761207934,2,2,1.516075527,0,0,0.404120128,-3,5,0.4449773,0,4,0.193014999,0,2,0.534862369,-1,7,0.613187468
77,0,2,0.193725362,0,4,0.133533183,1,11,1.788330736,0,2,0.616005898,0,0,0.403894556,1,1,0.133884426,1,5,0.117512741,-1,5,0.295348278,0,10,1.049800399
78,1,5,0.381107365,0,0,0.622734954,0,0,0.649792514,0,2,0.504534483,0,4,0.404206961,0,2,0.089795467,0,4,0.390940989,0,0,0.772303687,1,7,0.596205893
79,1,5,0.283384387,0,6,0.451181384,0,0,0,0,4,0.479766019,0,0,0.40424933,0,2,0.01685604,0,4,0.297252342,0,2,0.638807068,1,7,0.733796702
80,1,5,0.19665964,0,4,1.020019545,0,0,0,0,2,0.578094458,0,2,0.40809204,1,3,0.038777108,0,2,0.196515012,1,5,1.730074206,0,4,0.493830227
81,1,3,0.239941232,-1,1,0.450116177,1,7,1.624062618,0,0,0.447891725,0,4,0.404440578,0,2,0.024077867,1,5,0.391722368,-1,3,0.654061589,0,6,0.384461809
82,0,4,0.21655973,0,0,0.772594928,1,13,0.939172478,1,3,0.468458871,0,2,0.404941108,0,0,0.018066223,0,6,0.287894185,0,0,0.848623766,0,2,0.478392507
83,1,3,0.172880248,0,0,0.669559827,0,6,2.645751311,0,2,0.685405474,1,3,0.405142888,0,2,0.050331307,1,3,0.137039411,0,0,0.753843784,3,5,1.071983139
84,-1,5,0.55593368,-1,5,1.262330376,2,4,2.591570416,-1,3,0.6173396,0,2,0.408191488,-1,9,0.472258253,-1,3,0.595286621,-1,1,0.450427025,-2,8,0.726470745
85,3,5,0.591488638,1,1,0.482482025,0,0,0,4,12,1.720325887,0,0,0.404887432,0,0,0,3,5,0.670707766,0,4,0.804561065,0,4,0.613035265
86,0,0,0.24911686,1,5,0.399898884,0,4,2.645751311,2,6,1.006544693,0,0,0.404749125,0,2,0.015296041,1,1,0.281427386,1,5,0.919181522,1,7,0.769533026
87,0,8,0.602352366,-1,5,1.142368718,4,4,2.645751311,-1,3,0.306477733,-1,1,0.410183492,-2,6,0.951973719,1,9,0.629244958,1,5,0.766106625,0,4,1.27218497
88,0,4,0.274856313,0,2,0.436904387,-3,3,2.645751311,2,2,0.604254852,0,2,0.404066999,0,0,0.031500938,-1,1,0.164340904,0,6,0.819459975,0,6,1.254303007
89,2,6,0.292911687,0,4,0.849749961,0,4,2.645751311,0,6,0.645937303,0,0,0.406475293,0,2,0.019616665,1,3,0.269541007,0,2,0.771692204,2,6,0.976919759
90,3,7,0.547057133,1,3,1.222909249,0,6,1.839057874,0,2,0.235696586,0,2,0.405734696,2,4,0.955727546,3,7,0.793460623,0,6,1.187862776,-1,7,0.992545219
91,0,0,0.086727085,1,3,0.521726926,0,0,0,3,5,0.625516544,0,0,0.403882416,1,9,0.941760527,0,0,0.108663003,1,1,0.563901746,0,4,0.29202095
92,0,0,0.272633713,0,0,0.328047834,1,5,2.345004392,1,5,0.764712363,0,0,0.404047124,0,0,0.015150843,0,0,0.245842406,1,1,0.382616336,0,0,0.566659842
93,0,14,0.709190074,0,0,0.37549561,0,14,1.312302787,0,4,0.573003198,0,2,0.404092078,0,0,0,0,12,0.722902745,0,0,0.377914282,1,5,1.201701194
94,3,5,0.606099081,3,5,0.891367084,4,10,2.003144,2,12,1.368084751,2,4,0.447278808,0,8,0.446424821,3,5,0.669486829,3,5,0.739838165,3,5,0.528901932
95,1,3,0.231071875,0,6,0.786390608,0,4,2.645751311,0,4,0.740945077,0,2,0.405157817,0,0,0.020613349,0,2,0.197894402,1,5,0.808683881,1,3,0.706021114
96,1,3,0.453240778,0,4,0.968676151,0,6,2.645751311,2,10,0.866776501,0,2,0.404920234,3,3,2.645751311,1,5,0.61020276,0,12,2.274121354,1,5,0.625530426
97,0,4,1.131010253,0,0,0.262155522,-3,11,2.226400352,0,4,1.000404302,0,0,0.403988354,-3,11,0.937027816,0,6,1.276576775,-1,5,0.688887601,0,0,1.34060035
98,-1,3,0.280519074,1,5,0.882581842,0,12,1.36834922,1,5,1.094872464,0,0,0.404048349,0,4,0.094899725,0,2,0.256779079,1,3,0.73870489,-4,14,1.847526936
99,1,7,0.30462177,0,0,0.736351831,0,0,0.537304187,0,0,0.252636655,0,0,0.404211484,0,0,0.017434358,1,3,0.194953347,0,0,0.805239705,0,4,0.70249505
100,2,6,0.586501255,1,3,0.97743399,0,12,1.538116704,1,11,1.071074788,0,0,0.407305254,-1,1,0.099352451,2,8,0.746286177,0,2,0.803549938,0,4,0.702543398
101,0,4,0.256546309,-2,6,1.328309429,0,0,0,1,7,0.843975364,0,0,0.404459336,0,2,0.035314542,0,4,0.384255194,-1,11,1.561995278,-1,5,1.202009429
102,0,0,0.200279293,-1,3,0.558700475,-1,3,1.280668396,0,2,1.072900883,-1,1,0.405334803,0,0,0.042822961,0,0,0.218338659,-1,3,0.567700794,-2,4,0.842850302
103,1,3,0.260060379,0,6,1.183919562,0,0,0,-2,8,1.70692232,0,6,0.811925133,1,1,0.100312453,0,4,0.29802268,-1,5,1.714183713,0,0,0.527745589
104,0,4,0.288672664,0,6,2.024111755,0,0,0,2,6,1.487167303,0,6,0.622856402,0,2,0.021944405,0,2,0.331283196,0,4,2.126485617,1,3,0.488195962
105,0,2,0.225694741,2,4,1.044766171,2,2,2.645751311,4,8,1.149617779,3,5,0.614044952,0,2,0.010246616,0,0,0.209721482,2,6,1.184381737,0,4,0.985404129
106,1,3,0.276640155,0,2,0.406886934,0,12,2.372605809,0,6,0.987412998,-1,1,0.404563643,3,9,1.248165445,1,3,0.285805624,0,2,0.619263277,-2,8,0.668441275
107,2,4,0.360312201,0,0,0.375632539,3,3,2.645751311,-4,6,0.543532876,0,2,0.404171474,0,4,2.645751311,2,2,0.430461052,0,0,0.49718865,-1,9,0.642219287
108,3,5,0.384076944,0,2,0.39119282,0,4,2.645751311,0,10,0.851029985,0,0,0.403971627,3,9,0.940245481,2,2,0.319889103,0,0,0.421348325,0,6,0.801850272
109,-2,2,0.350359176,0,6,0.967198695,0,0,0,-3,9,1.810424371,0,8,1.306757198,-2,12,0.943817715,-1,3,0.333054714,-1,3,1.368276224,-1,7,0.909659396
110,0,2,0.223253697,0,2,0.447652757,0,0,0,0,2,0.306031104,0,0,0.404042637,0,0,0.035022058,0,2,0.199141655,1,3,0.42191144,2,8,0.479865797
111,0,4,0.29695796,0,2,1.220231038,0,0,0,0,2,2.645751311,0,8,1.679756322,0,4,0.050354064,0,8,0.273741844,0,4,1.533598212,0,2,1.084736965
112,3,7,0.780239654,0,0,0.45526974,0,0,0,0,8,1.020657978,0,6,0.404270318,1,1,0.029187572,3,7,0.764835602,0,2,0.485461382,3,7,1.277982067
113,0,0,0.165351796,0,0,0.376470933,3,5,0.847285745,0,2,0.399877366,-1,1,0.404140465,0,0,0.019819288,0,2,0.209592455,-1,1,0.385425967,0,0,0.416014059
114,-1,5,0.291796268,0,6,0.672972093,-3,9,1.785130619,0,4,0.788531056,0,0,0.405058425,-1,7,0.452707007,0,4,0.295225362,1,5,0.750039091,0,4,0.451933158
115,0,6,0.336850529,0,2,0.810931416,3,13,1.034375882,0,4,0.733123928,0,4,0.40545008,0,0,0,1,5,0.377063183,-3,7,0.866059253,-1,3,0.53710269
116,1,5,0.311275792,-1,5,0.95711459,0,0,0,0,0,0,-1,3,0.409110034,-2,8,0.942789663,1,5,0.331459042,-1,7,1.305519874,0,0,0.390469497
117,0,8,0.505657016,-2,6,1.056335675,0,12,1.387487363,-1,3,0.563822489,0,2,0.4057294,3,3,0.465067693,0,4,0.530693246,-4,14,2.105281254,2,8,0.836200371
118,1,5,0.398441332,0,0,0.452404126,0,0,0.518529034,0,6,0.590277135,1,1,0.404104867,0,4,2.645751311,2,6,0.393429132,0,0,0.615743969,0,8,1.551574188
119,0,4,0.24128153,1,3,0.552275,3,5,1.165347453,-1,5,0.60001353,0,4,0.404511384,-2,6,1.252252357,0,2,0.235552192,0,2,0.613480461,1,3,0.368165008
120,0,2,0.352388468,0,0,0.215320174,3,9,0.950125799,1,9,0.800314508,0,0,0.403933607,0,2,0.038565144,1,3,0.344352244,0,0,0.216042222,3,7,0.578929746
121,2,4,0.408658338,0,8,0.963859045,-3,7,2.375932171,0,0,0.203978552,0,0,0.405054586,1,5,0.449732077,2,4,0.325319928,1,7,1.270552508,1,3,1.003716475
122,0,4,0.263030316,1,3,0.613050474,0,6,2.645751311,0,0,0.440897579,0,0,0.404429348,0,0,0.048048645,0,8,0.32827677,1,1,0.685106421,0,4,0.34043112
123,-1,7,0.253822976,1,5,0.699918121,0,0,0,2,12,1.737555173,2,12,1.310004077,0,2,0.020741781,-1,7,0.230471007,0,6,0.921328052,0,6,0.547744361
124,0,0,0.218989589,-1,5,0.64275921,0,12,2.282170191,-2,2,0.462137794,0,0,0.405080408,-2,2,1.259088325,0,0,0.208918681,-1,3,0.678362933,0,4,0.562999389
125,-1,5,0.280475531,-2,4,0.765752524,-3,15,1.65512605,-1,3,0.458110364,0,0,0.405465658,1,3,0.109090023,-1,5,0.292483277,-1,3,0.641027611,-3,9,0.967643732
126,1,3,0.374314283,-1,5,0.969606981,0,6,1.613499783,-3,7,0.798971734,0,2,0.415222264,0,2,0.02661352,1,5,0.367969486,-1,7,1.011672258,-1,7,0.952128569
127,0,0,0.309248593,-1,7,0.991387159,0,4,2.645751311,1,1,0.409872169,0,0,0.405022846,3,3,0.687380827,1,1,0.35003975,-1,7,1.091267234,-1,3,0.818708804
128,1,7,0.810511587,0,2,0.767338592,0,0,0,3,3,1.889216302,0,4,2.271345174,0,0,0.039922584,1,7,0.949106679,1,3,0.787291289,-1,1,0.375796552
129,2,2,0.285590546,0,4,1.266770836,0,0,0,1,3,1.920682787,2,6,1.306158104,0,0,0.023070133,2,4,0.374358224,0,4,1.700921263,-1,5,0.961009756
130,-2,2,0.232711797,-1,1,0.460622149,-3,9,1.657746628,0,10,2.126050658,-1,1,0.404849898,0,6,2.645751311,-2,4,0.259284962,-1,1,0.496354949,0,6,0.481055494
131,0,2,0.372538705,0,2,0.52002466,2,10,0.811629257,0,6,0.65009673,0,0,0.404662874,3,7,1.728606999,0,4,0.424103062,1,5,0.618645608,0,0,0.612764175
132,-1,5,0.530827114,0,4,0.813152594,0,0,0,0,6,1.673708154,-1,7,0.620015707,0,0,0.065335434,-2,4,0.518123229,1,3,0.725857454,0,6,0.781265496
133,0,4,0.25237817,2,2,0.762856465,3,7,2.23927913,0,4,0.501737386,0,0,0.404106211,0,0,0.015566835,0,2,0.277089766,0,12,1.182607051,0,6,0.680265287
134,-1,7,0.859648432,0,0,0.173919949,1,1,0.971306359,2,6,0.856180925,0,2,0.404194354,1,7,0.691258311,0,2,0.524020228,0,0,0.358652217,0,4,1.115140731
135,0,8,0.336532811,2,8,1.065918399,0,0,0,0,6,1.955195798,0,0,0.406229105,0,6,1.256146947,-1,5,0.326368511,2,8,1.096480634,2,4,0.858152156
136,0,2,0.538247303,3,9,0.838213533,0,0,0,2,4,0.524956437,1,1,0.412582544,0,10,1.295330461,0,2,0.656515055,3,7,0.731113199,2,10,1.403634689
137,-2,8,0.408380734,0,2,0.39178377,1,5,0.87296194,4,8,0.74500815,0,4,0.404008197,0,12,1.249249512,0,2,0.195008889,0,4,0.68689814,-1,11,1.479372109
138,0,6,0.472817508,-1,1,0.305198389,-3,15,1.730359947,0,4,0.506124238,0,0,0.404212671,0,2,0.066207955,0,4,0.481219151,0,2,0.442320127,0,4,0.409960966
139,1,3,0.302036131,1,3,0.611535377,-3,3,1.480895895,0,2,0.489100945,0,2,0.405232866,0,0,0.034622769,1,3,0.19907506,1,7,0.717483928,0,2,0.698962665
140,0,0,0.435833061,0,0,0.38004105,0,0,0.593381142,-1,5,1.436266853,0,0,0.404185058,-1,9,1.28342733,0,0,0.467669955,-1,9,1.069666869,-1,7,0.930879099
141,2,2,0.354890697,-1,1,0.746396511,0,0,0,0,2,2.645751311,0,4,2.227753001,0,10,1.27420352,2,4,0.404274973,0,2,2.645751311,0,4,0.317677334
143,2,2,0.265866505,0,2,0.825747054,0,0,0,3,5,1.622702666,-2,2,0.620149646,0,0,0.018738282,1,3,0.211964771,-1,3,0.668245574,2,4,0.542976237
144,0,0,0.513399865,4,10,1.381919547,0,6,2.274185953,2,10,1.95410421,3,9,0.81266227,3,3,0.686865315,0,0,0.53182438,4,12,1.377742381,0,2,0.849345533
145,1,3,0.295989084,0,0,0.885010505,1,7,1.759298263,0,6,0.869378921,1,3,0.405685977,-3,9,1.708430459,0,2,0.160465289,0,2,0.508201782,3,7,1.075228
146,0,6,1.495432097,-1,1,0.64310522,0,0,0.256550689,0,0,0.331739831,-1,3,0.404063397,0,0,0,0,0,0.578454973,-1,1,0.676080909,-1,7,2.328479289
147,0,0,0.277812856,-1,1,0.407844425,-1,3,0.87085714,0,0,0.385885741,-1,3,0.404357461,0,2,0.026109601,0,2,0.310029748,-1,3,0.443479123,0,2,0.586124755
148,1,3,0.232489243,0,2,2.645751311,0,0,0,0,0,0,0,6,2.293323832,0,4,1.709172078,0,4,0.250533114,0,4,2.645751311,1,3,0.241747314
149,-1,7,0.28598663,0,6,0.668867457,0,10,2.220312177,4,4,0.864444902,0,0,0.40458619,1,1,0.050625336,0,4,0.279838109,0,4,0.842550159,0,6,1.286298844
