,고객번호,성별,연령대,이용횟수,경쟁사이용횟수,멤버쉽보유
53,55,F,60세이상,0.0,0.0,0.0
54,56,F,60세이상,0.0,2.0,0.0
55,57,F,60세이상,0.0,0.0,0.0
56,58,F,60세이상,0.0,0.0,0.0
57,59,F,60세이상,0.0,1.0,0.0
58,60,F,60세이상,0.0,1.0,0.0
59,61,F,60세이상,0.0,3.0,1.0
60,62,F,60세이상,0.0,6.0,0.0
61,63,F,60세이상,0.0,0.0,0.0
62,64,M,60세이상,0.0,0.0,0.0
63,65,F,60세이상,0.0,2.0,1.0
64,66,F,60세이상,0.0,0.0,0.0
65,67,F,60세이상,0.0,0.0,0.0
66,68,M,60세이상,0.0,1.0,0.0
67,69,F,60세이상,0.0,0.0,1.0
68,70,M,60세이상,0.0,33.0,0.0
69,71,F,60세이상,0.0,0.0,0.0
70,72,F,60세이상,0.0,0.0,0.0
71,73,F,60세이상,0.0,0.0,0.0
72,74,F,60세이상,42.0,3.0,0.0
73,75,M,60세이상,0.0,0.0,0.0
74,76,F,60세이상,0.0,0.0,1.0
75,77,F,60세이상,0.0,13.0,0.0
76,78,F,60세이상,0.0,0.0,0.0
77,79,F,60세이상,0.0,5.0,1.0
78,80,F,60세이상,0.0,0.0,0.0
79,81,F,60세이상,0.0,0.0,0.0
80,82,F,60세이상,0.0,0.0,0.0
81,83,F,60세이상,0.0,1.0,1.0
82,84,F,60세이상,0.0,0.0,0.0
83,85,F,60세이상,0.0,6.0,0.0
84,86,F,60세이상,0.0,0.0,0.0
85,87,M,60세이상,0.0,1.0,1.0
86,88,F,60세이상,0.0,14.0,0.0
87,89,F,60세이상,0.0,4.0,0.0
88,90,F,60세이상,0.0,1.0,0.0
89,91,F,60세이상,0.0,0.0,0.0
90,92,F,60세이상,0.0,0.0,0.0
91,93,F,60세이상,0.0,1.0,0.0
92,94,F,60세이상,14.0,0.0,1.0
93,95,M,60세이상,0.0,0.0,0.0
94,96,F,60세이상,0.0,1.0,1.0
95,97,M,60세이상,0.0,0.0,0.0
96,98,F,60세이상,0.0,0.0,1.0
97,99,F,60세이상,0.0,0.0,1.0
98,100,F,60세이상,0.0,0.0,1.0
99,101,F,60세이상,0.0,5.0,1.0
100,102,F,60세이상,0.0,13.0,0.0
101,103,F,60세이상,0.0,0.0,0.0
102,104,F,60세이상,0.0,0.0,0.0
103,105,M,60세이상,0.0,0.0,0.0
104,106,F,60세이상,0.0,0.0,0.0
105,107,F,60세이상,0.0,2.0,0.0
106,108,F,60세이상,0.0,0.0,0.0
107,109,F,60세이상,0.0,0.0,0.0
108,110,M,60세이상,0.0,2.0,0.0
109,111,F,60세이상,0.0,0.0,0.0
110,112,F,60세이상,17.0,6.0,1.0
111,113,F,60세이상,0.0,9.0,0.0
112,114,F,60세이상,0.0,2.0,0.0
113,115,F,60세이상,0.0,10.0,0.0
114,116,F,60세이상,0.0,0.0,0.0
115,117,F,60세이상,0.0,2.0,1.0
116,118,F,60세이상,0.0,2.0,0.0
117,119,M,60세이상,0.0,3.0,0.0
118,120,F,60세이상,0.0,0.0,0.0
119,121,F,60세이상,0.0,4.0,0.0
120,122,F,60세이상,27.0,0.0,0.0
121,123,F,60세이상,10.0,0.0,0.0
122,124,F,60세이상,0.0,0.0,0.0
123,125,F,60세이상,0.0,0.0,1.0
124,126,F,60세이상,0.0,0.0,0.0
125,127,F,60세이상,0.0,1.0,0.0
126,128,F,60세이상,0.0,0.0,0.0
127,129,F,60세이상,8.0,0.0,0.0
128,130,F,60세이상,0.0,3.0,0.0
129,131,F,60세이상,0.0,0.0,1.0
130,132,F,60세이상,0.0,11.0,0.0
131,133,M,60세이상,0.0,0.0,0.0
132,134,F,60세이상,0.0,1.0,0.0
133,135,F,60세이상,0.0,0.0,0.0
134,136,F,60세이상,0.0,10.0,1.0
135,137,F,60세이상,0.0,0.0,0.0
136,138,M,60세이상,4.0,1.0,1.0
137,139,M,60세이상,0.0,6.0,0.0
138,140,F,60세이상,0.0,0.0,0.0
139,141,F,60세이상,0.0,0.0,0.0
140,143,F,60세이상,0.0,0.0,0.0
141,144,F,60세이상,0.0,0.0,0.0
142,145,F,60세이상,0.0,0.0,0.0
143,146,F,60세이상,0.0,0.0,0.0
144,147,M,60세이상,0.0,1.0,0.0
145,148,F,60세이상,0.0,10.0,0.0
146,149,F,60세이상,0.0,13.0,0.0
147,150,F,60세이상,0.0,0.0,0.0
148,151,M,60세이상,0.0,0.0,0.0
149,152,F,60세이상,0.0,1.0,0.0
150,153,F,60세이상,0.0,0.0,0.0
151,154,M,60세이상,0.0,12.0,0.0
152,155,M,60세이상,0.0,12.0,0.0
153,156,F,60세이상,0.0,0.0,0.0
154,157,F,60세이상,0.0,6.0,0.0
155,158,M,60세이상,0.0,0.0,1.0
156,159,F,60세이상,0.0,1.0,0.0
157,160,F,60세이상,0.0,0.0,0.0
158,161,F,60세이상,0.0,3.0,1.0
159,162,F,60세이상,0.0,1.0,0.0
160,163,F,60세이상,0.0,5.0,0.0
161,164,M,60세이상,0.0,0.0,0.0
162,165,M,60세이상,0.0,0.0,0.0
163,166,M,60세이상,0.0,32.0,1.0
164,167,F,60세이상,0.0,0.0,0.0
165,168,F,60세이상,0.0,0.0,0.0
166,169,F,60세이상,0.0,0.0,0.0
167,170,F,60세이상,0.0,0.0,0.0
168,171,F,60세이상,0.0,1.0,0.0
169,172,F,60세이상,0.0,0.0,1.0
170,173,F,60세이상,0.0,9.0,0.0
171,175,F,60세이상,0.0,0.0,0.0
172,176,F,60세이상,0.0,11.0,0.0
173,177,F,60세이상,0.0,0.0,0.0
174,178,F,60세이상,0.0,0.0,0.0
175,179,F,60세이상,0.0,14.0,0.0
176,180,F,60세이상,0.0,1.0,0.0
177,181,F,60세이상,0.0,3.0,0.0
178,182,F,60세이상,0.0,0.0,0.0
179,183,F,60세이상,0.0,2.0,0.0
180,184,F,60세이상,0.0,0.0,0.0
181,185,F,60세이상,0.0,0.0,1.0
182,186,F,60세이상,0.0,0.0,0.0
183,187,F,60세이상,0.0,0.0,1.0
184,188,F,60세이상,0.0,11.0,0.0
185,189,F,60세이상,0.0,2.0,0.0
186,190,M,60세이상,0.0,0.0,1.0
187,191,F,60세이상,0.0,1.0,1.0
188,192,F,60세이상,0.0,0.0,1.0
189,193,F,60세이상,2.0,1.0,1.0
190,194,F,60세이상,0.0,0.0,1.0
191,195,M,60세이상,0.0,3.0,1.0
192,196,F,60세이상,0.0,0.0,0.0
193,197,F,60세이상,0.0,1.0,0.0
194,198,F,60세이상,3.0,0.0,1.0
195,199,F,60세이상,0.0,0.0,1.0
196,200,F,60세이상,0.0,0.0,0.0
197,201,F,60세이상,0.0,5.0,0.0
198,202,F,60세이상,0.0,0.0,0.0
199,203,F,60세이상,0.0,0.0,0.0
200,204,F,60세이상,0.0,0.0,1.0
201,205,F,60세이상,4.0,0.0,1.0
202,206,M,60세이상,8.0,4.0,0.0
203,207,F,60세이상,0.0,5.0,1.0
204,208,F,60세이상,0.0,0.0,0.0
205,209,F,60세이상,0.0,8.0,0.0
206,210,F,60세이상,5.0,0.0,0.0
207,211,F,60세이상,0.0,0.0,0.0
208,212,F,60세이상,0.0,0.0,1.0
209,213,F,60세이상,0.0,0.0,1.0
210,214,F,60세이상,0.0,13.0,0.0
211,215,F,60세이상,7.0,4.0,1.0
212,216,F,60세이상,0.0,1.0,0.0
213,217,F,60세이상,0.0,4.0,0.0
214,218,F,60세이상,0.0,10.0,0.0
215,219,F,60세이상,0.0,5.0,0.0
216,220,M,60세이상,17.0,0.0,1.0
217,221,F,60세이상,41.0,0.0,0.0
218,222,F,60세이상,0.0,0.0,1.0
219,223,M,60세이상,0.0,0.0,0.0
220,224,M,60세이상,0.0,0.0,0.0
221,225,F,60세이상,6.0,3.0,0.0
222,226,M,60세이상,0.0,0.0,0.0
223,227,F,60세이상,0.0,0.0,0.0
224,228,F,60세이상,0.0,0.0,1.0
225,229,F,60세이상,0.0,1.0,0.0
226,230,F,60세이상,0.0,0.0,0.0
227,231,F,60세이상,0.0,1.0,0.0
228,232,F,60세이상,0.0,4.0,1.0
229,233,F,60세이상,0.0,0.0,0.0
230,234,M,60세이상,0.0,0.0,0.0
231,235,F,60세이상,0.0,0.0,0.0
232,236,F,60세이상,0.0,0.0,0.0
233,237,F,60세이상,0.0,0.0,0.0
234,238,F,60세이상,0.0,0.0,0.0
235,239,F,60세이상,0.0,0.0,0.0
236,240,M,60세이상,0.0,31.0,0.0
237,241,M,60세이상,1.0,0.0,0.0
238,242,M,60세이상,42.0,0.0,1.0
239,243,M,60세이상,0.0,0.0,0.0
240,245,F,60세이상,0.0,0.0,0.0
241,246,M,60세이상,0.0,0.0,0.0
242,247,F,60세이상,0.0,0.0,0.0
243,248,M,60세이상,12.0,0.0,0.0
244,249,F,60세이상,0.0,6.0,0.0
245,250,F,60세이상,0.0,3.0,0.0
246,251,F,60세이상,0.0,5.0,0.0
247,252,F,60세이상,0.0,2.0,0.0
248,253,M,60세이상,0.0,0.0,0.0
249,254,F,60세이상,0.0,5.0,0.0
250,255,F,60세이상,93.0,0.0,0.0
251,256,F,60세이상,0.0,1.0,0.0
252,257,F,60세이상,0.0,0.0,1.0
253,258,F,60세이상,0.0,4.0,0.0
254,259,M,60세이상,0.0,0.0,0.0
255,260,F,60세이상,23.0,0.0,0.0
256,261,M,60세이상,0.0,0.0,0.0
257,262,F,60세이상,0.0,4.0,0.0
258,263,F,60세이상,0.0,0.0,0.0
259,264,F,60세이상,0.0,0.0,1.0
260,265,F,60세이상,0.0,0.0,1.0
261,266,F,60세이상,0.0,0.0,0.0
262,267,F,60세이상,0.0,0.0,1.0
263,268,F,60세이상,0.0,7.0,0.0
264,269,F,60세이상,0.0,0.0,0.0
265,270,F,60세이상,0.0,0.0,0.0
266,271,F,60세이상,0.0,6.0,0.0
267,272,F,60세이상,27.0,1.0,0.0
268,273,M,60세이상,0.0,7.0,0.0
269,274,F,60세이상,0.0,0.0,0.0
270,275,M,60세이상,0.0,4.0,0.0
271,276,M,60세이상,0.0,0.0,0.0
272,277,F,60세이상,0.0,5.0,0.0
273,278,M,60세이상,0.0,0.0,0.0
274,279,F,60세이상,0.0,0.0,1.0
275,280,M,60세이상,0.0,0.0,0.0
276,281,M,60세이상,0.0,0.0,0.0
277,282,F,60세이상,0.0,10.0,0.0
278,283,F,60세이상,0.0,0.0,0.0
279,284,M,60세이상,0.0,0.0,1.0
280,285,F,60세이상,0.0,1.0,0.0
281,286,F,60세이상,0.0,0.0,0.0
282,287,F,60세이상,27.0,0.0,0.0
283,288,F,60세이상,0.0,0.0,0.0
284,289,M,60세이상,0.0,3.0,0.0
285,290,F,60세이상,8.0,0.0,0.0
286,291,M,60세이상,0.0,0.0,0.0
287,292,F,60세이상,0.0,1.0,0.0
288,293,F,60세이상,0.0,0.0,0.0
289,294,F,60세이상,0.0,2.0,1.0
290,295,M,60세이상,0.0,0.0,0.0
291,296,F,60세이상,0.0,3.0,0.0
292,297,F,60세이상,0.0,0.0,0.0
293,298,F,60세이상,12.0,0.0,1.0
294,299,F,60세이상,0.0,0.0,0.0
295,300,F,60세이상,32.0,0.0,1.0
296,301,F,60세이상,0.0,16.0,0.0
297,302,F,60세이상,0.0,1.0,0.0
298,303,F,60세이상,0.0,3.0,0.0
299,304,F,60세이상,2.0,0.0,0.0
300,305,F,60세이상,0.0,0.0,0.0
301,306,M,60세이상,0.0,1.0,0.0
302,307,M,60세이상,0.0,0.0,0.0
303,308,F,60세이상,0.0,8.0,0.0
304,309,F,60세이상,0.0,0.0,0.0
305,310,F,60세이상,0.0,1.0,1.0
306,311,F,60세이상,1.0,1.0,1.0
307,312,F,60세이상,0.0,1.0,1.0
308,313,M,60세이상,0.0,3.0,1.0
309,314,F,60세이상,0.0,20.0,0.0
310,315,M,60세이상,0.0,0.0,0.0
311,316,F,60세이상,0.0,0.0,0.0
312,317,F,60세이상,0.0,6.0,0.0
313,318,F,60세이상,0.0,0.0,0.0
314,319,F,60세이상,0.0,0.0,0.0
315,320,F,60세이상,0.0,3.0,0.0
316,321,F,60세이상,0.0,1.0,0.0
317,322,M,60세이상,0.0,1.0,1.0
318,323,F,60세이상,0.0,0.0,0.0
319,324,F,60세이상,0.0,1.0,1.0
320,325,F,60세이상,19.0,20.0,1.0
321,326,M,60세이상,1.0,1.0,1.0
322,327,F,60세이상,0.0,0.0,0.0
323,328,F,60세이상,0.0,1.0,0.0
324,329,F,60세이상,0.0,0.0,1.0
325,330,M,60세이상,0.0,0.0,0.0
326,331,F,60세이상,0.0,1.0,1.0
327,332,F,60세이상,0.0,4.0,0.0
328,333,F,60세이상,38.0,0.0,1.0
329,334,F,60세이상,0.0,0.0,0.0
330,335,F,60세이상,0.0,0.0,0.0
331,336,F,60세이상,53.0,1.0,0.0
332,337,M,60세이상,0.0,0.0,0.0
333,338,F,60세이상,0.0,0.0,0.0
334,339,F,60세이상,0.0,0.0,1.0
335,340,F,60세이상,0.0,0.0,0.0
336,341,F,60세이상,0.0,0.0,0.0
337,342,F,60세이상,0.0,0.0,0.0
338,343,F,60세이상,0.0,0.0,0.0
339,344,F,60세이상,1.0,5.0,0.0
340,345,F,60세이상,0.0,0.0,0.0
341,346,F,60세이상,0.0,0.0,0.0
342,347,F,60세이상,0.0,7.0,0.0
343,348,M,60세이상,0.0,0.0,0.0
344,349,F,60세이상,0.0,23.0,0.0
345,350,F,60세이상,0.0,0.0,0.0
346,351,F,60세이상,0.0,1.0,1.0
347,352,F,60세이상,0.0,1.0,0.0
348,353,F,60세이상,25.0,0.0,0.0
349,354,F,60세이상,0.0,0.0,1.0
350,355,F,60세이상,0.0,0.0,0.0
351,356,F,60세이상,0.0,15.0,0.0
352,357,F,60세이상,1.0,0.0,0.0
353,358,F,60세이상,0.0,0.0,0.0
354,359,F,60세이상,0.0,5.0,1.0
355,360,M,60세이상,0.0,1.0,0.0
356,361,F,60세이상,0.0,1.0,1.0
357,362,F,60세이상,0.0,0.0,1.0
358,363,F,60세이상,0.0,0.0,0.0
359,364,F,60세이상,0.0,0.0,1.0
360,365,M,60세이상,0.0,6.0,0.0
361,366,M,60세이상,0.0,0.0,1.0
362,367,F,60세이상,0.0,19.0,0.0
363,368,F,60세이상,0.0,1.0,0.0
364,369,M,60세이상,0.0,2.0,0.0
365,370,F,60세이상,16.0,6.0,1.0
366,371,F,60세이상,0.0,3.0,1.0
367,372,F,60세이상,0.0,0.0,0.0
368,373,F,60세이상,0.0,10.0,0.0
369,374,F,60세이상,0.0,19.0,0.0
370,375,F,60세이상,0.0,6.0,0.0
371,376,F,60세이상,4.0,0.0,0.0
372,377,F,60세이상,1.0,2.0,0.0
373,378,F,60세이상,0.0,0.0,0.0
374,379,F,60세이상,0.0,0.0,0.0
375,380,F,60세이상,0.0,2.0,0.0
376,381,F,60세이상,0.0,0.0,0.0
377,382,M,60세이상,0.0,0.0,0.0
378,383,M,60세이상,0.0,2.0,0.0
379,384,F,60세이상,0.0,0.0,0.0
380,385,F,60세이상,10.0,0.0,0.0
381,386,F,60세이상,9.0,0.0,0.0
382,387,F,60세이상,16.0,0.0,0.0
383,388,F,60세이상,0.0,0.0,0.0
384,389,M,60세이상,0.0,5.0,0.0
385,390,F,60세이상,0.0,0.0,0.0
386,391,F,60세이상,0.0,0.0,0.0
387,392,F,60세이상,0.0,0.0,0.0
388,393,F,60세이상,0.0,1.0,0.0
389,394,F,60세이상,0.0,3.0,0.0
390,395,F,60세이상,1.0,0.0,1.0
391,396,F,60세이상,0.0,0.0,0.0
392,397,M,60세이상,0.0,0.0,0.0
393,398,F,60세이상,0.0,0.0,0.0
394,399,F,60세이상,0.0,0.0,0.0
395,400,F,60세이상,0.0,0.0,0.0
396,401,M,60세이상,0.0,6.0,0.0
397,402,F,60세이상,0.0,10.0,0.0
398,403,M,60세이상,124.0,0.0,0.0
399,404,F,60세이상,0.0,0.0,0.0
400,405,F,60세이상,0.0,25.0,0.0
401,406,M,60세이상,49.0,0.0,0.0
402,407,M,60세이상,0.0,0.0,0.0
403,408,M,60세이상,0.0,0.0,0.0
404,409,F,60세이상,0.0,0.0,1.0
405,410,F,60세이상,0.0,3.0,0.0
406,411,F,60세이상,0.0,0.0,0.0
407,412,F,60세이상,0.0,0.0,0.0
408,413,F,60세이상,0.0,0.0,1.0
409,414,F,60세이상,0.0,0.0,0.0
410,415,F,60세이상,0.0,0.0,0.0
411,416,M,60세이상,8.0,2.0,0.0
412,417,F,60세이상,0.0,2.0,0.0
413,418,F,60세이상,18.0,0.0,0.0
414,419,F,60세이상,0.0,7.0,0.0
415,420,F,60세이상,0.0,0.0,0.0
416,421,F,60세이상,0.0,5.0,0.0
417,422,F,60세이상,0.0,3.0,1.0
418,423,F,60세이상,0.0,4.0,0.0
419,424,M,60세이상,0.0,0.0,1.0
420,425,F,60세이상,6.0,0.0,1.0
421,426,F,60세이상,0.0,1.0,0.0
422,427,F,60세이상,0.0,0.0,0.0
423,428,F,60세이상,0.0,4.0,0.0
424,429,F,60세이상,0.0,0.0,0.0
425,430,F,60세이상,0.0,2.0,0.0
426,431,F,60세이상,0.0,0.0,1.0
427,432,F,60세이상,6.0,0.0,0.0
428,433,M,60세이상,0.0,4.0,0.0
429,434,F,60세이상,0.0,1.0,0.0
430,435,F,60세이상,0.0,0.0,0.0
431,436,M,60세이상,0.0,0.0,0.0
432,437,F,60세이상,0.0,0.0,0.0
433,438,F,60세이상,0.0,4.0,0.0
434,439,F,60세이상,0.0,0.0,0.0
435,440,F,60세이상,8.0,2.0,0.0
436,441,F,60세이상,0.0,0.0,0.0
437,442,F,60세이상,0.0,0.0,0.0
438,443,F,60세이상,0.0,0.0,0.0
439,444,M,60세이상,1.0,0.0,1.0
440,445,F,60세이상,0.0,4.0,0.0
441,446,F,60세이상,42.0,2.0,1.0
442,447,M,60세이상,0.0,0.0,0.0
443,448,F,60세이상,1.0,0.0,0.0
444,449,F,60세이상,30.0,6.0,1.0
445,450,F,60세이상,0.0,4.0,0.0
446,451,M,60세이상,12.0,0.0,0.0
447,452,F,60세이상,0.0,0.0,0.0
448,453,M,60세이상,0.0,6.0,0.0
449,454,F,60세이상,0.0,1.0,1.0
450,455,F,60세이상,0.0,0.0,0.0
451,456,F,60세이상,4.0,0.0,1.0
452,457,F,60세이상,171.0,0.0,0.0
453,458,F,60세이상,0.0,1.0,1.0
454,459,F,60세이상,0.0,0.0,0.0
455,461,F,60세이상,0.0,0.0,1.0
456,462,F,60세이상,0.0,13.0,0.0
457,463,F,60세이상,0.0,0.0,0.0
458,464,F,60세이상,9.0,4.0,0.0
459,465,M,60세이상,11.0,5.0,1.0
460,466,F,60세이상,0.0,0.0,0.0
461,467,F,60세이상,3.0,0.0,1.0
462,468,F,60세이상,0.0,0.0,0.0
463,469,F,60세이상,0.0,7.0,0.0
464,470,F,60세이상,0.0,1.0,0.0
465,471,F,60세이상,0.0,0.0,0.0
466,472,M,60세이상,0.0,1.0,0.0
467,473,F,60세이상,0.0,1.0,0.0
468,474,F,60세이상,0.0,3.0,1.0
469,475,F,60세이상,11.0,0.0,0.0
470,476,F,60세이상,0.0,0.0,0.0
471,477,M,60세이상,60.0,2.0,0.0
472,478,F,60세이상,0.0,1.0,0.0
473,479,F,60세이상,6.0,0.0,0.0
474,480,F,60세이상,0.0,1.0,0.0
475,481,F,60세이상,0.0,0.0,1.0
476,482,F,60세이상,0.0,0.0,0.0
477,483,F,60세이상,0.0,0.0,0.0
478,484,F,60세이상,0.0,0.0,0.0
479,485,F,60세이상,0.0,0.0,0.0
480,486,F,60세이상,0.0,2.0,0.0
481,487,F,60세이상,20.0,0.0,0.0
482,488,F,60세이상,0.0,0.0,0.0
483,489,F,60세이상,0.0,0.0,0.0
484,490,F,60세이상,0.0,0.0,0.0
485,491,F,60세이상,0.0,0.0,1.0
486,492,F,60세이상,0.0,20.0,0.0
487,493,F,60세이상,0.0,1.0,1.0
488,494,M,60세이상,0.0,7.0,0.0
489,495,F,60세이상,0.0,0.0,1.0
490,496,F,60세이상,0.0,0.0,0.0
491,497,F,60세이상,0.0,0.0,1.0
492,498,F,60세이상,2.0,0.0,0.0
493,499,F,60세이상,0.0,0.0,1.0
494,500,F,60세이상,0.0,13.0,0.0
495,501,F,60세이상,0.0,0.0,0.0
496,502,F,60세이상,0.0,1.0,0.0
497,503,F,60세이상,0.0,4.0,1.0
498,504,F,60세이상,0.0,0.0,0.0
499,505,F,60세이상,0.0,1.0,1.0
500,506,F,60세이상,0.0,11.0,0.0
501,507,M,60세이상,0.0,21.0,1.0
502,508,M,60세이상,0.0,1.0,0.0
503,509,F,60세이상,0.0,7.0,0.0
504,510,F,60세이상,0.0,0.0,0.0
505,511,F,60세이상,0.0,0.0,1.0
506,512,F,60세이상,15.0,6.0,1.0
507,513,F,60세이상,0.0,1.0,0.0
508,514,F,60세이상,0.0,4.0,0.0
509,515,F,60세이상,0.0,0.0,0.0
510,516,F,60세이상,0.0,1.0,1.0
511,517,M,60세이상,0.0,0.0,0.0
512,518,F,60세이상,1.0,0.0,0.0
513,519,F,60세이상,0.0,3.0,0.0
514,520,M,60세이상,0.0,0.0,0.0
515,521,F,60세이상,0.0,5.0,1.0
516,522,F,60세이상,0.0,0.0,1.0
517,523,F,60세이상,0.0,0.0,1.0
518,524,F,60세이상,38.0,0.0,1.0
519,525,F,60세이상,0.0,1.0,0.0
520,526,F,60세이상,0.0,1.0,1.0
521,527,F,60세이상,0.0,0.0,0.0
522,528,F,60세이상,0.0,6.0,0.0
523,529,F,60세이상,4.0,0.0,1.0
524,530,M,60세이상,0.0,0.0,1.0
525,531,M,60세이상,0.0,0.0,1.0
526,532,F,60세이상,0.0,0.0,0.0
527,533,M,60세이상,0.0,0.0,0.0
528,534,F,60세이상,0.0,0.0,0.0
529,535,F,60세이상,12.0,1.0,0.0
530,536,F,60세이상,0.0,0.0,0.0
531,537,F,60세이상,0.0,0.0,1.0
532,538,F,60세이상,0.0,2.0,0.0
533,539,F,60세이상,0.0,1.0,1.0
534,540,F,60세이상,7.0,0.0,0.0
535,541,F,60세이상,0.0,4.0,1.0
536,542,F,60세이상,0.0,0.0,0.0
537,543,M,60세이상,0.0,0.0,0.0
538,544,F,60세이상,7.0,8.0,0.0
539,545,F,60세이상,0.0,0.0,0.0
540,546,F,60세이상,0.0,0.0,1.0
541,547,M,60세이상,0.0,8.0,0.0
542,548,F,60세이상,0.0,0.0,1.0
543,549,F,60세이상,1.0,16.0,0.0
544,550,M,60세이상,0.0,1.0,0.0
545,551,F,60세이상,0.0,13.0,0.0
546,552,F,60세이상,0.0,29.0,0.0
547,553,M,60세이상,0.0,5.0,0.0
548,554,F,60세이상,0.0,0.0,1.0
549,555,F,60세이상,10.0,0.0,0.0
550,556,F,60세이상,0.0,9.0,0.0
551,557,F,60세이상,0.0,2.0,0.0
552,558,F,60세이상,0.0,1.0,0.0
553,559,M,60세이상,0.0,8.0,0.0
554,560,F,60세이상,0.0,1.0,0.0
555,561,F,60세이상,0.0,0.0,0.0
556,562,F,60세이상,0.0,0.0,0.0
557,563,F,60세이상,0.0,1.0,0.0
558,564,F,60세이상,0.0,0.0,0.0
559,565,F,60세이상,0.0,0.0,0.0
560,566,F,60세이상,0.0,4.0,0.0
561,567,F,60세이상,0.0,2.0,0.0
562,568,F,60세이상,0.0,0.0,0.0
563,569,M,60세이상,2.0,1.0,1.0
564,570,M,60세이상,0.0,0.0,0.0
565,571,F,60세이상,0.0,5.0,1.0
566,572,F,60세이상,0.0,11.0,0.0
567,573,F,60세이상,0.0,0.0,1.0
568,574,F,60세이상,15.0,1.0,0.0
569,575,F,60세이상,0.0,0.0,0.0
570,576,F,60세이상,0.0,0.0,1.0
571,577,F,60세이상,14.0,0.0,0.0
572,578,F,60세이상,0.0,9.0,0.0
573,579,M,60세이상,0.0,0.0,1.0
574,580,F,60세이상,0.0,0.0,0.0
575,581,F,60세이상,0.0,0.0,1.0
576,582,F,60세이상,0.0,10.0,0.0
577,583,F,60세이상,0.0,0.0,0.0
578,584,F,60세이상,0.0,0.0,0.0
579,585,F,60세이상,0.0,0.0,1.0
580,586,F,60세이상,0.0,1.0,0.0
581,587,F,60세이상,0.0,0.0,0.0
582,588,F,60세이상,0.0,5.0,0.0
583,589,F,60세이상,0.0,0.0,0.0
584,590,F,60세이상,0.0,0.0,0.0
585,591,F,60세이상,0.0,0.0,0.0
586,592,M,60세이상,0.0,0.0,0.0
587,593,F,60세이상,0.0,2.0,0.0
588,594,F,60세이상,0.0,0.0,0.0
589,595,F,60세이상,0.0,0.0,0.0
590,596,F,60세이상,0.0,0.0,0.0
591,597,F,60세이상,0.0,9.0,0.0
592,598,F,60세이상,0.0,3.0,0.0
593,599,F,60세이상,0.0,0.0,0.0
594,600,M,60세이상,0.0,0.0,0.0
595,601,F,60세이상,0.0,0.0,1.0
596,602,M,60세이상,0.0,12.0,0.0
597,603,F,60세이상,0.0,0.0,0.0
598,604,F,60세이상,1.0,2.0,0.0
599,605,F,60세이상,0.0,0.0,0.0
600,606,F,60세이상,0.0,15.0,1.0
601,607,F,60세이상,0.0,1.0,0.0
602,608,F,60세이상,0.0,0.0,0.0
603,609,F,60세이상,24.0,1.0,1.0
604,610,F,60세이상,0.0,0.0,0.0
