고객번호,1기구매등급,2기구매등급,3기구매등급,4기구매등급,5기구매등급,6기구매등급,7기구매등급,8기구매등급,1기구매횟수,2기구매횟수,3기구매횟수,4기구매횟수,5기구매횟수,6기구매횟수,7기구매횟수,8기구매횟수
111,10,10,9,10,10,10,10,10,195,180,175,183,171,240,209,216
112,1,3,2,2,2,2,1,1,55,72,132,112,112,141,194,105
113,1,1,1,1,1,1,2,2,184,237,234,239,209,204,224,135
114,6,3,3,4,4,3,8,6,147,107,72,72,104,131,87,93
115,5,2,2,2,1,1,4,2,69,105,88,58,71,113,45,45
116,9,8,9,10,9,8,10,8,145,288,235,214,214,239,172,247
117,2,7,1,2,3,3,4,3,142,130,173,164,183,256,101,171
118,2,2,1,1,1,1,1,1,63,75,113,125,97,69,76,94
119,3,1,2,2,1,2,2,5,93,176,143,119,177,113,117,42
120,1,1,1,1,1,1,1,1,112,177,189,144,130,146,179,92
121,4,7,10,5,3,8,5,3,92,69,76,144,125,111,155,134
122,4,3,3,4,2,2,2,3,58,135,194,122,171,167,175,194
123,6,9,7,8,7,8,8,8,272,158,203,196,215,231,195,216
124,2,4,3,4,6,2,7,2,77,70,98,72,64,113,70,119
125,4,6,6,8,7,4,10,5,112,150,103,95,119,90,41,140
126,3,9,9,2,2,3,5,2,173,132,158,189,196,312,216,172
127,9,9,8,10,8,10,10,8,57,79,83,48,120,81,105,89
128,8,9,4,10,10,9,8,10,94,104,93,99,71,176,126,34
129,10,9,10,9,10,9,8,9,97,122,107,128,115,115,179,143
130,1,2,2,3,2,3,7,5,147,147,164,182,140,137,74,65
131,4,2,2,5,4,3,3,4,322,293,408,150,235,246,333,233
132,7,8,7,5,5,8,10,8,219,289,305,389,405,76,74,82
133,5,5,4,6,4,4,4,3,162,177,168,118,140,159,183,115
134,1,2,2,2,1,1,1,1,63,53,66,144,135,117,112,95
135,10,3,4,9,9,8,6,10,79,121,81,105,91,92,85,52
136,10,4,3,3,10,4,8,1,16,125,73,91,36,59,40,99
137,1,1,2,2,1,2,1,1,125,136,118,139,146,197,166,112
138,2,3,3,2,2,2,4,2,114,70,63,94,147,188,157,152
139,3,2,1,1,5,4,2,3,136,144,140,194,152,162,255,187
140,1,1,1,1,1,1,1,1,137,118,147,124,120,102,103,103
141,10,10,10,10,10,10,9,9,154,159,129,133,157,217,207,195
143,9,10,9,10,10,8,9,9,160,164,195,196,178,242,233,248
144,1,1,1,2,2,6,2,8,1015,1050,1329,1046,974,183,225,133
145,2,2,1,1,2,1,1,1,117,105,96,147,75,122,134,92
146,1,1,2,1,1,1,2,1,65,83,58,61,70,63,48,46
147,1,1,2,1,1,1,2,1,184,235,233,206,194,244,276,229
148,10,10,10,10,10,9,10,9,163,127,180,218,169,184,195,207
149,4,5,2,3,6,3,7,3,73,75,117,96,102,154,67,152
150,4,2,5,4,6,3,8,10,221,228,300,244,223,279,163,50
151,2,1,2,2,3,2,1,2,187,223,175,141,159,165,164,176
152,3,4,3,4,3,3,3,4,145,167,176,113,95,60,81,77
153,8,10,9,4,9,8,10,9,166,122,130,113,136,152,156,101
154,1,2,6,7,9,6,1,2,78,120,86,64,44,97,126,162
155,3,2,1,3,2,3,1,3,105,108,112,130,145,115,117,139
156,1,1,1,1,1,1,2,1,168,206,184,155,166,177,130,110
157,7,8,6,7,8,8,5,4,115,149,114,118,108,143,130,109
158,9,9,7,6,9,5,8,6,82,92,136,239,119,153,154,193
159,2,1,2,1,1,1,2,1,56,80,59,91,92,88,63,111
160,4,5,5,6,4,4,5,5,155,175,120,146,253,186,182,131
161,1,2,1,1,1,1,2,1,170,49,55,127,71,110,56,99
162,3,1,2,1,1,2,2,2,126,123,152,164,130,133,111,106
163,8,6,8,8,8,8,6,8,156,215,235,215,156,187,176,203
164,1,2,2,2,2,1,1,2,41,69,86,85,115,117,264,174
165,7,2,2,2,2,8,7,2,24,100,76,67,90,49,50,58
166,4,2,3,3,4,4,3,3,21,181,125,194,166,112,110,117
167,3,4,5,1,4,3,2,4,121,101,81,116,130,98,133,166
168,2,1,2,1,2,1,2,1,90,202,135,178,110,154,125,158
169,6,9,10,10,10,9,6,8,115,104,115,29,119,141,231,140
170,8,6,5,8,7,6,5,5,153,261,258,199,193,268,283,306
171,5,6,3,2,8,4,2,5,70,80,80,78,87,147,152,97
172,5,3,5,5,5,4,3,5,133,216,189,176,198,161,212,158
173,8,7,6,8,9,5,9,7,222,234,251,243,257,285,280,305
175,3,4,3,4,3,3,2,3,531,557,568,594,669,694,655,551
176,9,9,7,9,9,8,10,9,118,159,200,167,177,204,162,152
177,1,1,2,1,1,2,2,1,95,116,75,69,88,85,67,61
178,4,6,6,4,5,6,5,5,185,176,169,212,273,330,320,304
179,2,3,2,3,2,2,2,3,144,206,158,179,206,231,154,175
180,3,2,4,2,1,2,3,2,97,113,83,71,77,95,85,91
181,2,3,3,1,3,1,1,1,80,100,81,122,112,144,161,123
182,2,2,1,2,2,1,1,2,123,146,201,245,176,198,238,217
183,6,7,6,6,5,7,9,7,246,270,278,320,401,310,254,244
184,2,1,4,3,9,4,10,3,64,122,81,106,50,61,63,68
185,10,9,6,6,6,6,7,10,4,135,254,283,247,261,183,52
186,1,1,2,2,1,2,2,3,160,223,141,135,169,272,231,108
187,2,6,8,6,7,6,4,6,102,70,39,82,63,90,121,64
188,6,7,5,7,6,7,5,5,351,282,392,317,542,361,523,420
189,2,2,1,1,1,2,2,2,122,124,160,181,197,213,199,196
190,2,3,3,3,2,2,5,2,106,107,139,151,191,207,108,202
191,1,1,2,1,2,2,1,1,50,71,73,57,46,63,82,66
192,9,3,3,2,6,3,2,2,29,130,161,189,129,170,191,172
193,8,7,8,8,9,8,8,7,153,218,158,174,164,193,196,187
194,6,5,6,6,7,6,6,6,207,230,315,255,250,310,325,174
195,9,10,10,10,10,9,8,9,73,72,98,83,104,143,142,114
196,4,2,4,3,3,4,4,3,161,170,187,172,182,166,235,210
197,3,3,4,1,2,1,1,1,221,106,148,113,158,199,199,133
198,9,4,7,7,9,5,5,6,137,199,190,140,165,193,195,153
199,9,4,5,4,4,5,6,5,51,93,113,152,140,184,150,125
200,6,6,6,6,8,6,10,8,215,191,185,156,119,122,87,35
201,1,1,1,1,2,2,1,1,138,128,136,157,90,113,91,86
202,2,1,1,1,1,2,1,1,167,176,224,316,248,259,217,225
203,9,9,9,10,9,9,9,10,140,143,158,160,132,141,155,90
204,4,4,4,4,6,5,4,4,226,245,186,157,200,226,318,240
205,3,4,4,3,4,7,5,5,228,196,217,181,149,204,218,186
206,6,7,5,6,5,8,6,4,258,281,285,238,260,229,255,262
207,9,10,8,8,10,8,9,9,125,112,171,207,133,177,193,120
208,1,1,1,1,2,8,10,10,28,98,79,89,89,18,12,31
209,3,6,5,4,10,4,6,9,66,78,101,83,71,107,102,65
210,10,10,10,9,10,9,10,9,78,94,124,150,149,200,153,172
211,6,9,4,8,3,5,3,3,79,65,79,72,80,105,92,74
212,4,5,5,4,7,3,6,7,197,235,240,253,212,253,214,221
213,3,3,4,3,3,2,2,2,467,473,477,517,547,644,613,588
214,5,4,6,8,7,3,5,4,127,194,193,161,132,111,136,155
215,8,7,7,7,6,6,5,6,167,226,250,198,258,208,285,300
216,6,7,7,7,7,8,8,9,144,214,171,228,166,191,156,136
217,7,8,8,8,10,5,8,3,81,73,75,68,39,118,84,94
218,1,1,1,1,1,1,1,1,34,134,132,139,65,127,116,159
219,2,2,4,2,3,2,3,2,79,63,124,291,227,251,92,147
220,5,5,6,5,6,4,4,5,321,312,252,324,243,323,283,305
221,8,9,8,6,7,9,8,8,124,130,187,160,170,159,168,208
222,1,2,1,2,1,2,1,3,76,87,195,191,189,220,107,123
223,3,3,4,1,1,1,1,2,72,62,80,84,66,113,96,78
224,1,1,1,1,1,1,1,1,82,59,56,68,82,56,59,81
225,1,1,1,1,1,1,1,1,108,145,79,112,123,99,51,132
226,8,6,9,8,9,5,8,8,131,142,120,119,89,131,101,104
227,10,10,10,8,10,10,10,10,169,184,205,338,177,173,216,145
228,7,9,8,9,7,8,5,5,162,168,146,144,210,241,373,297
229,2,1,3,2,2,1,1,3,119,146,170,105,143,120,145,71
230,5,6,9,8,6,5,6,8,105,71,89,98,119,162,117,107
231,8,6,5,8,9,9,9,9,195,219,204,218,224,239,233,212
232,9,6,7,8,8,9,8,9,265,271,368,283,277,185,292,260
233,7,8,3,7,7,3,5,5,171,171,181,178,158,215,210,175
234,6,4,5,4,3,3,1,4,78,118,86,185,183,160,98,144
235,3,3,2,4,2,2,3,4,155,183,159,119,123,180,161,76
236,8,8,10,10,10,9,7,6,288,278,101,167,139,222,288,260
237,2,2,2,3,1,3,2,1,127,138,197,186,190,175,195,157
238,10,5,6,3,8,5,7,9,51,117,109,124,109,122,109,78
239,1,1,1,1,1,1,1,1,66,146,86,82,121,157,113,71
240,4,2,6,6,10,9,5,4,102,123,125,79,28,68,96,122
241,2,4,2,2,1,1,2,2,109,67,104,106,106,176,114,105
242,10,9,10,7,8,8,7,8,104,118,118,204,177,208,223,119
243,10,10,10,9,9,10,7,7,104,130,123,122,131,131,159,163
245,4,4,4,3,4,5,4,4,240,261,332,379,351,364,382,332
246,3,3,1,2,2,2,1,2,58,49,59,121,122,126,101,89
247,4,4,3,3,3,5,5,6,321,274,335,341,265,237,241,212
248,4,3,5,5,2,3,3,2,140,204,156,267,305,276,268,198
249,1,1,1,2,1,1,1,1,54,70,98,73,106,99,110,104
250,1,1,1,1,1,1,1,2,115,116,110,107,104,161,143,102
251,1,2,2,3,2,3,2,2,131,105,50,81,103,92,131,128
252,9,8,8,6,6,6,10,5,59,99,97,108,78,100,32,98
253,1,1,2,2,2,3,1,2,58,86,84,65,75,55,71,75
254,1,1,1,1,1,1,1,2,101,124,159,140,123,87,80,107
255,1,1,2,1,1,1,1,2,108,181,116,114,131,114,109,120
256,1,1,1,1,1,1,1,1,71,145,146,152,116,220,238,254
257,5,6,7,5,6,6,7,5,392,359,325,381,303,349,335,393
258,1,1,1,1,1,1,1,1,69,112,100,71,114,134,146,117
259,3,1,4,2,4,3,7,4,371,377,466,458,550,384,283,335
260,5,5,6,6,9,10,8,6,204,225,226,222,120,129,167,148
261,2,3,7,3,5,4,4,6,108,85,57,102,63,73,83,81
262,3,2,3,4,3,2,3,5,186,261,190,232,244,220,206,141
263,8,10,9,10,10,9,9,9,201,145,174,113,141,144,164,121
264,9,8,7,4,6,9,8,8,259,315,245,329,279,282,304,225
265,1,1,1,1,1,1,1,1,90,109,90,102,47,115,68,54
266,4,2,1,4,3,2,2,3,45,84,95,52,73,144,149,107
267,3,2,3,1,2,3,4,2,45,86,72,69,87,80,52,56
268,2,2,3,2,2,4,4,2,242,151,146,230,234,172,201,340
269,1,1,1,2,1,2,2,3,586,641,498,612,722,643,658,499
270,9,8,9,9,8,8,8,9,153,181,161,185,209,243,190,153
271,3,1,2,2,3,3,2,1,99,204,67,58,45,71,76,93
272,3,4,4,4,3,5,2,3,250,191,187,205,264,224,285,179
273,2,1,2,2,1,2,2,2,45,135,127,163,179,194,146,148
274,10,10,10,10,9,9,9,9,105,154,92,169,212,255,161,201
275,2,2,1,2,3,2,2,3,298,271,339,352,370,377,366,324
276,9,8,8,8,4,7,10,9,250,446,338,442,447,402,375,359
277,7,4,5,5,6,3,6,5,135,197,202,159,167,204,204,160
278,8,10,10,10,10,10,10,10,278,166,281,320,238,273,168,221
279,4,2,1,4,1,3,5,2,93,104,148,126,93,59,75,89
280,2,2,1,1,3,2,2,2,116,153,126,102,75,110,82,96
281,1,2,2,2,2,1,1,3,164,218,159,194,172,236,188,149
282,2,2,3,2,3,3,2,2,71,165,95,75,93,111,91,145
283,1,1,1,1,1,1,1,1,70,80,87,86,99,119,84,92
284,10,10,10,10,10,10,10,10,63,20,30,91,98,97,85,75
285,10,10,10,10,9,10,9,10,88,100,111,115,93,122,120,101
286,3,4,5,2,4,3,4,5,170,84,109,135,94,153,130,140
287,9,6,9,10,9,9,6,8,113,144,86,89,108,129,159,121
288,3,3,3,3,3,3,3,3,182,218,353,356,341,282,322,292
289,7,4,4,6,4,7,5,6,47,105,179,144,115,117,120,97
290,10,9,5,5,6,7,7,8,94,122,290,319,298,250,239,175
291,8,7,7,7,10,7,6,5,168,287,243,276,172,263,331,349
292,2,2,1,1,1,1,2,1,137,208,208,198,165,193,174,171
293,7,6,3,6,3,5,4,3,106,172,185,116,170,139,179,152
294,3,4,2,1,2,2,1,2,44,18,67,96,49,71,75,70
295,10,4,3,4,1,3,4,5,13,52,37,77,85,113,68,50
296,1,1,2,3,2,1,4,2,218,301,291,218,292,338,143,157
297,4,2,1,2,3,2,2,1,74,141,87,125,171,142,122,98
298,4,1,1,1,1,1,1,1,116,232,153,210,108,191,141,127
299,2,5,3,8,4,8,8,7,110,80,83,74,147,124,88,78
300,4,4,5,4,4,4,4,5,226,294,240,252,275,290,257,230
301,2,3,5,3,2,3,5,2,115,102,114,77,62,109,38,56
302,3,3,3,2,5,3,4,3,115,166,138,212,98,171,111,165
303,2,6,7,5,2,6,5,6,224,279,253,326,299,285,343,396
304,5,4,1,1,2,1,1,1,16,23,63,54,36,59,121,93
305,1,1,1,2,1,1,1,1,265,285,267,163,161,223,259,123
306,3,3,1,3,1,3,1,2,122,105,115,86,97,107,142,106
307,2,1,2,2,2,2,3,8,73,138,117,176,128,138,128,59
308,5,3,4,3,5,7,7,6,95,168,132,100,131,110,95,91
309,2,1,1,2,2,2,1,2,101,107,100,86,82,96,102,66
310,3,4,6,8,4,6,3,8,170,170,175,120,216,268,238,143
311,3,2,4,3,2,3,3,4,153,186,115,154,177,124,93,66
312,9,6,4,4,4,6,9,10,92,181,200,229,203,217,165,80
313,1,2,2,2,2,2,2,2,300,236,265,327,218,153,137,90
314,1,2,3,1,4,2,3,1,174,144,97,111,110,163,132,164
315,1,1,1,1,1,1,1,1,157,202,179,206,154,201,242,292
316,1,4,3,1,3,4,1,1,222,169,168,213,120,184,148,134
317,4,2,2,4,6,6,2,3,201,226,194,203,165,201,204,131
318,3,4,3,3,8,4,4,5,105,104,96,80,51,103,102,122
319,1,2,2,3,2,3,2,3,91,91,72,82,47,75,59,56
320,3,6,5,6,4,3,5,5,111,121,108,157,155,165,117,145
321,1,2,1,2,1,3,2,2,163,218,265,263,252,184,226,160
322,4,4,3,5,3,5,2,5,238,257,244,197,210,276,231,188
323,2,1,2,2,2,1,3,1,146,222,175,134,120,142,200,209
324,2,2,1,2,1,2,1,2,204,253,142,218,258,155,190,142
325,2,2,2,4,6,4,3,4,85,132,119,69,67,79,99,114
326,2,2,5,4,1,3,3,3,138,120,107,97,224,192,182,228
327,1,2,2,2,1,2,2,3,90,43,79,99,57,87,93,55
328,3,3,2,2,1,3,3,2,42,76,97,38,77,49,69,45
329,1,1,1,3,3,3,2,2,204,194,194,164,226,201,175,184
330,10,10,10,10,6,6,5,7,21,43,22,8,330,381,461,290
331,6,7,8,8,8,8,8,7,168,155,161,175,154,205,191,121
332,2,3,3,3,2,2,3,3,169,182,244,278,209,253,225,225
333,4,3,3,3,3,2,3,3,280,366,354,433,342,400,417,362
334,6,3,4,4,4,3,2,2,54,100,59,57,31,96,101,102
335,2,1,1,1,1,1,2,1,83,117,159,85,156,153,136,169
336,4,6,8,8,8,6,6,7,169,135,154,115,155,126,103,125
337,2,1,1,1,1,1,1,1,93,102,128,145,219,215,98,160
338,5,5,6,9,5,5,7,5,163,172,159,128,164,233,150,235
339,4,3,3,5,4,4,3,4,320,325,320,246,330,373,385,319
340,3,3,2,3,2,4,4,4,38,75,49,58,76,66,58,56
341,3,2,1,1,1,1,1,1,58,37,64,103,84,112,110,81
342,7,8,8,8,7,8,8,8,220,180,198,213,267,198,195,161
343,2,3,3,4,3,1,3,2,99,119,89,80,113,155,122,156
344,2,3,4,3,7,5,4,4,183,181,157,147,42,80,75,107
345,2,1,1,1,2,3,4,2,65,105,45,105,66,65,54,60
346,9,8,9,7,10,8,6,4,68,76,84,95,76,69,114,109
347,4,4,4,6,5,5,6,6,154,213,227,207,160,170,182,149
348,7,7,5,6,7,6,8,9,214,291,391,340,307,322,211,145
349,1,2,1,3,1,3,1,4,253,286,206,222,166,215,186,125
350,8,7,8,7,10,6,3,4,96,153,178,162,135,230,323,173
351,2,1,3,3,2,3,7,10,197,199,179,150,156,119,50,18
352,1,1,1,1,1,1,1,1,89,95,107,120,58,83,95,72
353,9,7,6,9,5,7,8,7,74,148,133,149,238,225,137,122
354,8,7,7,9,9,6,7,7,123,207,155,169,120,154,198,138
355,8,2,1,1,1,9,7,4,79,133,83,204,155,105,134,117
356,3,5,2,1,2,2,2,3,66,53,101,116,103,103,57,49
357,8,6,8,8,7,7,9,8,187,243,164,145,159,184,188,170
358,4,2,4,1,2,2,2,1,41,66,39,67,73,111,84,117
359,3,4,3,3,2,4,4,4,242,241,229,196,262,221,211,203
360,3,5,3,4,7,3,2,4,348,229,324,386,208,337,459,345
361,1,1,2,2,2,2,1,1,180,111,165,152,141,152,204,169
362,6,7,8,8,5,4,3,6,199,185,126,185,202,269,260,166
363,1,1,1,4,1,1,2,4,178,194,97,60,146,105,94,66
364,10,4,4,7,5,6,6,6,20,177,213,172,179,190,173,161
365,1,1,1,2,3,2,4,3,252,265,318,248,164,184,157,178
366,10,9,9,8,9,9,8,8,76,89,111,102,88,76,96,97
367,1,1,2,1,1,1,1,1,448,384,206,239,200,214,208,277
368,3,2,1,3,2,3,1,2,148,229,209,178,238,280,245,209
369,2,2,3,2,2,1,3,2,66,101,46,74,99,82,68,62
370,6,8,9,7,9,6,7,6,158,201,165,197,216,233,256,238
371,5,7,6,6,6,5,5,7,177,96,179,192,189,289,244,172
372,8,6,8,6,8,8,7,10,193,248,197,254,207,247,253,110
373,8,3,6,1,1,1,1,1,124,90,65,143,200,218,141,124
374,2,1,3,2,2,2,2,3,72,95,67,109,118,96,88,69
375,1,1,1,1,1,1,1,1,72,103,92,80,112,106,100,128
376,10,10,10,10,10,10,10,10,138,125,189,131,197,171,232,184
377,2,1,2,1,2,2,1,2,121,120,143,140,92,188,126,143
378,2,1,2,2,2,2,2,1,101,82,166,127,192,125,73,135
379,5,5,6,6,3,4,4,3,63,50,41,76,84,90,118,86
380,10,7,9,9,10,10,10,9,118,194,180,191,175,212,181,196
381,8,4,3,3,3,3,4,7,76,93,87,59,75,83,87,58
382,1,1,2,2,4,1,4,2,81,67,79,78,136,138,89,90
383,3,2,2,1,2,2,2,2,43,72,35,69,39,102,58,59
384,9,9,10,9,8,6,6,9,137,136,91,195,249,331,295,145
385,9,6,5,9,9,9,9,7,193,173,222,187,177,210,178,198
386,2,4,2,3,8,4,3,2,156,212,206,115,55,72,120,92
387,2,1,1,1,1,1,1,1,179,229,246,281,249,213,236,236
388,1,1,1,1,1,1,1,1,150,112,122,121,129,100,66,54
389,5,5,5,8,5,5,5,5,465,389,407,273,475,484,521,410
390,8,7,7,6,8,7,8,7,155,145,171,206,159,187,207,209
391,1,1,1,6,9,2,1,1,292,347,255,26,38,77,206,299
392,9,10,10,8,10,8,6,4,137,73,55,73,62,127,133,162
393,2,1,8,1,1,1,3,2,50,86,38,100,71,81,89,90
394,5,5,8,8,5,5,7,6,228,214,171,165,240,306,254,170
395,6,7,8,7,3,7,4,7,273,232,219,214,262,289,275,224
396,7,5,8,5,7,6,9,4,160,203,177,276,160,179,123,176
397,5,5,5,4,6,6,4,4,204,152,159,160,242,272,304,209
398,1,2,2,1,4,1,1,3,199,254,108,88,117,106,117,87
399,1,1,1,1,1,1,1,1,53,80,53,74,59,63,69,59
400,1,1,2,1,1,1,1,1,155,179,159,205,205,175,148,178
401,1,1,2,1,1,2,2,1,85,62,61,73,97,68,73,88
402,3,4,4,4,2,4,5,2,110,94,78,98,89,99,91,72
403,9,10,10,9,8,9,9,8,152,140,142,167,158,202,142,102
404,2,2,3,3,3,3,2,1,122,118,164,142,114,169,140,143
405,3,3,3,5,5,5,7,6,162,147,155,73,78,52,65,90
406,9,9,9,9,9,9,7,7,163,151,139,179,214,221,277,231
407,1,1,1,1,2,1,2,1,95,118,94,72,43,74,46,93
408,1,1,1,1,1,1,1,1,77,77,64,87,49,117,54,47
