고객번호,편의품구매횟수,선매품구매횟수,전문품구매횟수,기타품구매횟수,편의품총구매액,선매품총구매액,전문품총구매액,기타품총구매액,편의품객단가,선매품객단가,전문품객단가,기타품객단가,편의품구매비율(%),선매품구매비율(%),전문품구매비율(%),기타품구매비율(%)
27,443.0,115.0,8.0,13.0,24035131.0,30626644.0,4430141.0,253775.0,54255.37471783296,266318.64347826084,553767.625,19521.153846153848,6.46,31.72,65.95,2.32
28,1243.0,23.0,0.0,10.0,6632670.0,1493275.0,0.0,22945.0,5336.017699115044,64925.0,0.0,2294.5,7.94,96.58,0.0,3.41
29,382.0,393.0,7.0,18.0,4541040.0,62986211.0,6999169.0,570407.0,11887.539267015709,160270.25699745546,999881.2857142856,31689.277777777777,1.0,13.45,83.89,2.66
30,1816.0,191.0,7.0,27.0,18902271.0,68984846.0,3785773.0,918737.0,10408.739537444932,361177.2041884817,540824.7142857143,34027.2962962963,1.11,38.59,57.78,3.63
31,704.0,102.0,0.0,50.0,5616001.0,5171536.0,0.0,1290786.0,7977.274147727273,50701.333333333336,0.0,25815.72,10.43,66.25,0.0,33.7
32,1198.0,29.0,4.0,43.0,15196606.0,1227398.0,104106.0,419030.0,12684.979966611018,42324.06896551724,26026.5,9744.883720930233,16.24,54.18,33.3,12.46
33,2080.0,21.0,0.0,14.0,9076220.0,315834.0,0.0,184524.0,4363.567307692308,15039.714285714286,0.0,13180.285714285714,15.46,53.27,0.0,46.59
34,827.0,57.0,0.0,34.0,9255536.0,4456986.0,0.0,737094.0,11191.700120918984,78192.73684210527,0.0,21679.235294117647,11.21,78.28,0.0,21.69
35,688.0,121.0,5.0,51.0,13419513.0,22592019.0,1331012.0,2129753.0,19505.106104651164,186710.90082644628,266202.4,41759.86274509804,3.94,37.74,53.81,8.44
36,707.0,80.0,0.0,22.0,15819238.0,24900926.0,0.0,1204133.0,22375.15983026874,311261.575,0.0,54733.31818181818,6.11,85.04,0.0,14.95
37,766.0,111.0,1.0,78.0,10723808.0,40342381.0,202927.0,2627085.0,13999.749347258488,363444.87387387385,202927.0,33680.57692307692,2.33,60.57,33.81,5.61
38,2137.0,128.0,1.0,76.0,15299026.0,3680420.0,16893.0,1484584.0,7159.113710809546,28753.28125,16893.0,19534.0,10.98,44.11,25.9,29.93
39,363.0,89.0,1.0,58.0,5721288.0,184583828.0,1442121.0,838900.0,15761.123966942148,2073975.595505618,1442121.0,14463.793103448275,0.45,58.74,40.85,0.41
40,569.0,176.0,2.0,12.0,4034072.0,19870202.0,231770.0,159997.0,7089.757469244289,112898.875,115885.0,13333.083333333334,2.93,46.63,47.85,5.5
41,429.0,29.0,2.0,180.0,6054335.0,4216603.0,416155.0,5513612.0,14112.668997668998,145400.10344827586,208077.5,30631.17777777778,3.67,37.85,54.17,7.97
42,1842.0,49.0,1.0,9.0,11172246.0,2257918.0,19572.0,65355.0,6065.280130293159,46079.95918367347,19572.0,7261.666666666667,8.32,63.19,26.82,9.95
43,961.0,17.0,0.0,1.0,5072276.0,1677524.0,0.0,6181.0,5278.122788761707,98677.88235294116,0.0,6181.0,5.03,94.1,0.0,5.89
44,720.0,104.0,24.0,20.0,8881789.0,14916043.0,52598730.0,438314.0,12335.818055555555,143423.49038461538,2191613.75,21915.7,0.52,6.09,92.98,0.93
45,357.0,238.0,8.0,48.0,4309173.0,177489755.0,4918555.0,1278881.0,12070.512605042017,745755.2731092437,614819.375,26643.354166666668,0.87,53.76,44.32,1.92
46,386.0,82.0,21.0,65.0,8527265.0,26670217.0,72069395.0,1785426.0,22091.360103626943,325246.5487804878,3431875.9523809524,27468.092307692303,0.58,8.59,90.68,0.73
47,1437.0,76.0,1.0,23.0,13005732.0,5386843.0,1067669.0,509530.0,9050.613778705636,70879.51315789473,1067669.0,22153.478260869564,0.78,6.11,91.98,1.91
48,409.0,170.0,15.0,18.0,11357816.0,55623241.0,7489170.0,1356445.0,27769.72127139364,327195.53529411764,499278.0,75358.05555555556,3.08,36.28,55.36,8.36
49,394.0,142.0,12.0,60.0,6514565.0,60632666.0,16038341.0,2387186.0,16534.428934010153,426990.6056338028,1336528.4166666667,39786.43333333333,0.92,23.68,74.11,2.21
50,1325.0,153.0,3.0,67.0,11241699.0,10501873.0,238054.0,836765.0,8484.301132075472,68639.69281045752,79351.33333333333,12489.029850746268,5.29,42.77,49.43,7.78
51,1531.0,117.0,0.0,12.0,10672359.0,8998507.0,0.0,128241.0,6970.841933376878,76910.31623931623,0.0,10686.75,7.96,87.79,0.0,12.19
52,802.0,133.0,10.0,180.0,9292952.0,19789853.0,2700803.0,3296239.0,11587.221945137157,148795.8872180451,270080.3,18312.43888888889,2.65,34.03,61.77,4.19
53,470.0,98.0,5.0,76.0,7641585.0,38040509.0,1961227.0,952166.0,16258.6914893617,388168.4591836735,392245.4,12528.5,2.05,48.95,49.46,1.58
54,552.0,37.0,0.0,42.0,6483224.0,2206750.0,0.0,635775.0,11744.971014492754,59641.89189189189,0.0,15137.5,15.71,79.74,0.0,20.22
55,868.0,5.0,0.0,3.0,6585996.0,386482.0,0.0,323836.0,7587.552995391705,77296.4,0.0,107945.33333333331,4.1,41.73,0.0,58.26
56,331.0,201.0,24.0,102.0,5260320.0,51227828.0,22383508.0,2857350.0,15892.205438066463,254864.815920398,932646.1666666666,28013.235294117647,1.31,20.97,76.73,2.3
57,1708.0,2.0,1.0,1.0,9093306.0,79259.0,32200.0,66513.0,5323.949648711944,39629.5,32200.0,66513.0,3.85,28.65,23.27,48.06
58,377.0,108.0,25.0,29.0,6307091.0,12084061.0,1879621.0,1452217.0,16729.684350132626,111889.45370370372,75184.84,50076.44827586207,7.05,47.18,31.7,21.11
59,669.0,47.0,3.0,29.0,7961161.0,14731681.0,854093.0,817961.0,11900.091180866966,313440.02127659577,284697.6666666667,28205.55172413793,1.9,50.04,45.45,4.5
60,1146.0,120.0,1.0,28.0,12280556.0,12210558.0,5362.0,468310.0,10716.01745200698,101754.65,5362.0,16725.35714285714,8.65,82.16,4.33,13.5
61,1385.0,134.0,6.0,12.0,13763632.0,9656844.0,690441.0,129488.0,9937.640433212997,72066.0,115073.5,10790.666666666666,5.02,36.41,58.13,5.45
62,592.0,129.0,2.0,120.0,6097794.0,10739034.0,82660.0,2511084.0,10300.327702702703,83248.32558139534,41330.0,20925.7,7.08,57.21,28.39,14.37
63,501.0,24.0,0.0,7.0,4481471.0,1238172.0,0.0,63178.0,8945.051896207584,51590.5,0.0,9025.42857142857,14.76,85.09,0.0,14.87
64,765.0,4.0,0.0,8.0,3470583.0,37618.0,0.0,54144.0,4536.709803921569,9404.5,0.0,6768.0,28.05,58.05,0.0,41.63
65,623.0,77.0,2.0,46.0,8101619.0,8789874.0,214001.0,771703.0,13004.203852327448,114154.2077922078,107000.5,16776.152173913044,5.47,47.98,44.96,7.05
66,1771.0,66.0,0.0,70.0,12172214.0,3736340.0,0.0,627302.0,6873.073969508752,56611.21212121212,0.0,8961.457142857143,10.48,86.32,0.0,13.65
67,1635.0,14.0,0.0,3.0,8715678.0,802342.0,0.0,13372.0,5330.689908256881,57310.142857142855,0.0,4457.333333333333,8.63,92.77,0.0,7.2
68,778.0,166.0,406.0,74.0,7599221.0,38845233.0,229799203.0,3194826.0,9767.636246786631,234007.42771084336,566007.8891625616,43173.32432432433,1.16,27.75,67.12,5.12
69,3307.0,5.0,0.0,0.0,14065951.0,72824.0,0.0,0.0,4253.387057756275,14564.8,0.0,0.0,29.2,99.8,0.0,0.0
70,479.0,60.0,14.0,82.0,2541882.0,15069172.0,8568294.0,1890707.0,5306.643006263048,251152.86666666667,612021.0,23057.40243902439,0.6,28.34,69.06,2.6
71,986.0,5.0,0.0,29.0,4040573.0,351455.0,0.0,137903.0,4097.944219066937,70291.0,0.0,4755.275862068966,5.46,93.66,0.0,6.33
72,776.0,98.0,0.0,8.0,5804498.0,2576849.0,0.0,205667.0,7480.023195876289,26294.377551020407,0.0,25708.375,14.38,50.55,0.0,49.37
73,148.0,285.0,127.0,10.0,4409200.0,74340698.0,136680490.0,555877.0,29791.891891891893,260844.5543859649,1076224.3307086611,55587.7,2.14,18.73,77.28,3.99
74,389.0,237.0,13.0,45.0,5056677.0,22103136.0,2336591.0,1055247.0,12999.169665809768,93262.17721518988,179737.76923076922,23449.93333333333,4.38,31.46,60.62,7.91
75,746.0,23.0,0.0,17.0,3626514.0,872541.0,0.0,134051.0,4861.278820375335,37936.5652173913,0.0,7885.35294117647,10.61,82.77,0.0,17.17
76,657.0,128.0,2.0,34.0,4710604.0,5326835.0,289975.0,342782.0,7169.869101978691,41615.8984375,144987.5,10081.823529411764,3.65,21.16,73.71,5.12
77,764.0,114.0,9.0,52.0,9738463.0,17321893.0,1524839.0,1266258.0,12746.679319371728,151946.4298245614,169426.55555555556,24351.115384615383,3.69,43.95,49.0,7.04
78,518.0,221.0,32.0,129.0,10651006.0,59985872.0,10377175.0,3196554.0,20561.787644787644,271429.2850678733,324286.71875,24779.488372093023,3.31,43.74,52.26,3.99
79,1696.0,108.0,0.0,39.0,10578741.0,3441557.0,0.0,879390.0,6237.465212264151,31866.26851851852,0.0,22548.46153846154,11.46,58.55,0.0,41.38
80,1408.0,26.0,0.0,32.0,6458813.0,1931572.0,0.0,502710.0,4587.225142045455,74291.23076923077,0.0,15709.6875,5.1,82.54,0.0,17.44
81,425.0,170.0,10.0,103.0,5330032.0,56652395.0,5088071.0,1756999.0,12541.251764705885,333249.3823529412,508807.1,17058.242718446603,1.46,38.79,59.22,1.99
82,801.0,191.0,23.0,38.0,8939266.0,103156952.0,23109161.0,1336355.0,11160.132334581773,540088.7539267016,1004746.1304347826,35167.23684210526,0.71,34.18,63.59,2.23
83,686.0,169.0,1.0,99.0,9988041.0,105262640.0,704579.0,1762822.0,14559.826530612245,622855.8579881657,704579.0,17806.282828282827,1.08,46.3,52.37,1.32
84,269.0,147.0,3.0,20.0,4466225.0,50431268.0,3137668.0,622864.0,16603.06691449814,343069.85034013604,1045889.3333333334,31143.2,1.17,24.16,73.65,2.19
85,671.0,56.0,0.0,5.0,8037998.0,3593225.0,0.0,361023.0,11979.132637853949,64164.732142857145,0.0,72204.6,8.78,47.05,0.0,52.93
86,1851.0,142.0,1.0,41.0,16001295.0,17038310.0,41821.0,287327.0,8644.67585089141,119988.0985915493,41821.0,7007.975609756098,5.12,71.07,24.76,4.15
87,357.0,55.0,3.0,94.0,5546986.0,37263439.0,4100476.0,1245506.0,15537.775910364146,677517.0727272728,1366825.3333333333,13250.063829787234,0.76,32.93,66.43,0.64
88,1115.0,125.0,1.0,71.0,14045261.0,28591007.0,278586.0,2004745.0,12596.6466367713,228728.056,278586.0,28235.845070422536,2.35,42.71,52.01,5.27
89,1593.0,91.0,1.0,41.0,8549753.0,5486094.0,20374.0,397530.0,5367.076585059636,60286.74725274725,20374.0,9695.853658536584,5.94,66.72,22.53,10.72
90,301.0,135.0,0.0,48.0,7886202.0,40447904.0,0.0,1443891.0,26200.00664451827,299614.10370370373,0.0,30081.0625,7.95,90.87,0.0,9.12
91,744.0,31.0,0.0,22.0,13850480.0,3518572.0,0.0,291603.0,18616.236559139787,113502.32258064517,0.0,13254.681818181818,14.69,89.53,0.0,10.45
92,1263.0,317.0,2.0,44.0,16700005.0,30290179.0,538759.0,974338.0,13222.490102929532,95552.61514195584,269379.5,22144.045454545456,3.42,24.69,69.59,5.72
93,340.0,256.0,29.0,53.0,9287884.0,74552777.0,19991314.0,1596968.0,27317.305882352943,291221.78515625,689355.6551724138,30131.471698113208,2.7,28.81,68.2,2.98
94,798.0,144.0,14.0,22.0,13952783.0,17474948.0,9593548.0,660683.0,17484.690476190477,121353.80555555556,685253.4285714285,30031.045454545456,2.09,14.5,81.9,3.59
95,1012.0,97.0,1.0,23.0,4902926.0,2072901.0,44342.0,99027.0,4844.788537549407,21370.113402061856,44342.0,4305.521739130435,6.92,30.52,63.3,6.14
96,560.0,86.0,1.0,16.0,14122416.0,15569899.0,582256.0,613222.0,25218.6,181045.33720930232,582256.0,38326.375,3.15,22.58,72.63,4.78
97,983.0,488.0,9.0,35.0,51616733.0,882805557.0,8659507.0,2664728.0,52509.392675483214,1809027.7807377048,962167.4444444444,76135.08571428571,1.84,63.53,33.79,2.67
98,588.0,53.0,4.0,46.0,10790207.0,7149591.0,1748452.0,559636.0,18350.692176870747,134897.94339622642,437113.0,12166.0,3.14,23.09,74.82,2.08
99,562.0,422.0,95.0,107.0,10219968.0,116873513.0,91326679.0,4783003.0,18184.99644128114,276951.45260663505,961333.4631578948,44700.96261682243,1.42,21.59,74.93,3.48
100,499.0,153.0,4.0,28.0,5180089.0,21547172.0,265334.0,570832.0,10380.93987975952,140831.18954248363,66333.5,20386.85714285714,4.56,61.89,29.14,8.96
101,674.0,11.0,0.0,35.0,4547480.0,1247406.0,0.0,369530.0,6747.002967359051,113400.54545454546,0.0,10558.0,5.44,91.48,0.0,8.51
102,2226.0,136.0,32.0,11.0,19616523.0,35461728.0,47604844.0,278115.0,8812.454177897574,260748.0,1487651.375,25283.18181818182,0.5,14.7,83.87,1.43
103,792.0,11.0,0.0,5.0,3941506.0,443389.0,0.0,102659.0,4976.64898989899,40308.09090909091,0.0,20531.8,8.18,66.24,0.0,33.71
104,2213.0,21.0,0.0,13.0,12889167.0,1688071.0,0.0,92255.0,5824.295978309987,80384.33333333333,0.0,7096.538461538462,6.66,91.88,0.0,8.1
105,2048.0,57.0,1.0,18.0,16371091.0,3530467.0,11262.0,911632.0,7993.69677734375,61938.01754385965,11262.0,50646.22222222222,6.45,50.01,9.09,40.87
106,446.0,203.0,2.0,23.0,5083329.0,49551443.0,892830.0,926045.0,11397.59865470852,244095.7783251232,446415.0,40262.82608695652,1.56,33.4,61.09,5.51
107,510.0,200.0,0.0,25.0,8017676.0,95749594.0,0.0,740116.0,15720.933333333332,478747.97,0.0,29604.64,3.09,94.18,0.0,5.82
108,696.0,123.0,1.0,35.0,6375785.0,5843617.0,15978.0,564124.0,9160.610632183909,47509.081300813006,15978.0,16117.828571428572,11.51,59.67,20.05,20.22
109,1273.0,12.0,0.0,2.0,7710611.0,410477.0,0.0,138644.0,6057.039277297722,34206.416666666664,0.0,69322.0,5.85,33.04,0.0,66.93
110,1142.0,134.0,0.0,52.0,9500227.0,15302702.0,0.0,1194737.0,8318.937828371278,114199.26865671642,0.0,22975.71153846154,6.06,83.25,0.0,16.74
111,1343.0,9.0,0.0,1.0,4550610.0,163356.0,0.0,5362.0,3388.391660461653,18150.666666666668,0.0,5362.0,14.41,77.15,0.0,22.72
112,568.0,208.0,0.0,42.0,11598514.0,59369260.0,0.0,909152.0,20419.919014084506,285429.1346153846,0.0,21646.47619047619,6.65,92.95,0.0,7.05
113,1102.0,296.0,27.0,106.0,16147521.0,51751125.0,16478229.0,1849610.0,14652.922867513613,174834.88175675675,610304.7777777778,17449.150943396227,1.83,21.78,76.04,2.17
114,605.0,94.0,2.0,19.0,6461807.0,15655428.0,476896.0,317891.0,10680.672727272728,166547.10638297873,238448.0,16731.105263157893,2.53,39.49,56.54,3.97
115,433.0,80.0,18.0,18.0,10153824.0,28067292.0,20073451.0,434813.0,23449.939953810623,350841.15,1115191.7222222222,24156.277777777777,1.57,23.54,74.83,1.62
116,1479.0,28.0,0.0,0.0,5853301.0,1414025.0,0.0,0.0,3957.607167004733,50500.892857142855,0.0,0.0,7.84,99.98,0.0,0.0
117,1016.0,46.0,4.0,83.0,18726211.0,18931164.0,1659163.0,1387312.0,18431.31003937008,411547.04347826086,414790.75,16714.602409638555,2.19,48.82,49.2,1.98
118,275.0,279.0,41.0,23.0,6051046.0,80053871.0,4938741.0,522272.0,22003.803636363635,286931.43727598566,120457.0975609756,22707.478260869564,5.12,66.71,28.0,5.28
119,631.0,237.0,16.0,54.0,8400880.0,43217822.0,13337191.0,1051444.0,13313.597464342314,182353.6793248945,833574.4375,19471.185185185182,1.29,17.61,80.51,1.88
120,419.0,601.0,7.0,50.0,3913180.0,211850015.0,2053658.0,952272.0,9339.331742243436,352495.8652246256,293379.71428571426,19045.44,1.4,53.01,44.12,2.86
121,543.0,57.0,2.0,170.0,7777693.0,5647407.0,606432.0,2206754.0,14323.55985267035,99077.31578947368,303216.0,12980.90588235294,3.45,23.86,73.01,3.13
122,785.0,180.0,2.0,55.0,10926523.0,23409771.0,193075.0,2163651.0,13919.137579617834,130054.28333333334,96537.5,39339.10909090909,5.23,48.9,36.29,14.79
123,1430.0,33.0,0.0,7.0,8755017.0,923501.0,0.0,92499.0,6122.389510489511,27984.878787878788,0.0,13214.142857142857,14.86,67.9,0.0,32.01
124,341.0,182.0,6.0,35.0,3380759.0,25790283.0,1911478.0,527366.0,9914.24926686217,141704.85164835164,318579.6666666667,15067.6,2.09,29.81,67.02,3.17
125,578.0,49.0,4.0,79.0,6660305.0,4050716.0,1551526.0,1407292.0,11523.019031141868,82667.67346938775,387881.5,17813.822784810127,2.36,16.93,79.42,3.65
126,1268.0,90.0,6.0,12.0,8187305.0,23896582.0,1450791.0,205361.0,6456.865141955836,265517.5777777778,241798.5,17113.416666666668,1.23,50.63,46.1,3.26
127,342.0,52.0,1.0,178.0,2477376.0,2106139.0,29329.0,1549255.0,7243.789473684211,40502.67307692308,29329.0,8703.6797752809,9.22,51.57,37.32,11.07
128,709.0,43.0,0.0,11.0,6948636.0,1975881.0,0.0,162355.0,9800.614950634696,45950.72093023256,0.0,14759.545454545454,16.14,75.67,0.0,24.27
129,835.0,26.0,0.0,2.0,6041032.0,439455.0,0.0,9418.0,7234.7688622754495,16902.115384615383,0.0,4709.0,33.48,78.09,0.0,21.68
130,732.0,247.0,5.0,7.0,11404168.0,30110403.0,1990784.0,414101.0,15579.464480874318,121904.46558704451,398156.8,59157.28571428572,2.69,21.05,68.74,10.21
131,1769.0,178.0,9.0,31.0,16021348.0,13703061.0,580810.0,775612.0,9056.725833804408,76983.48876404495,64534.444444444445,25019.74193548387,5.44,46.22,38.74,15.02
132,1684.0,46.0,0.0,27.0,8017177.0,2941429.0,0.0,89345.0,4760.793942992874,63944.108695652176,0.0,3309.074074074074,7.08,95.07,0.0,4.91
133,970.0,54.0,2.0,81.0,12867314.0,6030221.0,239318.0,1258640.0,13265.272164948454,111670.75925925926,119659.0,15538.765432098766,5.37,45.23,48.46,6.29
134,364.0,230.0,83.0,13.0,9551395.0,54552555.0,27645158.0,358118.0,26240.096153846152,237185.02173913043,333074.1927710843,27547.53846153846,4.39,39.68,55.71,4.61
135,593.0,56.0,0.0,5.0,4865896.0,8195557.0,0.0,104703.0,8205.558178752108,146349.23214285713,0.0,20940.6,4.9,87.48,0.0,12.51
136,291.0,109.0,0.0,40.0,3112640.0,14344453.0,0.0,917026.0,10696.357388316152,131600.48623853212,0.0,22925.65,6.92,85.16,0.0,14.83
137,776.0,186.0,43.0,22.0,9088958.0,31465854.0,40006845.0,720543.0,11712.574742268042,169171.25806451612,930391.7441860464,32751.954545454544,1.03,14.94,82.17,2.89
138,558.0,204.0,6.0,65.0,6583518.0,28909403.0,4674517.0,1598546.0,11798.41935483871,141712.75980392157,779086.1666666666,24593.015384615384,1.25,14.99,82.41,2.6
139,873.0,179.0,15.0,116.0,9777759.0,27862064.0,4726765.0,2399408.0,11200.182130584191,155653.98882681565,315117.6666666667,20684.55172413793,2.28,31.67,64.11,4.21
140,626.0,134.0,62.0,29.0,37194597.0,30755009.0,172404138.0,3033451.0,59416.28913738019,229514.99253731343,2780711.9032258065,104601.75862068964,1.91,7.37,89.27,3.36
141,1140.0,15.0,0.0,1.0,5056541.0,125117.0,0.0,5362.0,4435.562280701754,8341.133333333333,0.0,5362.0,32.37,60.73,0.0,38.87
143,1321.0,35.0,0.0,12.0,5907113.0,484573.0,0.0,217324.0,4471.697956093868,13844.942857142858,0.0,18110.33333333333,13.99,43.31,0.0,56.57
144,5771.0,44.0,2.0,5.0,59232085.0,10984365.0,871025.0,414659.0,10263.747184196844,249644.6590909091,435512.5,82931.8,1.34,32.5,56.7,10.8
145,588.0,150.0,32.0,26.0,15596668.0,80858263.0,24699073.0,1654007.0,26524.94557823129,539055.0866666667,771846.03125,63615.65384615384,1.93,39.22,56.15,4.63
146,94.0,195.0,91.0,68.0,3697404.0,28141938.0,55324476.0,2250369.0,39334.085106382976,144317.63076923075,607961.2747252748,33093.66176470588,5.01,18.38,77.41,4.21
147,1300.0,166.0,28.0,78.0,15386108.0,32057909.0,36159083.0,2045262.0,11835.467692307691,193119.93373493972,1291395.8214285714,26221.30769230769,0.78,12.78,85.48,1.74
148,1234.0,2.0,0.0,0.0,4887795.0,128798.0,0.0,0.0,3960.9359805510535,64399.0,0.0,0.0,6.15,99.99,0.0,0.0
149,569.0,80.0,3.0,32.0,9456205.0,12763829.0,908823.0,615857.0,16618.989455184535,159547.8625,302941.0,19245.53125,3.45,33.12,62.88,3.99
150,1505.0,94.0,3.0,56.0,8283359.0,15171502.0,202361.0,537262.0,5503.893023255814,161398.95744680852,67453.66666666667,9593.964285714286,2.31,67.69,28.28,4.02
151,974.0,194.0,1.0,45.0,13673405.0,49152776.0,11487535.0,1891538.0,14038.403490759754,253364.82474226804,11487535.0,42034.177777777775,0.12,2.15,97.49,0.36
152,595.0,192.0,1.0,49.0,6492007.0,23093524.0,34587.0,856120.0,10910.93613445378,120278.77083333331,34587.0,17471.836734693876,6.33,69.79,20.06,10.13
153,921.0,40.0,0.0,14.0,5281581.0,4555550.0,0.0,128931.0,5734.615635179153,113888.75,0.0,9209.357142857143,4.66,92.52,0.0,7.48
154,350.0,32.0,20.0,213.0,3914702.0,9697159.0,45094656.0,5552146.0,11184.862857142858,303036.21875,2254732.8,26066.413145539907,0.43,11.73,87.26,1.01
155,571.0,235.0,3.0,23.0,14108600.0,37147907.0,947070.0,551726.0,24708.581436077056,158076.2,315690.0,23988.08695652174,4.96,31.76,63.42,4.82
156,831.0,344.0,5.0,6.0,28771254.0,104071223.0,775007.0,151446.0,34622.447653429605,302532.625,155001.4,25241.0,7.17,62.66,32.1,5.23
157,773.0,79.0,1.0,24.0,5617477.0,5186749.0,372957.0,612580.0,7267.111254851229,65655.0506329114,372957.0,25524.166666666668,1.57,14.15,80.35,5.5
158,951.0,19.0,0.0,5.0,9285943.0,772817.0,0.0,67583.0,9764.398527865404,40674.57894736842,0.0,13516.6,18.02,75.03,0.0,24.9
159,165.0,327.0,5.0,32.0,3837403.0,81192027.0,23596841.0,1134230.0,23256.98787878788,248293.6605504587,4719368.2,35444.6875,0.46,4.96,94.33,0.71
160,1097.0,84.0,2.0,34.0,11651659.0,5882021.0,339751.0,641145.0,10621.384685505926,70024.05952380953,169875.5,18857.20588235294,4.1,27.06,65.64,7.28
161,202.0,333.0,42.0,61.0,4168634.0,109689497.0,31825543.0,3130266.0,20636.80198019802,329397.8888888889,757751.0238095238,51315.83606557377,1.81,28.93,66.56,4.51
162,656.0,276.0,1.0,6.0,7494953.0,55554466.0,186480.0,54601.0,11425.233231707318,201284.29710144928,186480.0,9100.166666666666,2.88,50.72,46.98,2.29
163,1307.0,23.0,0.0,10.0,8070748.0,2442778.0,0.0,209283.0,6175.017597551645,106207.73913043478,0.0,20928.3,4.86,83.54,0.0,16.45
