Unnamed: 0,구매횟수,구매횟수.1,구매횟수.2,구매횟수.3,구매횟수.4,구매횟수.5,구매횟수.6,구매횟수.7,총구매액,총구매액.1,총구매액.2,총구매액.3,총구매액.4,총구매액.5,총구매액.6,총구매액.7,14_1구매경험,14_2구매경험,14_3구매경험,14_4구매경험,15_1구매경험,15_2구매경험,15_3구매경험,15_4구매경험,매출증감,증감확인
42,148.0,247.0,273.0,237.0,308.0,358.0,330.0,296.0,1455196.0,2086229.0,1904579.0,1204730.0,2351548.0,2207970.0,2304839.0,2453520.0,유,유,유,유,유,유,유,유,22.6,증가
43,146.0,104.0,73.0,110.0,131.0,209.0,206.0,130.0,1006278.0,789005.0,425623.0,2013034.0,570534.0,941764.0,1009743.0,627135.0,유,유,유,유,유,유,유,유,0.2,증가
44,67.0,108.0,224.0,118.0,107.0,125.0,119.0,126.0,4872710.0,2968041.0,4677308.0,44939845.0,6963328.0,3161017.0,9252627.0,24616175.0,유,유,유,유,유,유,유,유,31.0,증가
45,67.0,80.0,77.0,128.0,98.0,124.0,77.0,98.0,25746411.0,1731310.0,16369781.0,41659856.0,28131373.0,53110941.0,21246692.0,36783605.0,유,유,유,유,유,유,유,유,-9.6,감소
46,63.0,69.0,63.0,81.0,78.0,107.0,93.0,126.0,22389376.0,14758346.0,3177503.0,7586648.0,40297645.0,9489430.0,11353355.0,22274608.0,유,유,유,유,유,유,유,유,-32.7,감소
47,279.0,357.0,208.0,174.0,238.0,180.0,101.0,176.0,3326024.0,3833482.0,5885036.0,1674030.0,2180169.0,1792588.0,1278445.0,1344148.0,유,유,유,유,유,유,유,유,-44.5,감소
48,87.0,78.0,83.0,81.0,84.0,88.0,111.0,55.0,6550727.0,9332692.0,17674958.0,6728159.0,14255065.0,11881740.0,9403331.0,8841709.0,유,유,유,유,유,유,유,유,17.9,증가
49,86.0,102.0,88.0,69.0,90.0,85.0,88.0,74.0,8760380.0,12069962.0,11290018.0,4285679.0,13810360.0,9154700.0,26201659.0,8702215.0,유,유,유,유,유,유,유,유,49.9,증가
50,207.0,246.0,188.0,201.0,232.0,211.0,263.0,217.0,3203977.0,4309237.0,3644637.0,2988744.0,2791365.0,2846997.0,3033434.0,2533118.0,유,유,유,유,유,유,유,유,-2.7,감소
51,385.0,273.0,254.0,216.0,223.0,144.0,165.0,153.0,4203912.0,3091768.0,2504964.0,4222356.0,2298258.0,1917649.0,1560200.0,2067404.0,유,유,유,유,유,유,유,유,-45.9,감소
52,115.0,137.0,165.0,167.0,207.0,188.0,146.0,126.0,6913551.0,4911381.0,3795413.0,4149603.0,4588017.0,6676653.0,4045229.0,2306134.0,유,유,유,유,유,유,유,유,-26.2,감소
53,67.0,84.0,134.0,99.0,94.0,85.0,86.0,105.0,3130401.0,15479526.0,2703200.0,15276011.0,4299726.0,5244168.0,2462455.0,2804171.0,유,유,유,유,유,유,유,유,-11.9,감소
54,83.0,92.0,93.0,91.0,68.0,95.0,109.0,119.0,1372529.0,1802540.0,1446727.0,1354145.0,1054381.0,1232229.0,1063198.0,1295910.0,유,유,유,유,유,유,유,유,-12.7,감소
55,145.0,89.0,124.0,119.0,133.0,129.0,137.0,79.0,943039.0,728291.0,1487118.0,1035734.0,1049723.0,826613.0,1225796.0,459748.0,유,유,유,유,유,유,유,유,13.0,증가
56,100.0,93.0,61.0,112.0,91.0,118.0,83.0,108.0,14993865.0,13467391.0,3029787.0,8353360.0,22568020.0,14873118.0,4443465.0,9948244.0,유,유,유,유,유,유,유,유,-54.3,감소
57,259.0,284.0,244.0,243.0,153.0,197.0,332.0,285.0,1202691.0,1434043.0,1135922.0,1065292.0,2298226.0,761583.0,1373521.0,1079707.0,유,유,유,유,유,유,유,유,6.6,증가
58,73.0,72.0,74.0,78.0,89.0,90.0,63.0,79.0,3187217.0,2960239.0,2890948.0,4346362.0,2941767.0,2755733.0,2640724.0,4237719.0,유,유,유,유,유,유,유,유,-9.4,감소
59,95.0,85.0,121.0,129.0,111.0,112.0,95.0,94.0,3476846.0,5043826.0,3316925.0,2823277.0,2308309.0,3886805.0,3508908.0,3053014.0,유,유,유,유,유,유,유,유,0.5,증가
60,112.0,183.0,185.0,214.0,163.0,214.0,224.0,181.0,2186343.0,3989600.0,2859350.0,3772966.0,2587701.0,4391604.0,5177222.0,5259271.0,유,유,유,유,유,유,유,유,40.6,증가
61,289.0,247.0,137.0,206.0,200.0,179.0,279.0,168.0,5924555.0,4557449.0,2860210.0,2455590.0,2177234.0,2485369.0,3779998.0,2714919.0,유,유,유,유,유,유,유,유,-22.1,감소
62,100.0,144.0,123.0,114.0,152.0,105.0,105.0,129.0,1457862.0,4369989.0,3739416.0,2576621.0,2347174.0,2368969.0,2570541.0,2010967.0,유,유,유,유,유,유,유,유,27.6,증가
63,64.0,93.0,74.0,63.0,67.0,91.0,80.0,84.0,439517.0,891861.0,736407.0,721998.0,887942.0,934837.0,1170259.0,499185.0,유,유,유,유,유,유,유,유,45.4,증가
64,145.0,176.0,127.0,138.0,114.0,66.0,11.0,42.0,645981.0,673773.0,725140.0,655109.0,477377.0,319797.0,65168.0,275062.0,유,유,유,유,유,유,유,유,-81.7,감소
65,96.0,95.0,111.0,85.0,172.0,129.0,60.0,129.0,1852367.0,1980246.0,4498622.0,928614.0,4246876.0,2893988.0,1476484.0,1909410.0,유,유,유,유,유,유,유,유,-11.3,감소
66,264.0,247.0,262.0,293.0,282.0,274.0,285.0,233.0,2934626.0,2078340.0,2076387.0,2170845.0,2269400.0,2555238.0,2451020.0,1860644.0,유,유,유,유,유,유,유,유,-9.0,감소
67,145.0,169.0,217.0,217.0,286.0,303.0,315.0,326.0,905426.0,1047484.0,1433791.0,1360711.0,1475151.0,1521728.0,1787101.0,1266853.0,유,유,유,유,유,유,유,유,32.7,증가
68,196.0,243.0,292.0,191.0,132.0,156.0,214.0,166.0,77350286.0,57531741.0,35066347.0,27947713.0,42967698.0,16505028.0,22069670.0,23805259.0,유,유,유,유,유,유,유,유,-55.6,감소
69,333.0,445.0,536.0,497.0,427.0,507.0,567.0,554.0,1511286.0,1890219.0,2505761.0,1732413.0,1773757.0,2110859.0,2614480.0,1773726.0,유,유,유,유,유,유,유,유,26.7,증가
70,135.0,153.0,120.0,120.0,77.0,11.0,19.0,13.0,4620004.0,2048410.0,9633897.0,3958784.0,2809085.0,2449226.0,2550649.0,4358900.0,유,유,유,유,유,유,유,유,-28.9,감소
71,141.0,131.0,161.0,132.0,143.0,138.0,174.0,93.0,552558.0,616053.0,694576.0,498235.0,806894.0,548529.0,813086.0,334755.0,유,유,유,유,유,유,유,유,19.1,증가
72,66.0,79.0,139.0,138.0,129.0,176.0,155.0,149.0,1004513.0,702090.0,1927000.0,1071660.0,1259886.0,1223256.0,1398609.0,1297616.0,유,유,유,유,유,유,유,유,16.4,증가
73,98.0,95.0,106.0,69.0,79.0,48.0,75.0,65.0,28031750.0,31558626.0,42954888.0,22962936.0,39631036.0,21762597.0,29084432.0,19720194.0,유,유,유,유,유,유,유,유,1.8,증가
74,95.0,120.0,127.0,63.0,115.0,101.0,63.0,75.0,4360723.0,9524515.0,7313012.0,2951576.0,3296733.0,2041089.0,1064003.0,1984075.0,유,유,유,유,유,유,유,유,-60.8,감소
75,106.0,99.0,126.0,146.0,101.0,89.0,119.0,141.0,536031.0,751552.0,827080.0,686847.0,591057.0,561666.0,678873.0,553971.0,유,유,유,유,유,유,유,유,11.8,증가
76,120.0,154.0,77.0,124.0,90.0,124.0,132.0,102.0,1308156.0,1600249.0,1238278.0,1876599.0,980747.0,2196773.0,1469394.0,1527457.0,유,유,유,유,유,유,유,유,5.8,증가
77,99.0,111.0,198.0,141.0,107.0,152.0,131.0,153.0,4094322.0,5364226.0,4535526.0,3811102.0,3877527.0,4353417.0,3815333.0,6102736.0,유,유,유,유,유,유,유,유,-3.5,감소
78,111.0,70.0,129.0,126.0,153.0,173.0,138.0,129.0,9507002.0,6671611.0,10668715.0,8936930.0,11968726.0,23441931.0,13015692.0,9465482.0,유,유,유,유,유,유,유,유,15.6,증가
79,270.0,193.0,273.0,273.0,210.0,312.0,312.0,189.0,1898407.0,1984915.0,2543264.0,2038628.0,1399530.0,2384687.0,2650257.0,1290234.0,유,유,유,유,유,유,유,유,16.5,증가
80,243.0,129.0,227.0,248.0,177.0,221.0,221.0,209.0,1002110.0,827712.0,1338687.0,1329785.0,1288696.0,1828681.0,1277424.0,1869921.0,유,유,유,유,유,유,유,유,12.1,증가
81,89.0,99.0,75.0,77.0,130.0,117.0,121.0,87.0,9494436.0,5506479.0,9682315.0,4899679.0,7318304.0,13200477.0,18725807.0,7488265.0,유,유,유,유,유,유,유,유,32.7,증가
82,103.0,132.0,193.0,162.0,188.0,157.0,118.0,130.0,14450853.0,9625864.0,39012004.0,8574155.0,13580247.0,18062697.0,33235914.0,21738835.0,유,유,유,유,유,유,유,유,39.4,증가
83,63.0,125.0,186.0,126.0,156.0,135.0,164.0,101.0,5363385.0,11023440.0,30113518.0,8448510.0,14759202.0,16122194.0,31887833.0,10016558.0,유,유,유,유,유,유,유,유,71.2,증가
84,99.0,38.0,65.0,35.0,77.0,85.0,40.0,63.0,8526124.0,2915095.0,4069367.0,1743042.0,27924392.0,11561491.0,1918514.0,5029766.0,유,유,유,유,유,유,유,유,-63.3,감소
85,58.0,52.0,85.0,138.0,98.0,150.0,151.0,145.0,857771.0,851688.0,883261.0,1845164.0,1908246.0,2775179.0,2870937.0,2161598.0,유,유,유,유,유,유,유,유,54.0,증가
86,225.0,252.0,230.0,240.0,408.0,367.0,313.0,237.0,2305479.0,5391579.0,4499684.0,5362017.0,5325531.0,4589322.0,5895141.0,6987293.0,유,유,유,유,유,유,유,유,43.8,증가
87,63.0,126.0,43.0,70.0,62.0,78.0,67.0,52.0,18101391.0,10431800.0,696338.0,4838316.0,6075049.0,1871468.0,6142045.0,3144339.0,유,유,유,유,유,유,유,유,-49.3,감소
88,186.0,182.0,177.0,208.0,237.0,146.0,176.0,192.0,4407581.0,8834758.0,6533677.0,7277068.0,7983322.0,4746651.0,5136542.0,16329055.0,유,유,유,유,유,유,유,유,7.6,증가
89,154.0,267.0,234.0,201.0,261.0,330.0,279.0,316.0,1074617.0,3312087.0,2278209.0,1561545.0,2480435.0,2076484.0,1670374.0,1686520.0,유,유,유,유,유,유,유,유,21.7,증가
90,35.0,72.0,88.0,94.0,47.0,71.0,77.0,58.0,2770184.0,3445556.0,3920303.0,22669241.0,3433357.0,4720581.0,8818775.0,5802660.0,유,유,유,유,유,유,유,유,52.2,증가
91,105.0,93.0,120.0,122.0,114.0,121.0,122.0,127.0,2231397.0,2513739.0,2804264.0,2001109.0,2840689.0,2335516.0,2933941.0,1673354.0,유,유,유,유,유,유,유,유,13.6,증가
92,247.0,244.0,260.0,218.0,198.0,207.0,252.0,168.0,5625815.0,5344617.0,6639922.0,8355857.0,5158929.0,7725380.0,9652761.0,7657624.0,유,유,유,유,유,유,유,유,26.4,증가
93,104.0,101.0,89.0,16.0,113.0,86.0,169.0,105.0,11258443.0,9821522.0,20001709.0,9398422.0,16853563.0,22852626.0,15242658.0,12699142.0,유,유,유,유,유,유,유,유,15.0,증가
94,14.0,28.0,166.0,236.0,172.0,178.0,184.0,188.0,103060.0,376930.0,7216957.0,9781359.0,4738911.0,4374557.0,15090188.0,26877284.0,유,유,유,유,유,유,유,유,98.6,증가
95,174.0,176.0,120.0,140.0,154.0,185.0,184.0,161.0,931128.0,1056139.0,706109.0,1245541.0,1033126.0,848361.0,1298792.0,823662.0,유,유,유,유,유,유,유,유,16.5,증가
96,85.0,125.0,131.0,93.0,83.0,57.0,89.0,90.0,3962196.0,10010589.0,6060079.0,2521338.0,3120812.0,1715724.0,3497055.0,1904978.0,유,유,유,유,유,유,유,유,-6.2,감소
97,205.0,219.0,160.0,217.0,226.0,275.0,213.0,118.0,147581398.0,110687010.0,172115503.0,85171677.0,159316162.0,160684994.0,110189781.0,56626128.0,유,유,유,유,유,유,유,유,-14.5,감소
98,118.0,121.0,129.0,99.0,62.0,83.0,79.0,101.0,2196336.0,2213805.0,3626285.0,3206288.0,3838402.0,2523471.0,2643299.0,2055988.0,유,유,유,유,유,유,유,유,9.2,증가
99,123.0,194.0,195.0,139.0,158.0,204.0,173.0,132.0,19194734.0,20350777.0,51475323.0,33901564.0,22559969.0,47559861.0,28160935.0,35764745.0,유,유,유,유,유,유,유,유,18.9,증가
100,66.0,90.0,134.0,158.0,77.0,56.0,103.0,7.0,1070410.0,6215666.0,5905833.0,9158958.0,1727593.0,1081704.0,2403263.0,88937.0,유,유,유,유,유,유,유,유,38.4,증가
101,126.0,66.0,80.0,102.0,116.0,105.0,125.0,136.0,1470451.0,469534.0,615738.0,726500.0,1042269.0,716861.0,1123063.0,850761.0,유,유,유,유,유,유,유,유,-13.4,감소
102,343.0,337.0,359.0,361.0,410.0,299.0,296.0,309.0,36451980.0,13636941.0,10191191.0,16845773.0,6203384.0,12053827.0,7578114.0,9244406.0,유,유,유,유,유,유,유,유,-65.6,감소
103,138.0,104.0,136.0,80.0,102.0,108.0,140.0,95.0,690276.0,471999.0,984056.0,320822.0,639574.0,543909.0,836918.0,384756.0,유,유,유,유,유,유,유,유,9.6,증가
104,279.0,359.0,343.0,195.0,279.0,380.0,412.0,251.0,1762267.0,2023013.0,2486258.0,2354031.0,1566607.0,1982176.0,2495141.0,1268529.0,유,유,유,유,유,유,유,유,17.2,증가
105,320.0,377.0,310.0,348.0,228.0,254.0,287.0,251.0,2228773.0,3156928.0,4306951.0,2534649.0,2736957.0,1976700.0,3883494.0,2165941.0,유,유,유,유,유,유,유,유,27.1,증가
106,64.0,134.0,75.0,131.0,91.0,87.0,92.0,113.0,9505683.0,10624246.0,3992343.0,8970833.0,3294171.0,10672755.0,9393616.0,12152349.0,유,유,유,유,유,유,유,유,-0.6,감소
107,102.0,112.0,80.0,128.0,88.0,129.0,96.0,106.0,8001983.0,12281551.0,15373461.0,20324569.0,19819270.0,19314284.0,9392268.0,26896144.0,유,유,유,유,유,유,유,유,8.0,증가
108,97.0,77.0,127.0,136.0,101.0,164.0,153.0,150.0,2037081.0,1303513.0,1695556.0,1602736.0,1208400.0,2596247.0,2355971.0,2082447.0,유,유,유,유,유,유,유,유,7.3,증가
109,218.0,184.0,197.0,185.0,174.0,167.0,162.0,174.0,1897457.0,1271851.0,1540739.0,1061832.0,699044.0,813365.0,975444.0,661321.0,유,유,유,유,유,유,유,유,-32.1,감소
110,210.0,165.0,233.0,208.0,168.0,167.0,177.0,94.0,2217083.0,3379326.0,6313012.0,3917502.0,3472772.0,3172423.0,3525548.0,1600076.0,유,유,유,유,유,유,유,유,22.8,증가
111,195.0,180.0,175.0,183.0,171.0,240.0,209.0,216.0,611776.0,453745.0,1031773.0,452296.0,677007.0,824800.0,667931.0,566015.0,유,유,유,유,유,유,유,유,4.4,증가
112,55.0,72.0,132.0,112.0,112.0,141.0,194.0,105.0,12928361.0,5514165.0,8141144.0,6749603.0,9269699.0,10022327.0,19251627.0,26413117.0,유,유,유,유,유,유,유,유,19.6,증가
113,184.0,237.0,234.0,239.0,209.0,204.0,224.0,135.0,11117593.0,12312763.0,9879595.0,19284402.0,11472641.0,14589759.0,7569732.0,8189510.0,유,유,유,유,유,유,유,유,-19.0,감소
114,147.0,107.0,72.0,72.0,104.0,131.0,87.0,93.0,1694869.0,4625580.0,5105426.0,2810550.0,2793759.0,4439414.0,1442424.0,1532778.0,유,유,유,유,유,유,유,유,-8.0,감소
115,69.0,105.0,88.0,58.0,71.0,113.0,45.0,45.0,2136180.0,9104345.0,9481091.0,8788352.0,14932209.0,10865664.0,3421539.0,9526810.0,유,유,유,유,유,유,유,유,23.1,증가
116,145.0,288.0,235.0,214.0,214.0,239.0,172.0,247.0,960049.0,1288552.0,1161156.0,752314.0,943069.0,1356397.0,805789.0,951133.0,유,유,유,유,유,유,유,유,-8.7,감소
117,142.0,130.0,173.0,164.0,183.0,256.0,101.0,171.0,6275989.0,1517939.0,14125107.0,6128806.0,3693702.0,5136613.0,3825694.0,4720761.0,유,유,유,유,유,유,유,유,-24.3,감소
118,63.0,75.0,113.0,125.0,97.0,69.0,76.0,94.0,7929023.0,9103614.0,11171368.0,24174141.0,13010329.0,12766139.0,13411316.0,12033043.0,유,유,유,유,유,유,유,유,25.7,증가
119,93.0,176.0,143.0,119.0,177.0,113.0,117.0,42.0,3554979.0,15249957.0,6080822.0,9775307.0,12801907.0,9273934.0,9270431.0,2168360.0,유,유,유,유,유,유,유,유,44.6,증가
120,112.0,177.0,189.0,144.0,130.0,146.0,179.0,92.0,32511582.0,44810057.0,27713180.0,26842107.0,27584963.0,26840011.0,32467225.0,26698688.0,유,유,유,유,유,유,유,유,-0.1,감소
121,92.0,69.0,76.0,144.0,125.0,111.0,155.0,134.0,2755883.0,1669843.0,885964.0,2238871.0,4627124.0,1468048.0,2592553.0,3420814.0,유,유,유,유,유,유,유,유,-3.1,감소
122,58.0,135.0,194.0,122.0,171.0,167.0,175.0,194.0,3133419.0,4018924.0,3989896.0,3052829.0,6870681.0,8658818.0,6968453.0,4486994.0,유,유,유,유,유,유,유,유,38.0,증가
123,272.0,158.0,203.0,196.0,215.0,231.0,195.0,216.0,1607094.0,936624.0,1610037.0,1186672.0,1569543.0,1478038.0,1383009.0,1007351.0,유,유,유,유,유,유,유,유,-7.5,감소
124,77.0,70.0,98.0,72.0,64.0,113.0,70.0,119.0,7115175.0,3455776.0,4095624.0,3654348.0,1883340.0,9521478.0,1884145.0,7185588.0,유,유,유,유,유,유,유,유,-58.1,감소
125,112.0,150.0,103.0,95.0,119.0,90.0,41.0,140.0,3143429.0,1948622.0,1977695.0,1252006.0,1705417.0,2980912.0,661758.0,1948217.0,유,유,유,유,유,유,유,유,-65.2,감소
126,173.0,132.0,158.0,189.0,196.0,312.0,216.0,172.0,3979757.0,941699.0,1235301.0,9807781.0,9622519.0,5316324.0,2836658.0,5449405.0,유,유,유,유,유,유,유,유,-16.8,감소
127,57.0,79.0,83.0,48.0,120.0,81.0,105.0,89.0,878051.0,929329.0,1499560.0,389868.0,1239263.0,495745.0,730283.0,1005227.0,유,유,유,유,유,유,유,유,-9.2,감소
128,94.0,104.0,93.0,99.0,71.0,176.0,126.0,34.0,1196952.0,1037161.0,2961616.0,784208.0,470053.0,1176377.0,1460505.0,171043.0,유,유,유,유,유,유,유,유,9.9,증가
129,97.0,122.0,107.0,128.0,115.0,115.0,179.0,143.0,560281.0,1091966.0,859946.0,847078.0,775628.0,986252.0,1368754.0,803481.0,유,유,유,유,유,유,유,유,41.9,증가
130,147.0,147.0,164.0,182.0,140.0,137.0,74.0,65.0,9145865.0,8811617.0,6706083.0,5703051.0,6674656.0,4975584.0,1902600.0,2267671.0,유,유,유,유,유,유,유,유,-65.6,감소
131,322.0,293.0,408.0,150.0,235.0,246.0,333.0,233.0,2955867.0,6388099.0,5895941.0,2042041.0,3445565.0,5136163.0,5217155.0,2701983.0,유,유,유,유,유,유,유,유,27.7,증가
