,°í°´¹øÈ£,A_±¸¸ÅÈ½¼ö,B_±¸¸ÅÈ½¼ö,C_±¸¸ÅÈ½¼ö,D_±¸¸ÅÈ½¼ö,A_ÃÑ±¸¸Å¾×,B_ÃÑ±¸¸Å¾×,C_ÃÑ±¸¸Å¾×,D_ÃÑ±¸¸Å¾×
104,5466.0,1.0,7.0,5.0,1.0,2.0,7.0,5.0,2.0
105,12808.0,1.0,5.0,4.0,3.0,2.0,5.0,4.0,3.0
106,10273.0,1.0,9.0,10.0,2.0,3.0,8.0,10.0,2.0
107,4732.0,1.0,8.0,8.0,7.0,3.0,7.0,7.0,7.0
108,7193.0,1.0,10.0,10.0,1.0,3.0,9.0,10.0,1.0
109,7887.0,1.0,9.0,5.0,1.0,4.0,9.0,6.0,1.0
110,18083.0,1.0,10.0,9.0,5.0,3.0,10.0,10.0,5.0
111,4694.0,1.0,5.0,2.0,7.0,4.0,5.0,2.0,7.0
112,6252.0,1.0,7.0,6.0,9.0,1.0,7.0,6.0,9.0
113,6519.0,1.0,9.0,4.0,10.0,3.0,10.0,5.0,10.0
114,3051.0,1.0,10.0,10.0,7.0,2.0,10.0,10.0,7.0
115,15064.0,1.0,6.0,7.0,5.0,2.0,6.0,8.0,5.0
116,5074.0,1.0,8.0,6.0,7.0,4.0,8.0,7.0,7.0
117,156.0,1.0,10.0,6.0,8.0,1.0,10.0,7.0,8.0
118,9937.0,1.0,9.0,6.0,9.0,3.0,10.0,6.0,9.0
119,5167.0,1.0,8.0,5.0,7.0,2.0,8.0,5.0,7.0
120,5246.0,1.0,9.0,10.0,1.0,3.0,9.0,10.0,1.0
121,2828.0,1.0,10.0,10.0,6.0,3.0,10.0,10.0,6.0
122,2468.0,1.0,10.0,4.0,8.0,4.0,10.0,5.0,8.0
123,1454.0,1.0,8.0,3.0,8.0,3.0,8.0,3.0,8.0
124,16414.0,1.0,8.0,3.0,6.0,4.0,7.0,3.0,6.0
125,2932.0,1.0,10.0,6.0,6.0,2.0,10.0,5.0,6.0
126,1419.0,1.0,9.0,10.0,2.0,3.0,8.0,10.0,2.0
127,2710.0,1.0,10.0,7.0,1.0,4.0,10.0,7.0,1.0
128,14447.0,1.0,9.0,6.0,6.0,2.0,8.0,5.0,6.0
129,400.0,1.0,6.0,6.0,8.0,1.0,6.0,7.0,8.0
130,12133.0,1.0,10.0,6.0,1.0,2.0,10.0,6.0,1.0
131,6678.0,1.0,8.0,8.0,10.0,3.0,7.0,7.0,10.0
132,17335.0,1.0,6.0,4.0,4.0,2.0,6.0,3.0,4.0
133,7434.0,1.0,5.0,5.0,10.0,1.0,5.0,5.0,10.0
134,6471.0,1.0,8.0,6.0,10.0,1.0,6.0,6.0,10.0
135,8842.0,1.0,10.0,7.0,8.0,4.0,10.0,8.0,8.0
136,3250.0,1.0,10.0,7.0,2.0,2.0,10.0,8.0,2.0
137,14338.0,1.0,9.0,4.0,5.0,3.0,10.0,3.0,5.0
138,14606.0,1.0,10.0,10.0,5.0,2.0,10.0,10.0,5.0
139,13416.0,1.0,6.0,4.0,3.0,3.0,7.0,4.0,3.0
140,4653.0,1.0,3.0,3.0,7.0,3.0,4.0,3.0,7.0
141,5781.0,1.0,6.0,4.0,10.0,3.0,7.0,5.0,10.0
142,7546.0,1.0,9.0,10.0,1.0,4.0,9.0,10.0,1.0
143,7473.0,1.0,7.0,7.0,10.0,4.0,7.0,8.0,10.0
144,4823.0,1.0,9.0,10.0,1.0,3.0,10.0,10.0,1.0
145,3569.0,1.0,9.0,5.0,6.0,1.0,10.0,5.0,6.0
146,50.0,1.0,6.0,3.0,8.0,4.0,5.0,3.0,8.0
147,13870.0,1.0,5.0,4.0,3.0,2.0,5.0,4.0,3.0
148,1290.0,1.0,8.0,3.0,7.0,1.0,8.0,3.0,7.0
149,3025.0,1.0,7.0,3.0,6.0,2.0,6.0,3.0,6.0
150,6462.0,1.0,6.0,10.0,1.0,4.0,6.0,10.0,1.0
151,2506.0,1.0,8.0,8.0,2.0,1.0,8.0,8.0,2.0
152,4637.0,1.0,7.0,4.0,7.0,1.0,6.0,4.0,7.0
153,3497.0,1.0,10.0,3.0,6.0,2.0,10.0,3.0,6.0
154,1718.0,1.0,10.0,9.0,8.0,4.0,9.0,7.0,8.0
155,52.0,1.0,10.0,5.0,8.0,3.0,10.0,5.0,8.0
156,2338.0,1.0,6.0,10.0,2.0,3.0,7.0,10.0,1.0
157,12698.0,1.0,2.0,5.0,3.0,4.0,3.0,6.0,3.0
158,5985.0,1.0,10.0,9.0,1.0,5.0,10.0,9.0,1.0
159,1172.0,1.0,5.0,10.0,2.0,1.0,5.0,10.0,2.0
160,13213.0,1.0,7.0,4.0,4.0,4.0,6.0,4.0,4.0
161,13950.0,1.0,8.0,5.0,3.0,1.0,8.0,6.0,3.0
162,17010.0,1.0,10.0,10.0,4.0,2.0,10.0,10.0,4.0
163,3454.0,1.0,9.0,4.0,6.0,1.0,9.0,5.0,6.0
164,190.0,1.0,9.0,10.0,7.0,2.0,9.0,10.0,7.0
165,4495.0,1.0,7.0,8.0,7.0,3.0,7.0,7.0,7.0
166,19190.0,1.0,10.0,10.0,5.0,3.0,10.0,10.0,5.0
167,7497.0,1.0,6.0,4.0,10.0,5.0,6.0,4.0,10.0
168,14464.0,1.0,10.0,8.0,6.0,1.0,7.0,8.0,6.0
169,6687.0,1.0,7.0,3.0,10.0,4.0,7.0,3.0,10.0
170,10617.0,1.0,7.0,10.0,2.0,3.0,7.0,10.0,2.0
171,6303.0,1.0,8.0,8.0,2.0,2.0,9.0,9.0,1.0
172,15624.0,1.0,8.0,10.0,6.0,2.0,7.0,10.0,6.0
173,7622.0,1.0,8.0,2.0,10.0,4.0,9.0,2.0,10.0
174,4601.0,1.0,6.0,10.0,2.0,2.0,6.0,10.0,2.0
175,4826.0,1.0,10.0,8.0,2.0,1.0,10.0,8.0,1.0
176,5825.0,1.0,10.0,8.0,10.0,1.0,10.0,8.0,10.0
177,2498.0,1.0,8.0,10.0,2.0,1.0,9.0,10.0,2.0
178,1349.0,1.0,5.0,7.0,1.0,1.0,5.0,6.0,1.0
179,4674.0,1.0,5.0,6.0,1.0,4.0,5.0,7.0,2.0
180,3228.0,1.0,6.0,5.0,7.0,2.0,5.0,5.0,7.0
181,2994.0,1.0,10.0,8.0,1.0,2.0,10.0,8.0,1.0
182,559.0,1.0,10.0,4.0,8.0,1.0,10.0,3.0,8.0
183,2558.0,1.0,8.0,10.0,1.0,3.0,8.0,10.0,1.0
184,642.0,1.0,9.0,6.0,7.0,2.0,10.0,5.0,7.0
185,6662.0,1.0,5.0,7.0,10.0,4.0,5.0,6.0,10.0
186,5903.0,1.0,8.0,7.0,10.0,2.0,8.0,7.0,10.0
187,11738.0,1.0,7.0,6.0,3.0,4.0,8.0,6.0,4.0
188,10884.0,1.0,9.0,5.0,3.0,5.0,8.0,5.0,3.0
189,4798.0,1.0,10.0,10.0,7.0,2.0,10.0,10.0,7.0
190,913.0,1.0,9.0,10.0,1.0,2.0,9.0,10.0,1.0
191,7361.0,1.0,5.0,5.0,10.0,2.0,4.0,5.0,10.0
192,394.0,1.0,10.0,3.0,1.0,5.0,10.0,3.0,2.0
193,10631.0,1.0,6.0,8.0,2.0,2.0,5.0,8.0,2.0
194,179.0,1.0,5.0,10.0,2.0,2.0,6.0,10.0,2.0
195,6288.0,1.0,7.0,10.0,1.0,3.0,7.0,9.0,1.0
196,2615.0,1.0,10.0,5.0,8.0,4.0,10.0,5.0,8.0
197,11302.0,1.0,9.0,7.0,3.0,4.0,8.0,7.0,3.0
198,984.0,1.0,10.0,7.0,2.0,3.0,10.0,8.0,2.0
199,1316.0,1.0,6.0,10.0,2.0,1.0,6.0,10.0,2.0
200,1733.0,1.0,6.0,10.0,2.0,1.0,6.0,10.0,2.0
201,13090.0,1.0,10.0,1.0,4.0,1.0,9.0,1.0,4.0
202,4863.0,1.0,10.0,5.0,7.0,3.0,10.0,6.0,7.0
203,12443.0,1.0,6.0,8.0,4.0,1.0,6.0,8.0,3.0
204,3329.0,1.0,9.0,3.0,7.0,2.0,9.0,3.0,7.0
205,7480.0,1.0,10.0,5.0,10.0,2.0,10.0,5.0,10.0
206,2774.0,1.0,9.0,4.0,6.0,1.0,9.0,4.0,6.0
207,11189.0,1.0,7.0,10.0,2.0,3.0,6.0,10.0,2.0
208,9163.0,1.0,3.0,9.0,2.0,2.0,2.0,9.0,2.0
209,4720.0,1.0,10.0,9.0,7.0,1.0,10.0,3.0,7.0
210,7025.0,1.0,10.0,10.0,1.0,2.0,9.0,10.0,1.0
211,3729.0,1.0,7.0,10.0,1.0,1.0,7.0,9.0,1.0
212,10948.0,1.0,8.0,3.0,3.0,5.0,7.0,3.0,3.0
213,5944.0,1.0,6.0,8.0,10.0,1.0,7.0,8.0,10.0
214,18764.0,1.0,5.0,7.0,5.0,3.0,5.0,7.0,5.0
215,17025.0,1.0,4.0,9.0,4.0,4.0,3.0,5.0,4.0
216,11249.0,1.0,10.0,4.0,3.0,2.0,10.0,3.0,2.0
217,1046.0,1.0,7.0,10.0,7.0,3.0,7.0,10.0,7.0
218,1348.0,1.0,6.0,6.0,8.0,1.0,6.0,6.0,8.0
219,182.0,1.0,5.0,10.0,1.0,1.0,5.0,10.0,1.0
220,4729.0,1.0,5.0,5.0,2.0,3.0,5.0,6.0,2.0
221,151.0,1.0,6.0,8.0,8.0,1.0,6.0,8.0,8.0
222,16339.0,1.0,7.0,5.0,6.0,3.0,8.0,5.0,6.0
223,15508.0,1.0,6.0,3.0,6.0,2.0,6.0,3.0,6.0
224,6203.0,1.0,5.0,10.0,9.0,4.0,5.0,10.0,9.0
225,5918.0,1.0,10.0,8.0,2.0,4.0,10.0,9.0,2.0
226,823.0,1.0,6.0,4.0,1.0,1.0,6.0,5.0,1.0
227,8240.0,1.0,6.0,10.0,1.0,2.0,6.0,10.0,2.0
228,6967.0,1.0,5.0,10.0,1.0,3.0,5.0,10.0,1.0
229,795.0,1.0,8.0,3.0,7.0,1.0,8.0,3.0,7.0
230,1115.0,1.0,9.0,3.0,7.0,3.0,8.0,3.0,7.0
231,10570.0,1.0,8.0,3.0,9.0,1.0,7.0,3.0,9.0
232,13455.0,1.0,10.0,10.0,2.0,2.0,10.0,9.0,2.0
233,15587.0,1.0,10.0,10.0,6.0,1.0,10.0,10.0,6.0
234,7331.0,1.0,8.0,4.0,10.0,1.0,7.0,4.0,10.0
235,1365.0,1.0,7.0,4.0,2.0,1.0,7.0,3.0,1.0
236,6023.0,1.0,7.0,5.0,10.0,3.0,7.0,5.0,10.0
237,18480.0,1.0,10.0,7.0,1.0,4.0,10.0,7.0,1.0
238,15815.0,1.0,9.0,6.0,6.0,4.0,10.0,6.0,6.0
239,3119.0,1.0,5.0,7.0,7.0,4.0,5.0,7.0,7.0
240,3280.0,1.0,7.0,10.0,1.0,2.0,7.0,10.0,1.0
241,6506.0,1.0,5.0,8.0,10.0,2.0,5.0,7.0,10.0
242,5003.0,1.0,4.0,8.0,1.0,1.0,2.0,9.0,1.0
243,17964.0,1.0,8.0,10.0,2.0,3.0,8.0,10.0,2.0
244,2751.0,1.0,6.0,10.0,2.0,3.0,7.0,10.0,1.0
245,18153.0,1.0,6.0,4.0,5.0,4.0,6.0,4.0,5.0
246,5889.0,1.0,5.0,6.0,10.0,3.0,5.0,6.0,10.0
247,4381.0,1.0,8.0,4.0,7.0,1.0,8.0,4.0,7.0
248,3482.0,1.0,7.0,7.0,6.0,2.0,6.0,7.0,6.0
249,3095.0,1.0,8.0,7.0,7.0,2.0,8.0,7.0,7.0
250,13110.0,1.0,7.0,4.0,4.0,3.0,8.0,3.0,4.0
251,10306.0,1.0,10.0,10.0,9.0,5.0,10.0,10.0,9.0
252,6222.0,1.0,9.0,9.0,9.0,3.0,9.0,10.0,9.0
253,5203.0,1.0,10.0,10.0,7.0,1.0,9.0,9.0,7.0
254,315.0,1.0,8.0,3.0,8.0,1.0,6.0,3.0,8.0
255,16423.0,1.0,5.0,4.0,6.0,4.0,6.0,5.0,6.0
256,2009.0,1.0,3.0,4.0,8.0,1.0,5.0,4.0,8.0
257,11478.0,1.0,7.0,4.0,4.0,4.0,8.0,4.0,3.0
258,6230.0,1.0,8.0,7.0,2.0,1.0,8.0,7.0,2.0
259,5293.0,1.0,4.0,7.0,7.0,5.0,5.0,8.0,7.0
260,13367.0,1.0,9.0,10.0,1.0,4.0,9.0,10.0,1.0
261,9454.0,1.0,7.0,8.0,9.0,1.0,6.0,8.0,9.0
262,16876.0,1.0,10.0,8.0,4.0,1.0,10.0,5.0,4.0
263,2110.0,1.0,6.0,10.0,1.0,3.0,6.0,10.0,1.0
264,3382.0,1.0,7.0,5.0,6.0,4.0,7.0,5.0,6.0
265,7322.0,1.0,9.0,5.0,10.0,5.0,9.0,6.0,10.0
266,4992.0,1.0,10.0,3.0,7.0,4.0,10.0,3.0,7.0
267,4294.0,1.0,9.0,8.0,2.0,3.0,9.0,9.0,2.0
268,18161.0,1.0,10.0,10.0,5.0,4.0,9.0,10.0,5.0
269,1028.0,1.0,6.0,4.0,7.0,2.0,6.0,4.0,7.0
270,9916.0,1.0,9.0,3.0,1.0,4.0,8.0,3.0,1.0
271,878.0,1.0,6.0,4.0,7.0,1.0,6.0,4.0,7.0
272,15780.0,1.0,5.0,2.0,6.0,1.0,4.0,2.0,6.0
273,3217.0,1.0,10.0,7.0,7.0,3.0,10.0,7.0,7.0
274,5468.0,1.0,8.0,6.0,10.0,1.0,7.0,7.0,10.0
275,507.0,1.0,8.0,7.0,8.0,3.0,8.0,6.0,8.0
276,8905.0,1.0,6.0,6.0,8.0,4.0,5.0,6.0,8.0
277,1110.0,1.0,10.0,4.0,2.0,2.0,10.0,4.0,2.0
278,15486.0,1.0,7.0,7.0,6.0,3.0,8.0,8.0,6.0
279,3636.0,1.0,6.0,5.0,1.0,2.0,6.0,5.0,1.0
280,8121.0,1.0,6.0,9.0,9.0,4.0,7.0,9.0,9.0
281,16453.0,1.0,5.0,3.0,2.0,2.0,5.0,3.0,2.0
282,1124.0,1.0,6.0,6.0,7.0,2.0,5.0,6.0,7.0
283,5445.0,1.0,7.0,3.0,10.0,1.0,7.0,3.0,10.0
284,18660.0,1.0,7.0,7.0,5.0,3.0,7.0,9.0,5.0
285,12515.0,1.0,9.0,4.0,4.0,1.0,9.0,3.0,3.0
286,14038.0,1.0,5.0,5.0,3.0,4.0,5.0,6.0,3.0
287,15558.0,1.0,5.0,3.0,2.0,5.0,6.0,4.0,2.0
288,9140.0,1.0,5.0,8.0,1.0,3.0,5.0,7.0,1.0
289,5568.0,1.0,1.0,5.0,10.0,3.0,1.0,5.0,10.0
290,131.0,1.0,9.0,2.0,8.0,3.0,9.0,2.0,8.0
291,3492.0,1.0,8.0,5.0,2.0,3.0,8.0,4.0,2.0
292,37.0,1.0,7.0,9.0,8.0,2.0,8.0,8.0,8.0
293,4708.0,1.0,6.0,3.0,7.0,4.0,6.0,3.0,7.0
294,955.0,1.0,2.0,9.0,7.0,1.0,2.0,8.0,7.0
295,12036.0,1.0,10.0,10.0,3.0,3.0,10.0,10.0,3.0
296,6566.0,1.0,7.0,10.0,10.0,4.0,7.0,9.0,10.0
297,9806.0,1.0,6.0,5.0,1.0,3.0,5.0,5.0,1.0
298,5044.0,1.0,5.0,9.0,7.0,3.0,5.0,9.0,7.0
299,314.0,1.0,10.0,7.0,8.0,1.0,9.0,6.0,8.0
300,11732.0,1.0,10.0,3.0,3.0,2.0,8.0,3.0,4.0
301,2412.0,1.0,5.0,4.0,8.0,3.0,5.0,4.0,8.0
302,2008.0,1.0,6.0,5.0,1.0,1.0,6.0,6.0,1.0
303,5509.0,1.0,7.0,8.0,10.0,5.0,8.0,7.0,10.0
304,1619.0,1.0,5.0,7.0,8.0,4.0,5.0,6.0,8.0
305,6525.0,1.0,10.0,6.0,10.0,4.0,10.0,6.0,10.0
306,9934.0,1.0,7.0,7.0,9.0,1.0,8.0,7.0,9.0
307,2.0,1.0,9.0,10.0,1.0,1.0,8.0,10.0,1.0
308,3429.0,1.0,5.0,3.0,1.0,3.0,6.0,3.0,1.0
309,872.0,1.0,9.0,9.0,1.0,5.0,9.0,10.0,1.0
310,6584.0,1.0,7.0,9.0,10.0,4.0,8.0,9.0,10.0
311,928.0,1.0,1.0,4.0,7.0,1.0,1.0,4.0,7.0
312,1212.0,1.0,10.0,5.0,7.0,1.0,10.0,5.0,7.0
313,3770.0,1.0,7.0,7.0,2.0,2.0,7.0,8.0,2.0
314,16624.0,1.0,7.0,4.0,6.0,2.0,8.0,4.0,6.0
315,12797.0,1.0,9.0,10.0,1.0,3.0,9.0,10.0,1.0
316,17569.0,1.0,6.0,6.0,4.0,1.0,6.0,6.0,4.0
317,7981.0,1.0,5.0,4.0,2.0,2.0,5.0,4.0,2.0
318,1400.0,1.0,5.0,8.0,8.0,5.0,5.0,8.0,8.0
319,10927.0,1.0,8.0,10.0,3.0,3.0,8.0,10.0,3.0
320,12241.0,1.0,10.0,7.0,3.0,2.0,10.0,5.0,3.0
321,14822.0,1.0,7.0,7.0,5.0,2.0,7.0,6.0,5.0
322,6402.0,1.0,4.0,9.0,1.0,3.0,5.0,9.0,1.0
323,8665.0,1.0,10.0,10.0,8.0,2.0,10.0,10.0,8.0
324,1127.0,1.0,6.0,5.0,7.0,1.0,5.0,5.0,7.0
325,14197.0,1.0,8.0,5.0,5.0,3.0,8.0,5.0,5.0
326,15237.0,1.0,4.0,9.0,5.0,2.0,4.0,7.0,5.0
327,7576.0,1.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0
328,367.0,1.0,9.0,3.0,1.0,1.0,9.0,2.0,1.0
329,10508.0,1.0,9.0,10.0,9.0,1.0,9.0,9.0,9.0
330,8058.0,1.0,8.0,7.0,1.0,3.0,8.0,7.0,2.0
331,4472.0,1.0,7.0,10.0,1.0,3.0,8.0,10.0,1.0
332,7458.0,1.0,6.0,10.0,2.0,2.0,6.0,10.0,1.0
333,5150.0,1.0,8.0,4.0,7.0,3.0,7.0,4.0,7.0
334,17582.0,1.0,10.0,6.0,4.0,1.0,9.0,6.0,4.0
335,11200.0,1.0,7.0,9.0,3.0,4.0,7.0,9.0,3.0
336,3294.0,1.0,9.0,3.0,7.0,1.0,7.0,1.0,7.0
337,8681.0,1.0,9.0,4.0,8.0,2.0,9.0,4.0,8.0
338,6755.0,1.0,6.0,3.0,2.0,4.0,7.0,3.0,2.0
339,6142.0,1.0,5.0,9.0,10.0,1.0,5.0,7.0,10.0
340,5824.0,1.0,8.0,10.0,2.0,1.0,7.0,10.0,2.0
341,2471.0,1.0,10.0,6.0,2.0,2.0,10.0,5.0,2.0
342,2386.0,1.0,7.0,4.0,8.0,4.0,8.0,4.0,8.0
343,14186.0,1.0,10.0,2.0,1.0,2.0,9.0,1.0,1.0
344,16016.0,1.0,4.0,2.0,1.0,5.0,5.0,3.0,1.0
345,5334.0,1.0,6.0,3.0,7.0,2.0,7.0,3.0,7.0
346,10049.0,1.0,10.0,10.0,9.0,3.0,10.0,10.0,9.0
347,10634.0,1.0,6.0,4.0,9.0,3.0,6.0,3.0,9.0
348,2070.0,1.0,7.0,10.0,2.0,1.0,7.0,10.0,1.0
349,16484.0,1.0,10.0,3.0,6.0,3.0,10.0,3.0,6.0
350,4981.0,1.0,6.0,10.0,2.0,1.0,6.0,10.0,2.0
