°í°´¹øÈ£,A±¸¸ÅÈ½¼ö,B±¸¸ÅÈ½¼ö,C±¸¸ÅÈ½¼ö,D±¸¸ÅÈ½¼ö,AÃÑ±¸¸Å¾×,BÃÑ±¸¸Å¾×,CÃÑ±¸¸Å¾×,DÃÑ±¸¸Å¾×,A°´´Ü°¡,B°´´Ü°¡,C°´´Ü°¡,D°´´Ü°¡,A±¸¸ÅºñÀ²(%),B±¸¸ÅºñÀ²(%),C±¸¸ÅºñÀ²(%),D±¸¸ÅºñÀ²(%)
26,758.0,124.0,9.0,2.0,112393140.0,542317.0,26674.0,35398.0,148275.91029023746,4373.524193548387,2963.777777777778,17699.0,85.55,2.52,1.71,10.21
27,554.0,20.0,5.0,0.0,59153273.0,171070.0,21348.0,0.0,106774.86101083033,8553.5,4269.6,0.0,89.28,7.15,3.57,0.0
28,30.0,1244.0,2.0,0.0,1790394.0,6348393.0,10103.0,0.0,59679.8,5103.209807073955,5051.5,0.0,85.46,7.3,7.22,0.0
29,523.0,258.0,19.0,0.0,72870033.0,2082125.0,144669.0,0.0,139330.8470363289,8070.251937984496,7614.157894736842,0.0,89.88,5.2,4.91,0.0
30,813.0,3.0,1225.0,0.0,84553504.0,66659.0,7971464.0,0.0,104001.8499384994,22219.666666666668,6507.317551020408,0.0,78.36,16.73,4.9,0.0
31,850.0,3.0,2.0,1.0,12054562.0,16687.0,4258.0,2816.0,14181.837647058825,5562.333333333333,2129.0,2816.0,57.44,22.48,8.6,11.37
32,380.0,894.0,0.0,0.0,6286791.0,10660349.0,0.0,0.0,16544.186842105264,11924.32774049217,0.0,0.0,58.11,41.8,0.0,0.0
33,9.0,1943.0,163.0,0.0,161347.0,8954510.0,460721.0,0.0,17927.444444444445,4608.600102933608,2826.509202453988,0.0,70.68,18.12,11.11,0.0
34,895.0,1.0,22.0,0.0,14252395.0,27666.0,169555.0,0.0,15924.463687150836,27666.0,7707.045454545455,0.0,31.04,53.9,15.0,0.0
35,580.0,284.0,0.0,1.0,36608647.0,2804991.0,0.0,58659.0,63118.356896551726,9876.728873239435,0.0,58659.0,47.94,7.5,0.0,44.54
36,678.0,53.0,78.0,0.0,41024001.0,454463.0,445833.0,0.0,60507.37610619469,8574.77358490566,5715.807692307692,0.0,80.89,11.45,7.63,0.0
37,921.0,33.0,2.0,0.0,53712288.0,165353.0,18560.0,0.0,58319.53094462541,5010.69696969697,9280.0,0.0,80.32,6.89,12.77,0.0
38,211.0,1641.0,490.0,0.0,4379417.0,13490644.0,2610862.0,0.0,20755.530805687205,8220.989640463133,5328.289795918367,0.0,60.5,23.92,15.49,0.0
39,502.0,0.0,9.0,0.0,192535914.0,0.0,50223.0,0.0,383537.67729083664,0.0,5580.333333333333,0.0,98.57,0.0,1.43,0.0
40,410.0,253.0,96.0,0.0,22367210.0,1591146.0,337685.0,0.0,54554.17073170732,6289.114624505929,3517.552083333333,0.0,84.76,9.76,5.46,0.0
41,442.0,165.0,33.0,0.0,14213219.0,1747292.0,240194.0,0.0,32156.60407239819,10589.648484848483,7278.606060606061,0.0,64.28,21.14,14.53,0.0
42,12.0,1883.0,6.0,0.0,696317.0,12804951.0,13823.0,0.0,58026.41666666666,6800.292618162506,2303.833333333333,0.0,86.44,10.12,3.43,0.0
43,8.0,969.0,2.0,0.0,1594535.0,5144967.0,16479.0,0.0,199316.875,5309.56346749226,8239.5,0.0,93.63,2.49,3.87,0.0
44,518.0,34.0,316.0,0.0,74609026.0,361737.0,1864113.0,0.0,144032.86872586873,10639.323529411764,5899.091772151899,0.0,89.7,6.62,3.67,0.0
45,496.0,151.0,4.0,0.0,186851903.0,1101438.0,43023.0,0.0,376717.54637096776,7294.2913907284765,10755.75,0.0,95.43,1.85,2.72,0.0
46,528.0,22.0,4.0,0.0,108876994.0,161271.0,14038.0,0.0,206206.42803030304,7330.5,3509.5,0.0,95.01,3.38,1.62,0.0
47,102.0,1433.0,2.0,0.0,7798484.0,12165798.0,5492.0,0.0,76455.72549019608,8489.74040474529,2746.0,0.0,87.19,9.67,3.13,0.0
48,480.0,36.0,96.0,0.0,75050973.0,286095.0,489604.0,0.0,156356.19375,7947.083333333333,5100.041666666667,0.0,92.3,4.69,3.01,0.0
49,603.0,4.0,1.0,0.0,85543124.0,24014.0,5620.0,0.0,141862.56053067994,6003.5,5620.0,0.0,92.43,3.91,3.66,0.0
50,1071.0,228.0,249.0,0.0,19310624.0,2734321.0,773446.0,0.0,18030.461251167133,11992.63596491228,3106.2088353413656,0.0,54.42,36.14,9.35,0.0
51,636.0,1013.0,0.0,11.0,14014901.0,5729528.0,0.0,54678.0,22036.00786163522,5656.0,0.0,4970.727272727273,67.47,17.28,0.0,15.18
52,1089.0,1.0,35.0,0.0,34950668.0,23500.0,105679.0,0.0,32094.277318640958,23500.0,3019.4,0.0,54.76,40.06,5.14,0.0
53,436.0,37.0,176.0,0.0,45726515.0,357778.0,2511194.0,0.0,104877.32798165138,9669.675675675677,14268.147727272728,0.0,81.42,7.5,11.07,0.0
54,625.0,1.0,4.0,1.0,9233034.0,32551.0,41960.0,18204.0,14772.8544,32551.0,10490.0,18204.0,19.43,42.81,13.79,23.92
55,1.0,19.0,856.0,0.0,33787.0,1098556.0,6163971.0,0.0,33787.0,57818.73684210526,7200.90070093458,0.0,34.2,58.5,7.28,0.0
56,620.0,11.0,27.0,0.0,81515638.0,58653.0,154715.0,0.0,131476.83548387096,5332.090909090909,5730.185185185185,0.0,92.24,3.74,4.02,0.0
57,2.0,14.0,1696.0,0.0,99424.0,1935268.0,7236586.0,0.0,49712.0,138233.42857142858,4266.854952830188,0.0,25.86,71.91,2.22,0.0
58,534.0,5.0,0.0,0.0,21701863.0,21127.0,0.0,0.0,40640.19288389513,4225.4,0.0,0.0,90.58,9.4,0.0,0.0
59,683.0,63.0,2.0,0.0,23906493.0,440207.0,18196.0,0.0,35002.185944363104,6987.412698412699,9098.0,0.0,68.51,13.66,17.78,0.0
60,261.0,1020.0,14.0,0.0,13477832.0,11430261.0,56693.0,0.0,51639.2030651341,11206.138235294118,4049.5,0.0,77.19,16.73,6.05,0.0
61,620.0,182.0,735.0,0.0,17255811.0,2927345.0,4057249.0,0.0,27831.95322580645,16084.313186813188,5520.066666666667,0.0,56.3,32.5,11.15,0.0
62,419.0,404.0,20.0,0.0,16125747.0,3196436.0,108389.0,0.0,38486.26968973747,7911.970297029703,5419.45,0.0,74.27,15.25,10.44,0.0
63,531.0,1.0,0.0,0.0,5768881.0,13940.0,0.0,0.0,10864.182674199625,13940.0,0.0,0.0,43.8,56.1,0.0,0.0
64,2.0,774.0,1.0,0.0,28203.0,3530775.0,3367.0,0.0,14101.5,4561.724806201551,3367.0,0.0,64.01,20.65,15.23,0.0
65,559.0,186.0,3.0,0.0,15824519.0,2040589.0,12089.0,0.0,28308.62075134168,10970.908602150535,4029.6666666666665,0.0,65.36,25.29,9.28,0.0
66,414.0,1485.0,8.0,0.0,6725538.0,9757371.0,52947.0,0.0,16245.260869565218,6570.620202020202,6618.375,0.0,55.19,22.28,22.43,0.0
67,5.0,1645.0,2.0,0.0,708604.0,8810952.0,11836.0,0.0,141720.8,5356.201823708207,5918.0,0.0,92.63,3.5,3.87,0.0
68,393.0,1029.0,2.0,0.0,63292885.0,216128082.0,17516.0,0.0,161050.5979643766,210037.00874635568,8758.0,0.0,42.4,55.29,2.31,0.0
69,1.0,100.0,3211.0,0.0,4150.0,478771.0,13655854.0,0.0,4150.0,4787.71,4252.835253815011,0.0,31.46,36.21,32.08,0.0
70,604.0,1.0,30.0,0.0,27919861.0,15451.0,134743.0,0.0,46224.93543046358,15451.0,4491.433333333333,0.0,69.86,23.33,6.78,0.0
71,2.0,989.0,29.0,0.0,30043.0,4416679.0,83209.0,0.0,15021.5,4465.802831142568,2869.2758620689656,0.0,67.19,19.92,12.78,0.0
72,23.0,853.0,6.0,0.0,1527648.0,7037372.0,21994.0,0.0,66419.47826086957,8250.143024618992,3665.6666666666665,0.0,84.79,10.52,4.67,0.0
73,492.0,71.0,7.0,0.0,214983680.0,985435.0,17150.0,0.0,436958.69918699184,13879.3661971831,2450.0,0.0,96.4,3.06,0.54,0.0
74,525.0,91.0,68.0,0.0,29243896.0,867859.0,439896.0,0.0,55702.65904761905,9536.912087912087,6469.058823529412,0.0,77.68,13.29,9.01,0.0
75,489.0,1.0,296.0,0.0,3417831.0,8660.0,1206615.0,0.0,6989.429447852761,8660.0,4076.402027027027,0.0,35.43,43.82,20.58,0.0
76,560.0,139.0,122.0,0.0,9014091.0,1223277.0,432828.0,0.0,16096.591071428573,8800.553956834532,3547.7704918032787,0.0,56.59,30.88,12.43,0.0
77,680.0,259.0,0.0,0.0,27089655.0,2761798.0,0.0,0.0,39837.72794117647,10663.312741312742,0.0,0.0,78.88,21.08,0.0,0.0
78,720.0,163.0,17.0,0.0,79854399.0,4164233.0,191975.0,0.0,110908.8875,25547.44171779141,11292.64705882353,0.0,75.07,17.28,7.64,0.0
79,140.0,1677.0,26.0,0.0,4031383.0,10764163.0,104142.0,0.0,28795.592857142856,6418.701848539058,4005.4615384615386,0.0,73.42,16.34,10.19,0.0
80,81.0,112.0,1273.0,0.0,2665679.0,958839.0,5268577.0,0.0,32909.61728395062,8561.0625,4138.709347996858,0.0,72.16,18.74,9.06,0.0
81,607.0,93.0,8.0,0.0,68027570.0,774869.0,25058.0,0.0,112071.77924217464,8331.924731182795,3132.25,0.0,90.72,6.74,2.53,0.0
82,492.0,537.0,24.0,0.0,130583901.0,5820087.0,137746.0,0.0,265414.43292682926,10838.150837988827,5739.416666666667,0.0,94.12,3.84,2.03,0.0
83,765.0,189.0,1.0,0.0,116533117.0,1168184.0,16781.0,0.0,152330.87189542485,6180.867724867725,16781.0,0.0,86.9,3.52,9.57,0.0
84,390.0,45.0,4.0,0.0,57900420.0,725145.0,32460.0,0.0,148462.61538461538,16114.333333333334,8115.0,0.0,85.97,9.33,4.7,0.0
85,724.0,0.0,2.0,6.0,11934334.0,0.0,19662.0,38250.0,16483.88674033149,0.0,9831.0,6375.0,50.43,0.0,30.03,19.45
86,221.0,1805.0,9.0,0.0,19584564.0,13757705.0,26484.0,0.0,88617.93665158372,7621.997229916898,2942.6666666666665,0.0,89.35,7.68,2.96,0.0
87,410.0,9.0,90.0,0.0,47082233.0,146594.0,927580.0,0.0,114834.71463414634,16288.222222222224,10306.444444444443,0.0,81.2,11.51,7.28,0.0
88,479.0,829.0,4.0,0.0,38771155.0,6125364.0,23080.0,0.0,80941.86847599165,7388.858866103739,5770.0,0.0,86.02,7.84,6.13,0.0
89,150.0,1332.0,243.0,1.0,5738943.0,7520041.0,1192913.0,1854.0,38259.62,5645.676426426427,4909.106995884774,1854.0,75.51,11.13,9.67,3.65
90,457.0,21.0,6.0,0.0,48728744.0,974513.0,74740.0,0.0,106627.44857768052,46405.38095238096,12456.666666666666,0.0,64.43,28.03,7.52,0.0
91,615.0,33.0,149.0,0.0,16431780.0,285905.0,942970.0,0.0,26718.34146341464,8663.787878787878,6328.657718120805,0.0,64.06,20.74,15.14,0.0
92,601.0,580.0,445.0,0.0,36463830.0,6834801.0,5204650.0,0.0,60671.93011647255,11784.139655172414,11695.842696629214,0.0,72.1,13.99,13.88,0.0
93,672.0,0.0,6.0,0.0,105389723.0,0.0,39220.0,0.0,156829.94494047618,0.0,6536.666666666667,0.0,96.0,0.0,4.0,0.0
94,868.0,77.0,33.0,0.0,40561992.0,816298.0,303672.0,0.0,46730.40552995392,10601.272727272728,9202.181818181818,0.0,70.24,15.92,13.81,0.0
95,115.0,985.0,31.0,2.0,2073353.0,4897534.0,145357.0,2952.0,18029.15652173913,4972.11573604061,4688.935483870968,1476.0,61.82,17.01,16.03,5.04
96,651.0,12.0,0.0,0.0,30753738.0,134055.0,0.0,0.0,47240.764976958526,11171.25,0.0,0.0,80.88,19.1,0.0,0.0
97,631.0,73.0,811.0,0.0,939688106.0,1071778.0,4986641.0,0.0,1489204.6053882726,14681.890410958904,6148.755856966708,0.0,98.62,0.97,0.41,0.0
98,579.0,111.0,0.0,1.0,18679890.0,1566495.0,0.0,1501.0,32262.331606217616,14112.567567567568,0.0,1501.0,67.39,29.44,0.0,3.13
99,895.0,272.0,19.0,0.0,218046875.0,5033374.0,122914.0,0.0,243627.7932960894,18505.051470588234,6469.1578947368425,0.0,90.7,6.89,2.41,0.0
100,565.0,113.0,6.0,0.0,24591651.0,2927028.0,44748.0,0.0,43525.04601769912,25902.902654867252,7458.0,0.0,56.61,33.67,9.69,0.0
101,398.0,314.0,8.0,0.0,4090707.0,2054091.0,19618.0,0.0,10278.158291457286,6541.691082802548,2452.25,0.0,53.33,33.85,12.67,0.0
102,648.0,791.0,966.0,0.0,91616152.0,6195567.0,5149491.0,0.0,141382.95061728396,7832.575221238938,5330.73602484472,0.0,91.48,5.07,3.45,0.0
103,16.0,65.0,727.0,0.0,502736.0,575521.0,3409297.0,0.0,31421.0,8854.16923076923,4689.541953232462,0.0,69.88,19.66,10.41,0.0
104,16.0,2217.0,14.0,0.0,1740321.0,12868581.0,60591.0,0.0,108770.0625,5804.502029769959,4327.928571428572,0.0,91.48,4.88,3.64,0.0
105,36.0,2082.0,6.0,0.0,3597340.0,17194723.0,32389.0,0.0,99926.11111111112,8258.752641690682,5398.166666666667,0.0,87.98,7.27,4.75,0.0
106,592.0,47.0,35.0,0.0,55942354.0,306176.0,205117.0,0.0,94497.2195945946,6514.382978723404,5860.4857142857145,0.0,88.42,6.09,5.48,0.0
107,579.0,4.0,152.0,0.0,103586356.0,12649.0,908381.0,0.0,178905.62348877374,3162.25,5976.190789473684,0.0,95.14,1.68,3.18,0.0
108,802.0,52.0,1.0,0.0,12006619.0,790655.0,2230.0,0.0,14970.84663341646,15204.903846153846,2230.0,0.0,46.2,46.85,6.86,0.0
109,4.0,9.0,1274.0,0.0,103138.0,358114.0,7798480.0,0.0,25784.5,39790.444444444445,6121.2558869701725,0.0,35.96,55.47,8.53,0.0
110,891.0,293.0,143.0,1.0,22280613.0,2922093.0,785952.0,9008.0,25006.299663299666,9973.013651877132,5496.167832167832,9008.0,50.53,20.13,11.09,18.17
111,6.0,186.0,1161.0,0.0,77323.0,1464694.0,3177311.0,0.0,12887.166666666666,7874.698924731183,2736.701981050818,0.0,54.84,33.43,11.6,0.0
112,600.0,205.0,13.0,0.0,70054930.0,1753597.0,68399.0,0.0,116758.21666666666,8554.131707317074,5261.461538461538,0.0,89.42,6.55,4.03,0.0
113,818.0,701.0,12.0,0.0,76321249.0,9823759.0,81477.0,0.0,93302.26039119804,14013.921540656203,6789.75,0.0,81.77,12.27,5.95,0.0
114,446.0,59.0,213.0,2.0,21154328.0,543000.0,1190782.0,23912.0,47431.22869955157,9203.389830508477,5590.525821596244,11956.0,63.94,12.4,7.53,16.1
115,513.0,0.0,36.0,0.0,58485146.0,0.0,244234.0,0.0,114006.13255360624,0.0,6784.277777777777,0.0,94.38,0.0,5.61,0.0
116,24.0,28.0,1455.0,0.0,1395676.0,277997.0,5593653.0,0.0,58153.16666666666,9928.464285714286,3844.435051546392,0.0,80.85,13.79,5.34,0.0
117,641.0,200.0,306.0,2.0,37915525.0,1434541.0,1342723.0,11061.0,59150.58502340093,7172.705,4387.983660130719,5530.5,77.58,9.4,5.75,7.25
118,608.0,7.0,3.0,0.0,91510207.0,13613.0,42110.0,0.0,150510.20888157896,1944.7142857142856,14036.666666666666,0.0,90.4,1.17,8.43,0.0
119,697.0,27.0,214.0,0.0,64652408.0,294271.0,1060658.0,0.0,92758.11764705884,10898.925925925923,4956.345794392523,0.0,85.4,10.03,4.56,0.0
120,927.0,147.0,3.0,0.0,217261902.0,1484675.0,22548.0,0.0,234370.98381877024,10099.829931972788,7516.0,0.0,93.01,4.01,2.98,0.0
121,523.0,247.0,0.0,2.0,14078819.0,2150870.0,0.0,8597.0,26919.347992351817,8707.975708502025,0.0,4298.5,67.42,21.77,0.0,10.74
122,588.0,425.0,9.0,0.0,31320751.0,5341108.0,31161.0,0.0,53266.583333333336,12567.312941176471,3462.333333333333,0.0,76.87,18.12,4.99,0.0
123,8.0,1461.0,1.0,0.0,516209.0,9249246.0,5562.0,0.0,64526.125,6330.76386036961,5562.0,0.0,84.44,8.28,7.27,0.0
124,542.0,13.0,5.0,4.0,31534418.0,57851.0,12835.0,4782.0,58181.58302583026,4450.076923076923,2567.0,1195.5,87.63,6.69,3.86,1.8
125,567.0,141.0,2.0,0.0,12367724.0,1283870.0,18245.0,0.0,21812.56437389771,9105.4609929078,9122.5,0.0,54.48,22.71,22.74,0.0
126,143.0,1216.0,17.0,0.0,26078037.0,7599281.0,62721.0,0.0,182363.8951048951,6249.408717105263,3689.470588235294,0.0,94.83,3.25,1.92,0.0
127,449.0,122.0,2.0,0.0,5478618.0,677984.0,5497.0,0.0,12201.821826280624,5557.245901639344,2748.5,0.0,59.5,27.02,13.35,0.0
128,1.0,746.0,16.0,0.0,66659.0,8950363.0,69850.0,0.0,66659.0,11997.805630026807,4365.625,0.0,80.29,14.44,5.25,0.0
129,10.0,753.0,100.0,0.0,204476.0,5808003.0,477426.0,0.0,20447.6,7713.151394422311,4774.26,0.0,62.08,23.38,14.46,0.0
130,790.0,16.0,185.0,0.0,42605768.0,73928.0,1239760.0,0.0,53931.351898734174,4620.5,6701.405405405405,0.0,82.65,7.07,10.26,0.0
131,939.0,5.0,1043.0,0.0,24608238.0,164235.0,6308358.0,0.0,26206.85623003195,32847.0,6048.281879194631,0.0,40.25,50.42,9.28,0.0
132,31.0,1593.0,133.0,0.0,2486069.0,8017060.0,544822.0,0.0,80195.7741935484,5032.680477087257,4096.4060150375935,0.0,89.78,5.63,4.58,0.0
133,929.0,168.0,10.0,0.0,18201269.0,2136812.0,57412.0,0.0,19592.324004305705,12719.119047619048,5741.2,0.0,51.49,33.38,15.05,0.0
134,546.0,123.0,21.0,0.0,91283346.0,773251.0,50629.0,0.0,167185.61538461538,6286.59349593496,2410.904761904762,0.0,95.05,3.57,1.37,0.0
135,625.0,20.0,9.0,0.0,12912369.0,198655.0,55132.0,0.0,20659.7904,9932.75,6125.777777777777,0.0,56.27,27.01,16.65,0.0
136,425.0,13.0,2.0,0.0,18200507.0,164625.0,8987.0,0.0,42824.72235294118,12663.46153846154,4493.5,0.0,71.4,21.09,7.48,0.0
137,530.0,16.0,481.0,0.0,78088173.0,489665.0,2704362.0,0.0,147336.1754716981,30604.0625,5622.37422037422,0.0,80.26,16.66,3.06,0.0
138,372.0,461.0,0.0,0.0,37921184.0,3844800.0,0.0,0.0,101938.66666666669,8340.130151843818,0.0,0.0,92.44,7.56,0.0,0.0
139,455.0,457.0,268.0,3.0,38007133.0,5629341.0,1109901.0,19621.0,83532.16043956044,12318.032822757112,4141.421641791045,6540.333333333333,78.41,11.55,3.88,6.13
140,782.0,13.0,56.0,0.0,242952391.0,89039.0,345765.0,0.0,310680.80690537085,6849.153846153846,6174.375,0.0,95.98,2.12,1.91,0.0
141,1.0,18.0,1137.0,0.0,20602.0,122867.0,5043551.0,0.0,20602.0,6825.944444444444,4435.840809146878,0.0,64.66,21.38,13.88,0.0
143,20.0,1347.0,0.0,1.0,247074.0,6358183.0,0.0,3753.0,12353.7,4720.254639940609,0.0,3753.0,59.32,22.6,0.0,17.95
144,69.0,493.0,5260.0,0.0,16359584.0,5242665.0,49899885.0,0.0,237095.42028985507,10634.20892494929,9486.670152091256,0.0,92.18,4.13,3.69,0.0
145,717.0,59.0,20.0,0.0,122174681.0,477129.0,156201.0,0.0,170397.04463040447,8086.932203389831,7810.05,0.0,91.47,4.34,4.19,0.0
146,448.0,0.0,0.0,0.0,89414187.0,0.0,0.0,0.0,199585.2388392857,0.0,0.0,0.0,100.0,0.0,0.0,0.0
147,698.0,859.0,15.0,0.0,76654536.0,8928602.0,65224.0,0.0,109820.25214899714,10394.181606519209,4348.266666666666,0.0,88.16,8.34,3.49,0.0
148,2.0,3.0,1231.0,0.0,128798.0,15751.0,4872044.0,0.0,64399.0,5250.333333333333,3957.7936636880586,0.0,87.49,7.12,5.37,0.0
149,508.0,158.0,18.0,0.0,22522430.0,1135743.0,86541.0,0.0,44335.49212598425,7188.2468354430375,4807.833333333333,0.0,78.7,12.74,8.52,0.0
150,53.0,1605.0,0.0,0.0,13345197.0,10849287.0,0.0,0.0,251796.16981132075,6759.680373831776,0.0,0.0,97.39,2.61,0.0,0.0
151,999.0,210.0,5.0,0.0,74209750.0,1979874.0,15630.0,0.0,74284.03403403403,9427.971428571427,3126.0,0.0,85.54,10.85,3.6,0.0
152,399.0,2.0,436.0,0.0,28069372.0,7613.0,2399253.0,0.0,70349.30325814536,3806.5,5502.873853211009,0.0,88.31,4.77,6.9,0.0
153,781.0,192.0,1.0,1.0,9019436.0,933712.0,9667.0,3247.0,11548.57362355954,4863.083333333333,9667.0,3247.0,39.38,16.56,32.9,11.04
154,362.0,248.0,5.0,0.0,62685485.0,1561606.0,11572.0,0.0,173164.3232044199,6296.798387096775,2314.4,0.0,95.26,3.46,1.27,0.0
155,794.0,37.0,1.0,0.0,52446737.0,290024.0,18542.0,0.0,66053.8249370277,7838.486486486487,18542.0,0.0,71.46,8.47,20.04,0.0
156,1182.0,3.0,1.0,0.0,133746423.0,19873.0,2634.0,0.0,113152.6421319797,6624.333333333333,2634.0,0.0,92.44,5.41,2.15,0.0
157,547.0,1.0,328.0,1.0,10182504.0,28953.0,1574862.0,3444.0,18615.180987202926,28953.0,4801.408536585366,3444.0,33.35,51.84,8.59,6.16
158,450.0,513.0,8.0,4.0,7364770.0,2673625.0,48807.0,39141.0,16366.155555555555,5211.744639376218,6100.875,9785.25,43.68,13.9,16.26,26.07
159,411.0,110.0,8.0,0.0,108866806.0,833915.0,59780.0,0.0,264882.7396593674,7581.045454545455,7472.5,0.0,94.62,2.71,2.67,0.0
160,621.0,595.0,1.0,0.0,14097139.0,4410459.0,6978.0,0.0,22700.70692431562,7412.536134453781,6978.0,0.0,61.2,19.95,18.77,0.0
161,572.0,62.0,4.0,0.0,147488066.0,1314188.0,11686.0,0.0,257846.2692307692,21196.58064516129,2921.5,0.0,91.45,7.52,1.04,0.0
162,525.0,348.0,66.0,0.0,60092905.0,2827807.0,369788.0,0.0,114462.6761904762,8125.882183908046,5602.848484848485,0.0,89.29,6.33,4.37,0.0
163,93.0,12.0,1230.0,5.0,3860575.0,94635.0,6703090.0,64509.0,41511.55913978495,7886.25,5449.666666666667,12901.8,61.27,11.63,8.04,19.02
164,427.0,305.0,45.0,0.0,102705647.0,2707529.0,373110.0,0.0,240528.4473067916,8877.144262295082,8291.333333333334,0.0,93.34,3.44,3.22,0.0
165,375.0,80.0,1.0,0.0,31661044.0,442144.0,8579.0,0.0,84429.45066666667,5526.8,8579.0,0.0,85.68,5.6,8.7,0.0
166,552.0,355.0,2.0,0.0,25680265.0,3634599.0,4633.0,0.0,46522.21920289855,10238.307042253522,2316.5,0.0,78.75,17.31,3.91,0.0
167,775.0,0.0,0.0,5.0,40568160.0,0.0,0.0,31251.0,52346.012903225805,0.0,0.0,6250.2,89.33,0.0,0.0,10.65
168,752.0,11.0,231.0,0.0,70560723.0,365621.0,1165573.0,0.0,93830.74867021276,33238.27272727273,5045.770562770563,0.0,71.02,25.15,3.82,0.0
